ID;Persoonskenmerken;Perioden;EconomischeToestandNederlandGunstig_1;WerkgelegenheidGunstig_2;PersoonlijkeSituatieGunstig_3;RegeringsbeleidTevreden_4;DemocratieNederlandTevreden_5;DemocratieEuropeseUnieTevreden_6;KamerledenGevenNietOmMening_7;PartijenAlleenIntereseInStem_8;GeenInvloedOpRegeringspolitiek_9;InStaatActieveRolInPolitiek_10;GoedBeeldPolitiekeProblemen_11;PolitiekTeIngewikkeld_12;PoliticiBelovenMeerDanZeKunnen_13;PoliticiZijnOpEigenbelangUit_14;KamerlidDoorPolitiekeVrienden_15;KloofTussenPolitiekEnBurger_16
26;20980;2012;21.0;7.0;7.0;28.0;78.0;44.0;53.0;65.0;65.0;15.0;;;;;;
27;20990;2006;46.0;41.0;17.0;40.0;65.0;41.0;60.0;69.0;70.0;4.0;60.0;80.0;96.0;61.0;65.0;72.0
28;20990;2010;22.0;18.0;16.0;34.0;68.0;54.0;49.0;73.0;72.0;14.0;60.0;79.0;95.0;58.0;63.0;
29;20990;2012;20.0;6.0;7.0;30.0;81.0;57.0;55.0;73.0;72.0;10.0;;;;;;
30;16650;2006;40.0;40.0;10.0;30.0;79.0;52.0;31.0;45.0;36.0;28.0;51.0;56.0;90.0;39.0;47.0;64.0
31;16650;2010;18.0;17.0;8.0;22.0;78.0;55.0;30.0;46.0;40.0;31.0;56.0;55.0;90.0;44.0;45.0;
32;16650;2012;13.0;9.0;5.0;16.0;82.0;46.0;29.0;46.0;40.0;38.0;;;;;;
33;16700;2006;46.0;44.0;10.0;32.0;76.0;41.0;41.0;51.0;44.0;17.0;55.0;62.0;93.0;40.0;46.0;68.0
34;16700;2010;21.0;22.0;9.0;22.0;74.0;48.0;38.0;54.0;50.0;23.0;66.0;60.0;94.0;41.0;46.0;
35;16700;2012;18.0;10.0;5.0;23.0;78.0;44.0;43.0;54.0;53.0;22.0;;;;;;
36;16800;2006;35.0;36.0;8.0;24.0;65.0;34.0;49.0;63.0;55.0;19.0;56.0;60.0;95.0;53.0;56.0;75.0
37;16800;2010;26.0;24.0;8.0;22.0;68.0;47.0;44.0;57.0;52.0;24.0;66.0;59.0;91.0;48.0;50.0;
38;16800;2012;19.0;9.0;7.0;22.0;79.0;42.0;36.0;56.0;58.0;25.0;;;;;;
39;16750;2006;47.0;44.0;18.0;38.0;66.0;43.0;58.0;62.0;62.0;10.0;58.0;74.0;98.0;60.0;60.0;76.0
40;16750;2010;19.0;14.0;16.0;30.0;62.0;46.0;51.0;64.0;76.0;15.0;58.0;75.0;92.0;61.0;62.0;
41;16750;2012;19.0;5.0;10.0;24.0;72.0;45.0;60.0;72.0;72.0;11.0;;;;;;
42;12600;2006;45.0;44.0;11.0;32.0;75.0;43.0;39.0;50.0;43.0;20.0;55.0;61.0;93.0;41.0;48.0;67.0
43;12600;2010;20.0;21.0;9.0;23.0;75.0;49.0;35.0;50.0;48.0;24.0;64.0;60.0;92.0;42.0;45.0;
44;12600;2012;18.0;10.0;6.0;22.0;80.0;44.0;39.0;51.0;50.0;26.0;;;;;;
45;12650;2006;36.0;42.0;10.0;29.0;73.0;51.0;45.0;53.0;49.0;17.0;51.0;61.0;91.0;46.0;48.0;73.0
46;12650;2010;14.0;17.0;10.0;22.0;71.0;49.0;42.0;60.0;48.0;29.0;58.0;53.0;95.0;50.0;51.0;
47;12650;2012;17.0;11.0;5.0;18.0;82.0;44.0;35.0;55.0;52.0;28.0;;;;;;
48;13000;2006;29.0;27.0;9.0;20.0;75.0;42.0;49.0;67.0;53.0;21.0;48.0;68.0;93.0;53.0;51.0;73.0
49;13000;2010;27.0;18.0;10.0;14.0;65.0;56.0;46.0;68.0;53.0;36.0;55.0;59.0;95.0;58.0;61.0;
50;13000;2012;7.0;6.0;2.0;11.0;68.0;50.0;45.0;63.0;54.0;36.0;;;;;;
51;18710;2006;34.0;39.0;16.0;33.0;67.0;36.0;66.0;72.0;74.0;7.0;39.0;85.0;92.0;76.0;70.0;72.0
52;18710;2010;21.0;11.0;15.0;26.0;63.0;48.0;52.0;79.0;67.0;13.0;49.0;82.0;94.0;75.0;64.0;
53;18710;2012;17.0;11.0;9.0;20.0;71.0;44.0;75.0;76.0;77.0;7.0;;;;;;
54;18719;2006;38.0;39.0;12.0;25.0;70.0;46.0;54.0;62.0;55.0;10.0;43.0;77.0;97.0;53.0;44.0;66.0
55;18719;2010;14.0;16.0;12.0;16.0;67.0;58.0;50.0;69.0;65.0;14.0;55.0;74.0;94.0;64.0;55.0;
56;18719;2012;10.0;5.0;5.0;14.0;69.0;36.0;51.0;68.0;67.0;12.0;;;;;;
57;18730;2006;46.0;39.0;7.0;31.0;68.0;47.0;44.0;57.0;47.0;15.0;48.0;73.0;92.0;42.0;46.0;70.0
58;18730;2010;17.0;12.0;10.0;18.0;73.0;49.0;43.0;44.0;50.0;22.0;47.0;75.0;91.0;45.0;42.0;
59;18730;2012;12.0;7.0;7.0;16.0;81.0;44.0;48.0;55.0;52.0;18.0;;;;;;
60;18750;2006;43.0;43.0;10.0;33.0;79.0;46.0;37.0;47.0;37.0;20.0;54.0;62.0;93.0;37.0;44.0;70.0
61;18750;2010;19.0;21.0;8.0;22.0;76.0;52.0;37.0;51.0;45.0;24.0;63.0;58.0;93.0;40.0;45.0;
62;18750;2012;14.0;10.0;6.0;21.0;79.0;43.0;36.0;53.0;49.0;26.0;;;;;;
63;18789;2006;53.0;50.0;9.0;36.0;85.0;41.0;22.0;35.0;32.0;36.0;74.0;32.0;88.0;26.0;48.0;62.0
64;18789;2010;30.0;29.0;8.0;29.0;85.0;43.0;17.0;33.0;31.0;41.0;79.0;38.0;89.0;24.0;38.0;
65;18789;2012;25.0;14.0;5.0;29.0;89.0;53.0;22.0;34.0;30.0;48.0;;;;;;
66;18850;2006;34.0;34.0;9.0;26.0;72.0;40.0;42.0;59.0;52.0;25.0;59.0;54.0;93.0;49.0;52.0;74.0
67;18850;2010;27.0;22.0;11.0;22.0;68.0;46.0;40.0;52.0;50.0;30.0;67.0;50.0;89.0;49.0;54.0;
68;18850;2012;14.0;8.0;5.0;21.0;78.0;46.0;34.0;47.0;37.0;39.0;;;;;;
69;18900;2006;45.0;45.0;12.0;33.0;77.0;44.0;37.0;49.0;43.0;21.0;57.0;60.0;92.0;39.0;47.0;63.0
70;18900;2010;18.0;20.0;8.0;19.0;73.0;48.0;40.0;55.0;48.0;30.0;61.0;59.0;94.0;42.0;45.0;
71;18900;2012;17.0;8.0;7.0;19.0;78.0;44.0;39.0;52.0;50.0;26.0;;;;;;
72;18950;2006;45.0;45.0;12.0;33.0;74.0;47.0;40.0;51.0;43.0;19.0;56.0;62.0;94.0;44.0;48.0;68.0
73;18950;2010;18.0;19.0;9.0;25.0;78.0;50.0;34.0;49.0;48.0;25.0;63.0;61.0;91.0;41.0;41.0;
74;18950;2012;17.0;10.0;5.0;24.0;83.0;44.0;39.0;53.0;53.0;27.0;;;;;;
75;19000;2006;46.0;44.0;10.0;31.0;78.0;45.0;41.0;48.0;42.0;17.0;48.0;66.0;92.0;38.0;46.0;67.0
76;19000;2010;18.0;17.0;7.0;22.0;71.0;50.0;38.0;54.0;50.0;19.0;59.0;64.0;92.0;47.0;51.0;
77;19000;2012;18.0;10.0;6.0;19.0;76.0;45.0;41.0;55.0;55.0;23.0;;;;;;
78;19050;2006;45.0;41.0;9.0;28.0;75.0;41.0;42.0;50.0;42.0;16.0;51.0;65.0;93.0;44.0;48.0;69.0
79;19050;2010;24.0;24.0;13.0;26.0;83.0;58.0;27.0;48.0;47.0;18.0;64.0;64.0;94.0;41.0;42.0;
80;19050;2012;15.0;11.0;5.0;24.0;81.0;47.0;43.0;57.0;59.0;15.0;;;;;;
81;CDA;2006;72.0;66.0;17.0;57.0;91.0;53.0;31.0;42.0;40.0;17.0;61.0;62.0;92.0;28.0;43.0;62.0
82;CDA;2010;34.0;34.0;18.0;53.0;87.0;67.0;30.0;45.0;44.0;20.0;63.0;60.0;90.0;28.0;32.0;
83;CDA;2012;20.0;12.0;5.0;36.0;90.0;59.0;34.0;48.0;48.0;23.0;;;;;;
84;PvdA;2006;29.0;28.0;10.0;14.0;75.0;43.0;41.0;50.0;44.0;21.0;65.0;59.0;92.0;43.0;44.0;64.0
85;PvdA;2010;28.0;29.0;10.0;25.0;82.0;56.0;29.0;44.0;39.0;27.0;70.0;55.0;93.0;36.0;42.0;
86;PvdA;2012;10.0;6.0;2.0;12.0;84.0;51.0;30.0;40.0;41.0;32.0;;;;;;
87;VVD;2006;65.0;63.0;15.0;54.0;88.0;49.0;24.0;37.0;30.0;31.0;65.0;40.0;91.0;29.0;48.0;68.0
88;VVD;2010;19.0;23.0;6.0;23.0;80.0;45.0;23.0;38.0;39.0;32.0;74.0;45.0;89.0;30.0;45.0;
89;VVD;2012;35.0;22.0;11.0;44.0;90.0;48.0;26.0;41.0;40.0;35.0;;;;;;
90;GroenLinks;2006;24.0;27.0;8.0;13.0;81.0;39.0;21.0;36.0;27.0;35.0;61.0;49.0;92.0;29.0;36.0;65.0
91;GroenLinks;2010;28.0;26.0;15.0;25.0;84.0;52.0;18.0;31.0;24.0;39.0;71.0;52.0;90.0;32.0;31.0;
92;GroenLinks;2012;;;;;;;;;;;;;;;;
93;SP;2006;25.0;28.0;5.0;13.0;63.0;36.0;47.0;56.0;46.0;21.0;60.0;62.0;94.0;47.0;49.0;69.0
94;SP;2010;12.0;11.0;6.0;14.0;75.0;44.0;39.0;57.0;49.0;22.0;68.0;70.0;95.0;46.0;43.0;
95;SP;2012;5.0;5.0;4.0;10.0;76.0;38.0;35.0;49.0;46.0;32.0;;;;;;
96;ChristenUnie;2006;55.0;57.0;9.0;45.0;80.0;44.0;34.0;40.0;32.0;19.0;54.0;56.0;92.0;28.0;42.0;60.0
97;ChristenUnie;2010;36.0;20.0;14.0;42.0;83.0;54.0;18.0;42.0;45.0;30.0;53.0;64.0;94.0;31.0;40.0;
98;ChristenUnie;2012;;;;;;;;;;;;;;;;
99;D66;2006;;;;;;;;;;;;;;;;
100;D66;2010;26.0;23.0;4.0;31.0;86.0;42.0;22.0;27.0;32.0;38.0;75.0;46.0;85.0;19.0;29.0;
101;D66;2012;19.0;6.0;4.0;24.0;92.0;53.0;16.0;27.0;25.0;53.0;;;;;;
102;PVV;2006;29.0;32.0;8.0;19.0;51.0;31.0;68.0;76.0;57.0;19.0;48.0;74.0;99.0;62.0;64.0;82.0
103;PVV;2010;8.0;11.0;8.0;7.0;49.0;35.0;59.0;72.0;64.0;24.0;68.0;69.0;97.0;63.0;63.0;
104;PVV;2012;13.0;8.0;2.0;14.0;49.0;20.0;66.0;77.0;71.0;21.0;;;;;;
105;Overige partij;2006;48.0;37.0;6.0;28.0;69.0;34.0;40.0;53.0;41.0;33.0;64.0;50.0;95.0;49.0;49.0;64.0
106;Overige partij;2010;19.0;12.0;8.0;11.0;73.0;40.0;43.0;59.0;60.0;20.0;52.0;54.0;96.0;58.0;58.0;
107;Overige partij;2012;22.0;6.0;6.0;22.0;71.0;46.0;51.0;60.0;55.0;27.0;;;;;;
108;Niet gestemd;2006;27.0;29.0;9.0;22.0;65.0;43.0;52.0;66.0;59.0;9.0;26.0;76.0;93.0;60.0;55.0;76.0
109;Niet gestemd;2010;16.0;13.0;9.0;14.0;66.0;52.0;49.0;68.0;62.0;17.0;44.0;68.0;93.0;62.0;56.0;
110;Niet gestemd;2012;8.0;5.0;7.0;13.0;72.0;41.0;56.0;74.0;69.0;11.0;;;;;;
