ID;TypeInrichting;Geslacht;Perioden;TotaalPersoneelInrichtingen_1;Management_2;Staf_3;Administratie_4;SocialeDienstverlening_5;EducatieVormingEnSport_6;Arbeid_7;ExecutieveDienst_8;Beveiliging_9;HuishoudelijkeEnTechnischeDienst_10
107;Huizen van bewaring;Vrouwen;2006;;;;;;;;;;
108;Huizen van bewaring;Vrouwen;2007;;;;;;;;;;
109;Huizen van bewaring;Vrouwen;2008;;;;;;;;;;
110;Huizen van bewaring;Vrouwen;2009;;;;;;;;;;
111;Huizen van bewaring;Vrouwen;2010;;;;;;;;;;
112;Huizen van bewaring;Vrouwen;2011;;;;;;;;;;
113;Huizen van bewaring;Vrouwen;2012;;;;;;;;;;
114;Gevangenissen;Totaal geslacht;1994;622.0;21.0;21.0;54.0;27.0;50.0;48.0;287.0;74.0;40.0
115;Gevangenissen;Totaal geslacht;1995;215.0;5.0;6.0;18.0;9.0;24.0;19.0;103.0;19.0;12.0
116;Gevangenissen;Totaal geslacht;1996;505.0;10.0;21.0;49.0;20.0;42.0;56.0;230.0;48.0;29.0
117;Gevangenissen;Totaal geslacht;1997;1003.0;12.0;24.0;60.0;20.0;40.0;50.0;668.0;87.0;42.0
118;Gevangenissen;Totaal geslacht;1998;1264.0;21.0;48.0;98.0;46.0;78.0;109.0;561.0;229.0;74.0
119;Gevangenissen;Totaal geslacht;1999;1279.0;19.0;52.0;100.0;47.0;76.0;111.0;563.0;232.0;79.0
120;Gevangenissen;Totaal geslacht;2000;1277.0;23.0;54.0;94.0;48.0;77.0;107.0;564.0;236.0;77.0
121;Gevangenissen;Totaal geslacht;2001;1247.0;15.0;54.0;100.0;51.0;73.0;105.0;538.0;234.0;77.0
122;Gevangenissen;Totaal geslacht;2002;1261.0;15.0;70.0;100.0;51.0;79.0;104.0;538.0;234.0;70.0
123;Gevangenissen;Totaal geslacht;2003;;;;;;;;;;
124;Gevangenissen;Totaal geslacht;2004;;;;;;;;;;
125;Gevangenissen;Totaal geslacht;2005;;;;;;;;;;
126;Gevangenissen;Totaal geslacht;2006;;;;;;;;;;
127;Gevangenissen;Totaal geslacht;2007;;;;;;;;;;
128;Gevangenissen;Totaal geslacht;2008;;;;;;;;;;
129;Gevangenissen;Totaal geslacht;2009;;;;;;;;;;
130;Gevangenissen;Totaal geslacht;2010;;;;;;;;;;
131;Gevangenissen;Totaal geslacht;2011;;;;;;;;;;
132;Gevangenissen;Totaal geslacht;2012;;;;;;;;;;
133;Gevangenissen;Mannen;1994;488.0;17.0;11.0;27.0;13.0;29.0;46.0;250.0;63.0;32.0
134;Gevangenissen;Mannen;1995;168.0;3.0;5.0;12.0;5.0;11.0;19.0;88.0;15.0;10.0
135;Gevangenissen;Mannen;1996;360.0;8.0;10.0;25.0;9.0;19.0;55.0;173.0;39.0;22.0
136;Gevangenissen;Mannen;1997;763.0;7.0;14.0;32.0;8.0;14.0;47.0;540.0;71.0;30.0
137;Gevangenissen;Mannen;1998;922.0;16.0;20.0;46.0;22.0;35.0;102.0;449.0;177.0;55.0
138;Gevangenissen;Mannen;1999;931.0;14.0;22.0;47.0;22.0;36.0;104.0;447.0;184.0;55.0
139;Gevangenissen;Mannen;2000;937.0;14.0;23.0;49.0;21.0;36.0;99.0;452.0;189.0;54.0
140;Gevangenissen;Mannen;2001;923.0;10.0;23.0;52.0;22.0;34.0;97.0;436.0;192.0;57.0
141;Gevangenissen;Mannen;2002;923.0;10.0;23.0;52.0;22.0;40.0;96.0;436.0;192.0;52.0
142;Gevangenissen;Mannen;2003;;;;;;;;;;
143;Gevangenissen;Mannen;2004;;;;;;;;;;
144;Gevangenissen;Mannen;2005;;;;;;;;;;
145;Gevangenissen;Mannen;2006;;;;;;;;;;
146;Gevangenissen;Mannen;2007;;;;;;;;;;
147;Gevangenissen;Mannen;2008;;;;;;;;;;
148;Gevangenissen;Mannen;2009;;;;;;;;;;
149;Gevangenissen;Mannen;2010;;;;;;;;;;
150;Gevangenissen;Mannen;2011;;;;;;;;;;
151;Gevangenissen;Mannen;2012;;;;;;;;;;
152;Gevangenissen;Vrouwen;1994;134.0;4.0;10.0;27.0;14.0;21.0;2.0;37.0;11.0;8.0
153;Gevangenissen;Vrouwen;1995;47.0;2.0;1.0;6.0;4.0;13.0;0.0;15.0;4.0;2.0
154;Gevangenissen;Vrouwen;1996;145.0;2.0;11.0;24.0;11.0;23.0;1.0;57.0;9.0;7.0
155;Gevangenissen;Vrouwen;1997;240.0;5.0;10.0;28.0;12.0;26.0;3.0;128.0;16.0;12.0
156;Gevangenissen;Vrouwen;1998;342.0;5.0;28.0;52.0;24.0;43.0;7.0;112.0;52.0;19.0
157;Gevangenissen;Vrouwen;1999;348.0;5.0;30.0;53.0;25.0;40.0;7.0;116.0;48.0;24.0
158;Gevangenissen;Vrouwen;2000;340.0;9.0;31.0;45.0;27.0;41.0;8.0;112.0;47.0;23.0
159;Gevangenissen;Vrouwen;2001;324.0;5.0;31.0;48.0;29.0;39.0;8.0;102.0;42.0;20.0
160;Gevangenissen;Vrouwen;2002;338.0;5.0;47.0;48.0;29.0;39.0;8.0;102.0;42.0;18.0
161;Gevangenissen;Vrouwen;2003;;;;;;;;;;
162;Gevangenissen;Vrouwen;2004;;;;;;;;;;
163;Gevangenissen;Vrouwen;2005;;;;;;;;;;
164;Gevangenissen;Vrouwen;2006;;;;;;;;;;
165;Gevangenissen;Vrouwen;2007;;;;;;;;;;
166;Gevangenissen;Vrouwen;2008;;;;;;;;;;
167;Gevangenissen;Vrouwen;2009;;;;;;;;;;
168;Gevangenissen;Vrouwen;2010;;;;;;;;;;
169;Gevangenissen;Vrouwen;2011;;;;;;;;;;
170;Gevangenissen;Vrouwen;2012;;;;;;;;;;
171;Gecombineerde inrichtingen;Totaal geslacht;1994;4040.0;93.0;144.0;301.0;148.0;219.0;292.0;2109.0;431.0;303.0
172;Gecombineerde inrichtingen;Totaal geslacht;1995;5135.0;124.0;191.0;406.0;199.0;282.0;424.0;2517.0;621.0;371.0
173;Gecombineerde inrichtingen;Totaal geslacht;1996;5532.0;130.0;220.0;449.0;217.0;289.0;500.0;2644.0;699.0;384.0
174;Gecombineerde inrichtingen;Totaal geslacht;1997;5620.0;137.0;193.0;349.0;194.0;237.0;402.0;2684.0;992.0;432.0
175;Gecombineerde inrichtingen;Totaal geslacht;1998;5790.0;129.0;242.0;435.0;216.0;280.0;555.0;2646.0;869.0;418.0
176;Gecombineerde inrichtingen;Totaal geslacht;1999;5646.0;127.0;120.0;457.0;226.0;293.0;522.0;2606.0;870.0;425.0
177;Gecombineerde inrichtingen;Totaal geslacht;2000;5432.0;123.0;224.0;444.0;221.0;302.0;483.0;2324.0;975.0;336.0
178;Gecombineerde inrichtingen;Totaal geslacht;2001;5571.0;105.0;244.0;511.0;222.0;298.0;512.0;2289.0;1045.0;345.0
179;Gecombineerde inrichtingen;Totaal geslacht;2002;5613.0;105.0;311.0;511.0;221.0;291.0;525.0;2289.0;1045.0;315.0
180;Gecombineerde inrichtingen;Totaal geslacht;2003;;;;;;;;;;
181;Gecombineerde inrichtingen;Totaal geslacht;2004;;;;;;;;;;
182;Gecombineerde inrichtingen;Totaal geslacht;2005;;;;;;;;;;
183;Gecombineerde inrichtingen;Totaal geslacht;2006;;;;;;;;;;
184;Gecombineerde inrichtingen;Totaal geslacht;2007;;;;;;;;;;
185;Gecombineerde inrichtingen;Totaal geslacht;2008;;;;;;;;;;
186;Gecombineerde inrichtingen;Totaal geslacht;2009;;;;;;;;;;
187;Gecombineerde inrichtingen;Totaal geslacht;2010;;;;;;;;;;
188;Gecombineerde inrichtingen;Totaal geslacht;2011;;;;;;;;;;
189;Gecombineerde inrichtingen;Totaal geslacht;2012;;;;;;;;;;
190;Gecombineerde inrichtingen;Mannen;1994;2997.0;80.0;74.0;157.0;67.0;123.0;267.0;1644.0;344.0;241.0
191;Gecombineerde inrichtingen;Mannen;1995;3785.0;108.0;92.0;199.0;82.0;148.0;383.0;2007.0;490.0;276.0
192;Gecombineerde inrichtingen;Mannen;1996;4099.0;111.0;110.0;212.0;89.0;159.0;456.0;2123.0;551.0;288.0
193;Gecombineerde inrichtingen;Mannen;1997;4085.0;114.0;88.0;152.0;77.0;140.0;350.0;2097.0;751.0;316.0
194;Gecombineerde inrichtingen;Mannen;1998;4162.0;98.0;113.0;197.0;75.0;158.0;497.0;2071.0;654.0;299.0
195;Gecombineerde inrichtingen;Mannen;1999;4025.0;97.0;56.0;203.0;75.0;159.0;461.0;2033.0;648.0;293.0
196;Gecombineerde inrichtingen;Mannen;2000;3822.0;94.0;109.0;204.0;76.0;150.0;430.0;1821.0;697.0;241.0
197;Gecombineerde inrichtingen;Mannen;2001;3905.0;83.0;101.0;233.0;79.0;158.0;461.0;1793.0;748.0;249.0
198;Gecombineerde inrichtingen;Mannen;2002;3889.0;83.0;101.0;233.0;79.0;151.0;474.0;1793.0;748.0;227.0
199;Gecombineerde inrichtingen;Mannen;2003;;;;;;;;;;
200;Gecombineerde inrichtingen;Mannen;2004;;;;;;;;;;
201;Gecombineerde inrichtingen;Mannen;2005;;;;;;;;;;
202;Gecombineerde inrichtingen;Mannen;2006;;;;;;;;;;
203;Gecombineerde inrichtingen;Mannen;2007;;;;;;;;;;
204;Gecombineerde inrichtingen;Mannen;2008;;;;;;;;;;
205;Gecombineerde inrichtingen;Mannen;2009;;;;;;;;;;
206;Gecombineerde inrichtingen;Mannen;2010;;;;;;;;;;
207;Gecombineerde inrichtingen;Mannen;2011;;;;;;;;;;
208;Gecombineerde inrichtingen;Mannen;2012;;;;;;;;;;
209;Gecombineerde inrichtingen;Vrouwen;1994;1043.0;13.0;70.0;144.0;81.0;96.0;25.0;465.0;87.0;62.0
210;Gecombineerde inrichtingen;Vrouwen;1995;1350.0;16.0;99.0;207.0;117.0;134.0;41.0;510.0;131.0;95.0
211;Gecombineerde inrichtingen;Vrouwen;1996;1433.0;19.0;110.0;237.0;128.0;130.0;44.0;521.0;148.0;96.0
212;Gecombineerde inrichtingen;Vrouwen;1997;1535.0;23.0;105.0;197.0;117.0;97.0;52.0;587.0;241.0;116.0
213;Gecombineerde inrichtingen;Vrouwen;1998;1628.0;31.0;129.0;238.0;141.0;122.0;58.0;575.0;215.0;119.0
214;Gecombineerde inrichtingen;Vrouwen;1999;1621.0;30.0;64.0;254.0;151.0;134.0;61.0;573.0;222.0;132.0
215;Gecombineerde inrichtingen;Vrouwen;2000;1610.0;29.0;115.0;240.0;145.0;152.0;53.0;503.0;278.0;95.0
216;Gecombineerde inrichtingen;Vrouwen;2001;1666.0;22.0;143.0;278.0;143.0;140.0;51.0;496.0;297.0;96.0
217;Gecombineerde inrichtingen;Vrouwen;2002;1724.0;22.0;210.0;278.0;142.0;140.0;51.0;496.0;297.0;88.0
218;Gecombineerde inrichtingen;Vrouwen;2003;;;;;;;;;;
219;Gecombineerde inrichtingen;Vrouwen;2004;;;;;;;;;;
220;Gecombineerde inrichtingen;Vrouwen;2005;;;;;;;;;;
221;Gecombineerde inrichtingen;Vrouwen;2006;;;;;;;;;;
222;Gecombineerde inrichtingen;Vrouwen;2007;;;;;;;;;;
223;Gecombineerde inrichtingen;Vrouwen;2008;;;;;;;;;;
224;Gecombineerde inrichtingen;Vrouwen;2009;;;;;;;;;;
225;Gecombineerde inrichtingen;Vrouwen;2010;;;;;;;;;;
226;Gecombineerde inrichtingen;Vrouwen;2011;;;;;;;;;;
227;Gecombineerde inrichtingen;Vrouwen;2012;;;;;;;;;;
228;Bijzondere inrichtingen;Totaal geslacht;1994;117.0;4.0;41.0;8.0;0.0;3.0;0.0;54.0;0.0;7.0
229;Bijzondere inrichtingen;Totaal geslacht;1995;123.0;5.0;43.0;9.0;0.0;2.0;0.0;56.0;0.0;7.0
230;Bijzondere inrichtingen;Totaal geslacht;1996;127.0;5.0;43.0;9.0;0.0;2.0;2.0;57.0;0.0;9.0
231;Bijzondere inrichtingen;Totaal geslacht;1997;129.0;3.0;46.0;10.0;0.0;2.0;2.0;58.0;0.0;8.0
232;Bijzondere inrichtingen;Totaal geslacht;1998;;;;;;;;;;
233;Bijzondere inrichtingen;Totaal geslacht;1999;;;;;;;;;;
234;Bijzondere inrichtingen;Totaal geslacht;2000;;;;;;;;;;
235;Bijzondere inrichtingen;Totaal geslacht;2001;;;;;;;;;;
236;Bijzondere inrichtingen;Totaal geslacht;2002;;;;;;;;;;
237;Bijzondere inrichtingen;Totaal geslacht;2003;;;;;;;;;;
238;Bijzondere inrichtingen;Totaal geslacht;2004;;;;;;;;;;
239;Bijzondere inrichtingen;Totaal geslacht;2005;;;;;;;;;;
240;Bijzondere inrichtingen;Totaal geslacht;2006;;;;;;;;;;
241;Bijzondere inrichtingen;Totaal geslacht;2007;;;;;;;;;;
242;Bijzondere inrichtingen;Totaal geslacht;2008;;;;;;;;;;
243;Bijzondere inrichtingen;Totaal geslacht;2009;;;;;;;;;;
244;Bijzondere inrichtingen;Totaal geslacht;2010;;;;;;;;;;
245;Bijzondere inrichtingen;Totaal geslacht;2011;;;;;;;;;;
246;Bijzondere inrichtingen;Totaal geslacht;2012;;;;;;;;;;
247;Bijzondere inrichtingen;Mannen;1994;65.0;4.0;24.0;0.0;0.0;3.0;0.0;33.0;0.0;1.0
248;Bijzondere inrichtingen;Mannen;1995;67.0;5.0;25.0;0.0;0.0;2.0;0.0;32.0;0.0;2.0
249;Bijzondere inrichtingen;Mannen;1996;71.0;5.0;26.0;0.0;0.0;2.0;1.0;34.0;0.0;3.0
250;Bijzondere inrichtingen;Mannen;1997;67.0;3.0;26.0;0.0;0.0;2.0;1.0;33.0;0.0;2.0
251;Bijzondere inrichtingen;Mannen;1998;;;;;;;;;;
252;Bijzondere inrichtingen;Mannen;1999;;;;;;;;;;
253;Bijzondere inrichtingen;Mannen;2000;;;;;;;;;;
254;Bijzondere inrichtingen;Mannen;2001;;;;;;;;;;
255;Bijzondere inrichtingen;Mannen;2002;;;;;;;;;;
256;Bijzondere inrichtingen;Mannen;2003;;;;;;;;;;
257;Bijzondere inrichtingen;Mannen;2004;;;;;;;;;;
258;Bijzondere inrichtingen;Mannen;2005;;;;;;;;;;
259;Bijzondere inrichtingen;Mannen;2006;;;;;;;;;;
