ID;TypeOfMonument;Regions;Periods;ListedMonumentsAndHistoricBuildings_1
35;Listed monuments total ;Groningen (PV);2018;2555
36;Listed monuments total ;Friesland (PV);2013;4169
37;Listed monuments total ;Friesland (PV);2014;4158
38;Listed monuments total ;Friesland (PV);2015;4157
39;Listed monuments total ;Friesland (PV);2016;4153
40;Listed monuments total ;Friesland (PV);2017;4153
41;Listed monuments total ;Friesland (PV);2018;4143
42;Listed monuments total ;Drenthe (PV);2013;1284
43;Listed monuments total ;Drenthe (PV);2014;1291
44;Listed monuments total ;Drenthe (PV);2015;1282
45;Listed monuments total ;Drenthe (PV);2016;1282
46;Listed monuments total ;Drenthe (PV);2017;1282
47;Listed monuments total ;Drenthe (PV);2018;1281
48;Listed monuments total ;Overijssel (PV);2013;3945
49;Listed monuments total ;Overijssel (PV);2014;3943
50;Listed monuments total ;Overijssel (PV);2015;3943
51;Listed monuments total ;Overijssel (PV);2016;3943
52;Listed monuments total ;Overijssel (PV);2017;3941
53;Listed monuments total ;Overijssel (PV);2018;3932
54;Listed monuments total ;Flevoland (PV);2013;79
55;Listed monuments total ;Flevoland (PV);2014;81
56;Listed monuments total ;Flevoland (PV);2015;81
57;Listed monuments total ;Flevoland (PV);2016;82
58;Listed monuments total ;Flevoland (PV);2017;82
59;Listed monuments total ;Flevoland (PV);2018;82
60;Listed monuments total ;Gelderland (PV);2013;6169
61;Listed monuments total ;Gelderland (PV);2014;6227
62;Listed monuments total ;Gelderland (PV);2015;6270
63;Listed monuments total ;Gelderland (PV);2016;6272
64;Listed monuments total ;Gelderland (PV);2017;6284
65;Listed monuments total ;Gelderland (PV);2018;6277
66;Listed monuments total ;Utrecht (PV);2013;5479
67;Listed monuments total ;Utrecht (PV);2014;5489
68;Listed monuments total ;Utrecht (PV);2015;5509
69;Listed monuments total ;Utrecht (PV);2016;5618
70;Listed monuments total ;Utrecht (PV);2017;5618
71;Listed monuments total ;Utrecht (PV);2018;5611
72;Listed monuments total ;Noord-Holland (PV);2013;14086
73;Listed monuments total ;Noord-Holland (PV);2014;14037
74;Listed monuments total ;Noord-Holland (PV);2015;14034
75;Listed monuments total ;Noord-Holland (PV);2016;14044
76;Listed monuments total ;Noord-Holland (PV);2017;14042
77;Listed monuments total ;Noord-Holland (PV);2018;14031
78;Listed monuments total ;Zuid-Holland (PV);2013;9119
79;Listed monuments total ;Zuid-Holland (PV);2014;9160
80;Listed monuments total ;Zuid-Holland (PV);2015;9159
81;Listed monuments total ;Zuid-Holland (PV);2016;9158
82;Listed monuments total ;Zuid-Holland (PV);2017;9157
83;Listed monuments total ;Zuid-Holland (PV);2018;9154
84;Listed monuments total ;Zeeland (PV);2013;3690
85;Listed monuments total ;Zeeland (PV);2014;3679
86;Listed monuments total ;Zeeland (PV);2015;3675
87;Listed monuments total ;Zeeland (PV);2016;3677
88;Listed monuments total ;Zeeland (PV);2017;3677
89;Listed monuments total ;Zeeland (PV);2018;3677
90;Listed monuments total ;Noord-Brabant (PV);2013;5810
91;Listed monuments total ;Noord-Brabant (PV);2014;5806
92;Listed monuments total ;Noord-Brabant (PV);2015;5841
93;Listed monuments total ;Noord-Brabant (PV);2016;5832
94;Listed monuments total ;Noord-Brabant (PV);2017;5830
95;Listed monuments total ;Noord-Brabant (PV);2018;5825
96;Listed monuments total ;Limburg (PV);2013;5344
97;Listed monuments total ;Limburg (PV);2014;5341
98;Listed monuments total ;Limburg (PV);2015;5339
99;Listed monuments total ;Limburg (PV);2016;5340
100;Listed monuments total ;Limburg (PV);2017;5342
101;Listed monuments total ;Limburg (PV);2018;5340
102;Listed monuments total ;Oost-Groningen (CR);2013;520
103;Listed monuments total ;Oost-Groningen (CR);2014;520
104;Listed monuments total ;Oost-Groningen (CR);2015;520
105;Listed monuments total ;Oost-Groningen (CR);2016;520
106;Listed monuments total ;Oost-Groningen (CR);2017;520
107;Listed monuments total ;Oost-Groningen (CR);2018;520
108;Listed monuments total ;Delfzijl en omgeving (CR);2013;314
109;Listed monuments total ;Delfzijl en omgeving (CR);2014;315
110;Listed monuments total ;Delfzijl en omgeving (CR);2015;315
111;Listed monuments total ;Delfzijl en omgeving (CR);2016;315
112;Listed monuments total ;Delfzijl en omgeving (CR);2017;315
113;Listed monuments total ;Delfzijl en omgeving (CR);2018;313
114;Listed monuments total ;Overig Groningen (CR);2013;1722
115;Listed monuments total ;Overig Groningen (CR);2014;1721
116;Listed monuments total ;Overig Groningen (CR);2015;1722
117;Listed monuments total ;Overig Groningen (CR);2016;1722
118;Listed monuments total ;Overig Groningen (CR);2017;1722
119;Listed monuments total ;Overig Groningen (CR);2018;1722
120;Listed monuments total ;Noord-Friesland (CR);2013;2755
121;Listed monuments total ;Noord-Friesland (CR);2014;2746
122;Listed monuments total ;Noord-Friesland (CR);2015;2745
123;Listed monuments total ;Noord-Friesland (CR);2016;2742
124;Listed monuments total ;Noord-Friesland (CR);2017;2742
125;Listed monuments total ;Noord-Friesland (CR);2018;2737
126;Listed monuments total ;Zuidwest-Friesland (CR);2013;991
127;Listed monuments total ;Zuidwest-Friesland (CR);2014;991
128;Listed monuments total ;Zuidwest-Friesland (CR);2015;988
129;Listed monuments total ;Zuidwest-Friesland (CR);2016;988
130;Listed monuments total ;Zuidwest-Friesland (CR);2017;988
131;Listed monuments total ;Zuidwest-Friesland (CR);2018;983
132;Listed monuments total ;Zuidoost-Friesland (CR);2013;423
133;Listed monuments total ;Zuidoost-Friesland (CR);2014;421
134;Listed monuments total ;Zuidoost-Friesland (CR);2015;424
135;Listed monuments total ;Zuidoost-Friesland (CR);2016;423
136;Listed monuments total ;Zuidoost-Friesland (CR);2017;423
137;Listed monuments total ;Zuidoost-Friesland (CR);2018;423
138;Listed monuments total ;Noord-Drenthe (CR);2013;591
139;Listed monuments total ;Noord-Drenthe (CR);2014;598
140;Listed monuments total ;Noord-Drenthe (CR);2015;598
141;Listed monuments total ;Noord-Drenthe (CR);2016;598
142;Listed monuments total ;Noord-Drenthe (CR);2017;598
143;Listed monuments total ;Noord-Drenthe (CR);2018;598
144;Listed monuments total ;Zuidoost-Drenthe (CR);2013;269
145;Listed monuments total ;Zuidoost-Drenthe (CR);2014;269
146;Listed monuments total ;Zuidoost-Drenthe (CR);2015;268
147;Listed monuments total ;Zuidoost-Drenthe (CR);2016;268
148;Listed monuments total ;Zuidoost-Drenthe (CR);2017;268
149;Listed monuments total ;Zuidoost-Drenthe (CR);2018;267
150;Listed monuments total ;Zuidwest-Drenthe (CR);2013;424
151;Listed monuments total ;Zuidwest-Drenthe (CR);2014;424
152;Listed monuments total ;Zuidwest-Drenthe (CR);2015;416
153;Listed monuments total ;Zuidwest-Drenthe (CR);2016;416
154;Listed monuments total ;Zuidwest-Drenthe (CR);2017;416
155;Listed monuments total ;Zuidwest-Drenthe (CR);2018;416
156;Listed monuments total ;Noord-Overijssel (CR);2013;1997
157;Listed monuments total ;Noord-Overijssel (CR);2014;1997
158;Listed monuments total ;Noord-Overijssel (CR);2015;1993
159;Listed monuments total ;Noord-Overijssel (CR);2016;1993
160;Listed monuments total ;Noord-Overijssel (CR);2017;1993
161;Listed monuments total ;Noord-Overijssel (CR);2018;1987
162;Listed monuments total ;Zuidwest-Overijssel (CR);2013;797
163;Listed monuments total ;Zuidwest-Overijssel (CR);2014;796
164;Listed monuments total ;Zuidwest-Overijssel (CR);2015;796
165;Listed monuments total ;Zuidwest-Overijssel (CR);2016;796
166;Listed monuments total ;Zuidwest-Overijssel (CR);2017;795
167;Listed monuments total ;Zuidwest-Overijssel (CR);2018;794
168;Listed monuments total ;Twente (CR);2013;1151
169;Listed monuments total ;Twente (CR);2014;1150
170;Listed monuments total ;Twente (CR);2015;1154
171;Listed monuments total ;Twente (CR);2016;1154
172;Listed monuments total ;Twente (CR);2017;1153
173;Listed monuments total ;Twente (CR);2018;1151
174;Listed monuments total ;Veluwe (CR);2013;1640
175;Listed monuments total ;Veluwe (CR);2014;1641
176;Listed monuments total ;Veluwe (CR);2015;1639
177;Listed monuments total ;Veluwe (CR);2016;1639
178;Listed monuments total ;Veluwe (CR);2017;1641
179;Listed monuments total ;Veluwe (CR);2018;1636
180;Listed monuments total ;Achterhoek (CR);2013;1559
181;Listed monuments total ;Achterhoek (CR);2014;1557
182;Listed monuments total ;Achterhoek (CR);2015;1555
183;Listed monuments total ;Achterhoek (CR);2016;1555
184;Listed monuments total ;Achterhoek (CR);2017;1555
185;Listed monuments total ;Achterhoek (CR);2018;1555
186;Listed monuments total ;Arnhem/Nijmegen (CR);2013;1835
187;Listed monuments total ;Arnhem/Nijmegen (CR);2014;1837
188;Listed monuments total ;Arnhem/Nijmegen (CR);2015;1847
189;Listed monuments total ;Arnhem/Nijmegen (CR);2016;1853
190;Listed monuments total ;Arnhem/Nijmegen (CR);2017;1853
191;Listed monuments total ;Arnhem/Nijmegen (CR);2018;1851
192;Listed monuments total ;Zuidwest-Gelderland (CR);2013;1135
193;Listed monuments total ;Zuidwest-Gelderland (CR);2014;1192
194;Listed monuments total ;Zuidwest-Gelderland (CR);2015;1229
195;Listed monuments total ;Zuidwest-Gelderland (CR);2016;1225
196;Listed monuments total ;Zuidwest-Gelderland (CR);2017;1235
197;Listed monuments total ;Zuidwest-Gelderland (CR);2018;1235
198;Listed monuments total ;Utrecht (CR);2013;5479
199;Listed monuments total ;Utrecht (CR);2014;5489
200;Listed monuments total ;Utrecht (CR);2015;5509
201;Listed monuments total ;Utrecht (CR);2016;5618
202;Listed monuments total ;Utrecht (CR);2017;5618
203;Listed monuments total ;Utrecht (CR);2018;5611
204;Listed monuments total ;Kop van Noord-Holland (CR);2013;1543
205;Listed monuments total ;Kop van Noord-Holland (CR);2014;1540
206;Listed monuments total ;Kop van Noord-Holland (CR);2015;1539
207;Listed monuments total ;Kop van Noord-Holland (CR);2016;1540
208;Listed monuments total ;Kop van Noord-Holland (CR);2017;1540
209;Listed monuments total ;Kop van Noord-Holland (CR);2018;1538
210;Listed monuments total ;Alkmaar en omgeving (CR);2013;774
211;Listed monuments total ;Alkmaar en omgeving (CR);2014;774
212;Listed monuments total ;Alkmaar en omgeving (CR);2015;773
213;Listed monuments total ;Alkmaar en omgeving (CR);2016;772
214;Listed monuments total ;Alkmaar en omgeving (CR);2017;772
215;Listed monuments total ;Alkmaar en omgeving (CR);2018;772
216;Listed monuments total ;IJmond (CR);2013;273
217;Listed monuments total ;IJmond (CR);2014;276
218;Listed monuments total ;IJmond (CR);2015;276
219;Listed monuments total ;IJmond (CR);2016;276
220;Listed monuments total ;IJmond (CR);2017;276
221;Listed monuments total ;IJmond (CR);2018;276
222;Listed monuments total ;Agglomeratie Haarlem (CR);2013;1590
223;Listed monuments total ;Agglomeratie Haarlem (CR);2014;1589
224;Listed monuments total ;Agglomeratie Haarlem (CR);2015;1591
225;Listed monuments total ;Agglomeratie Haarlem (CR);2016;1590
226;Listed monuments total ;Agglomeratie Haarlem (CR);2017;1590
227;Listed monuments total ;Agglomeratie Haarlem (CR);2018;1588
228;Listed monuments total ;Zaanstreek (CR);2013;309
229;Listed monuments total ;Zaanstreek (CR);2014;309
230;Listed monuments total ;Zaanstreek (CR);2015;309
231;Listed monuments total ;Zaanstreek (CR);2016;309
232;Listed monuments total ;Zaanstreek (CR);2017;309
233;Listed monuments total ;Zaanstreek (CR);2018;309
234;Listed monuments total ;Groot-Amsterdam (CR);2013;8348
235;Listed monuments total ;Groot-Amsterdam (CR);2014;8346
236;Listed monuments total ;Groot-Amsterdam (CR);2015;8344
237;Listed monuments total ;Groot-Amsterdam (CR);2016;8352
238;Listed monuments total ;Groot-Amsterdam (CR);2017;8350
239;Listed monuments total ;Groot-Amsterdam (CR);2018;8344
240;Listed monuments total ;Het Gooi en Vechtstreek (CR);2013;1249
241;Listed monuments total ;Het Gooi en Vechtstreek (CR);2014;1203
242;Listed monuments total ;Het Gooi en Vechtstreek (CR);2015;1202
243;Listed monuments total ;Het Gooi en Vechtstreek (CR);2016;1205
244;Listed monuments total ;Het Gooi en Vechtstreek (CR);2017;1205
245;Listed monuments total ;Het Gooi en Vechtstreek (CR);2018;1204
246;Listed monuments total ;Agglomeratie Leiden en Bollenstreek (CR);2013;1809
247;Listed monuments total ;Agglomeratie Leiden en Bollenstreek (CR);2014;1808
248;Listed monuments total ;Agglomeratie Leiden en Bollenstreek (CR);2015;1808
249;Listed monuments total ;Agglomeratie Leiden en Bollenstreek (CR);2016;1807
250;Listed monuments total ;Agglomeratie Leiden en Bollenstreek (CR);2017;1807
251;Listed monuments total ;Agglomeratie Leiden en Bollenstreek (CR);2018;1809
252;Listed monuments total ;Agglomeratie 's-Gravenhage (CR);2013;1744
253;Listed monuments total ;Agglomeratie 's-Gravenhage (CR);2014;1748
254;Listed monuments total ;Agglomeratie 's-Gravenhage (CR);2015;1747
255;Listed monuments total ;Agglomeratie 's-Gravenhage (CR);2016;1746
256;Listed monuments total ;Agglomeratie 's-Gravenhage (CR);2017;1747
257;Listed monuments total ;Agglomeratie 's-Gravenhage (CR);2018;1746
258;Listed monuments total ;Delft en Westland (CR);2013;870
259;Listed monuments total ;Delft en Westland (CR);2014;871
260;Listed monuments total ;Delft en Westland (CR);2015;871
261;Listed monuments total ;Delft en Westland (CR);2016;871
262;Listed monuments total ;Delft en Westland (CR);2017;871
263;Listed monuments total ;Delft en Westland (CR);2018;871
264;Listed monuments total ;Oost-Zuid-Holland (CR);2013;942
265;Listed monuments total ;Oost-Zuid-Holland (CR);2014;942
266;Listed monuments total ;Oost-Zuid-Holland (CR);2015;941
267;Listed monuments total ;Oost-Zuid-Holland (CR);2016;941
268;Listed monuments total ;Oost-Zuid-Holland (CR);2017;941
269;Listed monuments total ;Oost-Zuid-Holland (CR);2018;940
270;Listed monuments total ;Groot-Rijnmond (CR);2013;2185
271;Listed monuments total ;Groot-Rijnmond (CR);2014;2220
272;Listed monuments total ;Groot-Rijnmond (CR);2015;2221
273;Listed monuments total ;Groot-Rijnmond (CR);2016;2225
274;Listed monuments total ;Groot-Rijnmond (CR);2017;2223
275;Listed monuments total ;Groot-Rijnmond (CR);2018;2220
276;Listed monuments total ;Zuidoost-Zuid-Holland (CR);2013;1569
277;Listed monuments total ;Zuidoost-Zuid-Holland (CR);2014;1571
278;Listed monuments total ;Zuidoost-Zuid-Holland (CR);2015;1571
279;Listed monuments total ;Zuidoost-Zuid-Holland (CR);2016;1568
280;Listed monuments total ;Zuidoost-Zuid-Holland (CR);2017;1568
281;Listed monuments total ;Zuidoost-Zuid-Holland (CR);2018;1568
282;Listed monuments total ;Zeeuwsch-Vlaanderen (CR);2013;388
283;Listed monuments total ;Zeeuwsch-Vlaanderen (CR);2014;385
284;Listed monuments total ;Zeeuwsch-Vlaanderen (CR);2015;385
285;Listed monuments total ;Zeeuwsch-Vlaanderen (CR);2016;385
286;Listed monuments total ;Zeeuwsch-Vlaanderen (CR);2017;385
287;Listed monuments total ;Zeeuwsch-Vlaanderen (CR);2018;385
288;Listed monuments total ;Overig Zeeland (CR);2013;3302
289;Listed monuments total ;Overig Zeeland (CR);2014;3294
290;Listed monuments total ;Overig Zeeland (CR);2015;3290
291;Listed monuments total ;Overig Zeeland (CR);2016;3292
292;Listed monuments total ;Overig Zeeland (CR);2017;3292
293;Listed monuments total ;Overig Zeeland (CR);2018;3292
294;Listed monuments total ;West-Noord-Brabant (CR);2013;1659
295;Listed monuments total ;West-Noord-Brabant (CR);2014;1658
296;Listed monuments total ;West-Noord-Brabant (CR);2015;1658
297;Listed monuments total ;West-Noord-Brabant (CR);2016;1653
298;Listed monuments total ;West-Noord-Brabant (CR);2017;1653
299;Listed monuments total ;West-Noord-Brabant (CR);2018;1652
300;Listed monuments total ;Midden-Noord-Brabant (CR);2013;1061
301;Listed monuments total ;Midden-Noord-Brabant (CR);2014;1061
302;Listed monuments total ;Midden-Noord-Brabant (CR);2015;1096
303;Listed monuments total ;Midden-Noord-Brabant (CR);2016;1092
304;Listed monuments total ;Midden-Noord-Brabant (CR);2017;1091
305;Listed monuments total ;Midden-Noord-Brabant (CR);2018;1091
306;Listed monuments total ;Noordoost-Noord-Brabant (CR);2013;2076
307;Listed monuments total ;Noordoost-Noord-Brabant (CR);2014;2075
308;Listed monuments total ;Noordoost-Noord-Brabant (CR);2015;2076
309;Listed monuments total ;Noordoost-Noord-Brabant (CR);2016;2076
310;Listed monuments total ;Noordoost-Noord-Brabant (CR);2017;2075
311;Listed monuments total ;Noordoost-Noord-Brabant (CR);2018;2072
312;Listed monuments total ;Zuidoost-Noord-Brabant (CR);2013;1014
313;Listed monuments total ;Zuidoost-Noord-Brabant (CR);2014;1012
314;Listed monuments total ;Zuidoost-Noord-Brabant (CR);2015;1011
315;Listed monuments total ;Zuidoost-Noord-Brabant (CR);2016;1011
316;Listed monuments total ;Zuidoost-Noord-Brabant (CR);2017;1011
317;Listed monuments total ;Zuidoost-Noord-Brabant (CR);2018;1010
318;Listed monuments total ;Noord-Limburg (CR);2013;532
319;Listed monuments total ;Noord-Limburg (CR);2014;530
320;Listed monuments total ;Noord-Limburg (CR);2015;529
321;Listed monuments total ;Noord-Limburg (CR);2016;529
322;Listed monuments total ;Noord-Limburg (CR);2017;530
323;Listed monuments total ;Noord-Limburg (CR);2018;530
324;Listed monuments total ;Midden-Limburg (CR);2013;822
325;Listed monuments total ;Midden-Limburg (CR);2014;822
326;Listed monuments total ;Midden-Limburg (CR);2015;822
327;Listed monuments total ;Midden-Limburg (CR);2016;822
328;Listed monuments total ;Midden-Limburg (CR);2017;822
329;Listed monuments total ;Midden-Limburg (CR);2018;820
330;Listed monuments total ;Zuid-Limburg (CR);2013;3990
331;Listed monuments total ;Zuid-Limburg (CR);2014;3989
332;Listed monuments total ;Zuid-Limburg (CR);2015;3988
333;Listed monuments total ;Zuid-Limburg (CR);2016;3989
334;Listed monuments total ;Zuid-Limburg (CR);2017;3990
335;Listed monuments total ;Zuid-Limburg (CR);2018;3990
336;Listed monuments total ;Flevoland (CR);2013;79
337;Listed monuments total ;Flevoland (CR);2014;81
338;Listed monuments total ;Flevoland (CR);2015;81
339;Listed monuments total ;Flevoland (CR);2016;82
340;Listed monuments total ;Flevoland (CR);2017;82
341;Listed monuments total ;Flevoland (CR);2018;82
342;Listed monuments total ;Aa en Hunze;2013;76
343;Listed monuments total ;Aa en Hunze;2014;76
344;Listed monuments total ;Aa en Hunze;2015;76
345;Listed monuments total ;Aa en Hunze;2016;76
346;Listed monuments total ;Aa en Hunze;2017;76
347;Listed monuments total ;Aa en Hunze;2018;76
348;Listed monuments total ;Aalburg;2013;47
349;Listed monuments total ;Aalburg;2014;47
350;Listed monuments total ;Aalburg;2015;47
351;Listed monuments total ;Aalburg;2016;47
352;Listed monuments total ;Aalburg;2017;47
353;Listed monuments total ;Aalburg;2018;47
354;Listed monuments total ;Aalsmeer;2013;38
355;Listed monuments total ;Aalsmeer;2014;37
356;Listed monuments total ;Aalsmeer;2015;37
357;Listed monuments total ;Aalsmeer;2016;37
358;Listed monuments total ;Aalsmeer;2017;37
359;Listed monuments total ;Aalsmeer;2018;37
360;Listed monuments total ;Aalten;2013;61
361;Listed monuments total ;Aalten;2014;61
362;Listed monuments total ;Aalten;2015;61
363;Listed monuments total ;Aalten;2016;61
364;Listed monuments total ;Aalten;2017;61
365;Listed monuments total ;Aalten;2018;61
366;Listed monuments total ;Achtkarspelen;2013;66
367;Listed monuments total ;Achtkarspelen;2014;66
368;Listed monuments total ;Achtkarspelen;2015;66
369;Listed monuments total ;Achtkarspelen;2016;66
370;Listed monuments total ;Achtkarspelen;2017;66
371;Listed monuments total ;Achtkarspelen;2018;66
372;Listed monuments total ;Alblasserdam;2013;20
373;Listed monuments total ;Alblasserdam;2014;20
374;Listed monuments total ;Alblasserdam;2015;20
375;Listed monuments total ;Alblasserdam;2016;20
376;Listed monuments total ;Alblasserdam;2017;20
377;Listed monuments total ;Alblasserdam;2018;20
378;Listed monuments total ;Albrandswaard;2013;27
379;Listed monuments total ;Albrandswaard;2014;27
380;Listed monuments total ;Albrandswaard;2015;27
381;Listed monuments total ;Albrandswaard;2016;27
382;Listed monuments total ;Albrandswaard;2017;27
383;Listed monuments total ;Albrandswaard;2018;27
384;Listed monuments total ;Alkmaar;2013;578
385;Listed monuments total ;Alkmaar;2014;578
386;Listed monuments total ;Alkmaar;2015;577
387;Listed monuments total ;Alkmaar;2016;577
388;Listed monuments total ;Alkmaar;2017;577
389;Listed monuments total ;Alkmaar;2018;577
390;Listed monuments total ;Almelo;2013;76
391;Listed monuments total ;Almelo;2014;76
392;Listed monuments total ;Almelo;2015;77
393;Listed monuments total ;Almelo;2016;77
394;Listed monuments total ;Almelo;2017;77
395;Listed monuments total ;Almelo;2018;76
396;Listed monuments total ;Almere;2013;0
397;Listed monuments total ;Almere;2014;0
398;Listed monuments total ;Almere;2015;0
399;Listed monuments total ;Almere;2016;0
400;Listed monuments total ;Almere;2017;0
401;Listed monuments total ;Almere;2018;0
402;Listed monuments total ;Alphen aan den Rijn;2013;167
403;Listed monuments total ;Alphen aan den Rijn;2014;167
404;Listed monuments total ;Alphen aan den Rijn;2015;167
405;Listed monuments total ;Alphen aan den Rijn;2016;167
406;Listed monuments total ;Alphen aan den Rijn;2017;167
407;Listed monuments total ;Alphen aan den Rijn;2018;167
408;Listed monuments total ;Alphen-Chaam;2013;61
409;Listed monuments total ;Alphen-Chaam;2014;61
410;Listed monuments total ;Alphen-Chaam;2015;61
411;Listed monuments total ;Alphen-Chaam;2016;61
412;Listed monuments total ;Alphen-Chaam;2017;61
413;Listed monuments total ;Alphen-Chaam;2018;61
414;Listed monuments total ;Ameland;2013;113
415;Listed monuments total ;Ameland;2014;112
416;Listed monuments total ;Ameland;2015;112
417;Listed monuments total ;Ameland;2016;112
418;Listed monuments total ;Ameland;2017;112
419;Listed monuments total ;Ameland;2018;112
420;Listed monuments total ;Amersfoort;2013;457
421;Listed monuments total ;Amersfoort;2014;457
422;Listed monuments total ;Amersfoort;2015;457
423;Listed monuments total ;Amersfoort;2016;457
424;Listed monuments total ;Amersfoort;2017;457
425;Listed monuments total ;Amersfoort;2018;457
426;Listed monuments total ;Amstelveen;2013;71
427;Listed monuments total ;Amstelveen;2014;72
428;Listed monuments total ;Amstelveen;2015;72
429;Listed monuments total ;Amstelveen;2016;72
430;Listed monuments total ;Amstelveen;2017;71
431;Listed monuments total ;Amstelveen;2018;71
432;Listed monuments total ;Amsterdam;2013;7504
433;Listed monuments total ;Amsterdam;2014;7502
434;Listed monuments total ;Amsterdam;2015;7499
435;Listed monuments total ;Amsterdam;2016;7507
436;Listed monuments total ;Amsterdam;2017;7506
437;Listed monuments total ;Amsterdam;2018;7500
438;Listed monuments total ;Apeldoorn;2013;172
439;Listed monuments total ;Apeldoorn;2014;173
440;Listed monuments total ;Apeldoorn;2015;173
441;Listed monuments total ;Apeldoorn;2016;173
442;Listed monuments total ;Apeldoorn;2017;174
443;Listed monuments total ;Apeldoorn;2018;174
444;Listed monuments total ;Appingedam;2013;75
445;Listed monuments total ;Appingedam;2014;76
446;Listed monuments total ;Appingedam;2015;76
447;Listed monuments total ;Appingedam;2016;76
448;Listed monuments total ;Appingedam;2017;76
449;Listed monuments total ;Appingedam;2018;75
450;Listed monuments total ;Arnhem;2013;545
451;Listed monuments total ;Arnhem;2014;545
452;Listed monuments total ;Arnhem;2015;555
453;Listed monuments total ;Arnhem;2016;557
454;Listed monuments total ;Arnhem;2017;558
455;Listed monuments total ;Arnhem;2018;558
456;Listed monuments total ;Assen;2013;135
457;Listed monuments total ;Assen;2014;135
458;Listed monuments total ;Assen;2015;135
459;Listed monuments total ;Assen;2016;135
460;Listed monuments total ;Assen;2017;135
461;Listed monuments total ;Assen;2018;135
462;Listed monuments total ;Asten;2013;22
463;Listed monuments total ;Asten;2014;20
464;Listed monuments total ;Asten;2015;20
465;Listed monuments total ;Asten;2016;20
466;Listed monuments total ;Asten;2017;20
467;Listed monuments total ;Asten;2018;20
468;Listed monuments total ;Baarle-Nassau;2013;15
469;Listed monuments total ;Baarle-Nassau;2014;15
470;Listed monuments total ;Baarle-Nassau;2015;15
471;Listed monuments total ;Baarle-Nassau;2016;15
472;Listed monuments total ;Baarle-Nassau;2017;15
473;Listed monuments total ;Baarle-Nassau;2018;15
474;Listed monuments total ;Baarn;2013;149
475;Listed monuments total ;Baarn;2014;149
476;Listed monuments total ;Baarn;2015;149
477;Listed monuments total ;Baarn;2016;148
478;Listed monuments total ;Baarn;2017;148
479;Listed monuments total ;Baarn;2018;147
480;Listed monuments total ;Barendrecht;2013;19
481;Listed monuments total ;Barendrecht;2014;19
482;Listed monuments total ;Barendrecht;2015;19
483;Listed monuments total ;Barendrecht;2016;19
484;Listed monuments total ;Barendrecht;2017;19
485;Listed monuments total ;Barendrecht;2018;19
486;Listed monuments total ;Barneveld;2013;32
487;Listed monuments total ;Barneveld;2014;32
488;Listed monuments total ;Barneveld;2015;32
489;Listed monuments total ;Barneveld;2016;32
490;Listed monuments total ;Barneveld;2017;32
491;Listed monuments total ;Barneveld;2018;32
492;Listed monuments total ;Bedum;2013;70
493;Listed monuments total ;Bedum;2014;70
494;Listed monuments total ;Bedum;2015;70
495;Listed monuments total ;Bedum;2016;70
496;Listed monuments total ;Bedum;2017;70
497;Listed monuments total ;Bedum;2018;70
498;Listed monuments total ;Beek (L.);2013;54
499;Listed monuments total ;Beek (L.);2014;54
500;Listed monuments total ;Beek (L.);2015;54
501;Listed monuments total ;Beek (L.);2016;54
502;Listed monuments total ;Beek (L.);2017;54
503;Listed monuments total ;Beek (L.);2018;54
504;Listed monuments total ;Beemster;2013;89
505;Listed monuments total ;Beemster;2014;89
506;Listed monuments total ;Beemster;2015;89
507;Listed monuments total ;Beemster;2016;89
508;Listed monuments total ;Beemster;2017;89
