ID;PrognoseInterval;Perioden;BevolkingOp1Januari_1;k_0Tot20Jaar_2;k_20Tot65Jaar_3;k_65JaarEnOuder_4;k_0Tot20Jaar_5;k_20Tot65Jaar_6;k_65JaarEnOuder_7;TotaleDruk_8;GroeneDruk_9;GrijzeDruk_10;Levendgeborenen_11;TotaalVruchtbaarheidscijfer_12;Overledenen_13;Totaal_14;Mannen_15;Vrouwen_16;Totaal_17;Mannen_18;Vrouwen_19;Immigratie_20;EmigratieInclusiefCorrecties_21;MigratiesaldoInclusiefCorrecties_22
14;Prognose;2032;18134950.0;3797905.0;9947616.0;4389430.0;20.9;54.9;24.2;82.3;38.2;44.1;196954;1.75;179346;84.14;82.38;85.91;21.52;20.16;22.87;232505;202426;30079
15;Prognose;2033;18182638.0;3819120.0;9904151.0;4459367.0;21.0;54.5;24.5;83.6;38.6;45.0;196503;1.75;181750;84.3;82.53;86.08;21.64;20.27;23.0;232498;202935;29563
16;Prognose;2034;18226952.0;3844152.0;9854573.0;4528228.0;21.1;54.1;24.8;85.0;39.0;46.0;195930;1.75;184106;84.46;82.67;86.26;21.76;20.37;23.13;232573;203417;29156
17;Prognose;2035;18267932.0;3864945.0;9798656.0;4604332.0;21.2;53.6;25.2;86.4;39.4;47.0;195194;1.75;186399;84.61;82.81;86.43;21.87;20.47;23.26;232587;203843;28744
18;Prognose;2036;18305472.0;3889441.0;9744125.0;4671906.0;21.2;53.2;25.5;87.9;39.9;47.9;194178;1.75;188603;84.77;82.96;86.6;21.99;20.58;23.39;232555;204188;28367
19;Prognose;2037;18339414.0;3911250.0;9701250.0;4726914.0;21.3;52.9;25.8;89.0;40.3;48.7;192962;1.75;190706;84.93;83.1;86.77;22.11;20.68;23.52;232488;204458;28030
20;Prognose;2038;18369700.0;3934935.0;9666256.0;4768509.0;21.4;52.6;26.0;90.0;40.7;49.3;191623;1.75;192684;85.08;83.24;86.94;22.22;20.78;23.65;232439;204677;27762
21;Prognose;2039;18396400.0;3957710.0;9647801.0;4790890.0;21.5;52.4;26.0;90.7;41.0;49.7;190243;1.75;194517;85.23;83.38;87.1;22.33;20.88;23.77;232467;204825;27642
22;Prognose;2040;18419768.0;3976519.0;9639174.0;4804075.0;21.6;52.3;26.1;91.1;41.3;49.8;188883;1.75;196183;85.38;83.52;87.26;22.45;20.98;23.9;232388;204950;27438
23;Prognose;2041;18439904.0;3990899.0;9641828.0;4807178.0;21.6;52.3;26.1;91.2;41.4;49.9;187566;1.75;197690;85.53;83.65;87.42;22.56;21.09;24.02;232286;205081;27205
24;Prognose;2042;18456986.0;4000267.0;9649554.0;4807165.0;21.7;52.3;26.0;91.3;41.5;49.8;186385;1.75;199042;85.68;83.79;87.58;22.67;21.19;24.14;232256;205205;27051
25;Prognose;2043;18471380.0;4005348.0;9662433.0;4803599.0;21.7;52.3;26.0;91.2;41.5;49.7;185382;1.75;200238;85.83;83.93;87.73;22.78;21.28;24.26;232324;205391;26933
26;Prognose;2044;18483456.0;4006124.0;9676266.0;4801067.0;21.7;52.4;26.0;91.0;41.4;49.6;184572;1.75;201274;85.97;84.06;87.89;22.89;21.38;24.38;232382;205553;26829
27;Prognose;2045;18493584.0;4002823.0;9693730.0;4797030.0;21.6;52.4;25.9;90.8;41.3;49.5;183939;1.75;202245;86.12;84.19;88.04;23.0;21.48;24.5;232246;205700;26546
28;Prognose;2046;18501824.0;3996133.0;9708008.0;4797683.0;21.6;52.5;25.9;90.6;41.2;49.4;183495;1.75;203041;86.26;84.33;88.19;23.11;21.58;24.61;232345;205839;26506
29;Prognose;2047;18508784.0;3986832.0;9727155.0;4794797.0;21.5;52.6;25.9;90.3;41.0;49.3;183268;1.75;203777;86.4;84.46;88.33;23.22;21.68;24.73;232458;205958;26500
30;Prognose;2048;18514774.0;3975816.0;9752624.0;4786334.0;21.5;52.7;25.9;89.8;40.8;49.1;183327;1.75;204514;86.54;84.59;88.48;23.32;21.78;24.84;232534;206109;26425
31;Prognose;2049;18520012.0;3963733.0;9780193.0;4776086.0;21.4;52.8;25.8;89.4;40.5;48.8;183703;1.75;205248;86.68;84.72;88.62;23.43;21.87;24.96;232558;206306;26252
32;Prognose;2050;18524720.0;3951294.0;9804039.0;4769385.0;21.3;52.9;25.7;88.9;40.3;48.6;184400;1.75;205948;86.81;84.85;88.76;23.54;21.97;25.07;232648;206517;26131
33;Prognose;2051;18529300.0;3939173.0;9825147.0;4764982.0;21.3;53.0;25.7;88.6;40.1;48.5;185379;1.75;206580;86.95;84.98;88.9;23.64;22.07;25.18;232711;206710;26001
34;Prognose;2052;18534102.0;3927959.0;9841671.0;4764471.0;21.2;53.1;25.7;88.3;39.9;48.4;186583;1.75;207083;87.08;85.1;89.04;23.74;22.16;25.29;232828;206908;25920
35;Prognose;2053;18539522.0;3918184.0;9856731.0;4764607.0;21.1;53.2;25.7;88.1;39.8;48.3;187983;1.75;207431;87.21;85.23;89.18;23.85;22.26;25.39;232840;207118;25722
36;Prognose;2054;18545796.0;3910232.0;9871872.0;4763692.0;21.1;53.2;25.7;87.9;39.6;48.3;189539;1.75;207587;87.35;85.35;89.31;23.95;22.35;25.5;232982;207302;25680
37;Prognose;2055;18553428.0;3904394.0;9884388.0;4764645.0;21.0;53.3;25.7;87.7;39.5;48.2;191181;1.75;207520;87.48;85.48;89.44;24.05;22.45;25.61;233122;207494;25628
38;Prognose;2056;18562716.0;3900912.0;9889155.0;4772649.0;21.0;53.3;25.7;87.7;39.4;48.3;192842;1.75;207201;87.6;85.6;89.57;24.15;22.54;25.71;233232;207672;25560
39;Prognose;2057;18573916.0;3900077.0;9893105.0;4780735.0;21.0;53.3;25.7;87.7;39.4;48.3;194437;1.75;206616;87.73;85.72;89.7;24.25;22.64;25.82;233268;207834;25434
40;Prognose;2058;18587172.0;3902027.0;9897660.0;4787484.0;21.0;53.2;25.8;87.8;39.4;48.4;195908;1.75;205762;87.86;85.84;89.83;24.35;22.73;25.92;233425;207992;25433
41;Prognose;2059;18602750.0;3906763.0;9902068.0;4793919.0;21.0;53.2;25.8;87.9;39.5;48.4;197207;1.75;204634;87.98;85.97;89.96;24.44;22.82;26.02;233436;208144;25292
42;Prognose;2060;18620616.0;3914103.0;9904327.0;4802185.0;21.0;53.2;25.8;88.0;39.5;48.5;198303;1.75;203259;88.1;86.08;90.08;24.54;22.91;26.12;233436;208358;25078
43;Ondergrens 95%-prognose-interval;2018;;;;;;;;;;;160184;1.51;141414;81.02;79.38;82.59;19.35;18.06;20.53;211177;138310;52434
44;Ondergrens 95%-prognose-interval;2019;17245486.0;3782330.0;10149146.0;3303248.0;21.9;58.8;19.1;69.7;37.2;32.4;159905;1.49;138157;80.89;79.26;82.45;19.23;17.96;20.41;199984;143175;32641
45;Ondergrens 95%-prognose-interval;2020;17298078.0;3750534.0;10155190.0;3366374.0;21.6;58.7;19.4;69.8;36.8;32.9;160614;1.48;135960;80.82;79.18;82.41;19.17;17.89;20.35;188306;148028;12620
46;Ondergrens 95%-prognose-interval;2021;17335546.0;3713215.0;10149652.0;3427253.0;21.3;58.5;19.6;69.9;36.3;33.4;162239;1.48;135356;80.79;79.13;82.41;19.13;17.85;20.34;176562;151605;-3809
47;Ondergrens 95%-prognose-interval;2022;17355404.0;3676717.0;10125726.0;3487875.0;21.1;58.2;19.9;70.2;35.9;33.9;162972;1.48;135391;80.79;79.11;82.44;19.11;17.81;20.33;174215;153651;-10831
48;Ondergrens 95%-prognose-interval;2023;17382492.0;3640745.0;10091142.0;3548612.0;20.8;57.9;20.2;70.6;35.7;34.5;164022;1.48;135597;80.8;79.11;82.47;19.1;17.8;20.34;172265;156434;-18572
49;Ondergrens 95%-prognose-interval;2024;17391206.0;3611100.0;10048404.0;3613455.0;20.6;57.6;20.5;71.0;35.4;35.1;165138;1.49;135415;80.82;79.13;82.5;19.1;17.81;20.34;170215;159286;-24443
50;Ondergrens 95%-prognose-interval;2025;17391314.0;3588924.0;9995094.0;3673002.0;20.4;57.1;20.8;71.7;35.3;35.7;165856;1.5;136092;80.84;79.15;82.53;19.1;17.81;20.34;169536;160110;-25671
51;Ondergrens 95%-prognose-interval;2026;17391200.0;3573512.0;9929394.0;3736393.0;20.3;56.7;21.1;72.4;35.3;36.5;165888;1.5;137130;80.87;79.17;82.56;19.11;17.82;20.35;167939;161121;-28537
52;Ondergrens 95%-prognose-interval;2027;17375520.0;3558359.0;9848134.0;3803761.0;20.2;56.2;21.4;73.3;35.2;37.1;165696;1.5;138990;80.91;79.21;82.61;19.12;17.84;20.37;166855;162122;-30540
53;Ondergrens 95%-prognose-interval;2028;17385870.0;3546988.0;9773549.0;3869300.0;20.1;55.7;21.6;74.3;35.3;37.8;164898;1.49;140818;80.95;79.24;82.66;19.14;17.86;20.39;164127;162189;-30906
54;Ondergrens 95%-prognose-interval;2029;17385204.0;3530940.0;9706285.0;3927213.0;20.0;55.2;21.9;75.2;35.4;38.6;164056;1.49;142194;81.0;79.28;82.72;19.16;17.87;20.43;163187;161491;-31802
55;Ondergrens 95%-prognose-interval;2030;17373546.0;3507890.0;9629507.0;3989858.0;19.9;54.7;22.2;76.2;35.4;39.3;162742;1.48;143070;81.05;79.32;82.78;19.19;17.89;20.46;163137;161544;-32532
56;Ondergrens 95%-prognose-interval;2031;17373298.0;3488557.0;9546507.0;4041017.0;19.7;54.2;22.4;77.0;35.3;40.0;162161;1.47;143888;81.1;79.36;82.85;19.22;17.91;20.51;165362;161189;-33510
57;Ondergrens 95%-prognose-interval;2032;17374052.0;3469862.0;9481543.0;4097660.0;19.7;53.8;22.6;77.7;35.3;40.6;160729;1.46;144971;81.16;79.4;82.93;19.25;17.94;20.55;164781;160854;-33871
58;Ondergrens 95%-prognose-interval;2033;17359998.0;3460364.0;9425528.0;4138676.0;19.6;53.3;22.8;78.5;35.3;41.2;158761;1.45;145863;81.22;79.45;83.01;19.29;17.96;20.6;163157;160617;-34152
59;Ondergrens 95%-prognose-interval;2034;17343740.0;3451469.0;9346362.0;4179776.0;19.5;52.8;23.0;79.4;35.4;41.8;156712;1.44;146899;81.28;79.5;83.09;19.33;17.99;20.66;160030;160729;-34082
60;Ondergrens 95%-prognose-interval;2035;17321372.0;3438306.0;9282320.0;4212343.0;19.5;52.2;23.2;80.5;35.5;42.6;155462;1.43;147551;81.35;79.55;83.17;19.37;18.02;20.71;159623;160090;-35712
61;Ondergrens 95%-prognose-interval;2036;17307370.0;3427610.0;9210946.0;4253387.0;19.4;51.7;23.4;81.5;35.6;43.2;154595;1.42;148651;81.42;79.6;83.25;19.41;18.05;20.77;160345;159965;-36925
62;Ondergrens 95%-prognose-interval;2037;17277660.0;3412325.0;9146428.0;4284976.0;19.4;51.2;23.5;82.2;35.6;43.7;153154;1.41;149630;81.49;79.66;83.33;19.46;18.08;20.82;160902;159850;-36857
63;Ondergrens 95%-prognose-interval;2038;17246250.0;3409113.0;9077469.0;4306106.0;19.4;50.8;23.6;82.8;35.7;43.9;151524;1.4;152494;81.56;79.71;83.41;19.5;18.11;20.88;160838;159778;-36423
64;Ondergrens 95%-prognose-interval;2039;17226382.0;3408573.0;9016237.0;4301223.0;19.3;50.6;23.6;83.1;35.8;44.0;149405;1.4;154578;81.63;79.77;83.49;19.55;18.15;20.93;160742;159020;-36489
65;Ondergrens 95%-prognose-interval;2040;17191332.0;3398801.0;9001450.0;4297344.0;19.3;50.3;23.5;83.3;35.7;43.9;147231;1.39;156922;81.7;79.83;83.57;19.59;18.18;20.98;160077;158443;-36198
66;Ondergrens 95%-prognose-interval;2041;17141832.0;3384005.0;8984174.0;4266778.0;19.2;50.3;23.4;83.0;35.6;43.7;145249;1.38;158375;81.77;79.89;83.65;19.64;18.22;21.04;159145;157221;-35976
67;Ondergrens 95%-prognose-interval;2042;17095772.0;3390975.0;8985262.0;4248956.0;19.2;50.2;23.2;82.7;35.5;43.5;143235;1.37;160480;81.84;79.95;83.73;19.68;18.25;21.09;157596;156311;-37099
68;Ondergrens 95%-prognose-interval;2043;17041736.0;3369869.0;8974112.0;4216265.0;19.1;50.2;23.1;82.2;35.3;43.1;140698;1.37;162653;81.91;80.0;83.81;19.73;18.29;21.15;156970;154980;-38250
69;Ondergrens 95%-prognose-interval;2044;16974402.0;3347187.0;8956322.0;4178110.0;19.0;50.2;22.9;81.7;35.1;42.7;137946;1.36;163565;81.98;80.06;83.89;19.77;18.33;21.2;156231;154411;-39104
70;Ondergrens 95%-prognose-interval;2045;16917718.0;3309476.0;8941997.0;4147775.0;18.9;50.2;22.9;81.4;34.9;42.2;135425;1.35;164532;82.05;80.13;83.97;19.82;18.36;21.25;156497;154103;-39641
71;Ondergrens 95%-prognose-interval;2046;16883168.0;3274472.0;8932107.0;4131331.0;18.8;50.2;22.8;81.0;34.5;41.9;134057;1.34;165179;82.12;80.19;84.04;19.86;18.4;21.3;156848;154287;-40097
72;Ondergrens 95%-prognose-interval;2047;16823846.0;3239717.0;8939525.0;4116673.0;18.5;50.2;22.6;80.4;34.3;41.4;132613;1.34;165860;82.19;80.25;84.12;19.91;18.44;21.36;157101;154528;-40151
73;Ondergrens 95%-prognose-interval;2048;16762666.0;3193721.0;8952670.0;4090992.0;18.4;50.3;22.4;80.0;34.1;41.1;131963;1.33;166278;82.26;80.31;84.2;19.96;18.48;21.41;157333;155458;-40418
74;Ondergrens 95%-prognose-interval;2049;16697960.0;3170548.0;8948587.0;4052124.0;18.2;50.3;22.2;79.6;33.6;40.6;131601;1.32;166233;82.33;80.37;84.27;20.0;18.52;21.46;157649;155706;-41156
75;Ondergrens 95%-prognose-interval;2050;16676619.0;3145461.0;8922941.0;4015199.0;18.1;50.4;22.1;78.8;33.1;40.2;130674;1.32;166995;82.4;80.43;84.35;20.05;18.55;21.51;158447;156300;-41984
76;Ondergrens 95%-prognose-interval;2051;16612661.0;3122851.0;8918608.0;3981494.0;18.0;50.4;22.0;78.2;32.6;40.0;129706;1.31;167103;82.46;80.49;84.42;20.1;18.59;21.56;157965;156772;-43193
77;Ondergrens 95%-prognose-interval;2052;16578028.0;3085094.0;8923160.0;3966210.0;17.7;50.5;21.9;77.9;32.4;39.8;129372;1.3;167637;82.53;80.55;84.49;20.14;18.63;21.61;157360;156986;-44082
78;Ondergrens 95%-prognose-interval;2053;16519318.0;3048036.0;8898823.0;3956593.0;17.6;50.5;21.8;77.9;31.9;39.5;129177;1.3;168046;82.6;80.61;84.56;20.19;18.67;21.66;156770;157044;-44675
79;Ondergrens 95%-prognose-interval;2054;16444499.0;3007451.0;8882976.0;3911140.0;17.5;50.5;21.7;77.2;31.7;39.3;129467;1.29;168508;82.67;80.68;84.63;20.23;18.71;21.71;155588;157159;-44034
80;Ondergrens 95%-prognose-interval;2055;16403340.0;2969126.0;8861373.0;3919338.0;17.3;50.6;21.5;77.4;31.4;39.2;128646;1.29;168483;82.74;80.74;84.7;20.28;18.75;21.76;154803;156524;-43832
81;Ondergrens 95%-prognose-interval;2056;16357281.0;2935673.0;8820930.0;3924690.0;17.2;50.5;21.5;77.1;31.1;39.0;128950;1.28;168764;82.8;80.8;84.77;20.32;18.79;21.81;154100;155651;-42711
82;Ondergrens 95%-prognose-interval;2057;16326878.0;2899736.0;8801823.0;3918343.0;17.1;50.4;21.4;77.0;31.0;38.9;127810;1.27;168265;82.87;80.86;84.84;20.36;18.83;21.86;154863;154914;-42622
83;Ondergrens 95%-prognose-interval;2058;16306667.0;2863019.0;8782706.0;3909454.0;17.1;50.4;21.4;76.9;30.9;39.0;127755;1.27;167056;82.93;80.92;84.91;20.41;18.87;21.9;155703;153807;-42775
84;Ondergrens 95%-prognose-interval;2059;16299796.0;2844939.0;8757372.0;3895352.0;17.0;50.4;21.3;77.0;30.7;38.9;127495;1.26;165988;83.0;80.98;84.98;20.45;18.91;21.95;155254;153196;-43353
85;Ondergrens 95%-prognose-interval;2060;16279466.0;2813658.0;8728008.0;3890037.0;16.9;50.3;21.3;76.9;30.5;38.7;128580;1.26;164833;83.06;81.04;85.04;20.49;18.95;22.0;154785;153333;-44099
86;Bovengrens 95%-prognose-interval;2018;;;;;;;;;;;176295;1.66;166376;82.56;80.92;84.13;20.51;19.19;21.71;277708;174705;123884
87;Bovengrens 95%-prognose-interval;2019;17325118.0;3804126.0;10204806.0;3324554.0;22.0;58.9;19.2;70.0;37.3;32.7;182631;1.7;171411;83.06;81.43;84.63;20.87;19.57;22.07;285418;190603;121659
88;Bovengrens 95%-prognose-interval;2020;17460424.0;3799214.0;10271379.0;3413141.0;21.8;58.9;19.6;70.5;37.1;33.5;189266;1.74;176214;83.49;81.85;85.07;21.18;19.87;22.4;289141;205631;116180
89;Bovengrens 95%-prognose-interval;2021;17593206.0;3792245.0;10335565.0;3503299.0;21.6;58.9;20.1;71.0;36.9;34.3;195928;1.78;181282;83.87;82.21;85.49;21.46;20.14;22.7;289575;214370;107002
90;Bovengrens 95%-prognose-interval;2022;17720206.0;3792111.0;10386879.0;3598971.0;21.5;58.8;20.5;71.9;36.9;35.2;201912;1.82;184939;84.22;82.54;85.87;21.72;20.39;22.99;294846;222461;107334
91;Bovengrens 95%-prognose-interval;2023;17842886.0;3800276.0;10429414.0;3696804.0;21.4;58.6;21.0;72.7;36.9;36.2;207664;1.85;188502;84.56;82.87;86.23;21.97;20.63;23.26;300772;230808;105313
92;Bovengrens 95%-prognose-interval;2024;17961946.0;3813812.0;10461807.0;3797072.0;21.4;58.5;21.5;73.7;37.0;37.3;213339;1.89;191123;84.89;83.2;86.57;22.22;20.87;23.51;305069;237221;102903
93;Bovengrens 95%-prognose-interval;2025;18092798.0;3839415.0;10478251.0;3904138.0;21.4;58.3;22.0;75.0;37.3;38.4;217860;1.92;194977;85.19;83.49;86.88;22.45;21.1;23.75;310070;242105;102655
94;Bovengrens 95%-prognose-interval;2026;18222362.0;3873963.0;10487446.0;4006738.0;21.5;58.0;22.5;76.4;37.7;39.6;221664;1.95;198442;85.48;83.79;87.18;22.67;21.32;23.97;312507;245813;102695
95;Bovengrens 95%-prognose-interval;2027;18324750.0;3915298.0;10487878.0;4114306.0;21.5;57.7;23.0;77.9;38.1;40.8;224128;1.97;202519;85.77;84.07;87.47;22.88;21.53;24.2;315327;249184;101921
96;Bovengrens 95%-prognose-interval;2028;18450412.0;3955218.0;10494795.0;4224145.0;21.7;57.4;23.5;79.4;38.6;42.1;226376;1.99;206977;86.05;84.34;87.76;23.1;21.74;24.42;318484;251535;102161
97;Bovengrens 95%-prognose-interval;2029;18558516.0;3999337.0;10491853.0;4331804.0;21.8;57.1;24.1;81.1;39.1;43.5;228448;2.01;211489;86.32;84.61;88.04;23.31;21.95;24.65;319808;253593;102689
98;Bovengrens 95%-prognose-interval;2030;18677034.0;4045637.0;10470849.0;4440289.0;21.9;56.8;24.6;82.9;39.7;44.8;230945;2.02;214947;86.59;84.86;88.33;23.52;22.14;24.87;319960;255625;102754
99;Bovengrens 95%-prognose-interval;2031;18801008.0;4091522.0;10470128.0;4547296.0;22.0;56.5;25.1;84.4;40.3;46.1;232434;2.03;217583;86.85;85.11;88.61;23.73;22.34;25.09;320187;257102;102167
100;Bovengrens 95%-prognose-interval;2032;18925128.0;4134666.0;10464406.0;4648126.0;22.2;56.3;25.6;86.0;40.9;47.2;233911;2.04;219828;87.11;85.36;88.89;23.93;22.53;25.32;322102;258207;102003
101;Bovengrens 95%-prognose-interval;2033;19061002.0;4188057.0;10458872.0;4746135.0;22.4;56.0;26.0;87.7;41.5;48.4;234371;2.05;222954;87.37;85.6;89.16;24.14;22.72;25.54;323693;259193;101923
102;Bovengrens 95%-prognose-interval;2034;19167036.0;4242985.0;10444021.0;4847179.0;22.6;55.7;26.4;89.5;42.3;49.7;235327;2.06;226301;87.63;85.84;89.43;24.34;22.9;25.76;324243;260308;101461
103;Bovengrens 95%-prognose-interval;2035;19280464.0;4294432.0;10434514.0;4943937.0;22.8;55.4;26.8;91.5;43.0;51.0;236015;2.07;230066;87.88;86.08;89.69;24.54;23.09;25.98;325573;261765;100624
104;Bovengrens 95%-prognose-interval;2036;19375488.0;4353490.0;10410108.0;5032287.0;23.0;55.1;27.3;93.5;43.8;52.4;236991;2.08;232660;88.12;86.31;89.95;24.74;23.27;26.2;326095;262946;100709
105;Bovengrens 95%-prognose-interval;2037;19472498.0;4409608.0;10413350.0;5110451.0;23.3;54.9;27.7;95.2;44.5;53.6;238183;2.09;233964;88.37;86.54;90.21;24.94;23.45;26.41;326957;264633;101219
106;Bovengrens 95%-prognose-interval;2038;19569428.0;4468820.0;10396921.0;5177162.0;23.5;54.7;28.0;96.7;45.3;54.5;237711;2.1;235336;88.61;86.76;90.46;25.13;23.63;26.62;326038;265552;100941
107;Bovengrens 95%-prognose-interval;2039;19667892.0;4522883.0;10401218.0;5222529.0;23.7;54.6;28.3;97.6;45.9;55.1;237308;2.1;238697;88.84;86.98;90.71;25.32;23.81;26.82;326495;266701;100392
108;Bovengrens 95%-prognose-interval;2040;19767102.0;4573537.0;10420718.0;5260761.0;24.0;54.6;28.4;98.6;46.4;55.5;236241;2.11;241645;89.07;87.2;90.95;25.51;23.99;27.03;327734;267613;99862
109;Bovengrens 95%-prognose-interval;2041;19829294.0;4639114.0;10439367.0;5301878.0;24.1;54.7;28.5;99.0;46.7;55.9;235667;2.12;243252;89.3;87.42;91.19;25.7;24.16;27.23;328258;269148;99129
110;Bovengrens 95%-prognose-interval;2042;19890984.0;4692800.0;10489204.0;5317591.0;24.3;54.7;28.6;99.1;47.0;56.0;234274;2.13;243429;89.53;87.63;91.42;25.89;24.33;27.43;328403;270191;97924
111;Bovengrens 95%-prognose-interval;2043;20002694.0;4722704.0;10526984.0;5324448.0;24.4;54.9;28.7;99.2;47.0;56.1;233600;2.13;244686;89.75;87.85;91.65;26.07;24.5;27.62;328046;270527;96672
112;Bovengrens 95%-prognose-interval;2044;20092262.0;4739352.0;10558677.0;5350496.0;24.4;55.0;28.9;99.3;47.2;56.4;233366;2.14;246300;89.97;88.06;91.88;26.25;24.67;27.81;328181;270366;95987
113;Bovengrens 95%-prognose-interval;2045;20156296.0;4774763.0;10620891.0;5372425.0;24.6;55.1;28.9;99.3;47.3;56.7;233604;2.15;247376;90.19;88.26;92.1;26.43;24.84;28.01;328402;270134;95435
114;Bovengrens 95%-prognose-interval;2046;20205396.0;4792666.0;10661302.0;5402773.0;24.6;55.3;29.0;99.2;47.4;57.1;233893;2.16;248467;90.4;88.47;92.33;26.61;25.01;28.2;327712;270318;95025
115;Bovengrens 95%-prognose-interval;2047;20236104.0;4779232.0;10703971.0;5418641.0;24.6;55.4;29.0;99.3;47.4;57.2;234690;2.16;249243;90.61;88.67;92.54;26.79;25.18;28.38;327823;270706;94943
116;Bovengrens 95%-prognose-interval;2048;20287112.0;4789443.0;10759536.0;5429808.0;24.6;55.6;29.1;98.8;47.3;57.2;236710;2.17;249799;90.82;88.87;92.76;26.97;25.34;28.57;327255;272426;95317
117;Bovengrens 95%-prognose-interval;2049;20325112.0;4830368.0;10807216.0;5447609.0;24.7;55.7;29.1;98.7;47.2;57.2;238554;2.18;249383;91.03;89.07;92.97;27.14;25.5;28.75;328003;273767;96835
118;Bovengrens 95%-prognose-interval;2050;20390366.0;4842610.0;10869367.0;5456814.0;24.6;55.9;29.2;98.5;47.2;57.2;241316;2.18;250029;91.23;89.26;93.18;27.32;25.67;28.93;328651;275129;98054
119;Bovengrens 95%-prognose-interval;2051;20458578.0;4842266.0;10903898.0;5474729.0;24.6;56.1;29.3;98.3;47.1;57.3;243819;2.19;251050;91.43;89.46;93.39;27.49;25.83;29.11;329542;275899;98425
120;Bovengrens 95%-prognose-interval;2052;20515698.0;4847082.0;10952098.0;5497699.0;24.6;56.2;29.3;98.0;47.0;57.4;247360;2.2;252579;91.63;89.65;93.59;27.66;25.99;29.29;330046;276399;98361
121;Bovengrens 95%-prognose-interval;2053;20622072.0;4869004.0;11046069.0;5521597.0;24.6;56.2;29.4;98.0;47.1;57.4;251095;2.2;252340;91.83;89.84;93.79;27.83;26.15;29.47;330260;276237;97987
122;Bovengrens 95%-prognose-interval;2054;20685564.0;4872971.0;11115064.0;5544437.0;24.5;56.4;29.5;97.9;46.9;57.6;254951;2.21;251553;92.02;90.03;93.99;27.99;26.3;29.64;331090;276985;96711
123;Bovengrens 95%-prognose-interval;2055;20733158.0;4893621.0;11163722.0;5578054.0;24.5;56.4;29.6;97.8;47.0;57.8;258891;2.21;250849;92.22;90.22;94.18;28.16;26.46;29.81;331697;278280;96078
