ID;Countries;Periods;EfficiencyDistributionInfrastructure_1;ICTExpenditure_2;ITExpenditure_3;TelecommunicationExpenditure_4;PublicRDExpenditure_5;Total_6;PercentageFinancedPublicly_7;PercentageFinancedPrivately_8;InGDPPerCapita_9;PrimaryEducation_10;SecondaryEducation_11;Total_12;PercentageFinancedPublicly_13;PercentageFinancedPrivately_14
25;Austria;1992;8.3;;;;0.67;;;;;;;;;
26;Austria;1993;7.9;;;;0.69;;;;;;;;;
27;Austria;1994;8.5;;;;0.74;;;;;;;;;
28;Austria;1995;8.1;;;;0.73;;93.4;6.6;;;;;96.1;3.9
29;Austria;1996;8.4;;;;0.69;;;;;;;;;
30;Austria;1997;7.6;;;;0.7;;;;;6258.0;8213.0;9993.0;;
31;Austria;1998;7.4;;;;0.67;;;;;6065.0;8163.0;11279.0;98.9;1.1
32;Austria;1999;8.0;;;;0.74;;;;;6568.0;8504.0;12070.0;98.7;1.3
33;Austria;2000;8.3;6.2;;;0.74;8430.0;94.2;5.8;30.0;6560.0;8578.0;10851.0;96.7;3.3
34;Austria;2001;8.1;6.3;;;0.79;8462.0;94.4;5.6;30.0;6571.0;8562.0;11274.0;94.6;5.4
35;Austria;2002;8.2;6.5;3.1;3.4;0.72;8943.0;93.3;6.7;30.0;7015.0;8887.0;12448.0;91.6;8.4
36;Austria;2003;8.4;6.4;3.0;3.4;0.78;9063.0;94.5;5.5;29.0;7139.0;8943.0;12344.0;92.7;7.3
37;Austria;2004;8.7;6.0;2.8;3.2;0.73;9803.0;92.8;7.2;29.0;7669.0;9446.0;13959.0;93.7;6.3
38;Austria;2005;8.5;5.9;2.8;3.1;0.88;10407.0;91.4;8.6;31.0;8259.0;9751.0;14775.0;92.9;7.1
39;Austria;2006;9.0;4.5;2.0;2.5;0.79;10895.0;89.2;10.8;31.0;8516.0;10577.0;15148.0;84.5;15.5
40;Austria;2007;8.9;4.4;2.0;2.4;0.81;10974.0;91.0;9.0;30.0;8664.0;10641.0;15039.0;85.4;14.6
41;Austria;2008;9.2;4.2;2.0;2.2;0.99;;;;;;;;;
42;Austria;2009;9.0;4.2;2.0;2.2;0.95;12285.0;97.2;2.8;32.0;10080.0;12589.0;14257.0;96.5;3.5
43;Austria;2010;9.3;4.1;2.0;2.1;1.07;;;;;;;;;
44;Austria;2011;9.2;;;;1.07;;;;;;;;;
45;Austria;2012;8.8;;;;;;;;;;;;;
46;Belgium;1990;;;;;;;;;;;;;;
47;Belgium;1991;7.3;;;;0.49;;;;;;;;;
48;Belgium;1992;7.6;;;;;;;;;;;;;
49;Belgium;1993;8.0;;;;0.39;;;;;;;;;
50;Belgium;1994;8.3;;;;0.38;;;;;;;;;
51;Belgium;1995;7.7;;;;0.39;;;;;;;;;
52;Belgium;1996;8.3;;;;0.41;;;;;;;;;
53;Belgium;1997;7.8;;;;0.41;;;;;3813.0;6938.0;7834.0;;
54;Belgium;1998;7.5;;;;0.44;;;;;3743.0;5970.0;6508.0;;
55;Belgium;1999;6.2;;;;0.46;;;;;3952.0;;9724.0;;
56;Belgium;2000;7.2;6.7;;;0.45;6544.0;92.1;7.9;25.0;4310.0;6889.0;10771.0;85.2;14.8
57;Belgium;2001;6.4;7.0;;;0.46;7548.0;93.0;7.0;28.0;5321.0;7912.0;11589.0;84.1;15.9
58;Belgium;2002;7.3;6.7;3.1;3.6;0.45;7933.0;94.2;5.8;28.0;5665.0;8272.0;12019.0;86.0;14.0
59;Belgium;2003;7.9;6.5;3.0;3.5;0.44;7831.0;94.2;5.8;26.0;6180.0;7708.0;11824.0;86.7;13.3
60;Belgium;2004;8.1;6.1;2.8;3.3;0.45;8019.0;94.3;5.7;25.0;6636.0;7751.0;11842.0;90.4;9.6
61;Belgium;2005;8.0;6.1;2.8;3.3;0.45;8034.0;94.2;5.8;25.0;6648.0;7731.0;11960.0;90.6;9.4
62;Belgium;2006;7.9;5.3;2.3;3.0;0.42;8827.0;94.4;5.6;26.0;7072.0;8601.0;13244.0;90.6;9.4
63;Belgium;2007;8.0;5.1;2.3;2.8;0.42;9162.0;94.4;5.6;26.0;7363.0;8992.0;13482.0;90.3;9.7
64;Belgium;2008;8.7;5.0;2.3;2.7;0.46;;;;;;;;;
65;Belgium;2009;8.6;5.0;2.4;2.6;0.51;10758.0;95.9;4.1;29.0;8341.0;10775.0;15443.0;93.8;6.2
66;Belgium;2010;8.5;4.9;2.4;2.5;;;;;;;;;;
67;Belgium;2011;8.8;;;;;;;;;;;;;
68;Belgium;2012;8.4;;;;;;;;;;;;;
69;Canada;1990;;;;;0.69;;;;;;;;;
70;Canada;1991;7.6;;;;0.72;;;;;;;;;
71;Canada;1992;7.8;;;;0.73;;;;;;;;;
72;Canada;1993;7.9;;;;0.71;;;;;;;;;
73;Canada;1994;8.0;;;;0.66;;;;;;;;;
74;Canada;1995;7.8;;;;0.61;;81.2;18.8;;;;;56.6;43.4
75;Canada;1996;8.4;;;;0.56;;;;;;;;;
76;Canada;1997;7.7;;;;0.53;;;;;;;14809.0;;
77;Canada;1998;8.2;;;;0.53;;;;;;;14579.0;56.6;43.4
78;Canada;1999;8.0;;;;0.56;;;;;;5981.0;15211.0;59.3;40.7
79;Canada;2000;7.9;;;;0.56;7764.0;79.9;20.1;28.0;;5947.0;14983.0;61.0;39.0
80;Canada;2001;7.4;;;;0.61;;78.2;21.8;;;;14896.0;58.6;41.4
81;Canada;2002;7.9;;;;0.65;8641.0;;;;;;;;
82;Canada;2003;8.0;;;;0.64;8641.0;77.4;22.6;28.0;;;19992.0;56.4;43.6
83;Canada;2004;7.9;;;;0.64;;;;;;;;;
84;Canada;2005;7.6;;;;0.65;;75.5;24.5;;;7837.0;;55.1;44.9
85;Canada;2006;7.6;;;;0.62;;73.8;26.2;;;7774.0;;53.4;46.6
86;Canada;2007;7.8;;;;0.63;;74.7;25.3;;;8045.0;20278.0;56.6;43.4
87;Canada;2008;8.2;;;;0.65;;;;;;;;;
88;Canada;2009;8.5;;;;0.66;;78.6;21.4;;8262.0;8997.0;20932.0;63.0;37.0
89;Canada;2010;8.5;;;;;;;;;;;;;
90;Canada;2011;8.3;;;;;;;;;;;;;
91;Canada;2012;8.4;;;;;;;;;;;;;
92;Czech Republic;1990;;;;;;;;;;;;;;
93;Czech Republic;1991;;;;;;;;;;;;;;
94;Czech Republic;1992;;;;;;;;;;;;;;
95;Czech Republic;1993;;;;;;;;;;;;;;
96;Czech Republic;1994;5.3;;;;;;;;;;;;;
97;Czech Republic;1995;2.9;;;;0.31;;87.5;12.5;;;;;71.5;28.5
98;Czech Republic;1996;5.0;;;;0.34;;;;;;;;;
99;Czech Republic;1997;5.7;;;;0.33;;;;;1954.0;3641.0;5351.0;;
100;Czech Republic;1998;5.4;;;;0.42;;;;;1645.0;3182.0;5584.0;85.9;14.1
101;Czech Republic;1999;5.1;;;;0.48;;;;;1769.0;3449.0;5688.0;84.7;15.3
102;Czech Republic;2000;5.4;8.8;;;0.54;3004.0;89.9;10.1;22.0;1827.0;3239.0;5431.0;85.5;14.5
103;Czech Republic;2001;4.8;8.3;;;0.53;3169.0;90.6;9.4;21.0;1871.0;3448.0;5555.0;85.3;14.7
104;Czech Republic;2002;5.7;;;;0.5;3449.0;94.5;5.5;21.0;2077.0;3628.0;6236.0;87.5;12.5
105;Czech Republic;2003;7.3;6.5;2.7;3.8;0.52;3898.0;92.1;7.9;23.0;2273.0;4088.0;6774.0;83.3;16.7
106;Czech Republic;2004;6.8;6.7;2.8;3.9;0.5;4484.0;87.3;12.7;23.0;2791.0;4779.0;6752.0;84.7;15.3
107;Czech Republic;2005;7.1;7.2;3.0;4.2;0.55;4545.0;87.6;12.4;22.0;2812.0;4847.0;6649.0;81.2;18.8
108;Czech Republic;2006;7.1;6.3;2.3;4.0;0.58;5174.0;88.4;11.6;24.0;3217.0;5307.0;7989.0;82.1;17.9
109;Czech Republic;2007;7.1;6.0;2.2;3.8;0.61;5426.0;88.7;11.3;23.0;3359.0;5527.0;8209.0;83.8;16.2
110;Czech Republic;2008;8.1;5.3;2.0;3.3;0.58;;;;;;;;;
111;Czech Republic;2009;8.2;5.4;2.2;3.2;0.65;6216.0;87.7;12.3;24.0;4196.0;6602.0;8237.0;80.3;19.7
112;Czech Republic;2010;8.3;5.2;2.2;3.0;0.62;;;;;;;;;
113;Czech Republic;2011;8.3;;;;;;;;;;;;;
114;Czech Republic;2012;8.1;;;;;;;;;;;;;
115;Denmark;1990;;;;;0.65;;;;;;;;;
116;Denmark;1991;8.2;;;;0.64;;;;;;;;;
117;Denmark;1992;9.3;;;;0.64;;;;;;;;;
118;Denmark;1993;9.2;;;;0.65;;;;;;;;;
119;Denmark;1994;9.2;;;;;;;;;;;;;
120;Denmark;1995;8.9;;;;0.72;;96.5;3.5;;;;;99.4;0.6
121;Denmark;1996;9.2;;;;0.66;;;;;;;;;
122;Denmark;1997;9.2;;;;0.7;;;;;6596.0;7198.0;7294.0;;
123;Denmark;1998;8.9;;;;;;;;;6713.0;7200.0;9562.0;97.2;2.8
124;Denmark;1999;9.2;;;;0.68;;;;;6721.0;7626.0;10657.0;97.7;2.3
125;Denmark;2000;8.8;7.0;;;;8302.0;96.0;4.0;29.0;7074.0;7726.0;11981.0;97.6;2.4
126;Denmark;2001;8.4;6.8;;;0.67;9075.0;96.1;3.9;31.0;7572.0;8113.0;14280.0;97.8;2.2
127;Denmark;2002;9.1;6.8;3.6;3.2;;9261.0;96.1;3.9;31.0;7727.0;8003.0;15183.0;97.9;2.1
128;Denmark;2003;8.8;6.7;3.5;3.2;0.7;9154.0;95.5;4.5;30.0;7814.0;8183.0;14014.0;96.7;3.3
129;Denmark;2004;9.0;6.3;3.3;3.0;;9766.0;95.6;4.4;30.0;8081.0;8849.0;15225.0;96.7;3.3
130;Denmark;2005;9.0;6.2;3.3;2.9;0.68;10108.0;92.3;7.7;30.0;8513.0;9407.0;14959.0;96.7;3.3
131;Denmark;2006;9.3;5.3;2.9;2.4;;10395.0;91.9;8.1;30.0;8798.0;9662.0;15391.0;96.4;3.6
132;Denmark;2007;9.1;5.3;2.9;2.4;0.67;10759.0;92.5;7.5;30.0;9176.0;9675.0;16466.0;96.5;3.5
133;Denmark;2008;9.2;5.2;2.8;2.4;;;;;;;;;;
134;Denmark;2009;9.3;5.3;2.9;2.4;0.85;12523.0;97.0;3.0;33.0;11166.0;11036.0;18556.0;95.5;4.5
135;Denmark;2010;9.0;5.2;2.9;2.3;0.85;;;;;;;;;
136;Denmark;2011;9.4;;;;;;;;;;;;;
137;Denmark;2012;9.3;;;;;;;;;;;;;
138;Finland;1990;;;;;;;;;;;;;;
139;Finland;1991;6.6;;;;0.82;;;;;;;;;
140;Finland;1992;7.6;;;;;;;;;;;;;
141;Finland;1993;7.4;;;;0.85;;;;;;;;;
142;Finland;1994;8.1;;;;;;;;;;;;;
143;Finland;1995;7.7;;;;0.8;;;;;;;;;
144;Finland;1996;8.8;;;;;;;;;;;;;
145;Finland;1997;8.9;;;;0.83;;;;;4639.0;5065.0;7145.0;;
146;Finland;1998;8.6;;;;0.86;;;;;4641.0;5111.0;7327.0;;
147;Finland;1999;8.6;;;;0.92;;;;;4138.0;5863.0;8114.0;97.4;2.6
148;Finland;2000;8.8;6.9;;;0.88;6003.0;98.0;2.0;24.0;4317.0;6094.0;8244.0;97.2;2.8
149;Finland;2001;8.4;6.6;;;0.84;6751.0;97.8;2.2;26.0;4708.0;6537.0;10981.0;96.5;3.5
150;Finland;2002;8.8;7.1;3.7;3.4;0.88;7304.0;97.8;2.2;26.0;5087.0;7121.0;11768.0;96.3;3.7
151;Finland;2003;8.6;7.0;3.6;3.4;0.88;7578.0;97.9;2.1;27.0;5321.0;7402.0;12047.0;96.4;3.6
152;Finland;2004;8.8;6.2;3.2;3.0;0.91;7798.0;97.9;2.1;26.0;5581.0;7441.0;12505.0;96.3;3.7
153;Finland;2005;8.6;6.3;3.3;3.0;0.89;7711.0;97.8;2.2;25.0;5557.0;7324.0;12285.0;96.1;3.9
154;Finland;2006;8.3;5.8;3.3;2.5;0.87;8048.0;97.5;2.5;25.0;5899.0;7533.0;12845.0;95.5;4.5
155;Finland;2007;8.0;5.5;3.1;2.4;0.83;8440.0;97.5;2.5;24.0;6234.0;7829.0;13566.0;95.7;4.3
156;Finland;2008;7.9;5.5;3.2;2.3;0.81;;;;;;;;;
157;Finland;2009;9.2;5.5;3.3;2.2;0.94;9910.0;98.8;1.2;28.0;7368.0;8947.0;16569.0;96.2;3.8
158;Finland;2010;9.0;5.5;3.3;2.2;1.0;;;;;;;;;
159;Finland;2011;9.0;;;;;;;;;;;;;
160;Finland;2012;8.9;;;;;;;;;;;;;
161;France;1990;;;;;1.12;;;;;;;;;
162;France;1991;7.6;;;;1.13;;;;;;;;;
163;France;1992;7.5;;;;1.01;;;;;;;;;
164;France;1993;8.0;;;;1.03;;;;;;;;;
165;France;1994;8.0;;;;0.96;;;;;;;;;
166;France;1995;7.8;;;;0.96;;;;;;;;;
167;France;1996;8.4;;;;0.94;;;;;;;;;
168;France;1997;8.5;;;;0.85;;;;;3621.0;6564.0;7177.0;;
169;France;1998;7.7;;;;0.8;;;;;3752.0;6605.0;7226.0;85.5;14.5
170;France;1999;8.5;;;;0.8;;;;;4139.0;7152.0;7867.0;85.7;14.3
171;France;2000;8.3;5.9;;;0.83;6708.0;92.1;7.9;27.0;4486.0;7636.0;8373.0;85.7;14.3
172;France;2001;7.9;6.1;;;0.81;7124.0;92.0;8.0;27.0;4777.0;8107.0;8837.0;85.6;14.4
173;France;2002;8.1;6.2;3.5;2.7;0.85;7467.0;92.1;7.9;27.0;5033.0;8472.0;9276.0;85.7;14.3
174;France;2003;8.2;6.0;3.3;2.7;0.85;7807.0;90.4;9.6;28.0;4939.0;8653.0;10704.0;81.3;18.7
175;France;2004;8.5;5.4;3.0;2.4;0.83;7880.0;91.2;8.8;27.0;5082.0;8737.0;10668.0;83.9;16.1
176;France;2005;7.7;5.5;3.1;2.4;0.81;8101.0;90.8;9.2;27.0;5365.0;8927.0;10995.0;83.6;16.4
177;France;2006;8.2;5.4;2.6;2.8;0.81;8428.0;90.9;9.1;27.0;5482.0;9303.0;11568.0;83.7;16.3
178;France;2007;8.0;5.3;2.5;2.8;0.79;8932.0;91.0;9.0;27.0;6044.0;9532.0;12773.0;84.5;15.5
179;France;2008;8.7;5.3;2.5;2.8;0.83;;;;;;;;;
180;France;2009;8.6;5.4;2.5;2.9;0.87;9913.0;91.7;8.3;29.0;6373.0;10696.0;14642.0;85.6;14.4
181;France;2010;8.9;5.5;2.6;2.9;0.89;;;;;;;;;
182;France;2011;8.7;;;;;;;;;;;;;
183;France;2012;8.6;;;;;;;;;;;;;
184;Germany;1990;;;;;0.88;;;;;;;;;
185;Germany;1991;8.1;;;;0.88;;;;;;;;;
186;Germany;1992;8.5;;;;0.86;;;;;;;;;
187;Germany;1993;8.5;;;;0.85;;;;;;;;;
188;Germany;1994;8.9;;;;0.82;;;;;;;;;
189;Germany;1995;8.2;;;;0.83;;82.3;17.7;;;;;88.6;11.4
190;Germany;1996;8.5;;;;0.84;;;;;;;;;
191;Germany;1997;8.6;;;;0.8;;;;;3490.0;6149.0;9466.0;;
192;Germany;1998;8.6;;;;0.79;;;;;3531.0;6209.0;9481.0;92.1;7.9
193;Germany;1999;8.7;;;;0.77;;;;;3818.0;6603.0;10393.0;91.5;8.5
194;Germany;2000;8.7;6.4;;;0.77;6849.0;81.1;18.9;26.0;4198.0;6826.0;10898.0;91.8;8.2
195;Germany;2001;8.3;6.3;;;0.77;6696.0;81.4;18.6;26.0;4237.0;6620.0;10504.0;91.3;8.7
196;Germany;2002;8.5;6.1;3.1;3.0;0.79;7129.0;83.3;16.7;27.0;4537.0;7025.0;10999.0;91.6;8.4
197;Germany;2003;8.5;6.1;3.1;3.0;0.79;7368.0;82.6;17.4;27.0;4624.0;7173.0;11594.0;87.1;12.9
198;Germany;2004;8.8;5.8;2.9;2.9;0.76;7802.0;82.3;17.7;26.0;4948.0;7576.0;12255.0;86.4;13.6
199;Germany;2005;9.0;5.8;2.9;2.9;0.71;7872.0;82.0;18.0;26.0;5014.0;7636.0;12446.0;85.3;14.7
200;Germany;2006;8.8;5.6;2.7;2.9;0.7;7925.0;85.2;14.8;24.0;5362.0;7548.0;13016.0;85.0;15.0
201;Germany;2007;8.8;5.5;2.7;2.8;0.7;8270.0;85.4;14.6;24.0;5548.0;7841.0;13823.0;84.7;15.3
202;Germany;2008;9.0;5.3;2.7;2.6;0.76;;;;;;;;;
203;Germany;2009;9.1;5.4;2.7;2.7;0.84;9779.0;86.7;13.3;27.0;6619.0;9285.0;15711.0;84.6;15.4
204;Germany;2010;9.0;5.2;2.6;2.6;;;;;;;;;;
205;Germany;2011;9.2;;;;;;;;;;;;;
206;Germany;2012;9.2;;;;;;;;;;;;;
207;Hungary;1990;;;;;0.42;;;;;;;;;
208;Hungary;1991;4.4;;;;0.42;;;;;;;;;
209;Hungary;1992;;;;;0.43;;;;;;;;;
210;Hungary;1993;5.8;;;;0.39;;;;;;;;;
211;Hungary;1994;5.8;;;;0.46;;;;;;;;;
212;Hungary;1995;5.4;;;;0.38;;89.0;11.0;;;;;80.3;19.7
213;Hungary;1996;6.3;;;;0.32;;;;;;;;;
214;Hungary;1997;5.4;;;;0.39;;;;;2035.0;2093.0;5430.0;;
215;Hungary;1998;5.8;;;;0.37;;;;;2028.0;2140.0;5073.0;76.6;23.4
216;Hungary;1999;5.2;;;;0.36;;;;;2179.0;2368.0;5861.0;76.6;23.4
217;Hungary;2000;5.1;9.6;;;0.39;2956.0;88.3;11.7;24.0;2245.0;2446.0;7024.0;76.7;23.3
218;Hungary;2001;4.4;8.9;;;0.49;3254.0;89.0;11.0;25.0;2592.0;2633.0;7122.0;77.6;22.4
219;Hungary;2002;4.9;;;;0.58;3872.0;89.8;10.2;27.0;3016.0;3184.0;8205.0;78.7;21.3
220;Hungary;2003;5.9;7.5;2.1;5.4;0.54;4427.0;90.8;9.2;29.0;3286.0;3948.0;8576.0;78.5;21.5
221;Hungary;2004;6.2;7.3;2.4;4.9;0.46;4326.0;90.7;9.3;26.0;3841.0;3692.0;7095.0;79.0;21.0
222;Hungary;2005;6.6;7.3;2.4;4.9;0.47;4423.0;91.3;8.7;26.0;4438.0;3806.0;6244.0;78.5;21.5
223;Hungary;2006;6.2;6.5;1.8;4.7;0.45;4588.0;90.5;9.5;25.0;4599.0;3978.0;6367.0;77.9;22.1
224;Hungary;2007;7.2;6.0;1.7;4.3;0.44;4811.0;;;26.0;4656.0;4225.0;6721.0;;
225;Hungary;2008;6.9;5.8;1.6;4.2;0.42;;;;;;;;;
226;Hungary;2009;7.2;6.4;1.9;4.5;0.49;5227.0;100.0;0.0;26.0;4467.0;4514.0;8518.0;;
227;Hungary;2010;6.8;5.9;1.8;4.1;0.46;;;;;;;;;
228;Hungary;2011;7.2;;;;;;;;;;;;;
229;Hungary;2012;6.5;;;;;;;;;;;;;
230;Ireland;1990;;;;;0.25;;;;;;;;;
231;Ireland;1991;;;;;0.26;;;;;;;;;
232;Ireland;1992;;;;;0.26;;;;;;;;;
233;Ireland;1993;;;;;0.32;;;;;;;;;
234;Ireland;1994;;;;;0.29;;;;;;;;;
235;Ireland;1995;;;;;0.29;;89.8;10.2;;;;;69.7;30.3
236;Ireland;1996;7.1;;;;0.32;;;;;;;;;
237;Ireland;1997;7.5;;;;0.31;;;;;2574.0;3864.0;7998.0;;
238;Ireland;1998;6.3;;;;0.29;;;;;2745.0;3934.0;8522.0;72.6;27.4
239;Ireland;1999;4.8;;;;0.26;;;;;3018.0;4383.0;9673.0;73.4;26.6
240;Ireland;2000;3.7;5.7;;;0.26;5016.0;90.5;9.5;18.0;3385.0;4638.0;11083.0;79.2;20.8
241;Ireland;2001;3.7;5.1;;;0.28;5294.0;92.2;7.8;18.0;3743.0;5245.0;10003.0;84.7;15.3
242;Ireland;2002;3.5;5.9;2.3;3.6;0.3;5711.0;93.4;6.6;18.0;4180.0;5725.0;9809.0;85.8;14.2
243;Ireland;2003;4.7;5.6;2.1;3.5;0.35;6118.0;93.0;7.0;18.0;4760.0;6374.0;9341.0;83.8;16.2
244;Ireland;2004;4.6;4.2;1.6;2.6;0.38;6713.0;92.9;7.1;18.0;5422.0;7110.0;10211.0;82.6;17.4
245;Ireland;2005;4.5;4.0;1.6;2.4;0.4;7108.0;93.7;6.3;19.0;5732.0;7500.0;10468.0;84.0;16.0
246;Ireland;2006;4.9;4.9;2.4;2.5;0.4;8092.0;94.0;6.0;19.0;6337.0;8991.0;11832.0;85.1;14.9
247;Ireland;2007;4.9;4.8;2.3;2.5;0.41;8628.0;;;19.0;6901.0;9375.0;12631.0;85.4;14.6
248;Ireland;2008;6.0;5.0;2.4;2.6;0.49;;;;;;;;;
249;Ireland;2009;6.8;5.6;2.7;2.9;0.57;10713.0;94.2;5.8;27.0;8219.0;11831.0;16420.0;84.1;15.9
250;Ireland;2010;7.2;5.6;2.8;2.8;0.56;;;;;;;;;
251;Ireland;2011;8.0;;;;;;;;;;;;;
252;Ireland;2012;8.2;;;;;;;;;;;;;
253;Italy;1990;;;;;0.65;;;;;;;;;
254;Italy;1991;5.2;;;;0.59;;;;;;;;;
255;Italy;1992;5.0;;;;0.56;;;;;;;;;
256;Italy;1993;4.8;;;;0.56;;;;;;;;;
257;Italy;1994;5.4;;;;0.51;;;;;;;;;
258;Italy;1995;4.7;;;;0.52;;;;;;;;82.9;17.1
259;Italy;1996;4.5;;;;0.5;;;;;;;;;
260;Italy;1997;4.2;;;;;;;;;5073.0;6284.0;5972.0;;
261;Italy;1998;4.0;;;;;;;;;5653.0;6458.0;6295.0;74.7;25.3
262;Italy;1999;3.7;;;;;;;;;5354.0;6518.0;7552.0;80.3;19.7
263;Italy;2000;4.0;5.1;;;;6928.0;90.9;9.1;28.0;5973.0;7218.0;8065.0;77.5;22.5
264;Italy;2001;3.1;5.2;;;;7839.0;90.7;9.3;31.0;6783.0;8258.0;8347.0;77.8;22.2
265;Italy;2002;3.5;5.4;2.1;3.3;;7708.0;92.6;7.4;29.0;7231.0;7568.0;8636.0;78.6;21.4
266;Italy;2003;4.7;5.3;2.0;3.3;;7963.0;91.9;8.1;30.0;7366.0;7938.0;8764.0;72.1;27.9
267;Italy;2004;4.2;4.9;1.8;3.1;;7723.0;90.4;9.6;28.0;7390.0;7843.0;7723.0;69.4;30.6
268;Italy;2005;3.9;4.9;1.8;3.1;0.55;7540.0;90.5;9.5;27.0;6835.0;7648.0;8026.0;69.6;30.4
269;Italy;2006;3.9;4.3;1.5;2.8;0.53;8263.0;92.3;7.7;28.0;7716.0;8495.0;8725.0;73.0;27.0
270;Italy;2007;3.8;4.2;1.5;2.7;0.52;7948.0;91.1;8.9;26.0;7383.0;8004.0;8673.0;69.9;30.1
271;Italy;2008;5.2;4.1;1.5;2.6;0.51;;;;;;;;;
272;Italy;2009;4.9;4.3;1.6;2.7;0.53;9055.0;92.6;7.4;28.0;8669.0;9112.0;9562.0;77.5;22.5
273;Italy;2010;5.4;4.2;1.6;2.6;;;;;;;;;;
274;Italy;2011;5.9;;;;;;;;;;;;;
275;Italy;2012;6.0;;;;;;;;;;;;;
276;Japan;1990;;;;;0.54;;;;;;;;;
277;Japan;1991;5.8;;;;0.54;;;;;;;;;
278;Japan;1992;6.5;;;;0.57;;;;;;;;;
279;Japan;1993;5.9;;;;0.62;;;;;;;;;
280;Japan;1994;5.8;;;;0.6;;;;;;;;;
281;Japan;1995;6.2;;;;0.67;;75.4;24.6;;;;;42.0;58.0
282;Japan;1996;6.0;;;;0.53;;;;;;;;;
283;Japan;1997;5.4;;;;0.52;;;;;5202.0;5917.0;10157.0;;
284;Japan;1998;5.3;;;;0.58;;;;;5075.0;5890.0;9871.0;41.7;58.3
285;Japan;1999;6.9;;;;0.59;;;;;5240.0;6039.0;10278.0;44.5;55.5
286;Japan;2000;7.6;5.2;;;0.6;6744.0;75.2;24.8;26.0;5507.0;6266.0;10914.0;44.9;55.1
287;Japan;2001;6.7;7.5;;;0.59;7018.0;75.0;25.0;26.0;5771.0;6534.0;11164.0;43.1;56.9
288;Japan;2002;6.9;7.8;3.5;4.3;0.58;7438.0;74.5;25.5;27.0;6117.0;6952.0;11716.0;41.5;58.5
289;Japan;2003;7.3;7.6;3.4;4.2;0.58;7789.0;74.1;25.9;28.0;6350.0;7283.0;11556.0;39.7;60.3
290;Japan;2004;7.5;7.5;3.4;4.1;0.57;8148.0;74.2;25.8;28.0;6551.0;7615.0;12193.0;41.2;58.8
291;Japan;2005;7.2;7.7;3.5;4.2;0.55;8378.0;68.6;31.4;28.0;6744.0;7908.0;12326.0;33.7;66.3
292;Japan;2006;7.6;6.0;2.5;3.5;0.55;8872.0;66.7;33.3;28.0;6989.0;8305.0;13418.0;32.2;67.8
293;Japan;2007;7.6;6.6;2.8;3.8;0.54;9312.0;66.7;33.3;28.0;7247.0;8760.0;14201.0;32.5;67.5
294;Japan;2008;8.4;6.3;2.8;3.5;0.54;;;;;;;;;
295;Japan;2009;8.4;;;;0.59;10035.0;71.5;28.5;31.0;7729.0;9256.0;15957.0;35.3;64.7
296;Japan;2010;8.7;;;;0.56;;;;;;;;;
297;Japan;2011;8.8;;;;;;;;;;;;;
298;Japan;2012;8.4;;;;;;;;;;;;;
