ID;Regelgeving;Perioden;AanHetBeginVanDePeriodeAanhangig_1;IngediendeZaken_2;TotaalUitspraken_3;KennelijkNietOntvankelijk_4;KennelijkOngegrond_5;KennelijkGegrond_6;OverigeUitspraken_7;Ingesteld_8;IngetrokkenNietOntvankelijkOngegrond_9;Gegrond_10;TotaalUitspraken_11;OngegrondInEersteEnEnigeAanleg_12;GegrondInEersteEnEnigeAanleg_13;BevestigingAangevallenUitspraak_14;VernietigingAangevallenUitspraak_15;OverigeUitspraken_16;TotaalUitspraken_17;Afgewezen_18;GeheelOfDeelsWordtToegewezen_19;OverigeUitspraken_20;IngetrokkenVerwezenZaken_21;AanHetEindVanDePeriodeAanhangig_22
36;Totaal ambtenarenzaken;2015;1005;1595;19;13;0;0;6;2;0;0;730;12;17;417;267;17;5;4;1;0;503;1345
37;Totaal ambtenarenzaken;2016;1345;1146;12;9;0;0;3;4;5;0;965;25;34;499;375;32;12;10;2;0;373;1128
38;Ambtenarenwet;1998;934;814;40;38;0;2;0;6;5;0;362;33;4;204;114;7;43;23;18;2;206;1098
39;Ambtenarenwet;1999;1098;782;20;19;0;0;1;7;5;0;315;3;7;170;133;2;53;37;14;2;210;1284
40;Ambtenarenwet;2000;1284;770;22;17;0;4;1;7;7;3;432;5;3;240;174;10;28;16;9;3;226;1346
41;Ambtenarenwet;2001;1346;752;37;32;0;0;5;11;2;0;577;1;6;361;188;21;40;23;17;0;203;1250
42;Ambtenarenwet;2002;1250;674;11;8;1;0;2;4;9;0;462;4;1;286;150;21;14;10;3;1;150;1282
43;Ambtenarenwet;2003;1282;690;22;15;0;0;7;4;4;4;762;13;7;434;288;20;34;23;7;4;171;983
44;Ambtenarenwet;2004;983;762;26;10;0;0;16;1;2;0;528;8;15;252;242;11;33;19;12;2;196;961
45;Ambtenarenwet;2005;961;1199;19;7;0;1;11;4;1;0;534;11;5;320;180;18;44;29;11;4;204;1362
46;Ambtenarenwet;2006;1362;861;20;14;0;0;6;1;4;0;553;7;5;282;244;15;38;23;15;0;279;1330
47;Ambtenarenwet;2007;1330;725;21;7;0;2;12;1;1;0;855;13;11;649;154;28;29;23;6;0;253;897
48;Ambtenarenwet;2008;897;842;23;7;0;3;13;7;2;0;508;11;9;274;190;24;31;21;10;0;229;953
49;Ambtenarenwet;2009;953;759;16;3;0;5;8;3;5;1;578;45;9;320;188;16;22;16;4;2;157;937
50;Ambtenarenwet;2010;937;699;11;6;0;0;5;2;3;0;580;10;19;321;219;11;22;17;4;1;207;815
51;Ambtenarenwet;2011;815;757;38;31;0;1;6;6;4;0;572;19;23;247;268;15;22;16;5;1;162;780
52;Ambtenarenwet;2012;780;798;11;5;0;0;6;2;3;2;408;14;15;243;127;9;22;19;3;0;153;983
53;Ambtenarenwet;2013;983;804;13;4;0;0;9;1;0;1;587;17;31;271;252;16;4;2;2;0;169;1015
54;Ambtenarenwet;2014;1015;687;9;6;0;0;3;1;0;1;618;15;22;357;212;12;25;23;1;1;195;856
55;Ambtenarenwet;2015;858;1478;9;3;0;0;6;2;0;0;658;10;15;384;232;17;4;3;1;0;482;1185
56;Ambtenarenwet;2016;1185;974;11;9;0;0;2;2;4;0;886;24;32;451;351;28;12;10;2;0;352;896
57;Militaire ambtenarenwet;1998;94;99;5;5;0;0;0;2;1;0;56;0;0;40;15;1;5;4;1;0;12;116
58;Militaire ambtenarenwet;1999;116;117;6;6;0;0;0;2;2;0;33;0;0;22;11;0;6;6;0;0;14;174
59;Militaire ambtenarenwet;2000;174;366;4;4;0;0;0;2;1;0;30;0;0;25;5;0;2;2;0;0;23;482
60;Militaire ambtenarenwet;2001;482;64;3;3;0;0;0;0;2;0;57;0;1;35;19;2;2;1;1;0;15;467
61;Militaire ambtenarenwet;2002;467;313;0;0;0;0;0;0;0;0;620;0;0;136;483;1;3;3;0;0;22;135
62;Militaire ambtenarenwet;2003;135;61;5;3;0;0;2;0;0;0;53;1;0;31;21;0;0;0;0;0;12;126
63;Militaire ambtenarenwet;2004;126;90;1;1;0;0;0;1;1;0;89;0;1;69;17;2;4;4;0;0;24;98
64;Militaire ambtenarenwet;2005;98;85;1;0;0;0;1;1;0;0;71;1;0;40;30;0;20;19;1;0;7;85
65;Militaire ambtenarenwet;2006;85;134;1;0;0;0;1;0;1;0;127;3;0;26;11;87;2;1;0;1;8;80
66;Militaire ambtenarenwet;2007;80;62;0;0;0;0;0;0;0;0;40;1;0;23;14;2;2;1;0;1;14;86
67;Militaire ambtenarenwet;2008;86;75;9;7;0;1;1;1;1;0;49;0;0;30;12;7;2;2;0;0;18;83
68;Militaire ambtenarenwet;2009;83;64;3;2;0;1;0;0;0;0;46;1;0;31;11;3;4;3;1;0;25;69
69;Militaire ambtenarenwet;2010;69;68;0;0;0;0;0;0;0;0;41;0;2;20;19;0;1;1;0;0;8;87
70;Militaire ambtenarenwet;2011;87;121;1;1;0;0;0;0;0;0;25;0;0;17;7;1;0;0;0;0;21;161
71;Militaire ambtenarenwet;2012;161;89;0;0;0;0;0;0;0;0;65;0;0;43;21;1;2;1;0;1;36;147
72;Militaire ambtenarenwet;2013;148;68;1;0;0;0;1;0;0;0;104;2;2;28;72;0;1;1;0;0;23;87
73;Militaire ambtenarenwet;2014;87;101;1;1;0;0;0;0;0;0;56;8;2;24;20;2;0;0;0;0;28;103
74;Militaire ambtenarenwet;2015;104;64;8;8;0;0;0;0;0;0;63;1;2;26;34;0;1;1;0;0;16;80
75;Militaire ambtenarenwet;2016;80;89;0;0;0;0;0;0;0;0;49;1;2;30;15;1;0;0;0;0;10;110
76;Overige ambtenarenzaken;1998;290;123;4;4;0;0;0;1;0;0;104;0;1;83;19;1;2;2;0;0;32;272
77;Overige ambtenarenzaken;1999;272;68;6;5;0;0;1;3;1;1;109;0;0;92;15;2;2;0;0;2;13;212
78;Overige ambtenarenzaken;2000;212;58;4;4;0;0;0;1;3;0;100;0;0;75;17;8;0;0;0;0;12;152
79;Overige ambtenarenzaken;2001;152;30;1;1;0;0;0;0;1;0;75;0;0;57;13;5;1;1;0;0;13;91
80;Overige ambtenarenzaken;2002;91;32;1;1;0;0;0;0;0;0;45;1;0;35;8;1;0;0;0;0;10;67
81;Overige ambtenarenzaken;2003;67;24;0;0;0;0;0;0;0;0;56;0;0;34;17;5;0;0;0;0;4;31
82;Overige ambtenarenzaken;2004;31;17;2;1;0;0;1;2;0;0;25;0;0;14;9;2;0;0;0;0;2;21
83;Overige ambtenarenzaken;2005;21;17;3;3;0;0;0;2;2;0;15;0;0;11;3;1;0;0;0;0;1;19
84;Overige ambtenarenzaken;2006;19;20;3;0;0;0;3;2;4;0;9;0;0;7;1;1;0;0;0;0;0;25
85;Overige ambtenarenzaken;2007;25;19;1;0;0;0;1;0;0;0;25;0;0;20;3;2;0;0;0;0;0;18
86;Overige ambtenarenzaken;2008;18;14;0;0;0;0;0;1;1;0;13;0;0;12;1;0;0;0;0;0;2;17
87;Overige ambtenarenzaken;2009;17;15;1;0;0;0;1;0;0;0;7;0;0;7;0;0;0;0;0;0;0;24
88;Overige ambtenarenzaken;2010;24;17;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;5;32
89;Overige ambtenarenzaken;2011;32;25;0;0;0;0;0;0;0;0;11;0;0;7;3;1;0;0;0;0;4;42
90;Overige ambtenarenzaken;2012;42;34;2;1;0;0;1;0;0;0;16;3;0;8;5;0;0;0;0;0;3;55
91;Overige ambtenarenzaken;2013;55;28;0;0;0;0;0;0;0;0;19;1;0;8;9;1;0;0;0;0;8;56
92;Overige ambtenarenzaken;2014;56;28;1;1;0;0;0;0;0;0;33;2;1;14;15;1;0;0;0;0;6;44
93;Overige ambtenarenzaken;2015;43;53;2;2;0;0;0;0;0;0;9;1;0;7;1;0;0;0;0;0;5;80
94;Overige ambtenarenzaken;2016;80;83;1;0;0;0;1;2;1;0;30;0;0;18;9;3;0;0;0;0;11;122
95;Totaal sociale verzekeringszaken;1998;9516;6188;258;257;1;0;0;48;59;10;3749;49;10;2371;1190;129;20;16;0;4;2698;8968
96;Totaal sociale verzekeringszaken;1999;8968;4068;245;233;0;1;11;71;57;7;3587;46;17;1919;1459;146;12;9;1;2;2318;6888
97;Totaal sociale verzekeringszaken;2000;6888;4189;246;167;0;0;79;64;54;5;2878;29;7;1741;975;126;9;9;0;0;1431;6523
98;Totaal sociale verzekeringszaken;2001;6523;4241;207;114;0;0;93;63;56;12;3089;38;14;1853;1009;175;15;13;1;1;1350;6110
99;Totaal sociale verzekeringszaken;2002;6110;3798;223;135;0;0;88;91;68;18;2659;37;15;1614;818;175;31;18;6;7;963;6055
100;Totaal sociale verzekeringszaken;2003;6055;4074;194;94;0;0;100;54;53;6;2462;43;14;1450;804;151;21;12;2;7;986;6467
101;Totaal sociale verzekeringszaken;2004;6467;5054;256;129;0;0;127;64;62;5;3088;67;17;1981;882;141;20;14;0;6;939;7221
102;Totaal sociale verzekeringszaken;2005;7221;4601;274;107;2;0;165;77;61;9;3222;55;23;2063;914;167;13;11;0;2;1101;7228
103;Totaal sociale verzekeringszaken;2006;7228;4327;196;67;0;0;129;48;59;9;3706;69;35;2231;1128;243;21;15;1;5;1036;6585
104;Totaal sociale verzekeringszaken;2007;6585;4089;123;60;0;1;62;26;29;7;3208;91;40;1928;922;227;24;17;6;1;1030;6286
105;Totaal sociale verzekeringszaken;2008;6286;3909;157;73;1;0;83;24;22;0;3533;138;49;2020;1123;203;9;8;0;1;898;5600
106;Totaal sociale verzekeringszaken;2009;5600;3881;128;58;0;0;70;42;38;5;3413;138;71;2312;795;97;13;9;3;1;860;5071
107;Totaal sociale verzekeringszaken;2010;5071;3866;163;57;3;0;103;39;30;4;3212;89;97;2124;765;137;19;15;1;3;984;4568
108;Totaal sociale verzekeringszaken;2011;4568;4031;190;72;0;0;118;61;33;7;2931;59;45;2219;501;107;76;62;9;5;881;4549
109;Totaal sociale verzekeringszaken;2012;4549;3609;167;49;0;1;117;59;67;4;2543;61;346;1526;510;100;50;34;8;8;845;4545
110;Totaal sociale verzekeringszaken;2013;4549;3598;130;30;0;1;99;41;45;9;2243;75;82;1550;473;63;30;27;1;2;880;4860
111;Totaal sociale verzekeringszaken;2014;4860;3683;147;54;0;0;93;44;36;6;2307;66;62;1710;380;89;41;25;11;5;851;5205
112;Totaal sociale verzekeringszaken;2015;5204;4344;117;51;0;0;66;36;32;3;2664;33;18;2023;502;88;31;23;6;2;1356;5384
113;Totaal sociale verzekeringszaken;2016;5384;4159;167;69;0;0;98;37;33;6;2629;49;15;1716;759;90;27;23;0;4;927;5797
114;Ziektewet;1998;660;387;37;37;0;0;0;6;7;1;348;0;0;220;124;4;0;0;0;0;208;453
115;Ziektewet;1999;453;207;15;14;0;1;0;1;3;1;297;1;0;189;97;10;0;0;0;0;98;248
116;Ziektewet;2000;248;233;23;21;0;0;2;7;3;1;130;0;0;86;40;4;0;0;0;0;63;269
117;Ziektewet;2001;269;243;8;3;0;0;5;3;3;0;77;0;2;55;14;6;0;0;0;0;69;358
118;Ziektewet;2002;358;265;11;8;0;0;3;3;3;1;135;0;0;102;26;7;2;2;0;0;53;422
119;Ziektewet;2003;422;256;8;4;0;0;4;0;2;0;216;4;2;142;60;8;4;4;0;0;64;384
120;Ziektewet;2004;384;250;17;8;0;0;9;6;3;0;183;2;0;128;49;4;1;1;0;0;44;392
121;Ziektewet;2005;392;276;22;6;0;0;16;3;3;1;196;0;2;133;54;7;2;2;0;0;48;400
122;Ziektewet;2006;400;224;8;1;0;0;7;2;2;0;190;1;2;133;46;8;0;0;0;0;45;381
123;Ziektewet;2007;381;279;13;7;0;0;6;2;3;0;221;1;2;160;54;4;1;1;0;0;47;377
124;Ziektewet;2008;377;309;16;7;0;0;9;2;2;0;219;4;2;161;39;13;2;2;0;0;53;396
125;Ziektewet;2009;396;395;15;5;0;0;10;4;3;2;265;4;0;208;44;9;0;0;0;0;53;459
126;Ziektewet;2010;459;470;16;5;0;0;11;3;3;0;285;2;2;235;32;14;2;1;0;1;65;561
127;Ziektewet;2011;561;444;16;3;0;0;13;3;1;1;316;7;3;260;42;4;3;2;0;1;84;588
128;Ziektewet;2012;588;434;14;4;0;0;10;4;4;1;454;9;1;378;49;17;5;4;0;1;90;459
129;Ziektewet;2013;458;400;20;5;0;0;15;4;3;0;294;8;3;244;36;3;4;4;0;0;65;476
130;Ziektewet;2014;476;504;18;4;0;0;14;4;3;1;225;3;0;189;30;3;4;3;0;1;80;654
131;Ziektewet;2015;653;584;12;5;0;0;7;3;2;0;311;2;0;272;31;6;7;7;0;0;105;803
132;Ziektewet;2016;804;774;21;9;0;0;12;3;4;1;457;0;1;396;51;9;4;4;0;0;134;961
133;Werkloosheidswetten;1998;1423;651;31;31;0;0;0;3;3;0;204;0;0;133;69;2;1;1;0;0;311;1527
134;Werkloosheidswetten;1999;1527;718;45;45;0;0;0;14;10;0;613;3;3;114;490;3;0;0;0;0;872;719
135;Werkloosheidswetten;2000;719;741;35;35;0;0;0;2;5;1;267;5;1;168;88;5;2;2;0;0;221;932
136;Werkloosheidswetten;2001;932;730;32;19;0;0;13;5;4;1;379;9;1;187;175;7;1;0;1;0;265;986
137;Werkloosheidswetten;2002;986;461;22;10;0;0;12;7;6;0;359;9;1;176;155;18;5;4;0;1;132;930
138;Werkloosheidswetten;2003;930;568;42;22;0;0;20;7;2;0;332;0;0;171;151;10;1;0;0;1;168;960
139;Werkloosheidswetten;2004;960;743;30;13;0;0;17;8;8;2;498;4;0;313;163;18;4;4;0;0;149;1023
140;Werkloosheidswetten;2005;1023;756;66;30;2;0;34;17;9;1;661;0;0;424;208;29;2;1;0;1;180;878
141;Werkloosheidswetten;2006;878;695;29;10;0;0;19;9;14;3;772;5;2;362;357;46;7;6;0;1;203;557
142;Werkloosheidswetten;2007;557;563;22;11;0;1;10;4;5;2;463;5;5;279;134;40;0;0;0;0;190;444
143;Werkloosheidswetten;2008;444;312;26;18;0;0;8;5;5;0;335;8;5;211;96;15;1;1;0;0;74;320
144;Werkloosheidswetten;2009;320;479;15;7;0;0;8;2;2;1;219;6;0;143;69;1;2;2;0;0;93;470
145;Werkloosheidswetten;2010;470;468;31;13;0;0;18;5;0;0;285;4;2;180;89;10;2;2;0;0;148;477
146;Werkloosheidswetten;2011;477;510;19;8;0;0;11;3;6;1;268;7;7;186;62;6;31;31;0;0;193;473
147;Werkloosheidswetten;2012;473;349;17;3;0;0;14;2;2;0;291;10;3;98;173;7;2;2;0;0;115;397
148;Werkloosheidswetten;2013;397;366;15;1;0;0;14;3;2;0;260;8;5;156;86;5;5;3;1;1;103;381
149;Werkloosheidswetten;2014;381;425;16;4;0;0;12;2;4;0;204;21;5;127;44;7;7;4;2;1;132;445
150;Werkloosheidswetten;2015;444;407;16;4;0;0;12;3;1;0;188;5;3;120;54;6;8;3;5;0;157;484
151;Werkloosheidswetten;2016;478;341;15;3;0;0;12;3;2;1;220;10;5;113;88;4;3;3;0;0;106;476
152;Arbeidsongeschiktheidswetten;1998;6316;3972;143;142;1;0;0;25;34;7;2613;45;8;1667;785;108;10;9;0;1;1819;5694
153;Arbeidsongeschiktheidswetten;1999;5694;1983;112;104;0;0;8;29;28;5;2054;35;12;1221;662;124;4;4;0;0;988;4520
154;Arbeidsongeschiktheidswetten;2000;4520;1750;91;51;0;0;40;21;21;1;1893;13;4;1133;650;93;6;6;0;0;778;3502
155;Arbeidsongeschiktheidswetten;2001;3502;1784;75;44;0;0;31;23;18;2;1895;17;10;1135;613;120;7;7;0;0;566;2748
156;Arbeidsongeschiktheidswetten;2002;2748;1709;77;52;0;0;25;29;20;10;1340;22;11;822;415;70;4;4;0;0;452;2593
157;Arbeidsongeschiktheidswetten;2003;2593;2088;68;38;0;0;30;18;19;2;1105;31;8;688;311;67;7;3;0;4;427;3073
158;Arbeidsongeschiktheidswetten;2004;3073;2384;104;52;0;0;52;21;23;1;1312;47;14;844;329;78;10;6;0;4;451;3578
159;Arbeidsongeschiktheidswetten;2005;3578;2445;115;48;0;0;67;32;21;6;1297;45;15;856;326;55;4;3;0;1;503;4115
160;Arbeidsongeschiktheidswetten;2006;4115;2539;83;34;0;0;49;23;24;5;1781;50;27;1087;483;134;11;6;1;4;523;4255
161;Arbeidsongeschiktheidswetten;2007;4255;2178;57;29;0;0;28;13;11;4;1943;81;32;1138;557;135;6;6;0;0;562;3867
162;Arbeidsongeschiktheidswetten;2008;3867;1689;37;16;0;0;21;6;10;0;2259;121;40;1173;776;149;3;2;0;1;491;2762
163;Arbeidsongeschiktheidswetten;2009;2762;1367;36;17;0;0;19;12;11;1;1994;109;42;1314;475;54;3;3;0;0;349;1748
164;Arbeidsongeschiktheidswetten;2010;1748;1188;42;16;0;0;26;10;8;2;1402;52;18;1015;275;42;5;3;0;2;275;1214
165;Arbeidsongeschiktheidswetten;2011;1214;802;54;17;0;0;37;24;7;1;818;21;11;638;121;27;2;0;0;2;166;993
166;Arbeidsongeschiktheidswetten;2012;993;559;34;11;0;0;23;18;32;1;519;17;5;377;87;33;9;6;0;3;141;835
167;Arbeidsongeschiktheidswetten;2013;834;424;14;4;0;0;10;5;6;1;447;15;10;321;89;12;3;3;0;0;86;707
168;Arbeidsongeschiktheidswetten;2014;707;342;20;7;0;0;13;8;5;1;355;12;5;246;70;22;4;4;0;0;71;602
169;Arbeidsongeschiktheidswetten;2015;604;289;11;6;0;0;5;6;9;0;330;3;0;254;61;12;0;0;0;0;84;465
170;Arbeidsongeschiktheidswetten;2016;465;292;13;7;0;0;6;4;5;1;222;7;0;138;67;10;4;4;0;0;56;461
171;Algemene Ouderdomswet;1998;160;104;6;6;0;0;0;1;0;0;116;2;0;73;38;3;2;0;0;2;20;121
172;Algemene Ouderdomswet;1999;121;88;6;6;0;0;0;4;3;0;69;0;0;40;29;0;1;0;0;1;17;117
173;Algemene Ouderdomswet;2000;117;109;9;3;0;0;6;4;4;0;52;0;0;36;16;0;1;1;0;0;15;149
174;Algemene Ouderdomswet;2001;149;152;10;3;0;0;7;5;3;0;61;1;0;45;15;0;2;2;0;0;27;203
175;Algemene Ouderdomswet;2002;203;122;19;10;0;0;9;11;9;1;97;0;0;69;19;9;0;0;0;0;18;193
176;Algemene Ouderdomswet;2003;193;123;4;1;0;0;3;2;8;0;80;1;0;49;25;5;1;1;0;0;17;208
177;Algemene Ouderdomswet;2004;208;109;18;8;0;0;10;9;4;0;108;0;1;68;37;2;1;1;0;0;24;171
178;Algemene Ouderdomswet;2005;171;144;6;1;0;0;5;2;5;0;94;1;1;65;21;6;2;2;0;0;31;179
179;Algemene Ouderdomswet;2006;179;141;19;5;0;0;14;5;5;0;108;2;2;62;28;14;2;2;0;0;15;176
180;Algemene Ouderdomswet;2007;176;211;9;6;0;0;3;2;3;0;73;0;1;35;22;15;2;2;0;0;39;263
181;Algemene Ouderdomswet;2008;263;183;22;6;0;0;16;3;1;0;149;1;0;121;17;10;0;0;0;0;38;239
182;Algemene Ouderdomswet;2009;239;139;21;8;0;0;13;6;4;0;125;0;0;101;13;11;0;0;0;0;42;192
183;Algemene Ouderdomswet;2010;192;158;24;8;0;0;16;13;11;1;116;1;0;87;19;9;1;1;0;0;22;189
184;Algemene Ouderdomswet;2011;189;170;18;7;0;0;11;8;9;1;97;1;0;74;17;5;0;0;0;0;18;225
185;Algemene Ouderdomswet;2012;225;174;19;2;0;0;17;6;6;0;134;0;0;94;28;12;2;2;0;0;18;226
186;Algemene Ouderdomswet;2013;226;200;12;5;0;0;7;5;7;0;152;4;0;101;42;5;2;2;0;0;21;237
187;Algemene Ouderdomswet;2014;237;174;17;4;0;0;13;8;5;1;130;3;1;86;35;5;3;1;0;2;10;254
188;Algemene Ouderdomswet;2015;254;154;13;6;0;0;7;6;7;2;114;0;0;73;30;11;1;1;0;0;43;236
189;Algemene Ouderdomswet;2016;236;376;18;5;0;0;13;5;3;0;153;3;2;92;51;5;0;0;0;0;35;408
190;Algemene Kinderbijslagwet;1998;165;156;13;13;0;0;0;9;7;1;104;1;0;70;27;6;0;0;0;0;33;173
191;Algemene Kinderbijslagwet;1999;173;166;13;11;0;0;2;5;3;1;72;1;0;42;26;3;0;0;0;0;23;233
192;Algemene Kinderbijslagwet;2000;233;231;36;15;0;0;21;17;9;1;75;0;0;51;15;9;0;0;0;0;36;325
193;Algemene Kinderbijslagwet;2001;325;239;30;13;0;0;17;9;11;6;140;1;0;99;33;7;0;0;0;0;45;347
194;Algemene Kinderbijslagwet;2002;347;152;40;23;0;0;17;21;13;0;149;1;0;111;28;9;0;0;0;0;31;287
195;Algemene Kinderbijslagwet;2003;287;119;19;12;0;0;7;8;13;1;170;0;2;103;61;4;0;0;0;0;21;191
196;Algemene Kinderbijslagwet;2004;191;121;17;5;0;0;12;7;7;0;97;1;0;51;43;2;0;0;0;0;22;176
197;Algemene Kinderbijslagwet;2005;176;101;13;2;0;0;11;6;7;0;86;2;3;42;34;5;0;0;0;0;22;155
198;Algemene Kinderbijslagwet;2006;155;79;9;2;0;0;7;2;6;0;76;0;2;39;34;1;1;1;0;0;14;130
199;Algemene Kinderbijslagwet;2007;130;79;6;0;0;0;6;2;1;1;66;0;0;40;15;11;0;0;0;0;13;125
200;Algemene Kinderbijslagwet;2008;125;117;12;4;0;0;8;0;1;0;55;0;0;37;15;3;0;0;0;0;15;159
201;Algemene Kinderbijslagwet;2009;159;76;11;5;0;0;6;6;4;0;86;0;0;60;17;9;0;0;0;0;17;123
202;Algemene Kinderbijslagwet;2010;123;94;6;3;0;0;3;1;2;0;79;4;0;54;16;5;0;0;0;0;13;118
203;Algemene Kinderbijslagwet;2011;118;87;8;1;0;0;7;2;1;0;74;0;0;39;32;3;0;0;0;0;16;108
204;Algemene Kinderbijslagwet;2012;108;101;8;1;0;0;7;3;3;0;44;0;0;23;20;1;0;0;0;0;16;141
205;Algemene Kinderbijslagwet;2013;141;76;4;0;0;0;4;2;3;0;75;3;0;45;25;2;0;0;0;0;10;127
206;Algemene Kinderbijslagwet;2014;127;55;2;1;0;0;1;2;1;0;65;0;0;55;8;2;0;0;0;0;21;95
207;Algemene Kinderbijslagwet;2015;95;55;2;1;0;0;1;2;2;0;43;0;0;30;10;3;0;0;0;0;7;98
208;Algemene Kinderbijslagwet;2016;98;111;12;3;0;0;9;3;3;1;47;1;0;31;9;6;2;2;0;0;13;135
