ID;Countries;SIC2008;Periods;ForeignSubsidiary_1;Employees_2;Revenue_3;PersonnelCosts_4;Investments_5
179;Total;413700;2022;115.0;16.0;1437.0;756.0;11.0
180;Total;414300;2021;25.0;7.0;266.0;239.0;2.0
181;Total;414300;2022;52.0;7.0;355.0;291.0;2.0
182;Total;415000;2021;86.0;24.0;1293.0;436.0;64.0
183;Total;415000;2022;87.0;21.0;1137.0;576.0;883.0
184;Total;415900;2021;885.0;124.0;14570.0;1915.0;978.0
185;Total;415900;2022;887.0;133.0;16270.0;2373.0;1131.0
186;Total;419000;2021;80.0;2.0;135.0;52.0;3.0
187;Total;419000;2022;63.0;2.0;190.0;73.0;7.0
188;Total;419100;2021;80.0;2.0;135.0;52.0;3.0
189;Total;419100;2022;63.0;2.0;190.0;73.0;7.0
190;Total;422400;2021;162.0;6.0;880.0;303.0;
191;Total;422400;2022;191.0;6.0;777.0;270.0;254.0
192;Total;422500;2021;;;;;
193;Total;422500;2022;182.0;6.0;775.0;269.0;254.0
194;Total;425300;2021;;;;;
195;Total;425300;2022;;;;;
196;Total;425305;2021;;;;;
197;Total;425305;2022;;;;;
198;Total;426600;2021;;;;;
199;Total;426600;2022;;;;;
200;Total;428100;2021;127.0;9.0;1263.0;242.0;235.0
201;Total;428100;2022;190.0;9.0;2150.0;330.0;329.0
202;Total;428200;2021;32.0;1.0;;47.0;
203;Total;428200;2022;22.0;2.0;;103.0;
204;Total;429300;2021;;;;;
205;Total;429300;2022;;;;;
206;Total;430600;2021;;;503.0;;4.0
207;Total;430600;2022;;;850.0;68.0;23.0
208;Total;431100;2021;75.0;7.0;640.0;128.0;227.0
209;Total;431100;2022;124.0;6.0;985.0;154.0;302.0
210;Total;435500;2021;29.0;;61.0;9.0;
211;Total;435500;2022;31.0;;101.0;23.0;
212;Total;435600;2021;1.0;;2.0;;
213;Total;435600;2022;14.0;;16.0;13.0;
214;Total;437500;2021;;;;;
215;Total;437500;2022;;;;;
216;Total;438600;2021;28.0;;59.0;9.0;
217;Total;438600;2022;17.0;;86.0;10.0;
218;Total;441000;2021;;;;;
219;Total;441000;2022;;;;;
220;Non EU;305700;2021;126.0;46.0;13952.0;1435.0;
221;Non EU;305700;2022;113.0;31.0;5041.0;533.0;1650.0
222;Non EU;800012;2021;9527.0;1342.0;747174.0;58174.0;35526.0
223;Non EU;800012;2022;10376.0;1438.0;855437.0;65920.0;28476.0
224;Non EU;305800;2021;49.0;;7511.0;712.0;
225;Non EU;305800;2022;4.0;;;90.0;
226;Non EU;306300;2021;25.0;28.0;3597.0;394.0;225.0
227;Non EU;306300;2022;40.0;25.0;2507.0;303.0;320.0
228;Non EU;307000;2021;53.0;;2844.0;329.0;394.0
229;Non EU;307000;2022;68.0;;1166.0;140.0;
230;Non EU;307500;2021;2034.0;406.0;281327.0;18283.0;11778.0
231;Non EU;307500;2022;2171.0;468.0;229827.0;20137.0;9083.0
232;Non EU;307610;2021;488.0;117.0;36275.0;3911.0;2205.0
233;Non EU;307610;2022;606.0;137.0;47021.0;4665.0;3093.0
234;Non EU;307600;2021;391.0;50.0;18689.0;1802.0;825.0
235;Non EU;307600;2022;447.0;65.0;24002.0;2149.0;1082.0
236;Non EU;311300;2021;96.0;68.0;17586.0;2109.0;1380.0
237;Non EU;311300;2022;159.0;72.0;23019.0;2516.0;2011.0
238;Non EU;312200;2021;;;;;
239;Non EU;312200;2022;;;;;
240;Non EU;312500;2021;30.0;4.0;309.0;62.0;
241;Non EU;312500;2022;36.0;4.0;272.0;60.0;
242;Non EU;312505;2021;65.0;6.0;350.0;78.0;26.0
243;Non EU;312505;2022;52.0;4.0;;74.0;140.0
244;Non EU;314000;2021;;;;;
245;Non EU;314000;2022;;;24.0;4.0;
246;Non EU;315200;2021;;;;;
247;Non EU;315200;2022;;;;;
248;Non EU;315810;2021;42.0;5.0;787.0;136.0;
249;Non EU;315810;2022;31.0;6.0;887.0;115.0;107.0
250;Non EU;315800;2021;18.0;2.0;243.0;22.0;
251;Non EU;315800;2022;11.0;;50.0;;3.0
252;Non EU;317100;2021;14.0;3.0;528.0;111.0;13.0
253;Non EU;317100;2022;13.0;5.0;826.0;104.0;104.0
254;Non EU;318600;2021;10.0;;16.0;3.0;
255;Non EU;318600;2022;6.0;;10.0;;
256;Non EU;320000;2021;152.0;61.0;156799.0;4268.0;
257;Non EU;320000;2022;4.0;15.0;986.0;143.0;
258;Non EU;320700;2021;219.0;35.0;34486.0;2374.0;3224.0
259;Non EU;320700;2022;162.0;25.0;11851.0;1311.0;351.0
260;Non EU;323200;2021;25.0;3.0;614.0;110.0;391.0
261;Non EU;323200;2022;21.0;3.0;758.0;148.0;366.0
262;Non EU;323705;2021;113.0;8.0;1745.0;190.0;526.0
263;Non EU;323705;2022;74.0;6.0;1893.0;187.0;368.0
264;Non EU;323700;2021;99.0;5.0;1428.0;131.0;
265;Non EU;323700;2022;59.0;4.0;1486.0;137.0;38.0
266;Non EU;324600;2021;14.0;3.0;317.0;59.0;
267;Non EU;324600;2022;15.0;2.0;407.0;50.0;
268;Non EU;328100;2021;11.0;15.0;1768.0;190.0;83.0
269;Non EU;328100;2022;38.0;;1389.0;165.0;
270;Non EU;328105;2021;157.0;26.0;3881.0;595.0;764.0
271;Non EU;328105;2022;203.0;25.0;3709.0;604.0;180.0
272;Non EU;330300;2021;147.0;11.0;2113.0;406.0;682.0
273;Non EU;330300;2022;165.0;;2321.0;439.0;
274;Non EU;332900;2021;54.0;25.0;14205.0;1489.0;839.0
275;Non EU;332900;2022;70.0;28.0;17853.0;1811.0;679.0
276;Non EU;334800;2021;137.0;27.0;4980.0;1072.0;120.0
277;Non EU;334800;2022;117.0;26.0;5382.0;1208.0;107.0
278;Non EU;336500;2021;212.0;26.0;10152.0;1915.0;368.0
279;Non EU;336500;2022;218.0;29.0;11419.0;2266.0;305.0
280;Non EU;339200;2021;10.0;2.0;248.0;34.0;6.0
281;Non EU;339200;2022;315.0;126.0;114985.0;6594.0;3155.0
282;Non EU;339205;2021;45.0;7.0;1082.0;158.0;14.0
283;Non EU;339205;2022;365.0;130.0;116351.0;6734.0;3162.0
284;Non EU;340200;2021;35.0;5.0;834.0;124.0;8.0
285;Non EU;340200;2022;50.0;5.0;1366.0;140.0;7.0
286;Non EU;341600;2021;20.0;3.0;30.0;79.0;6.0
287;Non EU;341600;2022;11.0;3.0;65.0;61.0;
288;Non EU;342400;2021;144.0;29.0;6458.0;1153.0;315.0
289;Non EU;342400;2022;74.0;6.0;1775.0;253.0;
290;Non EU;344400;2021;161.0;28.0;9482.0;752.0;181.0
291;Non EU;344400;2022;164.0;22.0;;558.0;59.0
292;Non EU;346600;2021;62.0;;1432.0;27.0;64.0
293;Non EU;346600;2022;79.0;1.0;;52.0;72.0
294;Non EU;346700;2021;62.0;;1432.0;27.0;64.0
295;Non EU;346700;2022;79.0;1.0;;52.0;72.0
296;Non EU;348000;2021;25.0;1.0;241.0;28.0;
297;Non EU;348000;2022;65.0;3.0;;194.0;92.0
298;Non EU;348100;2021;;;;;
299;Non EU;348100;2022;;;21.0;;
300;Non EU;348400;2021;;;;;
301;Non EU;348400;2022;;;;;
302;Non EU;348700;2021;13.0;;212.0;22.0;38.0
303;Non EU;348700;2022;47.0;2.0;1308.0;185.0;
304;Non EU;349700;2021;;;;;
305;Non EU;349700;2022;;;;;
306;Non EU;350000;2021;167.0;19.0;6739.0;1221.0;662.0
307;Non EU;350000;2022;163.0;15.0;6285.0;1091.0;
308;Non EU;350100;2021;38.0;9.0;3072.0;611.0;399.0
309;Non EU;350100;2022;49.0;7.0;3156.0;542.0;118.0
310;Non EU;350600;2021;91.0;9.0;3397.0;551.0;238.0
311;Non EU;350600;2022;74.0;7.0;3017.0;524.0;195.0
312;Non EU;351900;2021;38.0;1.0;270.0;60.0;24.0
313;Non EU;351900;2022;40.0;1.0;112.0;25.0;
314;Non EU;354200;2021;2522.0;454.0;331711.0;18003.0;7930.0
315;Non EU;354200;2022;2779.0;487.0;483070.0;21518.0;6557.0
316;Non EU;354300;2021;37.0;1.0;1015.0;60.0;1.0
317;Non EU;354300;2022;103.0;6.0;14202.0;409.0;6.0
318;Non EU;356900;2021;2150.0;136.0;261726.0;9086.0;4078.0
319;Non EU;356900;2022;2282.0;144.0;384175.0;10161.0;3750.0
320;Non EU;371600;2021;335.0;318.0;68969.0;8856.0;3851.0
321;Non EU;371600;2022;395.0;337.0;84693.0;10948.0;2801.0
322;Non EU;383100;2021;677.0;59.0;12777.0;3031.0;973.0
323;Non EU;383100;2022;640.0;51.0;12208.0;3118.0;1146.0
324;Non EU;383200;2021;171.0;27.0;5791.0;1609.0;
325;Non EU;383200;2022;155.0;19.0;4463.0;1318.0;107.0
326;Non EU;384900;2021;135.0;2.0;999.0;106.0;97.0
327;Non EU;384900;2022;146.0;3.0;1353.0;174.0;154.0
328;Non EU;386300;2021;20.0;1.0;326.0;58.0;
329;Non EU;386300;2022;28.0;1.0;435.0;53.0;
330;Non EU;386800;2021;320.0;20.0;2696.0;921.0;747.0
331;Non EU;386800;2022;281.0;22.0;3064.0;1186.0;772.0
332;Non EU;388400;2021;31.0;8.0;2964.0;337.0;33.0
333;Non EU;388400;2022;29.0;6.0;2892.0;387.0;44.0
334;Non EU;389100;2021;88.0;7.0;590.0;151.0;96.0
335;Non EU;389100;2022;111.0;7.0;816.0;189.0;117.0
336;Non EU;389200;2021;73.0;4.0;411.0;117.0;95.0
337;Non EU;389200;2022;95.0;;;;106.0
338;Non EU;390500;2021;15.0;3.0;179.0;34.0;1.0
339;Non EU;390500;2022;16.0;;;;11.0
340;Non EU;391600;2021;835.0;53.0;9927.0;2743.0;1868.0
341;Non EU;391600;2022;910.0;59.0;11710.0;3608.0;2102.0
342;Non EU;391700;2021;150.0;12.0;3642.0;1336.0;130.0
343;Non EU;391700;2022;122.0;13.0;;1571.0;
344;Non EU;800021;2021;28.0;;118.0;4.0;
345;Non EU;800021;2022;53.0;;158.0;6.0;
346;Non EU;392600;2021;;;;;
347;Non EU;392600;2022;;;;;
348;Non EU;393600;2021;;;;;
349;Non EU;393600;2022;;;;;
350;Non EU;394100;2021;90.0;17.0;3838.0;388.0;1247.0
351;Non EU;394100;2022;112.0;19.0;4321.0;485.0;1410.0
352;Non EU;395005;2021;568.0;23.0;2329.0;1015.0;490.0
353;Non EU;395005;2022;624.0;27.0;;1546.0;
354;Non EU;395000;2021;489.0;22.0;2151.0;950.0;488.0
355;Non EU;395000;2022;542.0;26.0;3000.0;1490.0;
356;Non EU;395600;2021;78.0;1.0;179.0;65.0;2.0
357;Non EU;395600;2022;81.0;1.0;;56.0;
358;Non EU;396300;2021;344.0;38.0;42729.0;3394.0;702.0
359;Non EU;396300;2022;499.0;42.0;50511.0;3978.0;537.0
360;Non EU;396400;2021;138.0;16.0;9634.0;1990.0;505.0
361;Non EU;396400;2022;197.0;20.0;9587.0;2292.0;287.0
362;Non EU;398700;2021;21.0;12.0;29320.0;808.0;4.0
363;Non EU;398700;2022;34.0;11.0;36878.0;880.0;
364;Non EU;400200;2021;185.0;10.0;3775.0;595.0;193.0
365;Non EU;400200;2022;269.0;12.0;4046.0;806.0;
366;Non EU;402000;2021;272.0;2.0;1518.0;84.0;2572.0
367;Non EU;402000;2022;347.0;4.0;1493.0;145.0;2012.0
368;Non EU;402100;2021;272.0;2.0;1518.0;84.0;2572.0
369;Non EU;402100;2022;347.0;4.0;1493.0;145.0;2012.0
370;Non EU;403300;2021;1367.0;76.0;14623.0;4874.0;843.0
371;Non EU;403300;2022;1497.0;88.0;18543.0;5462.0;716.0
372;Non EU;403400;2021;54.0;11.0;275.0;195.0;16.0
373;Non EU;403400;2022;56.0;;317.0;229.0;
374;Non EU;403405;2021;1190.0;68.0;13285.0;4198.0;728.0
375;Non EU;403405;2022;1270.0;77.0;16910.0;4572.0;671.0
376;Non EU;404900;2021;352.0;11.0;3681.0;817.0;666.0
377;Non EU;404900;2022;463.0;;4791.0;1193.0;589.0
378;Non EU;405900;2021;784.0;46.0;9329.0;3186.0;46.0
379;Non EU;405900;2022;750.0;51.0;11803.0;3150.0;
380;Non EU;406800;2021;45.0;5.0;746.0;501.0;
381;Non EU;406800;2022;84.0;6.0;742.0;615.0;34.0
382;Non EU;408105;2021;132.0;3.0;592.0;175.0;
383;Non EU;408105;2022;144.0;5.0;891.0;275.0;10.0
384;Non EU;408100;2021;78.0;1.0;520.0;147.0;
385;Non EU;408100;2022;88.0;3.0;808.0;248.0;
386;Non EU;408700;2021;;;;;3.0
387;Non EU;408700;2022;;;69.0;;1.0
388;Non EU;409900;2021;;;;;
389;Non EU;409900;2022;;;;;
390;Non EU;410200;2021;900.0;177.0;29091.0;4748.0;4479.0
391;Non EU;410200;2022;846.0;179.0;31028.0;5745.0;4046.0
392;Non EU;410300;2021;138.0;8.0;4774.0;577.0;3441.0
393;Non EU;410300;2022;99.0;7.0;4195.0;546.0;2982.0
394;Non EU;800010;2021;761.0;170.0;24318.0;4171.0;1039.0
395;Non EU;800010;2022;746.0;172.0;26833.0;5199.0;1064.0
396;Non EU;412700;2021;282.0;35.0;12465.0;2377.0;45.0
397;Non EU;412700;2022;267.0;35.0;13594.0;2737.0;28.0
398;Non EU;413700;2021;76.0;10.0;454.0;376.0;
399;Non EU;413700;2022;62.0;11.0;952.0;548.0;9.0
400;Non EU;414300;2021;9.0;2.0;58.0;61.0;
401;Non EU;414300;2022;9.0;;118.0;;
402;Non EU;415000;2021;15.0;15.0;970.0;255.0;59.0
403;Non EU;415000;2022;22.0;;358.0;;
404;Non EU;415900;2021;378.0;107.0;10371.0;1101.0;931.0
405;Non EU;415900;2022;387.0;115.0;11812.0;1583.0;1010.0
406;Non EU;419000;2021;49.0;1.0;82.0;27.0;2.0
407;Non EU;419000;2022;40.0;;123.0;44.0;
408;Non EU;419100;2021;49.0;1.0;82.0;27.0;2.0
409;Non EU;419100;2022;40.0;;123.0;44.0;
410;Non EU;422400;2021;22.0;1.0;192.0;82.0;
411;Non EU;422400;2022;35.0;1.0;96.0;52.0;
412;Non EU;422500;2021;22.0;1.0;192.0;82.0;
413;Non EU;422500;2022;35.0;1.0;96.0;52.0;
414;Non EU;425300;2021;;;;;
415;Non EU;425300;2022;;;;;
416;Non EU;425305;2021;;;;;
417;Non EU;425305;2022;;;;;
418;Non EU;426600;2021;;;;;
419;Non EU;426600;2022;;;;;
420;Non EU;428100;2021;26.0;1.0;242.0;41.0;10.0
421;Non EU;428100;2022;70.0;1.0;250.0;49.0;4.0
422;Non EU;428200;2021;7.0;;;;
423;Non EU;428200;2022;;;;;
424;Non EU;429300;2021;;;;;
425;Non EU;429300;2022;;;;;
426;Non EU;430600;2021;;;;;
427;Non EU;430600;2022;;;;;
428;Non EU;431100;2021;15.0;;;8.0;8.0
429;Non EU;431100;2022;40.0;;11.0;4.0;
430;Non EU;435500;2021;10.0;;4.0;2.0;
431;Non EU;435500;2022;12.0;;6.0;4.0;
432;Non EU;435600;2021;;;;;
433;Non EU;435600;2022;;;;;
434;Non EU;437500;2021;;;;;
435;Non EU;437500;2022;;;;;
436;Non EU;438600;2021;;;;;
437;Non EU;438600;2022;;;;;
438;Non EU;441000;2021;;;;;
439;Non EU;441000;2022;;;;;
440;European Union (excl. the Netherlands);305700;2021;60.0;1.0;1095.0;49.0;
441;European Union (excl. the Netherlands);305700;2022;44.0;1.0;204.0;37.0;43.0
442;European Union (excl. the Netherlands);800012;2021;10808.0;702.0;251339.0;32899.0;24206.0
443;European Union (excl. the Netherlands);800012;2022;12310.0;849.0;389426.0;42491.0;26084.0
444;European Union (excl. the Netherlands);305800;2021;11.0;;829.0;7.0;
445;European Union (excl. the Netherlands);305800;2022;2.0;;;4.0;
446;European Union (excl. the Netherlands);306300;2021;35.0;1.0;199.0;33.0;33.0
447;European Union (excl. the Netherlands);306300;2022;31.0;1.0;115.0;22.0;26.0
448;European Union (excl. the Netherlands);307000;2021;14.0;;67.0;9.0;15.0
449;European Union (excl. the Netherlands);307000;2022;11.0;;44.0;11.0;
450;European Union (excl. the Netherlands);307500;2021;1898.0;199.0;80179.0;9316.0;3359.0
451;European Union (excl. the Netherlands);307500;2022;2151.0;312.0;181578.0;16457.0;5563.0
452;European Union (excl. the Netherlands);307610;2021;461.0;62.0;23928.0;3053.0;1045.0
453;European Union (excl. the Netherlands);307610;2022;474.0;63.0;29441.0;3430.0;1310.0
