ID;Huishoudkenmerken;Perioden;GebruikBleekmiddelen_1;GebruikChemischeToiletverfrisser_2;GebruikSpaarlampen_3;GebruikGroeneStroom_4;HRCVKetel_5;VRCVKetel_6;Spouwmuren_7;Dak_8;Vloer_9;Dubbelglas_10;Gestegen_11;NietGestegen_12;StijgingOnbekend_13
72;Mavo;1999;;;;;;;;;;;;;
73;Mavo;2000;;;;;;;;;;;;;
74;Mavo;2001;;;;;;;;;;;;;
75;Mavo;2002;;;;;;;;;;;;;
76;Mavo;2003;51.0;83.0;62.0;27.0;48.0;13.0;66.0;63.0;45.0;92.0;37.0;45.0;19.0
77;Mavo;2004;41.0;80.0;61.0;36.0;44.0;12.0;67.0;67.0;47.0;88.0;41.0;39.0;20.0
78;Hoogst voltooide opl.: mbo/havo/vwo;1999;;;;;;;;;;;;;
79;Hoogst voltooide opl.: mbo/havo/vwo;2000;;;;;;;;;;;;;
80;Hoogst voltooide opl.: mbo/havo/vwo;2001;;;;;;;;;;;;;
81;Hoogst voltooide opl.: mbo/havo/vwo;2002;;;;;;;;;;;;;
82;Hoogst voltooide opl.: mbo/havo/vwo;2003;47.0;81.0;61.0;32.0;52.0;14.0;66.0;68.0;48.0;89.0;35.0;45.0;20.0
83;Hoogst voltooide opl.: mbo/havo/vwo;2004;47.0;82.0;62.0;38.0;51.0;14.0;67.0;69.0;48.0;89.0;38.0;43.0;19.0
84;Hoogst voltooide opl.: Hbo/universiteit;1999;;;;;;;;;;;;;
85;Hoogst voltooide opl.: Hbo/universiteit;2000;;;;;;;;;;;;;
86;Hoogst voltooide opl.: Hbo/universiteit;2001;;;;;;;;;;;;;
87;Hoogst voltooide opl.: Hbo/universiteit;2002;;;;;;;;;;;;;
88;Hoogst voltooide opl.: Hbo/universiteit;2003;38.0;76.0;61.0;39.0;56.0;11.0;63.0;70.0;47.0;84.0;34.0;43.0;23.0
89;Hoogst voltooide opl.: Hbo/universiteit;2004;39.0;76.0;65.0;43.0;59.0;15.0;65.0;71.0;49.0;86.0;36.0;41.0;23.0
90;1e (laagste) 20%-groep best. huish.-ink.;1999;;;;;;;;;;;;;
91;1e (laagste) 20%-groep best. huish.-ink.;2000;;;;;;;;;;;;;
92;1e (laagste) 20%-groep best. huish.-ink.;2001;;;;;;;;;;;;;
93;1e (laagste) 20%-groep best. huish.-ink.;2002;;;;;;;;;;;;;
94;1e (laagste) 20%-groep best. huish.-ink.;2003;51.0;81.0;50.0;26.0;42.0;10.0;52.0;51.0;37.0;83.0;36.0;41.0;23.0
95;1e (laagste) 20%-groep best. huish.-ink.;2004;51.0;82.0;52.0;35.0;42.0;14.0;58.0;60.0;41.0;82.0;34.0;41.0;25.0
96;2e 20%-groep besteedbaar inkomen huish.;1999;;;;;;;;;;;;;
97;2e 20%-groep besteedbaar inkomen huish.;2000;;;;;;;;;;;;;
98;2e 20%-groep besteedbaar inkomen huish.;2001;;;;;;;;;;;;;
99;2e 20%-groep besteedbaar inkomen huish.;2002;;;;;;;;;;;;;
100;2e 20%-groep besteedbaar inkomen huish.;2003;45.0;82.0;62.0;29.0;44.0;13.0;59.0;60.0;40.0;87.0;38.0;44.0;18.0
101;2e 20%-groep besteedbaar inkomen huish.;2004;49.0;82.0;60.0;36.0;47.0;12.0;64.0;62.0;43.0;91.0;40.0;42.0;18.0
102;3e 20%-groep besteedbaar inkomen huish.;1999;;;;;;;;;;;;;
103;3e 20%-groep besteedbaar inkomen huish.;2000;;;;;;;;;;;;;
104;3e 20%-groep besteedbaar inkomen huish.;2001;;;;;;;;;;;;;
105;3e 20%-groep besteedbaar inkomen huish.;2002;;;;;;;;;;;;;
106;3e 20%-groep besteedbaar inkomen huish.;2003;45.0;81.0;62.0;35.0;52.0;13.0;64.0;68.0;45.0;90.0;37.0;45.0;19.0
107;3e 20%-groep besteedbaar inkomen huish.;2004;45.0;81.0;61.0;38.0;51.0;15.0;67.0;68.0;47.0;90.0;41.0;42.0;18.0
108;4e 20%-groep besteedbaar inkomen huish.;1999;;;;;;;;;;;;;
109;4e 20%-groep besteedbaar inkomen huish.;2000;;;;;;;;;;;;;
110;4e 20%-groep besteedbaar inkomen huish.;2001;;;;;;;;;;;;;
111;4e 20%-groep besteedbaar inkomen huish.;2002;;;;;;;;;;;;;
112;4e 20%-groep besteedbaar inkomen huish.;2003;43.0;80.0;62.0;32.0;55.0;13.0;67.0;69.0;48.0;90.0;34.0;43.0;23.0
113;4e 20%-groep besteedbaar inkomen huish.;2004;46.0;80.0;64.0;40.0;58.0;12.0;67.0;68.0;47.0;90.0;39.0;41.0;21.0
114;5e (hoogste) 20%-groep best. ink. huish.;1999;;;;;;;;;;;;;
115;5e (hoogste) 20%-groep best. ink. huish.;2000;;;;;;;;;;;;;
116;5e (hoogste) 20%-groep best. ink. huish.;2001;;;;;;;;;;;;;
117;5e (hoogste) 20%-groep best. ink. huish.;2002;;;;;;;;;;;;;
118;5e (hoogste) 20%-groep best. ink. huish.;2003;45.0;78.0;66.0;38.0;60.0;15.0;66.0;73.0;48.0;89.0;31.0;50.0;19.0
119;5e (hoogste) 20%-groep best. ink. huish.;2004;42.0;77.0;71.0;40.0;61.0;17.0;71.0;75.0;53.0;91.0;32.0;46.0;22.0
120;Eenpersoonshuishouden;1999;;;45.0;;28.0;11.0;;;;71.0;;;
121;Eenpersoonshuishouden;2000;;;48.0;;32.0;10.0;;;;77.0;;;
122;Eenpersoonshuishouden;2001;;;;;;;;;;80.0;;;
123;Eenpersoonshuishouden;2002;;;50.0;;32.0;15.0;;;;81.0;;;
124;Eenpersoonshuishouden;2003;39.0;74.0;52.0;29.0;37.0;11.0;52.0;52.0;34.0;82.0;33.0;43.0;24.0
125;Eenpersoonshuishouden;2004;39.0;74.0;52.0;34.0;37.0;11.0;57.0;56.0;39.0;82.0;34.0;40.0;26.0
126;Huishouden met twee personen;1999;;;61.0;;45.0;16.0;;;;87.0;;;
127;Huishouden met twee personen;2000;;;65.0;;49.0;16.0;;;;87.0;;;
128;Huishouden met twee personen;2001;;;;;;;;;;90.0;;;
129;Huishouden met twee personen;2002;;;64.0;;51.0;16.0;;;;90.0;;;
130;Huishouden met twee personen;2003;46.0;82.0;65.0;33.0;55.0;14.0;63.0;66.0;43.0;90.0;33.0;49.0;18.0
131;Huishouden met twee personen;2004;45.0;82.0;68.0;38.0;57.0;16.0;66.0;67.0;45.0;91.0;35.0;48.0;18.0
132;Huishouden met drie of meer personen;1999;;;62.0;;53.0;17.0;;;;90.0;;;
133;Huishouden met drie of meer personen;2000;;;66.0;;54.0;17.0;;;;90.0;;;
134;Huishouden met drie of meer personen;2001;;;;;;;;;;93.0;;;
135;Huishouden met drie of meer personen;2002;;;67.0;;61.0;14.0;;;;93.0;;;
136;Huishouden met drie of meer personen;2003;54.0;86.0;65.0;35.0;62.0;14.0;72.0;77.0;56.0;93.0;40.0;41.0;18.0
137;Huishouden met drie of meer personen;2004;56.0;85.0;66.0;42.0;63.0;14.0;73.0;78.0;56.0;94.0;43.0;39.0;18.0
138;Alleenstaande;1999;;;45.0;;28.0;11.0;;;;71.0;;;
139;Alleenstaande;2000;;;48.0;;32.0;10.0;;;;77.0;;;
140;Alleenstaande;2001;;;;;;;;;;80.0;;;
141;Alleenstaande;2002;;;50.0;;32.0;15.0;;;;81.0;;;
142;Alleenstaande;2003;39.0;74.0;52.0;29.0;37.0;11.0;52.0;52.0;34.0;82.0;33.0;43.0;24.0
143;Alleenstaande;2004;39.0;74.0;52.0;34.0;37.0;11.0;57.0;56.0;39.0;82.0;34.0;40.0;26.0
144;Paren zonder kinderen;1999;;;62.0;;46.0;16.0;;;;88.0;;;
145;Paren zonder kinderen;2000;;;66.0;;51.0;16.0;;;;87.0;;;
146;Paren zonder kinderen;2001;;;;;;;;;;91.0;;;
147;Paren zonder kinderen;2002;;;65.0;;53.0;16.0;;;;92.0;;;
148;Paren zonder kinderen;2003;45.0;83.0;66.0;33.0;56.0;14.0;63.0;67.0;44.0;91.0;32.0;49.0;18.0
149;Paren zonder kinderen;2004;45.0;82.0;70.0;37.0;58.0;17.0;67.0;69.0;47.0;92.0;34.0;48.0;17.0
150;Paren met kinderen;1999;;;63.0;;54.0;17.0;;;;91.0;;;
151;Paren met kinderen;2000;;;67.0;;55.0;17.0;;;;91.0;;;
152;Paren met kinderen;2001;;;;;;;;;;93.0;;;
153;Paren met kinderen;2002;;;68.0;;62.0;14.0;;;;94.0;;;
154;Paren met kinderen;2003;54.0;86.0;66.0;35.0;63.0;14.0;73.0;79.0;57.0;94.0;41.0;42.0;18.0
155;Paren met kinderen;2004;55.0;85.0;66.0;42.0;65.0;14.0;75.0;79.0;57.0;95.0;43.0;39.0;18.0
156;Eenoudergezinnen;1999;;;55.0;;36.0;14.0;;;;82.0;;;
157;Eenoudergezinnen;2000;;;57.0;;40.0;12.0;;;;85.0;;;
158;Eenoudergezinnen;2001;;;;;;;;;;85.0;;;
159;Eenoudergezinnen;2002;;;54.0;;46.0;15.0;;;;81.0;;;
160;Eenoudergezinnen;2003;54.0;82.0;54.0;35.0;45.0;12.0;64.0;54.0;40.0;86.0;38.0;44.0;19.0
161;Eenoudergezinnen;2004;55.0;82.0;52.0;44.0;44.0;14.0;55.0;54.0;33.0;88.0;44.0;40.0;16.0
162;Overig huishouden;1999;;;46.0;;45.0;22.0;;;;81.0;;;
163;Overig huishouden;2000;;;39.0;;13.0;15.0;;;;71.0;;;
164;Overig huishouden;2001;;;;;;;;;;81.0;;;
165;Overig huishouden;2002;;;51.0;;31.0;13.0;;;;82.0;;;
166;Overig huishouden;2003;48.0;78.0;60.0;13.0;34.0;11.0;35.0;45.0;29.0;82.0;33.0;33.0;34.0
167;Overig huishouden;2004;45.0;83.0;47.0;33.0;28.0;11.0;35.0;47.0;22.0;73.0;36.0;32.0;32.0
168;Eigenaar;1999;;;64.0;;52.0;18.0;;;;87.0;;;
169;Eigenaar;2000;;;68.0;;56.0;17.0;;;;88.0;;;
170;Eigenaar;2001;;;;;;;;;;91.0;;;
171;Eigenaar;2002;;;67.0;;59.0;17.0;;;;90.0;;;
172;Eigenaar;2003;46.0;80.0;67.0;36.0;62.0;14.0;68.0;75.0;52.0;91.0;33.0;48.0;19.0
173;Eigenaar;2004;45.0;79.0;69.0;41.0;62.0;16.0;69.0;76.0;54.0;92.0;36.0;44.0;20.0
174;Huurder;1999;;;47.0;;28.0;11.0;;;;78.0;;;
175;Huurder;2000;;;51.0;;32.0;11.0;;;;80.0;;;
176;Huurder;2001;;;;;;;;;;83.0;;;
177;Huurder;2002;;;52.0;;33.0;12.0;;;;85.0;;;
178;Huurder;2003;46.0;81.0;52.0;27.0;36.0;11.0;54.0;49.0;32.0;84.0;38.0;40.0;22.0
179;Huurder;2004;48.0;81.0;52.0;33.0;37.0;12.0;59.0;53.0;34.0;84.0;38.0;40.0;22.0
180;Stedelijkheid: zeer sterk stedelijk;1999;;;49.0;;29.0;9.0;;;;70.0;;;
181;Stedelijkheid: zeer sterk stedelijk;2000;;;49.0;;25.0;10.0;;;;73.0;;;
182;Stedelijkheid: zeer sterk stedelijk;2001;;;;;;;;;;79.0;;;
183;Stedelijkheid: zeer sterk stedelijk;2002;;;58.0;;29.0;16.0;;;;77.0;;;
184;Stedelijkheid: zeer sterk stedelijk;2003;45.0;78.0;50.0;26.0;28.0;10.0;42.0;44.0;30.0;76.0;36.0;41.0;22.0
185;Stedelijkheid: zeer sterk stedelijk;2004;47.0;76.0;56.0;33.0;34.0;16.0;47.0;46.0;33.0;77.0;41.0;36.0;22.0
186;Stedelijkheid: sterk stedelijk;1999;;;56.0;;40.0;15.0;;;;85.0;;;
187;Stedelijkheid: sterk stedelijk;2000;;;61.0;;40.0;16.0;;;;85.0;;;
188;Stedelijkheid: sterk stedelijk;2001;;;;;;;;;;88.0;;;
189;Stedelijkheid: sterk stedelijk;2002;;;59.0;;47.0;12.0;;;;90.0;;;
190;Stedelijkheid: sterk stedelijk;2003;48.0;82.0;60.0;32.0;48.0;14.0;65.0;68.0;46.0;90.0;37.0;43.0;20.0
191;Stedelijkheid: sterk stedelijk;2004;49.0;83.0;59.0;35.0;48.0;14.0;66.0;68.0;50.0;90.0;37.0;41.0;22.0
192;Stedelijkheid: matig stedelijk;1999;;;58.0;;43.0;18.0;;;;86.0;;;
193;Stedelijkheid: matig stedelijk;2000;;;62.0;;53.0;16.0;;;;90.0;;;
194;Stedelijkheid: matig stedelijk;2001;;;;;;;;;;90.0;;;
195;Stedelijkheid: matig stedelijk;2002;;;60.0;;52.0;16.0;;;;92.0;;;
196;Stedelijkheid: matig stedelijk;2003;47.0;81.0;65.0;37.0;57.0;15.0;70.0;71.0;48.0;91.0;37.0;45.0;18.0
197;Stedelijkheid: matig stedelijk;2004;50.0;82.0;65.0;42.0;60.0;13.0;71.0;75.0;51.0;94.0;34.0;47.0;20.0
198;Stedelijkheid: weinig stedelijk;1999;;;61.0;;51.0;17.0;;;;87.0;;;
199;Stedelijkheid: weinig stedelijk;2000;;;63.0;;54.0;15.0;;;;87.0;;;
200;Stedelijkheid: weinig stedelijk;2001;;;;;;;;;;90.0;;;
201;Stedelijkheid: weinig stedelijk;2002;;;60.0;;57.0;17.0;;;;92.0;;;
202;Stedelijkheid: weinig stedelijk;2003;47.0;80.0;65.0;34.0;63.0;13.0;67.0;72.0;47.0;93.0;31.0;47.0;22.0
203;Stedelijkheid: weinig stedelijk;2004;43.0;79.0;66.0;43.0;64.0;13.0;72.0;76.0;51.0;93.0;36.0;45.0;19.0
204;Stedelijkheid: niet stedelijk;1999;;;59.0;;49.0;15.0;;;;87.0;;;
205;Stedelijkheid: niet stedelijk;2000;;;63.0;;58.0;14.0;;;;90.0;;;
206;Stedelijkheid: niet stedelijk;2001;;;;;;;;;;90.0;;;
207;Stedelijkheid: niet stedelijk;2002;;;63.0;;60.0;14.0;;;;91.0;;;
208;Stedelijkheid: niet stedelijk;2003;42.0;82.0;66.0;31.0;67.0;11.0;69.0;69.0;50.0;91.0;32.0;48.0;20.0
209;Stedelijkheid: niet stedelijk;2004;40.0;80.0;65.0;36.0;61.0;14.0;73.0;72.0;48.0;94.0;36.0;43.0;21.0
210;Eengezinswoning;1999;;;62.0;;49.0;18.0;;;;88.0;;;
211;Eengezinswoning;2000;;;66.0;;54.0;17.0;;;;89.0;;;
212;Eengezinswoning;2001;;;;;;;;;;91.0;;;
213;Eengezinswoning;2002;;;65.0;;57.0;17.0;;;;92.0;;;
214;Eengezinswoning;2003;48.0;82.0;66.0;35.0;61.0;15.0;67.0;73.0;47.0;92.0;35.0;46.0;18.0
215;Eengezinswoning;2004;48.0;82.0;68.0;40.0;62.0;16.0;70.0;75.0;49.0;93.0;37.0;45.0;18.0
216;Flat;1999;;;44.0;;26.0;8.0;;;;76.0;;;
217;Flat;2000;;;47.0;;25.0;9.0;;;;76.0;;;
218;Flat;2001;;;;;;;;;;82.0;;;
219;Flat;2002;;;51.0;;29.0;12.0;;;;82.0;;;
220;Flat;2003;44.0;79.0;48.0;27.0;27.0;9.0;49.0;44.0;35.0;81.0;36.0;41.0;23.0
221;Flat;2004;45.0;77.0;50.0;33.0;30.0;11.0;55.0;49.0;39.0;82.0;38.0;38.0;23.0
222;Overig woningen;1999;;;47.0;;27.0;10.0;;;;58.0;;;
223;Overig woningen;2000;;;47.0;;34.0;7.0;;;;68.0;;;
224;Overig woningen;2001;;;;;;;;;;68.0;;;
225;Overig woningen;2002;;;42.0;;33.0;13.0;;;;65.0;;;
226;Overig woningen;2003;33.0;72.0;41.0;13.0;31.0;5.0;45.0;43.0;37.0;69.0;31.0;32.0;37.0
227;Overig woningen;2004;35.0;73.0;45.0;20.0;36.0;12.0;49.0;52.0;43.0;64.0;31.0;26.0;44.0
228;Landsdeel Noord;1999;;;54.0;;44.0;12.0;;;;87.0;;;
229;Landsdeel Noord;2000;;;60.0;;50.0;16.0;;;;88.0;;;
230;Landsdeel Noord;2001;;;;;;;;;;89.0;;;
231;Landsdeel Noord;2002;;;58.0;;50.0;17.0;;;;88.0;;;
232;Landsdeel Noord;2003;37.0;80.0;60.0;36.0;60.0;12.0;69.0;63.0;49.0;90.0;29.0;49.0;22.0
233;Landsdeel Noord;2004;39.0;85.0;57.0;43.0;58.0;12.0;70.0;69.0;48.0;94.0;36.0;42.0;22.0
234;Landsdeel Oost;1999;;;59.0;;44.0;16.0;;;;86.0;;;
235;Landsdeel Oost;2000;;;64.0;;51.0;13.0;;;;86.0;;;
236;Landsdeel Oost;2001;;;;;;;;;;90.0;;;
237;Landsdeel Oost;2002;;;64.0;;54.0;12.0;;;;90.0;;;
238;Landsdeel Oost;2003;45.0;80.0;63.0;31.0;57.0;12.0;72.0;76.0;52.0;91.0;33.0;46.0;21.0
239;Landsdeel Oost;2004;44.0;81.0;65.0;38.0;58.0;10.0;73.0;75.0;53.0;91.0;31.0;47.0;21.0
240;Landsdeel West;1999;;;54.0;;39.0;15.0;;;;80.0;;;
241;Landsdeel West;2000;;;55.0;;39.0;14.0;;;;82.0;;;
242;Landsdeel West;2001;;;;;;;;;;86.0;;;
243;Landsdeel West;2002;;;58.0;;43.0;16.0;;;;87.0;;;
244;Landsdeel West;2003;47.0;79.0;57.0;30.0;46.0;13.0;56.0;59.0;40.0;86.0;35.0;45.0;20.0
245;Landsdeel West;2004;48.0;78.0;60.0;33.0;46.0;15.0;60.0;60.0;42.0;85.0;39.0;40.0;20.0
246;Landsdeel Zuid;1999;;;60.0;;46.0;14.0;;;;83.0;;;
247;Landsdeel Zuid;2000;;;65.0;;49.0;14.0;;;;87.0;;;
248;Landsdeel Zuid;2001;;;;;;;;;;86.0;;;
249;Landsdeel Zuid;2002;;;60.0;;52.0;16.0;;;;90.0;;;
250;Landsdeel Zuid;2003;50.0;84.0;65.0;36.0;52.0;14.0;64.0;68.0;43.0;89.0;40.0;40.0;21.0
251;Landsdeel Zuid;2004;48.0;81.0;65.0;45.0;56.0;16.0;67.0;74.0;48.0;91.0;37.0;41.0;21.0
