ID;Perioden;DelfstoffenwinningEnIndustrie_1;Delfstoffenwinning_2;IndustrieTotaal_3;VoedingsEnGenotmiddelenTotaal_4;VerwerkingVanVeehouderijproducten_5;VerwerkingVanOverigeProducten_6;Drankenindustrie_7;TabakverwerkendeIndustrie_8;Textielindustrie_9;Kledingindustrie_10;LederwarenEnSchoenenindustrie_11;Houtindustrie_12;PapierEnPapierwarenIndustrie_13;GrafischeIndustrieEnUitgeverijen_14;AardolieIndustrie_15;ChemischeIndustrie_16;RubberKunststofverwerkendeIndustrie_17;BouwmaterialenAardewerkGlasindustrie_18;TotaalMetaalindustrie_19;BasismetaalIndustrie_20;OverigeMetaalIndustrie_21;OpenbareNutsbedrijven_22;DelfstoffenwinningEnIndustrie_23;Delfstoffenwinning_24;IndustrieTotaal_25;VoedingsEnGenotmiddelenTotaal_26;VerwerkingVanVeehouderijproducten_27;VerwerkingVanOverigeProducten_28;Drankenindustrie_29;TabakverwerkendeIndustrie_30;Textielindustrie_31;Kledingindustrie_32;LederwarenEnSchoenenindustrie_33;Houtindustrie_34;PapierEnPapierwarenIndustrie_35;GrafischeIndustrieEnUitgeverijen_36;AardolieIndustrie_37;ChemischeIndustrie_38;RubberKunststofverwerkendeIndustrie_39;BouwmaterialenAardewerkGlasindustrie_40;MetaalindustrieTotaal_41;BasismetaalIndustrie_42;OverigeMetaalIndustrie_43;OpenbareNutsbedrijven_44
38;1952;17.0;32.0;16.0;22.0;28.0;25.0;7.0;20.0;65.0;155.0;240.0;;;;20.0;4.0;;26.0;13.0;;;7.0;;;;;;;;;;;;;;;;;;;;;;
39;1953;19.0;32.0;18.0;23.0;29.0;25.0;7.0;21.0;73.0;176.0;248.0;;12.0;;21.0;4.0;12.0;26.0;15.0;12.0;15.0;7.0;;;;;;;;;;;;;;;;;;;;;;
40;1954;21.0;32.0;19.0;23.0;34.0;25.0;7.0;21.0;77.0;199.0;270.0;;13.0;;27.0;4.0;13.0;28.0;17.0;13.0;17.0;9.0;;;;;;;;;;;;;;;;;;;;;;
41;1955;21.0;34.0;20.0;24.0;34.0;26.0;8.0;22.0;80.0;216.0;291.0;;14.0;;31.0;4.0;14.0;31.0;18.0;16.0;19.0;10.0;;;;;;;;;;;;;;;;;;;;;;
42;1956;22.0;34.0;22.0;25.0;35.0;27.0;8.0;23.0;85.0;242.0;296.0;33.0;15.0;;34.0;5.0;15.0;35.0;21.0;16.0;21.0;11.0;;;;;;;;;;;;;;;;;;;;;;
43;1957;23.0;34.0;23.0;26.0;37.0;27.0;9.0;24.0;85.0;237.0;283.0;34.0;17.0;;37.0;5.0;15.0;36.0;21.0;18.0;21.0;12.0;;;;;;;;;;;;;;;;;;;;;;
44;1958;24.0;35.0;23.0;27.0;37.0;30.0;10.0;24.0;79.0;235.0;274.0;31.0;17.0;;38.0;6.0;15.0;32.0;21.0;21.0;21.0;12.0;;;;;;;;;;;;;;;;;;;;;;
45;1959;27.0;36.0;25.0;29.0;43.0;31.0;10.0;24.0;88.0;259.0;300.0;37.0;19.0;;40.0;7.0;18.0;36.0;23.0;23.0;24.0;13.0;;;;;;;;;;;;;;;;;;;;;;
46;1960;29.0;37.0;28.0;31.0;45.0;34.0;12.0;24.0;94.0;280.0;296.0;40.0;21.0;;48.0;7.0;20.0;39.0;26.0;26.0;26.0;14.0;;;;;;;;;;;;;;;;;;;;;;
47;1961;31.0;40.0;29.0;32.0;45.0;34.0;12.0;26.0;97.0;314.0;322.0;45.0;23.0;;52.0;8.0;22.0;40.0;28.0;27.0;28.0;16.0;;;;;;;;;;;;;;;;;;;;;;
48;1962;32.0;37.0;30.0;32.0;48.0;34.0;13.0;27.0;97.0;307.0;330.0;49.0;23.0;;58.0;9.0;22.0;42.0;29.0;30.0;29.0;17.0;;;;;;;;;;;;;;;;;;;;;;
49;1963;33.0;37.0;32.0;33.0;50.0;35.0;14.0;28.0;104.0;333.0;344.0;54.0;26.0;;59.0;10.0;22.0;42.0;31.0;32.0;31.0;19.0;;;;;;;;;;;;;;;;;;;;;;
50;1964;36.0;39.0;34.0;36.0;51.0;37.0;16.0;29.0;109.0;356.0;370.0;63.0;29.0;41.0;66.0;13.0;25.0;52.0;33.0;37.0;33.0;21.0;;;;;;;;;;;;;;;;;;;;;;
51;1965;37.0;40.0;36.0;36.0;52.0;38.0;18.0;31.0;106.0;342.0;369.0;68.0;31.0;45.0;69.0;14.0;25.0;54.0;35.0;40.0;35.0;23.0;;;;;;;;;;;;;;;;;;;;;;
52;1966;39.0;39.0;38.0;37.0;53.0;39.0;18.0;29.0;112.0;340.0;365.0;71.0;34.0;45.0;71.0;16.0;26.0;54.0;37.0;42.0;36.0;26.0;;;;;;;;;;;;;;;;;;;;;;
53;1967;41.0;37.0;38.0;40.0;57.0;41.0;21.0;31.0;103.0;295.0;357.0;72.0;34.0;45.0;71.0;17.0;25.0;59.0;39.0;47.0;37.0;28.0;;;;;;;;;;;;;;;;;;;;;;
54;1968;45.0;43.0;42.0;41.0;61.0;42.0;22.0;31.0;109.0;314.0;361.0;78.0;38.0;48.0;78.0;22.0;28.0;59.0;40.0;50.0;40.0;33.0;;;;;;;;;;;;;;;;;;;;;;
55;1969;48.0;48.0;47.0;43.0;62.0;43.0;26.0;32.0;120.0;316.0;348.0;78.0;40.0;51.0;96.0;25.0;28.0;61.0;46.0;60.0;45.0;38.0;;;;;;;;;;;;;;;;;;;;;;
56;1970;53.0;59.0;49.0;45.0;65.0;46.0;28.0;35.0;117.0;300.0;314.0;86.0;42.0;55.0;115.0;28.0;31.0;64.0;52.0;66.0;50.0;43.0;;;;;;;;;;;;;;;;;;;;;;
57;1971;57.0;70.0;52.0;49.0;69.0;48.0;31.0;37.0;118.0;307.0;304.0;90.0;41.0;54.0;115.0;30.0;30.0;67.0;53.0;68.0;52.0;50.0;;;;;;;;;;;;;;;;;;;;;;
58;1972;60.0;86.0;54.0;50.0;69.0;49.0;31.0;39.0;113.0;283.0;257.0;93.0;43.0;55.0;130.0;32.0;31.0;68.0;54.0;69.0;52.0;57.0;;;;;;;;;;;;;;;;;;;;;;
59;1973;63.0;96.0;56.0;53.0;75.0;50.0;36.0;42.0;112.0;268.0;236.0;95.0;46.0;58.0;140.0;38.0;34.0;70.0;58.0;78.0;55.0;62.0;;;;;;;;;;;;;;;;;;;;;;
60;1974;66.0;107.0;59.0;55.0;78.0;53.0;38.0;44.0;118.0;237.0;221.0;94.0;50.0;62.0;123.0;41.0;38.0;70.0;58.0;81.0;55.0;66.0;;;;;;;;;;;;;;;;;;;;;;
61;1975;65.0;115.0;56.0;55.0;79.0;52.0;41.0;42.0;100.0;216.0;194.0;87.0;41.0;59.0;110.0;35.0;34.0;67.0;56.0;66.0;55.0;67.0;;;;;;;;;;;;;;;;;;;;;;
62;1976;70.0;120.0;60.0;58.0;84.0;54.0;44.0;45.0;106.0;202.0;197.0;92.0;48.0;64.0;129.0;42.0;39.0;70.0;60.0;73.0;59.0;73.0;;;;;;;;;;;;;;;;;;;;;;
63;1977;70.0;120.0;60.0;59.0;85.0;56.0;45.0;42.0;100.0;176.0;194.0;96.0;48.0;65.0;120.0;42.0;41.0;75.0;60.0;71.0;59.0;72.0;;;;;;;;;;;;;;;;;;;;;;
64;1978;70.0;111.0;62.0;63.0;89.0;60.0;48.0;43.0;100.0;174.0;194.0;101.0;52.0;69.0;119.0;44.0;40.0;74.0;60.0;78.0;59.0;76.0;;;;;;;;;;;;;;;;;;;;;;
65;1979;72.0;117.0;64.0;64.0;95.0;60.0;52.0;45.0;99.0;171.0;190.0;97.0;56.0;72.0;127.0;47.0;40.0;74.0;63.0;80.0;61.0;76.0;;;;;;;;;;;;;;;;;;;;;;
66;1980;71.0;111.0;64.0;65.0;96.0;62.0;53.0;43.0;93.0;162.0;184.0;100.0;56.0;72.0;113.0;46.0;40.0;75.0;64.0;77.0;63.0;78.0;-0.8;-5.6;0.5;1.5;1.4;2.2;1.4;-4.5;-6.7;-5.4;-3.4;3.2;0.5;0.1;-11.1;-2.4;-0.6;1.0;2.2;-3.3;2.8;2.4
67;1981;70.0;101.0;64.0;67.0;99.0;64.0;56.0;45.0;89.0;139.0;172.0;88.0;57.0;69.0;80.0;49.0;44.0;68.0;65.0;82.0;63.0;77.0;-2.1;-9.1;0.0;3.4;2.6;3.3;5.5;4.3;-4.1;-14.0;-6.2;-12.1;1.8;-3.2;-29.2;7.0;9.6;-8.9;0.9;5.8;0.3;-0.3
68;1982;67.0;86.0;63.0;68.0;98.0;65.0;55.0;50.0;85.0;137.0;188.0;78.0;62.0;67.0;80.0;48.0;45.0;63.0;64.0;75.0;63.0;80.0;-3.7;-14.6;-1.2;1.0;-0.8;1.6;-1.7;12.5;-4.2;-1.2;9.1;-10.9;8.5;-4.0;-0.6;-2.9;4.1;-6.9;-1.1;-8.2;-0.2;3.1
69;1983;69.0;93.0;65.0;68.0;105.0;63.0;53.0;50.0;83.0;133.0;186.0;77.0;61.0;65.0;104.0;55.0;50.0;64.0;64.0;74.0;62.0;80.0;3.0;8.1;1.9;0.0;7.1;-3.3;-3.0;-0.2;-2.4;-3.5;-1.2;-2.1;-1.4;-2.5;30.0;15.9;10.1;2.0;-0.8;-1.7;-0.7;0.8
70;1984;72.0;95.0;68.0;70.0;115.0;63.0;53.0;52.0;90.0;137.0;175.0;74.0;66.0;67.0;107.0;60.0;53.0;70.0;68.0;83.0;66.0;81.0;4.7;2.4;5.8;3.4;9.7;0.2;0.0;3.9;8.8;3.5;-5.9;-2.9;7.1;3.3;3.0;9.1;6.7;8.0;6.8;13.0;6.1;1.3
71;1985;75.0;103.0;70.0;69.0;107.0;62.0;54.0;57.0;93.0;136.0;187.0;76.0;68.0;69.0;98.0;65.0;57.0;72.0;70.0;85.0;69.0;84.0;3.9;8.6;2.8;-2.3;-7.2;-1.4;2.3;9.7;2.4;-0.8;7.1;1.5;3.9;2.1;-7.8;7.8;6.3;3.0;3.8;1.7;4.1;2.5
72;1986;75.0;96.0;72.0;73.0;106.0;67.0;59.0;63.0;88.0;135.0;177.0;77.0;70.0;70.0;122.0;65.0;59.0;76.0;71.0;83.0;69.0;87.0;-0.4;-7.2;2.5;5.7;-0.4;7.7;7.5;9.8;-4.8;-1.1;-5.6;2.1;2.9;1.8;23.7;-0.5;5.0;5.4;0.5;-2.5;0.9;4.3
73;1987;76.0;99.0;73.0;74.0;120.0;66.0;57.0;67.0;88.0;121.0;162.0;81.0;72.0;72.0;121.0;66.0;61.0;76.0;71.0;76.0;71.0;88.0;1.9;3.6;1.4;2.2;12.6;-1.8;-2.0;6.3;0.4;-9.8;-8.3;5.5;2.5;3.8;-0.9;1.9;2.6;0.3;0.6;-7.8;1.7;1.4
74;1988;77.0;87.0;76.0;75.0;105.0;71.0;54.0;61.0;90.0;143.0;153.0;89.0;78.0;76.0;134.0;70.0;67.0;81.0;72.0;83.0;71.0;91.0;1.3;-12.0;3.7;0.5;-12.0;8.9;-6.3;-8.1;2.1;17.5;-5.4;8.9;8.0;5.2;11.5;7.1;9.2;7.3;1.6;9.2;0.6;2.7
75;1989;80.0;90.0;79.0;78.0;106.0;75.0;58.0;72.0;93.0;156.0;133.0;90.0;82.0;79.0;127.0;73.0;74.0;84.0;77.0;88.0;75.0;91.0;4.1;3.4;4.6;4.7;1.1;4.4;7.0;17.1;2.8;9.4;-13.1;1.9;5.2;4.0;-5.2;3.6;10.7;2.7;5.8;5.5;5.8;0.1
76;1990;81.0;98.0;79.0;81.0;99.0;78.0;66.0;84.0;97.0;176.0;169.0;87.0;82.0;84.0;117.0;73.0;80.0;91.0;74.0;81.0;73.0;94.0;0.7;8.0;-0.3;3.9;-6.5;4.0;15.1;17.6;4.9;12.6;26.8;-4.0;0.3;6.5;-8.5;0.2;8.3;8.9;-4.0;-7.6;-3.2;3.7
77;1991;82.0;106.0;79.0;85.0;99.0;79.0;83.0;89.0;93.0;168.0;162.0;84.0;81.0;86.0;116.0;71.0;81.0;88.0;74.0;82.0;73.0;97.0;1.6;9.0;0.4;4.7;-0.5;2.4;25.2;6.2;-4.3;-4.3;-4.3;-3.0;-1.1;1.9;-0.5;-3.1;1.6;-3.0;0.9;0.9;0.9;3.4
78;1992;82.0;108.0;79.0;87.0;97.0;84.0;83.0;86.0;85.0;154.0;149.0;81.0;82.0;84.0;118.0;71.0;81.0;85.0;74.0;79.0;73.0;98.0;-0.3;1.4;-0.6;2.0;-2.2;5.7;0.1;-3.4;-8.4;-8.4;-8.1;-3.3;0.8;-1.8;2.1;0.6;-0.5;-3.3;-1.0;-3.3;-0.7;1.0
79;1993;81.0;110.0;77.0;87.0;98.0;84.0;92.0;81.0;84.0;151.0;146.0;81.0;79.0;84.0;113.0;72.0;79.0;85.0;70.0;79.0;69.0;99.0;-1.3;1.8;-1.8;0.8;1.2;-0.4;10.3;-6.3;-2.1;-2.0;-1.8;-0.7;-2.8;-0.3;-4.5;1.0;-2.3;-0.7;-4.4;-0.3;-4.7;0.4
80;1994;85.0;109.0;82.0;92.0;97.0;89.0;103.0;89.0;83.0;148.0;131.0;86.0;85.0;87.0;126.0;80.0;84.0;90.0;74.0;88.0;73.0;101.0;5.1;-1.1;6.1;6.0;-0.9;6.5;12.6;10.5;-0.8;-1.9;-10.4;6.6;6.9;3.1;11.8;10.7;7.0;6.7;5.7;12.0;5.1;1.9
81;1995;88.0;109.0;85.0;96.0;99.0;91.0;108.0;98.0;82.0;127.0;117.0;90.0;86.0;88.0;135.0;85.0;85.0;90.0;77.0;89.0;76.0;103.0;3.1;0.7;3.5;3.5;2.3;2.4;4.5;9.6;-1.0;-14.1;-10.7;4.1;1.2;2.0;6.9;6.1;0.6;-0.2;4.1;1.1;4.5;2.3
82;1996;90.0;117.0;86.0;97.0;102.0;93.0;107.0;93.0;83.0;113.0;103.0;88.0;84.0;88.0;134.0;87.0;84.0;93.0;79.0;89.0;78.0;108.0;2.2;7.0;1.4;0.9;3.0;1.7;-0.7;-5.0;0.9;-11.5;-11.7;-1.9;-2.5;-0.1;-1.0;2.6;-1.1;2.8;2.1;-0.3;2.5;4.7
83;1997;90.0;109.0;87.0;96.0;99.0;93.0;102.0;94.0;85.0;107.0;111.0;92.0;93.0;91.0;83.0;88.0;90.0;89.0;81.0;96.0;80.0;99.0;0.2;-6.6;1.4;-1.0;-3.3;0.3;-4.8;1.3;2.1;-5.2;7.7;4.9;10.4;2.7;-38.3;1.4;7.2;-3.6;2.9;8.0;2.4;-7.6
84;1998;92.0;103.0;90.0;96.0;101.0;93.0;94.0;97.0;93.0;100.0;109.0;101.0;91.0;96.0;90.0;89.0;95.0;91.0;85.0;98.0;84.0;98.0;2.1;-5.7;3.4;0.0;2.4;0.5;-7.5;2.7;10.0;-6.0;-1.5;9.8;-1.6;6.0;8.5;1.1;5.6;1.8;5.0;1.7;5.3;-1.0
85;1999;95.0;105.0;94.0;98.0;100.0;97.0;97.0;95.0;97.0;89.0;103.0;101.0;97.0;99.0;86.0;96.0;98.0;96.0;87.0;95.0;87.0;97.0;3.4;1.7;3.7;2.2;-0.9;4.2;3.2;-1.7;4.1;-11.2;-5.8;-0.7;6.1;3.1;-4.1;8.1;3.4;4.9;2.4;-2.8;2.9;-1.8
86;2000;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;5.5;-4.6;6.7;2.4;-0.4;2.8;2.8;5.0;3.3;12.3;-3.0;-0.5;3.3;0.9;16.4;4.0;2.0;4.7;14.5;5.0;15.3;3.4
87;2001;101.0;107.0;100.0;100.0;96.0;101.0;105.0;100.0;102.0;90.0;92.0;101.0;96.0;98.0;95.0;112.0;99.0;100.0;97.0;99.0;96.0;104.0;0.8;7.1;-0.2;0.1;-4.3;0.9;4.6;-0.4;2.0;-10.2;-8.5;1.4;-4.3;-2.3;-5.4;11.5;-0.7;0.4;-3.4;-1.2;-3.6;4.0
88;2002;101.0;107.0;100.0;103.0;93.0;102.0;103.0;116.0;98.0;86.0;86.0;88.0;101.0;94.0;113.0;123.0;103.0;95.0;91.0;101.0;90.0;116.0;0.2;0.4;0.1;2.4;-2.7;1.5;-1.4;16.6;-4.1;-4.3;-6.2;-13.7;5.8;-3.3;19.2;10.4;3.6;-5.6;-6.0;2.6;-6.7;11.2
89;2003;100.0;104.0;99.0;102.0;90.0;105.0;103.0;107.0;95.0;83.0;90.0;91.0;103.0;89.0;116.0;124.0;99.0;89.0;90.0;105.0;89.0;114.0;-1.4;-3.1;-1.1;-0.7;-3.4;2.7;-0.3;-8.0;-2.8;-3.8;4.7;4.0;1.6;-5.4;3.0;0.5;-3.6;-6.5;-0.9;3.5;-1.3;-1.5
90;2004;104.0;115.0;102.0;103.0;94.0;108.0;97.0;102.0;83.0;64.0;96.0;93.0;109.0;88.0;123.0;132.0;102.0;95.0;95.0;119.0;93.0;114.0;4.5;10.9;3.4;0.9;4.3;2.9;-5.7;-4.5;-12.6;-22.7;6.7;2.4;5.5;-1.3;6.0;6.4;3.0;7.6;5.9;13.1;5.1;0.4
91;2005;103.0;105.0;102.0;104.0;95.0;109.0;97.0;104.0;79.0;66.0;88.0;95.0;109.0;89.0;123.0;130.0;102.0;99.0;95.0;119.0;93.0;115.0;-1.3;-8.7;0.0;1.2;1.7;0.9;0.0;2.2;-4.6;3.9;-8.3;2.0;0.7;0.9;-0.1;-0.9;0.2;4.2;-0.7;0.0;-0.8;0.9
92;2006;104.0;102.0;105.0;106.0;97.0;112.0;105.0;102.0;84.0;67.0;84.0;96.0;109.0;90.0;122.0;136.0;106.0;103.0;97.0;117.0;96.0;116.0;1.3;-3.7;2.3;2.1;1.8;2.1;8.1;-2.4;5.5;1.2;-4.0;0.8;-0.1;0.7;-0.8;4.3;3.2;3.4;3.0;-1.3;3.7;0.1
