ID;TransportModes;Periods;TotalGoodsTransport_1;DomesticGoodsTransport_2;Total_3;IncomingGoodsTransport_4;OutgoingGoodsTransport_5
38;Maritime transport;2010;568;;568;402;166
39;Maritime transport;2011;533;;533;385;147
40;Maritime transport;2012;552;;552;385;167
41;Maritime transport;2013;559;1.0;557;386;171
42;Maritime transport;2014;572;2.0;570;396;174
43;Maritime transport;2015;594;2.0;592;406;186
44;Maritime transport;2016;589;2.0;587;398;189
45;Maritime transport;2017;596;2.0;594;400;193
46;Maritime transport;2018;605;3.0;602;406;196
47;Maritime transport;2019;608;3.0;604;410;194
48;Maritime transport;2020;548;5.0;543;365;178
49;Maritime transport;2021;580;3.0;577;395;182
50;Maritime transport;2022;590;5.0;585;414;171
51;Maritime transport;2023;545;6.0;539;377;161
52;Inland shipping;1998;282;98.0;184;52;132
53;Inland shipping;1999;275;99.0;176;53;124
54;Inland shipping;2000;275;102.0;173;50;123
55;Inland shipping;2001;295;109.0;186;56;131
56;Inland shipping;2002;279;102.0;177;53;123
57;Inland shipping;2003;262;95.0;167;51;116
58;Inland shipping;2004;285;99.0;186;60;125
59;Inland shipping;2005;279;95.0;184;61;123
60;Inland shipping;2006;287;97.0;190;64;126
61;Inland shipping;2007;296;102.0;193;69;124
62;Inland shipping;2008;285;97.0;188;66;122
63;Inland shipping;2009;236;92.0;144;56;88
64;Inland shipping;2010;302;103.0;199;66;133
65;Inland shipping;2011;306;106.0;201;66;134
66;Inland shipping;2012;301;102.0;200;68;131
67;Inland shipping;2013;300;103.0;198;64;134
68;Inland shipping;2014;310;110.0;200;64;136
69;Inland shipping;2015;306;110.0;195;63;132
70;Inland shipping;2016;306;113.0;193;65;127
71;Inland shipping;2017;309;112.0;197;68;128
72;Inland shipping;2018;304;119.0;185;65;120
73;Inland shipping;2019;296;115.0;181;65;117
74;Inland shipping;2020;291;116.0;175;66;109
75;Inland shipping;2021;310;119.0;191;68;123
76;Inland shipping;2022;301;115.0;186;61;125
77;Inland shipping;2023;284;111.0;174;61;113
78;Road transport;1998;635;465.0;170;84;85
79;Road transport;1999;686;522.0;164;80;83
80;Road transport;2000;669;506.0;164;79;85
81;Road transport;2001;681;512.0;169;84;85
82;Road transport;2002;653;486.0;166;82;84
83;Road transport;2003;707;536.0;171;85;87
84;Road transport;2004;704;510.0;194;93;101
85;Road transport;2005;708;516.0;192;91;101
86;Road transport;2006;726;523.0;203;97;106
87;Road transport;2007;754;546.0;208;99;109
88;Road transport;2008;734;529.0;204;99;105
89;Road transport;2009;726;538.0;188;89;99
90;Road transport;2010;705;526.0;179;87;92
91;Road transport;2011;705;522.0;183;90;94
92;Road transport;2012;681;502.0;179;87;93
93;Road transport;2013;690;510.0;181;86;95
94;Road transport;2014;692;509.0;183;88;96
95;Road transport;2015;701;514.0;187;90;97
96;Road transport;2016;730;536.0;194;94;101
97;Road transport;2017;745;542.0;204;99;105
98;Road transport;2018;756;555.0;201;96;105
99;Road transport;2019;767;568.0;199;95;103
100;Road transport;2020;770;567.0;203;101;102
101;Road transport;2021;785;578.0;207;101;106
102;Road transport;2022;777;582.0;195;92;103
103;Road transport;2023;729;534.0;194;92;103
104;Rail transport;1998;25;5.0;21;7;13
105;Rail transport;1999;25;5.0;21;7;14
106;Rail transport;2000;28;5.0;23;8;15
107;Rail transport;2001;26;4.0;22;7;15
108;Rail transport;2002;28;6.0;22;7;15
109;Rail transport;2003;30;6.0;24;7;17
110;Rail transport;2004;33;6.0;27;7;20
111;Rail transport;2005;34;6.0;28;8;20
112;Rail transport;2006;37;6.0;31;8;23
113;Rail transport;2007;39;6.0;34;9;25
114;Rail transport;2008;38;5.0;33;9;24
115;Rail transport;2009;31;5.0;27;7;19
116;Rail transport;2010;33;5.0;29;8;21
117;Rail transport;2011;37;6.0;32;8;23
118;Rail transport;2012;36;3.0;33;8;24
119;Rail transport;2013;37;3.0;34;8;26
120;Rail transport;2014;38;3.0;35;9;26
121;Rail transport;2015;40;3.0;37;9;27
122;Rail transport;2016;40;3.0;37;10;27
123;Rail transport;2017;38;3.0;35;10;25
124;Rail transport;2018;38;3.0;34;10;25
125;Rail transport;2019;38;3.0;35;9;26
126;Rail transport;2020;36;3.0;33;9;23
127;Rail transport;2021;39;3.0;36;10;26
128;Rail transport;2022;41;3.0;38;10;27
129;Rail transport;2023;36;2.0;34;10;24
130;Air transport;1998;1;;1;1;1
131;Air transport;1999;1;;1;1;1
132;Air transport;2000;1;;1;1;1
133;Air transport;2001;1;;1;1;1
134;Air transport;2002;1;;1;1;1
135;Air transport;2003;1;;1;1;1
136;Air transport;2004;1;;1;1;1
137;Air transport;2005;2;;2;1;1
138;Air transport;2006;2;;2;1;1
139;Air transport;2007;2;;2;1;1
140;Air transport;2008;2;;2;1;1
141;Air transport;2009;1;;1;1;1
142;Air transport;2010;2;;2;1;1
143;Air transport;2011;2;;2;1;1
144;Air transport;2012;2;;2;1;1
145;Air transport;2013;2;0.0;2;1;1
146;Air transport;2014;2;0.0;2;1;1
147;Air transport;2015;2;0.0;2;1;1
148;Air transport;2016;2;0.0;2;1;1
149;Air transport;2017;2;0.0;2;1;1
150;Air transport;2018;2;0.0;2;1;1
151;Air transport;2019;2;0.0;2;1;1
152;Air transport;2020;2;0.0;2;1;1
153;Air transport;2021;2;0.0;2;1;1
154;Air transport;2022;2;0.0;2;1;1
155;Air transport;2023;1;0.0;1;1;1
156;Pipeline transport cross-border;1998;109;;109;16;93
157;Pipeline transport cross-border;1999;108;;108;17;91
158;Pipeline transport cross-border;2000;104;;104;13;91
159;Pipeline transport cross-border;2001;118;;118;21;97
160;Pipeline transport cross-border;2002;121;;121;21;101
161;Pipeline transport cross-border;2003;126;;126;23;103
162;Pipeline transport cross-border;2004;133;;133;25;109
163;Pipeline transport cross-border;2005;126;;126;26;100
164;Pipeline transport cross-border;2006;125;;125;27;98
165;Pipeline transport cross-border;2007;125;;125;26;99
166;Pipeline transport cross-border;2008;127;;127;24;103
167;Pipeline transport cross-border;2009;103;;103;13;90
168;Pipeline transport cross-border;2010;106;;106;13;94
169;Pipeline transport cross-border;2011;110;;110;21;89
170;Pipeline transport cross-border;2012;124;;124;26;98
171;Pipeline transport cross-border;2013;382;261.0;122;21;101
172;Pipeline transport cross-border;2014;356;237.0;119;22;97
173;Pipeline transport cross-border;2015;341;223.0;118;28;90
174;Pipeline transport cross-border;2016;347;223.0;124;31;93
175;Pipeline transport cross-border;2017;344;219.0;125;36;89
176;Pipeline transport cross-border;2018;331;205.0;126;41;85
177;Pipeline transport cross-border;2019;332;211.0;121;41;80
178;Pipeline transport cross-border;2020;296;184.0;112;43;69
179;Pipeline transport cross-border;2021;306;187.0;118;41;77
180;Pipeline transport cross-border;2022;311;171.0;140;59;81
181;Pipeline transport cross-border;2023;301;167.0;134;54;80
