ID;Perioden;Omzet_1;VoortschrijdendeOmzet_2;Omzet_3;CumulatieveOmzet_4
50;1998 december;92;85.0;27.8;17.8
51;1998;85;85.0;17.8;17.8
52;1999 januari;113;87.0;19.6;19.6
53;1999 februari;95;88.0;22.5;20.9
54;1999 maart;124;91.0;33.9;25.4
55;1999 april;109;92.0;20.6;24.2
56;1999 mei;101;94.0;17.8;23.0
57;1999 juni;106;95.0;13.6;21.3
58;1999 juli;93;95.0;11.4;20.0
59;1999 augustus;79;97.0;26.5;20.6
60;1999 september;96;98.0;16.0;20.1
61;1999 oktober;93;98.0;7.2;18.8
62;1999 november;84;99.0;2.9;17.4
63;1999 december;95;99.0;3.7;16.1
64;1999;99;99.0;16.1;16.1
65;2000 januari;108;98.0;-4.8;-4.8
66;2000 februari;103;99.0;8.0;1.0
67;2000 maart;122;99.0;-1.0;0.3
68;2000 april;121;100.0;11.0;2.9
69;2000 mei;102;100.0;1.8;2.7
70;2000 juni;96;99.0;-9.1;0.8
71;2000 juli;88;99.0;-4.8;0.1
72;2000 augustus;81;99.0;2.6;0.3
73;2000 september;94;99.0;-1.1;0.2
74;2000 oktober;97;99.0;4.0;0.5
75;2000 november;91;100.0;8.3;1.1
76;2000 december;96;100.0;0.6;1.1
77;2000;100;100.0;1.1;1.1
78;2001 januari;106;100.0;-2.0;-2.0
79;2001 februari;95;99.0;-7.2;-4.5
80;2001 maart;122;99.0;-0.4;-3.0
81;2001 april;99;97.0;-18.4;-7.1
82;2001 mei;112;98.0;9.0;-4.1
83;2001 juni;105;99.0;8.9;-2.2
84;2001 juli;99;100.0;12.2;-0.5
85;2001 augustus;80;100.0;-2.0;-0.6
86;2001 september;95;100.0;0.7;-0.5
87;2001 oktober;106;100.0;9.0;0.4
88;2001 november;88;100.0;-3.7;0.1
89;2001 december;89;100.0;-6.7;-0.5
90;2001;100;100.0;-0.5;-0.5
91;2002 januari;109;100.0;2.9;2.9
92;2002 februari;96;100.0;0.6;1.8
93;2002 maart;107;99.0;-12.4;-3.6
94;2002 april;101;99.0;2.2;-2.2
95;2002 mei;108;98.0;-3.4;-2.5
96;2002 juni;109;99.0;4.0;-1.4
97;2002 juli;100;99.0;0.8;-1.1
98;2002 augustus;77;99.0;-3.9;-1.4
99;2002 september;102;99.0;7.6;-0.4
100;2002 oktober;110;99.0;3.6;0.0
101;2002 november;96;100.0;9.8;0.8
102;2002 december;97;101.0;9.3;1.4
103;2002;101;101.0;1.4;1.4
104;2003 januari;112;101.0;2.7;2.7
105;2003 februari;90;101.0;-6.0;-1.4
106;2003 maart;101;100.0;-5.4;-2.8
107;2003 april;101;100.0;0.2;-2.0
108;2003 mei;105;100.0;-2.3;-2.1
109;2003 juni;106;100.0;-2.5;-2.2
110;2003 juli;99;100.0;-0.8;-2.0
111;2003 augustus;74;99.0;-3.2;-2.1
112;2003 september;99;99.0;-3.6;-2.3
113;2003 oktober;97;98.0;-11.8;-3.3
114;2003 november;84;97.0;-12.3;-4.1
115;2003 december;114;99.0;17.1;-2.4
116;2003;99;99.0;-2.4;-2.4
117;2004 januari;95;97.0;-15.4;-15.4
118;2004 februari;87;97.0;-3.4;-10.1
119;2004 maart;112;98.0;10.5;-3.2
120;2004 april;96;97.0;-4.8;-3.6
121;2004 mei;92;96.0;-12.7;-5.5
122;2004 juni;113;97.0;6.4;-3.4
123;2004 juli;92;96.0;-7.2;-4.0
124;2004 augustus;74;96.0;-0.1;-3.6
125;2004 september;98;96.0;-1.0;-3.3
126;2004 oktober;101;96.0;4.9;-2.5
127;2004 november;90;97.0;6.3;-1.8
128;2004 december;126;98.0;10.3;-0.6
129;2004;98;98.0;-0.6;-0.6
130;2005 januari;81;97.0;-14.5;-14.5
131;2005 februari;89;97.0;3.0;-6.1
132;2005 maart;110;97.0;-1.7;-4.4
133;2005 april;102;97.0;5.5;-2.0
134;2005 mei;96;98.0;4.8;-0.7
135;2005 juni;119;98.0;5.3;0.5
136;2005 juli;89;98.0;-3.4;-0.1
137;2005 augustus;75;98.0;1.2;0.1
138;2005 september;107;99.0;10.0;1.2
139;2005 oktober;98;98.0;-3.2;0.7
140;2005 november;88;98.0;-2.2;0.5
141;2005 december;128;99.0;1.8;0.6
142;2005;99;99.0;0.6;0.6
143;2006 januari;94;100.0;15.7;15.7
144;2006 februari;101;101.0;13.2;14.4
145;2006 maart;111;101.0;1.3;9.3
146;2006 april;101;101.0;-0.9;6.6
147;2006 mei;114;102.0;18.1;8.9
148;2006 juni;121;102.0;1.7;7.4
149;2006 juli;93;103.0;4.0;7.0
150;2006 augustus;83;103.0;10.6;7.4
151;2006 september;109;103.0;1.7;6.7
152;2006 oktober;101;104.0;2.5;6.2
153;2006 november;95;104.0;8.1;6.4
154;2006 december;128;104.0;-0.3;5.7
155;2006;104;104.0;5.7;5.7
156;2007 januari;96;104.0;2.9;2.9
157;2007 februari;101;104.0;-0.2;1.3
158;2007 maart;122;105.0;10.1;4.5
159;2007 april;104;105.0;3.0;4.1
160;2007 mei;114;106.0;0.3;3.3
161;2007 juni;127;106.0;4.9;3.6
162;2007 juli;106;107.0;14.1;4.9
163;2007 augustus;86;107.0;3.7;4.8
164;2007 september;106;107.0;-3.0;3.9
165;2007 oktober;120;109.0;19.4;5.4
166;2007 november;102;109.0;7.3;5.6
167;2007 december;108;108.0;-15.2;3.4
168;2007;108;108.0;3.4;3.4
169;2008 januari;116;109.0;20.7;20.7
170;2008 februari;105;110.0;3.7;12.0
171;2008 maart;109;109.0;-10.6;3.3
172;2008 april;102;108.0;-1.9;2.1
173;2008 mei;106;108.0;-6.9;0.2
174;2008 juni;114;107.0;-9.9;-1.8
175;2008 juli;98;106.0;-7.7;-2.6
176;2008 augustus;77;105.0;-10.4;-3.4
177;2008 september;105;105.0;-0.8;-3.1
178;2008 oktober;91;103.0;-24.4;-5.5
179;2008 november;73;100.0;-27.8;-7.4
180;2008 december;91;99.0;-15.8;-8.1
181;2008;99;99.0;-8.1;-8.1
