ID;NederlandseZeehavens;TypeZeeschip;Perioden;Zeeschepen_1
148;Havengebied Amsterdam;Natte bulkschepen;2019;2300.0
149;Havengebied Amsterdam;Natte bulkschepen;2020;2100.0
150;Havengebied Amsterdam;Natte bulkschepen;2021;2000.0
151;Havengebied Amsterdam;Natte bulkschepen;2022;2300.0
152;Havengebied Amsterdam;Natte bulkschepen;2023;2200.0
153;Havengebied Amsterdam;Containerschepen;2015;100.0
154;Havengebied Amsterdam;Containerschepen;2016;200.0
155;Havengebied Amsterdam;Containerschepen;2017;100.0
156;Havengebied Amsterdam;Containerschepen;2018;100.0
157;Havengebied Amsterdam;Containerschepen;2019;100.0
158;Havengebied Amsterdam;Containerschepen;2020;100.0
159;Havengebied Amsterdam;Containerschepen;2021;300.0
160;Havengebied Amsterdam;Containerschepen;2022;300.0
161;Havengebied Amsterdam;Containerschepen;2023;200.0
162;Havengebied Amsterdam;Roll-on-roll-offschepen;2015;500.0
163;Havengebied Amsterdam;Roll-on-roll-offschepen;2016;400.0
164;Havengebied Amsterdam;Roll-on-roll-offschepen;2017;400.0
165;Havengebied Amsterdam;Roll-on-roll-offschepen;2018;400.0
166;Havengebied Amsterdam;Roll-on-roll-offschepen;2019;400.0
167;Havengebied Amsterdam;Roll-on-roll-offschepen;2020;300.0
168;Havengebied Amsterdam;Roll-on-roll-offschepen;2021;400.0
169;Havengebied Amsterdam;Roll-on-roll-offschepen;2022;400.0
170;Havengebied Amsterdam;Roll-on-roll-offschepen;2023;400.0
171;Havengebied Amsterdam;General cargo schepen;2015;2600.0
172;Havengebied Amsterdam;General cargo schepen;2016;2600.0
173;Havengebied Amsterdam;General cargo schepen;2017;2600.0
174;Havengebied Amsterdam;General cargo schepen;2018;2800.0
175;Havengebied Amsterdam;General cargo schepen;2019;2800.0
176;Havengebied Amsterdam;General cargo schepen;2020;2400.0
177;Havengebied Amsterdam;General cargo schepen;2021;2500.0
178;Havengebied Amsterdam;General cargo schepen;2022;2300.0
179;Havengebied Amsterdam;General cargo schepen;2023;2000.0
180;Havengebied Amsterdam;Overige en onbekende zeeschepen;2015;0.0
181;Havengebied Amsterdam;Overige en onbekende zeeschepen;2016;0.0
182;Havengebied Amsterdam;Overige en onbekende zeeschepen;2017;0.0
183;Havengebied Amsterdam;Overige en onbekende zeeschepen;2018;0.0
184;Havengebied Amsterdam;Overige en onbekende zeeschepen;2019;100.0
185;Havengebied Amsterdam;Overige en onbekende zeeschepen;2020;0.0
186;Havengebied Amsterdam;Overige en onbekende zeeschepen;2021;100.0
187;Havengebied Amsterdam;Overige en onbekende zeeschepen;2022;200.0
188;Havengebied Amsterdam;Overige en onbekende zeeschepen;2023;100.0
189;Havengebied Rotterdam;Totaal aantal zeeschepen;2015;27100.0
190;Havengebied Rotterdam;Totaal aantal zeeschepen;2016;27000.0
191;Havengebied Rotterdam;Totaal aantal zeeschepen;2017;27800.0
192;Havengebied Rotterdam;Totaal aantal zeeschepen;2018;27600.0
193;Havengebied Rotterdam;Totaal aantal zeeschepen;2019;27600.0
194;Havengebied Rotterdam;Totaal aantal zeeschepen;2020;26400.0
195;Havengebied Rotterdam;Totaal aantal zeeschepen;2021;27200.0
196;Havengebied Rotterdam;Totaal aantal zeeschepen;2022;27000.0
197;Havengebied Rotterdam;Totaal aantal zeeschepen;2023;26200.0
198;Havengebied Rotterdam;Droge bulkschepen;2015;1100.0
199;Havengebied Rotterdam;Droge bulkschepen;2016;1100.0
200;Havengebied Rotterdam;Droge bulkschepen;2017;1100.0
201;Havengebied Rotterdam;Droge bulkschepen;2018;1000.0
202;Havengebied Rotterdam;Droge bulkschepen;2019;1000.0
203;Havengebied Rotterdam;Droge bulkschepen;2020;900.0
204;Havengebied Rotterdam;Droge bulkschepen;2021;1100.0
205;Havengebied Rotterdam;Droge bulkschepen;2022;1200.0
206;Havengebied Rotterdam;Droge bulkschepen;2023;1000.0
207;Havengebied Rotterdam;Natte bulkschepen;2015;8400.0
208;Havengebied Rotterdam;Natte bulkschepen;2016;8100.0
209;Havengebied Rotterdam;Natte bulkschepen;2017;8200.0
210;Havengebied Rotterdam;Natte bulkschepen;2018;8500.0
211;Havengebied Rotterdam;Natte bulkschepen;2019;8500.0
212;Havengebied Rotterdam;Natte bulkschepen;2020;8200.0
213;Havengebied Rotterdam;Natte bulkschepen;2021;8800.0
214;Havengebied Rotterdam;Natte bulkschepen;2022;8800.0
215;Havengebied Rotterdam;Natte bulkschepen;2023;8600.0
216;Havengebied Rotterdam;Containerschepen;2015;7700.0
217;Havengebied Rotterdam;Containerschepen;2016;7500.0
218;Havengebied Rotterdam;Containerschepen;2017;7800.0
219;Havengebied Rotterdam;Containerschepen;2018;7900.0
220;Havengebied Rotterdam;Containerschepen;2019;8000.0
221;Havengebied Rotterdam;Containerschepen;2020;7600.0
222;Havengebied Rotterdam;Containerschepen;2021;7400.0
223;Havengebied Rotterdam;Containerschepen;2022;6900.0
224;Havengebied Rotterdam;Containerschepen;2023;7000.0
225;Havengebied Rotterdam;Roll-on-roll-offschepen;2015;4500.0
226;Havengebied Rotterdam;Roll-on-roll-offschepen;2016;4700.0
227;Havengebied Rotterdam;Roll-on-roll-offschepen;2017;5000.0
228;Havengebied Rotterdam;Roll-on-roll-offschepen;2018;4900.0
229;Havengebied Rotterdam;Roll-on-roll-offschepen;2019;4900.0
230;Havengebied Rotterdam;Roll-on-roll-offschepen;2020;4700.0
231;Havengebied Rotterdam;Roll-on-roll-offschepen;2021;4900.0
232;Havengebied Rotterdam;Roll-on-roll-offschepen;2022;4800.0
233;Havengebied Rotterdam;Roll-on-roll-offschepen;2023;4600.0
234;Havengebied Rotterdam;General cargo schepen;2015;5500.0
235;Havengebied Rotterdam;General cargo schepen;2016;5600.0
236;Havengebied Rotterdam;General cargo schepen;2017;5600.0
237;Havengebied Rotterdam;General cargo schepen;2018;5200.0
238;Havengebied Rotterdam;General cargo schepen;2019;5100.0
239;Havengebied Rotterdam;General cargo schepen;2020;4800.0
240;Havengebied Rotterdam;General cargo schepen;2021;5000.0
241;Havengebied Rotterdam;General cargo schepen;2022;5200.0
242;Havengebied Rotterdam;General cargo schepen;2023;4900.0
243;Havengebied Rotterdam;Overige en onbekende zeeschepen;2015;0.0
244;Havengebied Rotterdam;Overige en onbekende zeeschepen;2016;0.0
245;Havengebied Rotterdam;Overige en onbekende zeeschepen;2017;100.0
246;Havengebied Rotterdam;Overige en onbekende zeeschepen;2018;100.0
247;Havengebied Rotterdam;Overige en onbekende zeeschepen;2019;100.0
248;Havengebied Rotterdam;Overige en onbekende zeeschepen;2020;100.0
249;Havengebied Rotterdam;Overige en onbekende zeeschepen;2021;100.0
250;Havengebied Rotterdam;Overige en onbekende zeeschepen;2022;100.0
251;Havengebied Rotterdam;Overige en onbekende zeeschepen;2023;100.0
252;North Sea Port;Totaal aantal zeeschepen;2015;4900.0
253;North Sea Port;Totaal aantal zeeschepen;2016;4800.0
254;North Sea Port;Totaal aantal zeeschepen;2017;4900.0
255;North Sea Port;Totaal aantal zeeschepen;2018;5200.0
256;North Sea Port;Totaal aantal zeeschepen;2019;5100.0
257;North Sea Port;Totaal aantal zeeschepen;2020;4600.0
258;North Sea Port;Totaal aantal zeeschepen;2021;4700.0
259;North Sea Port;Totaal aantal zeeschepen;2022;4800.0
260;North Sea Port;Totaal aantal zeeschepen;2023;4600.0
261;North Sea Port;Droge bulkschepen;2015;400.0
262;North Sea Port;Droge bulkschepen;2016;300.0
263;North Sea Port;Droge bulkschepen;2017;400.0
264;North Sea Port;Droge bulkschepen;2018;400.0
265;North Sea Port;Droge bulkschepen;2019;400.0
266;North Sea Port;Droge bulkschepen;2020;300.0
267;North Sea Port;Droge bulkschepen;2021;400.0
268;North Sea Port;Droge bulkschepen;2022;500.0
269;North Sea Port;Droge bulkschepen;2023;400.0
270;North Sea Port;Natte bulkschepen;2015;1800.0
271;North Sea Port;Natte bulkschepen;2016;1800.0
272;North Sea Port;Natte bulkschepen;2017;1800.0
273;North Sea Port;Natte bulkschepen;2018;1800.0
274;North Sea Port;Natte bulkschepen;2019;1700.0
275;North Sea Port;Natte bulkschepen;2020;1500.0
276;North Sea Port;Natte bulkschepen;2021;1600.0
277;North Sea Port;Natte bulkschepen;2022;1400.0
278;North Sea Port;Natte bulkschepen;2023;1300.0
279;North Sea Port;Containerschepen;2015;0.0
280;North Sea Port;Containerschepen;2016;100.0
281;North Sea Port;Containerschepen;2017;100.0
282;North Sea Port;Containerschepen;2018;200.0
283;North Sea Port;Containerschepen;2019;300.0
284;North Sea Port;Containerschepen;2020;300.0
285;North Sea Port;Containerschepen;2021;200.0
286;North Sea Port;Containerschepen;2022;200.0
287;North Sea Port;Containerschepen;2023;200.0
288;North Sea Port;Roll-on-roll-offschepen;2015;700.0
289;North Sea Port;Roll-on-roll-offschepen;2016;700.0
290;North Sea Port;Roll-on-roll-offschepen;2017;600.0
291;North Sea Port;Roll-on-roll-offschepen;2018;700.0
292;North Sea Port;Roll-on-roll-offschepen;2019;600.0
293;North Sea Port;Roll-on-roll-offschepen;2020;500.0
294;North Sea Port;Roll-on-roll-offschepen;2021;600.0
295;North Sea Port;Roll-on-roll-offschepen;2022;600.0
296;North Sea Port;Roll-on-roll-offschepen;2023;600.0
297;North Sea Port;General cargo schepen;2015;2000.0
298;North Sea Port;General cargo schepen;2016;1900.0
299;North Sea Port;General cargo schepen;2017;2000.0
300;North Sea Port;General cargo schepen;2018;2100.0
301;North Sea Port;General cargo schepen;2019;2000.0
302;North Sea Port;General cargo schepen;2020;1900.0
303;North Sea Port;General cargo schepen;2021;2000.0
304;North Sea Port;General cargo schepen;2022;2100.0
305;North Sea Port;General cargo schepen;2023;2100.0
306;North Sea Port;Overige en onbekende zeeschepen;2015;0.0
307;North Sea Port;Overige en onbekende zeeschepen;2016;0.0
308;North Sea Port;Overige en onbekende zeeschepen;2017;0.0
309;North Sea Port;Overige en onbekende zeeschepen;2018;0.0
310;North Sea Port;Overige en onbekende zeeschepen;2019;0.0
311;North Sea Port;Overige en onbekende zeeschepen;2020;0.0
312;North Sea Port;Overige en onbekende zeeschepen;2021;0.0
313;North Sea Port;Overige en onbekende zeeschepen;2022;0.0
314;North Sea Port;Overige en onbekende zeeschepen;2023;0.0
315;Overige Nederlandse zeehavens/onbekend;Totaal aantal zeeschepen;2015;1900.0
316;Overige Nederlandse zeehavens/onbekend;Totaal aantal zeeschepen;2016;1500.0
317;Overige Nederlandse zeehavens/onbekend;Totaal aantal zeeschepen;2017;1400.0
318;Overige Nederlandse zeehavens/onbekend;Totaal aantal zeeschepen;2018;1300.0
319;Overige Nederlandse zeehavens/onbekend;Totaal aantal zeeschepen;2019;1300.0
320;Overige Nederlandse zeehavens/onbekend;Totaal aantal zeeschepen;2020;1000.0
321;Overige Nederlandse zeehavens/onbekend;Totaal aantal zeeschepen;2021;1200.0
322;Overige Nederlandse zeehavens/onbekend;Totaal aantal zeeschepen;2022;1400.0
323;Overige Nederlandse zeehavens/onbekend;Totaal aantal zeeschepen;2023;1200.0
324;Overige Nederlandse zeehavens/onbekend;Droge bulkschepen;2015;
325;Overige Nederlandse zeehavens/onbekend;Droge bulkschepen;2016;
326;Overige Nederlandse zeehavens/onbekend;Droge bulkschepen;2017;
327;Overige Nederlandse zeehavens/onbekend;Droge bulkschepen;2018;0.0
328;Overige Nederlandse zeehavens/onbekend;Droge bulkschepen;2019;
329;Overige Nederlandse zeehavens/onbekend;Droge bulkschepen;2020;0.0
330;Overige Nederlandse zeehavens/onbekend;Droge bulkschepen;2021;0.0
331;Overige Nederlandse zeehavens/onbekend;Droge bulkschepen;2022;0.0
332;Overige Nederlandse zeehavens/onbekend;Droge bulkschepen;2023;0.0
333;Overige Nederlandse zeehavens/onbekend;Natte bulkschepen;2015;0.0
334;Overige Nederlandse zeehavens/onbekend;Natte bulkschepen;2016;0.0
335;Overige Nederlandse zeehavens/onbekend;Natte bulkschepen;2017;0.0
336;Overige Nederlandse zeehavens/onbekend;Natte bulkschepen;2018;0.0
337;Overige Nederlandse zeehavens/onbekend;Natte bulkschepen;2019;0.0
338;Overige Nederlandse zeehavens/onbekend;Natte bulkschepen;2020;0.0
339;Overige Nederlandse zeehavens/onbekend;Natte bulkschepen;2021;
340;Overige Nederlandse zeehavens/onbekend;Natte bulkschepen;2022;
341;Overige Nederlandse zeehavens/onbekend;Natte bulkschepen;2023;0.0
342;Overige Nederlandse zeehavens/onbekend;Containerschepen;2015;
343;Overige Nederlandse zeehavens/onbekend;Containerschepen;2016;
344;Overige Nederlandse zeehavens/onbekend;Containerschepen;2017;
345;Overige Nederlandse zeehavens/onbekend;Containerschepen;2018;
346;Overige Nederlandse zeehavens/onbekend;Containerschepen;2019;
347;Overige Nederlandse zeehavens/onbekend;Containerschepen;2020;
348;Overige Nederlandse zeehavens/onbekend;Containerschepen;2021;
349;Overige Nederlandse zeehavens/onbekend;Containerschepen;2022;
350;Overige Nederlandse zeehavens/onbekend;Containerschepen;2023;
351;Overige Nederlandse zeehavens/onbekend;Roll-on-roll-offschepen;2015;
352;Overige Nederlandse zeehavens/onbekend;Roll-on-roll-offschepen;2016;
353;Overige Nederlandse zeehavens/onbekend;Roll-on-roll-offschepen;2017;
354;Overige Nederlandse zeehavens/onbekend;Roll-on-roll-offschepen;2018;
355;Overige Nederlandse zeehavens/onbekend;Roll-on-roll-offschepen;2019;0.0
356;Overige Nederlandse zeehavens/onbekend;Roll-on-roll-offschepen;2020;
357;Overige Nederlandse zeehavens/onbekend;Roll-on-roll-offschepen;2021;
358;Overige Nederlandse zeehavens/onbekend;Roll-on-roll-offschepen;2022;
359;Overige Nederlandse zeehavens/onbekend;Roll-on-roll-offschepen;2023;0.0
360;Overige Nederlandse zeehavens/onbekend;General cargo schepen;2015;100.0
361;Overige Nederlandse zeehavens/onbekend;General cargo schepen;2016;200.0
362;Overige Nederlandse zeehavens/onbekend;General cargo schepen;2017;300.0
363;Overige Nederlandse zeehavens/onbekend;General cargo schepen;2018;200.0
364;Overige Nederlandse zeehavens/onbekend;General cargo schepen;2019;200.0
365;Overige Nederlandse zeehavens/onbekend;General cargo schepen;2020;200.0
366;Overige Nederlandse zeehavens/onbekend;General cargo schepen;2021;200.0
367;Overige Nederlandse zeehavens/onbekend;General cargo schepen;2022;200.0
368;Overige Nederlandse zeehavens/onbekend;General cargo schepen;2023;200.0
369;Overige Nederlandse zeehavens/onbekend;Overige en onbekende zeeschepen;2015;1700.0
370;Overige Nederlandse zeehavens/onbekend;Overige en onbekende zeeschepen;2016;1300.0
371;Overige Nederlandse zeehavens/onbekend;Overige en onbekende zeeschepen;2017;1100.0
372;Overige Nederlandse zeehavens/onbekend;Overige en onbekende zeeschepen;2018;1000.0
373;Overige Nederlandse zeehavens/onbekend;Overige en onbekende zeeschepen;2019;1100.0
374;Overige Nederlandse zeehavens/onbekend;Overige en onbekende zeeschepen;2020;800.0
375;Overige Nederlandse zeehavens/onbekend;Overige en onbekende zeeschepen;2021;900.0
376;Overige Nederlandse zeehavens/onbekend;Overige en onbekende zeeschepen;2022;1200.0
377;Overige Nederlandse zeehavens/onbekend;Overige en onbekende zeeschepen;2023;1100.0
