ID;Kenmerken;Perioden;LichamelijkZwaarWerk_1;VeelKrachtMoetenZetten_2;VoortdurendZelfdeHoudingBovenlichaam_3;OngemakkelijkeHoudingBovenlichaam_4;RepeterendWerkMetArmenOfHanden_5;WerkWaarbijMenBezweetRaakt_6;LageLichamelijkeBelasting_7;HogeLichamelijkeBelasting_8;PreventieVoorOverbelasting_9;EnigerleiLichamelijkeBelasting_10;KlachtenAanBovensteLedematen_11;Ziekteverzuim_12;NaarHuisarts_13;NaarSpecialist_14;NaarZiekenhuis_15;GebruikVoertuigOpHetWerk_16;GebruikTrillendeApparaten_17;EnigerleiBelastingDoorTrilling_18;KlachtenAanBovensteLedematen_19;Ziekteverzuim_20;NaarHuisarts_21;NaarSpecialist_22;NaarZiekenhuis_23;VuilWerk_24;StankOpWerk_25;GevaarlijkWerk_26;LawaaiOpHetWerk_27;LawaaiOverstemmen_28;OordopjesOmLawaaiTeOverstemmen_29;InPloegendienstWerken_30;SAvondsEnOfSNachtsWerken_31;InWeekeindeWerken_32;LidVakbond_33;GoedeWerksfeer_34;WelEensConflictenMetChef_35;WelEensConflictenMetCollegaS_36;PlezierInHetWerk_37;DiscriminatieNaarSekse_38;DiscriminatieNaarHuidskleur_39
45;25 tot 35 jarigen;2002;18;21;50.0;13.0;46.0;9.0;29.0;33.0;50.0;86.0;42.0;18.0;34.0;10.0;0.0;11.0;10.0;22.0;15.0;;;;;17;8;5;16;20;50.0;10;61;57;20.0;87;;;92;2;3.0
46;25 tot 35 jarigen;2003;20;24;;;;;;;;;;;;;;;;;;;;;;20;9;6;20;22;52.0;9;59;54;20.0;87;;;94;2;2.0
47;25 tot 35 jarigen;2004;19;22;;;;;;;;;;;;;;;;;;;;;;18;8;7;17;22;47.0;10;61;57;20.0;85;;;92;3;2.0
48;35 tot 45 jarigen;1997;18;22;41.0;12.0;38.0;9.0;35.0;30.0;36.0;79.0;40.0;18.0;36.0;9.0;1.0;13.0;10.0;25.0;17.0;22.0;32.0;9.0;0.0;18;9;5;17;23;48.0;11;65;60;28.0;82;;;93;3;3.0
49;35 tot 45 jarigen;1998;18;23;44.0;13.0;39.0;8.0;33.0;32.0;40.0;80.0;39.0;23.0;40.0;15.0;1.0;12.0;10.0;24.0;19.0;32.0;49.0;27.0;1.0;17;10;6;16;22;45.0;10;64;58;28.0;83;;;92;3;3.0
50;35 tot 45 jarigen;1999;18;20;44.0;15.0;40.0;8.0;37.0;31.0;41.0;79.0;45.0;23.0;41.0;13.0;1.0;10.0;10.0;21.0;26.0;31.0;46.0;17.0;3.0;17;8;7;16;21;46.0;11;64;59;29.0;81;17.0;15.0;92;3;2.0
51;35 tot 45 jarigen;2000;18;20;42.0;14.0;41.0;7.0;36.0;31.0;44.0;79.0;45.0;17.0;37.0;10.0;1.0;10.0;9.0;22.0;21.0;35.0;45.0;11.0;0.0;16;9;6;18;23;47.0;11;62;58;26.0;84;17.0;16.0;92;3;3.0
52;35 tot 45 jarigen;2001;19;22;45.0;15.0;42.0;9.0;34.0;30.0;44.0;80.0;43.0;25.0;39.0;13.0;1.0;12.0;9.0;21.0;20.0;25.0;38.0;10.0;0.0;17;7;6;17;20;48.0;10;59;55;26.0;85;;;92;2;2.0
53;35 tot 45 jarigen;2002;20;22;47.0;13.0;45.0;9.0;32.0;32.0;48.0;81.0;46.0;20.0;41.0;11.0;2.0;9.0;10.0;21.0;14.0;;;;;16;8;5;16;20;43.0;10;64;56;26.0;84;;;94;3;2.0
54;35 tot 45 jarigen;2003;20;22;;;;;;;;;;;;;;;;;;;;;;16;7;7;15;17;46.0;9;59;57;24.0;84;;;92;2;1.0
55;35 tot 45 jarigen;2004;20;23;;;;;;;;;;;;;;;;;;;;;;18;9;6;15;19;51.0;9;61;56;22.0;85;;;92;2;1.0
56;45 tot 55 jarigen;1997;19;23;38.0;13.0;34.0;9.0;38.0;30.0;31.0;76.0;44.0;20.0;37.0;11.0;1.0;11.0;11.0;24.0;24.0;24.0;37.0;9.0;2.0;18;8;5;16;23;51.0;6;59;51;38.0;80;;;91;1;2.0
57;45 tot 55 jarigen;1998;18;20;39.0;14.0;34.0;8.0;43.0;28.0;39.0;72.0;37.0;22.0;52.0;14.0;2.0;9.0;8.0;23.0;15.0;;;;;15;7;3;15;20;54.0;9;61;52;36.0;84;;;91;2;2.0
58;45 tot 55 jarigen;1999;18;19;41.0;13.0;37.0;8.0;39.0;30.0;42.0;78.0;47.0;23.0;45.0;14.0;2.0;11.0;9.0;23.0;28.0;26.0;46.0;17.0;6.0;16;8;5;16;25;47.0;8;58;56;35.0;79;14.0;10.0;92;2;2.0
59;45 tot 55 jarigen;2000;18;20;39.0;14.0;38.0;8.0;39.0;30.0;43.0;75.0;47.0;22.0;35.0;11.0;1.0;10.0;9.0;21.0;24.0;28.0;30.0;19.0;5.0;16;8;5;16;19;44.0;7;58;55;34.0;84;13.0;11.0;91;2;2.0
60;45 tot 55 jarigen;2001;18;21;43.0;14.0;40.0;11.0;38.0;32.0;45.0;77.0;49.0;23.0;44.0;13.0;2.0;12.0;8.0;22.0;21.0;;;;;15;8;4;16;21;43.0;8;56;53;31.0;83;;;93;2;2.0
61;45 tot 55 jarigen;2002;18;21;41.0;14.0;44.0;8.0;37.0;30.0;48.0;80.0;45.0;24.0;42.0;10.0;2.0;10.0;9.0;21.0;23.0;32.0;50.0;10.0;0.0;16;8;5;15;18;47.0;8;58;53;33.0;84;;;92;1;1.0
62;45 tot 55 jarigen;2003;18;19;;;;;;;;;;;;;;;;;;;;;;16;7;6;16;21;44.0;8;56;52;30.0;88;;;93;2;2.0
63;45 tot 55 jarigen;2004;20;22;;;;;;;;;;;;;;;;;;;;;;18;8;4;17;20;48.0;9;56;54;32.0;83;;;92;2;2.0
64;55 tot 65 jarigen;1997;17;23;36.0;11.0;32.0;9.0;42.0;29.0;24.0;76.0;37.0;13.0;34.0;14.0;3.0;11.0;10.0;25.0;19.0;;;;;17;7;4;11;19;;5;58;55;29.0;78;;;90;1;1.0
65;55 tot 65 jarigen;1998;11;13;35.0;9.0;28.0;6.0;43.0;23.0;25.0;69.0;35.0;23.0;47.0;17.0;3.0;8.0;9.0;22.0;10.0;;;;;13;9;5;13;17;;7;51;53;35.0;77;;;91;0;0.0
66;55 tot 65 jarigen;1999;15;18;33.0;11.0;33.0;10.0;44.0;29.0;37.0;68.0;40.0;23.0;45.0;17.0;6.0;14.0;7.0;23.0;17.0;;;;;18;10;4;13;17;44.0;4;48;46;50.0;79;7.0;6.0;90;2;3.0
67;55 tot 65 jarigen;2000;16;18;32.0;11.0;31.0;8.0;45.0;28.0;34.0;70.0;42.0;26.0;55.0;14.0;4.0;7.0;8.0;19.0;13.0;;;;;15;7;4;18;18;53.0;6;49;47;28.0;78;9.0;9.0;90;0;1.0
68;55 tot 65 jarigen;2001;18;19;37.0;11.0;31.0;7.0;43.0;27.0;38.0;73.0;39.0;23.0;42.0;15.0;2.0;12.0;9.0;23.0;22.0;;;;;14;7;4;15;17;39.0;8;53;49;37.0;80;;;93;1;3.0
69;55 tot 65 jarigen;2002;14;18;41.0;10.0;36.0;8.0;43.0;26.0;43.0;74.0;44.0;22.0;42.0;15.0;2.0;11.0;7.0;20.0;25.0;;;;;15;8;2;12;17;33.0;5;50;47;27.0;82;;;94;1;1.0
70;55 tot 65 jarigen;2003;13;14;;;;;;;;;;;;;;;;;;;;;;13;7;5;14;17;42.0;7;50;51;38.0;83;;;94;1;1.0
71;55 tot 65 jarigen;2004;13;14;;;;;;;;;;;;;;;;;;;;;;16;9;5;13;16;44.0;5;51;49;41.0;82;;;92;1;2.0
72;Opleidingsniveau: basisonderwijs;1997;34;39;39.0;21.0;52.0;18.0;21.0;52.0;39.0;85.0;48.0;22.0;37.0;9.0;1.0;24.0;16.0;40.0;24.0;;;;;36;15;8;27;31;56.0;16;52;49;26.0;76;;;88;1;4.0
73;Opleidingsniveau: basisonderwijs;1998;30;34;41.0;18.0;51.0;16.0;24.0;52.0;43.0;86.0;45.0;30.0;53.0;17.0;0.0;19.0;16.0;38.0;23.0;;;;;33;14;8;26;27;63.0;16;50;49;26.0;80;;;88;3;5.0
74;Opleidingsniveau: basisonderwijs;1999;26;33;40.0;16.0;48.0;14.0;26.0;48.0;42.0;83.0;53.0;38.0;55.0;17.0;2.0;19.0;11.0;33.0;28.0;;;;;28;14;7;26;31;47.0;13;49;49;35.0;79;17.0;11.0;88;3;3.0
75;Opleidingsniveau: basisonderwijs;2000;25;27;41.0;18.0;51.0;13.0;27.0;41.0;42.0;87.0;49.0;32.0;41.0;13.0;1.0;17.0;16.0;37.0;22.0;;;;;27;12;7;25;27;50.0;13;52;49;29.0;83;14.0;13.0;87;2;3.0
76;Opleidingsniveau: basisonderwijs;2001;27;35;40.0;21.0;51.0;17.0;21.0;50.0;40.0;88.0;54.0;33.0;46.0;16.0;1.0;22.0;16.0;39.0;23.0;;;;;31;13;8;30;30;44.0;13;52;53;24.0;80;;;89;4;6.0
77;Opleidingsniveau: basisonderwijs;2002;28;33;41.0;18.0;50.0;20.0;21.0;54.0;48.0;87.0;46.0;29.0;47.0;12.0;2.0;21.0;15.0;41.0;18.0;;;;;28;14;9;28;31;52.0;9;46;44;19.0;77;;;87;2;3.0
78;Opleidingsniveau: basisonderwijs;2003;31;34;;;;;;;;;;;;;;;;;;;;;;32;16;12;28;28;49.0;12;41;45;24.0;86;;;90;2;3.0
79;Opleidingsniveau: basisonderwijs;2004;33;39;;;;;;;;;;;;;;;;;;;;;;33;11;7;27;31;54.0;14;45;41;27.0;77;;;83;1;2.0
80;Opleidingsniveau: vbo;1997;32;39;45.0;19.0;50.0;18.0;19.0;51.0;41.0;89.0;45.0;16.0;36.0;7.0;2.0;23.0;20.0;45.0;18.0;26.0;29.0;7.0;2.0;35;13;8;25;33;59.0;14;57;57;28.0;79;;;92;2;3.0
81;Opleidingsniveau: vbo;1998;27;35;41.0;17.0;49.0;16.0;20.0;52.0;45.0;88.0;35.0;30.0;47.0;12.0;1.0;25.0;19.0;48.0;13.0;;;;;37;13;7;24;28;63.0;11;59;58;26.0;81;;;91;1;1.0
82;Opleidingsniveau: vbo;1999;31;35;40.0;16.0;51.0;15.0;20.0;53.0;46.0;89.0;47.0;25.0;42.0;16.0;2.0;25.0;20.0;47.0;22.0;27.0;39.0;15.0;3.0;35;13;9;23;28;60.0;10;50;56;27.0;78;19.0;13.0;91;1;4.0
83;Opleidingsniveau: vbo;2000;29;39;43.0;20.0;48.0;16.0;21.0;54.0;44.0;86.0;50.0;21.0;38.0;9.0;0.0;21.0;20.0;45.0;22.0;25.0;33.0;12.0;0.0;34;13;10;27;32;62.0;14;49;52;26.0;82;17.0;14.0;90;2;3.0
84;Opleidingsniveau: vbo;2001;30;38;44.0;18.0;48.0;16.0;23.0;51.0;47.0;87.0;42.0;24.0;38.0;9.0;2.0;22.0;19.0;42.0;21.0;19.0;30.0;7.0;0.0;31;11;8;25;28;61.0;12;52;51;23.0;83;;;92;1;2.0
85;Opleidingsniveau: vbo;2002;32;41;41.0;18.0;51.0;15.0;22.0;54.0;46.0;87.0;48.0;29.0;45.0;15.0;2.0;24.0;19.0;42.0;26.0;27.0;32.0;7.0;0.0;32;11;8;24;26;64.0;13;58;56;24.0;82;;;90;2;3.0
86;Opleidingsniveau: vbo;2003;35;40;;;;;;;;;;;;;;;;;;;;;;34;11;10;27;28;59.0;10;49;49;22.0;81;;;92;1;2.0
87;Opleidingsniveau: vbo;2004;37;43;;;;;;;;;;;;;;;;;;;;;;38;15;10;29;30;66.0;12;52;52;22.0;81;;;93;1;2.0
88;Opleidingsniveau: mavo;1997;16;20;50.0;10.0;51.0;8.0;25.0;28.0;41.0;87.0;42.0;20.0;28.0;9.0;0.0;10.0;6.0;20.0;19.0;;;;;15;8;3;17;17;31.0;11;54;58;20.0;83;;;91;4;2.0
89;Opleidingsniveau: mavo;1998;15;18;48.0;10.0;47.0;6.0;29.0;25.0;38.0;85.0;32.0;26.0;40.0;12.0;1.0;8.0;7.0;16.0;9.0;;;;;17;6;3;13;14;;10;51;50;18.0;83;;;92;1;2.0
90;Opleidingsniveau: mavo;1999;19;21;44.0;14.0;44.0;8.0;35.0;33.0;43.0;81.0;46.0;25.0;46.0;16.0;1.0;10.0;8.0;24.0;19.0;;;;;18;5;4;20;20;41.0;15;54;53;18.0;82;16.0;11.0;91;2;2.0
91;Opleidingsniveau: mavo;2000;19;22;45.0;13.0;48.0;8.0;28.0;33.0;41.0;83.0;44.0;20.0;37.0;10.0;0.0;7.0;6.0;16.0;16.0;;;;;16;9;4;20;19;30.0;11;58;58;20.0;85;18.0;14.0;91;2;3.0
92;Opleidingsniveau: mavo;2001;26;28;46.0;14.0;47.0;12.0;26.0;39.0;48.0;87.0;42.0;24.0;41.0;7.0;1.0;11.0;8.0;21.0;16.0;;;;;14;6;1;14;17;40.0;11;51;53;18.0;83;;;91;3;3.0
93;Opleidingsniveau: mavo;2002;17;22;45.0;12.0;53.0;7.0;29.0;33.0;52.0;85.0;47.0;22.0;42.0;10.0;1.0;6.0;6.0;17.0;19.0;;;;;15;6;2;14;15;37.0;10;54;57;20.0;84;;;92;1;1.0
94;Opleidingsniveau: mavo;2003;15;20;;;;;;;;;;;;;;;;;;;;;;17;7;3;16;15;;12;55;57;17.0;84;;;88;2;2.0
95;Opleidingsniveau: mavo;2004;19;23;;;;;;;;;;;;;;;;;;;;;;21;7;5;14;17;40.0;13;54;53;21.0;83;;;88;3;2.0
96;Opleidingsniveau: havo/vwo, mbo;1997;22;27;42.0;14.0;39.0;10.0;29.0;36.0;39.0;84.0;40.0;16.0;31.0;9.0;2.0;11.0;11.0;27.0;14.0;17.0;28.0;8.0;0.0;20;9;6;18;24;51.0;12;65;62;25.0;83;;;92;2;2.0
97;Opleidingsniveau: havo/vwo, mbo;1998;23;27;43.0;16.0;40.0;10.0;29.0;37.0;43.0;83.0;35.0;17.0;36.0;9.0;1.0;11.0;11.0;26.0;13.0;13.0;30.0;4.0;0.0;19;10;6;18;25;47.0;13;66;63;27.0;84;;;93;2;2.0
98;Opleidingsniveau: havo/vwo, mbo;1999;21;26;44.0;14.0;42.0;10.0;31.0;37.0;44.0;84.0;43.0;18.0;34.0;10.0;2.0;11.0;11.0;24.0;15.0;24.0;37.0;23.0;9.0;19;9;6;17;22;51.0;10;63;61;28.0;82;18.0;16.0;92;3;2.0
99;Opleidingsniveau: havo/vwo, mbo;2000;22;27;41.0;14.0;42.0;9.0;29.0;38.0;48.0;82.0;44.0;18.0;38.0;10.0;1.0;11.0;11.0;25.0;16.0;28.0;40.0;14.0;3.0;19;9;6;18;23;52.0;12;60;60;24.0;84;16.0;16.0;93;2;2.0
100;Opleidingsniveau: havo/vwo, mbo;2001;23;27;45.0;17.0;45.0;10.0;30.0;37.0;48.0;84.0;42.0;22.0;37.0;12.0;2.0;12.0;11.0;25.0;15.0;23.0;33.0;16.0;3.0;20;9;5;17;23;55.0;12;60;58;24.0;86;;;93;2;2.0
101;Opleidingsniveau: havo/vwo, mbo;2002;23;26;46.0;14.0;45.0;10.0;29.0;37.0;51.0;85.0;42.0;17.0;34.0;9.0;1.0;10.0;11.0;23.0;14.0;23.0;34.0;13.0;2.0;19;9;5;17;22;50.0;11;60;58;24.0;86;;;94;3;3.0
102;Opleidingsniveau: havo/vwo, mbo;2003;21;25;;;;;;;;;;;;;;;;;;;;;;21;9;6;18;22;51.0;10;59;57;24.0;85;;;94;1;2.0
