ID;Perioden;TotaalMilieuInvesteringen_1;TotaalLuchtverontreiniging_2;TotaalWegverkeerLucht_3;TotaalPersonenautoS_4;TotaalBenzineEnLPGAutoS_5;Katalysator_6;KoolstoffilterVoorHetBrandstofsysteem_7;AanpassingLPGInstallatie_8;OverigeMotoraanpassingen_9;Dieselpersonenauto_10;TotaalBedrijfsvoertuigen_11;TotaalLichteBedrijfsvoertuigen_12;BenzineEnLPGVoertuigen_13;Dieselvoertuigen_14;TotaalZwareBedrijfsvoertuigen_15;TotaalOverigVerkeerLucht_16;Binnenvaart_17;Railverkeer_18;TotaalGeluidshinder_19;PersonenautoS_20;LichteBedrijfsvoertuigen_21;ZwareBedrijfsvoertuigen_22;Motorfietsen_23;Luchtvaart_24;Railverkeer_25;TotaalWaterverontreiniging_26;Zeevaart_27;Recreatievaart_28;Bodemverontreiniging_29;TotaalMilieukosten_30;TotaalMilieukostenVerkeersdeelnemers_31;TotaalLuchtverontreiniging_32;TotPersonenEnLichteBedrijfsvoert_33;TotaalAutoSOpBenzineEnLPG_34;Katalysator_35;KoolstoffilterVoorHetBrandstofsysteem_36;AanpassingLPGInstallatie_37;OverigeMotoraanpassingen_38;ExtraBrandstofverbruik_39;Uitlaatgasmeting_40;TotaalDieselautoS_41;Motoraanpassingen_42;Roetmeting_43;TotaalZwareBedrijfsvoertuigen_44;AanpassingEisenLuchtverontrUitstoot_45;OntwikkelingNieuweTechnieken_46;Roetmeting_47;OverigeVervoermiddelen_48;TotaalAanpassingBrandstoffen_49;LoodvrijeEnAromaatarmeBenzine_50;ZwavelarmeDiesel_51;TotaalGeluidshinder_52;PersonenautoSEnLichteBedrijfsvoert_53;ZwareBedrijfsvoertuigen_54;Motorfietsen_55;Luchtvaart_56;Railverkeer_57;TotaalWaterverontreiniging_58;Zeevaart_59;Recreatievaart_60;TotaalAfvalverwijdering_61;Autowrakken_62;Personenautobanden_63;AfvalOpenbaarVervoersbedrijven_64;BodemverontreinigingEnLandschap_65;TotaalMilieukostenOverheid_66;Luchtverontreiniging_67;TotaalGeluidshinder_68;Wegverkeer_69;Railverkeer_70;Luchtverkeer_71;WaterverontreinigingBinnenvaart_72;Afvalverwijdering_73;Bodemverontreiniging_74;Landschap_75;TotaalBetaaldeHeffingen_76;AlgemeneBrandstofheffingED_77;GeluidshinderBurgerluchtvaart_78;Afval_79;TotaalOntvangenSubsidies_80;Luchtverontreiniging_81;OverigeSubsidies_82;NettoMilieulastenVerkeersdeelnemers_83
14;1994;306;213;212;199;192;172;9;12;0;7;14;6;2;5;7;0;0;0;45;0;9;19;0;16;0;3;3;0;45;677;586;404;257;253;207;5;8;8;14;11;3;3;0;7;2;5;0;0;140;99;41;77;11;30;0;35;1;21;21;0;0;0;0;0;84;91;0;77;51;4;22;4;9;0;1;11;0;6;5;30;18;12;567
15;1995;272;177;177;159;150;131;9;11;0;8;18;8;2;6;10;0;0;0;42;0;1;23;0;17;0;8;8;0;45;696;609;400;276;271;226;6;9;8;17;4;5;5;0;11;4;7;0;0;112;73;39;84;11;32;0;37;3;22;22;0;13;10;3;0;90;87;0;71;45;5;21;4;6;0;6;12;0;6;6;38;26;12;584
16;1996;280;196;197;168;155;136;9;10;0;12;29;13;2;11;16;0;0;0;38;0;1;28;2;8;0;9;9;0;36;733;635;420;288;281;228;7;10;7;21;7;8;8;0;13;5;7;0;0;119;77;42;85;10;27;0;41;7;22;22;0;38;33;5;0;70;98;0;82;70;3;9;4;7;0;5;14;0;8;6;33;23;10;617
17;1997;283;205;206;170;153;135;9;10;0;17;35;18;2;16;18;0;0;0;36;0;1;26;1;7;0;6;6;0;36;754;671;449;314;289;230;8;11;5;26;8;25;11;14;13;8;3;3;0;121;78;43;85;8;23;0;42;11;23;23;0;32;26;7;0;82;83;0;58;54;2;2;5;6;4;10;11;0;5;6;18;10;7;664
18;1998;251;174;171;134;116;98;10;8;0;18;37;20;1;19;17;3;3;0;42;0;1;25;1;13;1;8;6;2;27;760;676;473;335;297;225;9;11;3;28;21;38;14;23;19;9;3;7;1;119;76;43;77;7;20;1;43;7;24;24;0;30;22;8;0;72;84;0;61;50;5;7;4;7;4;8;11;0;6;5;16;10;6;671
19;1999;253;184;181;144;126;110;11;5;0;17;37;21;1;20;16;3;3;0;34;0;2;20;2;9;1;8;7;2;27;799;694;488;345;301;218;10;12;1;34;26;44;19;25;22;11;3;7;1;121;76;45;77;7;18;1;45;7;25;25;0;29;19;10;0;75;105;0;83;59;3;21;4;7;7;4;12;0;6;6;15;10;5;692
20;2000;299;223;215;155;132;115;10;6;0;23;60;17;1;16;43;8;3;5;42;0;2;21;2;16;2;10;5;5;25;887;702;486;368;319;208;11;12;0;52;36;50;22;28;30;16;6;7;2;86;24;62;76;6;16;1;48;5;31;25;6;35;24;10;0;74;185;0;154;129;5;21;4;7;13;6;41;0;35;6;27;22;5;717
21;2001;292;230;202;143;127;111;9;7;0;16;58;12;1;11;47;28;3;25;37;0;2;20;2;12;1;10;6;4;15;969;732;532;351;295;181;11;11;0;50;42;56;25;31;35;21;6;8;4;142;25;118;71;5;14;1;41;10;34;26;8;38;27;12;0;57;237;0;200;143;6;51;5;7;19;6;49;0;43;6;36;32;4;746
22;2002;273;222;218;150;117;91;5;3;18;33;68;24;0;24;44;4;3;0;34;0;2;17;2;12;1;14;5;9;4;996;753;549;342;269;161;10;7;0;46;44;73;36;37;37;23;6;8;5;165;25;140;92;4;28;1;35;25;25;15;10;42;28;14;0;44;244;0;199;74;19;106;5;8;19;12;51;0;38;13;16;10;6;788
23;2003;280;224;221;156;123;99;5;2;17;33;65;23;0;23;42;4;3;0;35;0;2;16;2;15;1;17;6;11;4;1071;744;547;331;252;138;10;6;0;49;49;80;39;41;41;26;6;8;5;170;25;145;78;3;26;1;31;17;29;13;16;46;31;15;0;43;328;0;281;77;50;154;5;8;22;12;51;0;39;12;10;8;2;784
24;2004;295;237;232;161;124;102;5;1;16;37;71;26;1;26;45;5;5;0;30;0;2;17;2;9;0;25;12;12;4;1088;761;568;341;253;131;9;6;0;53;53;88;45;44;48;31;8;8;5;175;25;150;68;2;26;1;32;6;44;25;19;41;27;14;0;39;328;0;287;93;126;67;5;8;15;12;54;0;33;21;10;9;1;805
25;2005;344;278;273;186;121;100;4;2;15;65;87;33;0;33;54;6;5;0;34;0;2;17;2;14;0;27;15;12;4;1028;770;582;351;257;122;8;5;0;65;57;94;49;45;49;35;6;8;5;177;25;152;67;2;25;2;33;7;46;25;20;37;23;14;0;38;258;5;209;91;83;35;5;8;17;14;72;0;49;23;17;15;2;825
26;2006;492;389;381;237;136;113;5;2;16;101;144;34;0;34;110;8;8;0;41;0;2;23;1;15;0;57;42;15;4;1015;822;629;383;274;129;8;5;0;72;61;109;62;46;57;44;4;9;5;184;25;159;79;2;24;2;36;15;40;28;12;36;21;15;0;38;194;6;160;113;18;29;4;8;16;0;75;0;54;21;40;39;1;857
27;2007;621;505;498;276;138;116;5;2;16;138;222;57;0;56;166;7;7;0;37;0;3;19;1;14;0;75;59;15;4;1078;885;696;424;296;144;9;5;0;77;61;129;83;46;77;62;7;9;7;188;25;162;86;2;24;2;34;23;44;32;12;21;7;14;0;38;193;7;158;110;22;27;4;8;16;0;76;0;55;21;162;161;1;800
28;2008;584;468;458;279;139;117;5;2;14;141;179;55;1;54;124;9;4;6;38;0;2;22;2;12;0;78;53;26;0;1169;932;724;450;302;150;9;5;0;87;52;148;104;44;87;79;0;8;11;176;25;151;87;2;24;2;40;19;49;36;14;34;7;12;14;38;237;10;190;152;18;20;4;17;16;0;80;0;56;24;82;81;0;930
29;2009;418;317;311;202;110;95;4;1;10;92;109;34;1;33;75;6;3;3;32;0;1;15;1;15;0;69;43;26;0;1164;924;708;435;275;146;8;4;0;63;53;160;116;45;95;87;0;8;9;169;25;143;93;2;23;2;38;29;54;38;15;31;5;12;14;37;240;13;186;145;25;16;5;17;17;3;77;0;51;26;95;95;0;906
30;2010;399;312;308;230;138;119;5;1;13;93;77;40;1;39;38;4;4;0;24;0;1;12;1;10;0;63;38;25;0;1246;967;741;465;294;146;7;3;0;83;54;171;124;46;97;89;0;8;8;171;25;146;97;2;22;2;43;29;57;40;17;39;12;13;14;34;279;12;224;173;21;30;5;17;18;3;70;0;42;28;67;61;7;970
31;2011;454;349;348;262;144;123;5;2;13;118;86;52;1;52;33;1;1;0;28;0;2;15;1;10;0;77;55;22;0;1274;1021;786;509;321;155;7;3;0;102;53;188;143;45;98;90;0;7;8;171;26;145;93;2;21;2;46;21;64;44;19;50;23;12;14;29;253;10;202;163;14;26;5;17;16;3;64;0;35;29;30;25;5;1056
32;2012;464;388;385;269;124;107;4;1;12;145;116;56;1;55;60;3;3;0;25;0;2;14;1;8;0;52;34;18;0;1229;961;738;512;322;150;6;3;0;114;49;190;150;40;92;85;0;7;8;126;25;101;78;2;20;2;48;6;64;43;21;52;28;10;15;29;268;17;210;166;16;28;4;17;16;4;78;0;49;29;10;9;0;1029
33;2013;420;344;343;204;99;86;3;1;9;105;139;50;1;49;89;1;1;0;24;0;2;16;1;6;0;52;33;19;0;1181;952;722;513;313;150;6;2;0;108;47;200;164;36;94;88;0;6;8;107;24;83;80;2;20;2;47;9;67;45;22;58;31;12;15;25;229;6;182;157;14;11;4;18;17;2;69;0;39;30;21;20;1;1000
