ID;CapaciteitJachthavens;Perioden;JachthavensTotaal_1;TotaalZomerligplaatsen_2;VastVerhuurd_3;AantalZeilboten_4;AantalMotorboten_5;Bezettingsgraad_6;VastVerhuurdAanBuitenlanders_7;JachthavensMetPassantenligplaatsen_8;TotaalGemiddeldAantalZomerligplaatsen_9;VastVerhuurd_10;ParticuliereExploitant_11;Watersportclub_12;TotaalMetSeizoentarief_13;TotEnMet100Euro_14;k_101TotEnMet200Euro_15;k_201TotEnMet300Euro_16;k_301EuroEnMeer_17;TotaalMetSeizoentarief_18;TotEnMet200Euro_19;k_201TotEnMet400Euro_20;k_401TotEnMet600Euro_21;k_601EuroEnMeer_22;KleineBoot_23;GroteBoot_24;TotaalMetTariefWinterstalling_25;MinderDan5672Euro_26;k_5672Tot11345Euro_27;k_11345Tot17017Euro_28;k_17017EuroEnMeer_29;TotaalMetTariefWinterstalling_30;MinderDan11345Euro_31;k_11345Tot22689Euro_32;k_22689Tot34034Euro_33;k_34034EuroEnMeer_34;KleineBoot_35;GroteBoot_36;Vuilnis_37;AfgewerkteOlie_38;InhoudVanChemischeToiletten_39;AnderKleinChemischAfval_40;Bilgewaterpomp_41;Vuilwaterpomp_42;LozingViaGemeentelijkeRiolering_43;LozingInBodemOfOpenWater_44;AndereWijzeVanAfvoer_45;GeenSanitaireVoorzieningenAanwezig_46;HandelInSchepenScheepsbenodigdheden_47;ReparatieEnOnderhoudVanSchepen_48;VerhuurVanStandOfSlaapplaatsen_49;GevenVanInstructie_50;Winterstalling_51;GeenVanDezeNevenactiviteiten_52
23;101 tot en met 200 ligplaatsen;2012;175;26600;21800;8400;13400;82;9;72;150;125;50;50;170;9;31;16;44;165;4;31;20;46;345;680;;;;;0.0;;;;;0.0;;;92;53;59;43;42;57;91;7;1;2;46;40;26;8;63;10
24;201 tot en met 350 ligplaatsen;1997;90;26000;21100;10600;10500;81;11;75;280;230;74;26;90;11;30;37;22;90;9;22;34;34;255;525;70.0;13.0;14.0;29.0;44.0;65.0;11.0;12.0;27.0;50.0;165.0;375.0;98;77;74;71;24;14;78;10;11;2;61;55;29;30;78;0
25;201 tot en met 350 ligplaatsen;2000;125;34500;27800;14500;13200;80;9;78;270;220;61;39;120;16;21;26;37;125;9;20;25;46;275;615;;;;;;;;;;;;;98;78;68;70;41;42;81;17;4;1;58;54;31;16;87;0
26;201 tot en met 350 ligplaatsen;2003;115;31000;25700;15100;10600;83;10;82;275;225;54;46;105;16;22;26;36;105;7;22;18;53;300;690;;;;;;;;;;;;;94;67;64;63;43;45;81;16;4;3;52;42;33;15;83;3
27;201 tot en met 350 ligplaatsen;2006;115;30400;23700;12300;11400;78;8;72;270;210;52;48;105;8;25;21;45;105;2;19;25;55;330;760;;;;;0.0;;;;;0.0;;;95;69;62;66;49;50;86;12;2;1;58;47;32;11;76;0
28;201 tot en met 350 ligplaatsen;2009;120;32100;25400;11200;14200;79;9;69;270;215;62;38;115;8;16;22;55;115;3;10;24;62;370;835;;;;;0.0;;;;;0.0;;;98;76;81;73;54;70;87;10;1;2;55;54;28;9;81;0
29;201 tot en met 350 ligplaatsen;2012;120;31600;24100;10700;13400;77;7;74;270;205;56;44;115;9;12;21;58;110;4;14;18;63;415;880;;;;;0.0;;;;;0.0;;;95;73;80;69;57;70;91;6;0;3;49;42;27;9;77;0
30;351 tot en met 500 ligplaatsen;1997;50;23500;16500;8500;7900;70;15;77;470;335;61;39;50;14;20;31;35;50;4;20;36;40;270;610;40.0;12.0;24.0;19.0;45.0;40.0;5.0;34.0;15.0;46.0;180.0;365.0;96;96;67;84;33;18;78;22;4;0;84;70;31;8;92;0
31;351 tot en met 500 ligplaatsen;2000;35;15500;11900;6900;5000;77;17;72;420;320;68;32;35;8;16;27;49;35;3;17;26;54;290;635;;;;;;;;;;;;;90;90;86;82;63;54;86;16;0;5;73;58;36;25;86;7
32;351 tot en met 500 ligplaatsen;2003;45;17900;14700;8600;6000;82;15;70;410;335;80;20;40;0;12;33;55;40;2;10;17;71;360;830;;;;;;;;;;;;;97;97;75;88;61;57;91;11;0;0;69;69;33;28;94;0
33;351 tot en met 500 ligplaatsen;2006;40;17500;13500;7500;6000;77;11;71;415;320;69;31;40;0;8;29;63;40;0;2;18;80;390;880;;;;;0.0;;;;;0.0;;;97;94;77;88;60;54;93;10;0;0;61;43;25;18;89;0
34;351 tot en met 500 ligplaatsen;2009;35;14600;11400;7100;4300;78;12;72;415;320;74;26;35;0;6;12;82;35;0;3;6;91;435;1025;;;;;0.0;;;;;0.0;;;97;92;86;91;60;74;97;3;0;0;54;59;40;21;91;0
35;351 tot en met 500 ligplaatsen;2012;45;19300;14700;8900;5900;76;14;80;420;320;78;22;45;0;4;11;85;45;0;7;7;87;485;1060;;;;;0.0;;;;;0.0;;;100;92;94;89;65;73;100;0;0;0;58;56;31;23;82;0
36;501 ligplaatsen en meer;1997;40;33700;23500;16400;7100;70;24;93;800;560;90;10;40;0;10;54;36;40;0;10;19;71;285;735;30.0;6.0;9.0;28.0;56.0;35.0;6.0;0.0;15.0;79.0;170.0;445.0;100;95;83;95;62;14;100;0;0;0;87;77;17;29;81;0
37;501 ligplaatsen en meer;2000;45;35400;25900;19600;6300;73;20;100;790;575;71;29;40;0;10;45;45;45;0;9;19;72;355;810;;;;;;;;;;;;;96;97;89;94;68;55;96;11;0;0;78;45;43;19;73;0
38;501 ligplaatsen en meer;2003;45;32200;24500;16700;7800;76;22;100;745;565;65;35;45;0;14;39;47;45;0;9;16;74;390;845;;;;;;;;;;;;;100;100;97;88;81;84;100;2;0;0;66;49;37;21;77;0
39;501 ligplaatsen en meer;2006;55;41800;31400;19600;11800;75;22;100;760;570;78;22;55;0;15;22;63;55;0;9;9;81;445;995;;;;;0.0;;;;;0.0;;;100;100;97;94;83;86;100;2;0;0;77;47;46;22;78;0
40;501 ligplaatsen en meer;2009;55;39200;29500;18100;11400;75;20;100;710;535;76;24;55;0;11;21;68;55;0;7;11;82;485;1095;;;;;0.0;;;;;0.0;;;100;100;97;98;84;88;100;0;0;0;64;41;39;19;77;0
41;501 ligplaatsen en meer;2012;55;38600;29400;18400;11000;76;20;100;720;545;76;24;55;0;10;19;71;55;0;4;13;83;510;1150;;;;;0.0;;;;;0.0;;;100;100;98;97;88;92;100;0;0;0;70;40;32;18;82;0
