ID;InstitutioneleBeleggers;Perioden;BeleggingBuitenlandTotaal_1;DirectVastgoed_2;AandelenEnDeelnemingen_3;ObligatiesEnWaardepapOpKorteTermijn_4;LeningenOpLangeTermijnInclusiefHyp_5;OverigeBeleggingen_6
21;Totaal institutionele beleggers;2001;442.7;23.2;234.2;177.6;5.1;2.6
22;Totaal institutionele beleggers;2002;406.8;15.7;181.8;202.1;4.0;3.3
23;Totaal institutionele beleggers;2003;473.0;14.9;221.1;230.7;2.8;3.5
24;Totaal institutionele beleggers;2004;556.2;13.6;251.6;281.9;2.0;7.1
25;Totaal institutionele beleggers;2005 1e kwartaal;590.6;14.2;278.2;288.3;2.2;7.6
26;Totaal institutionele beleggers;2005 2e kwartaal;635.7;14.9;303.3;309.9;2.2;5.4
27;Totaal institutionele beleggers;2005 3e kwartaal;667.9;15.4;324.0;318.7;2.2;7.6
28;Totaal institutionele beleggers;2005 4e kwartaal;688.8;16.4;336.7;325.8;1.5;8.5
29;Totaal institutionele beleggers;2005;688.8;16.4;336.7;325.8;1.5;8.5
30;Totaal institutionele beleggers;2006 1e kwartaal;712.4;17.2;345.2;326.9;1.9;21.1
31;Totaal institutionele beleggers;2006 2e kwartaal;704.0;17.9;328.1;331.5;1.8;24.7
32;Totaal institutionele beleggers;2006 3e kwartaal;742.8;18.6;348.7;348.1;1.9;25.5
33;Totaal institutionele beleggers;2006 4e kwartaal;770.3;19.3;369.5;352.3;1.8;27.4
34;Totaal institutionele beleggers;2006;770.3;19.3;369.5;352.3;1.8;27.4
35;Totaal institutionele beleggers;2007 1e kwartaal;786.8;19.0;378.9;360.0;2.5;26.3
36;Totaal institutionele beleggers;2007 2e kwartaal;790.7;12.1;397.0;357.5;2.4;21.6
37;Totaal institutionele beleggers;2007 3e kwartaal;796.7;12.5;408.3;353.8;2.6;19.5
38;Totaal institutionele beleggers;2007 4e kwartaal;805.9;13.8;409.9;359.8;3.4;19.0
39;Totaal institutionele beleggers;2007;805.9;13.8;409.9;359.8;3.4;19.0
40;Totaal institutionele beleggers;2008 1e kwartaal;773.0;13.9;375.8;345.9;6.8;30.7
41;Totaal institutionele beleggers;2008 2e kwartaal;769.2;13.8;383.5;347.0;3.0;22.1
42;Totaal institutionele beleggers;2008 3e kwartaal;764.2;13.9;359.6;370.6;3.1;17.0
43;Totaal institutionele beleggers;2008 4e kwartaal;687.0;14.0;289.2;349.4;4.2;30.2
44;Totaal institutionele beleggers;2008;687.0;14.0;289.2;349.4;4.2;30.2
45;Totaal institutionele beleggers;2009 1e kwartaal;684.5;13.9;285.0;358.9;3.9;22.9
46;Totaal institutionele beleggers;2009 2e kwartaal;728.4;13.8;313.8;359.9;4.6;36.4
47;Totaal institutionele beleggers;2009 3e kwartaal;775.7;13.7;354.3;376.1;4.2;27.4
48;Totaal institutionele beleggers;2009 4e kwartaal;800.7;13.6;382.8;373.3;4.1;26.9
49;Totaal institutionele beleggers;2009;800.7;13.6;382.8;373.3;4.1;26.9
50;Totaal institutionele beleggers;2010 1e kwartaal;837.0;14.0;411.0;382.0;4.8;25.3
51;Totaal institutionele beleggers;2010 2e kwartaal;820.5;14.0;399.5;378.3;5.4;23.4
52;Totaal institutionele beleggers;2010 3e kwartaal;846.6;14.1;410.2;388.4;5.1;28.9
53;Totaal institutionele beleggers;2010 4e kwartaal;851.0;16.1;441.3;367.1;6.2;20.3
54;Totaal institutionele beleggers;2010;851.0;16.1;441.3;367.1;6.2;20.3
55;Totaal institutionele beleggers;2011 1e kwartaal;839.1;16.0;426.7;370.3;5.8;20.2
56;Totaal institutionele beleggers;2011 2e kwartaal;842.4;16.0;428.8;372.1;5.5;20.0
57;Totaal institutionele beleggers;2011 3e kwartaal;820.7;15.9;403.7;376.2;5.3;19.5
58;Totaal institutionele beleggers;2011 4e kwartaal;849.0;15.9;431.9;379.8;5.3;16.2
59;Totaal institutionele beleggers;2011;849.0;15.9;431.9;379.8;5.3;16.2
60;Totaal institutionele beleggers;2012 1e kwartaal;892.0;15.7;454.5;398.0;5.6;18.2
61;Totaal institutionele beleggers;2012 2e kwartaal;911.2;15.6;458.7;411.3;5.6;20.0
62;Totaal institutionele beleggers;2012 3e kwartaal;950.4;15.4;477.4;433.2;6.7;17.7
63;Totaal institutionele beleggers;2012 4e kwartaal;973.5;15.2;482.9;452.3;6.8;16.3
64;Totaal institutionele beleggers;2012;973.5;15.2;482.9;452.3;6.8;16.3
65;Totaal institutionele beleggers;2013 1e kwartaal;1010.0;15.0;515.9;453.8;7.3;18.0
66;Totaal institutionele beleggers;2013 2e kwartaal;986.7;13.3;496.1;452.4;7.3;17.5
67;Totaal institutionele beleggers;2013 3e kwartaal;999.5;13.5;506.1;456.0;7.7;16.2
68;Totaal institutionele beleggers;2013 4e kwartaal;1014.6;15.2;517.4;458.2;7.0;16.8
69;Totaal institutionele beleggers;2013;1014.6;15.2;517.4;458.2;7.0;16.8
70;Totaal institutionele beleggers;2014 1e kwartaal;1052.9;15.2;537.7;475.7;7.9;16.5
71;Pensioenfondsen;1980;3.0;0.7;0.9;0.7;0.7;0.0
72;Pensioenfondsen;1981;3.6;0.8;0.9;1.0;0.9;0.1
73;Pensioenfondsen;1982;4.9;0.9;1.3;1.5;1.2;0.0
74;Pensioenfondsen;1983;6.8;1.2;2.1;1.8;1.6;0.1
75;Pensioenfondsen;1984;8.6;1.3;2.4;2.7;2.1;0.2
76;Pensioenfondsen;1985;10.6;1.4;3.1;3.4;2.5;0.1
77;Pensioenfondsen;1986;14.5;1.6;4.7;5.4;2.7;0.1
78;Pensioenfondsen;1987;15.9;1.8;4.9;6.3;2.7;0.2
79;Pensioenfondsen;1988;20.0;2.2;7.8;7.1;2.7;0.3
80;Pensioenfondsen;1989;21.8;2.3;11.0;5.6;2.6;0.3
81;Pensioenfondsen;1990;21.3;2.1;10.4;5.5;2.6;0.6
82;Pensioenfondsen;1991;29.1;4.2;15.3;6.5;2.6;0.5
83;Pensioenfondsen;1992;32.6;4.3;17.5;7.7;2.6;0.5
84;Pensioenfondsen;1993;43.3;4.4;25.9;9.6;2.7;0.6
85;Pensioenfondsen;1994;47.0;4.2;29.0;10.9;2.3;0.6
86;Pensioenfondsen;1995;60.5;4.0;38.1;15.8;2.4;0.3
87;Pensioenfondsen;1996;76.7;4.1;49.0;21.1;2.1;0.3
88;Pensioenfondsen;1997;111.6;3.6;67.7;36.8;2.5;1.0
89;Pensioenfondsen;1998;156.9;3.0;90.5;60.4;2.3;0.8
90;Pensioenfondsen;1999;253.5;3.1;164.0;83.6;2.1;0.8
91;Pensioenfondsen;2000;276.1;3.1;164.0;106.8;1.6;0.7
92;Pensioenfondsen;2001;296.3;2.7;172.1;118.7;1.8;0.9
93;Pensioenfondsen;2002;276.8;1.6;135.7;136.3;1.2;1.9
94;Pensioenfondsen;2003;325.3;0.7;172.3;149.4;1.0;1.9
95;Pensioenfondsen;2004;388.9;0.9;200.6;181.1;0.9;5.4
96;Pensioenfondsen;2005 1e kwartaal;410.8;0.9;222.1;180.5;0.9;6.4
97;Pensioenfondsen;2005 2e kwartaal;447.3;0.9;243.3;198.0;0.9;4.1
98;Pensioenfondsen;2005 3e kwartaal;479.0;0.8;262.2;208.7;0.7;6.6
99;Pensioenfondsen;2005 4e kwartaal;497.6;0.8;272.4;216.4;0.7;7.2
100;Pensioenfondsen;2005;497.6;0.8;272.4;216.4;0.7;7.2
101;Pensioenfondsen;2006 1e kwartaal;522.0;0.8;280.3;220.5;1.0;19.4
102;Pensioenfondsen;2006 2e kwartaal;515.9;0.9;263.7;226.9;0.8;23.6
103;Pensioenfondsen;2006 3e kwartaal;546.2;0.9;279.3;240.6;0.9;24.5
104;Pensioenfondsen;2006 4e kwartaal;568.8;0.9;296.8;243.7;1.0;26.4
105;Pensioenfondsen;2006;568.8;0.9;296.8;243.7;1.0;26.4
106;Pensioenfondsen;2007 1e kwartaal;579.5;0.4;305.1;247.2;1.8;25.0
107;Pensioenfondsen;2007 2e kwartaal;591.5;0.4;322.7;245.5;2.0;20.8
108;Pensioenfondsen;2007 3e kwartaal;591.9;0.4;325.8;244.3;2.4;19.0
109;Pensioenfondsen;2007 4e kwartaal;586.5;0.4;317.5;247.8;2.9;17.9
110;Pensioenfondsen;2007;586.5;0.4;317.5;247.8;2.9;17.9
111;Pensioenfondsen;2008 1e kwartaal;558.6;0.4;289.3;233.8;6.3;28.8
112;Pensioenfondsen;2008 2e kwartaal;551.9;0.2;293.7;236.1;2.6;19.2
113;Pensioenfondsen;2008 3e kwartaal;545.9;0.2;272.9;255.6;2.8;14.4
114;Pensioenfondsen;2008 4e kwartaal;474.6;0.2;211.5;231.3;3.9;27.7
115;Pensioenfondsen;2008;474.6;0.2;211.5;231.3;3.9;27.7
116;Pensioenfondsen;2009 1e kwartaal;477.9;0.2;207.8;246.2;3.6;20.1
117;Pensioenfondsen;2009 2e kwartaal;428.2;0.2;222.5;181.3;3.6;20.5
118;Pensioenfondsen;2009 3e kwartaal;361.6;0.2;168.9;168.6;3.2;20.7
119;Pensioenfondsen;2009 4e kwartaal;366.7;0.2;177.7;167.4;3.5;17.9
120;Pensioenfondsen;2009;366.7;0.2;177.7;167.4;3.5;17.9
121;Pensioenfondsen;2010 1e kwartaal;361.0;0.2;176.7;166.0;3.1;15.1
122;Pensioenfondsen;2010 2e kwartaal;362.8;0.2;179.0;168.2;3.3;12.1
123;Pensioenfondsen;2010 3e kwartaal;374.1;0.2;182.5;170.1;3.0;18.3
124;Pensioenfondsen;2010 4e kwartaal;372.3;0.2;195.0;162.5;2.9;11.8
125;Pensioenfondsen;2010;372.3;0.2;195.0;162.5;2.9;11.8
126;Pensioenfondsen;2011 1e kwartaal;362.5;0.2;182.6;164.8;2.6;12.3
127;Pensioenfondsen;2011 2e kwartaal;361.9;0.2;184.1;163.1;2.6;11.9
128;Pensioenfondsen;2011 3e kwartaal;347.5;0.2;171.0;162.6;2.1;11.6
129;Pensioenfondsen;2011 4e kwartaal;360.4;0.2;180.1;168.5;2.3;9.4
130;Pensioenfondsen;2011;360.4;0.2;180.1;168.5;2.3;9.4
131;Pensioenfondsen;2012 1e kwartaal;378.3;0.2;189.9;175.1;2.2;10.8
132;Pensioenfondsen;2012 2e kwartaal;392.7;0.2;193.8;183.5;2.3;12.9
133;Pensioenfondsen;2012 3e kwartaal;407.2;0.2;202.1;190.9;2.4;11.5
134;Pensioenfondsen;2012 4e kwartaal;417.2;0.2;206.1;197.6;2.3;11.0
135;Pensioenfondsen;2012;417.2;0.2;206.1;197.6;2.3;11.0
136;Pensioenfondsen;2013 1e kwartaal;431.1;0.2;217.0;200.0;2.4;11.5
137;Pensioenfondsen;2013 2e kwartaal;419.0;0.2;208.7;197.9;2.2;10.1
138;Pensioenfondsen;2013 3e kwartaal;421.6;0.2;210.5;199.4;2.2;9.3
139;Pensioenfondsen;2013 4e kwartaal;430.0;0.2;216.0;201.6;1.8;10.3
140;Pensioenfondsen;2013;430.0;0.2;216.0;201.6;1.8;10.3
141;Pensioenfondsen;2014 1e kwartaal;445.9;0.2;221.1;213.7;1.7;9.1
142;Verzekeraars;1980;0.9;0.1;0.1;0.1;0.4;0.0
143;Verzekeraars;1981;1.0;0.1;0.2;0.2;0.4;0.0
144;Verzekeraars;1982;1.4;0.1;0.2;0.4;0.7;0.0
145;Verzekeraars;1983;2.3;0.1;0.7;0.6;0.8;0.1
146;Verzekeraars;1984;3.0;0.1;0.9;1.0;1.0;0.0
147;Verzekeraars;1985;4.0;0.1;1.3;1.2;1.3;0.1
148;Verzekeraars;1986;4.7;0.1;1.4;1.6;1.4;0.1
149;Verzekeraars;1987;4.8;0.1;1.4;1.8;1.4;0.1
150;Verzekeraars;1988;5.7;0.1;1.7;2.4;1.3;0.1
151;Verzekeraars;1989;5.7;0.2;2.1;2.1;1.3;0.1
152;Verzekeraars;1990;5.3;0.2;1.6;2.1;1.3;0.1
153;Verzekeraars;1991;6.5;0.3;2.1;2.5;1.4;0.1
154;Verzekeraars;1992;8.2;0.4;2.4;3.8;1.5;0.0
155;Verzekeraars;1993;12.8;0.3;4.4;6.3;1.7;0.1
156;Verzekeraars;1994;12.5;0.3;4.4;6.1;1.5;0.2
157;Verzekeraars;1995;17.6;0.3;5.9;9.5;1.9;0.1
158;Verzekeraars;1996;23.1;0.2;7.5;13.4;1.9;0.1
159;Verzekeraars;1997;32.5;0.2;11.5;18.8;1.9;0.1
160;Verzekeraars;1998;39.8;0.2;16.7;20.4;2.3;0.2
161;Verzekeraars;1999;55.8;0.2;25.1;27.0;3.3;0.3
162;Verzekeraars;2000;63.7;0.3;27.7;32.3;3.2;0.2
163;Verzekeraars;2001;75.9;0.4;24.2;48.1;3.1;0.2
164;Verzekeraars;2002;77.1;0.2;20.8;53.5;2.6;0.2
165;Verzekeraars;2003;89.3;0.1;20.5;67.0;1.6;0.1
166;Verzekeraars;2004;111.3;1.1;23.2;85.5;1.1;0.5
167;Verzekeraars;2005 1e kwartaal;121.2;1.1;25.3;93.2;1.3;0.3
168;Verzekeraars;2005 2e kwartaal;129.6;1.2;29.5;97.1;1.3;0.5
169;Verzekeraars;2005 3e kwartaal;130.5;1.2;30.7;96.8;1.4;0.4
170;Verzekeraars;2005 4e kwartaal;129.3;1.3;30.8;95.9;0.8;0.4
171;Verzekeraars;2005;129.3;1.3;30.8;95.9;0.8;0.4
172;Verzekeraars;2006 1e kwartaal;128.7;1.6;31.8;93.9;1.0;0.5
173;Verzekeraars;2006 2e kwartaal;124.2;1.6;28.4;92.8;1.0;0.5
174;Verzekeraars;2006 3e kwartaal;131.5;1.6;33.2;95.1;1.0;0.5
175;Verzekeraars;2006 4e kwartaal;133.8;1.7;34.6;96.3;0.8;0.4
176;Verzekeraars;2006;133.8;1.7;34.6;96.3;0.8;0.4
177;Verzekeraars;2007 1e kwartaal;141.7;1.7;38.8;100.1;0.6;0.5
178;Verzekeraars;2007 2e kwartaal;145.3;1.7;43.6;99.3;0.4;0.3
179;Verzekeraars;2007 3e kwartaal;151.9;1.7;50.1;99.5;0.3;0.3
180;Verzekeraars;2007 4e kwartaal;157.0;1.7;53.1;101.2;0.5;0.5
181;Verzekeraars;2007;157.0;1.7;53.1;101.2;0.5;0.5
182;Verzekeraars;2008 1e kwartaal;158.0;1.7;54.0;101.1;0.4;0.8
183;Verzekeraars;2008 2e kwartaal;160.8;1.7;57.6;100.4;0.4;0.7
184;Verzekeraars;2008 3e kwartaal;166.6;1.7;59.9;104.0;0.4;0.7
185;Verzekeraars;2008 4e kwartaal;166.4;1.7;56.9;106.7;0.3;0.8
186;Verzekeraars;2008;166.4;1.7;56.9;106.7;0.3;0.8
187;Verzekeraars;2009 1e kwartaal;159.8;1.7;54.2;103.2;0.3;0.5
188;Verzekeraars;2009 2e kwartaal;168.1;1.7;59.8;105.2;0.9;0.5
189;Verzekeraars;2009 3e kwartaal;178.5;1.7;62.3;113.3;0.8;0.5
190;Verzekeraars;2009 4e kwartaal;178.2;1.7;64.5;110.9;0.6;0.4
191;Verzekeraars;2009;178.2;1.7;64.5;110.9;0.6;0.4
192;Verzekeraars;2010 1e kwartaal;185.0;1.7;65.2;116.1;0.8;1.2
193;Verzekeraars;2010 2e kwartaal;181.6;1.7;64.6;113.3;0.9;1.1
194;Verzekeraars;2010 3e kwartaal;189.5;1.7;65.7;119.9;0.9;1.2
195;Verzekeraars;2010 4e kwartaal;183.5;1.7;67.0;112.5;1.1;1.2
196;Verzekeraars;2010;183.5;1.7;67.0;112.5;1.1;1.2
197;Verzekeraars;2011 1e kwartaal;183.1;1.7;67.5;110.9;1.2;1.8
198;Verzekeraars;2011 2e kwartaal;180.1;1.7;64.8;110.1;1.2;2.3
199;Verzekeraars;2011 3e kwartaal;179.6;1.7;61.5;113.1;1.2;2.1
200;Verzekeraars;2011 4e kwartaal;178.2;1.7;64.0;109.1;1.1;2.2
201;Verzekeraars;2011;178.2;1.7;64.0;109.1;1.1;2.2
202;Verzekeraars;2012 1e kwartaal;186.0;1.7;66.0;114.4;1.3;2.6
203;Verzekeraars;2012 2e kwartaal;189.3;1.7;64.7;118.5;1.2;3.1
204;Verzekeraars;2012 3e kwartaal;196.3;1.7;65.5;124.9;1.2;2.9
205;Verzekeraars;2012 4e kwartaal;201.4;1.7;64.7;131.0;1.2;2.9
206;Verzekeraars;2012;201.4;1.7;64.7;131.0;1.2;2.9
207;Verzekeraars;2013 1e kwartaal;203.7;1.7;67.0;130.4;1.2;3.3
208;Verzekeraars;2013 2e kwartaal;202.2;1.7;66.1;129.3;1.4;3.7
209;Verzekeraars;2013 3e kwartaal;194.1;1.7;68.1;119.2;1.4;3.7
210;Verzekeraars;2013 4e kwartaal;189.2;1.7;66.6;116.2;1.1;3.5
211;Verzekeraars;2013;189.2;1.7;66.6;116.2;1.1;3.5
212;Verzekeraars;2014 1e kwartaal;191.9;1.7;66.2;118.8;1.2;4.0
213;Beleggingsinstellingen;1980;4.8;0.9;3.0;0.6;0.0;0.2
214;Beleggingsinstellingen;1981;5.2;1.0;3.3;0.6;0.0;0.3
215;Beleggingsinstellingen;1982;6.2;1.1;3.0;1.3;0.0;0.7
216;Beleggingsinstellingen;1983;8.3;1.3;4.5;1.6;0.1;0.8
217;Beleggingsinstellingen;1984;9.2;1.6;4.7;1.6;0.2;1.1
218;Beleggingsinstellingen;1985;10.3;1.6;5.1;2.1;0.3;1.2
219;Beleggingsinstellingen;1986;11.7;2.1;6.3;2.3;0.2;0.8
220;Beleggingsinstellingen;1987;12.6;2.7;5.7;2.3;0.1;1.8
221;Beleggingsinstellingen;1988;15.9;3.6;7.3;2.4;0.1;2.5
222;Beleggingsinstellingen;1989;17.9;5.0;9.0;3.2;0.1;0.6
223;Beleggingsinstellingen;1990;15.4;5.2;7.0;3.0;0.0;0.2
224;Beleggingsinstellingen;1991;15.9;4.3;8.4;3.1;0.0;0.0
225;Beleggingsinstellingen;1992;14.6;3.7;7.9;2.0;0.0;1.0
226;Beleggingsinstellingen;1993;23.2;3.7;12.1;5.0;0.0;2.4
227;Beleggingsinstellingen;1994;20.7;4.3;11.8;3.8;0.0;0.8
228;Beleggingsinstellingen;1995;20.5;4.7;11.7;3.8;0.0;0.3
229;Beleggingsinstellingen;1996;25.8;6.3;13.6;5.4;0.1;0.3
230;Beleggingsinstellingen;1997;31.3;8.3;18.1;4.2;0.3;0.5
231;Beleggingsinstellingen;1998;38.3;9.8;23.2;4.6;0.2;0.5
232;Beleggingsinstellingen;1999;60.8;11.9;41.3;5.8;0.2;1.5
233;Beleggingsinstellingen;2000;72.1;18.1;44.4;7.5;0.3;1.9
234;Beleggingsinstellingen;2001;70.5;20.2;37.8;10.8;0.2;1.5
235;Beleggingsinstellingen;2002;52.9;14.0;25.3;12.2;0.2;1.2
236;Beleggingsinstellingen;2003;58.4;14.0;28.2;14.4;0.2;1.6
237;Beleggingsinstellingen;2004;55.9;11.6;27.8;15.3;0.0;1.2
238;Beleggingsinstellingen;2005 1e kwartaal;58.6;12.2;30.9;14.6;0.0;0.9
239;Beleggingsinstellingen;2005 2e kwartaal;58.8;12.8;30.5;14.7;0.0;0.8
240;Beleggingsinstellingen;2005 3e kwartaal;58.4;13.4;31.1;13.3;0.0;0.6
241;Beleggingsinstellingen;2005 4e kwartaal;62.0;14.2;33.6;13.4;0.0;0.8
242;Beleggingsinstellingen;2005;62.0;14.2;33.6;13.4;0.0;0.8
243;Beleggingsinstellingen;2006 1e kwartaal;61.7;14.8;33.1;12.5;0.0;1.2
244;Beleggingsinstellingen;2006 2e kwartaal;63.9;15.4;36.0;11.8;0.0;0.7
245;Beleggingsinstellingen;2006 3e kwartaal;65.2;16.0;36.2;12.4;0.0;0.5
246;Beleggingsinstellingen;2006 4e kwartaal;67.7;16.7;38.2;12.3;0.0;0.5
247;Beleggingsinstellingen;2006;67.7;16.7;38.2;12.3;0.0;0.5
248;Beleggingsinstellingen;2007 1e kwartaal;65.6;16.9;35.1;12.8;0.0;0.8
249;Beleggingsinstellingen;2007 2e kwartaal;54.0;10.0;30.7;12.7;0.0;0.5
250;Beleggingsinstellingen;2007 3e kwartaal;53.0;10.4;32.3;10.1;0.0;0.1
251;Beleggingsinstellingen;2007 4e kwartaal;62.5;11.7;39.3;10.9;0.0;0.6
252;Beleggingsinstellingen;2007;62.5;11.7;39.3;10.9;0.0;0.6
253;Beleggingsinstellingen;2008 1e kwartaal;56.4;11.8;32.5;11.0;0.0;1.2
254;Beleggingsinstellingen;2008 2e kwartaal;56.6;11.9;32.1;10.4;0.0;2.1
255;Beleggingsinstellingen;2008 3e kwartaal;51.7;11.9;26.8;11.0;0.0;1.9
256;Beleggingsinstellingen;2008 4e kwartaal;46.0;12.0;20.8;11.4;0.0;1.8
257;Beleggingsinstellingen;2008;46.0;12.0;20.8;11.4;0.0;1.8
258;Beleggingsinstellingen;2009 1e kwartaal;46.8;11.9;23.0;9.5;0.0;2.3
259;Beleggingsinstellingen;2009 2e kwartaal;132.1;11.9;31.4;73.4;0.0;15.4
260;Beleggingsinstellingen;2009 3e kwartaal;235.6;11.8;123.2;94.2;0.2;6.2
261;Beleggingsinstellingen;2009 4e kwartaal;255.8;11.7;140.5;95.0;0.0;8.5
262;Beleggingsinstellingen;2009;255.8;11.7;140.5;95.0;0.0;8.5
263;Beleggingsinstellingen;2010 1e kwartaal;290.9;12.1;169.1;99.9;0.8;9.0
264;Beleggingsinstellingen;2010 2e kwartaal;276.1;12.1;156.0;96.8;1.2;10.1
265;Beleggingsinstellingen;2010 3e kwartaal;283.0;12.2;162.0;98.4;1.1;9.3
266;Beleggingsinstellingen;2010 4e kwartaal;295.2;14.2;179.3;92.1;2.2;7.4
267;Beleggingsinstellingen;2010;295.2;14.2;179.3;92.1;2.2;7.4
268;Beleggingsinstellingen;2011 1e kwartaal;293.5;14.1;176.6;94.6;2.0;6.2
269;Beleggingsinstellingen;2011 2e kwartaal;300.4;14.0;179.9;98.9;1.7;5.9
270;Beleggingsinstellingen;2011 3e kwartaal;293.6;14.0;171.2;100.5;2.1;5.8
271;Beleggingsinstellingen;2011 4e kwartaal;310.4;13.9;187.8;102.2;1.9;4.5
272;Beleggingsinstellingen;2011;310.4;13.9;187.8;102.2;1.9;4.5
273;Beleggingsinstellingen;2012 1e kwartaal;327.7;13.8;198.6;108.4;2.1;4.8
274;Beleggingsinstellingen;2012 2e kwartaal;329.2;13.6;200.2;109.3;2.1;4.0
275;Beleggingsinstellingen;2012 3e kwartaal;346.8;13.5;209.7;117.3;3.1;3.2
276;Beleggingsinstellingen;2012 4e kwartaal;354.9;13.3;212.2;123.7;3.3;2.4
277;Beleggingsinstellingen;2012;354.9;13.3;212.2;123.7;3.3;2.4
278;Beleggingsinstellingen;2013 1e kwartaal;375.2;13.1;231.9;123.3;3.7;3.2
279;Beleggingsinstellingen;2013 2e kwartaal;365.5;11.4;221.3;125.2;3.8;3.8
280;Beleggingsinstellingen;2013 3e kwartaal;383.8;11.6;227.5;137.4;4.1;3.2
281;Beleggingsinstellingen;2013 4e kwartaal;395.4;13.3;234.8;140.4;4.1;2.9
282;Beleggingsinstellingen;2013;395.4;13.3;234.8;140.4;4.1;2.9
283;Beleggingsinstellingen;2014 1e kwartaal;415.1;13.3;250.3;143.2;5.0;3.4
