ID;Hoofdfuncties;Perioden;TotaalAankopen_1;TotaalAankoopVanGoederenEnDiensten_2;AankoopVanDuurzameMilitaireGoederen_3;GrondWegEnWaterbouwkundigeWerken_4;OverigeGoederenEnDienstenBijDerden_5;OverigeGoederenBijAndereOverheden_6;TotaalInvesteringen_7;TotaalNieuweInvesteringen_8;GrondWegEnWaterbouwkundigeWerken_9;NieuwbouwVanGebouwen_10;AankoopVervoermiddelen_11;AankoopMachinesEnInstallaties_12;AankoopComputerprogrammaS_13;OverigeNieuweInvesteringsgoederen_14;TotaalOverigeInvesteringen_15;AankoopGebruikteInvesteringsgoederen_16;AankoopVanKostbaarheden_17;AankoopGrond_18;TotaalRenteEnPacht_19;Rente_20;Pacht_21;TotaalOverdrachten_22;TotaalSubsidiesEnInkomensoverdrachten_23;TotaalInkomensoverdrachtenBedrijven_24;Subsidies_25;OverigeInkomensoverdrachten_26;TotaalInkomensoverdrachtenAanGezinnen_27;UitkeringenSocialeVoorzieningInGeld_28;SocialeOverdrachtenInNatura_29;OverigeInkomensoverdrachten_30;InstellingenZonderWinstoogmerkgezinnen_31;TotaalOverdrachtenCentraleOverheid_32;WetenschappelijkOnderwijs_33;PubliekrechtelijkeBedrijfsorganisaties_34;InstellingZonderWinstCentraleoverheid_35;TotaalInkomensoverdrachtLagereoverheid_36;Provincies_37;Waterschappen_38;GemeenschappelijkeRegelingen_39;Gemeenten_40;BijzonderOnderwijs_41;InstellingZonderWinstLagereOverheid_42;SocialeVerzekeringsinstellingen_43;InkomensoverdrachtenAanHetBuitenland_44;TotaalKapitaaloverdrachten_45;KapitaaloverdrachtenAanBedrijven_46;KapitaaloverdrachtenAanGezinnen_47;InstellingenZonderWinstVanGezinnen_48;TotaalOverdrachtenCentraleOverheid_49;WetenschappelijkOnderwijs_50;PubliekrechtelijkeBedrijfsorganisaties_51;InstellingZonderWinstCentraleoverheid_52;TotaalKapitaaloverdrachtLagereoverheid_53;Provincies_54;Waterschappen_55;GemeenschappelijkeRegelingen_56;Gemeenten_57;BijzonderOnderwijs_58;InstellingenZonderWinstLagereoverheid_59;SocialeVerzekeringsinstellingen_60;KapitaaloverdrachtenAanHetBuitenland_61;TotaalVerkopen_62;TotaalVerkoopVanGoederenEnDiensten_63;VerkoopDuurzameMilitaireGoederen_64;VerkoopGoederenEnDienstenAanDerden_65;VerkoopGoederenAanAndereOverheden_66;VerkoopVanInvesteringsgoederen_67;VerkoopVanGrond_68;TotaalRentePachtVermogensresultaten_69;Rente_70;Winstuitkeringen_71;Pacht_72;Concessies_73;TotaalOverdrachten_74;TotaalInkomensoverdrachten_75;InkomensoverdrachtenVanNietOverheden_76;InkomensoverdrachtenVanOverheden_77;TotaalKapitaaloverdrachten_78;KapitaaloverdrachtenVanNietOverheden_79;KapitaaloverdrachtenVanOverheden_80
10;Algemeen bestuur;1998;1399;1134;0;1;1131;3;251;249;0;108;8;104;29;0;2;2;0;14;223;223;0;4364;3884;33;33;0;43;43;0;0;60;531;1;0;530;68;0;0;0;0;68;0;0;3149;481;99;0;0;27;0;0;27;0;0;0;0;0;0;0;0;355;735;398;0;394;4;122;215;560;321;158;64;17;188;184;180;4;4;4;0
11;Algemeen bestuur;1999;1376;1121;0;3;1116;3;242;236;1;38;9;134;23;32;5;5;0;13;255;255;0;4711;4171;36;32;4;177;30;0;147;66;553;1;0;552;77;0;0;0;4;72;0;9;3254;540;94;0;0;8;0;0;8;0;0;0;0;0;0;0;0;437;795;328;0;321;7;165;302;588;402;106;63;17;202;193;188;5;9;9;0
12;Algemeen bestuur;2000;1703;1334;0;3;1331;0;351;311;1;36;11;191;30;42;40;40;0;18;271;271;0;5219;4768;36;32;4;29;29;0;0;234;573;1;0;572;85;0;0;0;7;78;0;-9;3821;451;68;0;0;21;0;0;21;0;0;0;0;0;0;0;0;361;748;458;-3;416;45;128;161;674;469;135;46;23;231;227;220;7;4;4;0
13;Algemeen bestuur;2001;1784;1443;0;3;1439;0;322;289;1;29;11;166;45;37;33;33;0;19;518;518;0;5415;4824;54;49;5;79;27;0;52;60;594;1;0;593;24;0;0;0;22;2;0;0;4014;591;69;1;0;18;0;0;18;0;0;0;0;0;0;0;0;504;764;630;3;619;8;77;57;915;704;135;45;32;331;286;238;48;44;44;0
14;Algemeen bestuur;2002;1910;1451;0;3;1448;0;440;395;2;37;10;162;108;76;45;45;0;20;525;525;0;5772;5269;36;31;5;25;25;0;0;73;615;1;0;614;37;0;0;0;36;1;0;0;4483;503;97;0;0;2;0;0;2;0;0;0;0;0;0;0;0;404;647;568;-4;539;34;60;18;838;675;93;48;23;288;284;245;40;4;4;0
15;Algemeen bestuur;2003;1909;1398;0;3;1395;0;488;443;3;39;7;130;65;199;45;45;0;22;476;476;0;5857;5293;37;31;5;24;24;0;0;63;670;0;0;670;17;0;0;0;17;1;0;0;4482;564;95;0;0;9;0;0;9;0;0;0;0;0;0;0;0;460;898;804;0;678;126;54;40;804;647;88;49;20;291;287;245;41;5;5;0
16;Algemeen bestuur;2004;1751;1327;0;4;1323;0;415;373;0;37;7;106;51;172;42;42;0;10;552;552;0;6942;6365;35;30;5;21;21;0;0;104;815;0;0;815;21;0;0;0;21;0;0;0;5369;577;104;0;0;7;0;0;7;0;0;0;0;0;0;0;0;466;1061;815;0;690;125;46;200;1069;739;270;43;17;353;351;308;43;2;2;0
17;Algemeen bestuur;2005;1782;1493;0;3;1490;0;286;254;1;37;9;126;83;-2;32;32;0;3;489;489;0;7915;7054;34;29;5;17;17;0;0;90;815;0;0;815;21;0;0;0;20;0;0;0;6077;861;53;0;0;24;0;0;24;0;0;0;0;0;0;0;0;783;1071;717;0;713;4;61;294;947;685;206;38;17;339;337;295;42;2;2;0
18;Landsverdediging;1997;2715;1982;669;0;1306;8;733;728;33;203;233;229;17;13;5;5;0;0;16;0;16;308;308;66;52;14;170;170;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;304;243;129;80;34;61;0;5;5;0;0;0;30;30;34;-4;1;1;0
19;Landsverdediging;1998;2617;1931;520;0;1411;1;686;686;25;186;209;135;130;0;0;0;0;0;15;0;15;310;310;56;51;5;193;193;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;538;485;271;105;109;53;0;3;3;0;0;0;48;48;12;36;0;0;0
20;Landsverdediging;1999;3289;2492;1056;0;1436;1;797;797;20;210;118;258;82;107;0;0;0;0;12;0;12;137;137;51;46;4;0;0;0;0;0;15;0;0;15;0;0;0;0;0;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;329;261;34;109;118;68;0;10;10;0;0;0;46;46;9;37;0;0;0
21;Landsverdediging;2000;3052;2362;741;0;1621;0;690;690;29;218;63;202;67;112;0;0;0;0;14;0;14;133;104;51;48;3;0;0;0;0;0;11;0;0;11;0;0;0;0;0;0;0;0;41;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;282;228;1;115;111;54;0;13;13;0;0;0;48;48;10;38;0;0;0
22;Landsverdediging;2001;3280;2577;937;0;1639;1;703;703;48;241;72;146;97;99;0;0;0;0;18;0;18;228;142;55;50;4;-1;-1;0;0;0;12;0;0;12;0;0;0;0;0;0;0;0;76;86;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;268;226;0;128;98;41;0;6;6;0;0;0;98;98;60;38;0;0;0
23;Landsverdediging;2002;3053;2546;854;0;1691;0;507;507;25;175;54;180;69;4;0;0;0;0;16;0;16;181;143;63;55;8;0;0;0;0;0;12;0;0;12;0;0;0;0;0;0;0;0;68;38;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;145;144;3;131;10;1;0;2;2;0;0;0;48;48;8;40;0;0;0
24;Landsverdediging;2003;3072;2618;848;0;1770;0;454;454;24;145;60;173;43;10;0;0;0;0;16;0;16;167;121;64;49;14;0;0;0;0;0;12;0;0;12;0;0;0;0;0;0;0;0;46;46;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;149;142;5;119;17;7;0;2;2;0;0;0;52;52;8;45;0;0;0
25;Landsverdediging;2004;3047;2545;858;0;1688;0;501;501;12;88;109;209;55;28;0;0;0;0;16;1;15;184;126;53;49;4;0;0;0;0;0;19;0;0;19;0;0;0;0;0;0;0;0;54;58;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;216;209;4;205;0;8;0;4;4;0;0;0;45;45;6;39;0;0;0
26;Landsverdediging;2005;3094;2417;631;0;1785;0;678;678;23;128;143;309;55;19;0;0;0;0;22;3;19;180;130;57;49;8;0;0;0;0;0;17;0;0;17;0;0;0;0;0;0;0;0;56;50;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;341;294;124;170;0;47;0;1;1;0;0;0;38;38;3;35;0;0;0
27;Openbare orde en veiligheid;1997;869;592;0;0;593;-1;273;272;0;136;13;99;20;4;2;1;1;3;11;11;0;2483;2467;62;45;18;199;0;185;14;0;11;0;0;11;2194;1;0;15;3;56;2119;0;1;17;0;0;0;0;0;0;0;17;1;0;0;0;0;16;0;0;195;195;0;192;3;0;0;1;1;0;0;0;328;322;256;65;6;6;0
28;Openbare orde en veiligheid;1998;1105;714;0;0;714;0;339;324;0;194;14;83;28;5;15;14;1;52;3;2;0;2722;2673;67;51;16;207;5;187;15;0;9;0;0;9;2395;1;0;19;3;59;2313;-6;0;49;36;0;0;0;0;0;0;13;1;0;0;0;0;12;0;0;192;192;0;175;16;0;0;0;0;0;0;0;390;384;297;86;6;6;0
29;Openbare orde en veiligheid;1999;1083;761;1;0;760;0;273;256;0;9;14;85;31;116;17;17;0;49;2;2;0;3138;3125;286;269;16;215;5;193;17;0;12;0;0;12;2611;1;0;24;3;71;2512;0;1;13;-6;0;0;0;0;0;0;19;1;0;0;0;0;17;0;0;227;221;0;196;25;6;0;0;0;0;0;0;464;455;347;109;9;9;0
30;Openbare orde en veiligheid;2000;1308;913;0;0;913;0;330;307;0;14;29;92;30;142;23;23;0;65;0;0;0;3236;3209;81;68;13;251;8;223;21;0;17;0;0;17;2859;1;0;35;24;135;2664;0;1;27;9;0;0;0;0;0;0;17;1;0;0;11;0;6;0;0;254;251;0;225;26;3;0;0;0;0;0;0;554;531;413;119;22;22;0
31;Openbare orde en veiligheid;2001;1562;1132;0;0;1132;0;376;357;0;15;35;147;39;121;19;19;0;54;0;0;0;3618;3599;76;67;9;28;10;-4;22;0;24;0;0;24;3469;2;0;42;29;112;3285;0;1;20;4;0;0;0;0;0;0;16;1;0;0;10;0;6;0;0;313;300;0;273;28;12;0;0;0;0;0;0;634;627;496;131;7;7;0
32;Openbare orde en veiligheid;2002;1935;1347;1;0;1347;0;541;505;0;79;26;125;17;258;35;35;0;47;0;0;0;3888;3862;90;82;8;24;-1;0;25;0;30;0;0;30;3716;2;0;45;96;125;3448;0;3;25;4;0;0;0;0;0;0;22;0;0;0;0;0;22;0;0;312;302;0;263;38;10;0;0;0;0;0;0;664;661;520;141;3;3;0
33;Openbare orde en veiligheid;2003;1886;1380;0;0;1380;0;474;441;0;42;19;113;14;253;33;33;0;31;0;0;0;4154;4145;95;88;7;25;0;0;25;0;31;0;0;31;3990;0;0;61;49;101;3779;0;3;10;2;0;0;0;0;0;0;8;0;0;0;0;0;8;0;0;336;332;0;277;55;4;0;0;0;0;0;0;752;724;581;143;28;28;0
34;Openbare orde en veiligheid;2004;1907;1467;0;0;1466;0;418;393;0;25;21;142;17;188;25;25;0;23;0;0;0;4321;4313;108;96;12;27;0;0;27;0;28;0;0;28;4147;-1;0;69;37;112;3930;0;3;8;2;0;0;0;0;0;0;6;0;0;0;0;0;6;0;0;352;294;0;239;55;58;0;0;0;0;0;0;791;763;618;145;28;28;0
35;Openbare orde en veiligheid;2005;1519;1360;0;0;1360;0;159;159;0;16;14;92;11;25;0;0;0;0;0;0;0;4354;4347;94;89;5;27;0;0;27;0;40;0;0;40;4180;0;0;76;29;117;3959;0;7;7;0;0;0;0;0;0;0;7;0;0;0;0;0;7;0;0;348;329;0;276;53;19;0;0;0;0;0;0;830;791;648;143;39;39;0
36;Onderwijs;1997;182;162;0;0;162;0;21;20;0;17;0;4;0;0;0;0;0;0;0;0;0;15262;14772;7;7;0;1822;1093;735;-6;13;2662;2066;0;596;10201;0;0;50;1950;8034;166;0;66;490;0;0;0;192;165;0;27;296;0;0;0;65;231;0;0;2;342;342;0;336;5;0;0;0;0;0;0;0;20;20;20;0;0;0;0
37;Onderwijs;1998;187;159;0;0;159;0;28;28;0;21;0;7;0;0;0;0;0;0;2;1;0;16086;15581;92;92;0;1677;915;762;0;12;2696;2122;0;574;11039;0;0;38;2132;8708;161;0;65;505;4;0;0;196;168;0;28;303;0;0;0;72;231;0;0;2;285;285;0;279;5;0;0;0;0;0;0;0;7;7;7;0;0;0;0
38;Onderwijs;1999;185;167;0;0;167;0;18;17;0;0;0;7;0;9;2;2;0;0;1;1;0;17061;16552;94;94;0;1725;994;730;0;16;2869;2242;0;627;11783;0;0;43;2293;9276;171;0;66;509;0;0;0;197;170;0;27;310;1;0;0;73;236;0;0;2;352;352;0;347;6;0;0;0;0;0;0;0;24;24;24;0;0;0;0
39;Onderwijs;2000;185;165;0;0;165;0;20;18;0;0;0;6;0;12;2;2;0;0;0;0;0;18551;17991;94;94;0;1693;984;710;0;14;3052;2392;0;660;13065;0;0;46;2968;9883;168;0;72;559;0;0;0;220;174;0;46;338;0;0;0;81;257;0;0;2;366;366;0;361;6;0;0;0;0;0;0;0;17;17;17;0;0;0;0
40;Onderwijs;2001;191;174;0;0;174;0;18;16;0;0;0;5;0;10;2;2;0;0;0;0;0;20240;19395;111;111;0;1354;822;532;0;29;3182;2484;0;698;14646;0;0;50;3716;10829;51;0;73;845;0;382;0;180;116;0;64;281;0;0;0;87;194;0;0;2;379;378;0;374;4;1;0;65;65;0;0;0;9;9;9;0;0;0;0
41;Onderwijs;2002;214;179;0;0;179;0;35;31;0;0;0;9;0;23;3;3;0;0;0;0;0;21803;20443;115;115;0;1216;491;724;0;31;3192;2485;0;707;15814;0;0;53;3992;11713;56;0;76;1359;0;727;0;263;207;0;56;367;0;0;0;87;280;0;0;3;402;401;0;401;0;1;0;82;82;0;0;0;9;9;9;0;0;0;0
42;Onderwijs;2003;159;126;0;0;126;0;29;26;0;0;0;-1;0;26;4;4;0;3;0;0;0;22846;21797;111;111;0;1587;799;788;0;39;3341;2534;0;807;16631;0;0;168;4213;12201;49;0;87;1049;0;518;0;124;124;0;0;407;0;0;0;0;407;0;0;0;421;419;0;419;0;2;0;90;90;0;0;0;18;18;18;0;0;0;0
43;Onderwijs;2004;120;96;0;0;96;0;22;19;0;0;0;1;0;18;3;3;0;3;0;0;0;23763;22595;114;114;0;1717;899;818;0;46;3435;2629;0;805;17201;0;0;178;3762;13197;65;0;82;1168;0;624;0;129;129;0;0;416;0;0;0;0;416;0;0;0;458;458;0;458;0;0;0;91;91;0;0;0;1;1;1;0;0;0;0
44;Onderwijs;2005;136;133;0;0;133;0;3;3;0;0;0;3;0;0;0;0;0;0;0;0;0;24821;23489;116;116;0;1533;842;692;0;78;3666;2736;0;930;18019;0;0;178;3738;14043;60;0;77;1333;0;781;0;134;134;0;0;418;0;0;0;0;418;0;0;0;224;222;0;222;0;2;0;95;95;0;0;0;2;2;2;0;0;0;0
45;Volksgezondheid;1997;89;81;0;0;81;0;9;9;0;2;0;6;1;0;0;0;0;0;0;0;0;3084;3083;13;9;4;0;0;0;0;16;117;0;0;117;1;0;0;0;1;0;0;2936;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;38;38;0;35;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;Volksgezondheid;1998;119;102;0;0;102;0;17;17;0;2;0;13;3;0;0;0;0;0;0;0;0;3173;3172;15;20;-5;0;0;0;0;17;154;0;0;154;1;0;0;0;1;0;0;2984;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;35;35;0;32;3;0;0;0;0;0;0;0;-31;-31;0;-31;0;0;0
47;Volksgezondheid;1999;130;119;0;0;100;19;11;10;0;0;0;8;2;1;0;0;0;0;0;0;0;3286;3231;1;9;-8;0;0;0;0;29;187;0;0;187;1;0;0;0;1;0;0;3012;0;55;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;35;35;0;30;6;0;0;0;0;0;0;0;2;0;0;0;2;2;0
48;Volksgezondheid;2000;136;121;0;0;100;21;15;15;0;0;1;11;2;1;0;0;0;0;0;0;0;3500;3500;32;29;2;0;0;0;0;37;286;0;0;286;23;0;0;0;23;0;0;3122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;36;0;29;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;Volksgezondheid;2001;123;110;0;0;103;7;14;13;0;0;1;10;3;1;0;0;0;0;0;0;0;5337;5337;28;19;9;0;0;0;0;49;375;0;0;375;25;0;0;0;25;0;0;4861;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;45;0;39;6;0;0;0;0;0;0;0;2;2;1;1;0;0;0
50;Volksgezondheid;2002;138;123;0;0;115;8;15;15;0;0;1;10;3;2;0;0;0;0;0;0;0;6315;6315;107;67;41;0;0;0;0;55;393;0;0;393;91;0;0;36;55;0;0;5668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;48;0;43;5;0;0;0;0;0;0;0;9;9;5;5;0;0;0
51;Volksgezondheid;2003;167;144;0;0;140;4;22;22;0;0;0;15;3;3;0;0;0;0;0;0;0;7534;7534;32;32;0;28;28;0;0;47;394;0;0;394;210;0;0;4;206;0;0;6823;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;55;0;52;3;0;0;3;0;3;0;0;7;7;6;1;0;0;0
52;Volksgezondheid;2004;171;158;0;0;129;28;13;13;0;0;0;10;1;2;0;0;0;0;0;0;0;9078;9078;53;59;-6;0;0;0;0;46;364;0;0;364;182;0;0;7;176;0;0;8433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;71;0;65;6;0;0;0;0;0;0;0;7;7;7;0;0;0;0
53;Volksgezondheid;2005;252;241;0;0;234;7;12;12;0;0;0;10;1;0;0;0;0;0;0;0;0;8717;8694;34;66;-32;0;0;0;0;25;217;0;0;217;218;0;0;0;209;0;10;8200;0;23;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128;128;0;119;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;Sociale voorzieningen;1997;371;346;0;0;237;109;26;26;0;2;0;10;14;0;0;0;0;0;7;7;0;15512;14516;13;13;0;4670;3485;1185;0;10;30;0;0;30;9050;344;0;1100;5700;0;1906;717;26;996;2;15;0;0;0;0;0;26;0;0;0;0;0;26;953;0;21;19;0;15;4;2;0;0;0;0;0;0;326;326;8;318;0;0;0
55;Sociale voorzieningen;1998;460;416;0;0;287;128;45;45;0;6;0;18;20;0;0;0;0;0;2;2;0;15407;15384;14;14;0;5876;4512;1364;0;16;13;0;0;13;9272;347;0;1148;5481;0;2297;168;25;23;0;12;0;0;0;0;0;11;0;0;0;0;0;11;0;0;21;19;0;16;2;2;0;1;1;0;0;0;174;174;5;169;0;0;0
56;Sociale voorzieningen;1999;516;472;0;0;327;145;44;44;0;11;0;28;5;1;0;0;0;0;2;2;0;15856;15831;22;16;5;5923;4463;1459;0;14;31;0;0;31;9643;322;0;1132;5273;0;2916;168;31;25;0;10;0;0;0;0;0;14;0;0;0;0;0;14;0;0;20;16;0;15;2;3;0;5;5;0;0;0;80;80;5;75;0;0;0
57;Sociale voorzieningen;2000;602;564;0;0;396;168;38;38;0;2;0;30;5;1;0;0;0;0;0;0;0;16152;16069;35;20;15;6047;4584;1462;0;28;43;0;0;43;9885;341;0;1161;5436;0;2947;4;26;84;0;9;0;0;0;0;0;75;0;0;0;0;0;75;0;0;21;17;0;15;2;4;0;5;5;0;0;0;77;77;6;70;0;0;0
58;Sociale voorzieningen;2001;905;846;0;0;678;168;59;59;0;2;0;50;7;1;0;0;0;0;0;0;0;17942;17895;39;18;21;6291;4782;1508;0;180;57;0;0;57;11287;460;0;1471;7066;0;2290;13;30;47;0;2;0;0;0;0;0;5;0;0;0;0;0;5;40;0;24;13;0;12;2;11;0;0;0;0;0;0;66;66;14;51;0;0;0
