ID;CaribbeanNetherlands;Periods;InboundTourismByAir_1
107;Bonaire;2020 April;0.0
108;Bonaire;2020 May;0.1
109;Bonaire;2020 June;1.1
110;Bonaire;2020 July;5.8
111;Bonaire;2020 August;5.6
112;Bonaire;2020 September;2.8
113;Bonaire;2020 October;1.7
114;Bonaire;2020 November;4.0
115;Bonaire;2020 December;7.0
116;Bonaire;2020;66.0
117;Bonaire;2021 January;3.9
118;Bonaire;2021 February;4.5
119;Bonaire;2021 March;3.3
120;Bonaire;2021 April;3.3
121;Bonaire;2021 May;5.2
122;Bonaire;2021 June;9.2
123;Bonaire;2021 July;14.0
124;Bonaire;2021 August;13.3
125;Bonaire;2021 September;10.9
126;Bonaire;2021 October;14.9
127;Bonaire;2021 November;14.2
128;Bonaire;2021 December;14.7
129;Bonaire;2021;111.3
130;Bonaire;2022 January;12.8
131;Bonaire;2022 February;13.7
132;Bonaire;2022 March;16.0
133;Bonaire;2022 April;16.6
134;Bonaire;2022 May;14.0
135;Bonaire;2022 June;12.7
136;Bonaire;2022 July;16.4
137;Bonaire;2022 August;12.1
138;Bonaire;2022 September;12.1
139;Bonaire;2022 October;14.8
140;Bonaire;2022 November;15.0
141;Bonaire;2022 December;17.0
142;Bonaire;2022;173.2
143;Bonaire;2023 January;16.3
144;Bonaire;2023 February;16.2
145;Bonaire;2023 March;16.4
146;Bonaire;2023 April;15.8
147;Bonaire;2023 May;12.5
148;Bonaire;2023 June;12.1
149;Bonaire;2023 July;14.4
150;Bonaire;2023 August;11.1
151;Bonaire;2023 September;12.3
152;Bonaire;2023 October;13.6
153;Bonaire;2023 November;14.0
154;Bonaire;2023 December;16.4
155;Bonaire;2023;171.0
156;St. Eustatius;2012 January;1.2
157;St. Eustatius;2012 February;1.0
158;St. Eustatius;2012 March;1.2
159;St. Eustatius;2012 April;1.0
160;St. Eustatius;2012 May;1.2
161;St. Eustatius;2012 June;1.1
162;St. Eustatius;2012 July;1.3
163;St. Eustatius;2012 August;1.1
164;St. Eustatius;2012 September;0.7
165;St. Eustatius;2012 October;1.1
166;St. Eustatius;2012 November;1.1
167;St. Eustatius;2012 December;1.0
168;St. Eustatius;2012;13.0
169;St. Eustatius;2013 January;1.1
170;St. Eustatius;2013 February;0.8
171;St. Eustatius;2013 March;0.9
172;St. Eustatius;2013 April;0.9
173;St. Eustatius;2013 May;1.0
174;St. Eustatius;2013 June;1.0
175;St. Eustatius;2013 July;1.1
176;St. Eustatius;2013 August;1.0
177;St. Eustatius;2013 September;0.8
178;St. Eustatius;2013 October;0.9
179;St. Eustatius;2013 November;1.0
180;St. Eustatius;2013 December;0.9
181;St. Eustatius;2013;11.2
182;St. Eustatius;2014 January;0.9
183;St. Eustatius;2014 February;0.8
184;St. Eustatius;2014 March;1.0
185;St. Eustatius;2014 April;0.9
186;St. Eustatius;2014 May;1.0
187;St. Eustatius;2014 June;1.0
188;St. Eustatius;2014 July;1.1
189;St. Eustatius;2014 August;1.0
190;St. Eustatius;2014 September;0.8
191;St. Eustatius;2014 October;1.0
192;St. Eustatius;2014 November;0.9
193;St. Eustatius;2014 December;0.9
194;St. Eustatius;2014;11.3
195;St. Eustatius;2015 January;1.0
196;St. Eustatius;2015 February;0.8
197;St. Eustatius;2015 March;1.0
198;St. Eustatius;2015 April;0.9
199;St. Eustatius;2015 May;0.9
200;St. Eustatius;2015 June;0.9
201;St. Eustatius;2015 July;1.0
202;St. Eustatius;2015 August;0.8
203;St. Eustatius;2015 September;0.8
204;St. Eustatius;2015 October;0.9
205;St. Eustatius;2015 November;0.9
206;St. Eustatius;2015 December;0.8
207;St. Eustatius;2015;10.7
208;St. Eustatius;2016 January;0.9
209;St. Eustatius;2016 February;0.9
210;St. Eustatius;2016 March;0.9
211;St. Eustatius;2016 April;0.8
212;St. Eustatius;2016 May;0.9
213;St. Eustatius;2016 June;0.9
214;St. Eustatius;2016 July;1.0
215;St. Eustatius;2016 August;1.0
216;St. Eustatius;2016 September;0.8
217;St. Eustatius;2016 October;1.0
218;St. Eustatius;2016 November;1.0
219;St. Eustatius;2016 December;0.9
220;St. Eustatius;2016;11.0
221;St. Eustatius;2017 January;1.0
222;St. Eustatius;2017 February;0.9
223;St. Eustatius;2017 March;1.0
224;St. Eustatius;2017 April;0.9
225;St. Eustatius;2017 May;0.9
226;St. Eustatius;2017 June;0.9
227;St. Eustatius;2017 July;1.1
228;St. Eustatius;2017 August;1.0
229;St. Eustatius;2017 September;0.3
230;St. Eustatius;2017 October;0.5
231;St. Eustatius;2017 November;0.8
232;St. Eustatius;2017 December;0.8
233;St. Eustatius;2017;10.3
234;St. Eustatius;2018 January;0.9
235;St. Eustatius;2018 February;0.8
236;St. Eustatius;2018 March;1.0
237;St. Eustatius;2018 April;0.9
238;St. Eustatius;2018 May;0.9
239;St. Eustatius;2018 June;0.9
240;St. Eustatius;2018 July;1.0
241;St. Eustatius;2018 August;0.9
242;St. Eustatius;2018 September;0.7
243;St. Eustatius;2018 October;0.8
244;St. Eustatius;2018 November;0.9
245;St. Eustatius;2018 December;0.8
246;St. Eustatius;2018;10.5
247;St. Eustatius;2019 January;0.9
248;St. Eustatius;2019 February;0.8
249;St. Eustatius;2019 March;0.9
250;St. Eustatius;2019 April;0.9
251;St. Eustatius;2019 May;0.9
252;St. Eustatius;2019 June;0.9
253;St. Eustatius;2019 July;1.0
254;St. Eustatius;2019 August;0.9
255;St. Eustatius;2019 September;0.7
256;St. Eustatius;2019 October;0.9
257;St. Eustatius;2019 November;0.9
258;St. Eustatius;2019 December;0.8
259;St. Eustatius;2019;10.5
260;St. Eustatius;2020 January;1.0
261;St. Eustatius;2020 February;0.8
262;St. Eustatius;2020 March;0.5
263;St. Eustatius;2020 April;0.0
264;St. Eustatius;2020 May;0.0
265;St. Eustatius;2020 June;0.1
266;St. Eustatius;2020 July;0.2
267;St. Eustatius;2020 August;0.2
268;St. Eustatius;2020 September;0.1
269;St. Eustatius;2020 October;0.1
270;St. Eustatius;2020 November;0.2
271;St. Eustatius;2020 December;0.2
272;St. Eustatius;2020;3.4
273;St. Eustatius;2021 January;0.2
274;St. Eustatius;2021 February;0.2
275;St. Eustatius;2021 March;0.2
276;St. Eustatius;2021 April;0.2
277;St. Eustatius;2021 May;0.3
278;St. Eustatius;2021 June;0.4
279;St. Eustatius;2021 July;0.4
280;St. Eustatius;2021 August;0.4
281;St. Eustatius;2021 September;0.2
282;St. Eustatius;2021 October;0.3
283;St. Eustatius;2021 November;0.4
284;St. Eustatius;2021 December;0.4
285;St. Eustatius;2021;3.6
286;St. Eustatius;2022 January;0.3
287;St. Eustatius;2022 February;0.3
288;St. Eustatius;2022 March;0.4
289;St. Eustatius;2022 April;0.4
290;St. Eustatius;2022 May;0.4
291;St. Eustatius;2022 June;0.5
292;St. Eustatius;2022 July;0.5
293;St. Eustatius;2022 August;0.6
294;St. Eustatius;2022 September;0.5
295;St. Eustatius;2022 October;0.5
296;St. Eustatius;2022 November;0.7
297;St. Eustatius;2022 December;0.5
298;St. Eustatius;2022;5.6
299;St. Eustatius;2023 January;0.5
300;St. Eustatius;2023 February;0.5
301;St. Eustatius;2023 March;0.6
302;St. Eustatius;2023 April;0.5
303;St. Eustatius;2023 May;0.5
304;St. Eustatius;2023 June;0.5
305;St. Eustatius;2023 July;0.4
306;St. Eustatius;2023 August;0.3
307;St. Eustatius;2023 September;0.3
308;St. Eustatius;2023 October;0.5
309;St. Eustatius;2023 November;0.7
310;St. Eustatius;2023 December;0.6
311;St. Eustatius;2023;5.8
312;Saba;2012 January;0.9
313;Saba;2012 February;0.8
314;Saba;2012 March;0.9
315;Saba;2012 April;0.7
316;Saba;2012 May;0.9
317;Saba;2012 June;0.7
318;Saba;2012 July;0.8
319;Saba;2012 August;0.7
320;Saba;2012 September;0.7
321;Saba;2012 October;0.6
322;Saba;2012 November;0.7
323;Saba;2012 December;0.8
324;Saba;2012;9.2
325;Saba;2013 January;1.1
326;Saba;2013 February;0.8
327;Saba;2013 March;0.9
328;Saba;2013 April;0.8
329;Saba;2013 May;0.9
330;Saba;2013 June;0.8
331;Saba;2013 July;0.8
332;Saba;2013 August;0.8
333;Saba;2013 September;0.6
334;Saba;2013 October;0.7
335;Saba;2013 November;0.6
336;Saba;2013 December;0.8
337;Saba;2013;9.7
338;Saba;2014 January;1.0
339;Saba;2014 February;0.8
340;Saba;2014 March;0.9
341;Saba;2014 April;0.8
342;Saba;2014 May;0.9
343;Saba;2014 June;0.8
344;Saba;2014 July;0.8
345;Saba;2014 August;0.8
346;Saba;2014 September;0.7
347;Saba;2014 October;0.8
348;Saba;2014 November;0.8
349;Saba;2014 December;1.0
350;Saba;2014;10.2
351;Saba;2015 January;1.1
352;Saba;2015 February;0.8
353;Saba;2015 March;1.0
354;Saba;2015 April;0.8
355;Saba;2015 May;1.0
356;Saba;2015 June;0.7
357;Saba;2015 July;0.8
358;Saba;2015 August;0.7
359;Saba;2015 September;0.6
360;Saba;2015 October;0.6
361;Saba;2015 November;0.7
362;Saba;2015 December;0.8
363;Saba;2015;9.7
364;Saba;2016 January;0.9
365;Saba;2016 February;0.8
366;Saba;2016 March;0.7
367;Saba;2016 April;0.8
368;Saba;2016 May;0.8
369;Saba;2016 June;0.7
370;Saba;2016 July;0.8
371;Saba;2016 August;0.8
372;Saba;2016 September;0.5
373;Saba;2016 October;0.7
374;Saba;2016 November;0.8
375;Saba;2016 December;0.9
376;Saba;2016;9.2
377;Saba;2017 January;0.9
378;Saba;2017 February;0.8
379;Saba;2017 March;0.9
380;Saba;2017 April;0.8
381;Saba;2017 May;0.8
382;Saba;2017 June;0.8
383;Saba;2017 July;0.8
384;Saba;2017 August;0.8
385;Saba;2017 September;0.2
386;Saba;2017 October;0.3
387;Saba;2017 November;0.6
388;Saba;2017 December;0.7
389;Saba;2017;8.2
390;Saba;2018 January;0.7
391;Saba;2018 February;0.6
392;Saba;2018 March;0.7
393;Saba;2018 April;0.7
394;Saba;2018 May;0.8
395;Saba;2018 June;0.7
396;Saba;2018 July;0.7
397;Saba;2018 August;0.8
398;Saba;2018 September;0.3
399;Saba;2018 October;0.5
400;Saba;2018 November;0.8
401;Saba;2018 December;0.7
402;Saba;2018;8.1
403;Saba;2019 January;0.9
404;Saba;2019 February;0.7
405;Saba;2019 March;0.8
406;Saba;2019 April;0.7
407;Saba;2019 May;0.6
408;Saba;2019 June;0.7
409;Saba;2019 July;0.7
410;Saba;2019 August;0.8
411;Saba;2019 September;0.6
412;Saba;2019 October;0.7
413;Saba;2019 November;0.8
414;Saba;2019 December;0.8
415;Saba;2019;8.8
416;Saba;2020 January;0.8
417;Saba;2020 February;0.7
418;Saba;2020 March;0.4
419;Saba;2020 April;0.0
420;Saba;2020 May;0.0
421;Saba;2020 June;0.1
422;Saba;2020 July;0.1
423;Saba;2020 August;0.1
424;Saba;2020 September;0.1
425;Saba;2020 October;0.1
426;Saba;2020 November;0.1
427;Saba;2020 December;0.2
428;Saba;2020;2.7
429;Saba;2021 January;0.2
430;Saba;2021 February;0.1
431;Saba;2021 March;0.2
432;Saba;2021 April;0.2
433;Saba;2021 May;0.3
434;Saba;2021 June;0.4
435;Saba;2021 July;0.5
436;Saba;2021 August;0.4
437;Saba;2021 September;0.3
438;Saba;2021 October;0.4
439;Saba;2021 November;0.5
440;Saba;2021 December;0.5
441;Saba;2021;4.0
442;Saba;2022 January;0.4
443;Saba;2022 February;0.3
444;Saba;2022 March;0.4
445;Saba;2022 April;0.4
446;Saba;2022 May;0.4
447;Saba;2022 June;0.4
448;Saba;2022 July;0.4
449;Saba;2022 August;0.5
450;Saba;2022 September;0.3
451;Saba;2022 October;0.5
452;Saba;2022 November;0.5
453;Saba;2022 December;0.4
454;Saba;2022;4.9
455;Saba;2023 January;0.5
456;Saba;2023 February;0.5
457;Saba;2023 March;0.5
458;Saba;2023 April;0.5
459;Saba;2023 May;0.5
460;Saba;2023 June;0.5
461;Saba;2023 July;0.5
462;Saba;2023 August;0.5
463;Saba;2023 September;0.4
464;Saba;2023 October;0.4
465;Saba;2023 November;0.5
466;Saba;2023 December;0.5
467;Saba;2023;5.7
