ID;RegioS;Code_1;Naam_2;SorteringNaam_3;Code_4;Naam_5;Code_6;Naam_7;Code_8;Naam_9;Code_10;Naam_11;Code_12;Naam_13;Code_14;Naam_15;Code_16;Naam_17;Code_18;Naam_19;Code_20;Naam_21;Code_22;Naam_23;Code_24;Naam_25;Code_26;Naam_27;Code_28;Naam_29;Code_30;Naam_31;Code_32;Naam_33;Code_34;Naam_35;Code_36;Naam_37;Code_38;Naam_39;Code_40;Naam_41;Code_42;Naam_43;Code_44;Naam_45;Code_46;Omschrijving_47;Code_48;Naam_49;Inwonertal_50;Omgevingsadressendichtheid_51
261;267;267;Nijkerk                                 ;Nijkerk                   ;5;Arnhem          ;45;Gelderland-Midden         ;13;Veluwe                             ;130;Veluwe                             ;1300;Veluwe                              ;31;Gelderse Vallei                         ;19;Hulpverlening Gelderland-Midden   ;2507;Westelijke Veluwe                       ;5;Centraal Veehouderijgebied   ;2;Oost-Nederland ;   NL2;Oost-Nederland ;  NL22;Gelderland    ; NL221;Veluwe                             ;7;Gelderland-Midden        ;25;Gelderland   ;2;Arnhem          ;10;De Vallei              ;8;Veluwe en Veluwerand                    ;16;Eem en Vallei                  ;0;                ;8;Amersfoort      ;4;20 000 - < 50 000 inwoners  ;4;Weinig stedelijk    ;38879;952
262;268;268;Nijmegen                                ;Nijmegen                  ;5;Arnhem          ;48;Gelderland-Zuid           ;15;Arnhem/Nijmegen                    ;150;Arnhem/Nijmegen                    ;1500;Arnhem/Nijmegen                     ;39;Nijmegen                                ;21;GGD Regio Nijmegen                ;2504;Oostelijke Betuwe en Nijmegen           ;10;Rivierengebied               ;2;Oost-Nederland ;   NL2;Oost-Nederland ;  NL22;Gelderland    ; NL223;Arnhem/Nijmegen                    ;8;Gelderland-Zuid          ;25;Gelderland   ;2;Arnhem          ;13;Nijmegen               ;14;O.-Brabant, N.- en M.-Limburg, Nijmegen ;14;Arnhem/Nijmegen                ;7;Nijmegen        ;7;Nijmegen        ;7;150 000 - < 250 000 inwoners;2;Sterk stedelijk     ;160907;2222
263;Noord-Beveland;1695;Noord-Beveland                          ;Noord+Beveland            ;12;Middelburg      ;5;Zeeland                   ;32;Overig Zeeland                     ;320;Overig Zeeland                     ;3200;Overig Zeeland                      ;97;Noord- en Zuid-Beveland                 ;50;GGD Zeeland                       ;2901;Noordelijk Zeeland                      ;11;Zuidwestelijk Akkerbouwgebied;3;West-Nederland ;   NL3;West-Nederland ;  NL34;Zeeland       ; NL342;Overig Zeeland                     ;19;Zeeland                  ;29;Zeeland      ;3;'s-Gravenhage   ;24;Zeeland                ;4;Deltagebied                             ;31;Oosterschelde regio            ;0;                ;0;                ;2;5 000 - < 10 000 inwoners   ;5;Niet stedelijk      ;7267;202
264;Noordenveld;1699;Noordenveld                             ;Noordenveld               ;19;Assen           ;71;Drenthe                   ;7;Noord-Drenthe                      ;70;Noord-Drenthe                      ;700;Noord-Drenthe                       ;14;Noord-Drents Randgebied                 ;7;GGD Drenthe                       ;2201;Weidegebied van het Noorderveld         ;3;Noordelijk Weidegebied       ;1;Noord-Nederland;   NL1;Noord-Nederland;  NL13;Drenthe       ; NL131;Noord-Drenthe                      ;3;Drenthe                  ;22;Drenthe      ;5;Leeuwarden      ;3;Centraal-Groningen     ;12;Groningse, Friese en Drentse Zandgronden;7;Noord- en Midden-Drenthe       ;0;                ;1;Groningen       ;4;20 000 - < 50 000 inwoners  ;4;Weinig stedelijk    ;31439;608
265;171;171;Noordoostpolder                         ;Noordoostpolder           ;7;Zwolle/Lelystad ;65;Flevoland                 ;40;Flevoland                          ;400;Flevoland                          ;4003;Noordoostpolder en Urk              ;128;Noordoostpolder                         ;22;Hulpverleningsdienst Flevoland    ;2401;Noordoostelijke Polder                  ;6;IJsselmeerpolders            ;2;Oost-Nederland ;   NL2;Oost-Nederland ;  NL23;Flevoland     ; NL230;Flevoland                          ;25;Flevoland                ;24;Flevoland    ;2;Arnhem          ;15;Flevoland              ;3;IJsselmeerkust                          ;18;Flevoland                      ;0;                ;0;                ;4;20 000 - < 50 000 inwoners  ;4;Weinig stedelijk    ;45777;715
266;575;575;Noordwijk                               ;Noordwijk                 ;9;'s-Gravenhage   ;16;Hollands-Midden           ;25;Agglomeratie Leiden en Bollenstreek;250;Agglomeratie Leiden en Bollenstreek;2500;Agglomeratie Leiden en Bollenstreek ;68;Zuidhollandse Bollenstreek              ;45;GGD Hollands Midden               ;2808;Bollenstreek                            ;7;Westelijk Holland            ;3;West-Nederland ;   NL3;West-Nederland ;  NL33;Zuid-Holland  ; NL331;Agglomeratie Leiden en Bollenstreek;16;Hollands Midden          ;28;Zuid-Holland ;3;'s-Gravenhage   ;21;Rijn-Gouwe             ;2;Noordzeebadplaatsen                     ;26;Zuid-Holland-Noord             ;0;                ;12;Leiden          ;4;20 000 - < 50 000 inwoners  ;3;Matig stedelijk     ;24700;1340
267;576;576;Noordwijkerhout                         ;Noordwijkerhout           ;9;'s-Gravenhage   ;16;Hollands-Midden           ;25;Agglomeratie Leiden en Bollenstreek;250;Agglomeratie Leiden en Bollenstreek;2500;Agglomeratie Leiden en Bollenstreek ;68;Zuidhollandse Bollenstreek              ;45;GGD Hollands Midden               ;2808;Bollenstreek                            ;7;Westelijk Holland            ;3;West-Nederland ;   NL3;West-Nederland ;  NL33;Zuid-Holland  ; NL331;Agglomeratie Leiden en Bollenstreek;16;Hollands Midden          ;28;Zuid-Holland ;3;'s-Gravenhage   ;21;Rijn-Gouwe             ;2;Noordzeebadplaatsen                     ;26;Zuid-Holland-Noord             ;0;                ;12;Leiden          ;3;10 000 - < 20 000 inwoners  ;4;Weinig stedelijk    ;15294;863
268;820;820;Nuenen, Gerwen en Nederwetten           ;Nuenen c.a.               ;1;'s-Hertogenbosch;11;Zuidoost-Brabant          ;36;Zuidoost-Noord-Brabant             ;360;Zuidoost-Noord-Brabant             ;3600;Zuidoost-Noord-Brabant              ;114;Randgebied Eindhoven                    ;56;GGD Zuidoost-Brabant              ;3010;Westelijk Peelgebied                    ;13;Zuidelijk Veehouderijgebied  ;4;Zuid-Nederland ;   NL4;Zuid-Nederland ;  NL41;Noord-Brabant ; NL414;Zuidoost-Noord-Brabant             ;22;Brabant-Zuidoost         ;30;Noord-Brabant;1;'s-Hertogenbosch;28;Zuidoost-Brabant       ;13;West- en Midden-Brabant                 ;37;Zuidoost-Brabant               ;0;                ;19;Eindhoven       ;4;20 000 - < 50 000 inwoners  ;4;Weinig stedelijk    ;22692;984
269;302;302;Nunspeet                                ;Nunspeet                  ;6;Zutphen         ;31;Noord- en Oost-Gelderland ;13;Veluwe                             ;130;Veluwe                             ;1300;Veluwe                              ;32;IJsselmeerkust                          ;16;GGD Regio Noord-Veluwe            ;2507;Westelijke Veluwe                       ;5;Centraal Veehouderijgebied   ;2;Oost-Nederland ;   NL2;Oost-Nederland ;  NL22;Gelderland    ; NL221;Veluwe                             ;6;Noord- en Oost-Gelderland;25;Gelderland   ;2;Arnhem          ;8;Noordwest-Veluwe       ;8;Veluwe en Veluwerand                    ;17;Noordwest-Veluwe               ;0;                ;0;                ;4;20 000 - < 50 000 inwoners  ;4;Weinig stedelijk    ;26583;732
270;951;951;Nuth                                    ;Nuth                      ;3;Maastricht      ;67;Zuid-Limburg              ;39;Zuid-Limburg                       ;390;Zuid-Limburg                       ;3900;Zuid-Limburg                        ;125;Oostelijke Mijnstreek                   ;61;GGD Zuid-Limburg                  ;3102;Zuid-Limburg                            ;14;Zuid-Limburg                 ;4;Zuid-Nederland ;   NL4;Zuid-Nederland ;  NL42;Limburg (NL)  ; NL423;Zuid-Limburg                       ;24;Limburg-Zuid             ;31;Limburg      ;1;'s-Hertogenbosch;33;Parkstad Limburg       ;15;Zuid-Limburg                            ;41;Oostelijk Zuid-Limburg         ;0;                ;21;Heerlen         ;3;10 000 - < 20 000 inwoners  ;5;Niet stedelijk      ;15844;471
271;579;579;Oegstgeest                              ;Oegstgeest                ;9;'s-Gravenhage   ;16;Hollands-Midden           ;25;Agglomeratie Leiden en Bollenstreek;250;Agglomeratie Leiden en Bollenstreek;2500;Agglomeratie Leiden en Bollenstreek ;71;Randgebied Leiden                       ;45;GGD Hollands Midden               ;2808;Bollenstreek                            ;7;Westelijk Holland            ;3;West-Nederland ;   NL3;West-Nederland ;  NL33;Zuid-Holland  ; NL331;Agglomeratie Leiden en Bollenstreek;16;Hollands Midden          ;28;Zuid-Holland ;3;'s-Gravenhage   ;21;Rijn-Gouwe             ;17;Overig Nederland                        ;26;Zuid-Holland-Noord             ;12;Leiden          ;12;Leiden          ;4;20 000 - < 50 000 inwoners  ;2;Sterk stedelijk     ;22022;1550
272;823;823;Oirschot                                ;Oirschot                  ;1;'s-Hertogenbosch;11;Zuidoost-Brabant          ;36;Zuidoost-Noord-Brabant             ;360;Zuidoost-Noord-Brabant             ;3600;Zuidoost-Noord-Brabant              ;114;Randgebied Eindhoven                    ;56;GGD Zuidoost-Brabant              ;3008;Midden-Noord-Brabant                    ;13;Zuidelijk Veehouderijgebied  ;4;Zuid-Nederland ;   NL4;Zuid-Nederland ;  NL41;Noord-Brabant ; NL414;Zuidoost-Noord-Brabant             ;22;Brabant-Zuidoost         ;30;Noord-Brabant;1;'s-Hertogenbosch;28;Zuidoost-Brabant       ;13;West- en Midden-Brabant                 ;37;Zuidoost-Brabant               ;0;                ;0;                ;3;10 000 - < 20 000 inwoners  ;4;Weinig stedelijk    ;17852;553
273;824;824;Oisterwijk                              ;Oisterwijk                ;2;Breda           ;1;Midden- en West-Brabant   ;34;Midden-Noord-Brabant               ;340;Midden-Noord-Brabant               ;3400;Midden-Noord-Brabant                ;108;Gebied om Tilburg                       ;54;GGD Hart voor Brabant             ;3008;Midden-Noord-Brabant                    ;13;Zuidelijk Veehouderijgebied  ;4;Zuid-Nederland ;   NL4;Zuid-Nederland ;  NL41;Noord-Brabant ; NL412;Midden-Noord-Brabant               ;20;Midden- en West-Brabant  ;30;Noord-Brabant;1;'s-Hertogenbosch;26;Midden-Brabant         ;13;West- en Midden-Brabant                 ;35;Midden-Brabant                 ;0;                ;17;Tilburg         ;4;20 000 - < 50 000 inwoners  ;4;Weinig stedelijk    ;25743;897
274;269;269;Oldebroek                               ;Oldebroek                 ;6;Zutphen         ;31;Noord- en Oost-Gelderland ;13;Veluwe                             ;130;Veluwe                             ;1300;Veluwe                              ;32;IJsselmeerkust                          ;16;GGD Regio Noord-Veluwe            ;2501;Oostelijke Veluwe                       ;5;Centraal Veehouderijgebied   ;2;Oost-Nederland ;   NL2;Oost-Nederland ;  NL22;Gelderland    ; NL221;Veluwe                             ;6;Noord- en Oost-Gelderland;25;Gelderland   ;2;Arnhem          ;8;Noordwest-Veluwe       ;8;Veluwe en Veluwerand                    ;17;Noordwest-Veluwe               ;0;                ;0;                ;4;20 000 - < 50 000 inwoners  ;4;Weinig stedelijk    ;22800;547
275;173;173;Oldenzaal                               ;Oldenzaal                 ;8;Almelo          ;35;Twente                    ;12;Twente                             ;120;Twente                             ;1200;Twente                              ;24;Overige gemeenten in Twente             ;11;GGD Regio Twente                  ;2303;Twente                                  ;4;Oostelijk Veehouderijgebied  ;2;Oost-Nederland ;   NL2;Oost-Nederland ;  NL21;Overijssel    ; NL213;Twente                             ;5;Twente                   ;23;Overijssel   ;2;Arnhem          ;7;Twente                 ;11;Twente, Salland en Vechtstreek          ;12;Twente                         ;0;                ;4;Enschede        ;4;20 000 - < 50 000 inwoners  ;3;Matig stedelijk     ;31416;1287
