ID;BedrijfstakkenBranchesSBI2008;HergebruikEnEindverwerking;Perioden;TotaalBedrijfsafvalstoffen_1;TotaalNietChemischAfval_2;Metaalafval_3;Glasafval_4;PapierKartonafval_5;KunststofRubberafval_6;Houtafval_7;TextielLederafval_8;DierlijkPlantaardigAfval_9;GemengdAfval_10;Slib_11;MineralenSteenachtigAfval_12;OverigNietChemischAfval_13;ChemischAfval_14;TotaalBedrijfsafvalstoffen_15;TotaalHergebruik_16;InzetAlsBrandstof_17;OverigHergebruik_18;TotaalEindverwerking_19;Verbranden_20;Storten_21;ScheidenAchteraf_22;k_1OfMeerWerknemers_23;k_1Tot10Werknemers_24;k_10Tot20Werknemers_25;k_20Tot50Werknemers_26;k_50Tot100Werknemers_27;k_100Tot200Werknemers_28;k_200Tot500Werknemers_29;k_500OfMeerWerknemers_30
42;105 Zuivelindustrie;Totaal bedrijfsafvalstoffen;2008;182;177;12;0;9;2;1;0;77;13;58;4;0;5;182;128.0;6.0;122.0;54.0;50.0;1.0;2.0;182;4.0;1.0;2.0;6.0;10.0;13.0;146.0
43;105 Zuivelindustrie;Totaal bedrijfsafvalstoffen;2009;194;189;12;0;9;2;1;0;76;12;71;4;0;5;194;141.0;6.0;135.0;53.0;50.0;1.0;2.0;194;;;;;;;
44;105 Zuivelindustrie;Hergebruik;2008;128;123;12;0;9;2;1;0;73;1;20;4;0;5;128;128.0;6.0;122.0;;;;;128;3.0;1.0;1.0;4.0;6.0;12.0;100.0
45;105 Zuivelindustrie;Hergebruik;2009;141;136;12;0;9;2;1;0;73;1;33;4;0;5;141;141.0;6.0;135.0;;;;;141;;;;;;;
46;105 Zuivelindustrie;Eindverwerking;2008;54;54;0;0;0;0;0;0;3;12;38;0;0;0;54;;;;54.0;50.0;1.0;2.0;54;1.0;0.0;1.0;2.0;4.0;1.0;45.0
47;105 Zuivelindustrie;Eindverwerking;2009;53;53;0;0;0;0;0;0;3;12;38;0;0;0;53;;;;53.0;50.0;1.0;2.0;53;;;;;;;
48;106-109 Overige voedingsindustrie;Totaal bedrijfsafvalstoffen;2008;2226;2135;9;1;65;10;11;0;1264;85;145;544;0;91;2226;2034.0;68.0;1966.0;192.0;91.0;97.0;5.0;2226;25.0;17.0;18.0;84.0;102.0;166.0;1815.0
49;106-109 Overige voedingsindustrie;Totaal bedrijfsafvalstoffen;2009;2340;2303;9;1;63;9;11;0;1404;83;143;581;0;36;2340;2152.0;80.0;2072.0;187.0;88.0;95.0;4.0;2340;;;;;;;
50;106-109 Overige voedingsindustrie;Hergebruik;2008;2034;1942;9;1;65;9;11;0;1225;12;142;468;0;91;2034;2034.0;68.0;1966.0;;;;;2034;11.0;7.0;6.0;68.0;87.0;131.0;1724.0
51;106-109 Overige voedingsindustrie;Hergebruik;2009;2152;2116;9;1;63;9;11;0;1366;12;140;505;0;36;2152;2152.0;80.0;2072.0;;;;;2152;;;;;;;
52;106-109 Overige voedingsindustrie;Eindverwerking;2008;192;192;0;0;0;0;0;0;39;73;3;77;0;0;192;;;;192.0;91.0;97.0;5.0;192;14.0;9.0;12.0;16.0;15.0;35.0;91.0
53;106-109 Overige voedingsindustrie;Eindverwerking;2009;187;187;0;0;0;0;0;0;38;71;3;75;0;0;187;;;;187.0;88.0;95.0;4.0;187;;;;;;;
54;11 Drankenindustrie;Totaal bedrijfsafvalstoffen;2008;825;824;1;18;9;4;0;0;684;88;15;3;0;1;825;812.0;1.0;811.0;14.0;7.0;7.0;0.0;825;2.0;4.0;4.0;5.0;255.0;5.0;551.0
55;11 Drankenindustrie;Totaal bedrijfsafvalstoffen;2009;774;773;1;17;8;4;0;0;641;83;15;3;0;1;774;761.0;1.0;760.0;13.0;7.0;6.0;0.0;774;;;;;;;
56;11 Drankenindustrie;Hergebruik;2008;812;811;1;18;9;4;0;0;681;83;14;0;0;1;812;812.0;1.0;811.0;;;;;812;0.0;4.0;4.0;4.0;253.0;4.0;543.0
57;11 Drankenindustrie;Hergebruik;2009;761;761;1;17;8;4;0;0;638;78;14;0;0;1;761;761.0;1.0;760.0;;;;;761;;;;;;;
58;11 Drankenindustrie;Eindverwerking;2008;14;14;0;0;0;0;0;0;3;5;2;3;0;0;14;;;;14.0;7.0;7.0;0.0;14;1.0;1.0;0.0;1.0;2.0;0.0;8.0
59;11 Drankenindustrie;Eindverwerking;2009;13;13;0;0;0;0;0;0;3;5;2;3;0;0;13;;;;13.0;7.0;6.0;0.0;13;;;;;;;
60;12 Verwerking van tabak;Totaal bedrijfsafvalstoffen;2008;21;21;0;0;13;0;1;0;4;3;0;0;0;0;21;18.0;2.0;16.0;3.0;3.0;0.0;0.0;21;0.0;0.0;0.0;1.0;0.0;3.0;17.0
61;12 Verwerking van tabak;Totaal bedrijfsafvalstoffen;2009;21;21;0;0;13;0;1;0;4;3;0;0;0;0;21;18.0;2.0;17.0;3.0;3.0;0.0;0.0;21;;;;;;;
62;12 Verwerking van tabak;Hergebruik;2008;18;18;0;0;13;0;1;0;4;0;0;0;0;0;18;18.0;2.0;16.0;;;;;18;0.0;0.0;0.0;0.0;0.0;3.0;15.0
63;12 Verwerking van tabak;Hergebruik;2009;18;18;0;0;13;0;1;0;4;0;0;0;0;0;18;18.0;2.0;17.0;;;;;18;;;;;;;
64;12 Verwerking van tabak;Eindverwerking;2008;3;3;0;0;0;0;0;0;0;3;0;0;0;0;3;;;;3.0;3.0;0.0;0.0;3;0.0;0.0;0.0;0.0;0.0;0.0;2.0
65;12 Verwerking van tabak;Eindverwerking;2009;3;3;0;0;0;0;0;0;0;3;0;0;0;0;3;;;;3.0;3.0;0.0;0.0;3;;;;;;;
66;13-15 Textiel-, kleding-, lederindustrie;Totaal bedrijfsafvalstoffen;2008;89;82;1;0;11;2;4;39;0;25;0;0;0;7;89;54.0;2.0;52.0;35.0;24.0;7.0;3.0;89;38.0;14.0;9.0;5.0;11.0;11.0;1.0
67;13-15 Textiel-, kleding-, lederindustrie;Totaal bedrijfsafvalstoffen;2009;78;72;1;0;10;2;4;34;0;22;0;0;0;6;78;47.0;2.0;45.0;30.0;21.0;6.0;3.0;78;;;;;;;
68;13-15 Textiel-, kleding-, lederindustrie;Hergebruik;2008;54;53;1;0;9;2;4;36;0;1;0;0;0;1;54;54.0;2.0;52.0;;;;;54;25.0;9.0;1.0;2.0;8.0;8.0;1.0
69;13-15 Textiel-, kleding-, lederindustrie;Hergebruik;2009;47;47;1;0;8;2;4;32;0;1;0;0;0;0;47;47.0;2.0;45.0;;;;;47;;;;;;;
70;13-15 Textiel-, kleding-, lederindustrie;Eindverwerking;2008;35;29;0;0;2;0;0;3;0;24;0;0;0;6;35;;;;35.0;24.0;7.0;3.0;35;13.0;5.0;7.0;3.0;3.0;4.0;0.0
71;13-15 Textiel-, kleding-, lederindustrie;Eindverwerking;2009;30;25;0;0;1;0;0;3;0;21;0;0;0;5;30;;;;30.0;21.0;6.0;3.0;30;;;;;;;
72;16 Houtindustrie;Totaal bedrijfsafvalstoffen;2008;250;245;2;0;4;1;213;0;0;22;0;3;0;4;250;227.0;81.0;146.0;23.0;16.0;2.0;4.0;250;44.0;26.0;93.0;44.0;22.0;20.0;
73;16 Houtindustrie;Totaal bedrijfsafvalstoffen;2009;215;211;1;0;4;1;184;0;0;19;0;2;0;4;215;195.0;70.0;126.0;20.0;14.0;2.0;4.0;215;;;;;;;
74;16 Houtindustrie;Hergebruik;2008;227;223;2;0;4;1;213;0;0;0;0;2;0;4;227;227.0;81.0;146.0;;;;;227;39.0;24.0;86.0;39.0;20.0;18.0;
75;16 Houtindustrie;Hergebruik;2009;195;192;1;0;4;1;183;0;0;0;0;2;0;3;195;195.0;70.0;126.0;;;;;195;;;;;;;
76;16 Houtindustrie;Eindverwerking;2008;23;23;0;0;0;0;0;0;0;22;0;0;0;0;23;;;;23.0;16.0;2.0;4.0;23;5.0;3.0;7.0;5.0;2.0;2.0;
77;16 Houtindustrie;Eindverwerking;2009;20;19;0;0;0;0;0;0;0;19;0;0;0;0;20;;;;20.0;14.0;2.0;4.0;20;;;;;;;
78;17 Papierindustrie;Totaal bedrijfsafvalstoffen;2008;741;576;8;0;296;20;21;0;0;158;72;0;1;166;741;675.0;301.0;374.0;67.0;39.0;16.0;12.0;741;12.0;16.0;27.0;64.0;126.0;457.0;39.0
79;17 Papierindustrie;Totaal bedrijfsafvalstoffen;2009;648;510;7;0;258;18;16;0;0;144;66;0;1;137;648;561.0;257.0;304.0;86.0;62.0;14.0;11.0;648;;;;;;;
80;17 Papierindustrie;Hergebruik;2008;675;511;8;0;295;20;21;0;0;110;58;0;1;164;675;675.0;301.0;374.0;;;;;675;9.0;13.0;26.0;62.0;120.0;406.0;38.0
81;17 Papierindustrie;Hergebruik;2009;561;451;7;0;257;18;16;0;0;102;51;0;1;110;561;561.0;257.0;304.0;;;;;561;;;;;;;
82;17 Papierindustrie;Eindverwerking;2008;67;65;0;0;2;0;0;0;0;47;15;0;0;2;67;;;;67.0;39.0;16.0;12.0;67;2.0;3.0;1.0;3.0;5.0;51.0;1.0
83;17 Papierindustrie;Eindverwerking;2009;86;59;0;0;1;0;0;0;0;42;15;0;0;27;86;;;;86.0;62.0;14.0;11.0;86;;;;;;;
84;18 Grafische industrie;Totaal bedrijfsafvalstoffen;2008;286;286;8;0;246;3;8;0;0;21;0;0;0;0;286;265.0;1.0;264.0;21.0;16.0;2.0;2.0;286;20.0;11.0;51.0;46.0;38.0;93.0;27.0
85;18 Grafische industrie;Totaal bedrijfsafvalstoffen;2009;275;275;7;0;237;3;8;0;0;20;0;0;0;0;275;255.0;1.0;254.0;20.0;16.0;2.0;2.0;275;;;;;;;
86;18 Grafische industrie;Hergebruik;2008;265;265;8;0;246;3;8;0;0;0;0;0;0;0;265;265.0;1.0;264.0;;;;;265;13.0;7.0;49.0;43.0;36.0;92.0;25.0
87;18 Grafische industrie;Hergebruik;2009;255;255;7;0;237;3;8;0;0;0;0;0;0;0;255;255.0;1.0;254.0;;;;;255;;;;;;;
88;18 Grafische industrie;Eindverwerking;2008;21;21;0;0;0;0;0;0;0;21;0;0;0;0;21;;;;21.0;16.0;2.0;2.0;21;7.0;4.0;2.0;3.0;2.0;1.0;2.0
89;18 Grafische industrie;Eindverwerking;2009;20;20;0;0;0;0;0;0;0;20;0;0;0;0;20;;;;20.0;16.0;2.0;2.0;20;;;;;;;
90;19 Aardolie-industrie;Totaal bedrijfsafvalstoffen;2008;456;37;1;0;1;0;1;0;2;4;0;29;0;419;456;435.0;1.0;434.0;21.0;3.0;11.0;8.0;456;1.0;1.0;1.0;0.0;1.0;95.0;358.0
91;19 Aardolie-industrie;Totaal bedrijfsafvalstoffen;2009;474;52;1;0;1;0;1;0;2;4;0;44;0;422;474;452.0;1.0;451.0;22.0;3.0;11.0;8.0;474;;;;;;;
92;19 Aardolie-industrie;Hergebruik;2008;435;19;0;0;1;0;1;0;2;0;0;15;0;416;435;435.0;1.0;434.0;;;;;435;1.0;1.0;0.0;0.0;0.0;79.0;354.0
93;19 Aardolie-industrie;Hergebruik;2009;452;33;0;0;1;0;1;0;2;0;0;30;0;419;452;452.0;1.0;451.0;;;;;452;;;;;;;
94;19 Aardolie-industrie;Eindverwerking;2008;21;18;1;0;0;0;0;0;0;3;0;14;0;3;21;;;;21.0;3.0;11.0;8.0;21;0.0;0.0;1.0;0.0;0.0;16.0;5.0
95;19 Aardolie-industrie;Eindverwerking;2009;22;19;1;0;0;0;0;0;0;3;0;14;0;3;22;;;;22.0;3.0;11.0;8.0;22;;;;;;;
96;20-21 Chemie en farmaceutische industrie;Totaal bedrijfsafvalstoffen;2008;1215;937;25;0;56;16;9;0;71;56;8;696;0;279;1215;987.0;7.0;980.0;228.0;156.0;59.0;14.0;1215;4.0;3.0;10.0;54.0;72.0;841.0;232.0
97;20-21 Chemie en farmaceutische industrie;Totaal bedrijfsafvalstoffen;2009;855;589;23;0;53;15;9;0;70;53;8;357;0;267;855;639.0;7.0;632.0;217.0;148.0;56.0;13.0;855;;;;;;;
98;20-21 Chemie en farmaceutische industrie;Hergebruik;2008;987;848;25;0;55;14;8;0;29;18;7;691;0;139;987;987.0;7.0;980.0;;;;;987;2.0;1.0;4.0;40.0;63.0;723.0;154.0
99;20-21 Chemie en farmaceutische industrie;Hergebruik;2009;639;504;23;0;53;13;8;0;31;17;6;352;0;134;639;639.0;7.0;632.0;;;;;639;;;;;;;
100;20-21 Chemie en farmaceutische industrie;Eindverwerking;2008;228;89;0;0;1;2;0;0;42;38;2;5;0;139;228;;;;228.0;156.0;59.0;14.0;228;2.0;2.0;5.0;14.0;10.0;117.0;78.0
101;20-21 Chemie en farmaceutische industrie;Eindverwerking;2009;217;84;0;0;1;1;0;0;40;36;2;5;0;132;217;;;;217.0;148.0;56.0;13.0;217;;;;;;;
102;22 Rubber- en kunststofproductindustrie;Totaal bedrijfsafvalstoffen;2008;159;157;7;0;21;86;10;0;0;32;0;1;0;2;159;120.0;23.0;96.0;40.0;24.0;13.0;2.0;159;8.0;7.0;23.0;10.0;47.0;57.0;7.0
103;22 Rubber- en kunststofproductindustrie;Totaal bedrijfsafvalstoffen;2009;135;134;6;0;18;73;8;0;0;27;0;1;0;1;135;102.0;20.0;82.0;34.0;20.0;11.0;2.0;135;;;;;;;
104;22 Rubber- en kunststofproductindustrie;Hergebruik;2008;120;119;7;0;18;80;7;0;0;8;0;0;0;0;120;120.0;23.0;96.0;;;;;120;6.0;6.0;14.0;4.0;41.0;44.0;5.0
105;22 Rubber- en kunststofproductindustrie;Hergebruik;2009;102;102;6;0;15;68;6;0;0;7;0;0;0;0;102;102.0;20.0;82.0;;;;;102;;;;;;;
106;22 Rubber- en kunststofproductindustrie;Eindverwerking;2008;40;38;0;0;3;6;3;0;0;24;0;1;0;2;40;;;;40.0;24.0;13.0;2.0;40;2.0;2.0;8.0;7.0;6.0;14.0;2.0
107;22 Rubber- en kunststofproductindustrie;Eindverwerking;2009;34;32;0;0;3;5;3;0;0;21;0;1;0;1;34;;;;34.0;20.0;11.0;2.0;34;;;;;;;
108;23 Bouwmaterialenindustrie;Totaal bedrijfsafvalstoffen;2008;942;935;51;9;4;2;13;0;1;35;3;818;0;7;942;801.0;4.0;797.0;141.0;20.0;99.0;23.0;942;46.0;38.0;164.0;46.0;179.0;203.0;266.0
109;23 Bouwmaterialenindustrie;Totaal bedrijfsafvalstoffen;2009;780;774;42;8;3;2;10;0;1;29;2;676;0;6;780;662.0;3.0;659.0;118.0;16.0;82.0;19.0;780;;;;;;;
110;23 Bouwmaterialenindustrie;Hergebruik;2008;801;798;50;9;3;1;9;0;0;3;1;721;0;3;801;801.0;4.0;797.0;;;;;801;34.0;30.0;123.0;33.0;159.0;175.0;248.0
111;23 Bouwmaterialenindustrie;Hergebruik;2009;662;660;41;8;3;1;8;0;0;2;1;595;0;2;662;662.0;3.0;659.0;;;;;662;;;;;;;
112;23 Bouwmaterialenindustrie;Eindverwerking;2008;141;137;1;0;0;0;3;0;1;32;1;97;0;4;141;;;;141.0;20.0;99.0;23.0;141;13.0;8.0;41.0;13.0;20.0;28.0;18.0
113;23 Bouwmaterialenindustrie;Eindverwerking;2009;118;114;1;0;0;0;3;0;1;27;1;80;0;4;118;;;;118.0;16.0;82.0;19.0;118;;;;;;;
114;24 Basismetaalindustrie;Totaal bedrijfsafvalstoffen;2008;2632;2484;118;0;3;8;3;0;0;35;1;2316;0;148;2632;2593.0;14.0;2579.0;40.0;13.0;17.0;10.0;2632;8.0;7.0;41.0;47.0;42.0;86.0;2401.0
115;24 Basismetaalindustrie;Totaal bedrijfsafvalstoffen;2009;1756;1630;80;0;2;6;2;0;0;41;0;1498;0;126;1756;1725.0;11.0;1714.0;31.0;10.0;13.0;8.0;1756;;;;;;;
116;24 Basismetaalindustrie;Hergebruik;2008;2593;2454;118;0;3;1;3;0;0;28;0;2301;0;139;2593;2593.0;14.0;2579.0;;;;;2593;7.0;6.0;40.0;47.0;34.0;82.0;2376.0
117;24 Basismetaalindustrie;Hergebruik;2009;1725;1606;79;0;2;0;2;0;0;35;0;1487;0;119;1725;1725.0;11.0;1714.0;;;;;1725;;;;;;;
118;24 Basismetaalindustrie;Eindverwerking;2008;40;30;1;0;0;8;0;0;0;7;0;14;0;9;40;;;;40.0;13.0;17.0;10.0;40;1.0;1.0;1.0;0.0;9.0;3.0;24.0
119;24 Basismetaalindustrie;Eindverwerking;2009;31;24;0;0;0;6;0;0;0;6;0;11;0;7;31;;;;31.0;10.0;13.0;8.0;31;;;;;;;
120;25 Metaalproductenindustrie;Totaal bedrijfsafvalstoffen;2008;455;377;273;2;15;2;9;0;8;42;0;25;0;79;455;333.0;2.0;331.0;123.0;36.0;80.0;6.0;455;58.0;41.0;51.0;63.0;108.0;48.0;86.0
121;25 Metaalproductenindustrie;Totaal bedrijfsafvalstoffen;2009;395;318;231;2;12;2;8;0;7;35;0;21;0;76;395;281.0;1.0;280.0;114.0;30.0;78.0;5.0;395;;;;;;;
122;25 Metaalproductenindustrie;Hergebruik;2008;333;333;270;1;14;1;8;0;8;15;0;16;0;0;333;333.0;2.0;331.0;;;;;333;47.0;33.0;41.0;37.0;45.0;44.0;84.0
123;25 Metaalproductenindustrie;Hergebruik;2009;281;281;228;1;11;1;6;0;6;13;0;14;0;0;281;281.0;1.0;280.0;;;;;281;;;;;;;
124;25 Metaalproductenindustrie;Eindverwerking;2008;123;44;3;1;1;1;2;0;1;27;0;8;0;79;123;;;;123.0;36.0;80.0;6.0;123;11.0;8.0;10.0;26.0;63.0;4.0;2.0
125;25 Metaalproductenindustrie;Eindverwerking;2009;114;37;3;1;1;0;1;0;1;22;0;7;0;76;114;;;;114.0;30.0;78.0;5.0;114;;;;;;;
126;26 Elektrotechnische industrie;Totaal bedrijfsafvalstoffen;2008;18;18;3;0;4;0;1;0;0;10;0;0;0;0;18;7.0;0.0;7.0;11.0;9.0;2.0;0.0;18;0.0;0.0;1.0;10.0;2.0;1.0;3.0
