ID;SIC2008;Countries;Periods;NumberOfActiveEnterprises_1;NetTurnover_2;ValueOfOutput_3;ValueAddedAtFactorCost_4;TotalPurchasesOfGoodsAndServices_5;PurchasesOfGoodsAndServicesPurch_6;EmployeeBenefitsExpense_7;GrossInvestmentInTangibleNonCurr_8;NumberOfSelfEmployedPersons_9;TotalIntraMuralRDExpenditure_10;TotalNumberOfRDPersonnel_11
15;B-S excluding O and excluding S94;Locus of control: Offshore fin. centres;2022;390.0;;;;;;;;;;
16;B-S excluding O and excluding S94;Asia;2021;;;;;;;;;;;
17;B-S excluding O and excluding S94;Asia;2022;;;;;;;;;;;
18;B-S excluding O and excluding S94;Afghanistan;2021;0.0;;;;;;;;;;
19;B-S excluding O and excluding S94;Afghanistan;2022;0.0;;;;;;;;;;
20;B-S excluding O and excluding S94;Albania;2021;;;;;;;;;;;
21;B-S excluding O and excluding S94;Albania;2022;;;;;;;;;;;
22;B-S excluding O and excluding S94;Algeria;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
23;B-S excluding O and excluding S94;Algeria;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
24;B-S excluding O and excluding S94;American-Samoa;2021;;;;;;;;;;;
25;B-S excluding O and excluding S94;American-Samoa;2022;;;;;;;;;;;
26;B-S excluding O and excluding S94;American Virgin Islands;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
27;B-S excluding O and excluding S94;American Virgin Islands;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
28;B-S excluding O and excluding S94;Andorra;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
29;B-S excluding O and excluding S94;Andorra;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
30;B-S excluding O and excluding S94;Angola;2021;0.0;;;;;;;0.0;0.0;;
31;B-S excluding O and excluding S94;Angola;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
32;B-S excluding O and excluding S94;Anguilla;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
33;B-S excluding O and excluding S94;Anguilla;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
34;B-S excluding O and excluding S94;Antartica;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
35;B-S excluding O and excluding S94;Antartica;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
36;B-S excluding O and excluding S94;Antigua and Barbuda;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
37;B-S excluding O and excluding S94;Antigua and Barbuda;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
38;B-S excluding O and excluding S94;Argentina;2021;5.0;6.0;5.0;3.0;3.0;2.0;1.0;0.0;0.0;;
39;B-S excluding O and excluding S94;Argentina;2022;5.0;9.0;7.0;4.0;5.0;2.0;1.0;0.0;0.0;;
40;B-S excluding O and excluding S94;Armenia;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
41;B-S excluding O and excluding S94;Armenia;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
42;B-S excluding O and excluding S94;Aruba;2021;0.0;;;;;;;;;;
43;B-S excluding O and excluding S94;Aruba;2022;0.0;;;;;;;;;;
44;B-S excluding O and excluding S94;Australia;2021;120.0;;;;;;;;;;
45;B-S excluding O and excluding S94;Australia;2022;120.0;1360.0;1152.0;528.0;857.0;207.0;333.0;;6.0;;
46;B-S excluding O and excluding S94;Azerbaijan;2021;0.0;;;;;;;;;;
47;B-S excluding O and excluding S94;Azerbaijan;2022;0.0;;;;;;;;;;
48;B-S excluding O and excluding S94;Bahamas;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
49;B-S excluding O and excluding S94;Bahamas;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
50;B-S excluding O and excluding S94;Bhutan;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
51;B-S excluding O and excluding S94;Bhutan;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
52;B-S excluding O and excluding S94;Bahrain;2021;0.0;;;;;;;;;;
53;B-S excluding O and excluding S94;Bahrain;2022;0.0;;;;;;;;;;
54;B-S excluding O and excluding S94;Bangladesh;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
55;B-S excluding O and excluding S94;Bangladesh;2022;0.0;;;;;;;;;;
56;B-S excluding O and excluding S94;Barbados;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
57;B-S excluding O and excluding S94;Barbados;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
58;B-S excluding O and excluding S94;Belgium;2021;1915.0;19923.0;12847.0;5881.0;14425.0;7258.0;3503.0;853.0;71.0;;
59;B-S excluding O and excluding S94;Belgium;2022;2015.0;24046.0;16116.0;6974.0;17533.0;8151.0;4103.0;556.0;78.0;;
60;B-S excluding O and excluding S94;Belize;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
61;B-S excluding O and excluding S94;Belize;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
62;B-S excluding O and excluding S94;Benin;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
63;B-S excluding O and excluding S94;Benin;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
64;B-S excluding O and excluding S94;Bermuda;2021;20.0;110.0;28.0;19.0;92.0;82.0;14.0;;0.0;;
65;B-S excluding O and excluding S94;Bermuda;2022;15.0;105.0;25.0;17.0;87.0;79.0;13.0;;0.0;;
66;B-S excluding O and excluding S94;Bolivia;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
67;B-S excluding O and excluding S94;Bolivia;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
68;B-S excluding O and excluding S94;Bosnia and Herzegovina;2021;0.0;;;;;;;;;;
69;B-S excluding O and excluding S94;Bosnia and Herzegovina;2022;0.0;;;;;;;;;;
70;B-S excluding O and excluding S94;Botswana;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
71;B-S excluding O and excluding S94;Botswana;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
72;B-S excluding O and excluding S94;Bouvet Island;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
73;B-S excluding O and excluding S94;Bouvet Island;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
74;B-S excluding O and excluding S94;Brazil;2021;40.0;;;;;;;7.0;1.0;;
75;B-S excluding O and excluding S94;Brazil;2022;45.0;39871.0;2952.0;1932.0;37994.0;36920.0;82.0;25.0;1.0;;
76;B-S excluding O and excluding S94;British Indian Ocean Territory;2021;0.0;;;;;;;;;;
77;B-S excluding O and excluding S94;British Indian Ocean Territory;2022;0.0;;;;;;;;;;
78;B-S excluding O and excluding S94;British Virgin Islands;2021;5.0;2.0;1.0;1.0;1.0;1.0;0.0;;0.0;;
79;B-S excluding O and excluding S94;British Virgin Islands;2022;5.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
80;B-S excluding O and excluding S94;Brunei;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
81;B-S excluding O and excluding S94;Brunei;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
82;B-S excluding O and excluding S94;Bulgaria;2021;15.0;8.0;7.0;4.0;4.0;0.0;3.0;0.0;0.0;;
83;B-S excluding O and excluding S94;Bulgaria;2022;20.0;10.0;8.0;4.0;6.0;2.0;3.0;0.0;0.0;;
84;B-S excluding O and excluding S94;Burkina Faso;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
85;B-S excluding O and excluding S94;Burkina Faso;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
86;B-S excluding O and excluding S94;Burundi;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
87;B-S excluding O and excluding S94;Burundi;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
88;B-S excluding O and excluding S94;Cambodia;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
89;B-S excluding O and excluding S94;Cambodia;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
90;B-S excluding O and excluding S94;Canada;2021;250.0;6684.0;4817.0;2131.0;4667.0;1943.0;1414.0;143.0;26.0;;
91;B-S excluding O and excluding S94;Canada;2022;255.0;7365.0;5896.0;2447.0;5048.0;1500.0;1439.0;205.0;26.0;;
92;B-S excluding O and excluding S94;Bonaire, Sint Eustatius and Saba;2021;0.0;;;;;;;0.0;0.0;;
93;B-S excluding O and excluding S94;Bonaire, Sint Eustatius and Saba;2022;0.0;;;;;;;0.0;0.0;;
94;B-S excluding O and excluding S94;Cayman Islands;2021;15.0;47.0;44.0;27.0;20.0;3.0;13.0;1.0;0.0;;
95;B-S excluding O and excluding S94;Cayman Islands;2022;20.0;;;;;;;1.0;0.0;;
96;B-S excluding O and excluding S94;Central African Republic;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
97;B-S excluding O and excluding S94;Central African Republic;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
98;B-S excluding O and excluding S94;Chile;2021;10.0;62.0;17.0;6.0;56.0;44.0;4.0;;0.0;;
99;B-S excluding O and excluding S94;Chile;2022;10.0;41.0;24.0;13.0;28.0;16.0;4.0;;0.0;;
100;B-S excluding O and excluding S94;China;2021;470.0;13469.0;7988.0;2972.0;9529.0;4322.0;1100.0;176.0;13.0;;
101;B-S excluding O and excluding S94;China;2022;480.0;14172.0;9274.0;3590.0;12163.0;6363.0;1136.0;119.0;13.0;;
102;B-S excluding O and excluding S94;Christmas Island;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
103;B-S excluding O and excluding S94;Christmas Island;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
104;B-S excluding O and excluding S94;Cocos Islands;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
105;B-S excluding O and excluding S94;Cocos Islands;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
106;B-S excluding O and excluding S94;Colombia;2021;0.0;;;;;;;;;;
107;B-S excluding O and excluding S94;Colombia;2022;0.0;;;;;;;;;;
108;B-S excluding O and excluding S94;Comoros;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
109;B-S excluding O and excluding S94;Comoros;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
110;B-S excluding O and excluding S94;Congo;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
111;B-S excluding O and excluding S94;Congo;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
112;B-S excluding O and excluding S94;Congo (Democratic Republic);2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
113;B-S excluding O and excluding S94;Congo (Democratic Republic);2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
114;B-S excluding O and excluding S94;Cook Islands;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
115;B-S excluding O and excluding S94;Cook Islands;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
116;B-S excluding O and excluding S94;Costa Rica;2021;0.0;;;;;;;0.0;0.0;;
117;B-S excluding O and excluding S94;Costa Rica;2022;0.0;;;;;;;;;;
118;B-S excluding O and excluding S94;Cuba;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
119;B-S excluding O and excluding S94;Cuba;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
120;B-S excluding O and excluding S94;Curaçao;2021;5.0;;;;;;;;;;
121;B-S excluding O and excluding S94;Curaçao;2022;5.0;;;;;;;;0.0;;
122;B-S excluding O and excluding S94;Cyprus;2021;50.0;432.0;260.0;83.0;304.0;80.0;44.0;4.0;1.0;;
123;B-S excluding O and excluding S94;Cyprus;2022;60.0;335.0;329.0;69.0;298.0;67.0;47.0;7.0;1.0;;
124;B-S excluding O and excluding S94;Denmark;2021;355.0;8749.0;4839.0;1774.0;7037.0;3963.0;1168.0;198.0;21.0;;
125;B-S excluding O and excluding S94;Denmark;2022;350.0;10576.0;6335.0;2275.0;8377.0;4294.0;1346.0;205.0;22.0;;
126;B-S excluding O and excluding S94;Djibouti;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
127;B-S excluding O and excluding S94;Djibouti;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
128;B-S excluding O and excluding S94;Dominica;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
129;B-S excluding O and excluding S94;Dominica;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
130;B-S excluding O and excluding S94;Dominican Republic;2021;0.0;;;;;;;0.0;0.0;;
131;B-S excluding O and excluding S94;Dominican Republic;2022;0.0;;;;;;;0.0;0.0;;
132;B-S excluding O and excluding S94;Germany;2021;2515.0;101647.0;49601.0;18282.0;82721.0;50778.0;9947.0;4816.0;180.0;;
133;B-S excluding O and excluding S94;Germany;2022;2515.0;126965.0;63219.0;22333.0;105407.0;63374.0;10720.0;5398.0;189.0;;
134;B-S excluding O and excluding S94;Ecuador;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
135;B-S excluding O and excluding S94;Ecuador;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
136;B-S excluding O and excluding S94;Egypt;2021;10.0;19.0;6.0;4.0;16.0;13.0;2.0;;;;
137;B-S excluding O and excluding S94;Egypt;2022;10.0;;;;;;;0.0;0.0;;
138;B-S excluding O and excluding S94;El Salvador;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
139;B-S excluding O and excluding S94;El Salvador;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
140;B-S excluding O and excluding S94;Equatorial Guinea;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
141;B-S excluding O and excluding S94;Equatorial Guinea;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
142;B-S excluding O and excluding S94;Eritrea;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
143;B-S excluding O and excluding S94;Eritrea;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
144;B-S excluding O and excluding S94;Estonia;2021;20.0;34.0;32.0;5.0;29.0;2.0;3.0;0.0;0.0;;
145;B-S excluding O and excluding S94;Estonia;2022;25.0;71.0;64.0;20.0;51.0;7.0;11.0;1.0;0.0;;
146;B-S excluding O and excluding S94;Eswatini;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
147;B-S excluding O and excluding S94;Eswatini;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
148;B-S excluding O and excluding S94;Ethiopia;2021;0.0;;;;;;;0.0;0.0;;
149;B-S excluding O and excluding S94;Ethiopia;2022;0.0;;;;;;;0.0;0.0;;
150;B-S excluding O and excluding S94;Faroe Islands;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
151;B-S excluding O and excluding S94;Faroe Islands;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
152;B-S excluding O and excluding S94;Falkland Islands (Malvinas);2021;0.0;;;;;;;;;;
153;B-S excluding O and excluding S94;Falkland Islands (Malvinas);2022;0.0;;;;;;;;;;
154;B-S excluding O and excluding S94;Fiji;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
155;B-S excluding O and excluding S94;Fiji;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
156;B-S excluding O and excluding S94;Philippines;2021;5.0;;;;;;;;;;
157;B-S excluding O and excluding S94;Philippines;2022;0.0;;;;;;;;;;
158;B-S excluding O and excluding S94;Finland;2021;135.0;5013.0;2372.0;1093.0;3946.0;2648.0;501.0;44.0;7.0;;
159;B-S excluding O and excluding S94;Finland;2022;140.0;5406.0;2314.0;1037.0;4433.0;3122.0;522.0;54.0;6.0;;
160;B-S excluding O and excluding S94;France;2021;1035.0;58206.0;36992.0;15584.0;44457.0;22526.0;9931.0;2364.0;155.0;;
161;B-S excluding O and excluding S94;France;2022;1090.0;76574.0;48959.0;19911.0;57827.0;28265.0;11426.0;2508.0;195.0;;
162;B-S excluding O and excluding S94;French Southern Territories;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
163;B-S excluding O and excluding S94;French Southern Territories;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
164;B-S excluding O and excluding S94;French Polynesia;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
165;B-S excluding O and excluding S94;French Polynesia;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
166;B-S excluding O and excluding S94;Gabon;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
167;B-S excluding O and excluding S94;Gabon;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
168;B-S excluding O and excluding S94;Gambia;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
169;B-S excluding O and excluding S94;Gambia;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
170;B-S excluding O and excluding S94;Georgia;2021;0.0;;;;;;;;;;
171;B-S excluding O and excluding S94;Georgia;2022;0.0;;;;;;;;;;
172;B-S excluding O and excluding S94;Ghana;2021;0.0;;;;;;;0.0;0.0;;
173;B-S excluding O and excluding S94;Ghana;2022;0.0;;;;;;;0.0;0.0;;
174;B-S excluding O and excluding S94;Gibraltar;2021;0.0;;;;;;;0.0;;;
175;B-S excluding O and excluding S94;Gibraltar;2022;0.0;;;;;;;;;;
176;B-S excluding O and excluding S94;Grenada;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
177;B-S excluding O and excluding S94;Grenada;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
178;B-S excluding O and excluding S94;Greece;2021;15.0;40.0;28.0;6.0;34.0;12.0;11.0;0.0;0.0;;
179;B-S excluding O and excluding S94;Greece;2022;10.0;29.0;23.0;9.0;23.0;9.0;3.0;0.0;0.0;;
180;B-S excluding O and excluding S94;Greenland;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
181;B-S excluding O and excluding S94;Greenland;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
182;B-S excluding O and excluding S94;Guam;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
183;B-S excluding O and excluding S94;Guam;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
184;B-S excluding O and excluding S94;Guatemala;2021;0.0;;;;;;;;;;
185;B-S excluding O and excluding S94;Guatemala;2022;0.0;;;;;;;;;;
186;B-S excluding O and excluding S94;Guernsey;2021;10.0;;;;;;;;;;
187;B-S excluding O and excluding S94;Guernsey;2022;15.0;;;;;;;;;;
188;B-S excluding O and excluding S94;Guinea-Bissau;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
189;B-S excluding O and excluding S94;Guinea-Bissau;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
190;B-S excluding O and excluding S94;Guinea;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
191;B-S excluding O and excluding S94;Guinea;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
192;B-S excluding O and excluding S94;Guyana;2021;0.0;;;;;;;0.0;;;
193;B-S excluding O and excluding S94;Guyana;2022;0.0;;;;;;;;;;
194;B-S excluding O and excluding S94;Haiti;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
195;B-S excluding O and excluding S94;Haiti;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
196;B-S excluding O and excluding S94;Heard Island and McDonald Islands;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
197;B-S excluding O and excluding S94;Heard Island and McDonald Islands;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
198;B-S excluding O and excluding S94;Honduras;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
199;B-S excluding O and excluding S94;Honduras;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
200;B-S excluding O and excluding S94;Hungary;2021;30.0;228.0;91.0;59.0;170.0;137.0;16.0;1.0;0.0;;
201;B-S excluding O and excluding S94;Hungary;2022;30.0;362.0;144.0;103.0;260.0;218.0;20.0;1.0;0.0;;
202;B-S excluding O and excluding S94;Hong Kong;2021;120.0;7464.0;2655.0;1619.0;6055.0;4839.0;833.0;133.0;24.0;;
203;B-S excluding O and excluding S94;Hong Kong;2022;115.0;7265.0;2852.0;1701.0;5781.0;4425.0;809.0;140.0;23.0;;
204;B-S excluding O and excluding S94;Ireland;2021;250.0;7732.0;4760.0;1982.0;5820.0;3000.0;1140.0;135.0;18.0;;
205;B-S excluding O and excluding S94;Ireland;2022;275.0;9887.0;6140.0;2263.0;7678.0;3736.0;1196.0;130.0;18.0;;
206;B-S excluding O and excluding S94;Iceland;2021;20.0;988.0;726.0;294.0;728.0;269.0;173.0;;2.0;;
207;B-S excluding O and excluding S94;Iceland;2022;25.0;1211.0;854.0;346.0;870.0;372.0;196.0;16.0;3.0;;
208;B-S excluding O and excluding S94;India;2021;205.0;9611.0;8541.0;2809.0;7684.0;1704.0;1649.0;;19.0;;
209;B-S excluding O and excluding S94;India;2022;205.0;11495.0;10260.0;2912.0;9179.0;2128.0;1818.0;424.0;20.0;;
210;B-S excluding O and excluding S94;Indonesia;2021;5.0;;;;;;;;;;
211;B-S excluding O and excluding S94;Indonesia;2022;5.0;;;;;;;;;;
212;B-S excluding O and excluding S94;Iraq;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
213;B-S excluding O and excluding S94;Iraq;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
214;B-S excluding O and excluding S94;Iran;2021;5.0;;;;;;;;;;
215;B-S excluding O and excluding S94;Iran;2022;0.0;;;;;;;;;;
216;B-S excluding O and excluding S94;Israel;2021;165.0;3871.0;1665.0;558.0;3568.0;2274.0;314.0;36.0;5.0;;
217;B-S excluding O and excluding S94;Israel;2022;160.0;4867.0;2145.0;751.0;4493.0;2921.0;366.0;177.0;5.0;;
218;B-S excluding O and excluding S94;Italy;2021;340.0;4821.0;3230.0;1380.0;3619.0;1738.0;814.0;112.0;15.0;;
219;B-S excluding O and excluding S94;Italy;2022;345.0;6323.0;4372.0;1732.0;4733.0;2028.0;929.0;120.0;17.0;;
220;B-S excluding O and excluding S94;Ivory Coast;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
221;B-S excluding O and excluding S94;Ivory Coast;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
222;B-S excluding O and excluding S94;Jamaica;2021;0.0;;;;;;;;;;
223;B-S excluding O and excluding S94;Jamaica;2022;0.0;;;;;;;;;;
224;B-S excluding O and excluding S94;Japan;2021;685.0;49776.0;17740.0;7963.0;42212.0;32211.0;4835.0;919.0;88.0;;
225;B-S excluding O and excluding S94;Japan;2022;660.0;58966.0;21011.0;8788.0;50609.0;38118.0;5078.0;1187.0;85.0;;
226;B-S excluding O and excluding S94;Yemen;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
227;B-S excluding O and excluding S94;Yemen;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
228;B-S excluding O and excluding S94;Jersey;2021;35.0;23.0;19.0;10.0;13.0;4.0;5.0;0.0;0.0;;
229;B-S excluding O and excluding S94;Jersey;2022;15.0;12.0;10.0;6.0;6.0;2.0;4.0;0.0;0.0;;
230;B-S excluding O and excluding S94;Jordan;2021;0.0;;;;;;;;;;
231;B-S excluding O and excluding S94;Jordan;2022;0.0;;;;;;;;;;
232;B-S excluding O and excluding S94;Cape Verde;2021;0.0;;;;;;;;;;
