ID;BedrijfstakkenBranchesSBI2008;Marges;Perioden;TotaalWerknemersMetEenOngeval_1;WerknemersOngevalZonderVerzuim_2;WerknemersOngeval1DagOfMeerVerzuim_3;WerknemersOngeval4DgnOfMeerVerzuim_4;LichamelijkLetsel_5;GeestelijkLetsel_6;OnderscheidNietTeMaken_7;LetselOnbekend_8
42;A Landbouw, bosbouw en visserij;Waarde;2023;4.4;2.5;2.3;1.3;3.6;0.4;0.2;0.2
43;A Landbouw, bosbouw en visserij;Waarde;2024;5.2;2.1;2.9;2.4;4.8;0.0;0.0;0.1
44;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2014;4.5;1.4;2.7;1.5;3.0;0.0;0.5;0.1
45;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2015;1.7;0.8;0.6;0.1;1.2;0.0;0.1;0.0
46;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2016;1.9;1.2;0.2;0.1;1.2;0.0;0.3;0.0
47;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2017;2.4;1.2;1.3;0.8;2.4;0.0;0.0;0.0
48;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2018;3.4;1.5;1.4;1.3;2.7;0.0;0.1;0.0
49;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2019;3.0;1.3;1.4;0.5;2.4;0.0;0.1;0.0
50;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2020;1.7;0.3;0.9;0.3;1.3;0.0;0.0;0.1
51;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2021;1.3;0.4;0.5;0.1;1.0;0.0;0.1;0.0
52;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2022;1.6;1.1;0.6;0.3;1.1;0.1;0.0;0.0
53;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2023;3.0;1.5;1.3;0.6;2.4;0.1;0.0;0.0
54;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2024;3.5;1.1;1.7;1.4;3.2;0.0;0.0;0.0
55;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2014;9.4;4.6;7.0;5.0;7.2;1.9;2.8;1.6
56;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2015;5.2;3.4;3.1;2.2;4.3;;1.5;2.0
57;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2016;5.0;3.9;1.9;1.5;3.8;;2.0;1.4
58;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2017;6.4;4.1;4.7;3.4;6.3;;;
59;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2018;7.2;4.4;4.2;3.9;6.0;1.4;1.5;2.4
60;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2019;6.5;4.0;4.0;2.2;5.4;2.2;1.4;
61;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2020;4.9;2.4;3.6;2.1;4.1;;;2.1
62;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2021;4.2;2.7;2.7;1.3;3.7;;1.5;
63;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2022;4.5;3.8;3.0;1.8;3.3;2.4;;1.8
64;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2023;6.5;4.1;4.0;2.9;5.5;1.6;1.1;1.3
65;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2024;7.6;4.0;4.9;4.3;7.1;;;1.0
66;B Delfstoffenwinning;Waarde;2014;;;;;;;;
67;B Delfstoffenwinning;Waarde;2015;0.5;0.2;0.3;0.3;0.3;0.0;0.2;0.0
68;B Delfstoffenwinning;Waarde;2016;1.3;1.0;0.4;0.0;1.3;0.0;0.0;0.0
69;B Delfstoffenwinning;Waarde;2017;2.0;2.0;0.5;0.5;0.5;0.0;1.6;0.0
70;B Delfstoffenwinning;Waarde;2018;2.0;0.8;1.2;1.0;1.6;0.4;0.0;0.0
71;B Delfstoffenwinning;Waarde;2019;2.4;1.5;0.8;0.8;1.8;0.6;0.0;0.0
72;B Delfstoffenwinning;Waarde;2020;0.4;0.0;0.4;0.4;0.4;0.0;0.0;0.0
73;B Delfstoffenwinning;Waarde;2021;2.3;0.9;1.0;1.0;0.9;0.7;0.3;0.5
74;B Delfstoffenwinning;Waarde;2022;2.6;0.2;2.4;0.5;2.1;0.1;0.4;0.0
75;B Delfstoffenwinning;Waarde;2023;2.5;0.0;2.5;2.5;1.8;0.7;0.0;0.0
76;B Delfstoffenwinning;Waarde;2024;2.4;1.1;1.3;1.3;1.2;0.4;0.7;0.0
77;B Delfstoffenwinning;Ondergrens 95%-interval;2014;;;;;;;;
78;B Delfstoffenwinning;Ondergrens 95%-interval;2015;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0
79;B Delfstoffenwinning;Ondergrens 95%-interval;2016;0.4;0.2;0.1;0.0;0.4;0.0;0.0;0.0
80;B Delfstoffenwinning;Ondergrens 95%-interval;2017;0.4;0.4;0.1;0.1;0.1;0.0;0.2;0.0
81;B Delfstoffenwinning;Ondergrens 95%-interval;2018;0.8;0.1;0.4;0.3;0.5;0.1;0.0;0.0
82;B Delfstoffenwinning;Ondergrens 95%-interval;2019;1.0;0.5;0.2;0.2;0.7;0.1;0.0;0.0
83;B Delfstoffenwinning;Ondergrens 95%-interval;2020;0.1;0.0;0.1;0.1;0.1;0.0;0.0;0.0
84;B Delfstoffenwinning;Ondergrens 95%-interval;2021;0.9;0.2;0.2;0.2;0.2;0.1;0.0;0.1
85;B Delfstoffenwinning;Ondergrens 95%-interval;2022;0.6;0.0;0.5;0.2;0.4;0.0;0.1;0.0
86;B Delfstoffenwinning;Ondergrens 95%-interval;2023;0.8;0.0;0.8;0.8;0.4;0.1;0.0;0.0
87;B Delfstoffenwinning;Ondergrens 95%-interval;2024;0.9;0.2;0.4;0.4;0.3;0.1;0.2;0.0
88;B Delfstoffenwinning;Bovengrens 95%-interval;2014;;;;;;;;
89;B Delfstoffenwinning;Bovengrens 95%-interval;2015;2.1;1.6;2.1;2.1;2.0;;1.6;
90;B Delfstoffenwinning;Bovengrens 95%-interval;2016;4.1;3.8;2.6;;4.1;;;
91;B Delfstoffenwinning;Bovengrens 95%-interval;2017;9.3;9.3;3.2;3.2;3.2;;10.3;
92;B Delfstoffenwinning;Bovengrens 95%-interval;2018;5.4;5.5;3.3;3.1;4.8;2.9;;
93;B Delfstoffenwinning;Bovengrens 95%-interval;2019;5.7;4.7;3.4;3.4;4.8;3.8;;
94;B Delfstoffenwinning;Bovengrens 95%-interval;2020;1.6;;1.6;1.6;1.6;;;
95;B Delfstoffenwinning;Bovengrens 95%-interval;2021;5.7;3.6;4.3;4.3;3.6;4.6;2.1;3.3
96;B Delfstoffenwinning;Bovengrens 95%-interval;2022;10.4;1.5;10.7;1.6;11.3;1.0;1.5;
97;B Delfstoffenwinning;Bovengrens 95%-interval;2023;7.8;;7.8;7.8;7.1;5.1;;
98;B Delfstoffenwinning;Bovengrens 95%-interval;2024;6.2;5.7;3.7;3.7;5.6;1.8;3.3;
99;B-E Nijverheid (geen bouw) en energie;Waarde;2014;4.0;2.2;1.8;1.4;2.7;0.3;0.7;0.3
100;B-E Nijverheid (geen bouw) en energie;Waarde;2015;3.8;1.7;2.2;1.6;2.7;0.3;0.5;0.3
101;B-E Nijverheid (geen bouw) en energie;Waarde;2016;3.6;1.7;2.1;1.4;2.6;0.2;0.5;0.2
102;B-E Nijverheid (geen bouw) en energie;Waarde;2017;4.5;2.1;2.5;1.9;3.3;0.4;0.6;0.2
103;B-E Nijverheid (geen bouw) en energie;Waarde;2018;3.6;1.5;2.0;1.7;2.4;0.4;0.6;0.2
104;B-E Nijverheid (geen bouw) en energie;Waarde;2019;3.9;2.1;1.8;1.4;2.8;0.3;0.5;0.2
105;B-E Nijverheid (geen bouw) en energie;Waarde;2020;2.7;1.4;1.3;0.9;1.9;0.2;0.4;0.1
106;B-E Nijverheid (geen bouw) en energie;Waarde;2021;3.2;1.5;1.7;1.3;2.2;0.4;0.5;0.1
107;B-E Nijverheid (geen bouw) en energie;Waarde;2022;3.0;1.3;1.8;1.4;2.2;0.4;0.3;0.1
108;B-E Nijverheid (geen bouw) en energie;Waarde;2023;3.2;1.5;1.7;1.2;2.3;0.4;0.3;0.1
109;B-E Nijverheid (geen bouw) en energie;Waarde;2024;2.3;1.1;1.3;1.0;1.6;0.4;0.2;0.1
110;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2014;3.4;1.8;1.4;1.1;2.2;0.2;0.5;0.2
111;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2015;3.3;1.4;1.8;1.3;2.2;0.2;0.3;0.2
112;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2016;3.1;1.3;1.7;1.1;2.2;0.1;0.3;0.1
113;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2017;3.9;1.7;2.1;1.5;2.8;0.3;0.4;0.1
114;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2018;3.2;1.3;1.7;1.4;2.0;0.3;0.4;0.1
115;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2019;3.4;1.7;1.5;1.1;2.3;0.2;0.4;0.1
116;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2020;2.2;1.1;1.0;0.7;1.5;0.1;0.2;0.1
117;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2021;2.7;1.2;1.3;1.0;1.8;0.2;0.4;0.0
118;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2022;2.6;1.0;1.5;1.1;1.8;0.3;0.2;0.0
119;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2023;2.8;1.2;1.4;1.0;1.9;0.3;0.2;0.1
120;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2024;2.0;0.8;1.1;0.8;1.3;0.3;0.1;0.0
121;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2014;4.6;2.7;2.2;1.8;3.2;0.4;1.0;0.5
122;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2015;4.4;2.1;2.7;2.0;3.2;0.5;0.8;0.5
123;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2016;4.1;2.0;2.5;1.8;3.1;0.4;0.7;0.4
124;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2017;5.1;2.6;3.0;2.3;3.8;0.6;0.9;0.4
125;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2018;4.1;1.9;2.4;2.0;2.8;0.6;0.8;0.3
126;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2019;4.4;2.5;2.2;1.7;3.2;0.5;0.8;0.3
127;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2020;3.1;1.7;1.7;1.2;2.3;0.4;0.6;0.3
128;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2021;3.8;1.9;2.1;1.7;2.7;0.6;0.8;0.2
129;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2022;3.5;1.6;2.2;1.7;2.6;0.6;0.4;0.2
130;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2023;3.8;1.9;2.1;1.6;2.7;0.6;0.6;0.3
131;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2024;2.8;1.4;1.7;1.3;1.9;0.6;0.4;0.3
132;B-F Nijverheid en energie;Waarde;2014;4.5;2.2;2.2;1.6;3.0;0.3;0.7;0.5
133;B-F Nijverheid en energie;Waarde;2015;4.0;1.7;2.4;1.7;2.9;0.3;0.5;0.3
134;B-F Nijverheid en energie;Waarde;2016;3.7;1.7;2.2;1.5;2.6;0.3;0.5;0.2
135;B-F Nijverheid en energie;Waarde;2017;4.1;1.9;2.3;1.8;2.9;0.3;0.5;0.2
136;B-F Nijverheid en energie;Waarde;2018;3.6;1.6;2.0;1.7;2.4;0.4;0.6;0.2
137;B-F Nijverheid en energie;Waarde;2019;4.0;2.1;2.0;1.5;3.0;0.3;0.5;0.2
138;B-F Nijverheid en energie;Waarde;2020;2.9;1.2;1.7;1.2;2.0;0.3;0.4;0.1
139;B-F Nijverheid en energie;Waarde;2021;3.2;1.5;1.8;1.2;2.2;0.3;0.6;0.1
140;B-F Nijverheid en energie;Waarde;2022;3.1;1.4;1.8;1.3;2.2;0.3;0.4;0.1
141;B-F Nijverheid en energie;Waarde;2023;3.1;1.3;1.8;1.3;2.2;0.4;0.4;0.1
142;B-F Nijverheid en energie;Waarde;2024;2.7;1.2;1.5;1.1;1.9;0.3;0.2;0.1
143;B-F Nijverheid en energie;Ondergrens 95%-interval;2014;3.9;1.8;1.8;1.3;2.5;0.2;0.5;0.3
144;B-F Nijverheid en energie;Ondergrens 95%-interval;2015;3.5;1.4;2.0;1.4;2.5;0.2;0.3;0.2
145;B-F Nijverheid en energie;Ondergrens 95%-interval;2016;3.2;1.4;1.8;1.2;2.3;0.2;0.4;0.1
146;B-F Nijverheid en energie;Ondergrens 95%-interval;2017;3.6;1.6;1.9;1.5;2.6;0.2;0.4;0.1
147;B-F Nijverheid en energie;Ondergrens 95%-interval;2018;3.2;1.4;1.7;1.4;2.1;0.3;0.4;0.1
148;B-F Nijverheid en energie;Ondergrens 95%-interval;2019;3.6;1.8;1.7;1.3;2.6;0.2;0.4;0.1
149;B-F Nijverheid en energie;Ondergrens 95%-interval;2020;2.5;1.0;1.4;0.9;1.7;0.2;0.3;0.1
150;B-F Nijverheid en energie;Ondergrens 95%-interval;2021;2.8;1.2;1.5;1.0;1.9;0.2;0.4;0.0
151;B-F Nijverheid en energie;Ondergrens 95%-interval;2022;2.7;1.1;1.5;1.1;1.9;0.2;0.3;0.0
152;B-F Nijverheid en energie;Ondergrens 95%-interval;2023;2.7;1.1;1.5;1.1;1.9;0.2;0.2;0.1
153;B-F Nijverheid en energie;Ondergrens 95%-interval;2024;2.3;1.0;1.2;0.9;1.7;0.2;0.1;0.0
154;B-F Nijverheid en energie;Bovengrens 95%-interval;2014;5.1;2.7;2.6;1.9;3.5;0.4;0.9;0.7
155;B-F Nijverheid en energie;Bovengrens 95%-interval;2015;4.5;2.1;2.8;2.0;3.4;0.4;0.7;0.5
156;B-F Nijverheid en energie;Bovengrens 95%-interval;2016;4.2;2.1;2.6;1.8;3.1;0.4;0.7;0.4
157;B-F Nijverheid en energie;Bovengrens 95%-interval;2017;4.6;2.3;2.7;2.1;3.4;0.5;0.7;0.4
158;B-F Nijverheid en energie;Bovengrens 95%-interval;2018;4.0;1.9;2.3;2.0;2.7;0.6;0.8;0.3
159;B-F Nijverheid en energie;Bovengrens 95%-interval;2019;4.5;2.4;2.4;1.8;3.4;0.4;0.7;0.3
160;B-F Nijverheid en energie;Bovengrens 95%-interval;2020;3.3;1.5;2.0;1.4;2.4;0.4;0.6;0.2
161;B-F Nijverheid en energie;Bovengrens 95%-interval;2021;3.7;1.8;2.1;1.5;2.6;0.5;0.9;0.2
162;B-F Nijverheid en energie;Bovengrens 95%-interval;2022;3.5;1.6;2.1;1.6;2.6;0.5;0.6;0.2
163;B-F Nijverheid en energie;Bovengrens 95%-interval;2023;3.5;1.6;2.1;1.6;2.5;0.5;0.5;0.3
164;B-F Nijverheid en energie;Bovengrens 95%-interval;2024;3.0;1.5;1.8;1.3;2.3;0.5;0.3;0.2
165;C Industrie;Waarde;2014;4.2;2.3;1.9;1.4;2.8;0.3;0.7;0.3
166;C Industrie;Waarde;2015;4.0;1.8;2.3;1.7;2.8;0.3;0.6;0.3
167;C Industrie;Waarde;2016;3.6;1.6;2.2;1.5;2.7;0.2;0.5;0.2
168;C Industrie;Waarde;2017;4.6;2.2;2.5;1.9;3.4;0.4;0.6;0.2
169;C Industrie;Waarde;2018;3.7;1.6;2.1;1.7;2.5;0.4;0.6;0.2
170;C Industrie;Waarde;2019;3.9;2.1;1.8;1.3;2.7;0.4;0.6;0.2
171;C Industrie;Waarde;2020;2.8;1.4;1.4;1.0;1.9;0.2;0.4;0.2
172;C Industrie;Waarde;2021;3.3;1.6;1.7;1.3;2.3;0.3;0.6;0.1
173;C Industrie;Waarde;2022;3.0;1.3;1.7;1.3;2.2;0.4;0.3;0.1
174;C Industrie;Waarde;2023;3.4;1.6;1.8;1.3;2.3;0.4;0.4;0.2
175;C Industrie;Waarde;2024;2.3;1.0;1.3;1.0;1.5;0.4;0.2;0.1
176;C Industrie;Ondergrens 95%-interval;2014;3.6;1.9;1.5;1.1;2.3;0.2;0.5;0.2
177;C Industrie;Ondergrens 95%-interval;2015;3.4;1.4;1.9;1.3;2.3;0.2;0.4;0.2
178;C Industrie;Ondergrens 95%-interval;2016;3.1;1.3;1.8;1.2;2.2;0.1;0.3;0.1
179;C Industrie;Ondergrens 95%-interval;2017;4.0;1.8;2.1;1.5;2.9;0.2;0.4;0.1
180;C Industrie;Ondergrens 95%-interval;2018;3.3;1.3;1.8;1.4;2.1;0.3;0.4;0.1
181;C Industrie;Ondergrens 95%-interval;2019;3.4;1.8;1.4;1.0;2.3;0.2;0.4;0.1
182;C Industrie;Ondergrens 95%-interval;2020;2.3;1.1;1.1;0.7;1.6;0.1;0.2;0.1
183;C Industrie;Ondergrens 95%-interval;2021;2.8;1.2;1.3;1.0;1.8;0.2;0.4;0.0
184;C Industrie;Ondergrens 95%-interval;2022;2.6;1.0;1.4;1.1;1.8;0.3;0.2;0.0
185;C Industrie;Ondergrens 95%-interval;2023;2.9;1.3;1.4;1.0;2.0;0.3;0.2;0.1
186;C Industrie;Ondergrens 95%-interval;2024;1.9;0.8;1.0;0.7;1.2;0.2;0.1;0.0
187;C Industrie;Bovengrens 95%-interval;2014;4.9;2.9;2.4;1.8;3.4;0.5;1.1;0.6
188;C Industrie;Bovengrens 95%-interval;2015;4.6;2.2;2.8;2.1;3.4;0.5;0.8;0.6
189;C Industrie;Bovengrens 95%-interval;2016;4.2;2.1;2.7;1.9;3.2;0.4;0.7;0.4
190;C Industrie;Bovengrens 95%-interval;2017;5.3;2.7;3.1;2.4;4.0;0.6;0.9;0.4
191;C Industrie;Bovengrens 95%-interval;2018;4.3;1.9;2.5;2.1;2.9;0.7;0.8;0.3
192;C Industrie;Bovengrens 95%-interval;2019;4.5;2.6;2.2;1.7;3.2;0.6;0.9;0.3
193;C Industrie;Bovengrens 95%-interval;2020;3.3;1.8;1.8;1.3;2.4;0.4;0.6;0.3
194;C Industrie;Bovengrens 95%-interval;2021;3.9;2.0;2.1;1.7;2.8;0.6;0.9;0.2
195;C Industrie;Bovengrens 95%-interval;2022;3.5;1.7;2.1;1.7;2.7;0.6;0.4;0.2
196;C Industrie;Bovengrens 95%-interval;2023;4.0;2.0;2.2;1.6;2.8;0.6;0.6;0.4
197;C Industrie;Bovengrens 95%-interval;2024;2.7;1.3;1.7;1.3;1.9;0.6;0.4;0.3
198;D Energievoorziening;Waarde;2014;0.7;0.7;0.0;0.0;0.7;0.0;0.0;0.0
199;D Energievoorziening;Waarde;2015;1.1;0.6;1.1;0.6;0.6;0.6;0.0;0.0
200;D Energievoorziening;Waarde;2016;1.3;1.3;0.0;0.0;1.0;0.0;0.3;0.0
201;D Energievoorziening;Waarde;2017;0.7;0.3;0.4;0.4;0.0;0.7;0.0;0.0
202;D Energievoorziening;Waarde;2018;0.5;0.5;0.0;0.0;0.5;0.0;0.0;0.0
203;D Energievoorziening;Waarde;2019;1.7;1.2;0.6;0.3;1.7;0.0;0.0;0.0
204;D Energievoorziening;Waarde;2020;0.4;0.0;0.4;0.4;0.4;0.0;0.0;0.0
205;D Energievoorziening;Waarde;2021;1.9;0.5;1.1;0.4;1.1;0.3;0.4;0.0
206;D Energievoorziening;Waarde;2022;1.8;0.2;1.6;1.6;0.8;0.5;0.5;0.0
207;D Energievoorziening;Waarde;2023;1.4;1.1;0.3;0.3;1.1;0.3;0.0;0.0
208;D Energievoorziening;Waarde;2024;1.5;1.3;0.2;0.0;0.7;0.4;0.0;0.4
209;D Energievoorziening;Ondergrens 95%-interval;2014;0.1;0.1;0.0;0.0;0.1;0.0;0.0;0.0
210;D Energievoorziening;Ondergrens 95%-interval;2015;0.3;0.1;0.3;0.1;0.1;0.1;0.0;0.0
211;D Energievoorziening;Ondergrens 95%-interval;2016;0.4;0.4;0.0;0.0;0.2;0.0;0.0;0.0
212;D Energievoorziening;Ondergrens 95%-interval;2017;0.2;0.0;0.1;0.1;0.0;0.2;0.0;0.0
213;D Energievoorziening;Ondergrens 95%-interval;2018;0.1;0.1;0.0;0.0;0.1;0.0;0.0;0.0
214;D Energievoorziening;Ondergrens 95%-interval;2019;0.7;0.4;0.1;0.0;0.7;0.0;0.0;0.0
215;D Energievoorziening;Ondergrens 95%-interval;2020;0.1;0.0;0.1;0.1;0.1;0.0;0.0;0.0
216;D Energievoorziening;Ondergrens 95%-interval;2021;0.7;0.1;0.3;0.1;0.3;0.0;0.1;0.0
217;D Energievoorziening;Ondergrens 95%-interval;2022;0.6;0.0;0.5;0.5;0.2;0.1;0.1;0.0
218;D Energievoorziening;Ondergrens 95%-interval;2023;0.5;0.3;0.0;0.0;0.3;0.0;0.0;0.0
219;D Energievoorziening;Ondergrens 95%-interval;2024;0.6;0.4;0.0;0.0;0.2;0.1;0.0;0.1
220;D Energievoorziening;Bovengrens 95%-interval;2014;4.9;4.9;;;4.8;;;
221;D Energievoorziening;Bovengrens 95%-interval;2015;4.3;3.8;4.3;3.9;3.8;3.9;;
222;D Energievoorziening;Bovengrens 95%-interval;2016;4.1;4.1;;;4.0;;2.1;
223;D Energievoorziening;Bovengrens 95%-interval;2017;2.9;2.0;3.0;3.0;;2.9;;
224;D Energievoorziening;Bovengrens 95%-interval;2018;3.2;3.2;;;3.1;;;
225;D Energievoorziening;Bovengrens 95%-interval;2019;4.2;3.7;2.3;2.3;4.2;;;
226;D Energievoorziening;Bovengrens 95%-interval;2020;3.1;;3.1;3.1;3.1;;;
227;D Energievoorziening;Bovengrens 95%-interval;2021;4.9;3.4;4.0;1.8;4.5;2.3;1.8;
228;D Energievoorziening;Bovengrens 95%-interval;2022;4.9;1.4;4.9;4.9;3.6;3.4;3.6;
229;D Energievoorziening;Bovengrens 95%-interval;2023;3.7;3.5;1.9;1.9;3.4;1.8;;
