ID;Vakantiekenmerken;Perioden;TotaalAantalLangeVakantiesNederland_1;TotaalSeizoenrecreatieveLogiesvormen_2;SLCaravanVouwwagen_3;SLZomerhuisjeBungalowTweedeWoning_4;OverigeSeizoenrecreatieveLogiesvormen_5;TotaalToeristischeLogiesvormen_6;TLWoningVanAndereParticulier_7;TLHotel_8;TLZomerhuisjeVakantiebungalow_9;TLTentBungalowtent_10;TLCaravanVouwwagen_11;OverigeToeristischeLogiesvormen_12
31;Noordzeebadplaatsen (TR);2003;1269.0;371.0;155.0;180.0;35.0;898.0;70.0;81.0;369.0;70.0;215.0;93.0
32;Noordzeebadplaatsen (TR);2004;1169.0;301.0;111.0;157.0;33.0;868.0;95.0;43.0;375.0;60.0;225.0;71.0
33;Noordzeebadplaatsen (TR);2005;1106.0;292.0;110.0;147.0;36.0;814.0;79.0;70.0;354.0;42.0;204.0;65.0
34;Noordzeebadplaatsen (TR);2006;1179.0;376.0;153.0;193.0;31.0;803.0;76.0;65.0;326.0;44.0;196.0;96.0
35;Noordzeebadplaatsen (TR);2007;1068.0;271.0;85.0;177.0;9.0;797.0;53.0;80.0;351.0;60.0;187.0;66.0
36;Noordzeebadplaatsen (TR);2008;972.0;258.0;75.0;165.0;18.0;714.0;62.0;60.0;300.0;68.0;175.0;50.0
37;Noordzeebadplaatsen (TR);2009;1080.0;292.0;111.0;171.0;9.0;788.0;64.0;75.0;349.0;52.0;202.0;46.0
38;Noordzeebadplaatsen (TR);2010;1061.0;294.0;109.0;149.0;36.0;767.0;76.0;63.0;331.0;52.0;185.0;61.0
39;Noordzeebadplaatsen (TR);2011;1069.0;232.0;122.0;86.0;24.0;837.0;53.0;47.0;423.0;88.0;180.0;46.0
40;Noordzeebadplaatsen (TR);2012;1008.0;266.0;109.0;121.0;35.0;743.0;72.0;58.0;354.0;49.0;164.0;46.0
41;Noordzeebadplaatsen (TR);2013;1121.0;325.0;103.0;202.0;20.0;797.0;91.0;48.0;358.0;68.0;185.0;47.0
42;Noordzeebadplaatsen (TR);2014;1000.0;220.0;89.0;124.0;7.0;780.0;110.0;52.0;341.0;45.0;192.0;40.0
43;Noordzeebadplaatsen (TR);2015;1064.0;251.0;48.0;193.0;10.0;813.0;127.0;63.0;322.0;50.0;207.0;44.0
44;Noordzeebadplaatsen (TR);2016;1006.0;215.0;83.0;123.0;9.0;791.0;172.0;62.0;336.0;34.0;147.0;39.0
45;IJsselmeerkust (TR);2002;290.0;111.0;33.0;0.0;78.0;179.0;24.0;5.0;54.0;16.0;52.0;28.0
46;IJsselmeerkust (TR);2003;367.0;134.0;33.0;39.0;62.0;233.0;23.0;2.0;112.0;50.0;29.0;18.0
47;IJsselmeerkust (TR);2004;331.0;102.0;41.0;16.0;45.0;229.0;26.0;7.0;116.0;28.0;37.0;15.0
48;IJsselmeerkust (TR);2005;282.0;84.0;30.0;13.0;42.0;198.0;20.0;3.0;95.0;30.0;29.0;20.0
49;IJsselmeerkust (TR);2006;330.0;114.0;28.0;27.0;59.0;215.0;20.0;8.0;110.0;24.0;36.0;18.0
50;IJsselmeerkust (TR);2007;333.0;95.0;12.0;1.0;81.0;238.0;19.0;8.0;134.0;26.0;27.0;25.0
51;IJsselmeerkust (TR);2008;375.0;100.0;20.0;12.0;69.0;275.0;21.0;5.0;139.0;34.0;32.0;43.0
52;IJsselmeerkust (TR);2009;441.0;145.0;34.0;18.0;93.0;296.0;19.0;7.0;164.0;33.0;49.0;24.0
53;IJsselmeerkust (TR);2010;369.0;110.0;48.0;3.0;59.0;259.0;25.0;10.0;143.0;12.0;47.0;22.0
54;IJsselmeerkust (TR);2011;393.0;74.0;27.0;3.0;44.0;320.0;18.0;14.0;165.0;35.0;66.0;21.0
55;IJsselmeerkust (TR);2012;347.0;70.0;20.0;8.0;42.0;277.0;15.0;30.0;145.0;22.0;48.0;16.0
56;IJsselmeerkust (TR);2013;443.0;148.0;30.0;38.0;80.0;295.0;34.0;10.0;130.0;25.0;63.0;33.0
57;IJsselmeerkust (TR);2014;424.0;162.0;57.0;23.0;82.0;262.0;49.0;13.0;104.0;20.0;55.0;21.0
58;IJsselmeerkust (TR);2015;424.0;89.0;29.0;14.0;46.0;335.0;15.0;17.0;175.0;35.0;62.0;30.0
59;IJsselmeerkust (TR);2016;481.0;185.0;106.0;9.0;69.0;297.0;22.0;20.0;163.0;23.0;56.0;12.0
60;Deltagebied (TR);2002;466.0;203.0;78.0;73.0;52.0;263.0;39.0;11.0;96.0;6.0;84.0;28.0
61;Deltagebied (TR);2003;541.0;217.0;116.0;32.0;69.0;323.0;34.0;6.0;136.0;32.0;85.0;30.0
62;Deltagebied (TR);2004;488.0;184.0;85.0;89.0;10.0;304.0;28.0;11.0;127.0;30.0;79.0;29.0
63;Deltagebied (TR);2005;346.0;131.0;77.0;31.0;23.0;216.0;31.0;13.0;88.0;6.0;69.0;10.0
64;Deltagebied (TR);2006;363.0;104.0;69.0;17.0;19.0;258.0;45.0;11.0;97.0;17.0;75.0;14.0
65;Deltagebied (TR);2007;376.0;98.0;76.0;16.0;6.0;278.0;38.0;13.0;104.0;29.0;79.0;15.0
66;Deltagebied (TR);2008;359.0;119.0;73.0;21.0;25.0;240.0;46.0;16.0;91.0;27.0;38.0;22.0
67;Deltagebied (TR);2009;423.0;119.0;74.0;25.0;20.0;304.0;52.0;25.0;112.0;9.0;94.0;12.0
68;Deltagebied (TR);2010;376.0;85.0;65.0;16.0;4.0;291.0;54.0;20.0;98.0;17.0;94.0;8.0
69;Deltagebied (TR);2011;307.0;79.0;48.0;16.0;14.0;228.0;39.0;11.0;87.0;26.0;46.0;19.0
70;Deltagebied (TR);2012;305.0;89.0;55.0;18.0;15.0;216.0;60.0;9.0;47.0;30.0;47.0;24.0
71;Deltagebied (TR);2013;267.0;62.0;27.0;22.0;13.0;206.0;44.0;19.0;71.0;9.0;53.0;10.0
72;Deltagebied (TR);2014;249.0;55.0;19.0;27.0;8.0;195.0;41.0;13.0;77.0;9.0;45.0;9.0
73;Deltagebied (TR);2015;261.0;76.0;40.0;19.0;17.0;184.0;37.0;10.0;78.0;14.0;32.0;14.0
74;Deltagebied (TR);2016;278.0;85.0;26.0;35.0;24.0;194.0;21.0;13.0;73.0;13.0;52.0;21.0
75;Meren in Gron., Friesl., N.W.-Overijssel;2002;278.0;128.0;41.0;2.0;86.0;150.0;33.0;11.0;29.0;16.0;24.0;38.0
76;Meren in Gron., Friesl., N.W.-Overijssel;2003;243.0;91.0;25.0;3.0;62.0;153.0;12.0;6.0;34.0;19.0;25.0;56.0
77;Meren in Gron., Friesl., N.W.-Overijssel;2004;215.0;63.0;34.0;0.0;29.0;152.0;24.0;5.0;53.0;9.0;40.0;21.0
78;Meren in Gron., Friesl., N.W.-Overijssel;2005;281.0;124.0;41.0;18.0;66.0;157.0;18.0;1.0;35.0;10.0;55.0;39.0
79;Meren in Gron., Friesl., N.W.-Overijssel;2006;350.0;179.0;58.0;15.0;106.0;171.0;15.0;11.0;66.0;17.0;27.0;37.0
80;Meren in Gron., Friesl., N.W.-Overijssel;2007;300.0;128.0;43.0;6.0;79.0;171.0;7.0;22.0;58.0;7.0;36.0;40.0
81;Meren in Gron., Friesl., N.W.-Overijssel;2008;278.0;136.0;35.0;1.0;100.0;142.0;5.0;8.0;28.0;12.0;43.0;45.0
82;Meren in Gron., Friesl., N.W.-Overijssel;2009;264.0;126.0;20.0;8.0;98.0;137.0;14.0;14.0;31.0;17.0;24.0;37.0
83;Meren in Gron., Friesl., N.W.-Overijssel;2010;245.0;94.0;8.0;0.0;86.0;151.0;15.0;28.0;28.0;8.0;42.0;30.0
84;Meren in Gron., Friesl., N.W.-Overijssel;2011;209.0;57.0;2.0;12.0;44.0;152.0;20.0;15.0;56.0;7.0;36.0;19.0
85;Meren in Gron., Friesl., N.W.-Overijssel;2012;196.0;;;;;;;;;;;
86;Meren in Gron., Friesl., N.W.-Overijssel;2013;;;;;;;;;;;;
87;Meren in Gron., Friesl., N.W.-Overijssel;2014;277.0;105.0;45.0;28.0;33.0;172.0;33.0;23.0;27.0;1.0;48.0;40.0
88;Meren in Gron., Friesl., N.W.-Overijssel;2015;;;;;;;;;;;;
89;Meren in Gron., Friesl., N.W.-Overijssel;2016;;;;;;;;;;;;
90;Hollands-Utrechtse meren (TR);2002;92.0;66.0;16.0;34.0;16.0;26.0;12.0;0.0;2.0;2.0;5.0;4.0
91;Hollands-Utrechtse meren (TR);2003;84.0;39.0;5.0;12.0;23.0;45.0;11.0;0.0;17.0;4.0;3.0;11.0
92;Hollands-Utrechtse meren (TR);2004;74.0;41.0;3.0;17.0;22.0;32.0;12.0;0.0;0.0;3.0;11.0;6.0
93;Hollands-Utrechtse meren (TR);2005;65.0;43.0;9.0;0.0;34.0;22.0;7.0;2.0;0.0;3.0;5.0;6.0
94;Hollands-Utrechtse meren (TR);2006;76.0;46.0;4.0;0.0;42.0;30.0;6.0;0.0;10.0;3.0;6.0;5.0
95;Hollands-Utrechtse meren (TR);2007;31.0;17.0;10.0;0.0;7.0;14.0;0.0;0.0;1.0;1.0;5.0;6.0
96;Hollands-Utrechtse meren (TR);2008;26.0;14.0;6.0;3.0;;12.0;3.0;0.0;4.0;0.0;5.0;0.0
97;Hollands-Utrechtse meren (TR);2009;92.0;74.0;9.0;22.0;43.0;18.0;0.0;0.0;4.0;6.0;5.0;3.0
98;Hollands-Utrechtse meren (TR);2010;57.0;42.0;4.0;0.0;39.0;15.0;2.0;0.0;7.0;2.0;3.0;
99;Hollands-Utrechtse meren (TR);2011;31.0;18.0;5.0;0.0;13.0;13.0;3.0;0.0;2.0;0.0;8.0;0.0
100;Hollands-Utrechtse meren (TR);2012;43.0;;;;;;;;;;;
101;Hollands-Utrechtse meren (TR);2013;;;;;;;;;;;;
102;Hollands-Utrechtse meren (TR);2014;;;;;;;;;;;;
103;Hollands-Utrechtse meren (TR);2015;;;;;;;;;;;;
104;Hollands-Utrechtse meren (TR);2016;;;;;;;;;;;;
105;Utrechtse Heuvelrug en 't Gooi (TR);2002;318.0;148.0;95.0;50.0;4.0;170.0;27.0;0.0;55.0;8.0;67.0;14.0
106;Utrechtse Heuvelrug en 't Gooi (TR);2003;168.0;65.0;43.0;20.0;2.0;103.0;14.0;4.0;32.0;14.0;23.0;16.0
107;Utrechtse Heuvelrug en 't Gooi (TR);2004;230.0;110.0;46.0;35.0;29.0;120.0;17.0;11.0;35.0;15.0;22.0;21.0
108;Utrechtse Heuvelrug en 't Gooi (TR);2005;192.0;59.0;31.0;13.0;15.0;133.0;14.0;18.0;47.0;3.0;32.0;19.0
109;Utrechtse Heuvelrug en 't Gooi (TR);2006;236.0;100.0;48.0;34.0;17.0;136.0;9.0;12.0;37.0;22.0;40.0;16.0
110;Utrechtse Heuvelrug en 't Gooi (TR);2007;173.0;43.0;35.0;7.0;2.0;130.0;15.0;8.0;51.0;14.0;31.0;11.0
111;Utrechtse Heuvelrug en 't Gooi (TR);2008;172.0;70.0;26.0;42.0;;102.0;11.0;6.0;28.0;11.0;36.0;11.0
112;Utrechtse Heuvelrug en 't Gooi (TR);2009;110.0;20.0;17.0;0.0;3.0;90.0;8.0;5.0;38.0;4.0;24.0;11.0
113;Utrechtse Heuvelrug en 't Gooi (TR);2010;134.0;34.0;14.0;19.0;0.0;100.0;26.0;2.0;9.0;15.0;32.0;16.0
114;Utrechtse Heuvelrug en 't Gooi (TR);2011;121.0;25.0;22.0;3.0;0.0;96.0;12.0;7.0;33.0;7.0;28.0;8.0
115;Utrechtse Heuvelrug en 't Gooi (TR);2012;116.0;;;;;;;;;;;
116;Utrechtse Heuvelrug en 't Gooi (TR);2013;;;;;;;;;;;;
117;Utrechtse Heuvelrug en 't Gooi (TR);2014;;;;;;;;;;;;
118;Utrechtse Heuvelrug en 't Gooi (TR);2015;;;;;;;;;;;;
119;Utrechtse Heuvelrug en 't Gooi (TR);2016;;;;;;;;;;;;
120;Veluwe en Veluwerand (TR);2002;996.0;195.0;142.0;49.0;4.0;801.0;29.0;81.0;459.0;38.0;158.0;37.0
121;Veluwe en Veluwerand (TR);2003;1128.0;272.0;205.0;54.0;13.0;856.0;66.0;91.0;462.0;60.0;134.0;43.0
122;Veluwe en Veluwerand (TR);2004;1076.0;266.0;177.0;89.0;0.0;810.0;33.0;83.0;436.0;49.0;167.0;41.0
123;Veluwe en Veluwerand (TR);2005;937.0;207.0;150.0;58.0;0.0;729.0;38.0;41.0;421.0;44.0;159.0;26.0
124;Veluwe en Veluwerand (TR);2006;973.0;270.0;186.0;73.0;11.0;702.0;39.0;53.0;395.0;34.0;133.0;47.0
125;Veluwe en Veluwerand (TR);2007;880.0;233.0;122.0;111.0;0.0;647.0;27.0;54.0;372.0;38.0;123.0;34.0
126;Veluwe en Veluwerand (TR);2008;978.0;251.0;102.0;147.0;2.0;728.0;47.0;67.0;417.0;27.0;145.0;25.0
127;Veluwe en Veluwerand (TR);2009;983.0;199.0;122.0;78.0;0.0;784.0;57.0;64.0;441.0;39.0;152.0;31.0
128;Veluwe en Veluwerand (TR);2010;904.0;164.0;113.0;47.0;5.0;740.0;49.0;40.0;440.0;29.0;157.0;24.0
129;Veluwe en Veluwerand (TR);2011;826.0;202.0;147.0;53.0;2.0;624.0;56.0;59.0;318.0;25.0;137.0;28.0
130;Veluwe en Veluwerand (TR);2012;914.0;219.0;186.0;31.0;2.0;695.0;75.0;44.0;395.0;27.0;134.0;20.0
131;Veluwe en Veluwerand (TR);2013;915.0;215.0;176.0;39.0;0.0;700.0;69.0;62.0;365.0;59.0;119.0;27.0
132;Veluwe en Veluwerand (TR);2014;815.0;165.0;95.0;70.0;0.0;650.0;89.0;44.0;374.0;15.0;121.0;6.0
133;Veluwe en Veluwerand (TR);2015;939.0;153.0;105.0;48.0;0.0;786.0;76.0;67.0;431.0;32.0;164.0;18.0
134;Veluwe en Veluwerand (TR);2016;848.0;143.0;92.0;51.0;0.0;705.0;68.0;34.0;402.0;29.0;160.0;12.0
135;Gelders Rivierengebied (TR);2002;82.0;36.0;33.0;0.0;3.0;47.0;8.0;9.0;14.0;0.0;8.0;6.0
136;Gelders Rivierengebied (TR);2003;56.0;19.0;19.0;0.0;0.0;37.0;10.0;0.0;9.0;2.0;15.0;1.0
137;Gelders Rivierengebied (TR);2004;56.0;9.0;8.0;0.0;1.0;47.0;6.0;0.0;8.0;3.0;25.0;5.0
138;Gelders Rivierengebied (TR);2005;73.0;34.0;34.0;0.0;0.0;40.0;7.0;0.0;5.0;6.0;19.0;2.0
139;Gelders Rivierengebied (TR);2006;59.0;11.0;7.0;4.0;0.0;47.0;1.0;4.0;12.0;10.0;16.0;5.0
140;Gelders Rivierengebied (TR);2007;64.0;34.0;22.0;12.0;0.0;30.0;1.0;3.0;7.0;9.0;10.0;0.0
141;Gelders Rivierengebied (TR);2008;78.0;36.0;20.0;15.0;;41.0;16.0;2.0;0.0;8.0;15.0;0.0
142;Gelders Rivierengebied (TR);2009;77.0;38.0;38.0;0.0;0.0;40.0;5.0;0.0;15.0;5.0;13.0;2.0
143;Gelders Rivierengebied (TR);2010;86.0;43.0;22.0;3.0;17.0;43.0;2.0;0.0;10.0;3.0;27.0;0.0
144;Gelders Rivierengebied (TR);2011;80.0;25.0;13.0;0.0;12.0;55.0;18.0;7.0;4.0;4.0;23.0;0.0
145;Gelders Rivierengebied (TR);2012;57.0;;;;;;;;;;;
146;Gelders Rivierengebied (TR);2013;;;;;;;;;;;;
147;Gelders Rivierengebied (TR);2014;;;;;;;;;;;;
148;Gelders Rivierengebied (TR);2015;;;;;;;;;;;;
149;Gelders Rivierengebied (TR);2016;;;;;;;;;;;;
150;Achterhoek (TR);2002;309.0;28.0;28.0;0.0;0.0;281.0;25.0;37.0;100.0;34.0;77.0;8.0
151;Achterhoek (TR);2003;348.0;73.0;69.0;4.0;0.0;275.0;19.0;48.0;114.0;18.0;66.0;11.0
152;Achterhoek (TR);2004;341.0;66.0;66.0;0.0;0.0;276.0;30.0;20.0;105.0;31.0;69.0;21.0
153;Achterhoek (TR);2005;361.0;83.0;65.0;16.0;2.0;278.0;36.0;28.0;110.0;24.0;71.0;10.0
154;Achterhoek (TR);2006;367.0;111.0;74.0;33.0;4.0;256.0;24.0;13.0;100.0;20.0;89.0;11.0
155;Achterhoek (TR);2007;312.0;101.0;77.0;23.0;1.0;211.0;13.0;19.0;82.0;14.0;75.0;7.0
156;Achterhoek (TR);2008;376.0;128.0;61.0;65.0;3.0;248.0;24.0;24.0;114.0;11.0;62.0;13.0
157;Achterhoek (TR);2009;306.0;91.0;58.0;29.0;5.0;215.0;23.0;13.0;81.0;4.0;85.0;9.0
158;Achterhoek (TR);2010;302.0;77.0;38.0;39.0;0.0;225.0;14.0;6.0;85.0;6.0;81.0;33.0
159;Achterhoek (TR);2011;291.0;68.0;31.0;36.0;0.0;224.0;22.0;11.0;96.0;11.0;59.0;25.0
160;Achterhoek (TR);2012;297.0;88.0;34.0;54.0;0.0;209.0;31.0;15.0;67.0;11.0;81.0;4.0
161;Achterhoek (TR);2013;342.0;73.0;9.0;50.0;15.0;268.0;40.0;18.0;82.0;17.0;93.0;17.0
162;Achterhoek (TR);2014;328.0;80.0;21.0;57.0;2.0;248.0;41.0;11.0;84.0;25.0;78.0;8.0
163;Achterhoek (TR);2015;289.0;70.0;15.0;50.0;5.0;219.0;27.0;8.0;95.0;10.0;72.0;6.0
164;Achterhoek (TR);2016;299.0;63.0;17.0;43.0;3.0;236.0;33.0;20.0;93.0;18.0;61.0;10.0
165;Twente, Salland en Vechtstreek (TR);2002;735.0;148.0;82.0;61.0;5.0;586.0;45.0;76.0;240.0;47.0;146.0;32.0
166;Twente, Salland en Vechtstreek (TR);2003;798.0;148.0;110.0;38.0;0.0;651.0;43.0;63.0;260.0;57.0;186.0;42.0
167;Twente, Salland en Vechtstreek (TR);2004;739.0;145.0;93.0;52.0;0.0;594.0;52.0;39.0;237.0;62.0;189.0;15.0
168;Twente, Salland en Vechtstreek (TR);2005;740.0;114.0;76.0;32.0;6.0;626.0;37.0;68.0;268.0;44.0;184.0;25.0
169;Twente, Salland en Vechtstreek (TR);2006;688.0;82.0;58.0;16.0;9.0;606.0;28.0;53.0;275.0;40.0;174.0;36.0
170;Twente, Salland en Vechtstreek (TR);2007;696.0;100.0;67.0;20.0;13.0;596.0;29.0;58.0;295.0;27.0;155.0;32.0
171;Twente, Salland en Vechtstreek (TR);2008;714.0;87.0;58.0;16.0;13.0;627.0;33.0;60.0;311.0;59.0;136.0;28.0
172;Twente, Salland en Vechtstreek (TR);2009;650.0;131.0;71.0;54.0;5.0;519.0;33.0;57.0;207.0;52.0;145.0;25.0
173;Twente, Salland en Vechtstreek (TR);2010;720.0;112.0;80.0;28.0;3.0;609.0;43.0;53.0;267.0;41.0;185.0;19.0
174;Twente, Salland en Vechtstreek (TR);2011;748.0;126.0;78.0;48.0;0.0;622.0;39.0;38.0;287.0;24.0;198.0;36.0
175;Twente, Salland en Vechtstreek (TR);2012;697.0;144.0;94.0;45.0;5.0;553.0;60.0;30.0;243.0;38.0;163.0;18.0
176;Twente, Salland en Vechtstreek (TR);2013;640.0;112.0;58.0;50.0;4.0;528.0;46.0;45.0;226.0;43.0;151.0;18.0
177;Twente, Salland en Vechtstreek (TR);2014;660.0;117.0;72.0;32.0;13.0;543.0;51.0;49.0;204.0;38.0;183.0;19.0
178;Twente, Salland en Vechtstreek (TR);2015;628.0;110.0;71.0;34.0;4.0;519.0;54.0;55.0;230.0;34.0;119.0;26.0
179;Twente, Salland en Vechtstreek (TR);2016;727.0;131.0;85.0;42.0;4.0;596.0;57.0;50.0;269.0;43.0;149.0;27.0
180;Groningse, Friese en Drentse Zandgronden;2002;928.0;121.0;87.0;28.0;6.0;807.0;55.0;61.0;411.0;65.0;138.0;77.0
181;Groningse, Friese en Drentse Zandgronden;2003;876.0;177.0;87.0;78.0;11.0;699.0;49.0;19.0;377.0;63.0;144.0;49.0
182;Groningse, Friese en Drentse Zandgronden;2004;1047.0;167.0;95.0;68.0;4.0;879.0;67.0;48.0;441.0;84.0;178.0;61.0
183;Groningse, Friese en Drentse Zandgronden;2005;961.0;174.0;121.0;45.0;8.0;787.0;44.0;62.0;390.0;78.0;154.0;58.0
184;Groningse, Friese en Drentse Zandgronden;2006;989.0;146.0;106.0;17.0;23.0;844.0;65.0;40.0;478.0;49.0;157.0;55.0
185;Groningse, Friese en Drentse Zandgronden;2007;925.0;129.0;104.0;15.0;10.0;796.0;53.0;50.0;459.0;39.0;164.0;32.0
186;Groningse, Friese en Drentse Zandgronden;2008;951.0;127.0;82.0;35.0;10.0;824.0;62.0;33.0;505.0;46.0;144.0;34.0
187;Groningse, Friese en Drentse Zandgronden;2009;1074.0;201.0;90.0;104.0;8.0;872.0;64.0;41.0;547.0;35.0;143.0;42.0
188;Groningse, Friese en Drentse Zandgronden;2010;1013.0;150.0;98.0;51.0;0.0;864.0;55.0;43.0;533.0;23.0;172.0;38.0
189;Groningse, Friese en Drentse Zandgronden;2011;1038.0;209.0;104.0;73.0;33.0;828.0;45.0;64.0;523.0;25.0;151.0;20.0
190;Groningse, Friese en Drentse Zandgronden;2012;1023.0;197.0;81.0;111.0;5.0;826.0;68.0;70.0;521.0;26.0;123.0;18.0
191;Groningse, Friese en Drentse Zandgronden;2013;986.0;141.0;52.0;89.0;0.0;845.0;92.0;26.0;520.0;41.0;139.0;28.0
192;Groningse, Friese en Drentse Zandgronden;2014;903.0;182.0;84.0;99.0;0.0;721.0;76.0;52.0;431.0;32.0;105.0;24.0
193;Groningse, Friese en Drentse Zandgronden;2015;862.0;119.0;52.0;66.0;2.0;743.0;65.0;60.0;456.0;37.0;105.0;19.0
194;Groningse, Friese en Drentse Zandgronden;2016;987.0;156.0;85.0;66.0;5.0;831.0;69.0;79.0;462.0;49.0;147.0;25.0
195;West- en Midden-Brabant (TR);2002;882.0;181.0;164.0;2.0;15.0;700.0;40.0;29.0;364.0;64.0;136.0;67.0
196;West- en Midden-Brabant (TR);2003;718.0;143.0;121.0;6.0;17.0;575.0;51.0;13.0;293.0;43.0;128.0;48.0
197;West- en Midden-Brabant (TR);2004;772.0;182.0;152.0;18.0;11.0;590.0;21.0;30.0;317.0;41.0;124.0;57.0
198;West- en Midden-Brabant (TR);2005;711.0;163.0;138.0;13.0;12.0;548.0;20.0;41.0;302.0;41.0;110.0;35.0
199;West- en Midden-Brabant (TR);2006;784.0;187.0;156.0;25.0;6.0;597.0;26.0;34.0;344.0;27.0;115.0;51.0
200;West- en Midden-Brabant (TR);2007;756.0;144.0;126.0;19.0;0.0;612.0;41.0;30.0;312.0;44.0;142.0;43.0
201;West- en Midden-Brabant (TR);2008;768.0;169.0;111.0;44.0;15.0;598.0;32.0;20.0;339.0;24.0;145.0;38.0
202;West- en Midden-Brabant (TR);2009;697.0;144.0;99.0;38.0;7.0;553.0;36.0;42.0;301.0;27.0;116.0;32.0
203;West- en Midden-Brabant (TR);2010;683.0;201.0;101.0;92.0;8.0;483.0;6.0;40.0;261.0;23.0;120.0;32.0
204;West- en Midden-Brabant (TR);2011;630.0;150.0;94.0;45.0;11.0;480.0;34.0;19.0;271.0;18.0;109.0;29.0
205;West- en Midden-Brabant (TR);2012;694.0;165.0;62.0;99.0;4.0;529.0;28.0;33.0;306.0;22.0;109.0;30.0
