ID;Perioden;TotaalMotorvoertuigen_1;Personenauto_2;Motorfiets_3;TotaalBedrijfsmotorvoertuigen_4;Bestelauto_5;VrachtautoExclTrekkerVoorOplegger_6;TrekkerVoorOplegger_7;SpeciaalVoertuig_8;Bus_9
43;1970;2519.5;2163.0;81.1;275.4;164.9;82.8;10.9;8.2;8.5
44;1971;2776.0;2426.0;63.9;286.1;170.6;85.6;12.3;9.1;8.4
45;1972;2984.1;2632.7;55.4;296.0;177.0;87.6;13.8;9.1;8.6
46;1973;3167.3;2809.5;52.0;305.8;183.7;89.7;14.7;9.1;8.6
47;1974;3299.5;2928.0;55.5;316.0;189.9;91.5;15.7;10.0;8.9
48;1975;3480.0;3092.5;61.8;325.7;195.2;92.8;16.8;11.8;9.2
49;1976;3675.6;3285.7;65.5;324.4;194.1;91.0;18.3;11.8;9.2
50;1977;3902.0;3518.0;71.0;313.0;188.0;87.0;18.0;12.0;8.4
51;1978;4094.0;3703.0;80.0;311.0;183.0;86.0;19.0;14.0;8.7
52;1979;4316.0;3906.0;89.0;321.0;190.0;84.0;19.0;19.0;9.0
53;1980;4557.0;4123.0;94.0;340.0;204.0;82.0;21.0;24.0;9.3
54;1981;4719.0;4263.0;101.0;355.0;210.0;81.0;22.0;32.0;9.8
55;1982;4794.0;4321.0;111.0;362.0;217.0;79.0;22.0;34.0;10.0
56;1983;4864.0;4385.0;116.0;363.0;223.0;77.0;22.0;31.0;10.5
57;1984;4962.0;4471.0;119.0;372.0;231.0;77.0;23.0;30.0;10.6
58;1985;5062.0;4551.0;121.0;390.0;249.0;79.0;24.0;27.0;10.6
59;1986;5154.0;4616.0;121.0;417.0;276.0;79.0;26.0;25.0;10.5
60;1987;5247.0;4676.0;123.0;448.0;305.0;80.0;28.0;25.0;10.5
61;1988;5419.0;4806.0;127.0;486.0;339.0;81.0;30.0;25.0;10.7
62;1989;5612.0;4967.0;132.0;513.0;363.0;83.0;31.0;25.0;11.0
63;1990;5800.0;5118.0;143.0;539.0;385.0;84.0;33.0;26.0;11.4
64;1991;5929.0;5205.0;159.0;565.0;407.0;84.0;36.0;26.0;11.7
65;1992;6027.0;5247.0;190.0;590.0;430.0;85.0;38.0;25.0;11.9
66;1993;6206.0;5341.0;234.0;631.0;469.0;85.0;40.0;25.0;11.8
67;1994;6378.0;5456.0;270.0;652.0;492.0;84.0;40.0;24.0;11.5
68;1995;6529.0;5581.0;294.0;654.0;495.0;83.0;41.0;24.0;11.2
69;1996;6645.0;5664.0;315.0;666.0;501.0;83.0;45.0;25.0;11.3
70;1997;6859.0;5810.0;354.1;695.0;525.0;84.0;47.0;28.0;11.2
71;1998;7043.0;5931.0;373.4;738.0;567.0;82.0;49.0;30.0;10.8
72;1999;7319.0;6120.0;392.5;806.0;628.0;82.0;53.0;33.0;11.0
73;2000;7640.8;6343.2;414.0;883.6;696.1;83.2;56.8;36.4;11.2
74;2001;7926.9;6539.0;437.8;950.1;755.8;83.4;59.8;39.7;11.4
75;2002;8168.3;6710.6;460.8;996.9;797.6;82.7;62.0;43.3;11.3
76;2003;8387.7;6854.9;494.3;1038.5;835.7;81.7;62.9;46.9;11.4
77;2004;8495.5;6908.9;516.4;1070.2;866.8;79.4;63.4;49.2;11.3
78;2005;8627.2;6992.0;536.9;1098.3;893.5;77.6;64.5;51.5;11.2
79;2006;8715.8;7092.3;552.9;1070.6;863.0;75.9;65.6;55.1;11.0
80;2007;8862.9;7230.2;567.9;1064.8;849.3;75.8;70.5;58.3;10.8
81;2008;9059.6;7391.9;585.2;1082.5;862.3;75.3;72.8;61.0;11.1
82;2009;9249.4;7542.3;605.6;1101.4;876.2;75.1;74.6;64.2;11.3
83;2010;9340.0;7622.4;623.4;1094.2;872.4;73.4;71.6;65.3;11.6
84;2011;9451.7;7735.5;636.2;1080.0;861.3;71.4;71.3;64.8;11.3
85;2012;9571.5;7858.7;647.0;1065.8;849.7;69.5;71.5;64.1;11.0
86;2013;9612.3;7915.6;653.2;1043.4;832.1;67.1;70.4;63.3;10.5
87;2014;9609.9;7932.3;654.0;1023.6;815.2;65.0;71.1;62.4;9.9
88;2015;9651.0;7979.1;652.3;1019.6;815.0;63.4;70.5;61.1;9.6
89;2016;9786.2;8100.9;652.5;1032.8;828.4;62.4;72.2;60.3;9.4
90;2017;9937.7;8223.0;656.0;1058.8;852.6;62.2;74.2;59.9;9.8
91;2018;10127.2;8373.2;661.6;1092.3;883.4;62.6;77.1;59.4;9.9
92;2019;10199.7;8443.0;646.0;1110.7;903.0;61.7;78.8;57.7;9.5
93;2020;10374.7;8584.4;654.4;1135.9;927.3;61.7;80.1;57.1;9.7
94;2021;10504.7;8686.4;666.6;1151.7;945.4;60.8;79.9;56.5;9.1
95;2022;10688.3;8827.7;677.8;1182.8;974.8;60.9;82.4;56.2;8.5
96;2023;10808.9;8917.1;690.7;1201.1;989.8;60.8;85.7;56.0;8.8
97;2024;10989.4;9067.4;703.3;1218.7;1006.5;61.5;86.5;55.6;8.7
