ID;Beroepsniveau;Geslacht;Leeftijd;Perioden;TotaalAantalBanen_1;Voltijdbanen_2;BrutoUurloonAlleBanen_3;BrutoMaandloonAlleBanen_4;BrutoJaarloonAlleBanen_5;BrutoJaarloonVoltijdbanen_6
18;Totaal beroepsniveau;Mannen;35 tot 45 jaar;2002;1052.6;896.9;19.89;2718.0;37.1;39.7
19;Totaal beroepsniveau;Mannen;35 tot 45 jaar;2003;;;;;;
20;Totaal beroepsniveau;Mannen;45 tot 55 jaar;2002;899.5;768.2;21.86;2944.0;40.3;43.2
21;Totaal beroepsniveau;Mannen;45 tot 55 jaar;2003;;;;;;
22;Totaal beroepsniveau;Mannen;55 tot 65 jaar;2002;426.2;340.7;23.06;2956.0;40.1;45.0
23;Totaal beroepsniveau;Mannen;55 tot 65 jaar;2003;;;;;;
24;Totaal beroepsniveau;Vrouwen;Totaal 15 tot 65 jaar;2002;3089.8;823.8;14.96;1400.0;18.3;28.9
25;Totaal beroepsniveau;Vrouwen;Totaal 15 tot 65 jaar;2003;;;;;;
26;Totaal beroepsniveau;Vrouwen;Jonger dan 25 jaar;2002;575.0;158.9;9.34;780.0;9.3;17.9
27;Totaal beroepsniveau;Vrouwen;Jonger dan 25 jaar;2003;;;;;;
28;Totaal beroepsniveau;Vrouwen;25 tot 35 jaar;2002;836.5;322.1;14.96;1606.0;21.1;28.9
29;Totaal beroepsniveau;Vrouwen;25 tot 35 jaar;2003;;;;;;
30;Totaal beroepsniveau;Vrouwen;35 tot 45 jaar;2002;831.5;170.4;16.58;1504.0;20.0;33.2
31;Totaal beroepsniveau;Vrouwen;35 tot 45 jaar;2003;;;;;;
32;Totaal beroepsniveau;Vrouwen;45 tot 55 jaar;2002;637.5;128.9;16.8;1534.0;20.4;34.4
33;Totaal beroepsniveau;Vrouwen;45 tot 55 jaar;2003;;;;;;
34;Totaal beroepsniveau;Vrouwen;55 tot 65 jaar;2002;209.3;43.4;17.34;1458.0;19.3;35.5
35;Totaal beroepsniveau;Vrouwen;55 tot 65 jaar;2003;;;;;;
36;Elementair;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2002;617.9;246.7;11.37;1071.0;13.8;23.4
37;Elementair;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2003;;;;;;
38;Elementair;Totaal mannen en vrouwen;Jonger dan 25 jaar;2002;208.9;56.8;8.48;631.0;7.1;15.8
39;Elementair;Totaal mannen en vrouwen;Jonger dan 25 jaar;2003;;;;;;
40;Elementair;Totaal mannen en vrouwen;25 tot 35 jaar;2002;122.8;64.8;12.0;1349.0;18.3;26.1
41;Elementair;Totaal mannen en vrouwen;25 tot 35 jaar;2003;;;;;;
42;Elementair;Totaal mannen en vrouwen;35 tot 45 jaar;2002;125.5;56.9;12.51;1281.0;16.7;25.1
43;Elementair;Totaal mannen en vrouwen;35 tot 45 jaar;2003;;;;;;
44;Elementair;Totaal mannen en vrouwen;45 tot 55 jaar;2002;97.1;39.0;12.87;1267.0;17.0;26.7
45;Elementair;Totaal mannen en vrouwen;45 tot 55 jaar;2003;;;;;;
46;Elementair;Totaal mannen en vrouwen;55 tot 65 jaar;2002;63.6;29.1;12.46;1265.0;16.7;24.7
47;Elementair;Totaal mannen en vrouwen;55 tot 65 jaar;2003;;;;;;
48;Elementair;Mannen;Totaal 15 tot 65 jaar;2002;342.2;195.4;11.93;1284.0;16.8;24.8
49;Elementair;Mannen;Totaal 15 tot 65 jaar;2003;;;;;;
50;Elementair;Mannen;Jonger dan 25 jaar;2002;141.1;36.9;8.45;629.0;6.9;15.9
51;Elementair;Mannen;Jonger dan 25 jaar;2003;;;;;;
52;Elementair;Mannen;25 tot 35 jaar;2002;69.8;52.7;12.74;1669.0;23.7;27.1
53;Elementair;Mannen;25 tot 35 jaar;2003;;;;;;
54;Elementair;Mannen;35 tot 45 jaar;2002;60.1;48.3;13.3;1761.0;23.4;25.8
55;Elementair;Mannen;35 tot 45 jaar;2003;;;;;;
56;Elementair;Mannen;45 tot 55 jaar;2002;42.1;34.7;13.53;1798.0;24.2;27.2
57;Elementair;Mannen;45 tot 55 jaar;2003;;;;;;
58;Elementair;Mannen;55 tot 65 jaar;2002;29.1;22.8;14.46;1806.0;24.2;27.8
59;Elementair;Mannen;55 tot 65 jaar;2003;;;;;;
60;Elementair;Vrouwen;Totaal 15 tot 65 jaar;2002;275.7;51.3;10.4;807.0;10.1;18.3
61;Elementair;Vrouwen;Totaal 15 tot 65 jaar;2003;;;;;;
62;Elementair;Vrouwen;Jonger dan 25 jaar;2002;67.8;20.0;8.55;637.0;7.7;15.6
63;Elementair;Vrouwen;Jonger dan 25 jaar;2003;;;;;;
64;Elementair;Vrouwen;25 tot 35 jaar;2002;52.9;12.1;10.56;927.0;11.1;21.7
65;Elementair;Vrouwen;25 tot 35 jaar;2003;;;;;;
66;Elementair;Vrouwen;35 tot 45 jaar;2002;65.4;8.7;11.22;839.0;10.6;20.7
67;Elementair;Vrouwen;35 tot 45 jaar;2003;;;;;;
68;Elementair;Vrouwen;45 tot 55 jaar;2002;55.0;4.3;11.93;862.0;11.5;23.1
69;Elementair;Vrouwen;45 tot 55 jaar;2003;;;;;;
70;Elementair;Vrouwen;55 tot 65 jaar;2002;34.5;6.3;9.89;810.0;10.3;13.3
71;Elementair;Vrouwen;55 tot 65 jaar;2003;;;;;;
72;Lager;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2002;1663.0;884.6;13.21;1441.0;19.4;27.3
73;Lager;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2003;;;;;;
74;Lager;Totaal mannen en vrouwen;Jonger dan 25 jaar;2002;415.6;158.5;9.25;872.0;10.5;18.2
75;Lager;Totaal mannen en vrouwen;Jonger dan 25 jaar;2003;;;;;;
76;Lager;Totaal mannen en vrouwen;25 tot 35 jaar;2002;376.6;230.2;13.58;1614.0;21.4;26.8
77;Lager;Totaal mannen en vrouwen;25 tot 35 jaar;2003;;;;;;
78;Lager;Totaal mannen en vrouwen;35 tot 45 jaar;2002;395.1;233.1;14.61;1669.0;23.0;30.0
79;Lager;Totaal mannen en vrouwen;35 tot 45 jaar;2003;;;;;;
80;Lager;Totaal mannen en vrouwen;45 tot 55 jaar;2002;334.7;187.4;14.38;1614.0;22.5;30.2
81;Lager;Totaal mannen en vrouwen;45 tot 55 jaar;2003;;;;;;
82;Lager;Totaal mannen en vrouwen;55 tot 65 jaar;2002;141.0;75.4;15.33;1600.0;22.9;32.6
83;Lager;Totaal mannen en vrouwen;55 tot 65 jaar;2003;;;;;;
84;Lager;Mannen;Totaal 15 tot 65 jaar;2002;938.0;739.8;14.11;1815.0;24.8;28.6
85;Lager;Mannen;Totaal 15 tot 65 jaar;2003;;;;;;
86;Lager;Mannen;Jonger dan 25 jaar;2002;205.2;104.7;10.3;1100.0;13.3;19.8
87;Lager;Mannen;Jonger dan 25 jaar;2003;;;;;;
88;Lager;Mannen;25 tot 35 jaar;2002;221.6;188.1;14.38;1922.0;25.7;27.8
89;Lager;Mannen;25 tot 35 jaar;2003;;;;;;
90;Lager;Mannen;35 tot 45 jaar;2002;236.7;209.5;14.97;2061.0;29.0;30.5
91;Lager;Mannen;35 tot 45 jaar;2003;;;;;;
92;Lager;Mannen;45 tot 55 jaar;2002;188.8;168.0;15.19;2079.0;29.2;30.7
93;Lager;Mannen;45 tot 55 jaar;2003;;;;;;
94;Lager;Mannen;55 tot 65 jaar;2002;85.8;69.5;15.99;1991.0;29.1;32.9
95;Lager;Mannen;55 tot 65 jaar;2003;;;;;;
96;Lager;Vrouwen;Totaal 15 tot 65 jaar;2002;725.0;144.8;11.41;956.0;12.4;20.8
97;Lager;Vrouwen;Totaal 15 tot 65 jaar;2003;;;;;;
98;Lager;Vrouwen;Jonger dan 25 jaar;2002;210.4;53.8;7.91;649.0;7.8;15.0
99;Lager;Vrouwen;Jonger dan 25 jaar;2003;;;;;;
100;Lager;Vrouwen;25 tot 35 jaar;2002;155.1;42.1;12.03;1174.0;15.2;22.4
101;Lager;Vrouwen;25 tot 35 jaar;2003;;;;;;
102;Lager;Vrouwen;35 tot 45 jaar;2002;158.4;23.5;13.68;1083.0;14.1;25.6
103;Lager;Vrouwen;35 tot 45 jaar;2003;;;;;;
104;Lager;Vrouwen;45 tot 55 jaar;2002;145.9;19.3;12.61;1013.0;13.8;25.1
105;Lager;Vrouwen;45 tot 55 jaar;2003;;;;;;
106;Lager;Vrouwen;55 tot 65 jaar;2002;55.2;6.0;13.58;993.0;13.3;29.1
107;Lager;Vrouwen;55 tot 65 jaar;2003;;;;;;
108;Middelbaar;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2002;2442.3;1489.5;16.81;2024.0;27.3;34.0
109;Middelbaar;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2003;;;;;;
110;Middelbaar;Totaal mannen en vrouwen;Jonger dan 25 jaar;2002;225.1;131.5;10.35;1241.0;16.2;20.2
111;Middelbaar;Totaal mannen en vrouwen;Jonger dan 25 jaar;2003;;;;;;
112;Middelbaar;Totaal mannen en vrouwen;25 tot 35 jaar;2002;698.9;447.0;15.13;1881.0;25.1;29.6
113;Middelbaar;Totaal mannen en vrouwen;25 tot 35 jaar;2003;;;;;;
114;Middelbaar;Totaal mannen en vrouwen;35 tot 45 jaar;2002;744.7;427.4;17.91;2118.0;28.6;36.7
115;Middelbaar;Totaal mannen en vrouwen;35 tot 45 jaar;2003;;;;;;
116;Middelbaar;Totaal mannen en vrouwen;45 tot 55 jaar;2002;557.1;344.4;18.54;2215.0;30.4;38.6
117;Middelbaar;Totaal mannen en vrouwen;45 tot 55 jaar;2003;;;;;;
118;Middelbaar;Totaal mannen en vrouwen;55 tot 65 jaar;2002;216.5;139.3;21.1;2484.0;32.9;41.8
119;Middelbaar;Totaal mannen en vrouwen;55 tot 65 jaar;2003;;;;;;
120;Middelbaar;Mannen;Totaal 15 tot 65 jaar;2002;1353.2;1152.9;17.92;2433.0;33.0;35.8
121;Middelbaar;Mannen;Totaal 15 tot 65 jaar;2003;;;;;;
122;Middelbaar;Mannen;Jonger dan 25 jaar;2002;111.9;86.2;9.81;1282.0;17.3;19.8
123;Middelbaar;Mannen;Jonger dan 25 jaar;2003;;;;;;
124;Middelbaar;Mannen;25 tot 35 jaar;2002;357.0;312.0;15.64;2165.0;28.9;31.0
125;Middelbaar;Mannen;25 tot 35 jaar;2003;;;;;;
126;Middelbaar;Mannen;35 tot 45 jaar;2002;401.1;340.2;18.87;2580.0;34.9;37.6
127;Middelbaar;Mannen;35 tot 45 jaar;2003;;;;;;
128;Middelbaar;Mannen;45 tot 55 jaar;2002;324.5;292.0;20.14;2761.0;38.4;40.4
129;Middelbaar;Mannen;45 tot 55 jaar;2003;;;;;;
130;Middelbaar;Mannen;55 tot 65 jaar;2002;158.7;122.6;21.9;2805.0;37.2;43.0
131;Middelbaar;Mannen;55 tot 65 jaar;2003;;;;;;
132;Middelbaar;Vrouwen;Totaal 15 tot 65 jaar;2002;1089.2;336.6;14.97;1516.0;20.2;28.2
133;Middelbaar;Vrouwen;Totaal 15 tot 65 jaar;2003;;;;;;
134;Middelbaar;Vrouwen;Jonger dan 25 jaar;2002;113.2;45.3;10.97;1201.0;15.1;20.9
135;Middelbaar;Vrouwen;Jonger dan 25 jaar;2003;;;;;;
136;Middelbaar;Vrouwen;25 tot 35 jaar;2002;341.9;134.9;14.45;1584.0;21.0;26.5
137;Middelbaar;Vrouwen;25 tot 35 jaar;2003;;;;;;
138;Middelbaar;Vrouwen;35 tot 45 jaar;2002;343.6;87.2;16.33;1579.0;21.3;33.4
139;Middelbaar;Vrouwen;35 tot 45 jaar;2003;;;;;;
140;Middelbaar;Vrouwen;45 tot 55 jaar;2002;232.5;52.4;15.33;1453.0;19.3;28.7
141;Middelbaar;Vrouwen;45 tot 55 jaar;2003;;;;;;
142;Middelbaar;Vrouwen;55 tot 65 jaar;2002;57.9;16.7;17.97;1603.0;21.2;33.5
143;Middelbaar;Vrouwen;55 tot 65 jaar;2003;;;;;;
144;Hoger;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2002;1195.3;742.6;22.66;2770.0;37.3;46.0
145;Hoger;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2003;;;;;;
146;Hoger;Totaal mannen en vrouwen;Jonger dan 25 jaar;2002;34.2;16.9;14.44;1554.0;19.2;24.8
147;Hoger;Totaal mannen en vrouwen;Jonger dan 25 jaar;2003;;;;;;
148;Hoger;Totaal mannen en vrouwen;25 tot 35 jaar;2002;329.4;216.5;18.3;2319.0;31.5;37.0
149;Hoger;Totaal mannen en vrouwen;25 tot 35 jaar;2003;;;;;;
150;Hoger;Totaal mannen en vrouwen;35 tot 45 jaar;2002;379.3;226.3;23.63;2849.0;38.7;49.3
151;Hoger;Totaal mannen en vrouwen;35 tot 45 jaar;2003;;;;;;
152;Hoger;Totaal mannen en vrouwen;45 tot 55 jaar;2002;332.7;204.0;25.6;3122.0;41.6;51.2
153;Hoger;Totaal mannen en vrouwen;45 tot 55 jaar;2003;;;;;;
154;Hoger;Totaal mannen en vrouwen;55 tot 65 jaar;2002;119.8;78.9;26.01;3128.0;42.4;52.1
155;Hoger;Totaal mannen en vrouwen;55 tot 65 jaar;2003;;;;;;
156;Hoger;Mannen;Totaal 15 tot 65 jaar;2002;675.1;574.8;24.72;3382.0;45.7;48.7
157;Hoger;Mannen;Totaal 15 tot 65 jaar;2003;;;;;;
158;Hoger;Mannen;Jonger dan 25 jaar;2002;12.1;7.0;12.68;1487.0;18.4;24.7
159;Hoger;Mannen;Jonger dan 25 jaar;2003;;;;;;
160;Hoger;Mannen;25 tot 35 jaar;2002;154.8;134.3;19.07;2675.0;36.3;38.6
161;Hoger;Mannen;25 tot 35 jaar;2003;;;;;;
162;Hoger;Mannen;35 tot 45 jaar;2002;224.1;195.2;25.53;3543.0;48.5;51.0
163;Hoger;Mannen;35 tot 45 jaar;2003;;;;;;
164;Hoger;Mannen;45 tot 55 jaar;2002;205.0;169.8;27.84;3735.0;49.7;53.3
165;Hoger;Mannen;45 tot 55 jaar;2003;;;;;;
166;Hoger;Mannen;55 tot 65 jaar;2002;79.1;68.5;27.45;3685.0;50.1;53.2
167;Hoger;Mannen;55 tot 65 jaar;2003;;;;;;
168;Hoger;Vrouwen;Totaal 15 tot 65 jaar;2002;520.2;167.8;19.11;1975.0;26.5;36.4
169;Hoger;Vrouwen;Totaal 15 tot 65 jaar;2003;;;;;;
170;Hoger;Vrouwen;Jonger dan 25 jaar;2002;22.1;9.9;15.54;1591.0;19.6;24.9
171;Hoger;Vrouwen;Jonger dan 25 jaar;2003;;;;;;
172;Hoger;Vrouwen;25 tot 35 jaar;2002;174.6;82.2;17.47;2004.0;27.2;34.3
173;Hoger;Vrouwen;25 tot 35 jaar;2003;;;;;;
174;Hoger;Vrouwen;35 tot 45 jaar;2002;155.2;31.1;19.6;1847.0;24.7;38.4
175;Hoger;Vrouwen;35 tot 45 jaar;2003;;;;;;
176;Hoger;Vrouwen;45 tot 55 jaar;2002;127.7;34.2;20.87;2136.0;28.5;40.4
177;Hoger;Vrouwen;45 tot 55 jaar;2003;;;;;;
178;Hoger;Vrouwen;55 tot 65 jaar;2002;40.7;10.4;21.95;2044.0;27.4;45.0
179;Hoger;Vrouwen;55 tot 65 jaar;2003;;;;;;
180;Wetenschappelijk;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2002;496.4;334.4;27.55;3521.0;47.4;54.9
181;Wetenschappelijk;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2003;;;;;;
182;Wetenschappelijk;Totaal mannen en vrouwen;Jonger dan 25 jaar;2002;;;;;;
183;Wetenschappelijk;Totaal mannen en vrouwen;Jonger dan 25 jaar;2003;;;;;;
184;Wetenschappelijk;Totaal mannen en vrouwen;25 tot 35 jaar;2002;129.7;97.2;20.55;2816.0;37.2;39.7
185;Wetenschappelijk;Totaal mannen en vrouwen;25 tot 35 jaar;2003;;;;;;
186;Wetenschappelijk;Totaal mannen en vrouwen;35 tot 45 jaar;2002;151.2;94.1;26.83;3366.0;45.6;54.4
187;Wetenschappelijk;Totaal mannen en vrouwen;35 tot 45 jaar;2003;;;;;;
188;Wetenschappelijk;Totaal mannen en vrouwen;45 tot 55 jaar;2002;150.6;96.2;31.76;3894.0;52.9;64.8
189;Wetenschappelijk;Totaal mannen en vrouwen;45 tot 55 jaar;2003;;;;;;
190;Wetenschappelijk;Totaal mannen en vrouwen;55 tot 65 jaar;2002;58.9;41.8;37.11;4678.0;63.1;71.8
191;Wetenschappelijk;Totaal mannen en vrouwen;55 tot 65 jaar;2003;;;;;;
192;Wetenschappelijk;Mannen;Totaal 15 tot 65 jaar;2002;336.2;268.0;28.89;3849.0;52.3;57.7
193;Wetenschappelijk;Mannen;Totaal 15 tot 65 jaar;2003;;;;;;
194;Wetenschappelijk;Mannen;Jonger dan 25 jaar;2002;;;;;;
195;Wetenschappelijk;Mannen;Jonger dan 25 jaar;2003;;;;;;
196;Wetenschappelijk;Mannen;25 tot 35 jaar;2002;78.2;67.1;20.82;2985.0;39.5;41.3
197;Wetenschappelijk;Mannen;25 tot 35 jaar;2003;;;;;;
198;Wetenschappelijk;Mannen;35 tot 45 jaar;2002;97.9;78.7;28.1;3744.0;51.2;56.6
199;Wetenschappelijk;Mannen;35 tot 45 jaar;2003;;;;;;
200;Wetenschappelijk;Mannen;45 tot 55 jaar;2002;109.3;80.5;32.57;4111.0;56.3;66.6
201;Wetenschappelijk;Mannen;45 tot 55 jaar;2003;;;;;;
202;Wetenschappelijk;Mannen;55 tot 65 jaar;2002;47.2;38.3;38.16;5038.0;68.2;72.5
203;Wetenschappelijk;Mannen;55 tot 65 jaar;2003;;;;;;
204;Wetenschappelijk;Vrouwen;Totaal 15 tot 65 jaar;2002;160.2;66.4;24.32;2831.0;37.3;43.6
205;Wetenschappelijk;Vrouwen;Totaal 15 tot 65 jaar;2003;;;;;;
206;Wetenschappelijk;Vrouwen;Jonger dan 25 jaar;2002;;;;;;
207;Wetenschappelijk;Vrouwen;Jonger dan 25 jaar;2003;;;;;;
208;Wetenschappelijk;Vrouwen;25 tot 35 jaar;2002;51.5;30.1;20.07;2559.0;33.5;36.0
209;Wetenschappelijk;Vrouwen;25 tot 35 jaar;2003;;;;;;
210;Wetenschappelijk;Vrouwen;35 tot 45 jaar;2002;53.2;15.4;24.04;2669.0;35.2;43.2
211;Wetenschappelijk;Vrouwen;35 tot 45 jaar;2003;;;;;;
212;Wetenschappelijk;Vrouwen;45 tot 55 jaar;2002;41.3;15.7;29.39;3318.0;44.0;55.6
213;Wetenschappelijk;Vrouwen;45 tot 55 jaar;2003;;;;;;
214;Wetenschappelijk;Vrouwen;55 tot 65 jaar;2002;11.8;3.5;31.7;3237.0;42.5;63.9
215;Wetenschappelijk;Vrouwen;55 tot 65 jaar;2003;;;;;;
