ID;CaribischNederland;Perioden;BevolkingOp1Januari_1;LevendGeborenKinderen_2;Overledenen_3;Geboorteoverschot_4;TotaalVestiging_5;Immigratie_6;VestigingVanuitEenAndereCNGemeente_7;TotaalVertrekInclAdmCorrecties_8;EmigratieInclusiefAdministratieveC_9;VertrekNaarEenAndereCNGemeente_10;TotaalVestigingsoverschot_11;SaldoBuitenlandseMigratie_12;SaldoBinnenlandseMigratie_13;OverigeCorrecties_14;Bevolkingsgroei_15;BevolkingsgroeiRelatief_16;BevolkingOp31December_17;BinnenCNGemeentenVerhuisdePersonen_18
36;Sint Eustatius;2021;3142;38;18;20;192;180;12;128;117;11;64;63;1;16;100;3.2;3242;208
37;Sint Eustatius;2022;3242;31;25;6;175;166;9;128;119;9;47;47;0;-2;51;1.6;3293;250
38;Sint Eustatius;2023;3293;30;17;13;172;168;4;273;269;4;-101;-101;0;-1;-89;-2.7;3204;349
39;Saba;2011;1797;7;17;-10;410;406;4;264;253;11;146;153;-7;38;174;9.7;1971;118
40;Saba;2012;1971;15;13;2;472;468;4;431;422;9;41;46;-5;-23;20;1.0;1991;147
41;Saba;2013;1991;10;12;-2;305;303;2;456;431;25;-151;-128;-23;8;-145;-7.3;1846;373
42;Saba;2014;1846;11;16;-5;358;353;5;401;391;10;-43;-38;-5;13;-35;-1.9;1811;168
43;Saba;2015;1811;17;9;8;336;325;11;210;204;6;126;121;5;2;136;7.5;1947;175
44;Saba;2016;1947;17;10;7;346;338;8;287;275;12;59;63;-4;-3;63;3.2;2010;191
45;Saba;2017;2010;18;13;5;292;288;4;157;150;7;135;138;-3;5;145;7.2;2155;135
46;Saba;2018;2155;15;11;4;234;229;5;474;472;2;-240;-243;3;-4;-240;-11.1;1915;148
47;Saba;2019;1915;11;13;-2;232;228;4;243;243;0;-11;-15;4;31;18;0.9;1933;168
48;Saba;2020;1933;11;16;-5;137;134;3;157;154;3;-20;-20;0;10;-15;-0.8;1918;174
49;Saba;2021;1918;9;20;-11;196;195;1;180;178;2;16;17;-1;-12;-7;-0.4;1911;164
50;Saba;2022;1911;19;15;4;251;248;3;137;134;3;114;114;0;6;124;6.5;2035;163
51;Saba;2023;2035;15;13;2;247;246;1;187;186;1;60;60;0;-37;25;1.2;2060;169
