ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalFusiesEnOvernames_1;k_1WerkzamePersoonOfMinder_2;k_2Tot10WerkzamePersonen_3;k_10Tot50WerkzamePersonen_4;k_50Tot250WerkzamePersonen_5;k_250WerkzamePersonenOfMeer_6;k_0Tot50WerkzamePersonen_7;k_0Tot250WerkzamePersonen_8;NatuurlijkePersonen_9;Rechtspersonen_10
40;A-U Alle economische activiteiten;2015 1e kwartaal;1410;435;485;315;130;40;1240;1370;145;1265
41;A-U Alle economische activiteiten;2015 2e kwartaal;1235;390;420;290;105;30;1100;1205;120;1120
42;A-U Alle economische activiteiten;2015 3e kwartaal;1410;460;430;370;115;35;1260;1375;190;1220
43;A-U Alle economische activiteiten;2015 4e kwartaal;1060;335;325;265;105;30;925;1030;110;945
44;A-U Alle economische activiteiten;2015;5115;1625;1660;1245;455;135;4525;4980;565;4550
45;A-U Alle economische activiteiten;2016 1e kwartaal;1570;460;510;395;150;50;1365;1520;155;1415
46;A-U Alle economische activiteiten;2016 2e kwartaal;1195;370;365;280;130;50;1010;1140;140;1055
47;A-U Alle economische activiteiten;2016 3e kwartaal;1740;700;530;335;150;25;1565;1715;285;1455
48;A-U Alle economische activiteiten;2016 4e kwartaal;2285;850;690;500;200;45;2040;2240;300;1985
49;A-U Alle economische activiteiten;2016;6785;2380;2095;1510;630;175;5985;6615;880;5905
50;A-U Alle economische activiteiten;2017 1e kwartaal;690;200;205;170;85;30;575;660;75;620
51;A-U Alle economische activiteiten;2017 2e kwartaal;1320;340;420;380;135;40;1140;1275;135;1185
52;A-U Alle economische activiteiten;2017 3e kwartaal;1275;385;400;325;110;55;1110;1220;170;1105
53;A-U Alle economische activiteiten;2017 4e kwartaal;1345;420;445;315;115;55;1180;1295;170;1175
54;A-U Alle economische activiteiten;2017;4630;1345;1470;1190;445;180;4005;4450;550;4085
55;A-U Alle economische activiteiten;2018 1e kwartaal;1545;500;445;385;150;60;1330;1485;180;1365
56;A-U Alle economische activiteiten;2018 2e kwartaal;1265;405;405;290;115;50;1100;1215;185;1080
57;A-U Alle economische activiteiten;2018 3e kwartaal;1335;365;430;345;135;60;1140;1275;155;1180
58;A-U Alle economische activiteiten;2018 4e kwartaal;1175;390;355;275;105;45;1020;1125;155;1015
59;A-U Alle economische activiteiten;2018;5320;1660;1635;1295;510;215;4595;5105;675;4645
60;A-U Alle economische activiteiten;2019 1e kwartaal;1975;660;590;470;180;75;1725;1905;240;1735
61;A-U Alle economische activiteiten;2019 2e kwartaal;2790;1145;800;560;210;80;2500;2710;540;2250
62;A-U Alle economische activiteiten;2019 3e kwartaal;590;125;155;170;90;45;455;545;45;545
63;A-U Alle economische activiteiten;2019 4e kwartaal;1075;335;325;265;115;40;925;1040;135;940
64;A-U Alle economische activiteiten;2019;6435;2270;1865;1465;595;235;5605;6200;960;5475
65;A-U Alle economische activiteiten;2020 1e kwartaal;1910;585;630;480;155;65;1695;1850;235;1675
66;A-U Alle economische activiteiten;2020 2e kwartaal;1245;420;360;315;120;35;1090;1210;150;1090
67;A-U Alle economische activiteiten;2020 3e kwartaal;1755;640;535;400;140;40;1575;1715;310;1450
68;A-U Alle economische activiteiten;2020 4e kwartaal;1515;570;415;335;145;45;1325;1465;295;1220
69;A-U Alle economische activiteiten;2020;6425;2210;1940;1530;560;185;5685;6240;990;5435
70;A-U Alle economische activiteiten;2021 1e kwartaal;2730;1200;770;505;180;75;2475;2655;515;2215
71;A-U Alle economische activiteiten;2021 2e kwartaal;1550;575;435;335;155;50;1345;1500;255;1295
72;A-U Alle economische activiteiten;2021 3e kwartaal;1575;530;520;340;120;65;1390;1515;255;1320
73;A-U Alle economische activiteiten;2021 4e kwartaal;1375;505;385;290;135;60;1185;1320;245;1130
74;A-U Alle economische activiteiten;2021;7235;2810;2115;1470;590;250;6395;6990;1270;5965
75;A-U Alle economische activiteiten;2022 1e kwartaal;2190;840;605;475;175;95;1920;2095;370;1825
76;A-U Alle economische activiteiten;2022 2e kwartaal;1490;505;425;350;155;55;1280;1435;235;1250
77;A-U Alle economische activiteiten;2022 3e kwartaal;1635;550;485;375;165;55;1410;1575;215;1420
78;A-U Alle economische activiteiten;2022 4e kwartaal;3045;1200;835;675;225;110;2710;2935;590;2460
79;A-U Alle economische activiteiten;2022;8360;3095;2350;1875;720;320;7320;8040;1410;6950
80;A-U Alle economische activiteiten;2023 1e kwartaal;675;210;185;135;100;45;530;630;80;595
81;A-U Alle economische activiteiten;2023 2e kwartaal;1440;440;425;375;135;65;1240;1375;185;1255
82;A-U Alle economische activiteiten;2023 3e kwartaal;1640;585;475;380;140;65;1440;1575;205;1435
83;A-U Alle economische activiteiten;2023 4e kwartaal;1025;325;280;230;120;65;835;960;130;895
84;A-U Alle economische activiteiten;2023;4775;1560;1360;1125;490;240;4045;4535;600;4175
85;A-U Alle economische activiteiten;2024 1e kwartaal;1665;545;465;405;175;70;1415;1595;165;1500
86;A-U Alle economische activiteiten;2024 2e kwartaal;1220;445;325;270;110;65;1040;1155;155;1065
87;A-U Alle economische activiteiten;2024 3e kwartaal;1325;410;395;340;125;50;1145;1275;150;1175
88;A-U Alle economische activiteiten;2024 4e kwartaal;1150;380;325;275;110;60;980;1090;125;1025
89;A-U Alle economische activiteiten;2024;5355;1775;1515;1290;525;250;4580;5110;595;4760
90;Totaal (ex. financieel of nutsbedrijven);2007 1e kwartaal;610;125;215;180;70;20;525;595;10;605
91;Totaal (ex. financieel of nutsbedrijven);2007 2e kwartaal;680;155;240;200;60;25;600;655;25;655
92;Totaal (ex. financieel of nutsbedrijven);2007 3e kwartaal;540;95;220;160;40;30;470;510;30;510
93;Totaal (ex. financieel of nutsbedrijven);2007 4e kwartaal;445;90;170;120;40;25;380;420;15;430
94;Totaal (ex. financieel of nutsbedrijven);2007;2275;465;845;665;205;95;1975;2180;75;2200
95;Totaal (ex. financieel of nutsbedrijven);2008 1e kwartaal;670;140;270;185;55;20;600;655;10;660
96;Totaal (ex. financieel of nutsbedrijven);2008 2e kwartaal;615;120;250;160;55;30;530;585;20;595
97;Totaal (ex. financieel of nutsbedrijven);2008 3e kwartaal;460;120;170;120;35;15;415;445;10;450
98;Totaal (ex. financieel of nutsbedrijven);2008 4e kwartaal;390;80;150;110;25;25;340;365;5;385
99;Totaal (ex. financieel of nutsbedrijven);2008;2140;460;840;580;165;90;1880;2050;50;2085
100;Totaal (ex. financieel of nutsbedrijven);2009 1e kwartaal;480;135;170;120;40;15;425;465;10;475
101;Totaal (ex. financieel of nutsbedrijven);2009 2e kwartaal;805;230;305;195;55;20;730;785;20;785
102;Totaal (ex. financieel of nutsbedrijven);2009 3e kwartaal;460;130;170;105;35;15;410;445;20;440
103;Totaal (ex. financieel of nutsbedrijven);2009 4e kwartaal;545;170;200;110;50;15;480;530;10;535
104;Totaal (ex. financieel of nutsbedrijven);2009;2290;665;845;535;185;65;2045;2225;55;2235
105;Totaal (ex. financieel of nutsbedrijven);2010 1e kwartaal;295;70;70;75;50;30;210;260;20;275
106;Totaal (ex. financieel of nutsbedrijven);2010 2e kwartaal;1775;430;630;470;185;60;1530;1715;130;1650
107;Totaal (ex. financieel of nutsbedrijven);2010 3e kwartaal;1240;355;410;315;125;35;1080;1205;120;1120
108;Totaal (ex. financieel of nutsbedrijven);2010 4e kwartaal;975;270;335;260;95;20;860;955;95;885
109;Totaal (ex. financieel of nutsbedrijven);2010;4290;1125;1440;1120;455;150;3685;4140;360;3925
110;Totaal (ex. financieel of nutsbedrijven);2011 1e kwartaal;1265;295;465;340;130;35;1100;1230;105;1165
111;Totaal (ex. financieel of nutsbedrijven);2011 2e kwartaal;1075;235;350;295;150;45;885;1030;100;975
112;Totaal (ex. financieel of nutsbedrijven);2011 3e kwartaal;1025;225;345;290;130;35;860;990;90;935
113;Totaal (ex. financieel of nutsbedrijven);2011 4e kwartaal;810;205;285;205;85;30;690;780;60;750
114;Totaal (ex. financieel of nutsbedrijven);2011;4170;965;1440;1130;495;140;3535;4030;355;3815
115;Totaal (ex. financieel of nutsbedrijven);2012 1e kwartaal;1330;325;465;370;140;30;1160;1300;105;1225
116;Totaal (ex. financieel of nutsbedrijven);2012 2e kwartaal;945;260;300;235;95;55;790;890;95;845
117;Totaal (ex. financieel of nutsbedrijven);2012 3e kwartaal;1475;405;515;400;115;40;1315;1430;185;1290
118;Totaal (ex. financieel of nutsbedrijven);2012 4e kwartaal;920;255;310;245;85;25;810;895;90;830
119;Totaal (ex. financieel of nutsbedrijven);2012;4670;1245;1585;1250;440;150;4080;4520;475;4195
120;Totaal (ex. financieel of nutsbedrijven);2013 1e kwartaal;1190;320;390;310;125;45;1020;1145;105;1085
121;Totaal (ex. financieel of nutsbedrijven);2013 2e kwartaal;1235;285;430;365;115;40;1080;1195;120;1115
122;Totaal (ex. financieel of nutsbedrijven);2013 3e kwartaal;1325;385;435;345;125;40;1160;1285;165;1165
123;Totaal (ex. financieel of nutsbedrijven);2013 4e kwartaal;1035;310;325;270;100;30;905;1005;140;895
124;Totaal (ex. financieel of nutsbedrijven);2013;4785;1305;1580;1285;465;155;4170;4630;530;4255
125;Totaal (ex. financieel of nutsbedrijven);2014 1e kwartaal;1920;650;635;465;135;40;1745;1880;310;1610
126;Totaal (ex. financieel of nutsbedrijven);2014 2e kwartaal;385;100;100;100;55;35;300;350;50;340
127;Totaal (ex. financieel of nutsbedrijven);2014 3e kwartaal;935;250;310;260;75;40;820;895;105;830
128;Totaal (ex. financieel of nutsbedrijven);2014 4e kwartaal;985;275;345;235;100;30;855;960;110;880
129;Totaal (ex. financieel of nutsbedrijven);2014;4230;1275;1390;1060;360;145;3720;4085;575;3660
130;Totaal (ex. financieel of nutsbedrijven);2015 1e kwartaal;1325;390;460;310;130;40;1160;1285;145;1180
131;Totaal (ex. financieel of nutsbedrijven);2015 2e kwartaal;1175;355;410;280;100;30;1045;1145;115;1060
132;Totaal (ex. financieel of nutsbedrijven);2015 3e kwartaal;1330;420;410;360;110;30;1185;1300;190;1140
133;Totaal (ex. financieel of nutsbedrijven);2015 4e kwartaal;990;295;310;260;100;20;865;970;110;880
134;Totaal (ex. financieel of nutsbedrijven);2015;4820;1460;1590;1205;445;120;4255;4700;555;4260
135;Totaal (ex. financieel of nutsbedrijven);2016 1e kwartaal;1490;420;490;385;150;45;1295;1440;155;1335
136;Totaal (ex. financieel of nutsbedrijven);2016 2e kwartaal;1135;335;345;275;125;50;955;1080;140;995
137;Totaal (ex. financieel of nutsbedrijven);2016 3e kwartaal;1620;625;505;325;145;20;1455;1600;280;1340
138;Totaal (ex. financieel of nutsbedrijven);2016 4e kwartaal;2155;755;670;490;195;45;1920;2110;295;1860
139;Totaal (ex. financieel of nutsbedrijven);2016;6395;2135;2005;1475;615;165;5620;6235;870;5530
140;Totaal (ex. financieel of nutsbedrijven);2017 1e kwartaal;655;175;195;170;85;30;540;625;70;585
141;Totaal (ex. financieel of nutsbedrijven);2017 2e kwartaal;1250;305;405;370;130;40;1080;1215;130;1120
142;Totaal (ex. financieel of nutsbedrijven);2017 3e kwartaal;1220;365;385;315;105;55;1060;1170;170;1050
143;Totaal (ex. financieel of nutsbedrijven);2017 4e kwartaal;1280;390;420;305;110;50;1120;1230;170;1110
144;Totaal (ex. financieel of nutsbedrijven);2017;4410;1235;1405;1160;435;175;3800;4235;540;3870
145;Totaal (ex. financieel of nutsbedrijven);2018 1e kwartaal;1460;450;425;385;145;60;1255;1405;175;1285
146;Totaal (ex. financieel of nutsbedrijven);2018 2e kwartaal;1205;375;390;280;110;45;1050;1160;180;1025
147;Totaal (ex. financieel of nutsbedrijven);2018 3e kwartaal;1270;335;405;335;135;60;1075;1210;155;1115
148;Totaal (ex. financieel of nutsbedrijven);2018 4e kwartaal;1115;360;340;270;100;45;970;1070;155;960
149;Totaal (ex. financieel of nutsbedrijven);2018;5055;1525;1560;1270;495;205;4355;4845;665;4390
150;Totaal (ex. financieel of nutsbedrijven);2019 1e kwartaal;1865;605;560;455;175;70;1620;1795;235;1625
151;Totaal (ex. financieel of nutsbedrijven);2019 2e kwartaal;2625;1045;755;545;200;75;2345;2550;535;2090
152;Totaal (ex. financieel of nutsbedrijven);2019 3e kwartaal;560;110;145;170;90;45;425;515;45;515
153;Totaal (ex. financieel of nutsbedrijven);2019 4e kwartaal;1025;305;315;260;110;35;880;990;135;895
154;Totaal (ex. financieel of nutsbedrijven);2019;6070;2070;1775;1430;575;225;5275;5850;950;5120
155;Totaal (ex. financieel of nutsbedrijven);2020 1e kwartaal;1815;525;610;465;145;60;1605;1750;235;1580
156;Totaal (ex. financieel of nutsbedrijven);2020 2e kwartaal;1165;370;340;310;115;30;1020;1135;150;1015
157;Totaal (ex. financieel of nutsbedrijven);2020 3e kwartaal;1665;580;515;395;140;40;1490;1630;300;1365
158;Totaal (ex. financieel of nutsbedrijven);2020 4e kwartaal;1425;525;390;325;140;45;1240;1385;290;1135
159;Totaal (ex. financieel of nutsbedrijven);2020;6070;2005;1855;1495;540;175;5355;5895;975;5095
160;Totaal (ex. financieel of nutsbedrijven);2021 1e kwartaal;2555;1095;725;495;175;70;2315;2490;505;2050
161;Totaal (ex. financieel of nutsbedrijven);2021 2e kwartaal;1465;520;415;335;150;50;1270;1415;250;1215
162;Totaal (ex. financieel of nutsbedrijven);2021 3e kwartaal;1490;480;500;330;120;60;1310;1425;255;1235
163;Totaal (ex. financieel of nutsbedrijven);2021 4e kwartaal;1300;465;365;285;130;60;1115;1245;240;1060
164;Totaal (ex. financieel of nutsbedrijven);2021;6815;2560;2010;1435;570;240;6005;6575;1250;5565
165;Totaal (ex. financieel of nutsbedrijven);2022 1e kwartaal;2075;770;575;460;170;95;1810;1980;365;1710
166;Totaal (ex. financieel of nutsbedrijven);2022 2e kwartaal;1415;470;405;340;150;50;1215;1365;235;1180
167;Totaal (ex. financieel of nutsbedrijven);2022 3e kwartaal;1560;510;465;370;160;55;1345;1505;215;1345
168;Totaal (ex. financieel of nutsbedrijven);2022 4e kwartaal;2900;1110;800;660;215;110;2570;2790;580;2315
169;Totaal (ex. financieel of nutsbedrijven);2022;7950;2860;2250;1830;695;315;6945;7640;1395;6555
170;Totaal (ex. financieel of nutsbedrijven);2023 1e kwartaal;625;185;170;130;95;45;485;580;80;545
171;Totaal (ex. financieel of nutsbedrijven);2023 2e kwartaal;1370;410;400;370;130;60;1180;1310;185;1185
172;Totaal (ex. financieel of nutsbedrijven);2023 3e kwartaal;1505;485;455;370;135;65;1310;1445;200;1305
173;Totaal (ex. financieel of nutsbedrijven);2023 4e kwartaal;980;310;270;225;115;65;800;920;130;855
174;Totaal (ex. financieel of nutsbedrijven);2023;4480;1385;1295;1095;475;230;3775;4250;595;3890
175;Totaal (ex. financieel of nutsbedrijven);2024 1e kwartaal;1605;515;455;395;170;70;1365;1535;160;1445
176;Totaal (ex. financieel of nutsbedrijven);2024 2e kwartaal;1175;420;320;265;105;65;1005;1110;155;1020
177;Totaal (ex. financieel of nutsbedrijven);2024 3e kwartaal;1260;385;375;335;115;50;1095;1210;150;1110
178;Totaal (ex. financieel of nutsbedrijven);2024 4e kwartaal;1100;360;315;265;105;55;940;1045;125;975
179;Totaal (ex. financieel of nutsbedrijven);2024;5135;1675;1465;1265;495;235;4405;4900;590;4550
180;Business Economy, B-N, excl. K, incl. 95;2007 1e kwartaal;570;120;205;165;65;20;485;550;5;565
181;Business Economy, B-N, excl. K, incl. 95;2007 2e kwartaal;635;145;230;185;55;20;560;615;25;610
182;Business Economy, B-N, excl. K, incl. 95;2007 3e kwartaal;490;90;200;150;40;15;435;470;25;465
183;Business Economy, B-N, excl. K, incl. 95;2007 4e kwartaal;415;85;160;115;35;20;360;395;15;405
184;Business Economy, B-N, excl. K, incl. 95;2007;2110;440;795;610;195;75;1840;2035;70;2040
185;Business Economy, B-N, excl. K, incl. 95;2008 1e kwartaal;635;135;255;170;50;20;560;615;10;625
186;Business Economy, B-N, excl. K, incl. 95;2008 2e kwartaal;580;115;230;150;50;30;500;550;20;560
187;Business Economy, B-N, excl. K, incl. 95;2008 3e kwartaal;420;110;150;110;35;15;375;405;10;410
188;Business Economy, B-N, excl. K, incl. 95;2008 4e kwartaal;360;75;145;100;25;20;315;340;10;350
189;Business Economy, B-N, excl. K, incl. 95;2008;1990;435;785;535;160;80;1750;1910;50;1945
190;Business Economy, B-N, excl. K, incl. 95;2009 1e kwartaal;445;125;160;110;35;15;395;430;10;435
191;Business Economy, B-N, excl. K, incl. 95;2009 2e kwartaal;740;220;280;175;50;15;675;725;15;725
192;Business Economy, B-N, excl. K, incl. 95;2009 3e kwartaal;425;125;155;95;35;15;375;410;15;410
193;Business Economy, B-N, excl. K, incl. 95;2009 4e kwartaal;505;155;180;105;50;10;445;495;5;500
194;Business Economy, B-N, excl. K, incl. 95;2009;2115;620;775;490;170;55;1885;2060;45;2070
195;Business Economy, B-N, excl. K, incl. 95;2010 1e kwartaal;260;65;65;75;45;15;200;245;15;245
196;Business Economy, B-N, excl. K, incl. 95;2010 2e kwartaal;1620;390;560;455;175;35;1410;1585;100;1525
197;Business Economy, B-N, excl. K, incl. 95;2010 3e kwartaal;1105;325;360;285;110;25;970;1080;90;1015
198;Business Economy, B-N, excl. K, incl. 95;2010 4e kwartaal;890;250;305;235;85;15;790;875;80;815
199;Business Economy, B-N, excl. K, incl. 95;2010;3875;1035;1290;1050;415;90;3370;3785;285;3595
200;Business Economy, B-N, excl. K, incl. 95;2011 1e kwartaal;1150;265;420;325;115;25;1010;1125;85;1065
201;Business Economy, B-N, excl. K, incl. 95;2011 2e kwartaal;955;215;310;275;130;20;805;935;75;880
202;Business Economy, B-N, excl. K, incl. 95;2011 3e kwartaal;925;215;310;265;110;20;790;905;65;860
203;Business Economy, B-N, excl. K, incl. 95;2011 4e kwartaal;760;195;270;195;80;20;660;740;55;705
204;Business Economy, B-N, excl. K, incl. 95;2011;3790;890;1315;1060;440;85;3265;3705;285;3505
205;Business Economy, B-N, excl. K, incl. 95;2012 1e kwartaal;1195;290;420;340;125;20;1050;1175;80;1115
206;Business Economy, B-N, excl. K, incl. 95;2012 2e kwartaal;850;235;280;220;85;40;730;815;80;775
207;Business Economy, B-N, excl. K, incl. 95;2012 3e kwartaal;1350;375;465;370;105;35;1210;1315;145;1205
208;Business Economy, B-N, excl. K, incl. 95;2012 4e kwartaal;845;245;280;220;80;20;745;825;75;770
209;Business Economy, B-N, excl. K, incl. 95;2012;4240;1145;1450;1145;395;110;3735;4130;380;3865
210;Business Economy, B-N, excl. K, incl. 95;2013 1e kwartaal;1080;295;360;280;115;30;935;1045;85;995
211;Business Economy, B-N, excl. K, incl. 95;2013 2e kwartaal;1130;260;395;345;105;25;1000;1105;95;1040
212;Business Economy, B-N, excl. K, incl. 95;2013 3e kwartaal;1185;350;390;315;110;25;1055;1160;130;1060
213;Business Economy, B-N, excl. K, incl. 95;2013 4e kwartaal;925;270;295;250;85;25;815;900;110;815
214;Business Economy, B-N, excl. K, incl. 95;2013;4320;1175;1440;1190;410;105;3800;4210;415;3900
215;Business Economy, B-N, excl. K, incl. 95;2014 1e kwartaal;1685;575;560;405;120;30;1540;1655;200;1485
216;Business Economy, B-N, excl. K, incl. 95;2014 2e kwartaal;320;85;90;85;40;20;260;300;30;285
217;Business Economy, B-N, excl. K, incl. 95;2014 3e kwartaal;810;225;265;230;65;25;720;785;80;730
218;Business Economy, B-N, excl. K, incl. 95;2014 4e kwartaal;880;250;305;215;90;20;770;860;85;795
219;Business Economy, B-N, excl. K, incl. 95;2014;3690;1130;1215;935;315;90;3285;3600;395;3295
220;Business Economy, B-N, excl. K, incl. 95;2015 1e kwartaal;1170;340;410;280;110;25;1030;1140;100;1070
221;Business Economy, B-N, excl. K, incl. 95;2015 2e kwartaal;1040;315;370;250;90;20;930;1020;85;955
222;Business Economy, B-N, excl. K, incl. 95;2015 3e kwartaal;1170;355;370;330;95;20;1055;1150;135;1035
223;Business Economy, B-N, excl. K, incl. 95;2015 4e kwartaal;885;260;295;240;80;15;795;870;90;795
224;Business Economy, B-N, excl. K, incl. 95;2015;4270;1275;1440;1100;375;80;3810;4185;410;3855
225;Business Economy, B-N, excl. K, incl. 95;2016 1e kwartaal;1300;365;440;340;130;30;1140;1270;110;1190
226;Business Economy, B-N, excl. K, incl. 95;2016 2e kwartaal;1020;300;320;255;115;30;875;990;105;915
227;Business Economy, B-N, excl. K, incl. 95;2016 3e kwartaal;1445;535;460;300;130;15;1300;1430;200;1240
228;Business Economy, B-N, excl. K, incl. 95;2016 4e kwartaal;1905;665;595;440;175;30;1700;1875;220;1685
229;Business Economy, B-N, excl. K, incl. 95;2016;5670;1860;1815;1335;550;105;5015;5565;635;5035
230;Business Economy, B-N, excl. K, incl. 95;2017 1e kwartaal;570;150;180;145;70;25;475;550;50;525
231;Business Economy, B-N, excl. K, incl. 95;2017 2e kwartaal;1110;275;355;335;115;25;965;1080;100;1010
232;Business Economy, B-N, excl. K, incl. 95;2017 3e kwartaal;1080;325;345;275;95;40;945;1040;135;945
233;Business Economy, B-N, excl. K, incl. 95;2017 4e kwartaal;1115;335;375;275;100;35;985;1080;120;995
234;Business Economy, B-N, excl. K, incl. 95;2017;3875;1085;1255;1030;380;120;3370;3750;400;3475
235;Business Economy, B-N, excl. K, incl. 95;2018 1e kwartaal;1335;405;390;360;135;50;1150;1290;135;1200
236;Business Economy, B-N, excl. K, incl. 95;2018 2e kwartaal;1035;310;340;250;100;35;900;1000;120;910
237;Business Economy, B-N, excl. K, incl. 95;2018 3e kwartaal;1115;290;360;295;125;45;945;1070;110;1005
238;Business Economy, B-N, excl. K, incl. 95;2018 4e kwartaal;985;320;305;240;85;35;865;950;110;875
239;Business Economy, B-N, excl. K, incl. 95;2018;4465;1325;1390;1150;445;160;3860;4305;480;3985
240;Business Economy, B-N, excl. K, incl. 95;2019 1e kwartaal;1655;520;515;405;160;55;1440;1600;160;1495
241;Business Economy, B-N, excl. K, incl. 95;2019 2e kwartaal;2300;865;680;505;190;60;2050;2245;375;1925
242;Business Economy, B-N, excl. K, incl. 95;2019 3e kwartaal;500;100;135;150;80;35;385;465;35;465
243;Business Economy, B-N, excl. K, incl. 95;2019 4e kwartaal;920;275;285;240;90;25;800;895;105;815
244;Business Economy, B-N, excl. K, incl. 95;2019;5380;1765;1610;1305;525;175;4680;5205;675;4700
245;Business Economy, B-N, excl. K, incl. 95;2020 1e kwartaal;1590;455;535;420;130;50;1410;1540;160;1425
246;Business Economy, B-N, excl. K, incl. 95;2020 2e kwartaal;1025;325;300;280;105;20;905;1010;105;920
247;Business Economy, B-N, excl. K, incl. 95;2020 3e kwartaal;1460;495;455;355;125;30;1305;1435;215;1245
248;Business Economy, B-N, excl. K, incl. 95;2020 4e kwartaal;1265;445;355;300;130;30;1105;1235;210;1055
249;Business Economy, B-N, excl. K, incl. 95;2020;5345;1720;1650;1355;490;130;4725;5215;695;4650
250;Business Economy, B-N, excl. K, incl. 95;2021 1e kwartaal;2210;890;650;450;165;50;1990;2155;335;1875
251;Business Economy, B-N, excl. K, incl. 95;2021 2e kwartaal;1270;430;365;300;130;40;1100;1230;170;1100
252;Business Economy, B-N, excl. K, incl. 95;2021 3e kwartaal;1290;390;445;300;105;50;1135;1240;165;1125
253;Business Economy, B-N, excl. K, incl. 95;2021 4e kwartaal;1125;385;325;255;120;40;965;1085;165;960
254;Business Economy, B-N, excl. K, incl. 95;2021;5895;2095;1790;1310;520;180;5195;5715;835;5060
