ID;KenmerkenLeasevoertuig;Perioden;Prijsindex_1;Kwartaalmutatie_2;Jaarmutatie_3;Prijsindex_4;Kwartaalmutatie_5;Jaarmutatie_6;Wegingsfactoren_7
160;Personenauto's;2017 2e kwartaal;102.6;-0.6;0.4;99.6;-0.8;1.1;79.3
161;Personenauto's;2017 3e kwartaal;101.8;-0.8;0.2;98.9;-0.7;1.1;79.3
162;Personenauto's;2017 4e kwartaal;102.2;0.4;0.4;99.7;0.8;0.9;79.3
163;Personenauto's;2017 jaargemiddelde;102.5;;0.5;99.7;;1.4;79.3
164;Personenauto's: diesel;2001 3e kwartaal;78.0;;;75.2;;;
165;Personenauto's: diesel;2001 4e kwartaal;77.7;-0.4;;74.5;-0.9;;
166;Personenauto's: diesel;2002 1e kwartaal;79.0;1.6;;75.2;1.0;;
167;Personenauto's: diesel;2002 2e kwartaal;79.8;1.1;;76.4;1.6;;
168;Personenauto's: diesel;2002 3e kwartaal;79.6;-0.3;2.1;75.9;-0.6;1.0;
169;Personenauto's: diesel;2002 4e kwartaal;79.6;0.0;2.5;76.1;0.2;2.2;
170;Personenauto's: diesel;2002 jaargemiddelde;79.5;;;75.9;;;
171;Personenauto's: diesel;2003 1e kwartaal;81.1;1.9;2.7;77.9;2.4;3.6;
172;Personenauto's: diesel;2003 2e kwartaal;80.8;-0.4;1.3;76.8;-1.4;0.6;
173;Personenauto's: diesel;2003 3e kwartaal;81.7;1.1;2.7;77.7;1.1;2.3;
174;Personenauto's: diesel;2003 4e kwartaal;82.7;1.2;3.9;78.5;1.1;3.2;
175;Personenauto's: diesel;2003 jaargemiddelde;81.6;;2.7;77.8;;2.4;
176;Personenauto's: diesel;2004 1e kwartaal;84.1;1.7;3.7;79.7;1.5;2.3;
177;Personenauto's: diesel;2004 2e kwartaal;85.0;1.1;5.2;81.3;2.0;5.8;
178;Personenauto's: diesel;2004 3e kwartaal;85.0;0.0;4.0;82.1;0.9;5.6;
179;Personenauto's: diesel;2004 4e kwartaal;85.0;0.0;2.7;82.9;1.0;5.5;
180;Personenauto's: diesel;2004 jaargemiddelde;84.8;;3.9;81.5;;4.8;
181;Personenauto's: diesel;2005 1e kwartaal;87.4;2.8;3.9;84.2;1.7;5.6;
182;Personenauto's: diesel;2005 2e kwartaal;88.1;0.8;3.6;86.0;2.1;5.8;
183;Personenauto's: diesel;2005 3e kwartaal;88.8;0.8;4.4;87.7;2.0;6.9;
184;Personenauto's: diesel;2005 4e kwartaal;89.8;1.2;5.7;88.6;1.0;7.0;
185;Personenauto's: diesel;2005 jaargemiddelde;88.5;;4.4;86.6;;6.3;
186;Personenauto's: diesel;2006 1e kwartaal;91.0;1.3;4.2;89.7;1.2;6.4;
187;Personenauto's: diesel;2006 2e kwartaal;92.4;1.5;4.9;91.4;1.9;6.2;
188;Personenauto's: diesel;2006 3e kwartaal;92.5;0.1;4.1;91.5;0.2;4.3;
189;Personenauto's: diesel;2006 4e kwartaal;93.0;0.6;3.5;90.7;-0.9;2.3;
190;Personenauto's: diesel;2006 jaargemiddelde;92.2;;4.2;90.8;;4.8;
191;Personenauto's: diesel;2007 1e kwartaal;94.4;1.5;3.7;91.8;1.2;2.4;
192;Personenauto's: diesel;2007 2e kwartaal;94.7;0.4;2.6;92.8;1.0;1.5;
193;Personenauto's: diesel;2007 3e kwartaal;94.8;0.1;2.6;93.2;0.5;1.9;
194;Personenauto's: diesel;2007 4e kwartaal;94.5;-0.4;1.6;94.2;1.1;3.9;
195;Personenauto's: diesel;2007 jaargemiddelde;94.6;;2.6;93.0;;2.4;
196;Personenauto's: diesel;2008 1e kwartaal;92.9;-1.7;-1.6;93.5;-0.8;1.8;
197;Personenauto's: diesel;2008 2e kwartaal;94.1;1.3;-0.7;96.7;3.4;4.2;
198;Personenauto's: diesel;2008 3e kwartaal;95.4;1.3;0.5;98.5;1.9;5.7;
199;Personenauto's: diesel;2008 4e kwartaal;96.1;0.8;1.7;97.0;-1.6;2.9;
200;Personenauto's: diesel;2008 jaargemiddelde;94.6;;0.0;96.4;;3.7;
201;Personenauto's: diesel;2009 1e kwartaal;97.6;1.5;5.0;96.6;-0.4;3.3;
202;Personenauto's: diesel;2009 2e kwartaal;97.8;0.3;3.9;96.5;-0.1;-0.2;
203;Personenauto's: diesel;2009 3e kwartaal;98.7;0.8;3.5;97.6;1.2;-0.9;
204;Personenauto's: diesel;2009 4e kwartaal;98.5;-0.1;2.5;98.0;0.4;1.1;
205;Personenauto's: diesel;2009 jaargemiddelde;98.1;;3.7;97.2;;0.8;
206;Personenauto's: diesel;2010 1e kwartaal;100.2;1.6;2.7;99.6;1.6;3.1;33.6
207;Personenauto's: diesel;2010 2e kwartaal;99.9;-0.2;2.2;100.2;0.7;3.9;33.6
208;Personenauto's: diesel;2010 3e kwartaal;99.8;-0.1;1.2;99.8;-0.4;2.3;33.6
209;Personenauto's: diesel;2010 4e kwartaal;100.1;0.3;1.6;100.4;0.5;2.4;33.6
210;Personenauto's: diesel;2010 jaargemiddelde;100.0;;1.9;100.0;;2.9;33.6
211;Personenauto's: diesel;2011 1e kwartaal;101.3;1.2;1.2;102.6;2.3;3.1;33.6
212;Personenauto's: diesel;2011 2e kwartaal;101.6;0.3;1.7;103.4;0.7;3.1;33.6
213;Personenauto's: diesel;2011 3e kwartaal;100.5;-1.0;0.7;102.2;-1.1;2.4;33.6
214;Personenauto's: diesel;2011 4e kwartaal;100.1;-0.5;-0.1;101.9;-0.3;1.5;33.6
215;Personenauto's: diesel;2011 jaargemiddelde;100.9;;0.9;102.5;;2.5;33.6
216;Personenauto's: diesel;2012 1e kwartaal;99.9;-0.2;-1.4;102.5;0.6;-0.1;33.6
217;Personenauto's: diesel;2012 2e kwartaal;100.0;0.1;-1.6;101.8;-0.7;-1.5;33.6
218;Personenauto's: diesel;2012 3e kwartaal;100.0;0.1;-0.5;102.0;0.2;-0.2;33.6
219;Personenauto's: diesel;2012 4e kwartaal;99.9;-0.1;-0.1;102.0;0.0;0.1;33.6
220;Personenauto's: diesel;2012 jaargemiddelde;100.0;;-0.9;102.1;;-0.4;33.6
221;Personenauto's: diesel;2013 1e kwartaal;100.2;0.3;0.4;102.0;-0.1;-0.5;33.6
222;Personenauto's: diesel;2013 2e kwartaal;100.0;-0.2;0.1;101.2;-0.8;-0.6;33.6
223;Personenauto's: diesel;2013 3e kwartaal;99.9;-0.2;-0.2;101.3;0.1;-0.6;33.6
224;Personenauto's: diesel;2013 4e kwartaal;99.6;-0.3;-0.3;100.5;-0.8;-1.5;33.6
225;Personenauto's: diesel;2013 jaargemiddelde;99.9;;0.0;101.3;;-0.8;33.6
226;Personenauto's: diesel;2014 1e kwartaal;101.4;1.8;1.2;102.5;2.0;0.5;33.6
227;Personenauto's: diesel;2014 2e kwartaal;100.8;-0.6;0.8;101.9;-0.6;0.7;33.6
228;Personenauto's: diesel;2014 3e kwartaal;100.8;0.0;0.9;101.7;-0.2;0.3;33.6
229;Personenauto's: diesel;2014 4e kwartaal;100.7;-0.1;1.1;101.1;-0.5;0.6;33.6
230;Personenauto's: diesel;2014 jaargemiddelde;100.9;;1.0;101.8;;0.5;33.6
231;Personenauto's: diesel;2015 1e kwartaal;100.9;0.2;-0.5;100.0;-1.1;-2.5;33.6
232;Personenauto's: diesel;2015 2e kwartaal;99.5;-1.4;-1.3;98.7;-1.3;-3.2;33.6
233;Personenauto's: diesel;2015 3e kwartaal;98.4;-1.1;-2.3;97.1;-1.6;-4.5;33.6
234;Personenauto's: diesel;2015 4e kwartaal;98.2;-0.2;-2.4;96.8;-0.3;-4.3;33.6
235;Personenauto's: diesel;2015 jaargemiddelde;99.3;;-1.6;98.1;;-3.6;33.6
236;Personenauto's: diesel;2016 1e kwartaal;98.9;0.6;-2.1;95.9;-0.8;-4.1;33.6
237;Personenauto's: diesel;2016 2e kwartaal;98.9;0.0;-0.6;96.4;0.5;-2.3;33.6
238;Personenauto's: diesel;2016 3e kwartaal;98.3;-0.6;-0.2;95.7;-0.7;-1.4;33.6
239;Personenauto's: diesel;2016 4e kwartaal;98.5;0.2;0.3;96.7;1.1;0.0;33.6
240;Personenauto's: diesel;2016 jaargemiddelde;98.6;;-0.7;96.2;;-2.0;33.6
241;Personenauto's: diesel;2017 1e kwartaal;99.9;1.4;1.0;98.2;1.6;2.4;33.6
242;Personenauto's: diesel;2017 2e kwartaal;98.9;-1.0;0.0;97.2;-1.1;0.8;33.6
243;Personenauto's: diesel;2017 3e kwartaal;98.6;-0.3;0.4;97.0;-0.3;1.3;33.6
244;Personenauto's: diesel;2017 4e kwartaal;99.2;0.6;0.7;97.9;1.0;1.2;33.6
245;Personenauto's: diesel;2017 jaargemiddelde;99.1;;0.5;97.6;;1.4;33.6
246;Personenauto's: benzine;2001 3e kwartaal;78.7;;;77.1;;;
247;Personenauto's: benzine;2001 4e kwartaal;78.2;-0.7;;75.5;-2.1;;
248;Personenauto's: benzine;2002 1e kwartaal;80.2;2.6;;77.4;2.4;;
249;Personenauto's: benzine;2002 2e kwartaal;81.3;1.3;;79.1;2.3;;
250;Personenauto's: benzine;2002 3e kwartaal;81.1;-0.2;3.0;78.8;-0.4;2.1;
251;Personenauto's: benzine;2002 4e kwartaal;81.0;-0.1;3.6;78.1;-0.8;3.4;
252;Personenauto's: benzine;2002 jaargemiddelde;80.9;;;78.3;;;
253;Personenauto's: benzine;2003 1e kwartaal;82.3;1.6;2.6;80.3;2.8;3.8;
254;Personenauto's: benzine;2003 2e kwartaal;82.5;0.2;1.5;79.8;-0.7;0.8;
255;Personenauto's: benzine;2003 3e kwartaal;84.0;1.8;3.5;81.4;2.0;3.3;
256;Personenauto's: benzine;2003 4e kwartaal;85.5;1.8;5.6;81.6;0.2;4.4;
257;Personenauto's: benzine;2003 jaargemiddelde;83.6;;3.3;80.7;;3.1;
258;Personenauto's: benzine;2004 1e kwartaal;86.9;1.7;5.6;83.2;2.0;3.6;
259;Personenauto's: benzine;2004 2e kwartaal;88.0;1.2;6.7;85.7;3.0;7.4;
260;Personenauto's: benzine;2004 3e kwartaal;87.9;-0.2;4.6;85.4;-0.3;5.0;
261;Personenauto's: benzine;2004 4e kwartaal;87.9;0.1;2.8;85.4;0.0;4.7;
262;Personenauto's: benzine;2004 jaargemiddelde;87.7;;4.9;84.9;;5.2;
263;Personenauto's: benzine;2005 1e kwartaal;91.2;3.7;4.9;87.5;2.4;5.2;
264;Personenauto's: benzine;2005 2e kwartaal;92.5;1.4;5.1;89.7;2.5;4.7;
265;Personenauto's: benzine;2005 3e kwartaal;93.2;0.8;6.1;92.1;2.6;7.8;
266;Personenauto's: benzine;2005 4e kwartaal;94.2;1.1;7.2;91.9;-0.2;7.5;
267;Personenauto's: benzine;2005 jaargemiddelde;92.8;;5.8;90.3;;6.3;
268;Personenauto's: benzine;2006 1e kwartaal;95.7;1.6;4.9;93.5;1.8;6.9;
269;Personenauto's: benzine;2006 2e kwartaal;96.4;0.7;4.2;95.3;1.9;6.2;
270;Personenauto's: benzine;2006 3e kwartaal;96.5;0.2;3.6;95.7;0.4;3.9;
271;Personenauto's: benzine;2006 4e kwartaal;97.0;0.5;2.9;93.3;-2.5;1.6;
272;Personenauto's: benzine;2006 jaargemiddelde;96.4;;3.9;94.5;;4.6;
273;Personenauto's: benzine;2007 1e kwartaal;98.0;1.0;2.4;94.8;1.6;1.4;
274;Personenauto's: benzine;2007 2e kwartaal;98.6;0.6;2.3;97.9;3.3;2.8;
275;Personenauto's: benzine;2007 3e kwartaal;98.9;0.3;2.5;97.0;-1.0;1.4;
276;Personenauto's: benzine;2007 4e kwartaal;98.7;-0.2;1.8;97.1;0.1;4.1;
277;Personenauto's: benzine;2007 jaargemiddelde;98.6;;2.2;96.7;;2.4;
278;Personenauto's: benzine;2008 1e kwartaal;96.7;-2.1;-1.3;95.9;-1.3;1.2;
279;Personenauto's: benzine;2008 2e kwartaal;97.5;0.8;-1.1;97.9;2.0;-0.1;
280;Personenauto's: benzine;2008 3e kwartaal;98.7;1.2;-0.2;99.5;1.7;2.6;
281;Personenauto's: benzine;2008 4e kwartaal;98.9;0.2;0.1;96.4;-3.1;-0.7;
282;Personenauto's: benzine;2008 jaargemiddelde;97.9;;-0.6;97.4;;0.7;
283;Personenauto's: benzine;2009 1e kwartaal;100.0;1.1;3.4;96.4;-0.1;0.5;
284;Personenauto's: benzine;2009 2e kwartaal;100.1;0.1;2.7;97.4;1.1;-0.5;
285;Personenauto's: benzine;2009 3e kwartaal;100.5;0.4;1.8;98.7;1.3;-0.8;
286;Personenauto's: benzine;2009 4e kwartaal;100.6;0.1;1.7;99.1;0.4;2.8;
287;Personenauto's: benzine;2009 jaargemiddelde;100.3;;2.4;97.9;;0.5;
288;Personenauto's: benzine;2010 1e kwartaal;100.8;0.2;0.8;99.5;0.4;3.2;39.5
289;Personenauto's: benzine;2010 2e kwartaal;100.2;-0.6;0.1;100.7;1.2;3.3;39.5
290;Personenauto's: benzine;2010 3e kwartaal;99.3;-0.9;-1.1;99.6;-1.0;0.9;39.5
291;Personenauto's: benzine;2010 4e kwartaal;99.7;0.4;-0.9;100.2;0.6;1.1;39.5
292;Personenauto's: benzine;2010 jaargemiddelde;100.0;;-0.3;100.0;;2.1;39.5
293;Personenauto's: benzine;2011 1e kwartaal;101.8;2.1;1.0;103.1;2.9;3.7;39.5
294;Personenauto's: benzine;2011 2e kwartaal;102.2;0.4;2.0;104.7;1.5;4.0;39.5
