ID;SBI1993;Perioden;OmzetIndexcijfers_1;OmzetOntwikkelingenIn_2
73;51657 Elektromotoren, schakelkasten e.d.;4e kwartaal 1999;140;3.6
74;51657 Elektromotoren, schakelkasten e.d.;1999;141;7.5
75;516(excl 5164 en 51657) Overige machines;1e kwartaal 1995;99;0.0
76;516(excl 5164 en 51657) Overige machines;2e kwartaal 1995;103;0.0
77;516(excl 5164 en 51657) Overige machines;3e kwartaal 1995;95;0.0
78;516(excl 5164 en 51657) Overige machines;4e kwartaal 1995;102;0.0
79;516(excl 5164 en 51657) Overige machines;1995;100;0.0
80;516(excl 5164 en 51657) Overige machines;1e kwartaal 1996;102;2.9
81;516(excl 5164 en 51657) Overige machines;2e kwartaal 1996;106;2.8
82;516(excl 5164 en 51657) Overige machines;3e kwartaal 1996;105;10.6
83;516(excl 5164 en 51657) Overige machines;4e kwartaal 1996;104;1.8
84;516(excl 5164 en 51657) Overige machines;1996;104;4.4
85;516(excl 5164 en 51657) Overige machines;1e kwartaal 1997;113;10.0
86;516(excl 5164 en 51657) Overige machines;2e kwartaal 1997;120;12.6
87;516(excl 5164 en 51657) Overige machines;3e kwartaal 1997;115;9.1
88;516(excl 5164 en 51657) Overige machines;4e kwartaal 1997;116;11.9
89;516(excl 5164 en 51657) Overige machines;1997;116;10.9
90;516(excl 5164 en 51657) Overige machines;1e kwartaal 1998;126;12.0
91;516(excl 5164 en 51657) Overige machines;2e kwartaal 1998;127;6.4
92;516(excl 5164 en 51657) Overige machines;3e kwartaal 1998;121;5.1
93;516(excl 5164 en 51657) Overige machines;4e kwartaal 1998;120;3.0
94;516(excl 5164 en 51657) Overige machines;1998;124;6.6
95;516(excl 5164 en 51657) Overige machines;1e kwartaal 1999;124;-2.0
96;516(excl 5164 en 51657) Overige machines;2e kwartaal 1999;127;0.1
97;516(excl 5164 en 51657) Overige machines;3e kwartaal 1999;117;-2.7
98;516(excl 5164 en 51657) Overige machines;4e kwartaal 1999;128;6.2
99;516(excl 5164 en 51657) Overige machines;1999;124;0.4
