ID;Energiedragers;Perioden;TotaalAanbod_1;Productie_2;TotaalPuurEnBijgemengd_3;Puur_4;Bijgemengd_5;VoorraadmutatiePuurEnBijgemengd_6;BunkersPuurEnBijgemengd_7;TotaalVerbruikPuurEnBijgemengd_8;Wegverkeer_9;Railverkeer_10;Binnenvaart_11;Bouwnijverheid_12;Landbouw_13;Bijmenging_14;Productiecapaciteit_15
61;Biokerosine;2013;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
62;Biokerosine;2014;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
63;Biokerosine;2015;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
64;Biokerosine;2016;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
65;Biokerosine;2017;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
66;Biokerosine;2018;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
67;Biokerosine;2019;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
68;Biokerosine;2020;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
69;Biokerosine;2021;0;;;;0;0;;;;;;;;0;0.0
70;Biokerosine;2022;0;;;;878;0;878.0;;;;;;;0;0.0
71;Biokerosine;2023;0;;;;2646;0;2646.0;;;;;;;0;0.0
