ID;Perioden;TotaalGeregistreerdeWerklozen_1;VeranderingTOVEenJaarEerder_2
195;1968 april;68;-2.0
196;1968 mei;56;-3.0
197;1968 juni;52;-4.0
198;1968 juli;59;-7.0
199;1968 augustus;54;-9.0
200;1968 september;52;-12.0
201;1968 oktober;54;-15.0
202;1968 november;57;-23.0
203;1968 december;69;-33.0
204;1969 januari;73;-39.0
205;1969 februari;71;-30.0
206;1969 maart;58;-26.0
207;1969 april;45;-23.0
208;1969 mei;38;-18.0
209;1969 juni;35;-17.0
210;1969 juli;41;-18.0
211;1969 augustus;40;-14.0
212;1969 september;39;-13.0
213;1969 oktober;41;-13.0
214;1969 november;47;-10.0
215;1969 december;63;-6.0
216;1970 januari;67;-6.0
217;1970 februari;61;-10.0
218;1970 maart;48;-10.0
219;1970 april;38;-7.0
220;1970 mei;33;-5.0
221;1970 juni;31;-4.0
222;1970 juli;37;-4.0
223;1970 augustus;35;-5.0
224;1970 september;37;-2.0
225;1970 oktober;42;1.0
226;1970 november;47;0.0
227;1970 december;59;-4.0
228;1971 januari;71;4.0
229;1971 februari;65;4.0
230;1971 maart;56;8.0
231;1971 april;47;9.0
232;1971 mei;44;11.0
233;1971 juni;45;14.0
234;1971 juli;51;14.0
235;1971 augustus;52;17.0
236;1971 september;56;19.0
237;1971 oktober;66;24.0
238;1971 november;84;37.0
239;1971 december;108;49.0
240;1972 januari;128;57.0
241;1972 februari;130;65.0
242;1972 maart;112;56.0
243;1972 april;100;53.0
244;1972 mei;91;47.0
245;1972 juni;91;46.0
246;1972 juli;99;48.0
247;1972 augustus;98;46.0
248;1972 september;100;44.0
249;1972 oktober;105;39.0
250;1972 november;115;31.0
251;1972 december;127;19.0
252;1973 januari;136;8.0
253;1973 februari;135;5.0
254;1973 maart;121;9.0
255;1973 april;107;7.0
256;1973 mei;95;4.0
257;1973 juni;93;2.0
258;1973 juli;98;-1.0
259;1973 augustus;96;-2.0
260;1973 september;96;-4.0
261;1973 oktober;101;-4.0
262;1973 november;110;-5.0
263;1973 december;131;4.0
264;1974 januari;150;14.0
265;1974 februari;145;10.0
266;1974 maart;133;12.0
267;1974 april;118;11.0
268;1974 mei;110;15.0
269;1974 juni;110;17.0
270;1974 juli;123;25.0
271;1974 augustus;126;30.0
272;1974 september;129;33.0
273;1974 oktober;140;39.0
274;1974 november;154;44.0
275;1974 december;181;50.0
276;1975 januari;198;48.0
277;1975 februari;200;55.0
278;1975 maart;190;57.0
279;1975 april;183;65.0
280;1975 mei;173;63.0
281;1975 juni;177;67.0
282;1975 juli;191;68.0
283;1975 augustus;194;68.0
284;1975 september;195;66.0
285;1975 oktober;201;61.0
286;1975 november;211;57.0
287;1975 december;229;48.0
288;1976 januari;237;39.0
289;1976 februari;238;38.0
290;1976 maart;216;26.0
291;1976 april;200;17.0
292;1976 mei;189;16.0
293;1976 juni;194;17.0
294;1976 juli;207;16.0
295;1976 augustus;213;19.0
296;1976 september;207;12.0
297;1976 oktober;205;4.0
298;1976 november;206;-5.0
299;1976 december;218;-11.0
300;1977 januari;226;-11.0
301;1977 februari;219;-19.0
302;1977 maart;202;-14.0
303;1977 april;188;-12.0
304;1977 mei;180;-9.0
305;1977 juni;187;-7.0
306;1977 juli;201;-6.0
307;1977 augustus;209;-4.0
308;1977 september;205;-2.0
309;1977 oktober;204;-1.0
310;1977 november;207;1.0
311;1977 december;216;-2.0
312;1978 januari;224;-2.0
313;1978 februari;218;-1.0
314;1978 maart;202;0.0
315;1978 april;189;1.0
316;1978 mei;178;-2.0
317;1978 juni;183;-4.0
318;1978 juli;198;-3.0
319;1978 augustus;208;-1.0
320;1978 september;204;-1.0
321;1978 oktober;201;-3.0
322;1978 november;200;-7.0
323;1978 december;210;-6.0
