ID;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
165;2014 October;107.6;-10.1
166;2014 November;101.1;-16.2
167;2014 December;145.5;-5.2
168;2014 4th quarter;118.1;-10.1
169;2014;98.5;-3.4
170;2015 January;75.3;-1.0
171;2015 February;83.0;-7.1
172;2015 March;105.8;0.5
173;2015 1st quarter;88.0;-2.4
174;2015 April;94.7;-3.1
175;2015 May;101.2;7.2
176;2015 June;124.8;20.6
177;2015 2nd quarter;106.9;8.5
178;2015 July;108.9;22.1
179;2015 August;82.8;18.8
180;2015 September;129.3;25.4
181;2015 3rd quarter;107.0;22.5
182;2015 October;140.4;30.5
183;2015 November;158.1;56.3
184;2015 December;199.2;36.9
185;2015 4th quarter;165.9;40.5
186;2015;116.9;18.7
187;2016 January;75.8;0.7
188;2016 February;96.1;15.9
189;2016 March;114.4;8.2
190;2016 1st quarter;95.5;8.5
191;2016 April;100.7;6.4
192;2016 May;102.9;1.7
193;2016 June;131.0;4.9
194;2016 2nd quarter;111.5;4.3
195;2016 July;87.3;-19.8
196;2016 August;82.4;-0.4
197;2016 September;120.9;-6.4
198;2016 3rd quarter;96.9;-9.4
199;2016 October;111.4;-20.6
200;2016 November;123.8;-21.7
201;2016 December;182.5;-8.4
202;2016 4th quarter;139.2;-16.1
203;2016;110.8;-5.3
204;2017 January;78.9;4.1
205;2017 February;106.6;10.8
206;2017 March;124.6;8.9
207;2017 1st quarter;103.4;8.3
208;2017 April;102.7;2.0
209;2017 May;124.3;20.8
210;2017 June;142.0;8.4
211;2017 2nd quarter;123.0;10.3
212;2017 July;99.3;13.7
213;2017 August;92.2;11.8
214;2017 September;119.4;-1.3
215;2017 3rd quarter;103.6;6.9
216;2017 October;126.1;13.2
217;2017 November;128.0;3.4
218;2017 December;166.1;-9.0
219;2017 4th quarter;140.1;0.6
220;2017;117.5;6.1
