ID;ExportingSectorSIC2008;SupplyingSectorSIC2008;Periods;LabourVolumeTotal_1;ValueAdded_2;Imports_3
64;A-U All economic activities;C Manufacturing;2015;427.4;54512.7;98279.6
65;A-U All economic activities;C Manufacturing;2016;433.7;55939.7;94881.2
66;A-U All economic activities;C Manufacturing;2017;444.4;60498.3;105093.0
67;A-U All economic activities;C Manufacturing;2018;461.4;63965.7;112106.4
68;A-U All economic activities;C Manufacturing;2019;474.3;65042.9;102181.3
69;A-U All economic activities;C Manufacturing;2020;472.1;63623.2;89525.9
70;A-U All economic activities;C Manufacturing;2021;481.8;73452.8;106146.8
71;A-U All economic activities;C Manufacturing;2022;494.0;84256.7;140610.1
72;A-U All economic activities;10-12 Manufacture of food and beverages;2015;73.9;10825.9;15315.3
73;A-U All economic activities;10-12 Manufacture of food and beverages;2016;77.7;11522.6;16848.7
74;A-U All economic activities;10-12 Manufacture of food and beverages;2017;78.6;12013.5;17254.0
75;A-U All economic activities;10-12 Manufacture of food and beverages;2018;82.0;12402.9;17471.0
76;A-U All economic activities;10-12 Manufacture of food and beverages;2019;85.6;12796.0;17912.6
77;A-U All economic activities;10-12 Manufacture of food and beverages;2020;82.4;12943.2;17639.7
78;A-U All economic activities;10-12 Manufacture of food and beverages;2021;85.9;13466.7;19758.5
79;A-U All economic activities;10-12 Manufacture of food and beverages;2022;89.6;14318.5;25243.4
80;A-U All economic activities;10 Manufacture of food products;2015;66.6;7476.2;13959.8
81;A-U All economic activities;10 Manufacture of food products;2016;70.2;7969.4;15494.1
82;A-U All economic activities;10 Manufacture of food products;2017;71.0;8386.5;15866.8
83;A-U All economic activities;10 Manufacture of food products;2018;74.0;8772.4;16098.3
84;A-U All economic activities;10 Manufacture of food products;2019;77.1;9204.8;16534.7
85;A-U All economic activities;10 Manufacture of food products;2020;73.7;9187.6;16297.0
86;A-U All economic activities;10 Manufacture of food products;2021;77.2;9556.0;18297.7
87;A-U All economic activities;10 Manufacture of food products;2022;81.3;10848.4;23440.2
88;A-U All economic activities;11 Manufacture of beverages;2015;4.8;1009.9;797.2
89;A-U All economic activities;11 Manufacture of beverages;2016;4.8;1071.9;782.0
90;A-U All economic activities;11 Manufacture of beverages;2017;5.0;1098.1;832.7
91;A-U All economic activities;11 Manufacture of beverages;2018;5.5;1067.2;831.0
92;A-U All economic activities;11 Manufacture of beverages;2019;6.2;1100.2;859.3
93;A-U All economic activities;11 Manufacture of beverages;2020;6.4;987.6;833.0
94;A-U All economic activities;11 Manufacture of beverages;2021;6.4;1100.0;895.3
95;A-U All economic activities;11 Manufacture of beverages;2022;6.6;1134.3;1101.5
96;A-U All economic activities;12 Manufacture of tobacco products;2015;2.6;2339.7;558.2
97;A-U All economic activities;12 Manufacture of tobacco products;2016;2.6;2481.4;572.6
98;A-U All economic activities;12 Manufacture of tobacco products;2017;2.6;2528.8;554.5
99;A-U All economic activities;12 Manufacture of tobacco products;2018;2.5;2563.4;541.6
100;A-U All economic activities;12 Manufacture of tobacco products;2019;2.3;2491.0;518.6
101;A-U All economic activities;12 Manufacture of tobacco products;2020;2.3;2768.0;509.6
102;A-U All economic activities;12 Manufacture of tobacco products;2021;2.3;2810.7;565.6
103;A-U All economic activities;12 Manufacture of tobacco products;2022;1.7;2335.7;701.8
104;A-U All economic activities;13-15 Man. of textile-, leatherproducts;2015;10.3;791.1;703.9
105;A-U All economic activities;13-15 Man. of textile-, leatherproducts;2016;10.5;841.7;792.3
106;A-U All economic activities;13-15 Man. of textile-, leatherproducts;2017;10.7;868.4;824.8
107;A-U All economic activities;13-15 Man. of textile-, leatherproducts;2018;11.1;892.0;938.5
108;A-U All economic activities;13-15 Man. of textile-, leatherproducts;2019;11.2;910.1;968.1
109;A-U All economic activities;13-15 Man. of textile-, leatherproducts;2020;11.1;862.7;836.0
110;A-U All economic activities;13-15 Man. of textile-, leatherproducts;2021;10.8;1019.0;1042.3
111;A-U All economic activities;13-15 Man. of textile-, leatherproducts;2022;10.7;901.2;1198.3
112;A-U All economic activities;16-18 Man. wood en paperprod., printing;2015;26.8;2326.8;2547.0
113;A-U All economic activities;16-18 Man. wood en paperprod., printing;2016;26.6;2386.5;2702.0
114;A-U All economic activities;16-18 Man. wood en paperprod., printing;2017;26.7;2498.0;2943.9
115;A-U All economic activities;16-18 Man. wood en paperprod., printing;2018;26.7;2676.1;3004.3
116;A-U All economic activities;16-18 Man. wood en paperprod., printing;2019;26.5;2841.2;2889.4
117;A-U All economic activities;16-18 Man. wood en paperprod., printing;2020;25.6;2776.7;2601.1
118;A-U All economic activities;16-18 Man. wood en paperprod., printing;2021;27.3;2682.9;3501.9
119;A-U All economic activities;16-18 Man. wood en paperprod., printing;2022;28.0;3025.3;4527.9
120;A-U All economic activities;16 Manufacture of wood products;2015;4.7;311.8;318.0
121;A-U All economic activities;16 Manufacture of wood products;2016;4.9;350.1;366.6
122;A-U All economic activities;16 Manufacture of wood products;2017;5.1;391.0;398.0
123;A-U All economic activities;16 Manufacture of wood products;2018;4.8;407.1;426.6
124;A-U All economic activities;16 Manufacture of wood products;2019;4.9;439.3;455.3
125;A-U All economic activities;16 Manufacture of wood products;2020;5.0;451.2;462.0
126;A-U All economic activities;16 Manufacture of wood products;2021;5.9;562.3;693.2
127;A-U All economic activities;16 Manufacture of wood products;2022;6.7;734.7;886.3
128;A-U All economic activities;17 Manufacture of paper;2015;12.8;1313.2;1738.0
129;A-U All economic activities;17 Manufacture of paper;2016;12.9;1376.2;1839.5
130;A-U All economic activities;17 Manufacture of paper;2017;12.9;1444.1;2064.3
131;A-U All economic activities;17 Manufacture of paper;2018;13.7;1604.9;2134.2
132;A-U All economic activities;17 Manufacture of paper;2019;14.0;1784.3;2018.1
133;A-U All economic activities;17 Manufacture of paper;2020;13.8;1774.6;1793.0
134;A-U All economic activities;17 Manufacture of paper;2021;14.3;1524.6;2448.7
135;A-U All economic activities;17 Manufacture of paper;2022;14.1;1715.5;3218.1
136;A-U All economic activities;18 Printing and reproduction;2015;9.2;701.9;491.0
137;A-U All economic activities;18 Printing and reproduction;2016;8.8;660.2;495.9
138;A-U All economic activities;18 Printing and reproduction;2017;8.6;662.9;481.6
139;A-U All economic activities;18 Printing and reproduction;2018;8.2;664.1;443.6
140;A-U All economic activities;18 Printing and reproduction;2019;7.6;617.6;416.0
141;A-U All economic activities;18 Printing and reproduction;2020;6.8;551.0;346.1
142;A-U All economic activities;18 Printing and reproduction;2021;7.1;596.0;360.0
143;A-U All economic activities;18 Printing and reproduction;2022;7.3;575.0;423.5
144;A-U All economic activities;19 Manufacture of coke and petroleum;2015;4.2;1277.6;16143.1
145;A-U All economic activities;19 Manufacture of coke and petroleum;2016;4.3;1230.1;13079.6
146;A-U All economic activities;19 Manufacture of coke and petroleum;2017;4.5;1318.4;15911.4
147;A-U All economic activities;19 Manufacture of coke and petroleum;2018;4.2;1057.6;20719.1
148;A-U All economic activities;19 Manufacture of coke and petroleum;2019;4.4;1363.6;19933.6
149;A-U All economic activities;19 Manufacture of coke and petroleum;2020;4.3;270.0;13304.7
150;A-U All economic activities;19 Manufacture of coke and petroleum;2021;3.9;1122.4;21852.3
151;A-U All economic activities;19 Manufacture of coke and petroleum;2022;4.0;5910.0;35766.9
152;A-U All economic activities;20-21 Chemistry and pharmaceuticals;2015;46.1;10711.2;13781.4
153;A-U All economic activities;20-21 Chemistry and pharmaceuticals;2016;47.0;11710.5;12997.6
154;A-U All economic activities;20-21 Chemistry and pharmaceuticals;2017;47.9;12866.4;16433.5
155;A-U All economic activities;20-21 Chemistry and pharmaceuticals;2018;50.2;13535.2;18343.6
156;A-U All economic activities;20-21 Chemistry and pharmaceuticals;2019;49.9;12510.8;17458.0
157;A-U All economic activities;20-21 Chemistry and pharmaceuticals;2020;51.5;11995.7;16085.2
158;A-U All economic activities;20-21 Chemistry and pharmaceuticals;2021;51.3;15579.2;22856.3
159;A-U All economic activities;20-21 Chemistry and pharmaceuticals;2022;53.7;16693.9;30995.8
160;A-U All economic activities;20 Manufacture of chemicals;2015;36.2;8765.3;12671.5
161;A-U All economic activities;20 Manufacture of chemicals;2016;36.7;9459.4;11775.5
162;A-U All economic activities;20 Manufacture of chemicals;2017;37.5;10617.1;15277.0
163;A-U All economic activities;20 Manufacture of chemicals;2018;39.7;11414.2;17174.3
164;A-U All economic activities;20 Manufacture of chemicals;2019;39.1;10197.7;16097.9
165;A-U All economic activities;20 Manufacture of chemicals;2020;39.8;9546.0;14497.5
166;A-U All economic activities;20 Manufacture of chemicals;2021;39.5;13113.4;20976.2
167;A-U All economic activities;20 Manufacture of chemicals;2022;39.9;14125.8;28540.8
168;A-U All economic activities;21 Manufacture of pharmaceuticals;2015;10.0;1945.9;1109.9
169;A-U All economic activities;21 Manufacture of pharmaceuticals;2016;10.3;2251.2;1222.1
170;A-U All economic activities;21 Manufacture of pharmaceuticals;2017;10.4;2249.3;1156.6
171;A-U All economic activities;21 Manufacture of pharmaceuticals;2018;10.5;2121.0;1169.3
172;A-U All economic activities;21 Manufacture of pharmaceuticals;2019;10.8;2313.1;1360.1
173;A-U All economic activities;21 Manufacture of pharmaceuticals;2020;11.8;2449.7;1587.7
174;A-U All economic activities;21 Manufacture of pharmaceuticals;2021;11.8;2465.8;1880.1
175;A-U All economic activities;21 Manufacture of pharmaceuticals;2022;13.8;2568.1;2454.9
176;A-U All economic activities;22-23 Man. plastics and constructionprod;2015;26.8;2588.3;1896.5
177;A-U All economic activities;22-23 Man. plastics and constructionprod;2016;28.0;2900.2;2097.7
178;A-U All economic activities;22-23 Man. plastics and constructionprod;2017;29.3;2997.3;2428.6
179;A-U All economic activities;22-23 Man. plastics and constructionprod;2018;29.1;3037.8;2528.6
180;A-U All economic activities;22-23 Man. plastics and constructionprod;2019;29.1;3070.6;2547.3
181;A-U All economic activities;22-23 Man. plastics and constructionprod;2020;29.0;3149.7;2424.9
182;A-U All economic activities;22-23 Man. plastics and constructionprod;2021;30.0;3384.2;3112.8
183;A-U All economic activities;22-23 Man. plastics and constructionprod;2022;30.8;3611.7;3570.2
184;A-U All economic activities;22 Manufacture rubber, plastic products;2015;19.5;1945.1;1504.5
185;A-U All economic activities;22 Manufacture rubber, plastic products;2016;20.8;2189.0;1704.2
186;A-U All economic activities;22 Manufacture rubber, plastic products;2017;21.8;2247.4;1996.8
187;A-U All economic activities;22 Manufacture rubber, plastic products;2018;21.8;2272.2;2057.4
188;A-U All economic activities;22 Manufacture rubber, plastic products;2019;22.4;2352.5;2092.9
189;A-U All economic activities;22 Manufacture rubber, plastic products;2020;22.4;2402.6;2000.1
190;A-U All economic activities;22 Manufacture rubber, plastic products;2021;22.9;2575.5;2577.0
191;A-U All economic activities;22 Manufacture rubber, plastic products;2022;23.4;2715.4;2824.8
192;A-U All economic activities;23 Manufacture of building materials;2015;7.3;643.2;392.1
193;A-U All economic activities;23 Manufacture of building materials;2016;7.2;711.1;393.5
194;A-U All economic activities;23 Manufacture of building materials;2017;7.5;749.9;431.8
195;A-U All economic activities;23 Manufacture of building materials;2018;7.2;765.6;471.1
196;A-U All economic activities;23 Manufacture of building materials;2019;6.7;718.1;454.4
197;A-U All economic activities;23 Manufacture of building materials;2020;6.6;747.1;424.8
198;A-U All economic activities;23 Manufacture of building materials;2021;7.1;808.7;535.8
199;A-U All economic activities;23 Manufacture of building materials;2022;7.4;896.3;745.4
200;A-U All economic activities;24 Manufacture of basic metals;2015;16.2;1688.9;2170.0
201;A-U All economic activities;24 Manufacture of basic metals;2016;15.3;1737.3;2014.6
202;A-U All economic activities;24 Manufacture of basic metals;2017;16.2;1825.1;2909.6
203;A-U All economic activities;24 Manufacture of basic metals;2018;16.7;2057.6;2884.7
204;A-U All economic activities;24 Manufacture of basic metals;2019;17.1;1680.5;2723.7
205;A-U All economic activities;24 Manufacture of basic metals;2020;16.3;1381.2;2356.9
206;A-U All economic activities;24 Manufacture of basic metals;2021;16.7;2210.4;3609.3
207;A-U All economic activities;24 Manufacture of basic metals;2022;16.7;3049.1;5205.8
208;A-U All economic activities;24-25 Man. of basic metals and -products;2015;62.3;5456.6;4096.3
209;A-U All economic activities;24-25 Man. of basic metals and -products;2016;60.8;5612.3;4051.0
210;A-U All economic activities;24-25 Man. of basic metals and -products;2017;62.1;5767.4;5089.5
211;A-U All economic activities;24-25 Man. of basic metals and -products;2018;64.7;6316.0;5292.2
212;A-U All economic activities;24-25 Man. of basic metals and -products;2019;65.4;6053.7;5121.6
213;A-U All economic activities;24-25 Man. of basic metals and -products;2020;64.1;5512.7;4624.3
214;A-U All economic activities;24-25 Man. of basic metals and -products;2021;66.2;6691.1;6657.6
215;A-U All economic activities;24-25 Man. of basic metals and -products;2022;67.5;8000.7;8940.9
216;A-U All economic activities;25 Manufacture of metal products;2015;46.1;3767.7;1926.3
217;A-U All economic activities;25 Manufacture of metal products;2016;45.5;3875.0;2036.4
218;A-U All economic activities;25 Manufacture of metal products;2017;45.9;3942.3;2179.9
219;A-U All economic activities;25 Manufacture of metal products;2018;48.0;4258.5;2407.5
220;A-U All economic activities;25 Manufacture of metal products;2019;48.3;4373.2;2397.9
221;A-U All economic activities;25 Manufacture of metal products;2020;47.8;4131.5;2267.4
222;A-U All economic activities;25 Manufacture of metal products;2021;49.5;4480.7;3048.3
223;A-U All economic activities;25 Manufacture of metal products;2022;50.8;4951.5;3735.1
224;A-U All economic activities;26 Manufacture of electronic products;2015;22.2;4471.2;30169.9
225;A-U All economic activities;26 Manufacture of electronic products;2016;21.5;3605.5;27795.6
226;A-U All economic activities;26 Manufacture of electronic products;2017;21.1;3741.9;27148.6
227;A-U All economic activities;26 Manufacture of electronic products;2018;22.0;4181.5;23862.6
228;A-U All economic activities;26 Manufacture of electronic products;2019;23.5;3979.8;15112.2
229;A-U All economic activities;26 Manufacture of electronic products;2020;22.3;3636.1;12866.9
230;A-U All economic activities;26 Manufacture of electronic products;2021;22.4;3686.6;6405.0
231;A-U All economic activities;26 Manufacture of electronic products;2022;22.9;4324.8;6410.0
232;A-U All economic activities;26-27 Elektrical and electron. Industry;2015;37.3;6428.8;31575.2
233;A-U All economic activities;26-27 Elektrical and electron. Industry;2016;36.6;5634.8;29176.3
234;A-U All economic activities;26-27 Elektrical and electron. Industry;2017;36.2;5845.4;28612.0
235;A-U All economic activities;26-27 Elektrical and electron. Industry;2018;37.3;6334.1;25444.3
236;A-U All economic activities;26-27 Elektrical and electron. Industry;2019;38.9;6323.8;16719.0
237;A-U All economic activities;26-27 Elektrical and electron. Industry;2020;38.4;6168.0;14463.3
238;A-U All economic activities;26-27 Elektrical and electron. Industry;2021;38.2;6355.8;8445.3
239;A-U All economic activities;26-27 Elektrical and electron. Industry;2022;40.2;7047.1;8884.9
240;A-U All economic activities;27 Manufacture of electric equipment;2015;15.1;1957.6;1405.3
241;A-U All economic activities;27 Manufacture of electric equipment;2016;15.1;2029.2;1380.6
242;A-U All economic activities;27 Manufacture of electric equipment;2017;15.0;2103.5;1463.5
243;A-U All economic activities;27 Manufacture of electric equipment;2018;15.3;2152.6;1581.7
244;A-U All economic activities;27 Manufacture of electric equipment;2019;15.5;2344.0;1606.8
245;A-U All economic activities;27 Manufacture of electric equipment;2020;16.1;2531.9;1596.4
246;A-U All economic activities;27 Manufacture of electric equipment;2021;15.8;2669.2;2040.3
247;A-U All economic activities;27 Manufacture of electric equipment;2022;17.4;2722.3;2474.9
248;A-U All economic activities;28 Manufacture of machinery n.e.c.;2015;59.2;7641.7;5615.8
249;A-U All economic activities;28 Manufacture of machinery n.e.c.;2016;58.6;7435.1;5423.7
250;A-U All economic activities;28 Manufacture of machinery n.e.c.;2017;60.9;8717.5;6701.3
251;A-U All economic activities;28 Manufacture of machinery n.e.c.;2018;64.6;9649.9;7880.5
252;A-U All economic activities;28 Manufacture of machinery n.e.c.;2019;68.5;10955.3;8245.9
253;A-U All economic activities;28 Manufacture of machinery n.e.c.;2020;69.4;11739.8;8218.3
254;A-U All economic activities;28 Manufacture of machinery n.e.c.;2021;73.6;14472.2;9343.4
255;A-U All economic activities;28 Manufacture of machinery n.e.c.;2022;75.8;16887.9;11113.4
256;A-U All economic activities;29 Manufacture of cars and trailers;2015;14.4;1607.1;3272.2
257;A-U All economic activities;29 Manufacture of cars and trailers;2016;15.7;1789.1;4223.5
258;A-U All economic activities;29 Manufacture of cars and trailers;2017;17.8;2246.8;5294.3
259;A-U All economic activities;29 Manufacture of cars and trailers;2018;20.2;2518.4;6523.1
260;A-U All economic activities;29 Manufacture of cars and trailers;2019;20.6;2513.8;5865.7
261;A-U All economic activities;29 Manufacture of cars and trailers;2020;20.9;2357.3;4750.1
262;A-U All economic activities;29 Manufacture of cars and trailers;2021;19.2;2555.4;4670.9
263;A-U All economic activities;29 Manufacture of cars and trailers;2022;20.3;2305.8;5097.0
264;A-U All economic activities;29-30 Transport equipment;2015;27.6;2745.0;4925.6
265;A-U All economic activities;29-30 Transport equipment;2016;30.2;2948.8;6050.7
266;A-U All economic activities;29-30 Transport equipment;2017;31.0;3488.1;7063.9
267;A-U All economic activities;29-30 Transport equipment;2018;32.7;3603.4;8470.0
268;A-U All economic activities;29-30 Transport equipment;2019;34.7;3725.9;8217.4
269;A-U All economic activities;29-30 Transport equipment;2020;35.8;3706.7;7174.0
270;A-U All economic activities;29-30 Transport equipment;2021;33.9;3838.4;7199.9
271;A-U All economic activities;29-30 Transport equipment;2022;32.8;3265.0;7702.8
272;A-U All economic activities;30 Manufacture of other transport;2015;13.2;1137.9;1653.4
273;A-U All economic activities;30 Manufacture of other transport;2016;14.5;1159.7;1827.2
274;A-U All economic activities;30 Manufacture of other transport;2017;13.2;1241.3;1769.6
275;A-U All economic activities;30 Manufacture of other transport;2018;12.5;1085.0;1947.0
276;A-U All economic activities;30 Manufacture of other transport;2019;14.1;1212.1;2351.7
277;A-U All economic activities;30 Manufacture of other transport;2020;14.9;1349.3;2423.8
278;A-U All economic activities;30 Manufacture of other transport;2021;14.8;1283.0;2529.0
279;A-U All economic activities;30 Manufacture of other transport;2022;12.5;959.2;2605.9
280;A-U All economic activities;31-33 Other manufacturing and repair;2015;52.9;3719.7;1679.5
281;A-U All economic activities;31-33 Other manufacturing and repair;2016;53.3;3717.2;1661.7
282;A-U All economic activities;31-33 Other manufacturing and repair;2017;56.6;4118.1;1830.0
283;A-U All economic activities;31-33 Other manufacturing and repair;2018;58.7;4460.7;2014.4
284;A-U All economic activities;31-33 Other manufacturing and repair;2019;60.0;4492.1;2168.4
285;A-U All economic activities;31-33 Other manufacturing and repair;2020;60.5;4498.0;2154.4
286;A-U All economic activities;31-33 Other manufacturing and repair;2021;60.8;4841.0;2376.3
287;A-U All economic activities;31-33 Other manufacturing and repair;2022;60.8;4595.5;2665.6
288;A-U All economic activities;900046  tekst not available;2015;25.5;1500.7;719.1
289;A-U All economic activities;900046  tekst not available;2016;26.2;1536.6;745.7
290;A-U All economic activities;900046  tekst not available;2017;28.1;1774.4;830.8
291;A-U All economic activities;900046  tekst not available;2018;29.2;1885.8;889.1
292;A-U All economic activities;900046  tekst not available;2019;29.5;1954.5;865.8
293;A-U All economic activities;900046  tekst not available;2020;29.8;1981.8;857.9
294;A-U All economic activities;900046  tekst not available;2021;30.2;2129.3;1063.5
295;A-U All economic activities;900046  tekst not available;2022;30.1;1902.6;1188.4
296;A-U All economic activities;31 Manufacture of furniture;2015;4.4;324.4;227.3
297;A-U All economic activities;31 Manufacture of furniture;2016;5.0;357.8;283.8
298;A-U All economic activities;31 Manufacture of furniture;2017;5.5;409.6;324.7
299;A-U All economic activities;31 Manufacture of furniture;2018;5.7;443.1;353.4
300;A-U All economic activities;31 Manufacture of furniture;2019;5.8;443.5;325.8
301;A-U All economic activities;31 Manufacture of furniture;2020;5.8;442.4;358.2
302;A-U All economic activities;31 Manufacture of furniture;2021;6.3;479.5;443.9
303;A-U All economic activities;31 Manufacture of furniture;2022;6.1;465.8;445.0
304;A-U All economic activities;32 Manufacture of other products;2015;21.1;1176.3;491.7
305;A-U All economic activities;32 Manufacture of other products;2016;21.2;1178.8;461.9
306;A-U All economic activities;32 Manufacture of other products;2017;22.6;1364.8;506.0
307;A-U All economic activities;32 Manufacture of other products;2018;23.4;1442.7;535.7
308;A-U All economic activities;32 Manufacture of other products;2019;23.8;1511.0;540.0
309;A-U All economic activities;32 Manufacture of other products;2020;24.0;1539.4;499.6
310;A-U All economic activities;32 Manufacture of other products;2021;24.0;1649.8;619.6
311;A-U All economic activities;32 Manufacture of other products;2022;24.0;1436.9;743.4
312;A-U All economic activities;33 Repair and installation of machinery;2015;27.3;2219.0;960.4
313;A-U All economic activities;33 Repair and installation of machinery;2016;27.1;2180.6;915.9
314;A-U All economic activities;33 Repair and installation of machinery;2017;28.5;2343.7;999.2
315;A-U All economic activities;33 Repair and installation of machinery;2018;29.5;2574.9;1125.3
316;A-U All economic activities;33 Repair and installation of machinery;2019;30.5;2537.5;1302.6
317;A-U All economic activities;33 Repair and installation of machinery;2020;30.7;2516.2;1296.6
318;A-U All economic activities;33 Repair and installation of machinery;2021;30.6;2711.6;1312.8
319;A-U All economic activities;33 Repair and installation of machinery;2022;30.7;2692.9;1477.2
320;A-U All economic activities;D Energy supply;2015;9.7;2945.9;1744.2
321;A-U All economic activities;D Energy supply;2016;8.5;2705.2;1182.7
322;A-U All economic activities;D Energy supply;2017;8.3;2480.9;1429.1
323;A-U All economic activities;D Energy supply;2018;8.3;2652.0;1436.4
324;A-U All economic activities;D Energy supply;2019;7.9;2982.3;1278.6
325;A-U All economic activities;D Energy supply;2020;7.7;3279.2;945.2
326;A-U All economic activities;D Energy supply;2021;9.2;3560.6;1979.9
327;A-U All economic activities;D Energy supply;2022;9.8;6068.3;4441.3
328;A-U All economic activities;35 Energy supply;2015;9.7;2945.9;1744.2
329;A-U All economic activities;35 Energy supply;2016;8.5;2705.2;1182.7
330;A-U All economic activities;35 Energy supply;2017;8.3;2480.9;1429.1
331;A-U All economic activities;35 Energy supply;2018;8.3;2652.0;1436.4
332;A-U All economic activities;35 Energy supply;2019;7.9;2982.3;1278.6
333;A-U All economic activities;35 Energy supply;2020;7.7;3279.2;945.2
334;A-U All economic activities;35 Energy supply;2021;9.2;3560.6;1979.9
335;A-U All economic activities;35 Energy supply;2022;9.8;6068.3;4441.3
336;A-U All economic activities;E Water supply and waste management;2015;11.7;1625.2;572.9
337;A-U All economic activities;E Water supply and waste management;2016;12.1;1635.8;572.2
338;A-U All economic activities;E Water supply and waste management;2017;12.8;1752.1;629.1
339;A-U All economic activities;E Water supply and waste management;2018;13.0;1821.8;658.3
340;A-U All economic activities;E Water supply and waste management;2019;13.2;1790.0;706.2
