ID;Perioden;Waarde_1;Waardeontwikkeling_2;Volumeontwikkeling_3;Prijsontwikkeling_4;Waarde_5;Waardeontwikkeling_6;Volumeontwikkeling_7;Prijsontwikkeling_8;Waarde_9;Waardeontwikkeling_10;Volumeontwikkeling_11;Prijsontwikkeling_12;Waarde_13;Waardeontwikkeling_14;Volumeontwikkeling_15;Prijsontwikkeling_16;Waarde_17;Waardeontwikkeling_18;Volumeontwikkeling_19;Prijsontwikkeling_20;Waarde_21;Waardeontwikkeling_22;Volumeontwikkeling_23;Prijsontwikkeling_24;Waarde_25;Waardeontwikkeling_26;Volumeontwikkeling_27;Prijsontwikkeling_28;Waarde_29;Waardeontwikkeling_30;Volumeontwikkeling_31;Prijsontwikkeling_32;Waarde_33;Waardeontwikkeling_34;Volumeontwikkeling_35;Prijsontwikkeling_36;Waarde_37;Waardeontwikkeling_38;Volumeontwikkeling_39;Prijsontwikkeling_40;Waarde_41;Waardeontwikkeling_42;Volumeontwikkeling_43;Prijsontwikkeling_44;Waarde_45;Waardeontwikkeling_46;Volumeontwikkeling_47;Prijsontwikkeling_48;Waarde_49;Waardeontwikkeling_50;Volumeontwikkeling_51;Prijsontwikkeling_52;Waarde_53;Waardeontwikkeling_54;Volumeontwikkeling_55;Prijsontwikkeling_56;Waarde_57;Waardeontwikkeling_58;Volumeontwikkeling_59;Prijsontwikkeling_60;Waarde_61;Waardeontwikkeling_62;Volumeontwikkeling_63;Prijsontwikkeling_64;Waarde_65;Waardeontwikkeling_66;Volumeontwikkeling_67;Prijsontwikkeling_68;Waarde_69;Waardeontwikkeling_70;Volumeontwikkeling_71;Prijsontwikkeling_72;Waarde_73;Waardeontwikkeling_74;Volumeontwikkeling_75;Prijsontwikkeling_76;Waarde_77;Waardeontwikkeling_78;Volumeontwikkeling_79;Prijsontwikkeling_80;Waarde_81;Waardeontwikkeling_82;Waarde_83;Waardeontwikkeling_84;Waarde_85;Waardeontwikkeling_86;Waarde_87;Waardeontwikkeling_88;TotaalPrijsontwikkeling_89;OverheidPrijsontwikkeling_90;GesubsOnderwijsPrijsontwikkeling_91;OverigPrijsontwikkeling_92;OverheidsconsumptieAlsPercentageBBP_93
10;1998;67389;5.0;;;23374;5.9;;;44015;4.6;;;416;6.1;;;623.0;32.8;;;35280;5.0;;;8942;4.3;;;67389;5.0;;;11523;3.1;;;756;44.0;;;55110;5.0;2.2;2.8;80489;5.3;2.5;2.7;55110;5.0;2.2;2.8;37195;3.7;1.8;1.9;17915;7.8;3.0;4.7;25379;5.8;3.1;2.5;80489;5.3;2.5;2.7;;;;;;;;;;;;;80489;5.3;21859;6.3;34703;5.2;23927;4.4;1.6;0.9;-0.7;10.1;22.2
11;1999;72278;7.3;;;25615;9.6;;;46663;6.0;;;441;6.0;;;639.0;2.6;;;37441;6.1;;;9420;5.3;;;72278;7.3;;;12308;6.8;;;883;16.8;;;59087;7.2;3.4;3.6;85867;6.7;2.8;3.7;59087;7.2;3.4;3.6;39640;6.6;4.1;2.4;19447;8.6;2.1;6.3;26780;5.5;1.5;4.0;85867;6.7;2.8;3.7;;;;;;;;;;;;;85867;6.7;23751;8.7;37008;6.6;25108;4.9;2.2;1.7;1.4;6.2;22.2
12;2000;76898;6.4;;;27278;6.5;;;49620;6.3;;;465;5.4;;;611.0;-4.4;;;39647;5.9;;;10119;7.4;;;76898;6.4;;;13280;7.9;;;932;5.5;;;62686;6.1;0.8;5.2;91871;7.0;1.9;4.9;62686;6.1;0.8;5.2;41792;5.4;1.3;4.0;20894;7.4;-0.2;7.6;29185;9.0;4.4;4.4;91871;7.0;1.9;4.9;;;;;;;;;;;;;91871;7.0;24586;3.5;39900;7.8;27385;9.1;5.8;4.6;5.0;14.7;22.0
13;2001;84361;9.7;;;30969;13.5;;;53392;7.6;;;471;1.3;;;666.0;9.0;;;42820;8.0;;;10767;6.4;;;84361;9.7;;;13918;4.8;;;1026;10.1;;;69417;10.7;5.1;5.3;101385;10.4;4.6;5.5;69417;10.7;5.1;5.3;46169;10.5;5.7;4.5;23248;11.3;4.0;7.0;31968;9.5;3.3;6.0;101385;10.4;4.6;5.5;;;;;;;;;;;;;101385;10.4;27309;11.1;43960;10.2;30116;10.0;4.6;3.6;6.2;8.0;22.6
14;2002;89775;6.4;;;33070;6.8;;;56705;6.2;;;505;7.2;;;801.0;20.3;;;45599;6.5;;;11402;5.9;;;89775;6.4;;;14435;3.7;;;1250;21.8;;;74090;6.7;2.0;4.7;110246;8.7;3.3;5.3;74090;6.7;2.0;4.7;49238;6.6;2.7;3.8;24852;6.9;0.4;6.5;36156;13.1;6.1;6.6;110246;8.7;3.3;5.3;;;;;;;;;;;;;110246;8.7;28436;4.1;47641;8.4;34169;13.5;3.7;3.8;2.6;4.7;23.7
15;2003;94791;5.6;;;34945;5.7;;;59846;5.5;;;539;6.7;;;768.0;-4.1;;;48040;5.4;;;12035;5.6;;;94791;5.6;;;15611;8.1;;;1348;7.8;;;77832;5.1;2.0;3.0;116793;5.9;2.9;3.0;77832;5.1;2.0;3.0;51974;5.6;3.3;2.2;25858;4.0;-0.5;4.5;38961;7.8;4.7;2.9;116793;5.9;2.9;3.0;;;;;;;;;;;;;116793;5.9;28881;1.6;51129;7.3;36783;7.7;2.0;1.8;0.9;5.5;24.5
16;2004;96515;1.8;;;35292;1.0;;;61223;2.3;;;549;1.9;;;662.0;-13.8;;;48909;1.8;;;12427;3.3;;;96515;1.8;;;16399;5.0;;;1302;-3.4;;;78814;1.3;-1.0;2.3;118942;1.8;-0.1;1.9;78814;1.3;-1.0;2.3;52550;1.1;-1.0;2.1;26264;1.6;-1.1;2.7;40128;3.0;1.9;1.1;118942;1.8;-0.1;1.9;;;;;;;;;;;;;118942;1.8;28383;-1.7;52254;2.2;38305;4.1;1.2;1.2;1.7;0.8;24.2
17;2005;98800;2.4;;;36410;3.2;;;62390;1.9;;;559;1.8;;;584.0;-11.8;;;49543;1.3;;;12872;3.6;;;98800;2.4;;;17256;5.2;;;1289;-1.0;;;80255;1.8;-0.5;2.4;121685;2.3;0.5;1.8;80255;1.8;-0.5;2.4;53018;0.9;-1.2;2.1;27237;3.7;0.8;2.9;41430;3.2;2.4;0.8;121685;2.3;0.5;1.8;;;;;;;;;;;;;121685;2.3;29349;6.1;52781;1.0;39555;3.3;1.2;1.5;1.3;-0.4;23.7
18;2006;102645;3.9;7.6;-3.4;39024;7.2;20.9;-11.4;63621;2.0;-0.2;2.2;562;0.5;-14.7;17.8;633.0;8.4;7.2;1.1;50216;1.4;0.1;1.3;13476;4.7;2.8;1.9;102645;3.9;7.6;-3.4;17556;1.7;31.2;-22.4;1393;8.1;5.7;2.2;83696;4.3;2.5;1.7;135442;11.3;9.5;1.6;83696;4.3;2.5;1.7;55600;4.9;3.5;1.3;28096;3.2;0.6;2.5;51746;24.9;23.1;1.5;135442;11.3;9.5;1.6;99640.0;14.6;13.2;1.3;23747.0;3.4;0.6;2.8;12055.0;2.0;0.1;2.0;135442;11.3;31310;6.7;54558;3.4;49574;25.3;1.9;1.8;1.6;2.9;25.1
19;2007;107424;4.7;1.6;3.0;40961;5.0;3.2;1.7;66463;4.5;0.6;3.9;569;1.2;-14.8;18.8;630.0;-0.5;-3.2;2.8;52273;4.1;1.2;2.9;14251;5.8;3.5;2.2;107424;4.7;1.6;3.0;18017;2.6;-1.3;4.0;1422;2.1;-0.1;2.2;87985;5.1;2.2;2.9;143872;6.2;3.5;2.6;87985;5.1;2.2;2.9;58336;4.9;2.9;1.9;29649;5.5;0.8;4.7;55887;8.0;5.7;2.2;143872;6.2;3.5;2.6;106350.0;6.7;4.5;2.1;25194.0;6.1;0.8;5.3;12328.0;2.3;0.9;1.4;143872;6.2;34244;9.4;58688;7.6;50940;2.8;1.7;1.9;1.8;0.1;25.2
20;2008;113736;5.9;1.7;4.1;44004;7.4;2.6;4.7;69732;4.9;1.2;3.7;594;4.4;-0.2;4.6;645.0;2.4;-0.3;2.7;54691;4.6;1.4;3.2;15092;5.9;3.3;2.5;113736;5.9;1.7;4.1;18837;4.6;1.4;3.1;1430;0.6;-3.5;4.2;93469;6.2;1.9;4.3;152813;6.2;2.8;3.4;93469;6.2;1.9;4.3;62266;6.7;2.5;4.2;31203;5.2;0.7;4.5;59344;6.2;4.2;1.9;152813;6.2;2.8;3.4;113439.0;6.7;3.5;3.0;26477.0;5.1;0.6;4.5;12897.0;4.6;0.7;3.9;152813;6.2;36329;6.1;62763;6.9;53721;5.5;4.0;3.9;3.7;5.2;25.7
21;2009;120672;6.1;3.2;2.8;47388;7.7;5.1;2.5;73284;5.1;2.0;3.1;611;2.9;0.8;2.0;790.0;22.5;16.7;4.9;57725;5.5;2.6;2.9;15738;4.3;3.7;0.6;120672;6.1;3.2;2.8;19170;1.8;0.4;1.4;1469;2.7;-1.2;4.0;100033;7.0;3.8;3.1;164140;7.4;5.0;2.3;100033;7.0;3.8;3.1;66825;7.3;5.1;2.1;33208;6.4;1.3;5.1;64107;8.0;6.8;1.2;164140;7.4;5.0;2.3;122520.0;8.0;6.3;1.6;28421.0;7.3;1.8;5.4;13199.0;2.3;-0.3;2.7;164140;7.4;38621;6.3;66988;6.7;58531;9.0;1.2;0.9;1.8;3.1;28.6
22;2010;122155;1.2;-0.1;1.4;46869;-1.1;-3.3;2.3;75286;2.7;1.9;0.8;641;4.9;1.8;3.1;853.0;8.0;-1.3;9.4;59229;2.6;1.9;0.7;16269;3.4;1.6;1.8;122155;1.2;-0.1;1.4;20026;4.5;2.3;2.1;1528;4.0;2.0;1.9;100601;0.6;-0.6;1.2;166970;1.7;0.5;1.2;100601;0.6;-0.6;1.2;66671;-0.2;-1.3;1.1;33930;2.2;0.7;1.5;66369;3.5;2.2;1.3;166970;1.7;0.5;1.2;124358.0;1.5;0.4;1.1;28974.0;1.9;0.6;1.3;13638.0;3.3;1.2;2.1;166970;1.7;37972;-1.7;68517;2.3;60481;3.3;1.7;1.9;0.8;1.7;28.5
23;2011;120804;-1.1;-1.9;0.8;45453;-3.0;-4.6;1.7;75351;0.1;-0.2;0.3;670;4.5;3.6;0.9;849.0;-0.5;-1.9;1.4;58893;-0.6;-1.1;0.5;16637;2.3;1.9;0.4;120804;-1.1;-1.9;0.8;20020;0.0;-1.0;1.0;1582;3.5;2.2;1.3;99202;-1.4;-2.1;0.8;167330;0.2;0.2;0.0;99202;-1.4;-2.1;0.8;65142;-2.3;-3.2;0.9;34060;0.4;-0.1;0.5;68128;2.7;3.7;-1.0;167330;0.2;0.2;0.0;124534.0;0.1;0.3;-0.1;29092.0;0.4;0.6;-0.2;13704.0;0.5;-1.5;2.0;167330;0.2;37188;-2.1;68102;-0.6;62040;2.6;1.7;1.6;0.8;3.7;27.9
24;2012;121089;0.2;-2.4;2.7;45505;0.1;-4.4;4.7;75584;0.3;-1.2;1.5;699;4.3;0.9;3.4;721.0;-15.1;-14.4;-0.8;58649;-0.4;-1.9;1.5;16957;1.9;0.8;1.1;121089;0.2;-2.4;2.7;19825;-1.0;-2.3;1.4;1559;-1.5;-2.4;1.0;99705;0.5;-2.4;3.0;170614;2.0;-0.7;2.7;99705;0.5;-2.4;3.0;65651;0.8;-3.1;4.0;34054;0.0;-1.0;1.0;70909;4.1;1.7;2.3;170614;2.0;-0.7;2.7;127669.0;2.5;-0.8;3.4;29144.0;0.2;-0.1;0.2;13801.0;0.7;-1.0;1.7;170614;2.0;36713;-1.3;67574;-0.8;66327;6.9;2.3;2.5;1.1;3.4;28.5
25;2013;120837;-0.2;-0.2;-0.1;46220;1.6;1.6;-0.1;74617;-1.3;-1.2;0.0;682;-2.4;-4.4;2.1;672.0;-6.8;-7.4;0.6;57474;-2.0;-1.3;-0.7;17133;1.0;0.0;1.0;120837;-0.2;-0.2;-0.1;19563;-1.3;-2.4;1.1;1477;-5.3;-6.5;1.3;99797;0.1;0.4;-0.3;170324;-0.2;-0.2;0.0;99797;0.1;0.4;-0.3;65776;0.2;0.6;-0.4;34021;-0.1;0.0;-0.1;70527;-0.5;-1.0;0.5;170324;-0.2;-0.2;0.0;127345.0;-0.3;-0.2;-0.1;29247.0;0.4;0.0;0.3;13732.0;-0.5;-0.7;0.2;170324;-0.2;41290;12.5;63025;-6.7;66009;-0.5;0.5;0.4;0.7;0.6;28.3
