ID;SBI;NettoOmzetExclBTW_1;Brutowinst_2;OverigeBedrijfsopbrengsten_3;TotaleBedrijfsopbrengsten_4;TotaalBedrijfslasten_5;Personeelskosten_6;Afschrijvingen_7;Huisvestingskosten_8;InventarisEnMachinekosten_9;Autokosten_10;Verkoopkosten_11;AlgemeneKosten_12;Bedrijfsresultaat_13;FinancieelResultaat_14;BuitengewoonResultaat_15;ResultaatVoorBelasting_16;WerkzamePersonen_17;OmzetPerFullTimeWerkzamePersoon_18;LoonkostenPerFullTimeWerknemer_19
31;51422 t/m 51426 overige mode artikelen;3234;33.2;0.7;33.9;30.1;5.5;0.7;0.7;0.0;0.5;11.4;11.2;3.9;-1.3;-0.2;2.5;3;1051;57
32;5143 Consumenten elektronica;2983;22.2;1.0;23.2;19.2;8.1;0.9;1.2;0.4;0.8;4.9;2.9;4.0;-0.6;-0.3;3.1;7;508;40
33;5144 Glas-, porselein en aardewerk;1586;37.8;0.8;38.5;29.1;9.4;1.1;1.5;0.2;1.1;12.2;3.7;9.4;-0.3;-0.1;9.1;4;459;45
34;5145 Parfums en cosmetica;2083;36.7;1.1;37.8;31.3;10.8;1.0;1.3;0.2;1.1;13.5;3.4;6.5;0.3;0.1;6.9;8;326;35
35;51461 Farmaceutische producten;13189;20.7;1.1;21.7;16.9;6.0;0.6;0.5;0.1;0.6;4.0;5.1;4.9;1.1;3.6;9.7;17;846;47
36;51462 Medische instrumenten e.d.;2313;33.1;1.1;34.2;28.1;14.3;2.0;1.5;0.2;1.4;4.4;4.4;5.8;-0.1;-0.1;5.9;8;328;46
37;51471 t/m 51473 Sport- en kampeerartikel;1051;23.3;1.7;25.0;21.2;8.9;1.3;2.3;0.1;0.9;4.0;3.7;3.9;-0.9;0.1;3.0;4;401;41
38;51474 Speelgoed;7145;22.6;0.4;23.0;14.3;2.0;0.5;0.6;0.0;0.2;8.2;2.7;8.7;-0.4;0.1;8.4;5;2127;43
39;51475 t/m 51477 Optische, juweliers art.;1998;26.2;0.4;26.6;20.8;8.8;1.0;1.1;0.1;0.7;6.0;3.0;5.8;0.7;0.1;6.7;4;555;48
40;51479 Huismeubilair;930;28.8;1.3;30.1;24.9;10.7;1.8;2.6;0.2;1.3;4.7;3.6;5.1;-0.8;-0.1;5.2;5;293;35
41;51481 Woningtextiel en vloerbedekking;1587;30.9;0.2;31.1;27.7;12.5;1.7;1.8;0.1;1.1;6.5;3.9;3.4;0.0;0.2;3.6;6;289;37
42;51482 Huishoudelijke artikelen;1929;27.5;0.3;27.8;22.2;9.8;1.4;1.3;0.2;1.0;5.8;2.6;5.6;-1.9;-1.5;2.2;7;345;36
43;51483 t/m 51485 Drukwerk, papierwaren;3366;26.8;0.8;27.6;21.1;9.8;1.1;1.2;0.3;0.6;5.5;2.7;6.5;-1.8;-0.1;4.6;11;360;35
44;51486 Fietsen en bromfietsen;2168;25.7;0.4;26.1;20.8;9.6;0.9;1.1;0.1;1.3;4.7;3.0;5.4;-1.1;0.5;4.6;6;416;39
45;51478,51487+51715 Overige non-food;957;29.2;1.1;30.2;24.5;11.0;1.6;1.8;0.2;1.0;4.5;4.3;5.8;-0.7;0.0;5.0;5;284;33
46;5172 Algemeen assortiment cons. goederen;1200;18.2;1.1;19.3;14.6;7.0;1.8;1.0;0.2;0.5;2.1;2.0;4.7;-0.2;0.8;5.3;4;449;34
47;5161 Gereedschapswerktuigen;1578;30.5;0.9;31.4;25.9;14.3;1.6;1.4;0.2;1.7;3.3;3.5;5.5;-0.6;0.2;5.0;7;253;37
48;5162 Machines voor de bouw;3467;22.9;0.3;23.2;18.8;9.9;1.9;1.1;0.3;1.0;1.8;2.8;4.5;-0.2;0.2;4.4;9;455;44
49;51641 Computers en -randapparatuur.;8736;23.6;0.4;24.0;16.6;6.5;0.6;0.5;0.1;0.5;4.3;4.0;7.4;0.0;-0.2;7.3;12;819;45
50;51642 Kantoormachines;17282;14.0;0.4;14.5;12.0;4.6;0.9;0.5;0.2;0.5;4.2;1.1;2.4;0.2;0.1;2.7;20;939;41
51;51643 Kantoormeubels;2588;29.5;0.5;30.1;25.0;12.6;1.6;2.3;0.1;1.4;3.6;3.3;5.0;-0.2;0.3;5.1;11;301;36
52;51651 Machines voor de grafische industr;3968;26.0;0.6;26.7;22.4;12.6;1.5;1.2;0.3;1.3;2.7;2.9;4.2;-0.8;0.0;3.4;12;356;42
53;51653 Intern transportmateriaal;3282;31.3;1.3;32.6;27.1;15.2;1.9;1.4;0.4;1.5;2.7;3.9;5.5;-0.3;0.0;5.2;14;250;37
54;51654 Machines voor warmte en koeltechn;2314;31.7;0.7;32.4;25.2;14.4;1.1;1.3;0.4;1.6;2.9;3.6;7.2;-0.3;0.0;7.0;11;262;35
55;51655 Verbrandingsmotoren, pompen;4308;28.9;0.6;29.4;23.7;14.1;1.4;1.2;0.3;1.1;2.3;3.3;5.7;-0.3;-0.1;5.4;15;311;43
56;51656 Appendages, techn. toebehoren;2753;33.1;0.7;33.7;27.5;16.0;1.7;1.7;0.3;1.3;2.9;3.7;6.2;-0.2;0.0;6.0;14;227;35
57;51657 Elektromotoren , schakelkasten e.d;3422;27.2;0.8;27.9;22.1;12.7;1.2;1.3;0.2;1.0;2.7;3.0;5.8;-0.4;0.6;6.4;11;330;40
58;51658 Meet- en regelapparatuur;2728;33.5;0.9;34.4;27.7;15.8;1.5;1.4;0.3;1.5;3.0;4.3;6.7;-0.1;-0.2;6.6;11;295;45
59;5163, 51652 + 51659 Overige machines;1750;33.1;2.5;35.6;29.8;16.8;2.1;1.6;0.3;1.9;3.1;4.0;5.9;0.5;0.0;6.4;9;229;39
60;5166 Landbouwmachines en tractoren;1564;25.0;0.8;25.8;21.8;12.4;1.4;1.4;0.3;1.0;2.0;3.5;4.0;-1.0;0.2;3.8;8;256;34
61;51711+51712+51714 Bedrijfsmeubels e.d.;1498;30.1;0.6;30.8;24.4;12.8;1.4;2.0;0.3;1.1;3.5;3.3;6.2;-0.2;0.1;6.2;6;291;37
62;51713 Emballage;2094;21.4;0.4;21.8;18.1;8.8;1.3;1.5;0.2;1.0;2.1;3.2;4.6;-0.6;0.0;4.1;7;396;35
