ID;RegioS;SBI74;Perioden;Productie_1;Verbruik_2;ToegevoegdeWaarde_3;Lonen_4;SocialeLasten_5;IndirecteBelastingen_6;OverigInkomen_7;Arbeidsvolume_8
32;Totaal Nederland;Land-, tuin-, bosbouw en visserij;1982;17167;10101;7066;823;222;198;5822;65.0
33;Totaal Nederland;Land-, tuin-, bosbouw en visserij;1983;17894;10669;7224;845;240;190;5947;66.0
34;Totaal Nederland;Land-, tuin-, bosbouw en visserij;1984;18147;10760;7387;864;247;170;6104;67.0
35;Totaal Nederland;Land-, tuin-, bosbouw en visserij;1985;18633;11041;7591;926;263;240;6161;68.0
36;Totaal Nederland;Land-, tuin-, bosbouw en visserij;1986;18610;10353;8257;977;275;271;6732;69.0
37;Totaal Nederland;Land-, tuin-, bosbouw en visserij;1987;17640;9709;7931;1006;279;291;6354;70.0
38;Totaal Nederland;Land-, tuin-, bosbouw en visserij;1988;18010;9864;8146;1065;295;258;6527;73.0
39;Totaal Nederland;Land-, tuin-, bosbouw en visserij;1989;19751;10370;9381;1089;288;278;7725;75.0
40;Totaal Nederland;Land-, tuin-, bosbouw en visserij;1990;19326;9868;9457;1297;218;259;7682;78.0
41;Totaal Nederland;Land-, tuin-, bosbouw en visserij;1991;20013;10303;9710;1365;225;206;7913;79.0
42;Totaal Nederland;Land-, tuin-, bosbouw en visserij;1992;19517;10230;9287;1417;245;209;7414;81.0
43;Totaal Nederland;Land-, tuin-, bosbouw en visserij;1993;18187;9907;8279;1444;250;216;6367;82.0
44;Totaal Nederland;Aardolie- en aardgaswinning;1970;730;103;626;26;6;1;591;4.0
45;Totaal Nederland;Aardolie- en aardgaswinning;1973;1636;155;1481;40;12;3;1425;4.0
46;Totaal Nederland;Aardolie- en aardgaswinning;1974;2502;266;2235;45;14;5;2169;4.0
47;Totaal Nederland;Aardolie- en aardgaswinning;1975;4182;294;3888;59;18;7;3802;4.0
48;Totaal Nederland;Aardolie- en aardgaswinning;1976;5532;386;5145;77;24;10;5033;5.0
49;Totaal Nederland;Aardolie- en aardgaswinning;1977;6247;500;5747;90;28;14;5613;5.0
50;Totaal Nederland;Aardolie- en aardgaswinning;1978;6191;725;5466;100;31;17;5316;5.0
51;Totaal Nederland;Aardolie- en aardgaswinning;1979;7213;792;6420;112;35;19;6253;5.0
52;Totaal Nederland;Aardolie- en aardgaswinning;1980;9469;1011;8458;124;43;21;8269;6.0
53;Totaal Nederland;Aardolie- en aardgaswinning;1981;12534;1356;11177;144;49;40;10942;6.0
54;Totaal Nederland;Aardolie- en aardgaswinning;1982;12965;1547;11418;166;57;44;11148;6.0
55;Totaal Nederland;Aardolie- en aardgaswinning;1983;13685;1589;12095;181;62;29;11822;7.0
56;Totaal Nederland;Aardolie- en aardgaswinning;1984;15371;1679;13691;201;67;21;13401;7.0
57;Totaal Nederland;Aardolie- en aardgaswinning;1985;17294;1630;15663;223;74;22;15343;7.0
58;Totaal Nederland;Aardolie- en aardgaswinning;1986;11543;1442;10100;233;76;25;9764;7.0
59;Totaal Nederland;Aardolie- en aardgaswinning;1987;7708;1109;6599;235;73;29;6260;7.0
60;Totaal Nederland;Aardolie- en aardgaswinning;1988;6312;1102;5209;247;61;29;4871;7.0
61;Totaal Nederland;Aardolie- en aardgaswinning;1989;6694;1150;5544;264;54;29;5195;7.0
62;Totaal Nederland;Aardolie- en aardgaswinning;1990;8154;1662;6492;288;46;105;6051;7.0
63;Totaal Nederland;Aardolie- en aardgaswinning;1991;9750;1832;7917;305;55;176;7380;7.0
64;Totaal Nederland;Aardolie- en aardgaswinning;1992;9221;2078;7142;325;61;367;6388;7.0
65;Totaal Nederland;Aardolie- en aardgaswinning;1993;8953;2217;6735;339;66;382;5947;7.0
66;Totaal Nederland;Industrie, openb. nutsb. en ov.delfst.;1970;42903;27424;15478;7700;1704;398;5674;1266.0
67;Totaal Nederland;Industrie, openb. nutsb. en ov.delfst.;1973;58622;37137;21484;10397;2736;678;7671;1185.0
68;Totaal Nederland;Industrie, openb. nutsb. en ov.delfst.;1974;73218;48912;24306;11863;3203;893;8345;1177.0
69;Totaal Nederland;Industrie, openb. nutsb. en ov.delfst.;1975;73088;48970;24117;12897;3492;1216;6510;1140.0
70;Totaal Nederland;Industrie, openb. nutsb. en ov.delfst.;1976;83677;56543;27133;13748;3784;1065;8535;1096.0
71;Totaal Nederland;Industrie, openb. nutsb. en ov.delfst.;1977;86644;58863;27780;14620;3964;1128;8066;1069.0
72;Totaal Nederland;Industrie, openb. nutsb. en ov.delfst.;1978;89170;59930;29240;15340;4132;983;8782;1045.0
73;Totaal Nederland;Industrie, openb. nutsb. en ov.delfst.;1979;99284;68536;30748;16027;4424;1081;9214;1035.0
74;Totaal Nederland;Industrie, openb. nutsb. en ov.delfst.;1980;108512;77271;31241;16659;4736;1114;8731;1023.0
75;Totaal Nederland;Industrie, openb. nutsb. en ov.delfst.;1981;116818;85333;31485;17041;4854;1452;8136;999.0
76;Totaal Nederland;Industrie, openb. nutsb. en ov.delfst.;1982;120198;87197;33000;17545;4971;1502;8980;960.0
77;Totaal Nederland;Industrie, openb. nutsb. en ov.delfst.;1983;124356;89440;34916;17322;5173;1545;10874;919.0
78;Totaal Nederland;Industrie, openb. nutsb. en ov.delfst.;1984;136900;100196;36704;17308;5138;1246;13010;897.0
79;Totaal Nederland;Industrie, openb. nutsb. en ov.delfst.;1985;140885;102981;37903;18109;5190;1162;13440;908.0
80;Totaal Nederland;Industrie, openb. nutsb. en ov.delfst.;1986;129877;89553;40323;18972;5422;1251;14676;920.0
81;Totaal Nederland;Industrie, openb. nutsb. en ov.delfst.;1987;127237;87199;40038;19763;5571;257;14446;931.0
82;Totaal Nederland;Industrie, openb. nutsb. en ov.delfst.;1988;133471;90401;43069;20072;5592;542;16861;938.0
83;Totaal Nederland;Industrie, openb. nutsb. en ov.delfst.;1989;145215;99036;46178;20751;5376;1615;18435;951.0
84;Totaal Nederland;Industrie, openb. nutsb. en ov.delfst.;1990;150954;102085;48868;23754;3544;2202;19366;968.0
85;Totaal Nederland;Industrie, openb. nutsb. en ov.delfst.;1991;154601;104852;49749;24640;3817;2143;19147;964.0
86;Totaal Nederland;Industrie, openb. nutsb. en ov.delfst.;1992;154667;104222;50445;25569;4069;2995;17809;957.0
87;Totaal Nederland;Industrie, openb. nutsb. en ov.delfst.;1993;150552;98964;51588;25372;4295;4136;17784;923.0
88;Totaal Nederland;Bouwnijverheid en -installatiebedr.;1970;10225;6330;3895;2212;719;45;917;471.0
89;Totaal Nederland;Bouwnijverheid en -installatiebedr.;1973;13913;8104;5809;3170;1179;58;1401;440.0
90;Totaal Nederland;Bouwnijverheid en -installatiebedr.;1974;14690;8800;5890;3489;1300;32;1068;421.0
91;Totaal Nederland;Bouwnijverheid en -installatiebedr.;1975;15858;9492;6366;3883;1402;48;1031;406.0
92;Totaal Nederland;Bouwnijverheid en -installatiebedr.;1976;17520;10524;6996;4319;1555;19;1101;411.0
93;Totaal Nederland;Bouwnijverheid en -installatiebedr.;1977;19773;11799;7974;4869;1677;25;1403;417.0
94;Totaal Nederland;Bouwnijverheid en -installatiebedr.;1978;21869;12935;8933;5352;1806;-4;1778;427.0
95;Totaal Nederland;Bouwnijverheid en -installatiebedr.;1979;22891;13577;9314;5755;1901;4;1652;441.0
96;Totaal Nederland;Bouwnijverheid en -installatiebedr.;1980;25757;15509;10247;6210;2174;14;1847;432.0
97;Totaal Nederland;Bouwnijverheid en -installatiebedr.;1981;24439;14541;9898;5713;2004;17;2162;380.0
98;Totaal Nederland;Bouwnijverheid en -installatiebedr.;1982;23412;13867;9545;5505;1929;19;2091;333.0
99;Totaal Nederland;Bouwnijverheid en -installatiebedr.;1983;22751;13722;9028;5173;1892;18;1944;304.0
100;Totaal Nederland;Bouwnijverheid en -installatiebedr.;1984;23778;14780;8998;5164;1888;20;1924;304.0
101;Totaal Nederland;Bouwnijverheid en -installatiebedr.;1985;24515;15583;8931;5158;1913;9;1850;308.0
102;Totaal Nederland;Bouwnijverheid en -installatiebedr.;1986;25729;16160;9569;5470;2047;30;2021;322.0
103;Totaal Nederland;Bouwnijverheid en -installatiebedr.;1987;27016;17109;9907;5671;2071;28;2135;328.0
104;Totaal Nederland;Bouwnijverheid en -installatiebedr.;1988;30631;19411;11219;6100;2234;14;2869;338.0
105;Totaal Nederland;Bouwnijverheid en -installatiebedr.;1989;32885;21133;11752;6333;2297;-4;3125;342.0
106;Totaal Nederland;Bouwnijverheid en -installatiebedr.;1990;34319;22042;12277;7165;1778;-18;3352;344.0
107;Totaal Nederland;Bouwnijverheid en -installatiebedr.;1991;35729;23067;12661;7437;1960;0;3263;344.0
108;Totaal Nederland;Bouwnijverheid en -installatiebedr.;1992;36741;23750;12991;7905;1968;4;3112;342.0
109;Totaal Nederland;Bouwnijverheid en -installatiebedr.;1993;36864;23497;13367;7936;2014;68;3347;341.0
110;Totaal Nederland;Handel, horeca en reparatiebedrijven;1970;12930;4761;8168;3567;664;80;3856;671.0
111;Totaal Nederland;Handel, horeca en reparatiebedrijven;1973;17230;6201;11029;5006;1158;177;4687;671.0
112;Totaal Nederland;Handel, horeca en reparatiebedrijven;1974;19746;7066;12679;5762;1413;180;5323;669.0
113;Totaal Nederland;Handel, horeca en reparatiebedrijven;1975;21535;7695;13840;6504;1585;220;5528;669.0
114;Totaal Nederland;Handel, horeca en reparatiebedrijven;1976;23975;8727;15248;7313;1811;210;5912;676.0
115;Totaal Nederland;Handel, horeca en reparatiebedrijven;1977;26172;9681;16491;8138;1986;249;6117;689.0
116;Totaal Nederland;Handel, horeca en reparatiebedrijven;1978;28518;10601;17917;8881;2109;155;6770;705.0
117;Totaal Nederland;Handel, horeca en reparatiebedrijven;1979;30861;11777;19083;9631;2344;157;6950;724.0
118;Totaal Nederland;Handel, horeca en reparatiebedrijven;1980;33095;12771;20324;10101;2498;185;7540;729.0
119;Totaal Nederland;Handel, horeca en reparatiebedrijven;1981;34275;13185;21089;10271;2540;182;8094;712.0
120;Totaal Nederland;Handel, horeca en reparatiebedrijven;1982;35832;13758;22074;10382;2561;173;8956;680.0
121;Totaal Nederland;Handel, horeca en reparatiebedrijven;1983;37129;14280;22849;10519;2732;194;9403;669.0
122;Totaal Nederland;Handel, horeca en reparatiebedrijven;1984;39852;15774;24078;10648;2782;217;10430;670.0
123;Totaal Nederland;Handel, horeca en reparatiebedrijven;1985;42275;16570;25705;11101;2908;201;11494;681.0
124;Totaal Nederland;Handel, horeca en reparatiebedrijven;1986;45353;17091;28262;11720;3069;265;13207;697.0
125;Totaal Nederland;Handel, horeca en reparatiebedrijven;1987;46666;17502;29164;12287;3166;284;13425;720.0
126;Totaal Nederland;Handel, horeca en reparatiebedrijven;1988;48703;18414;30288;12849;3311;278;13849;747.0
127;Totaal Nederland;Handel, horeca en reparatiebedrijven;1989;52424;20234;32190;13600;3255;329;15005;779.0
128;Totaal Nederland;Handel, horeca en reparatiebedrijven;1990;56574;21799;34775;16089;2144;309;16232;816.0
129;Totaal Nederland;Handel, horeca en reparatiebedrijven;1991;60286;23975;36311;17497;2344;352;16117;849.0
130;Totaal Nederland;Handel, horeca en reparatiebedrijven;1992;62741;24961;37780;18463;2523;348;16445;872.0
131;Totaal Nederland;Handel, horeca en reparatiebedrijven;1993;64228;25561;38667;19115;2623;385;16543;871.0
132;Totaal Nederland;Vervoers- en communicatiebedrijven;1970;6578;2733;3844;1940;404;-2;1502;272.0
133;Totaal Nederland;Vervoers- en communicatiebedrijven;1973;8484;3195;5289;2756;660;-138;2011;272.0
134;Totaal Nederland;Vervoers- en communicatiebedrijven;1974;9833;3824;6008;3214;790;-231;2235;277.0
135;Totaal Nederland;Vervoers- en communicatiebedrijven;1975;10382;4073;6308;3674;898;-336;2071;279.0
136;Totaal Nederland;Vervoers- en communicatiebedrijven;1976;11490;4507;6982;4040;992;-618;2568;279.0
137;Totaal Nederland;Vervoers- en communicatiebedrijven;1977;12508;4678;7830;4445;1065;-694;3014;280.0
138;Totaal Nederland;Vervoers- en communicatiebedrijven;1978;13341;5059;8282;4788;1163;-831;3162;282.0
139;Totaal Nederland;Vervoers- en communicatiebedrijven;1979;14756;5805;8951;5195;1293;-864;3328;289.0
140;Totaal Nederland;Vervoers- en communicatiebedrijven;1980;16232;6690;9542;5527;1405;-951;3559;295.0
141;Totaal Nederland;Vervoers- en communicatiebedrijven;1981;17805;7824;9981;5673;1451;-1071;3928;294.0
142;Totaal Nederland;Vervoers- en communicatiebedrijven;1982;18049;8019;10029;5851;1491;-1358;4045;290.0
143;Totaal Nederland;Vervoers- en communicatiebedrijven;1983;18201;7808;10392;5899;1620;-1398;4270;286.0
144;Totaal Nederland;Vervoers- en communicatiebedrijven;1984;19341;8520;10820;5944;1622;-1455;4709;286.0
145;Totaal Nederland;Vervoers- en communicatiebedrijven;1985;20547;8988;11558;6207;1690;-1431;5091;295.0
146;Totaal Nederland;Vervoers- en communicatiebedrijven;1986;20539;8109;12429;6523;1759;-1366;5512;305.0
147;Totaal Nederland;Vervoers- en communicatiebedrijven;1987;21020;8440;12579;6763;1750;-1367;5432;308.0
148;Totaal Nederland;Vervoers- en communicatiebedrijven;1988;22394;9173;13220;6955;1728;-1357;5895;310.0
149;Totaal Nederland;Vervoers- en communicatiebedrijven;1989;23939;9975;13964;7324;1669;-1340;6311;314.0
150;Totaal Nederland;Vervoers- en communicatiebedrijven;1990;25148;10535;14613;8400;1092;-1447;6567;320.0
151;Totaal Nederland;Vervoers- en communicatiebedrijven;1991;26971;11261;15710;9089;1114;-1486;6993;331.0
152;Totaal Nederland;Vervoers- en communicatiebedrijven;1992;28585;11923;16662;9755;1132;-1662;7436;340.0
153;Totaal Nederland;Vervoers- en communicatiebedrijven;1993;29915;12585;17330;9913;1059;-1443;7801;335.0
154;Totaal Nederland;Bank- en verzekeringswezen;1970;2598;1034;1564;823;218;57;465;122.0
155;Totaal Nederland;Bank- en verzekeringswezen;1973;4323;1519;2803;1345;429;102;927;138.0
156;Totaal Nederland;Bank- en verzekeringswezen;1974;5016;1723;3293;1598;511;112;1070;142.0
157;Totaal Nederland;Bank- en verzekeringswezen;1975;5689;2020;3668;1840;579;120;1128;145.0
158;Totaal Nederland;Bank- en verzekeringswezen;1976;6601;2253;4348;2060;650;130;1507;147.0
159;Totaal Nederland;Bank- en verzekeringswezen;1977;7402;2527;4875;2299;686;156;1733;149.0
160;Totaal Nederland;Bank- en verzekeringswezen;1978;8554;2859;5694;2503;762;160;2268;153.0
161;Totaal Nederland;Bank- en verzekeringswezen;1979;9589;3207;6381;2716;831;180;2653;157.0
162;Totaal Nederland;Bank- en verzekeringswezen;1980;10428;3541;6887;2975;901;187;2822;164.0
163;Totaal Nederland;Bank- en verzekeringswezen;1981;11054;3792;7261;3193;931;173;2964;169.0
164;Totaal Nederland;Bank- en verzekeringswezen;1982;11694;3990;7704;3417;1007;158;3120;168.0
165;Totaal Nederland;Bank- en verzekeringswezen;1983;12834;4104;8730;3483;1069;161;4016;165.0
166;Totaal Nederland;Bank- en verzekeringswezen;1984;13276;4270;9005;3537;1070;151;4246;164.0
167;Totaal Nederland;Bank- en verzekeringswezen;1985;13976;4646;9330;3690;1125;165;4348;166.0
168;Totaal Nederland;Bank- en verzekeringswezen;1986;14535;5014;9520;3885;1162;201;4271;168.0
169;Totaal Nederland;Bank- en verzekeringswezen;1987;14919;5350;9568;4052;1169;207;4138;171.0
170;Totaal Nederland;Bank- en verzekeringswezen;1988;15558;5645;9912;4196;1232;231;4251;173.0
171;Totaal Nederland;Bank- en verzekeringswezen;1989;17144;6106;11037;4334;1217;273;5212;176.0
172;Totaal Nederland;Bank- en verzekeringswezen;1990;17185;6508;10677;4912;927;252;4584;179.0
173;Totaal Nederland;Bank- en verzekeringswezen;1991;18023;6921;11102;5158;1065;261;4615;181.0
174;Totaal Nederland;Bank- en verzekeringswezen;1992;19277;7260;12016;5427;1155;276;5155;181.0
175;Totaal Nederland;Bank- en verzekeringswezen;1993;20743;7719;13023;5675;1312;348;5687;181.0
176;Totaal Nederland;Onroerend goed en zakelijke dienstverl.;1970;6472;1753;4718;1107;197;166;3246;160.0
177;Totaal Nederland;Onroerend goed en zakelijke dienstverl.;1973;9553;2250;7303;1683;358;194;5067;175.0
178;Totaal Nederland;Onroerend goed en zakelijke dienstverl.;1974;11179;2552;8626;2006;450;119;6050;180.0
179;Totaal Nederland;Onroerend goed en zakelijke dienstverl.;1975;12712;2782;9930;2318;518;79;7013;183.0
180;Totaal Nederland;Onroerend goed en zakelijke dienstverl.;1976;14805;3361;11443;2735;608;123;7976;192.0
181;Totaal Nederland;Onroerend goed en zakelijke dienstverl.;1977;16938;3861;13076;3149;687;219;9019;201.0
182;Totaal Nederland;Onroerend goed en zakelijke dienstverl.;1978;19116;4303;14813;3616;785;397;10013;213.0
183;Totaal Nederland;Onroerend goed en zakelijke dienstverl.;1979;20963;4831;16131;4039;910;448;10733;227.0
184;Totaal Nederland;Onroerend goed en zakelijke dienstverl.;1980;22718;5297;17421;4348;995;316;11760;234.0
185;Totaal Nederland;Onroerend goed en zakelijke dienstverl.;1981;24120;5700;18420;4435;1021;295;12667;232.0
186;Totaal Nederland;Onroerend goed en zakelijke dienstverl.;1982;25567;5908;19659;4596;1054;294;13715;225.0
187;Totaal Nederland;Onroerend goed en zakelijke dienstverl.;1983;27549;6146;21402;4785;1130;127;15359;232.0
188;Totaal Nederland;Onroerend goed en zakelijke dienstverl.;1984;29422;6569;22852;5227;1227;-31;16429;256.0
189;Totaal Nederland;Onroerend goed en zakelijke dienstverl.;1985;31271;7111;24159;5659;1300;-564;17764;281.0
190;Totaal Nederland;Onroerend goed en zakelijke dienstverl.;1986;33685;7316;26368;6246;1433;-264;18952;306.0
191;Totaal Nederland;Onroerend goed en zakelijke dienstverl.;1987;35406;7646;27760;6513;1477;-373;20142;316.0
192;Totaal Nederland;Onroerend goed en zakelijke dienstverl.;1988;37829;8250;29579;6951;1547;-237;21317;335.0
193;Totaal Nederland;Onroerend goed en zakelijke dienstverl.;1989;41401;8862;32538;7727;1629;-383;23564;366.0
194;Totaal Nederland;Onroerend goed en zakelijke dienstverl.;1990;45748;9858;35889;9376;1065;-328;25776;395.0
195;Totaal Nederland;Onroerend goed en zakelijke dienstverl.;1991;49687;11031;38655;10118;1134;-540;27943;411.0
196;Totaal Nederland;Onroerend goed en zakelijke dienstverl.;1992;53639;11592;42047;10820;1259;-514;30481;423.0
197;Totaal Nederland;Onroerend goed en zakelijke dienstverl.;1993;57709;12238;45471;11404;1301;-54;32819;431.0
198;Totaal Nederland;Overheid;1970;8572;2377;6195;4305;1566;29;294;546.0
199;Totaal Nederland;Overheid;1973;12677;3066;9611;6573;2556;39;441;584.0
200;Totaal Nederland;Overheid;1974;15070;3715;11355;7757;3024;48;524;596.0
201;Totaal Nederland;Overheid;1975;17659;4406;13253;9017;3566;56;613;607.0
202;Totaal Nederland;Overheid;1976;20146;5116;15029;10149;4107;68;704;627.0
203;Totaal Nederland;Overheid;1977;22230;5801;16429;11086;4475;78;789;643.0
204;Totaal Nederland;Overheid;1978;24404;6485;17918;11992;4947;95;882;655.0
205;Totaal Nederland;Overheid;1979;26508;7294;19213;12613;5520;95;983;667.0
206;Totaal Nederland;Overheid;1980;28190;7928;20261;13300;5748;109;1102;678.0
207;Totaal Nederland;Overheid;1981;29399;8595;20803;13620;5846;114;1222;692.0
208;Totaal Nederland;Overheid;1982;30892;9267;21625;14402;5794;125;1301;699.0
209;Totaal Nederland;Overheid;1983;31849;10074;21775;14155;6151;123;1344;698.0
210;Totaal Nederland;Overheid;1984;31940;10404;21535;14118;5892;130;1394;695.0
211;Totaal Nederland;Overheid;1985;32680;10898;21781;14411;5792;143;1434;703.0
212;Totaal Nederland;Overheid;1986;33307;11253;22053;14593;5841;157;1462;706.0
213;Totaal Nederland;Overheid;1987;34371;11819;22551;15062;5832;159;1497;712.0
214;Totaal Nederland;Overheid;1988;34705;12233;22471;15124;5624;162;1560;706.0
215;Totaal Nederland;Overheid;1989;35555;12871;22684;15442;5427;175;1639;703.0
216;Totaal Nederland;Overheid;1990;36839;13321;23518;17516;4119;177;1703;700.0
217;Totaal Nederland;Overheid;1991;38287;13838;24449;18249;4221;186;1791;692.0
218;Totaal Nederland;Overheid;1992;40326;14310;26016;19542;4418;202;1852;686.0
219;Totaal Nederland;Overheid;1993;41769;14766;27003;20189;4647;220;1946;684.0
220;Totaal Nederland;Gezondheids- en veterinaire diensten;1970;2558;587;1971;976;218;-58;834;176.0
221;Totaal Nederland;Gezondheids- en veterinaire diensten;1973;4338;923;3414;1728;488;-102;1300;210.0
222;Totaal Nederland;Gezondheids- en veterinaire diensten;1974;5221;1075;4146;2093;603;-119;1568;221.0
223;Totaal Nederland;Gezondheids- en veterinaire diensten;1975;6298;1345;4952;2503;711;-149;1886;231.0
224;Totaal Nederland;Gezondheids- en veterinaire diensten;1976;7219;1518;5700;2897;811;-164;2155;241.0
225;Totaal Nederland;Gezondheids- en veterinaire diensten;1977;8058;1694;6363;3258;902;-183;2386;247.0
226;Totaal Nederland;Gezondheids- en veterinaire diensten;1978;8944;1838;7105;3598;1003;-198;2702;252.0
227;Totaal Nederland;Gezondheids- en veterinaire diensten;1979;9766;2074;7691;3902;1090;-224;2921;257.0
228;Totaal Nederland;Gezondheids- en veterinaire diensten;1980;10649;2381;8267;4189;1186;-255;3146;264.0
229;Totaal Nederland;Gezondheids- en veterinaire diensten;1981;11390;2645;8744;4399;1250;-279;3373;271.0
230;Totaal Nederland;Gezondheids- en veterinaire diensten;1982;12188;2838;9350;4707;1323;-274;3594;275.0
231;Totaal Nederland;Gezondheids- en veterinaire diensten;1983;12570;2939;9631;4773;1431;-305;3732;277.0
232;Totaal Nederland;Gezondheids- en veterinaire diensten;1984;12749;3023;9726;4714;1388;-249;3873;278.0
233;Totaal Nederland;Gezondheids- en veterinaire diensten;1985;13048;3244;9803;4829;1416;-239;3797;281.0
234;Totaal Nederland;Gezondheids- en veterinaire diensten;1986;13337;3259;10078;5068;1467;-299;3842;288.0
235;Totaal Nederland;Gezondheids- en veterinaire diensten;1987;13601;3318;10282;5162;1482;-271;3909;292.0
236;Totaal Nederland;Gezondheids- en veterinaire diensten;1988;14002;3482;10519;5285;1479;-245;3999;294.0
237;Totaal Nederland;Gezondheids- en veterinaire diensten;1989;14476;3655;10820;5509;1418;-264;4156;297.0
238;Totaal Nederland;Gezondheids- en veterinaire diensten;1990;15349;3831;11517;6321;1080;-290;4405;304.0
239;Totaal Nederland;Gezondheids- en veterinaire diensten;1991;16611;4149;12461;6787;1240;-349;4783;310.0
240;Totaal Nederland;Gezondheids- en veterinaire diensten;1992;17632;4411;13220;7256;1300;-367;5031;323.0
241;Totaal Nederland;Gezondheids- en veterinaire diensten;1993;18295;4514;13781;7661;1342;-305;5082;329.0
242;Totaal Nederland;Cultuur, sport en recreatie;1970;1080;521;558;291;67;5;194;39.0
243;Totaal Nederland;Cultuur, sport en recreatie;1973;1561;713;847;452;123;0;272;44.0
244;Totaal Nederland;Cultuur, sport en recreatie;1974;1831;822;1008;532;148;0;328;47.0
245;Totaal Nederland;Cultuur, sport en recreatie;1975;2124;961;1163;633;172;0;358;49.0
246;Totaal Nederland;Cultuur, sport en recreatie;1976;2377;1063;1314;735;206;0;373;53.0
247;Totaal Nederland;Cultuur, sport en recreatie;1977;2705;1207;1498;829;228;0;441;55.0
248;Totaal Nederland;Cultuur, sport en recreatie;1978;3071;1363;1707;914;253;0;540;57.0
249;Totaal Nederland;Cultuur, sport en recreatie;1979;3413;1504;1909;1035;288;-1;587;61.0
250;Totaal Nederland;Cultuur, sport en recreatie;1980;3713;1644;2068;1129;313;-1;627;65.0
251;Totaal Nederland;Cultuur, sport en recreatie;1981;3914;1791;2122;1193;333;-1;597;68.0
252;Totaal Nederland;Cultuur, sport en recreatie;1982;4167;1882;2284;1274;340;-1;671;69.0
253;Totaal Nederland;Cultuur, sport en recreatie;1983;4470;2047;2422;1275;353;-7;800;69.0
254;Totaal Nederland;Cultuur, sport en recreatie;1984;4628;2138;2490;1294;359;2;834;69.0
