ID;AantalVertrekken;Regio;Bewoners_1
169;Woningen met 1 vertrek;Groningen, gem. 10001 - 20000 inw.;12839
170;Woningen met 1 vertrek;Groningen, gem. 5001 - 10000 inw.;13002
171;Woningen met 1 vertrek;Groningen, gem. 2001 - 5000 inw.;14522
172;Woningen met 1 vertrek;Groningen, gem. 1001 - 2000 inw.;2110
173;Woningen met 1 vertrek;Friesland, gem. 20001 - 50000 inw.;3827
174;Woningen met 1 vertrek;Leeuwarden;3827
175;Woningen met 1 vertrek;Friesland, gem. 10001 - 20000 inw.;31381
176;Woningen met 1 vertrek;Friesland, gem. 5001 - 10000 inw.;15167
177;Woningen met 1 vertrek;Friesland, gem. 2001 - 5000 inw.;3748
178;Woningen met 1 vertrek;Friesland, gem. 1001 - 2000 inw.;465
179;Woningen met 1 vertrek;Friesland, gem. 501 - 1000 inw.;164
180;Woningen met 1 vertrek;Drenthe, gem. 20001 - 50000 inw.;11506
181;Woningen met 1 vertrek;Emmen;11506
182;Woningen met 1 vertrek;Drenthe, gem. 10001 - 20000 inw.;9740
183;Woningen met 1 vertrek;Drenthe, gem. 5001 - 10000 inw.;13455
184;Woningen met 1 vertrek;Drenthe, gem. 2001 - 5000 inw.;15129
185;Woningen met 1 vertrek;Drenthe, gem. 1001 - 2000 inw.;485
186;Woningen met 1 vertrek;Overijssel, gem. 50001 - 100000 inw.;315
187;Woningen met 1 vertrek;Enschede;315
188;Woningen met 1 vertrek;Overijssel, gem. 20001 - 50000 inw.;1623
189;Woningen met 1 vertrek;Almelo;302
190;Woningen met 1 vertrek;Deventer;370
191;Woningen met 1 vertrek;Hengelo (O.);107
192;Woningen met 1 vertrek;Lonneker;106
193;Woningen met 1 vertrek;Zwolle;738
194;Woningen met 1 vertrek;Overijssel, gem. 10001 - 20000 inw.;3506
195;Woningen met 1 vertrek;Overijssel, gem. 5001 - 10000 inw.;8986
196;Woningen met 1 vertrek;Overijssel, gem. 2001 - 5000 inw.;4635
197;Woningen met 1 vertrek;Overijssel, gem. 1001 - 2000 inw.;659
198;Woningen met 1 vertrek;Overijssel, gem. 501 - 1000 inw.;371
199;Woningen met 1 vertrek;Gelderland, gem. 50001 - 100000 inw.;2332
200;Woningen met 1 vertrek;Apeldoorn;746
201;Woningen met 1 vertrek;Arnhem;1013
202;Woningen met 1 vertrek;Nijmegen;573
203;Woningen met 1 vertrek;Gelderland, gem. 20001 - 50000 inw.;898
204;Woningen met 1 vertrek;Ede;505
205;Woningen met 1 vertrek;Rheden;393
206;Woningen met 1 vertrek;Gelderland, gem. 10001 - 20000 inw.;5109
207;Woningen met 1 vertrek;Gelderland, gem. 5001 - 10000 inw.;7233
208;Woningen met 1 vertrek;Gelderland, gem. 2001 - 5000 inw.;4597
209;Woningen met 1 vertrek;Gelderland, gem. 1001 - 2000 inw.;1442
210;Woningen met 1 vertrek;Gelderland, gem. 501 - 1000 inw.;23
211;Woningen met 1 vertrek;Gelderland, gem. 500 en minder inw.;2
212;Woningen met 1 vertrek;Utrecht, gem. 100001 en meer inw.;2870
213;Woningen met 1 vertrek;Utrecht;2870
214;Woningen met 1 vertrek;Utrecht, gem. 20001 - 50000 inw.;328
215;Woningen met 1 vertrek;Amersfoort;216
216;Woningen met 1 vertrek;Zeist;112
217;Woningen met 1 vertrek;Utrecht, gem. 10001 - 20000 inw.;305
218;Woningen met 1 vertrek;Utrecht, gem. 5001 - 10000 inw.;327
219;Woningen met 1 vertrek;Utrecht, gem. 2001 - 5000 inw.;2156
220;Woningen met 1 vertrek;Utrecht, gem. 1001 - 2000 inw.;656
221;Woningen met 1 vertrek;Utrecht, gem. 501 - 1000 inw.;134
222;Woningen met 1 vertrek;Utrecht, gem. 500 en minder inw.;64
223;Woningen met 1 vertrek;Noord-Holland, gem. 100001 en meer inw.;29437
224;Woningen met 1 vertrek;Amsterdam;27904
225;Woningen met 1 vertrek;Haarlem;1533
226;Woningen met 1 vertrek;Noord-Holland, gem. 50001 - 100000 inw.;556
227;Woningen met 1 vertrek;Hilversum;556
228;Woningen met 1 vertrek;Noord-Holland, gem. 20001 - 50000 inw.;1924
229;Woningen met 1 vertrek;Alkmaar;235
230;Woningen met 1 vertrek;Bussum;173
231;Woningen met 1 vertrek;Haarlemmermeer;456
232;Woningen met 1 vertrek;Helder (Den);275
233;Woningen met 1 vertrek;Velsen;398
234;Woningen met 1 vertrek;Zaandam;387
235;Woningen met 1 vertrek;Noord-Holland, gem. 10001 - 20000 inw.;394
236;Woningen met 1 vertrek;Noord-Holland, gem. 5001 - 10000 inw.;2559
237;Woningen met 1 vertrek;Noord-Holland, gem. 2001 - 5000 inw.;3837
238;Woningen met 1 vertrek;Noord-Holland, gem. 1001 - 2000 inw.;2518
239;Woningen met 1 vertrek;Noord-Holland, gem. 501 - 1000 inw.;432
240;Woningen met 1 vertrek;Noord-Holland, gem. 500 en minder inw.;81
241;Woningen met 1 vertrek;Zuid-Holland, gem. 100001 en meer inw.;29138
242;Woningen met 1 vertrek;'s-Gravenhage;16521
243;Woningen met 1 vertrek;Rotterdam;12617
244;Woningen met 1 vertrek;Zuid-Holland, gem. 50001 - 100000 inw.;3693
245;Woningen met 1 vertrek;Delft;498
246;Woningen met 1 vertrek;Dordrecht;650
247;Woningen met 1 vertrek;Leiden;1557
248;Woningen met 1 vertrek;Schiedam;988
249;Woningen met 1 vertrek;Zuid-Holland, gem. 20001 - 50000 inw.;671
250;Woningen met 1 vertrek;Gouda;309
251;Woningen met 1 vertrek;Vlaardingen;362
252;Woningen met 1 vertrek;Zuid-Holland, gem. 10001 - 20000 inw.;3838
253;Woningen met 1 vertrek;Zuid-Holland, gem. 5001 - 10000 inw.;4365
254;Woningen met 1 vertrek;Zuid-Holland, gem. 2001 - 5000 inw.;11925
255;Woningen met 1 vertrek;Zuid-Holland, gem. 1001 - 2000 inw.;5239
256;Woningen met 1 vertrek;Zuid-Holland, gem. 501 - 1000 inw.;1615
257;Woningen met 1 vertrek;Zuid-Holland, gem. 500 en minder inw.;86
258;Woningen met 1 vertrek;Zeeland, gem. 20001 - 50000 inw.;264
259;Woningen met 1 vertrek;Vlissingen;264
260;Woningen met 1 vertrek;Zeeland, gem. 10001 - 20000 inw.;557
261;Woningen met 1 vertrek;Zeeland, gem. 5001 - 10000 inw.;703
262;Woningen met 1 vertrek;Zeeland, gem. 2001 - 5000 inw.;6253
263;Woningen met 1 vertrek;Zeeland, gem. 1001 - 2000 inw.;2796
264;Woningen met 1 vertrek;Zeeland, gem. 501 - 1000 inw.;1734
265;Woningen met 1 vertrek;Zeeland, gem. 500 en minder inw.;51
266;Woningen met 1 vertrek;Noord-Brabant, gem. 50001 - 100000 inw.;679
267;Woningen met 1 vertrek;Eindhoven;461
268;Woningen met 1 vertrek;Tilburg;218
269;Woningen met 1 vertrek;Noord-Brabant, gem. 20001 - 50000 inw.;2792
270;Woningen met 1 vertrek;Bergen op Zoom;332
271;Woningen met 1 vertrek;Breda;770
272;Woningen met 1 vertrek;Helmond;99
273;Woningen met 1 vertrek;'s-Hertogenbosch;692
274;Woningen met 1 vertrek;Roosendaal en Nispen;899
275;Woningen met 1 vertrek;Noord-Brabant, gem. 10001 - 20000 inw.;1646
276;Woningen met 1 vertrek;Noord-Brabant, gem. 5001 - 10000 inw.;5437
277;Woningen met 1 vertrek;Noord-Brabant, gem. 2001 - 5000 inw.;5896
278;Woningen met 1 vertrek;Noord-Brabant, gem. 1001 - 2000 inw.;1506
279;Woningen met 1 vertrek;Noord-Brabant, gem. 501 - 1000 inw.;239
280;Woningen met 1 vertrek;Limburg, gem. 50001 - 100000 inw.;2093
281;Woningen met 1 vertrek;Maastricht;2093
282;Woningen met 1 vertrek;Limburg, gem. 20001 - 50000 inw.;1418
283;Woningen met 1 vertrek;Heerlen;816
284;Woningen met 1 vertrek;Kerkrade;383
285;Woningen met 1 vertrek;Venlo;219
286;Woningen met 1 vertrek;Limburg, gem. 10001 - 20000 inw.;981
287;Woningen met 1 vertrek;Limburg, gem. 5001 - 10000 inw.;673
288;Woningen met 1 vertrek;Limburg, gem. 2001 - 5000 inw.;487
289;Woningen met 1 vertrek;Limburg, gem. 1001 - 2000 inw.;188
290;Woningen met 1 vertrek;Limburg, gem. 501 - 1000 inw.;28
291;Woningen met 1 vertrek;Limburg, gem. 500 en minder inw.;4
292;Woningen met 2 vertrekken;Nederland;939908
293;Woningen met 2 vertrekken;Groningen (provincie);96713
294;Woningen met 2 vertrekken;Friesland;101445
295;Woningen met 2 vertrekken;Drenthe;63700
296;Woningen met 2 vertrekken;Overijssel;60107
297;Woningen met 2 vertrekken;Gelderland;87789
298;Woningen met 2 vertrekken;Utrecht (provincie);31811
299;Woningen met 2 vertrekken;Noord-Holland;123802
300;Woningen met 2 vertrekken;Zuid-Holland;195292
301;Woningen met 2 vertrekken;Zeeland;55290
302;Woningen met 2 vertrekken;Noord-Brabant;96811
303;Woningen met 2 vertrekken;Limburg;27148
304;Woningen met 2 vertrekken;Gemeenten met meer dan 100000 inwoners;155306
305;Woningen met 2 vertrekken;Gemeenten met 50001 - 100000 inwoners;45366
306;Woningen met 2 vertrekken;Gemeenten met 20001 - 50000 inwoners;74393
307;Woningen met 2 vertrekken;Gemeenten met 10001 - 20000 inwoners;165101
308;Woningen met 2 vertrekken;Gemeenten met 5001 - 10000 inwoners;196320
309;Woningen met 2 vertrekken;Gemeenten met 2001 - 5000 inwoners;216441
310;Woningen met 2 vertrekken;Gemeenten met 1001 - 2000 inwoners;64147
311;Woningen met 2 vertrekken;Gemeenten met 501 - 1000 inwoners;20796
312;Woningen met 2 vertrekken;Gemeenten met 500 of minder inwoners;2038
313;Woningen met 2 vertrekken;Groningen, gem. 100001 en meer inw.;12484
314;Woningen met 2 vertrekken;Groningen;12484
315;Woningen met 2 vertrekken;Groningen, gem. 10001 - 20000 inw.;23384
316;Woningen met 2 vertrekken;Groningen, gem. 5001 - 10000 inw.;27735
317;Woningen met 2 vertrekken;Groningen, gem. 2001 - 5000 inw.;29281
318;Woningen met 2 vertrekken;Groningen, gem. 1001 - 2000 inw.;3829
319;Woningen met 2 vertrekken;Friesland, gem. 20001 - 50000 inw.;5995
320;Woningen met 2 vertrekken;Leeuwarden;5995
321;Woningen met 2 vertrekken;Friesland, gem. 10001 - 20000 inw.;60544
322;Woningen met 2 vertrekken;Friesland, gem. 5001 - 10000 inw.;27062
323;Woningen met 2 vertrekken;Friesland, gem. 2001 - 5000 inw.;6304
324;Woningen met 2 vertrekken;Friesland, gem. 1001 - 2000 inw.;1020
325;Woningen met 2 vertrekken;Friesland, gem. 501 - 1000 inw.;520
326;Woningen met 2 vertrekken;Drenthe, gem. 20001 - 50000 inw.;10267
327;Woningen met 2 vertrekken;Emmen;10267
328;Woningen met 2 vertrekken;Drenthe, gem. 10001 - 20000 inw.;11990
329;Woningen met 2 vertrekken;Drenthe, gem. 5001 - 10000 inw.;19431
330;Woningen met 2 vertrekken;Drenthe, gem. 2001 - 5000 inw.;20684
331;Woningen met 2 vertrekken;Drenthe, gem. 1001 - 2000 inw.;1328
332;Woningen met 2 vertrekken;Overijssel, gem. 50001 - 100000 inw.;1196
333;Woningen met 2 vertrekken;Enschede;1196
334;Woningen met 2 vertrekken;Overijssel, gem. 20001 - 50000 inw.;11447
335;Woningen met 2 vertrekken;Almelo;3027
336;Woningen met 2 vertrekken;Deventer;2204
337;Woningen met 2 vertrekken;Hengelo (O.);896
338;Woningen met 2 vertrekken;Lonneker;1049
339;Woningen met 2 vertrekken;Zwolle;4271
340;Woningen met 2 vertrekken;Overijssel, gem. 10001 - 20000 inw.;9637
341;Woningen met 2 vertrekken;Overijssel, gem. 5001 - 10000 inw.;23321
342;Woningen met 2 vertrekken;Overijssel, gem. 2001 - 5000 inw.;11379
343;Woningen met 2 vertrekken;Overijssel, gem. 1001 - 2000 inw.;1665
344;Woningen met 2 vertrekken;Overijssel, gem. 501 - 1000 inw.;1462
345;Woningen met 2 vertrekken;Gelderland, gem. 50001 - 100000 inw.;13389
346;Woningen met 2 vertrekken;Apeldoorn;4572
347;Woningen met 2 vertrekken;Arnhem;5471
348;Woningen met 2 vertrekken;Nijmegen;3346
349;Woningen met 2 vertrekken;Gelderland, gem. 20001 - 50000 inw.;5077
350;Woningen met 2 vertrekken;Ede;3168
351;Woningen met 2 vertrekken;Rheden;1909
352;Woningen met 2 vertrekken;Gelderland, gem. 10001 - 20000 inw.;21000
353;Woningen met 2 vertrekken;Gelderland, gem. 5001 - 10000 inw.;23488
354;Woningen met 2 vertrekken;Gelderland, gem. 2001 - 5000 inw.;17864
355;Woningen met 2 vertrekken;Gelderland, gem. 1001 - 2000 inw.;6625
356;Woningen met 2 vertrekken;Gelderland, gem. 501 - 1000 inw.;312
357;Woningen met 2 vertrekken;Gelderland, gem. 500 en minder inw.;34
358;Woningen met 2 vertrekken;Utrecht, gem. 100001 en meer inw.;8831
359;Woningen met 2 vertrekken;Utrecht;8831
360;Woningen met 2 vertrekken;Utrecht, gem. 20001 - 50000 inw.;3148
361;Woningen met 2 vertrekken;Amersfoort;2197
362;Woningen met 2 vertrekken;Zeist;951
363;Woningen met 2 vertrekken;Utrecht, gem. 10001 - 20000 inw.;1722
364;Woningen met 2 vertrekken;Utrecht, gem. 5001 - 10000 inw.;2594
365;Woningen met 2 vertrekken;Utrecht, gem. 2001 - 5000 inw.;10345
366;Woningen met 2 vertrekken;Utrecht, gem. 1001 - 2000 inw.;3486
367;Woningen met 2 vertrekken;Utrecht, gem. 501 - 1000 inw.;1429
368;Woningen met 2 vertrekken;Utrecht, gem. 500 en minder inw.;256
369;Woningen met 2 vertrekken;Noord-Holland, gem. 100001 en meer inw.;53730
370;Woningen met 2 vertrekken;Amsterdam;48941
371;Woningen met 2 vertrekken;Haarlem;4789
372;Woningen met 2 vertrekken;Noord-Holland, gem. 50001 - 100000 inw.;1821
373;Woningen met 2 vertrekken;Hilversum;1821
374;Woningen met 2 vertrekken;Noord-Holland, gem. 20001 - 50000 inw.;12019
375;Woningen met 2 vertrekken;Alkmaar;1140
376;Woningen met 2 vertrekken;Bussum;648
377;Woningen met 2 vertrekken;Haarlemmermeer;4652
378;Woningen met 2 vertrekken;Helder (Den);1619
379;Woningen met 2 vertrekken;Velsen;1389
380;Woningen met 2 vertrekken;Zaandam;2571
381;Woningen met 2 vertrekken;Noord-Holland, gem. 10001 - 20000 inw.;2272
382;Woningen met 2 vertrekken;Noord-Holland, gem. 5001 - 10000 inw.;16761
383;Woningen met 2 vertrekken;Noord-Holland, gem. 2001 - 5000 inw.;23424
384;Woningen met 2 vertrekken;Noord-Holland, gem. 1001 - 2000 inw.;10263
385;Woningen met 2 vertrekken;Noord-Holland, gem. 501 - 1000 inw.;2870
386;Woningen met 2 vertrekken;Noord-Holland, gem. 500 en minder inw.;642
387;Woningen met 2 vertrekken;Zuid-Holland, gem. 100001 en meer inw.;80261
388;Woningen met 2 vertrekken;'s-Gravenhage;19913
389;Woningen met 2 vertrekken;Rotterdam;60348
390;Woningen met 2 vertrekken;Zuid-Holland, gem. 50001 - 100000 inw.;17024
391;Woningen met 2 vertrekken;Delft;2651
392;Woningen met 2 vertrekken;Dordrecht;3542
393;Woningen met 2 vertrekken;Leiden;6898
394;Woningen met 2 vertrekken;Schiedam;3933
395;Woningen met 2 vertrekken;Zuid-Holland, gem. 20001 - 50000 inw.;4011
396;Woningen met 2 vertrekken;Gouda;1247
397;Woningen met 2 vertrekken;Vlaardingen;2764
398;Woningen met 2 vertrekken;Zuid-Holland, gem. 10001 - 20000 inw.;16120
399;Woningen met 2 vertrekken;Zuid-Holland, gem. 5001 - 10000 inw.;18827
400;Woningen met 2 vertrekken;Zuid-Holland, gem. 2001 - 5000 inw.;39324
401;Woningen met 2 vertrekken;Zuid-Holland, gem. 1001 - 2000 inw.;13861
402;Woningen met 2 vertrekken;Zuid-Holland, gem. 501 - 1000 inw.;5364
403;Woningen met 2 vertrekken;Zuid-Holland, gem. 500 en minder inw.;500
404;Woningen met 2 vertrekken;Zeeland, gem. 20001 - 50000 inw.;1602
405;Woningen met 2 vertrekken;Vlissingen;1602
406;Woningen met 2 vertrekken;Zeeland, gem. 10001 - 20000 inw.;3827
407;Woningen met 2 vertrekken;Zeeland, gem. 5001 - 10000 inw.;4162
408;Woningen met 2 vertrekken;Zeeland, gem. 2001 - 5000 inw.;24994
409;Woningen met 2 vertrekken;Zeeland, gem. 1001 - 2000 inw.;12853
410;Woningen met 2 vertrekken;Zeeland, gem. 501 - 1000 inw.;7324
411;Woningen met 2 vertrekken;Zeeland, gem. 500 en minder inw.;528
412;Woningen met 2 vertrekken;Noord-Brabant, gem. 50001 - 100000 inw.;3741
413;Woningen met 2 vertrekken;Eindhoven;1546
414;Woningen met 2 vertrekken;Tilburg;2195
415;Woningen met 2 vertrekken;Noord-Brabant, gem. 20001 - 50000 inw.;15639
416;Woningen met 2 vertrekken;Bergen op Zoom;2008
417;Woningen met 2 vertrekken;Breda;4275
418;Woningen met 2 vertrekken;Helmond;2445
