ID;Energiedragers;NederlandseEconomie;Perioden;Winning_1;IntermediairEnHuishoudelijkVerbruik_2;Invoer_3;Productie_4;NettoEnergieverbruik_5;Uitvoer_6
61;Totaal energiedragers;B Delfstoffenwinning;2021;687.1;33.4;;684.4;36.1;
62;Totaal energiedragers;B Delfstoffenwinning;2022;561.6;29.1;;559.3;31.3;
63;Totaal energiedragers;C Industrie;2014;0.6;4650.0;;3313.7;1336.9;
64;Totaal energiedragers;C Industrie;2015;0.8;4982.5;;3662.5;1320.8;
65;Totaal energiedragers;C Industrie;2016;0.7;5191.5;;3843.9;1348.3;
66;Totaal energiedragers;C Industrie;2017;0.8;5295.3;;3915.2;1381.0;
67;Totaal energiedragers;C Industrie;2018;0.9;5572.6;;4239.7;1333.8;
68;Totaal energiedragers;C Industrie;2019;1.3;5834.9;;4528.0;1308.2;
69;Totaal energiedragers;C Industrie;2020;2.1;5196.1;;3877.7;1320.5;
70;Totaal energiedragers;C Industrie;2021;2.6;5521.3;;4172.1;1351.7;
71;Totaal energiedragers;C Industrie;2022;3.8;5409.7;;4222.8;1190.6;
72;Totaal energiedragers;10-12 Voedings-, genotmiddelenindustrie;2014;;119.1;;28.1;90.9;
73;Totaal energiedragers;10-12 Voedings-, genotmiddelenindustrie;2015;;114.1;;26.7;87.4;
74;Totaal energiedragers;10-12 Voedings-, genotmiddelenindustrie;2016;;112.9;;25.2;87.7;
75;Totaal energiedragers;10-12 Voedings-, genotmiddelenindustrie;2017;;114.3;;25.0;89.3;
76;Totaal energiedragers;10-12 Voedings-, genotmiddelenindustrie;2018;0.0;114.9;;23.8;91.1;
77;Totaal energiedragers;10-12 Voedings-, genotmiddelenindustrie;2019;0.1;116.1;;28.5;87.7;
78;Totaal energiedragers;10-12 Voedings-, genotmiddelenindustrie;2020;0.2;117.3;;31.5;86.0;
79;Totaal energiedragers;10-12 Voedings-, genotmiddelenindustrie;2021;0.2;114.7;;28.2;86.7;
80;Totaal energiedragers;10-12 Voedings-, genotmiddelenindustrie;2022;0.3;112.5;;28.7;84.1;
81;Totaal energiedragers;13-15 Textiel-, kleding-, lederindustrie;2014;;4.6;;;4.6;
82;Totaal energiedragers;13-15 Textiel-, kleding-, lederindustrie;2015;;4.4;;;4.4;
83;Totaal energiedragers;13-15 Textiel-, kleding-, lederindustrie;2016;;4.3;;;4.3;
84;Totaal energiedragers;13-15 Textiel-, kleding-, lederindustrie;2017;;4.0;;;4.0;
85;Totaal energiedragers;13-15 Textiel-, kleding-, lederindustrie;2018;0.0;4.1;;0.0;4.1;
86;Totaal energiedragers;13-15 Textiel-, kleding-, lederindustrie;2019;0.0;4.4;;0.0;4.4;
87;Totaal energiedragers;13-15 Textiel-, kleding-, lederindustrie;2020;0.0;4.2;;0.0;4.2;
88;Totaal energiedragers;13-15 Textiel-, kleding-, lederindustrie;2021;0.1;4.2;;0.1;4.2;
89;Totaal energiedragers;13-15 Textiel-, kleding-, lederindustrie;2022;0.1;3.8;;0.1;3.8;
90;Totaal energiedragers;16 Houtindustrie;2014;;3.7;;0.4;3.3;
91;Totaal energiedragers;16 Houtindustrie;2015;;3.6;;0.4;3.3;
92;Totaal energiedragers;16 Houtindustrie;2016;;3.7;;0.4;3.3;
93;Totaal energiedragers;16 Houtindustrie;2017;;2.6;;0.4;2.3;
94;Totaal energiedragers;16 Houtindustrie;2018;;3.7;;0.9;2.8;
95;Totaal energiedragers;16 Houtindustrie;2019;0.0;3.6;;0.9;2.7;
96;Totaal energiedragers;16 Houtindustrie;2020;0.0;4.0;;1.1;3.0;
97;Totaal energiedragers;16 Houtindustrie;2021;0.0;7.2;;3.4;3.8;
98;Totaal energiedragers;16 Houtindustrie;2022;0.1;7.0;;4.2;2.9;
99;Totaal energiedragers;17 Papierindustrie;2014;;39.8;;12.1;27.7;
100;Totaal energiedragers;17 Papierindustrie;2015;;38.1;;11.4;26.7;
101;Totaal energiedragers;17 Papierindustrie;2016;;36.2;;10.7;25.5;
102;Totaal energiedragers;17 Papierindustrie;2017;;36.2;;9.6;26.7;
103;Totaal energiedragers;17 Papierindustrie;2018;0.0;35.3;;9.8;25.6;
104;Totaal energiedragers;17 Papierindustrie;2019;0.0;33.3;;9.2;24.2;
105;Totaal energiedragers;17 Papierindustrie;2020;0.0;32.2;;8.7;23.5;
106;Totaal energiedragers;17 Papierindustrie;2021;0.0;32.1;;9.7;22.5;
107;Totaal energiedragers;17 Papierindustrie;2022;0.0;28.6;;7.8;20.9;
108;Totaal energiedragers;18 Grafische industrie;2014;;3.0;;;3.0;
109;Totaal energiedragers;18 Grafische industrie;2015;;3.0;;;3.0;
110;Totaal energiedragers;18 Grafische industrie;2016;;3.4;;;3.4;
111;Totaal energiedragers;18 Grafische industrie;2017;;3.0;;;3.0;
112;Totaal energiedragers;18 Grafische industrie;2018;0.0;2.3;;0.0;2.3;
113;Totaal energiedragers;18 Grafische industrie;2019;0.0;2.0;;0.0;2.0;
114;Totaal energiedragers;18 Grafische industrie;2020;0.0;1.9;;0.0;1.9;
115;Totaal energiedragers;18 Grafische industrie;2021;0.0;1.7;;0.0;1.7;
116;Totaal energiedragers;18 Grafische industrie;2022;0.1;1.8;;0.1;1.8;
117;Totaal energiedragers;19 Aardolie-industrie;2014;;3161.9;;2908.2;253.7;
118;Totaal energiedragers;19 Aardolie-industrie;2015;;3456.2;;3252.5;203.7;
119;Totaal energiedragers;19 Aardolie-industrie;2016;;3614.5;;3427.0;187.5;
120;Totaal energiedragers;19 Aardolie-industrie;2017;;3665.5;;3482.0;183.5;
121;Totaal energiedragers;19 Aardolie-industrie;2018;;3994.0;;3809.9;184.1;
122;Totaal energiedragers;19 Aardolie-industrie;2019;;4300.6;;4093.3;207.3;
123;Totaal energiedragers;19 Aardolie-industrie;2020;;3606.1;;3417.0;189.1;
124;Totaal energiedragers;19 Aardolie-industrie;2021;0.0;3921.7;;3708.1;213.6;
125;Totaal energiedragers;19 Aardolie-industrie;2022;0.0;3972.4;;3765.0;207.3;
126;Totaal energiedragers;20 Chemische industrie;2014;0.6;980.9;;234.5;747.0;
127;Totaal energiedragers;20 Chemische industrie;2015;0.8;1024.3;;252.9;772.2;
128;Totaal energiedragers;20 Chemische industrie;2016;0.7;1078.9;;264.1;815.5;
