ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
116;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 9;2139
117;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 10;2075
118;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 11;2062
119;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 12;2188
120;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 13;2050
121;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 14;2042
122;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 15;2072
123;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 16;2061
124;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 17;2081
125;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 18;2061
126;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 19;1984
127;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 20;2040
128;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 21;2066
129;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 22;2070
130;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 23;1946
131;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 24;1987
132;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 25;2071
133;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 26;2279
134;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 27;2102
135;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 28;1964
136;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 29;1923
137;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 30;1965
138;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 31;2127
139;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 32;1914
140;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 33;2146
141;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 34;1940
142;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 35;1965
143;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 36;1990
144;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 37;1895
145;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 38;1982
146;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 39;2015
147;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 40;2040
148;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 41;2013
149;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 42;2191
150;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 43;2054
151;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 44;2096
152;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 45;2039
153;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 46;2043
154;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 47;2057
155;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 48;2124
156;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 49;2196
157;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 50;2154
158;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 51;2237
159;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 52;2173
160;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 53 (1 dag);345
161;Totaal mannen en vrouwen;Totaal leeftijd;1973;110682
162;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 1 (6 dagen);1981
163;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 2;2274
164;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 3;2218
165;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 4;2269
166;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 5;2260
167;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 6;2266
168;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 7;2209
169;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 8;2079
170;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 9;2198
171;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 10;2154
