ID;IndustryBranchesSIC2008;Periods;EnterprisesApplyingForAnEPOPatent_1;PatentApplicationsAtTheEPO_2;EnterprisesApplyingForANLOCPatent_3;PatentApplicationsAtTheNLOC_4
59;28 Manufacture of machinery n.e.c.;2010;63.0;193.0;68.0;336.0
60;29 Manufacture of cars and trailers;2009;13.0;26.0;14.0;25.0
61;29 Manufacture of cars and trailers;2010;12.0;23.0;12.0;30.0
62;30 Manufacture of other transport;2009;6.0;9.0;11.0;24.0
63;30 Manufacture of other transport;2010;7.0;13.0;13.0;25.0
64;31 Manufacture of furniture;2009;3.0;4.0;7.0;8.0
65;31 Manufacture of furniture;2010;2.0;3.0;6.0;9.0
66;32 Manufacture of other products;2009;19.0;22.0;10.0;13.0
67;32 Manufacture of other products;2010;12.0;14.0;16.0;20.0
68;33 Repair and installation of machinery;2009;9.0;12.0;23.0;35.0
69;33 Repair and installation of machinery;2010;14.0;20.0;10.0;11.0
70;D Electricity and gas supply;2009;7.0;12.0;2.0;4.0
71;D Electricity and gas supply;2010;4.0;5.0;5.0;7.0
72;35 Electricity and gas supply;2009;7.0;12.0;2.0;4.0
73;35 Electricity and gas supply;2010;4.0;5.0;5.0;7.0
74;E Water supply and waste management;2009;6.0;7.0;3.0;4.0
75;E Water supply and waste management;2010;3.0;3.0;7.0;8.0
76;36 Water collection and distribution;2009;1.0;2.0;1.0;1.0
77;36 Water collection and distribution;2010;1.0;1.0;1.0;1.0
78;37 Sewerage ;2009;1.0;1.0;;
79;37 Sewerage ;2010;;;;
80;38 Waste collection and treatment;2009;4.0;4.0;2.0;3.0
81;38 Waste collection and treatment;2010;1.0;1.0;6.0;8.0
82;39 Remediation, other waste management ;2009;;;;
83;39 Remediation, other waste management ;2010;1.0;1.0;;
84;F Construction;2009;20.0;26.0;71.0;85.0
85;F Construction;2010;30.0;35.0;84.0;100.0
86;41 Construction buildings, development;2009;9.0;11.0;22.0;27.0
87;41 Construction buildings, development;2010;7.0;9.0;23.0;24.0
88;42 Civil engineering;2009;5.0;7.0;12.0;16.0
89;42 Civil engineering;2010;9.0;14.0;12.0;24.0
90;43 Specialised construction activities;2009;6.0;8.0;37.0;43.0
91;43 Specialised construction activities;2010;14.0;13.0;49.0;52.0
92;G+I Trade, hotels, restaurants, bars;2009;139.0;244.0;209.0;281.0
93;G+I Trade, hotels, restaurants, bars;2010;130.0;225.0;235.0;302.0
94;G Wholesale and retail trade;2009;137.0;243.0;203.0;275.0
95;G Wholesale and retail trade;2010;129.0;224.0;231.0;298.0
96;45 Sale and repair of motor vehicles;2009;6.0;12.0;11.0;17.0
97;45 Sale and repair of motor vehicles;2010;5.0;5.0;16.0;19.0
98;46 Wholesale trade (no motor vehicles);2009;121.0;217.0;175.0;238.0
99;46 Wholesale trade (no motor vehicles);2010;112.0;209.0;192.0;253.0
100;47 Retail trade (not in motor vehicles);2009;10.0;15.0;17.0;21.0
101;47 Retail trade (not in motor vehicles);2010;12.0;11.0;23.0;26.0
102;H+J Transport, ICT;2009;28.0;69.0;51.0;52.0
103;H+J Transport, ICT;2010;35.0;77.0;38.0;41.0
104;H Transportation and storage;2009;4.0;5.0;10.0;13.0
105;H Transportation and storage;2010;4.0;5.0;6.0;7.0
106;49 Land transport ;2009;;;4.0;6.0
107;49 Land transport ;2010;1.0;1.0;3.0;4.0
108;50 Water transport ;2009;;;;
109;50 Water transport ;2010;;;1.0;1.0
110;51 Air transport ;2009;;;1.0;2.0
111;51 Air transport ;2010;;;;
112;52 Warehousing, services for transport;2009;3.0;4.0;5.0;5.0
113;52 Warehousing, services for transport;2010;2.0;3.0;2.0;2.0
114;53 Postal and courier activities;2009;1.0;1.0;;
115;53 Postal and courier activities;2010;1.0;1.0;;
116;I Accommodation and food serving;2009;2.0;2.0;6.0;6.0
117;I Accommodation and food serving;2010;1.0;1.0;4.0;4.0
118;55 Accommodation;2009;;;1.0;1.0
119;55 Accommodation;2010;;;1.0;1.0
120;56 Food and beverage service activities;2009;2.0;2.0;5.0;5.0
121;56 Food and beverage service activities;2010;1.0;1.0;3.0;3.0
122;J Information and communication;2009;24.0;64.0;41.0;39.0
123;J Information and communication;2010;31.0;72.0;32.0;35.0
124;58 Publishing ;2009;;;1.0;1.0
125;58 Publishing ;2010;;;1.0;1.0
126;59 Film, TV and music production etc;2009;2.0;2.0;;
127;59 Film, TV and music production etc;2010;1.0;1.0;2.0;1.0
128;60 Programming and broadcasting;2009;1.0;3.0;;
129;60 Programming and broadcasting;2010;;;;
130;61 Telecommunications;2009;1.0;14.0;3.0;3.0
131;61 Telecommunications;2010;4.0;22.0;1.0;1.0
132;62 Support activities in the field of IT;2009;19.0;44.0;35.0;33.0
133;62 Support activities in the field of IT;2010;25.0;48.0;26.0;29.0
134;63 Information service activities;2009;1.0;1.0;2.0;2.0
135;63 Information service activities;2010;1.0;1.0;2.0;3.0
136;K Financial institutions;2009;36.0;58.0;73.0;84.0
137;K Financial institutions;2010;18.0;31.0;45.0;48.0
138;64 Financial institutions, no insurance;2009;32.0;54.0;62.0;65.0
139;64 Financial institutions, no insurance;2010;16.0;29.0;39.0;42.0
140;65 Insurance and pension funding;2009;;;;
141;65 Insurance and pension funding;2010;;;;
142;66 Other financial services;2009;4.0;4.0;11.0;19.0
143;66 Other financial services;2010;2.0;2.0;6.0;7.0
144;L Renting, buying, selling real estate;2009;7.0;8.0;11.0;13.0
145;L Renting, buying, selling real estate;2010;2.0;2.0;8.0;10.0
146;68 Renting, buying, selling real estate;2009;7.0;8.0;11.0;13.0
147;68 Renting, buying, selling real estate;2010;2.0;2.0;8.0;10.0
148;M-U Business and other services;2009;240.0;850.0;322.0;413.0
149;M-U Business and other services;2010;206.0;656.0;320.0;418.0
150;M Other specialised business services;2009;169.0;665.0;239.0;293.0
151;M Other specialised business services;2010;151.0;512.0;241.0;296.0
152;69 Legal services, administration etc.;2009;4.0;5.0;7.0;9.0
153;69 Legal services, administration etc.;2010;6.0;6.0;7.0;7.0
154;70 Holding companies (not financial);2009;19.0;22.0;46.0;53.0
155;70 Holding companies (not financial);2010;21.0;162.0;37.0;39.0
156;71 Architects, technical services etc.;2009;68.0;94.0;115.0;129.0
157;71 Architects, technical services etc.;2010;52.0;87.0;122.0;143.0
158;72 Research and development;2009;64.0;528.0;33.0;64.0
159;72 Research and development;2010;56.0;236.0;39.0;71.0
160;73 Advertising and market research;2009;5.0;7.0;25.0;25.0
161;73 Advertising and market research;2010;6.0;8.0;23.0;22.0
162;74 Other specialised business services;2009;7.0;7.0;12.0;14.0
163;74 Other specialised business services;2010;10.0;13.0;12.0;14.0
164;75 Veterinary activities;2009;2.0;2.0;1.0;1.0
165;75 Veterinary activities;2010;;;1.0;1.0
166;N Renting and other business support;2009;27.0;38.0;32.0;38.0
167;N Renting and other business support;2010;16.0;30.0;28.0;42.0
168;77 Renting and leasing of tangible goods;2009;19.0;30.0;18.0;24.0
169;77 Renting and leasing of tangible goods;2010;10.0;17.0;17.0;32.0
170;78 Employment activities;2009;3.0;2.0;5.0;5.0
171;78 Employment activities;2010;3.0;11.0;2.0;2.0
172;79 Travel agencies, tour operators etc;2009;;;1.0;1.0
173;79 Travel agencies, tour operators etc;2010;;;;
174;80 Security and investigation;2009;2.0;3.0;;
175;80 Security and investigation;2010;;;2.0;3.0
176;81 Facility management;2009;3.0;3.0;8.0;8.0
177;81 Facility management;2010;3.0;2.0;7.0;5.0
178;82 Other business services;2009;;;;
179;82 Other business services;2010;;;;
180;O Public administration and services;2009;1.0;3.0;1.0;1.0
181;O Public administration and services;2010;;;1.0;1.0
182;84 Public administration and services;2009;1.0;3.0;1.0;1.0
183;84 Public administration and services;2010;;;1.0;1.0
184;P Education;2009;12.0;61.0;5.0;36.0
185;P Education;2010;13.0;58.0;17.0;49.0
186;85 Education;2009;12.0;61.0;5.0;36.0
187;85 Education;2010;13.0;58.0;17.0;49.0
188;Q Health and social work activities;2009;17.0;50.0;13.0;13.0
189;Q Health and social work activities;2010;16.0;43.0;10.0;10.0
190;86 Human health activities;2009;17.0;50.0;12.0;13.0
191;86 Human health activities;2010;15.0;42.0;9.0;9.0
192;87 Residential care and guidance;2009;;;;
193;87 Residential care and guidance;2010;;;;
194;88 Social work without accommodation;2009;;;1.0;1.0
195;88 Social work without accommodation;2010;1.0;1.0;1.0;1.0
196;R Culture, sports and recreation;2009;6.0;6.0;21.0;22.0
197;R Culture, sports and recreation;2010;3.0;3.0;10.0;9.0
198;90 Arts;2009;4.0;4.0;14.0;15.0
199;90 Arts;2010;2.0;2.0;7.0;7.0
200;91 Libraries, museums, zoos etc;2009;;;;
201;91 Libraries, museums, zoos etc;2010;;;;
202;92 Lotteries and betting;2009;;;1.0;1.0
203;92 Lotteries and betting;2010;;;;
204;93 Sports and recreation;2009;2.0;2.0;6.0;7.0
205;93 Sports and recreation;2010;1.0;1.0;3.0;3.0
206;S Other service activities;2009;8.0;26.0;11.0;10.0
207;S Other service activities;2010;7.0;10.0;13.0;12.0
208;94 Membership organisations;2009;7.0;25.0;6.0;5.0
209;94 Membership organisations;2010;4.0;7.0;3.0;3.0
210;95 Repair computers and consumer goods;2009;;;;
211;95 Repair computers and consumer goods;2010;1.0;1.0;3.0;3.0
212;96 Other personal services;2009;1.0;1.0;5.0;5.0
213;96 Other personal services;2010;2.0;2.0;7.0;6.0
214;T Activities of households;2009;;;;
215;T Activities of households;2010;;;;
216;97 Households with domestic personnel ;2009;;;;
217;97 Households with domestic personnel ;2010;;;;
218;98 Households producing for own use;2009;;;;
219;98 Households producing for own use;2010;;;;
220;U Extraterritorial organisations;2009;;;;
221;U Extraterritorial organisations;2010;;;;
222;99 Extraterritorial organisations ;2009;;;;
223;99 Extraterritorial organisations ;2010;;;;
224;112;2009;;104.0;;188.0
225;112;2010;;76.0;;226.0
