ID;CompanySize;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverChange_2
124;All companies;43 Specialised construction activities;2005;100;6.1
125;All companies;43 Specialised construction activities;2006 1st quarter;90;10.7
126;All companies;43 Specialised construction activities;2006 2nd quarter;110;5.7
127;All companies;43 Specialised construction activities;2006 3rd quarter;101;6.2
128;All companies;43 Specialised construction activities;2006 4th quarter;130;9.0
129;All companies;43 Specialised construction activities;2006;108;7.8
130;All companies;43 Specialised construction activities;2007 1st quarter;103;14.1
131;All companies;43 Specialised construction activities;2007 2nd quarter;123;11.2
132;All companies;43 Specialised construction activities;2007 3rd quarter;111;10.5
133;All companies;43 Specialised construction activities;2007 4th quarter;142;8.9
134;All companies;43 Specialised construction activities;2007;120;10.9
135;All companies;43 Specialised construction activities;2008 1st quarter;115;11.6
136;All companies;43 Specialised construction activities;2008 2nd quarter;139;13.2
137;All companies;43 Specialised construction activities;2008 3rd quarter;125;12.3
138;All companies;43 Specialised construction activities;2008 4th quarter;151;6.8
139;All companies;43 Specialised construction activities;2008;132;10.7
140;All companies;43 Specialised construction activities;2009 1st quarter;118;2.3
141;All companies;43 Specialised construction activities;2009 2nd quarter;134;-3.4
142;All companies;43 Specialised construction activities;2009 3rd quarter;118;-5.4
143;All companies;43 Specialised construction activities;2009 4th quarter;138;-8.5
144;All companies;43 Specialised construction activities;2009;127;-4.1
145;All companies;43 Specialised construction activities;2010 1st quarter;101;-14.4
146;All companies;43 Specialised construction activities;2010 2nd quarter;125;-7.2
147;All companies;43 Specialised construction activities;2010 3rd quarter;113;-4.3
148;All companies;43 Specialised construction activities;2010 4th quarter;134;-3.1
149;All companies;43 Specialised construction activities;2010;118;-7.1
150;All companies;43 Specialised construction activities;2011 1st quarter;109;8.2
151;All companies;43 Specialised construction activities;2011 2nd quarter;131;5.0
152;All companies;43 Specialised construction activities;2011 3rd quarter;117;3.6
153;All companies;43 Specialised construction activities;2011 4rd quarter;138;3.0
154;All companies;43 Specialised construction activities;2011;124;4.8
155;All companies;43 Specialised construction activities;2012 1st quarter;101;-7.7
156;All companies;43 Specialised construction activities;2012 2nd quarter;119;-9.1
157;All companies;43 Specialised construction activities;2012 3rd quarter;110;-6.1
158;All companies;43 Specialised construction activities;2012 4th quarter;125;-9.7
159;All companies;43 Specialised construction activities;2012;114;-8.2
160;Small companies;412-439 Construction (no development);2005 1st quarter;77;-0.7
161;Small companies;412-439 Construction (no development);2005 2nd quarter;105;8.3
162;Small companies;412-439 Construction (no development);2005 3rd quarter;96;10.6
163;Small companies;412-439 Construction (no development);2005 4th quarter;123;9.1
164;Small companies;412-439 Construction (no development);2005;100;7.2
165;Small companies;412-439 Construction (no development);2006 1st quarter;88;14.5
166;Small companies;412-439 Construction (no development);2006 2nd quarter;117;11.3
167;Small companies;412-439 Construction (no development);2006 3rd quarter;106;11.2
168;Small companies;412-439 Construction (no development);2006 4th quarter;141;14.7
169;Small companies;412-439 Construction (no development);2006;113;12.9
170;Small companies;412-439 Construction (no development);2007 1st quarter;102;15.7
171;Small companies;412-439 Construction (no development);2007 2nd quarter;129;10.6
172;Small companies;412-439 Construction (no development);2007 3rd quarter;117;10.4
173;Small companies;412-439 Construction (no development);2007 4th quarter;150;6.5
174;Small companies;412-439 Construction (no development);2007;125;10.3
175;Small companies;412-439 Construction (no development);2008 1st quarter;122;20.0
176;Small companies;412-439 Construction (no development);2008 2nd quarter;150;16.6
177;Small companies;412-439 Construction (no development);2008 3rd quarter;136;15.9
178;Small companies;412-439 Construction (no development);2008 4th quarter;169;12.6
179;Small companies;412-439 Construction (no development);2008;144;15.9
180;Small companies;412-439 Construction (no development);2009 1st quarter;128;5.0
181;Small companies;412-439 Construction (no development);2009 2nd quarter;153;1.7
182;Small companies;412-439 Construction (no development);2009 3rd quarter;135;-1.1
183;Small companies;412-439 Construction (no development);2009 4th quarter;162;-4.4
184;Small companies;412-439 Construction (no development);2009;144;0.0
185;Small companies;412-439 Construction (no development);2010 1st quarter;112;-12.8
186;Small companies;412-439 Construction (no development);2010 2nd quarter;146;-4.6
187;Small companies;412-439 Construction (no development);2010 3rd quarter;132;-2.0
188;Small companies;412-439 Construction (no development);2010 4th quarter;161;-0.2
189;Small companies;412-439 Construction (no development);2010;138;-4.6
190;Small companies;412-439 Construction (no development);2011 1st quarter;127;13.3
191;Small companies;412-439 Construction (no development);2011 2nd quarter;159;9.1
192;Small companies;412-439 Construction (no development);2011 3rd quarter;143;8.2
193;Small companies;412-439 Construction (no development);2011 4rd quarter;162;0.2
194;Small companies;412-439 Construction (no development);2011;148;7.1
195;Small companies;412-439 Construction (no development);2012 1st quarter;116;-8.2
196;Small companies;412-439 Construction (no development);2012 2nd quarter;144;-9.6
197;Small companies;412-439 Construction (no development);2012 3rd quarter;138;-3.3
198;Small companies;412-439 Construction (no development);2012 4th quarter;142;-11.9
199;Small companies;412-439 Construction (no development);2012;135;-8.4
200;Small companies;412 Construction of buildings;2005 1st quarter;76;-2.3
201;Small companies;412 Construction of buildings;2005 2nd quarter;106;7.5
202;Small companies;412 Construction of buildings;2005 3rd quarter;95;10.4
203;Small companies;412 Construction of buildings;2005 4th quarter;123;9.6
204;Small companies;412 Construction of buildings;2005;100;6.8
205;Small companies;412 Construction of buildings;2006 1st quarter;88;16.1
206;Small companies;412 Construction of buildings;2006 2nd quarter;119;12.3
207;Small companies;412 Construction of buildings;2006 3rd quarter;105;10.9
208;Small companies;412 Construction of buildings;2006 4th quarter;144;16.4
209;Small companies;412 Construction of buildings;2006;114;13.9
210;Small companies;412 Construction of buildings;2007 1st quarter;103;16.8
211;Small companies;412 Construction of buildings;2007 2nd quarter;131;9.6
212;Small companies;412 Construction of buildings;2007 3rd quarter;118;11.7
213;Small companies;412 Construction of buildings;2007 4th quarter;153;6.4
214;Small companies;412 Construction of buildings;2007;126;10.5
215;Small companies;412 Construction of buildings;2008 1st quarter;125;21.6
216;Small companies;412 Construction of buildings;2008 2nd quarter;154;17.7
217;Small companies;412 Construction of buildings;2008 3rd quarter;137;16.5
218;Small companies;412 Construction of buildings;2008 4th quarter;172;12.4
219;Small companies;412 Construction of buildings;2008;147;16.6
220;Small companies;412 Construction of buildings;2009 1st quarter;137;10.1
221;Small companies;412 Construction of buildings;2009 2nd quarter;164;6.8
222;Small companies;412 Construction of buildings;2009 3rd quarter;139;1.4
223;Small companies;412 Construction of buildings;2009 4th quarter;167;-2.6
224;Small companies;412 Construction of buildings;2009;152;3.5
225;Small companies;412 Construction of buildings;2010 1st quarter;117;-14.9
226;Small companies;412 Construction of buildings;2010 2nd quarter;153;-7.0
227;Small companies;412 Construction of buildings;2010 3rd quarter;135;-2.9
228;Small companies;412 Construction of buildings;2010 4th quarter;169;1.3
229;Small companies;412 Construction of buildings;2010;143;-5.6
230;Small companies;412 Construction of buildings;2011 1st quarter;135;15.1
231;Small companies;412 Construction of buildings;2011 2nd quarter;170;11.6
232;Small companies;412 Construction of buildings;2011 3rd quarter;154;14.2
233;Small companies;412 Construction of buildings;2011 4rd quarter;164;-2.9
234;Small companies;412 Construction of buildings;2011;156;8.6
235;Small companies;412 Construction of buildings;2012 1st quarter;121;-10.1
236;Small companies;412 Construction of buildings;2012 2nd quarter;150;-12.2
237;Small companies;412 Construction of buildings;2012 3rd quarter;145;-5.8
238;Small companies;412 Construction of buildings;2012 4th quarter;143;-13.2
239;Small companies;412 Construction of buildings;2012;140;-10.4
240;Small companies;42 Civil engineering;2005 1st quarter;64;-3.5
241;Small companies;42 Civil engineering;2005 2nd quarter;106;10.1
242;Small companies;42 Civil engineering;2005 3rd quarter;98;16.3
243;Small companies;42 Civil engineering;2005 4th quarter;131;11.6
244;Small companies;42 Civil engineering;2005;100;9.5
245;Small companies;42 Civil engineering;2006 1st quarter;75;16.9
246;Small companies;42 Civil engineering;2006 2nd quarter;121;14.2
247;Small companies;42 Civil engineering;2006 3rd quarter;112;13.9
248;Small companies;42 Civil engineering;2006 4th quarter;153;16.3
249;Small companies;42 Civil engineering;2006;115;15.2
250;Small companies;42 Civil engineering;2007 1st quarter;95;27.6
251;Small companies;42 Civil engineering;2007 2nd quarter;136;12.4
252;Small companies;42 Civil engineering;2007 3rd quarter;128;13.8
253;Small companies;42 Civil engineering;2007 4th quarter;161;5.2
254;Small companies;42 Civil engineering;2007;130;12.8
255;Small companies;42 Civil engineering;2008 1st quarter;121;27.2
256;Small companies;42 Civil engineering;2008 2nd quarter;160;17.0
257;Small companies;42 Civil engineering;2008 3rd quarter;141;10.4
258;Small companies;42 Civil engineering;2008 4th quarter;182;13.3
259;Small companies;42 Civil engineering;2008;151;16.1
260;Small companies;42 Civil engineering;2009 1st quarter;128;5.2
261;Small companies;42 Civil engineering;2009 2nd quarter;164;3.0
262;Small companies;42 Civil engineering;2009 3rd quarter;149;6.0
263;Small companies;42 Civil engineering;2009 4th quarter;188;3.2
264;Small companies;42 Civil engineering;2009;157;4.2
265;Small companies;42 Civil engineering;2010 1st quarter;79;-37.8
266;Small companies;42 Civil engineering;2010 2nd quarter;145;-11.9
267;Small companies;42 Civil engineering;2010 3rd quarter;129;-13.6
268;Small companies;42 Civil engineering;2010 4th quarter;150;-20.3
269;Small companies;42 Civil engineering;2010;126;-20.1
270;Small companies;42 Civil engineering;2011 1st quarter;111;39.7
271;Small companies;42 Civil engineering;2011 2nd quarter;150;3.9
272;Small companies;42 Civil engineering;2011 3rd quarter;133;3.2
273;Small companies;42 Civil engineering;2011 4rd quarter;168;12.1
274;Small companies;42 Civil engineering;2011;141;11.8
275;Small companies;42 Civil engineering;2012 1st quarter;98;-11.3
276;Small companies;42 Civil engineering;2012 2nd quarter;149;-0.9
277;Small companies;42 Civil engineering;2012 3rd quarter;137;3.1
278;Small companies;42 Civil engineering;2012 4th quarter;159;-5.2
279;Small companies;42 Civil engineering;2012;136;-3.3
280;Small companies;43 Specialised construction activities;2005 1st quarter;79;0.4
281;Small companies;43 Specialised construction activities;2005 2nd quarter;104;8.5
282;Small companies;43 Specialised construction activities;2005 3rd quarter;96;10.1
283;Small companies;43 Specialised construction activities;2005 4th quarter;121;8.6
284;Small companies;43 Specialised construction activities;2005;100;7.2
285;Small companies;43 Specialised construction activities;2006 1st quarter;89;13.5
286;Small companies;43 Specialised construction activities;2006 2nd quarter;115;10.4
287;Small companies;43 Specialised construction activities;2006 3rd quarter;106;11.0
288;Small companies;43 Specialised construction activities;2006 4th quarter;138;13.7
289;Small companies;43 Specialised construction activities;2006;112;12.1
290;Small companies;43 Specialised construction activities;2007 1st quarter;102;14.0
291;Small companies;43 Specialised construction activities;2007 2nd quarter;128;11.0
292;Small companies;43 Specialised construction activities;2007 3rd quarter;116;9.3
293;Small companies;43 Specialised construction activities;2007 4th quarter;147;6.8
294;Small companies;43 Specialised construction activities;2007;123;9.9
295;Small companies;43 Specialised construction activities;2008 1st quarter;121;18.5
296;Small companies;43 Specialised construction activities;2008 2nd quarter;148;15.9
297;Small companies;43 Specialised construction activities;2008 3rd quarter;135;16.3
298;Small companies;43 Specialised construction activities;2008 4th quarter;166;12.7
299;Small companies;43 Specialised construction activities;2008;142;15.6
300;Small companies;43 Specialised construction activities;2009 1st quarter;124;2.3
301;Small companies;43 Specialised construction activities;2009 2nd quarter;146;-1.2
302;Small companies;43 Specialised construction activities;2009 3rd quarter;131;-3.1
303;Small companies;43 Specialised construction activities;2009 4th quarter;156;-6.1
304;Small companies;43 Specialised construction activities;2009;139;-2.4
305;Small companies;43 Specialised construction activities;2010 1st quarter;112;-9.0
306;Small companies;43 Specialised construction activities;2010 2nd quarter;143;-2.3
307;Small companies;43 Specialised construction activities;2010 3rd quarter;131;-0.2
308;Small companies;43 Specialised construction activities;2010 4th quarter;158;1.5
309;Small companies;43 Specialised construction activities;2010;136;-2.2
310;Small companies;43 Specialised construction activities;2011 1st quarter;124;10.4
311;Small companies;43 Specialised construction activities;2011 2nd quarter;155;8.3
312;Small companies;43 Specialised construction activities;2011 3rd quarter;138;5.6
313;Small companies;43 Specialised construction activities;2011 4rd quarter;159;0.8
314;Small companies;43 Specialised construction activities;2011;144;5.9
315;Small companies;43 Specialised construction activities;2012 1st quarter;116;-6.8
316;Small companies;43 Specialised construction activities;2012 2nd quarter;141;-9.0
317;Small companies;43 Specialised construction activities;2012 3rd quarter;135;-2.5
318;Small companies;43 Specialised construction activities;2012 4th quarter;140;-12.0
319;Small companies;43 Specialised construction activities;2012;133;-7.8
320;Mid size companies;412-439 Construction (no development);2005 1st quarter;78;
321;Mid size companies;412-439 Construction (no development);2005 2nd quarter;107;
322;Mid size companies;412-439 Construction (no development);2005 3rd quarter;91;
323;Mid size companies;412-439 Construction (no development);2005 4th quarter;124;
324;Mid size companies;412-439 Construction (no development);2005;100;
325;Mid size companies;412-439 Construction (no development);2006 1st quarter;90;15.8
326;Mid size companies;412-439 Construction (no development);2006 2nd quarter;119;10.8
327;Mid size companies;412-439 Construction (no development);2006 3rd quarter;100;9.8
328;Mid size companies;412-439 Construction (no development);2006 4th quarter;138;11.1
329;Mid size companies;412-439 Construction (no development);2006;112;11.6
330;Mid size companies;412-439 Construction (no development);2007 1st quarter;100;11.3
331;Mid size companies;412-439 Construction (no development);2007 2nd quarter;129;8.7
332;Mid size companies;412-439 Construction (no development);2007 3rd quarter;110;10.2
333;Mid size companies;412-439 Construction (no development);2007 4th quarter;147;7.0
334;Mid size companies;412-439 Construction (no development);2007;122;9.0
335;Mid size companies;412-439 Construction (no development);2008 1st quarter;112;11.9
336;Mid size companies;412-439 Construction (no development);2008 2nd quarter;141;9.0
337;Mid size companies;412-439 Construction (no development);2008 3rd quarter;119;7.8
338;Mid size companies;412-439 Construction (no development);2008 4th quarter;150;1.6
339;Mid size companies;412-439 Construction (no development);2008;130;7.1
340;Mid size companies;412-439 Construction (no development);2009 1st quarter;110;-1.8
341;Mid size companies;412-439 Construction (no development);2009 2nd quarter;133;-5.3
342;Mid size companies;412-439 Construction (no development);2009 3rd quarter;112;-5.7
343;Mid size companies;412-439 Construction (no development);2009 4th quarter;132;-11.6
344;Mid size companies;412-439 Construction (no development);2009;122;-6.4
345;Mid size companies;412-439 Construction (no development);2010 1st quarter;83;-24.8
346;Mid size companies;412-439 Construction (no development);2010 2nd quarter;113;-15.1
347;Mid size companies;412-439 Construction (no development);2010 3rd quarter;99;-11.8
348;Mid size companies;412-439 Construction (no development);2010 4th quarter;121;-8.4
349;Mid size companies;412-439 Construction (no development);2010;104;-14.7
350;Mid size companies;412-439 Construction (no development);2011 1st quarter;93;12.3
351;Mid size companies;412-439 Construction (no development);2011 2nd quarter;117;3.5
352;Mid size companies;412-439 Construction (no development);2011 3rd quarter;100;1.8
353;Mid size companies;412-439 Construction (no development);2011 4rd quarter;124;2.5
354;Mid size companies;412-439 Construction (no development);2011;109;4.5
355;Mid size companies;412-439 Construction (no development);2012 1st quarter;81;-12.5
356;Mid size companies;412-439 Construction (no development);2012 2nd quarter;104;-11.6
357;Mid size companies;412-439 Construction (no development);2012 3rd quarter;93;-7.7
358;Mid size companies;412-439 Construction (no development);2012 4th quarter;108;-12.7
359;Mid size companies;412-439 Construction (no development);2012;97;-11.2
360;Mid size companies;412 Construction of buildings;2005 1st quarter;78;
361;Mid size companies;412 Construction of buildings;2005 2nd quarter;110;
362;Mid size companies;412 Construction of buildings;2005 3rd quarter;88;
363;Mid size companies;412 Construction of buildings;2005 4th quarter;124;
364;Mid size companies;412 Construction of buildings;2005;100;
365;Mid size companies;412 Construction of buildings;2006 1st quarter;92;18.9
366;Mid size companies;412 Construction of buildings;2006 2nd quarter;124;12.4
367;Mid size companies;412 Construction of buildings;2006 3rd quarter;99;12.2
368;Mid size companies;412 Construction of buildings;2006 4th quarter;137;11.0
369;Mid size companies;412 Construction of buildings;2006;113;13.2
370;Mid size companies;412 Construction of buildings;2007 1st quarter;101;9.8
371;Mid size companies;412 Construction of buildings;2007 2nd quarter;129;4.3
372;Mid size companies;412 Construction of buildings;2007 3rd quarter;106;7.2
373;Mid size companies;412 Construction of buildings;2007 4th quarter;144;4.9
374;Mid size companies;412 Construction of buildings;2007;120;6.2
375;Mid size companies;412 Construction of buildings;2008 1st quarter;118;16.6
376;Mid size companies;412 Construction of buildings;2008 2nd quarter;147;14.1
377;Mid size companies;412 Construction of buildings;2008 3rd quarter;119;11.7
378;Mid size companies;412 Construction of buildings;2008 4th quarter;153;5.9
379;Mid size companies;412 Construction of buildings;2008;134;11.6
380;Mid size companies;412 Construction of buildings;2009 1st quarter;110;-7.2
381;Mid size companies;412 Construction of buildings;2009 2nd quarter;131;-11.3
382;Mid size companies;412 Construction of buildings;2009 3rd quarter;105;-12.0
383;Mid size companies;412 Construction of buildings;2009 4th quarter;122;-20.0
384;Mid size companies;412 Construction of buildings;2009;117;-13.0
385;Mid size companies;412 Construction of buildings;2010 1st quarter;79;-27.9
386;Mid size companies;412 Construction of buildings;2010 2nd quarter;108;-17.3
387;Mid size companies;412 Construction of buildings;2010 3rd quarter;89;-14.9
388;Mid size companies;412 Construction of buildings;2010 4th quarter;111;-9.0
389;Mid size companies;412 Construction of buildings;2010;97;-17.1
390;Mid size companies;412 Construction of buildings;2011 1st quarter;92;16.5
391;Mid size companies;412 Construction of buildings;2011 2nd quarter;114;5.7
392;Mid size companies;412 Construction of buildings;2011 3rd quarter;94;5.6
393;Mid size companies;412 Construction of buildings;2011 4rd quarter;114;3.1
394;Mid size companies;412 Construction of buildings;2011;104;7.1
395;Mid size companies;412 Construction of buildings;2012 1st quarter;78;-15.3
396;Mid size companies;412 Construction of buildings;2012 2nd quarter;99;-13.6
397;Mid size companies;412 Construction of buildings;2012 3rd quarter;87;-7.2
398;Mid size companies;412 Construction of buildings;2012 4th quarter;98;-14.2
399;Mid size companies;412 Construction of buildings;2012;91;-12.7
400;Mid size companies;42 Civil engineering;2005 1st quarter;68;
401;Mid size companies;42 Civil engineering;2005 2nd quarter;101;
402;Mid size companies;42 Civil engineering;2005 3rd quarter;93;
403;Mid size companies;42 Civil engineering;2005 4th quarter;137;
404;Mid size companies;42 Civil engineering;2005;100;
405;Mid size companies;42 Civil engineering;2006 1st quarter;75;11.2
406;Mid size companies;42 Civil engineering;2006 2nd quarter;120;18.9
407;Mid size companies;42 Civil engineering;2006 3rd quarter;106;13.6
408;Mid size companies;42 Civil engineering;2006 4th quarter;153;11.2
409;Mid size companies;42 Civil engineering;2006;114;13.7
410;Mid size companies;42 Civil engineering;2007 1st quarter;89;18.2
411;Mid size companies;42 Civil engineering;2007 2nd quarter;144;19.4
412;Mid size companies;42 Civil engineering;2007 3rd quarter;130;22.6
413;Mid size companies;42 Civil engineering;2007 4th quarter;186;21.5
414;Mid size companies;42 Civil engineering;2007;137;20.7
415;Mid size companies;42 Civil engineering;2008 1st quarter;94;6.0
416;Mid size companies;42 Civil engineering;2008 2nd quarter;136;-5.8
417;Mid size companies;42 Civil engineering;2008 3rd quarter;123;-5.3
418;Mid size companies;42 Civil engineering;2008 4th quarter;165;-11.3
419;Mid size companies;42 Civil engineering;2008;129;-5.6
420;Mid size companies;42 Civil engineering;2009 1st quarter;92;-2.6
421;Mid size companies;42 Civil engineering;2009 2nd quarter;137;0.9
422;Mid size companies;42 Civil engineering;2009 3rd quarter;127;3.9
423;Mid size companies;42 Civil engineering;2009 4th quarter;160;-2.9
424;Mid size companies;42 Civil engineering;2009;129;-0.2
425;Mid size companies;42 Civil engineering;2010 1st quarter;76;-16.9
426;Mid size companies;42 Civil engineering;2010 2nd quarter;136;-0.4
427;Mid size companies;42 Civil engineering;2010 3rd quarter;125;-2.2
428;Mid size companies;42 Civil engineering;2010 4th quarter;158;-1.1
429;Mid size companies;42 Civil engineering;2010;124;-4.0
430;Mid size companies;42 Civil engineering;2011 1st quarter;97;27.7
431;Mid size companies;42 Civil engineering;2011 2nd quarter;145;6.2
432;Mid size companies;42 Civil engineering;2011 3rd quarter;135;8.2
433;Mid size companies;42 Civil engineering;2011 4rd quarter;186;17.4
434;Mid size companies;42 Civil engineering;2011;141;13.6
435;Mid size companies;42 Civil engineering;2012 1st quarter;89;-8.8
436;Mid size companies;42 Civil engineering;2012 2nd quarter;137;-5.5
