ID;Uitvalcategorie;Voertuigcategorie;Perioden;TotaalAantalUitgevallenVoertuigen_1;JongerDan1Jaar_2;k_1Jaar_3;k_2Jaar_4;k_3Jaar_5;k_4Jaar_6;k_5Jaar_7;k_6Jaar_8;k_7Jaar_9;k_8Jaar_10;k_9Jaar_11;k_10Jaar_12;k_11Jaar_13;k_12Jaar_14;k_13Jaar_15;k_14Jaar_16;k_15Jaar_17;k_16Jaar_18;k_17Jaar_19;k_18Jaar_20;k_19Jaar_21;k_20Jaar_22;k_21Jaar_23;k_22Jaar_24;k_23Jaar_25;k_24JaarOfOuder_26
45;Sloop;Personenauto;2001;303866.0;213.0;523.0;635.0;604.0;683.0;954.0;1214.0;1827.0;2665.0;6098.0;11243.0;20181.0;31097.0;39445.0;54265.0;50337.0;34698.0;20832.0;11715.0;5827.0;2510.0;1566.0;1485.0;992.0;2257.0
46;Sloop;Personenauto;2002;294637.0;236.0;497.0;586.0;730.0;795.0;978.0;1417.0;1875.0;2746.0;4293.0;9866.0;18486.0;29409.0;38850.0;42193.0;48961.0;39068.0;23525.0;13050.0;7095.0;3542.0;1504.0;1072.0;1021.0;2841.0
47;Sloop;Personenauto;2003;292023.0;155.0;376.0;491.0;632.0;834.0;957.0;1181.0;1762.0;2635.0;4164.0;7074.0;16376.0;27618.0;38406.0;42907.0;40360.0;40636.0;28737.0;15911.0;8395.0;4596.0;2216.0;1086.0;751.0;3767.0
48;Sloop;Personenauto;2004;274573.0;134.0;311.0;424.0;544.0;747.0;1027.0;1125.0;1474.0;2332.0;3650.0;5861.0;9832.0;21777.0;32118.0;38645.0;38731.0;33678.0;30751.0;21065.0;11282.0;6415.0;3880.0;2328.0;1373.0;5068.0
49;Sloop;Personenauto;2005;231627.0;126.0;334.0;375.0;443.0;574.0;808.0;1223.0;1334.0;1843.0;2781.0;4373.0;7548.0;12916.0;25365.0;33146.0;33944.0;30797.0;24221.0;20595.0;13258.0;6427.0;3130.0;1731.0;912.0;3423.0
50;Sloop;Personenauto;2006;225760.0;128.0;294.0;343.0;371.0;474.0;663.0;937.0;1449.0;1758.0;2435.0;4113.0;6901.0;11329.0;17342.0;30984.0;34352.0;30988.0;25535.0;18651.0;14857.0;9356.0;4369.0;2213.0;1184.0;4734.0
51;Sloop;Personenauto;2007;200836.0;121.0;326.0;345.0;386.0;430.0;604.0;790.0;1209.0;1767.0;2324.0;3226.0;5785.0;9501.0;14479.0;19612.0;30309.0;29103.0;23962.0;18288.0;13002.0;9746.0;6109.0;2854.0;1491.0;5067.0
52;Sloop;Personenauto;2008;198272.0;145.0;328.0;395.0;383.0;456.0;574.0;782.0;1030.0;1601.0;2442.0;3443.0;5207.0;9467.0;14312.0;19309.0;22150.0;29584.0;25568.0;18969.0;13956.0;9228.0;6783.0;4307.0;1967.0;5886.0
53;Sloop;Personenauto;2009;246759.0;123.0;378.0;377.0;443.0;477.0;625.0;784.0;1074.0;1414.0;2197.0;4033.0;6301.0;9288.0;15425.0;30449.0;33696.0;30746.0;33128.0;25559.0;17564.0;11332.0;7558.0;5390.0;2970.0;5428.0
54;Sloop;Personenauto;2010;229629.0;121.0;235.0;405.0;410.0;441.0;587.0;747.0;879.0;1244.0;1682.0;2891.0;5832.0;9699.0;14105.0;21267.0;30923.0;31805.0;26443.0;25976.0;18504.0;11995.0;8035.0;5354.0;3896.0;6153.0
55;Sloop;Personenauto;2011;235852.0;155.0;297.0;265.0;373.0;413.0;524.0;729.0;953.0;1201.0;1699.0;2594.0;5377.0;9814.0;17156.0;22464.0;29922.0;29750.0;29471.0;22704.0;20279.0;13619.0;8497.0;5991.0;3898.0;7707.0
56;Sloop;Personenauto;2012;224102.0;124.0;429.0;352.0;329.0;371.0;468.0;766.0;960.0;1252.0;1676.0;2502.0;3946.0;8227.0;14687.0;22281.0;26677.0;30369.0;26785.0;24608.0;16823.0;13563.0;8686.0;5351.0;3713.0;9157.0
57;Sloop;Personenauto;2013;219836.0;291.0;335.0;414.0;392.0;300.0;506.0;522.0;869.0;1094.0;1524.0;2109.0;3328.0;5399.0;11181.0;19097.0;26102.0;28054.0;28905.0;23932.0;19611.0;12413.0;9264.0;5857.0;3780.0;14557.0
58;Sloop;Personenauto;2014;213045.0;64.0;220.0;364.0;490.0;347.0;353.0;484.0;587.0;963.0;1225.0;1896.0;2899.0;4756.0;7734.0;15048.0;22878.0;27702.0;27714.0;25117.0;19595.0;14872.0;8791.0;6508.0;4161.0;18277.0
59;Sloop;Personenauto;2015;188961.0;67.0;214.0;326.0;425.0;503.0;415.0;405.0;596.0;721.0;1269.0;1653.0;2473.0;3925.0;6849.0;10576.0;18984.0;26306.0;28100.0;24880.0;19053.0;13613.0;9651.0;5155.0;3645.0;9157.0
60;Sloop;Personenauto;2016;192967.0;73.0;232.0;235.0;322.0;395.0;635.0;513.0;483.0;692.0;928.0;1469.0;2097.0;3292.0;5371.0;9190.0;14019.0;23317.0;29913.0;28725.0;23578.0;16566.0;11124.0;7275.0;3957.0;8566.0
61;Sloop;Personenauto;2017;211845.0;72.0;218.0;278.0;293.0;321.0;476.0;657.0;650.0;599.0;868.0;1053.0;1926.0;3023.0;5054.0;8310.0;14001.0;19781.0;29946.0;34960.0;29528.0;21931.0;14129.0;9015.0;5752.0;9004.0
62;Sloop;Personenauto;2018;225492.0;80.0;185.0;280.0;311.0;327.0;402.0;570.0;867.0;796.0;778.0;1255.0;1555.0;3116.0;4984.0;8163.0;12896.0;19828.0;25359.0;34196.0;35873.0;27074.0;18167.0;10872.0;6853.0;10705.0
63;Sloop;Personenauto;2019;213530.0;58.0;246.0;276.0;352.0;405.0;449.0;531.0;818.0;1112.0;1076.0;985.0;1719.0;2188.0;4530.0;7144.0;11186.0;16672.0;23126.0;26177.0;32062.0;30349.0;20235.0;12831.0;7262.0;11741.0
64;Sloop;Personenauto;2020;207145.0;43.0;206.0;308.0;280.0;292.0;441.0;479.0;537.0;795.0;1138.0;1179.0;1084.0;1942.0;3091.0;6002.0;9598.0;14319.0;19955.0;25068.0;26181.0;28835.0;25122.0;15461.0;9400.0;15389.0
65;Sloop;Personenauto;2021;206228.0;61.0;192.0;280.0;329.0;300.0;316.0;475.0;492.0;594.0;1011.0;1224.0;1323.0;1420.0;2862.0;4414.0;8247.0;12344.0;17801.0;23450.0;27051.0;25636.0;25697.0;20636.0;11997.0;18076.0
66;Sloop;Bedrijfsmotorvoertuig;2000;17386.0;46.0;132.0;157.0;155.0;147.0;179.0;165.0;371.0;728.0;860.0;1067.0;1224.0;1541.0;2882.0;2695.0;1689.0;884.0;539.0;432.0;339.0;308.0;272.0;185.0;118.0;271.0
67;Sloop;Bedrijfsmotorvoertuig;2001;18657.0;46.0;133.0;149.0;173.0;183.0;216.0;232.0;259.0;567.0;1187.0;1243.0;1436.0;1515.0;1629.0;2749.0;2319.0;1432.0;736.0;498.0;372.0;319.0;306.0;265.0;209.0;483.0
68;Sloop;Bedrijfsmotorvoertuig;2002;18672.0;42.0;130.0;164.0;197.0;224.0;240.0;288.0;312.0;433.0;875.0;1747.0;1591.0;1759.0;1539.0;1541.0;2272.0;1813.0;1045.0;581.0;375.0;266.0;216.0;249.0;209.0;564.0
69;Sloop;Bedrijfsmotorvoertuig;2003;17788.0;42.0;112.0;142.0;180.0;219.0;249.0;294.0;336.0;430.0;526.0;1159.0;2196.0;1775.0;1659.0;1409.0;1281.0;1804.0;1332.0;775.0;456.0;266.0;201.0;175.0;176.0;594.0
70;Sloop;Bedrijfsmotorvoertuig;2004;18291.0;37.0;117.0;120.0;148.0;179.0;204.0;297.0;353.0;476.0;596.0;790.0;1558.0;2410.0;1780.0;1616.0;1181.0;1054.0;1563.0;1195.0;669.0;430.0;268.0;235.0;181.0;833.0
71;Sloop;Bedrijfsmotorvoertuig;2005;19837.0;30.0;94.0;107.0;136.0;179.0;265.0;323.0;446.0;556.0;849.0;1279.0;1557.0;2098.0;2993.0;1962.0;1623.0;1064.0;831.0;1149.0;814.0;446.0;272.0;152.0;102.0;510.0
72;Sloop;Bedrijfsmotorvoertuig;2006;15258.0;39.0;79.0;124.0;116.0;135.0;172.0;227.0;294.0;382.0;567.0;816.0;1164.0;1264.0;1619.0;2049.0;1361.0;972.0;664.0;545.0;760.0;611.0;335.0;189.0;123.0;651.0
73;Sloop;Bedrijfsmotorvoertuig;2007;12313.0;39.0;66.0;89.0;129.0;127.0;138.0;171.0;236.0;308.0;463.0;560.0;800.0;1073.0;981.0;1318.0;1563.0;891.0;625.0;456.0;357.0;542.0;379.0;232.0;134.0;636.0
74;Sloop;Bedrijfsmotorvoertuig;2008;12204.0;37.0;111.0;105.0;107.0;152.0;132.0;205.0;249.0;392.0;455.0;687.0;842.0;1130.0;1118.0;912.0;1124.0;1190.0;662.0;512.0;327.0;269.0;394.0;239.0;158.0;695.0
75;Sloop;Bedrijfsmotorvoertuig;2009;15851.0;29.0;101.0;128.0;113.0;122.0;177.0;213.0;279.0;404.0;524.0;1048.0;1498.0;1718.0;1789.0;1376.0;1124.0;1208.0;1174.0;662.0;446.0;324.0;246.0;333.0;214.0;601.0
76;Sloop;Bedrijfsmotorvoertuig;2010;16209.0;15.0;61.0;136.0;120.0;125.0;138.0;209.0;253.0;315.0;473.0;730.0;1405.0;1987.0;2124.0;1828.0;1294.0;893.0;937.0;875.0;499.0;353.0;243.0;242.0;292.0;662.0
77;Sloop;Bedrijfsmotorvoertuig;2011;15158.0;16.0;50.0;69.0;151.0;146.0;154.0;157.0;222.0;283.0;431.0;608.0;1023.0;1519.0;1822.0;1856.0;1576.0;1007.0;727.0;640.0;682.0;421.0;351.0;233.0;200.0;814.0
78;Sloop;Bedrijfsmotorvoertuig;2012;13990.0;25.0;76.0;59.0;89.0;150.0;156.0;146.0;166.0;240.0;310.0;509.0;714.0;1215.0;1531.0;1962.0;1677.0;1340.0;662.0;464.0;530.0;463.0;302.0;228.0;183.0;793.0
79;Sloop;Bedrijfsmotorvoertuig;2013;13929.0;13.0;61.0;81.0;58.0;73.0;144.0;143.0;162.0;174.0;312.0;367.0;578.0;955.0;1361.0;1622.0;1867.0;1658.0;1128.0;500.0;336.0;368.0;392.0;266.0;217.0;1093.0
80;Sloop;Bedrijfsmotorvoertuig;2014;13994.0;16.0;59.0;75.0;102.0;74.0;74.0;183.0;199.0;222.0;214.0;349.0;475.0;714.0;1145.0;1607.0;1818.0;1816.0;1335.0;914.0;333.0;242.0;276.0;290.0;199.0;1263.0
81;Sloop;Bedrijfsmotorvoertuig;2015;12683.0;24.0;62.0;83.0;86.0;89.0;76.0;109.0;238.0;212.0;264.0;249.0;487.0;620.0;896.0;1288.0;1665.0;1854.0;1661.0;1172.0;560.0;177.0;124.0;127.0;102.0;458.0
