ID;SBI1993BedrijfsgrootteVerzVorm;Perioden;ZiekteverzuimInclZwangerschapsverlof_1;ZiekteverzuimExclZwangerschapsverlof_2
200;L t/m O Niet-commerc.dienstv.(gn huish);1999 2e kwartaal;7.7;6.5
201;L t/m O Niet-commerc.dienstv.(gn huish);1999 3e kwartaal;7.6;6.4
202;L t/m O Niet-commerc.dienstv.(gn huish);1999 4e kwartaal;8.3;7.2
203;L t/m O Niet-commerc.dienstv.(gn huish);1999;8.1;7.0
204;L t/m O Niet-commerc.dienstv.(gn huish);2000 1e kwartaal;8.7;7.5
205;L t/m O Niet-commerc.dienstv.(gn huish);2000 2e kwartaal;8.0;6.8
206;L t/m O Niet-commerc.dienstv.(gn huish);2000 3e kwartaal;7.6;6.5
207;L t/m O Niet-commerc.dienstv.(gn huish);2000 4e kwartaal;8.4;7.3
208;L t/m O Niet-commerc.dienstv.(gn huish);2000;8.2;7.0
209;L t/m O Niet-commerc.dienstv.(gn huish);2001 1e kwartaal;8.5;7.3
210;L t/m O Niet-commerc.dienstv.(gn huish);2001 2e kwartaal;8.0;6.8
211;L t/m O Niet-commerc.dienstv.(gn huish);2001 3e kwartaal;7.3;6.2
212;L t/m O Niet-commerc.dienstv.(gn huish);2001 4e kwartaal;8.0;6.9
213;L t/m O Niet-commerc.dienstv.(gn huish);2001;8.0;6.8
214;L t/m O Niet-commerc.dienstv.(gn huish);2002 1e kwartaal;8.5;7.4
215;L t/m O Niet-commerc.dienstv.(gn huish);2002 2e kwartaal;7.5;6.4
216;L t/m O Niet-commerc.dienstv.(gn huish);2002 3e kwartaal;7.0;5.8
217;L t/m O Niet-commerc.dienstv.(gn huish);2002 4e kwartaal;7.4;6.3
218;L t/m O Niet-commerc.dienstv.(gn huish);2002;7.6;6.5
219;L t/m O Niet-commerc.dienstv.(gn huish);2003 1e kwartaal;7.6;6.5
220;L t/m O Niet-commerc.dienstv.(gn huish);2003 2e kwartaal;6.8;5.8
221;L t/m O Niet-commerc.dienstv.(gn huish);2003 3e kwartaal;5.9;4.9
222;L t/m O Niet-commerc.dienstv.(gn huish);2003 4e kwartaal;7.0;5.9
223;L t/m O Niet-commerc.dienstv.(gn huish);2003;6.8;5.8
224;L t/m O Niet-commerc.dienstv.(gn huish);2004 1e kwartaal;7.1;6.0
225;C Delfstoffenwinning;1993;;
226;C Delfstoffenwinning;1994;;
227;C Delfstoffenwinning;1995 4e kwartaal;4.5;4.1
228;C Delfstoffenwinning;1995;;
229;C Delfstoffenwinning;1996 1e kwartaal;4.3;4.2
230;C Delfstoffenwinning;1996 2e kwartaal;3.5;3.3
231;C Delfstoffenwinning;1996 3e kwartaal;3.2;3.0
232;C Delfstoffenwinning;1996 4e kwartaal;3.7;3.5
233;C Delfstoffenwinning;1996;3.7;3.5
234;C Delfstoffenwinning;1997 1e kwartaal;4.1;4.0
235;C Delfstoffenwinning;1997 2e kwartaal;3.4;3.2
236;C Delfstoffenwinning;1997 3e kwartaal;2.7;2.6
237;C Delfstoffenwinning;1997 4e kwartaal;3.6;3.3
238;C Delfstoffenwinning;1997;3.5;3.3
239;C Delfstoffenwinning;1998 1e kwartaal;3.7;3.5
240;C Delfstoffenwinning;1998 2e kwartaal;3.5;3.4
241;C Delfstoffenwinning;1998 3e kwartaal;3.2;3.1
242;C Delfstoffenwinning;1998 4e kwartaal;4.3;4.2
243;C Delfstoffenwinning;1998;3.7;3.5
244;C Delfstoffenwinning;1999 1e kwartaal;4.7;4.6
245;C Delfstoffenwinning;1999 2e kwartaal;4.3;4.0
246;C Delfstoffenwinning;1999 3e kwartaal;3.6;3.4
247;C Delfstoffenwinning;1999 4e kwartaal;4.8;4.6
248;C Delfstoffenwinning;1999;4.4;4.2
249;C Delfstoffenwinning;2000 1e kwartaal;5.0;4.9
250;C Delfstoffenwinning;2000 2e kwartaal;4.3;4.2
251;C Delfstoffenwinning;2000 3e kwartaal;4.1;4.0
252;C Delfstoffenwinning;2000 4e kwartaal;5.0;4.9
253;C Delfstoffenwinning;2000;4.6;4.5
254;C Delfstoffenwinning;2001 1e kwartaal;4.7;4.6
255;C Delfstoffenwinning;2001 2e kwartaal;4.3;4.2
256;C Delfstoffenwinning;2001 3e kwartaal;3.5;3.4
257;C Delfstoffenwinning;2001 4e kwartaal;4.0;3.9
258;C Delfstoffenwinning;2001;4.1;4.0
259;C Delfstoffenwinning;2002 1e kwartaal;4.1;3.9
260;C Delfstoffenwinning;2002 2e kwartaal;3.7;3.5
261;C Delfstoffenwinning;2002 3e kwartaal;3.2;3.0
262;C Delfstoffenwinning;2002 4e kwartaal;4.2;4.0
263;C Delfstoffenwinning;2002;3.8;3.6
264;C Delfstoffenwinning;2003 1e kwartaal;4.4;4.2
265;C Delfstoffenwinning;2003 2e kwartaal;4.1;3.9
266;C Delfstoffenwinning;2003 3e kwartaal;3.5;3.4
267;C Delfstoffenwinning;2003 4e kwartaal;4.0;3.8
268;C Delfstoffenwinning;2003;4.0;3.8
269;C Delfstoffenwinning;2004 1e kwartaal;4.0;3.8
270;D Industrie;1993;;
271;D Industrie;1994;;
272;D Industrie;1995 4e kwartaal;5.7;5.4
273;D Industrie;1995;;
274;D Industrie;1996 1e kwartaal;6.0;5.8
275;D Industrie;1996 2e kwartaal;5.3;5.1
276;D Industrie;1996 3e kwartaal;4.8;4.5
277;D Industrie;1996 4e kwartaal;5.5;5.3
278;D Industrie;1996;5.4;5.2
279;D Industrie;1997 1e kwartaal;5.9;5.6
280;D Industrie;1997 2e kwartaal;5.4;5.2
281;D Industrie;1997 3e kwartaal;5.4;5.1
282;D Industrie;1997 4e kwartaal;6.2;5.9
283;D Industrie;1997;5.7;5.5
284;D Industrie;1998 1e kwartaal;6.5;6.3
285;D Industrie;1998 2e kwartaal;6.4;6.1
286;D Industrie;1998 3e kwartaal;6.0;5.6
287;D Industrie;1998 4e kwartaal;6.8;6.5
288;D Industrie;1998;6.4;6.1
289;D Industrie;1999 1e kwartaal;7.4;7.1
290;D Industrie;1999 2e kwartaal;6.5;6.2
291;D Industrie;1999 3e kwartaal;6.2;5.9
292;D Industrie;1999 4e kwartaal;7.2;6.9
293;D Industrie;1999;6.8;6.5
294;D Industrie;2000 1e kwartaal;7.3;7.0
295;D Industrie;2000 2e kwartaal;6.6;6.3
296;D Industrie;2000 3e kwartaal;6.2;5.9
297;D Industrie;2000 4e kwartaal;7.1;6.8
298;D Industrie;2000;6.8;6.5
299;D Industrie;2001 1e kwartaal;7.2;6.9
300;D Industrie;2001 2e kwartaal;6.7;6.4
301;D Industrie;2001 3e kwartaal;6.3;6.0
302;D Industrie;2001 4e kwartaal;7.1;6.8
303;D Industrie;2001;6.8;6.5
304;D Industrie;2002 1e kwartaal;7.4;7.1
305;D Industrie;2002 2e kwartaal;6.6;6.3
306;D Industrie;2002 3e kwartaal;6.1;5.8
307;D Industrie;2002 4e kwartaal;6.9;6.6
308;D Industrie;2002;6.8;6.5
309;D Industrie;2003 1e kwartaal;6.7;6.4
310;D Industrie;2003 2e kwartaal;6.0;5.7
311;D Industrie;2003 3e kwartaal;5.5;5.2
312;D Industrie;2003 4e kwartaal;6.2;6.0
313;D Industrie;2003;6.1;5.8
314;D Industrie;2004 1e kwartaal;6.2;6.0
315;E Energie- en waterleidingbedrijf;1993;;
316;E Energie- en waterleidingbedrijf;1994;;
317;E Energie- en waterleidingbedrijf;1995 4e kwartaal;6.0;5.6
318;E Energie- en waterleidingbedrijf;1995;;
319;E Energie- en waterleidingbedrijf;1996 1e kwartaal;6.6;6.3
320;E Energie- en waterleidingbedrijf;1996 2e kwartaal;5.4;5.2
321;E Energie- en waterleidingbedrijf;1996 3e kwartaal;5.4;5.1
322;E Energie- en waterleidingbedrijf;1996 4e kwartaal;5.7;5.5
323;E Energie- en waterleidingbedrijf;1996;5.8;5.5
324;E Energie- en waterleidingbedrijf;1997 1e kwartaal;6.7;6.5
325;E Energie- en waterleidingbedrijf;1997 2e kwartaal;5.2;5.0
326;E Energie- en waterleidingbedrijf;1997 3e kwartaal;5.1;4.9
327;E Energie- en waterleidingbedrijf;1997 4e kwartaal;5.7;5.5
328;E Energie- en waterleidingbedrijf;1997;5.7;5.5
329;E Energie- en waterleidingbedrijf;1998 1e kwartaal;6.5;6.3
330;E Energie- en waterleidingbedrijf;1998 2e kwartaal;5.9;5.7
331;E Energie- en waterleidingbedrijf;1998 3e kwartaal;5.4;5.1
332;E Energie- en waterleidingbedrijf;1998 4e kwartaal;6.5;6.3
333;E Energie- en waterleidingbedrijf;1998;6.1;5.8
334;E Energie- en waterleidingbedrijf;1999 1e kwartaal;7.1;6.8
335;E Energie- en waterleidingbedrijf;1999 2e kwartaal;6.1;5.8
336;E Energie- en waterleidingbedrijf;1999 3e kwartaal;5.4;5.2
337;E Energie- en waterleidingbedrijf;1999 4e kwartaal;7.1;6.8
338;E Energie- en waterleidingbedrijf;1999;6.4;6.2
339;E Energie- en waterleidingbedrijf;2000 1e kwartaal;8.1;7.8
340;E Energie- en waterleidingbedrijf;2000 2e kwartaal;6.3;6.0
341;E Energie- en waterleidingbedrijf;2000 3e kwartaal;6.3;6.0
342;E Energie- en waterleidingbedrijf;2000 4e kwartaal;7.3;7.0
343;E Energie- en waterleidingbedrijf;2000;7.0;6.7
344;E Energie- en waterleidingbedrijf;2001 1e kwartaal;7.3;7.1
345;E Energie- en waterleidingbedrijf;2001 2e kwartaal;6.0;5.8
346;E Energie- en waterleidingbedrijf;2001 3e kwartaal;5.6;5.4
347;E Energie- en waterleidingbedrijf;2001 4e kwartaal;5.6;5.5
348;E Energie- en waterleidingbedrijf;2001;6.1;6.0
349;E Energie- en waterleidingbedrijf;2002 1e kwartaal;7.0;6.7
350;E Energie- en waterleidingbedrijf;2002 2e kwartaal;6.0;5.8
351;E Energie- en waterleidingbedrijf;2002 3e kwartaal;5.5;5.4
352;E Energie- en waterleidingbedrijf;2002 4e kwartaal;6.1;5.9
353;E Energie- en waterleidingbedrijf;2002;6.1;6.0
354;E Energie- en waterleidingbedrijf;2003 1e kwartaal;6.2;6.0
355;E Energie- en waterleidingbedrijf;2003 2e kwartaal;5.0;4.8
356;E Energie- en waterleidingbedrijf;2003 3e kwartaal;4.5;4.4
357;E Energie- en waterleidingbedrijf;2003 4e kwartaal;5.3;5.0
358;E Energie- en waterleidingbedrijf;2003;5.3;5.1
359;E Energie- en waterleidingbedrijf;2004 1e kwartaal;6.4;6.1
360;F Bouwnijverheid;1993;7.6;7.5
361;F Bouwnijverheid;1994;5.1;5.1
362;F Bouwnijverheid;1995 4e kwartaal;5.6;5.4
363;F Bouwnijverheid;1995;5.0;4.9
364;F Bouwnijverheid;1996 1e kwartaal;4.9;4.9
365;F Bouwnijverheid;1996 2e kwartaal;4.0;3.9
366;F Bouwnijverheid;1996 3e kwartaal;3.9;3.9
367;F Bouwnijverheid;1996 4e kwartaal;4.4;4.3
368;F Bouwnijverheid;1996;4.3;4.3
369;F Bouwnijverheid;1997 1e kwartaal;4.8;4.7
370;F Bouwnijverheid;1997 2e kwartaal;4.4;4.4
371;F Bouwnijverheid;1997 3e kwartaal;4.0;4.0
372;F Bouwnijverheid;1997 4e kwartaal;5.0;4.9
373;F Bouwnijverheid;1997;4.6;4.5
374;F Bouwnijverheid;1998 1e kwartaal;4.9;4.9
375;F Bouwnijverheid;1998 2e kwartaal;4.7;4.6
376;F Bouwnijverheid;1998 3e kwartaal;4.4;4.3
377;F Bouwnijverheid;1998 4e kwartaal;4.9;4.8
378;F Bouwnijverheid;1998;4.7;4.7
379;F Bouwnijverheid;1999 1e kwartaal;5.4;5.3
380;F Bouwnijverheid;1999 2e kwartaal;4.6;4.5
381;F Bouwnijverheid;1999 3e kwartaal;4.5;4.4
382;F Bouwnijverheid;1999 4e kwartaal;5.7;5.6
383;F Bouwnijverheid;1999;5.1;5.0
384;F Bouwnijverheid;2000 1e kwartaal;5.3;5.2
385;F Bouwnijverheid;2000 2e kwartaal;5.0;5.0
386;F Bouwnijverheid;2000 3e kwartaal;4.9;4.8
387;F Bouwnijverheid;2000 4e kwartaal;5.5;5.4
388;F Bouwnijverheid;2000;5.2;5.1
389;F Bouwnijverheid;2001 1e kwartaal;5.4;5.2
390;F Bouwnijverheid;2001 2e kwartaal;5.2;5.1
391;F Bouwnijverheid;2001 3e kwartaal;4.9;4.8
392;F Bouwnijverheid;2001 4e kwartaal;5.3;5.2
393;F Bouwnijverheid;2001;5.2;5.1
394;F Bouwnijverheid;2002 1e kwartaal;5.6;5.5
395;F Bouwnijverheid;2002 2e kwartaal;5.3;5.2
396;F Bouwnijverheid;2002 3e kwartaal;4.9;4.8
397;F Bouwnijverheid;2002 4e kwartaal;5.5;5.4
398;F Bouwnijverheid;2002;5.3;5.2
399;F Bouwnijverheid;2003 1e kwartaal;5.0;4.9
400;F Bouwnijverheid;2003 2e kwartaal;4.4;4.3
401;F Bouwnijverheid;2003 3e kwartaal;4.1;4.0
402;F Bouwnijverheid;2003 4e kwartaal;4.6;4.5
403;F Bouwnijverheid;2003;4.5;4.4
404;F Bouwnijverheid;2004 1e kwartaal;5.0;4.9
405;G Handel;1993;;
406;G Handel;1994;;
407;G Handel;1995 4e kwartaal;4.5;3.9
408;G Handel;1995;;
409;G Handel;1996 1e kwartaal;4.6;4.2
410;G Handel;1996 2e kwartaal;3.8;3.5
411;G Handel;1996 3e kwartaal;3.6;3.2
