ID;Perioden;IndexcijferVolumeToegevoegdeWaarde_1;VolumeontwikkelingTOVEenJaarEerder_2
146;2013 september;110.5;-3.3
147;2013 3e kwartaal;83.8;-2.9
148;2013 oktober;109.2;4.2
149;2013 november;103.4;-0.9
150;2013 december;67.2;6.2
151;2013 4e kwartaal;93.3;2.7
152;2013 ;93.0;-3.7
153;2014 januari;109.7;12.2
154;2014 februari;101.0;13.1
155;2014 maart;96.7;1.3
156;2014 1e kwartaal;102.5;8.8
157;2014 april;101.9;4.1
