ID;Perioden;TotaalActiva_1;ANTotaalNietFinancieleActiva_2;AN11VasteActiva_3;AN111Woningen_4;AN1121Bedrijfsgebouwen_5;AN1122GrondWegEnWaterbouwkundig_6;AN1123OverdrachtskostenOpGrond_7;AN1131Vervoermiddelen_8;AN1131APersonenautoS_9;AN1131BOverigeWegvervoermiddelen_10;AN1131CTreinenEnTrams_11;AN1131DSchepen_12;AN1131EVliegtuigen_13;AN1132AComputers_14;AN1132BTelecommunicatieApparatuur_15;AN1139AN114MachinesInstallaties_16;AN11OOverigeMaterieleVasteActiva_17;AN115InCultuurGebrachteActiva_18;AN1171OnderzoekEnOntwikkeling_19;AN1173ComputerprogrammatuurEnDataba_20;AN117OOverigeImmaterieleActiva_21;AN12Voorraden_22;AN211Grond_23;AN2111AGrondOnderWoningen_24;AN2111BGrondOnderBedrijfsgebouwen_25;AN2112Landbouwgrond_26;AN212OlieEnGasreserves_27;AFTotaalFinancieleActiva_28;AF2ChartaalGeldEnDepositoS_29;AF21ChartaalGeld_30;AF22GiraleDepositoS_31;AF29OverigeDepositoS_32;AF3Schuldbewijzen_33;AF31KortlopendeSchuldbewijzen_34;AF32LanglopendeSchuldbewijzen_35;AF4Leningen_36;AF41KortlopendeLeningen_37;AF42LanglopendeLeningen_38;AF5AandelenEnOverigeDeelnemingen_39;AF51Deelnemingen_40;AF511BeursgenoteerdeAandelen_41;AF512NietBeursgenoteerdeAandelen_42;AF519OverigeDeelnemingen_43;AF52AandelenInBeleggingsfondsen_44;AF71FinancieleDerivaten_45;AF8OverigeVorderingenSchulden_46;TotaalPassiva_47;AFTotaalFinancielePassiva_48;AF2ChartaalGeldEnDepositoS_49;AF22GiraleDepositoS_50;AF29OverigeDepositoS_51;AF3Schuldbewijzen_52;AF31KortlopendeSchuldbewijzen_53;AF32LanglopendeSchuldbewijzen_54;AF4Leningen_55;AF41KortlopendeLeningen_56;AF42LanglopendeLeningen_57;AF51Deelnemingen_58;AF8OverigeVorderingenSchulden_59;B90TotaalVermogenssaldo_60;B90VermogenssaldoVorigJaar_61;B10TotaalMutatieInVermogenssaldo_62;B101Exploitatiesaldo_63;Overig_64
17;2012;881334;638479;403545;3415;95370;252074;1751;4270;568;1389;;954;769;2662;573;10453;5104;0;18353;9520;0;3325;36837;2616;30542;3679;194772;242855;17745;40;12601;5104;21163;815;20348;48970;49;48921;91385;89643;32;52177;37434;1742;12555;51037;881334;520282;1175;464;711;379756;32623;347133;98876;26532;72344;48;40427;361052;352044.0;9008.0;-21812.0;30820.0
18;2013;857668;620409;410698;3414;95902;258373;1658;4225;593;1367;;949;698;2681;612;10170;4960;0;18734;9968;0;2994;35021;2283;29070;3668;171696;237259;13834;44;10228;3562;15341;435;14906;58548;1195;57353;89319;88370;35;56931;31404;949;9512;50705;857668;522717;1287;592;695;379529;26135;353394;97192;25542;71650;93;44616;334951;361052.0;-26101.0;-17290.0;-8811.0
19;2014;836927;587501;413254;3341;95158;261953;1622;4055;551;1279;;932;659;2608;648;9774;4857;0;19081;10157;0;2590;34607;2517;28292;3798;137050;249426;12837;29;8788;4020;10918;323;10595;59037;1268;57769;91309;90395;36;55292;35067;914;23107;52218;836927;561953;1147;383;764;418566;23443;395123;96349;26125;70224;100;45791;274974;334951.0;-59977.0;-14997.0;-44980.0
20;2015;810095;568266;415003;3250;91831;265731;1567;4117;578;1205;;891;744;2576;568;10378;4831;0;19677;10478;0;2116;35255;2876;28361;4018;115892;241829;12342;23;8679;3640;10177;248;9929;53112;115;52997;98399;97505;17;62436;35052;894;17634;50165;810095;551332;1880;1125;755;404193;14061;390132;95630;26440;69190;95;49534;258763;274974.0;-16211.0;-11797.0;-4414.0
21;2016;740115;494949;415877;3265;90133;267446;1670;4245;644;1183;;860;695;2595;521;10283;4628;0;20282;10808;0;2016;36215;3165;28872;4178;40841;245166;13108;21;8997;4090;9657;993;8664;48083;142;47941;103091;102061;2186;60957;38918;1030;15211;56016;740115;550319;3746;3191;555;405053;16641;388412;92880;24146;68734;54;48586;189796;258763.0;-68967.0;1584.0;-70551.0
22;2017;726979;483290;425331;3292;89331;276734;1619;4204;685;1182;;788;651;2814;461;10375;4325;0;20931;11242;0;2108;37291;3582;29553;4156;18560;243689;15335;17;11070;4248;8913;745;8168;49661;18;49643;103014;102199;1634;62328;38237;815;11293;55473;726979;524375;1807;1236;571;386207;16987;369220;85653;19866;65787;57;50651;202604;189796.0;12808.0;9291.0;3517.0
23;2018;744232;499563;439031;3475;89856;288350;1570;4096;753;1187;;729;575;2966;442;10075;4296;0;21962;11944;0;2016;38395;4081;29864;4450;20121;244669;14617;14;10536;4067;10171;1973;8198;52073;222;51851;102589;102297;1254;60819;40224;292;7692;57527;744232;512956;1462;894;568;377363;21997;355366;80875;15550;65325;63;53193;231276;202604.0;28672.0;10954.0;17718.0
24;2019;761499;503592;453364;3686;91348;298130;1463;4257;780;1267;;703;646;2985;422;11034;4247;0;22987;12806;0;2009;38576;4437;29816;4324;9643;257907;15358;14;11941;3403;9064;2258;6806;53830;210;53620;112335;111970;1598;61436;48936;365;8647;58673;761499;508498;1545;1005;540;372777;17081;355696;83261;16570;66691;59;50856;253001;231276.0;21725.0;15894.0;5831.0
25;2020;785941;506638;464678;3933;94535;302975;1385;4284;822;1326;;673;600;3069;378;12326;4200;0;24150;13443;0;2389;38698;4884;29291;4523;873;279303;20975;11;19564;1400;8584;1804;6780;57540;213;57327;108872;108538;822;50982;56734;334;5072;78260;785941;561477;1365;856;509;424215;35984;388231;78388;10478;67910;63;57446;224464;253001.0;-28537.0;-27427.0;-1110.0
26;2021;837182;548597;487761;4182;97170;319677;1324;4234;826;1357;;663;543;3220;310;13340;4274;0;26139;13891;0;2782;40060;5970;29283;4807;17994;288585;15310;13;14069;1228;9598;3295;6303;59999;277;59722;111394;110984;1040;55227;54717;410;2249;90035;837182;573352;1979;1457;522;430412;26171;404241;76201;6796;69405;64;64696;263830;224464.0;39366.0;-18253.0;57619.0
27;2022;945633;660298;531315;4409;99724;353719;1494;4398;868;1445;;648;576;3521;284;15783;4674;0;28227;15083;0;5391;41343;7095;29201;5047;82249;285335;23323;10;22063;1250;11646;5420;6226;65283;4141;61142;83426;82141;1062;61205;19874;1285;-217;101874;945633;523568;1796;1245;551;383426;47820;335606;72115;2880;69235;65;66166;422065;263830.0;158235.0;1873.0;156362.0
28;2023;925617;639630;556734;4669;105051;369243;1281;4608;883;1592;;639;629;3647;265;16619;4792;0;30117;16442;0;5178;39968;6650;27966;5352;37750;285987;19950;10;15261;4679;9709;3711;5998;63256;657;62599;96125;94942;599;63583;30760;1183;-266;97213;925617;531173;1779;1220;559;392881;32790;360091;74254;7276;66978;65;62194;394444;422065.0;-27621.0;-2452.0;-25169.0
