ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;TotaalNettoOmzet_25;VerleendeDiensten_26;Handelsgoederen_27;PersonenautoS_28;VrachtautoSAanhangwagensEnOpleggers_29;OverigeOmzetVerhuurEnLease_30;OntvangstenVoorUitleenEnSubsidie_31;TotaalPersoneelskosten_32;BrutoLonenEnSalarissen_33;SocialeLasten_34;Pensioenpremies_35;KostenUitzendkrachten_36;KostenIngeleendPersoneel_37;OverigePersoneelskosten_38;TotaalOverigeBedrijfslasten_39;TotaalHuisvestingskosten_40;BetaaldeHurenPachtenEDVanLeasing_41;OnroerendeZaakbelastingMilieuheffing_42;Energiekosten_43;ReparatieEnOnderhoudskosten_44;Verzekeringen_45;OverigeHuisvestingskosten_46;TotaalInventarisEnMachinekosten_47;BetaaldeHurenEnKostenVanOperLease_48;Onderhoudskosten_49;OverigeInventarisEnMachinekosten_50;TotaalAutokosten_51;BetaaldeHurenEnKostenVanOperLease_52;Brandstof_53;OverigeAutokosten_54;TotaalVerkoopkosten_55;ReclameEnAdvertentiekosten_56;ReisVerblijfsEnRepresentatiekosten_57;OverigeVerkoopkosten_58;TotaalAndereKosten_59;AccountantsEnAdviesdiensten_60;KantoorbenodigdhDrukwerkVakliteratuur_61;OverigeVerzekeringen_62;OverigeKostprijsverhogendeBelastingen_63;Communicatiekosten_64;Beheerskosten_65;OverigeAutomatiseringskosten_66;NogNietEerderGenoemdeBedrijfskosten_67;TotaalAantalWerkzamePersonen_68;WerknemersOpDeLoonlijst_69;WerknemersNietOpLoonlijst_70;OverigPersoneel_71;AantalVte_72;TotaalInvesteringen_73;TotaalMaterieleVasteActiva_74;Bedrijfsruimten_75;Vervoermiddelen_76;Computers_77;OverigeMachinesApparatenED_78;OverigeMaterieleVasteActiva_79;TotaalImmaterieleVasteActiva_80
10;100 000 tot 250 000 euro;1998;0.6;11.0;11.0;11.0;0.0;0.0;9.0;43.2;3.7;39.7;13.5;1.0;0.0;0.0;0.0;0.0;1.0;3.0;-1.0;2.0;66.3;14.9;15.0;6.6;11.0;11.0;0.0;87.7;7.4;0.8;0.9;0.0;76.4;17.5;0.1;2.4;1.2;3.3;1.0;0.0;;;;;;;0.0;;;;0.0;;;;0.0;;;;1.0;;;;;;;;;1.0;59.8;40.2;0.0;1.0;1.0;100.0;7.5;89.1;0.5;2.9;0.0;0.0
11;100 000 tot 250 000 euro;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;250 000 tot 750 000 euro;1996;0.7;28.0;28.0;27.0;1.0;0.0;26.0;53.5;7.7;22.2;16.5;4.0;1.0;0.0;1.0;1.0;1.0;3.0;-1.0;2.0;50.7;6.1;6.7;53.8;28.0;27.0;1.0;89.9;3.4;0.8;2.8;2.0;80.1;8.4;0.7;2.5;9.5;1.7;4.0;1.0;82.4;0.9;6.3;5.4;2.5;2.4;0.0;0.0;28.5;71.5;1.0;79.3;4.9;15.8;1.0;64.4;12.8;22.9;1.0;21.9;13.7;4.6;1.0;15.6;10.3;4.8;28.1;2.0;57.4;35.2;7.4;1.0;15.0;99.6;10.6;84.9;0.2;0.6;3.3;0.4
13;250 000 tot 750 000 euro;1997;0.4;20.0;20.0;19.0;0.0;0.0;18.0;59.8;9.8;19.3;11.1;2.0;1.0;0.0;0.0;0.0;1.0;2.0;0.0;2.0;46.0;6.8;7.7;40.7;20.0;19.0;0.0;82.1;10.5;1.0;0.1;2.0;73.2;10.6;1.8;2.9;9.8;1.7;2.0;1.0;71.3;0.9;12.7;9.0;1.8;4.3;0.0;1.7;90.8;7.5;0.0;1.0;67.2;31.8;0.0;75.3;10.2;14.5;1.0;32.1;14.1;4.7;0.0;15.8;4.8;1.8;26.6;2.0;68.1;18.2;13.7;1.0;8.0;100.0;0.0;98.3;0.1;1.1;0.5;0.0
14;250 000 tot 750 000 euro;1998;0.6;28.0;28.0;28.0;0.0;0.0;26.0;48.3;13.0;23.1;15.6;4.0;1.0;0.0;0.0;1.0;2.0;2.0;-1.0;1.0;55.0;4.1;5.2;28.7;28.0;28.0;0.0;81.2;9.0;1.5;0.8;3.0;80.5;12.5;2.5;1.8;0.3;3.2;4.0;1.0;;;;;;;0.0;;;;0.0;;;;1.0;;;;2.0;;;;;;;;;3.0;88.2;9.9;1.9;2.0;8.0;100.0;0.4;98.6;0.2;0.2;0.5;0.0
15;250 000 tot 750 000 euro;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;750 000 euro en meer;1996;0.7;316.0;309.0;276.0;34.0;7.0;283.0;45.4;14.4;28.0;12.2;34.0;8.0;1.0;1.0;11.0;14.0;33.0;-13.0;20.0;58.4;5.7;6.3;135.0;309.0;276.0;34.0;89.5;8.0;0.6;0.3;41.0;80.5;7.6;3.9;3.7;1.4;3.1;34.0;8.0;74.1;2.4;7.7;6.9;1.6;7.4;1.0;25.2;41.1;33.7;1.0;12.7;24.1;63.2;11.0;48.3;6.3;45.4;14.0;8.2;9.2;1.4;3.7;24.7;23.0;9.3;20.4;19.0;93.7;0.6;5.8;15.0;427.0;99.6;0.3;97.8;0.1;0.2;1.2;0.4
17;750 000 euro en meer;1997;0.6;307.0;298.0;269.0;29.0;9.0;275.0;43.2;16.8;26.9;13.1;36.0;8.0;1.0;1.0;12.0;13.0;32.0;-11.0;21.0;60.2;6.0;7.0;133.3;298.0;269.0;29.0;86.7;9.2;0.8;0.1;46.0;76.0;7.0;4.0;7.7;0.4;5.1;36.0;8.0;72.3;3.7;8.3;8.1;1.5;6.2;1.0;22.1;60.8;17.1;1.0;7.1;29.8;63.1;12.0;43.9;6.5;49.6;13.0;9.5;8.0;2.1;4.0;28.7;17.6;12.2;17.8;18.0;94.7;0.1;5.3;15.0;409.0;100.0;0.6;98.5;0.1;0.2;0.6;0.0
18;750 000 euro en meer;1998;0.6;396.0;389.0;365.0;24.0;7.0;351.0;42.8;16.8;27.5;12.8;45.0;9.0;1.0;2.0;14.0;18.0;45.0;-14.0;31.0;61.3;7.3;7.9;99.1;389.0;365.0;24.0;85.5;8.2;1.0;0.2;59.0;70.0;10.2;5.5;9.8;0.3;4.5;45.0;9.0;;;;;;;1.0;;;;2.0;;;;14.0;;;;18.0;;;;;;;;;21.0;93.8;0.1;6.1;18.0;393.0;99.9;0.1;97.9;0.2;0.3;1.4;0.1
19;750 000 euro en meer;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
