ID;BedrijfstakkenBranchesSBI2008;TotaalArbeidskosten_1;ArbeidskostenPerVoltijdeenheid_2;ArbeidskostenPerGewerktUur_3;ArbeidskostenPerBetaaldUur_4;GewerkteUrenPerVoltijdeenheid_5;TotaalOpbouwArbeidskosten_6;Lonen_7;WettelijkeSocialePremies_8;ContractueleSocialePremies_9;ToegerekendeSocialePremies_10;OverigeKosten_11
23;23 Bouwmaterialenindustrie;1.4;53.5;29.44;25.38;1818;100;76.0;9.8;8.5;3.7;2.0
24;24 Basismetaalindustrie;1.3;61.8;34.99;29.69;1767;100;77.9;9.0;7.4;3.3;2.4
25;25 Metaalproductenindustrie;4.1;48.2;26.59;23.03;1811;100;78.1;9.8;7.5;3.0;1.7
26;26 Elektrotechnische industrie;1.7;62.7;35.7;30.17;1755;100;78.1;8.6;9.4;2.9;1.1
27;27 Elektrische apparatenindustrie;1.1;57.6;32.41;27.68;1777;100;78.0;8.7;8.8;2.8;1.7
28;28 Machine-industrie;4.1;56.6;30.98;26.81;1827;100;78.0;9.1;8.4;3.1;1.4
29;29 Auto- en aanhangwagenindustrie;1.1;51.1;29.49;24.9;1734;100;76.3;9.8;8.7;3.4;1.8
30;30 Overige transportmiddelenindustrie;0.8;53.2;29.55;25.17;1799;100;77.4;9.2;8.4;3.3;1.7
31;31 Meubelindustrie;0.8;43.0;24.39;20.88;1764;100;77.8;10.0;7.0;3.4;1.8
32;32 Overige industrie;3.9;34.5;21.78;18.0;1583;100;75.0;10.3;8.8;4.2;1.7
33;33 Reparatie en installatie van machines;2.1;58.1;31.99;27.6;1815;100;78.3;8.9;7.9;3.2;1.6
34;D Energievoorziening;1.4;72.1;42.21;35.51;1709;100;76.0;6.6;9.3;4.5;3.6
35;35 Energiebedrijven;1.4;72.1;42.21;35.51;1709;100;76.0;6.6;9.3;4.5;3.6
36;E Waterbedrijven en afvalbeheer;1.8;55.9;29.4;26.68;1902;100;74.4;8.5;8.6;5.3;3.2
37;36 Waterleidingbedrijven;0.3;64.8;40.73;31.93;1592;100;75.5;7.1;9.1;4.6;3.6
38;37 Afvalwaterinzameling en -behandeling;0.2;56.8;32.29;28.06;1760;100;73.9;8.7;8.9;5.2;3.4
39;38 Afvalbehandeling en recycling;1.2;54.0;27.24;25.55;1984;100;74.2;8.7;8.4;5.5;3.1
40;39 Sanering en overig afvalbeheer;0.1;55.3;28.58;25.5;1933;100;75.2;8.9;8.7;4.8;2.4
41;F Bouwnijverheid;19.0;52.9;29.76;25.28;1779;100;77.2;9.1;8.1;3.2;2.3
42;41 Algemene bouw en projectontwikkeling;6.3;55.6;31.88;26.57;1743;100;77.8;8.6;8.1;3.2;2.2
43;42 Grond-, water-  en wegenbouw;3.0;60.2;32.65;28.09;1845;100;77.2;8.6;8.0;3.3;2.9
44;43 Gespecialiseerde bouw;9.6;49.5;27.77;23.77;1783;100;76.9;9.6;8.2;3.2;2.1
45;G Handel;39.6;43.4;24.91;21.33;1744;100;78.4;9.0;6.6;3.0;3.0
46;45 Autohandel en -reparatie;4.5;43.3;24.6;21.11;1761;100;78.9;9.5;6.1;2.8;2.7
47;46 Groothandel en handelsbemiddeling;22.2;55.4;30.87;26.72;1795;100;78.7;8.5;7.0;2.8;3.0
48;47 Detailhandel (niet in auto's);12.9;31.7;18.74;15.86;1690;100;77.6;9.9;6.1;3.4;3.0
49;H Vervoer en opslag;15.9;50.7;26.91;23.19;1883;100;77.3;9.3;7.9;3.5;2.0
50;49 Vervoer over land;7.7;47.3;23.31;20.67;2030;100;77.0;10.0;7.7;3.2;2.1
51;50 Vervoer over water;0.7;54.2;30.38;25.23;1785;100;85.3;7.9;8.6;3.6;-5.5
52;51 Vervoer door de lucht;1.8;71.4;42.65;34.18;1673;100;75.0;7.5;10.2;4.2;3.0
53;52 Opslag, dienstverlening voor vervoer;3.8;56.3;31.78;26.88;1772;100;78.0;8.8;7.2;3.8;2.3
54;53 Post en koeriers;1.8;41.3;24.81;20.54;1666;100;76.2;9.8;7.7;3.7;2.7
55;I Horeca;4.8;28.8;17.4;14.59;1655;100;78.8;10.8;4.5;2.8;3.1
56;55 Logiesverstrekking;1.4;31.8;19.23;15.99;1652;100;78.5;10.7;4.4;3.2;3.2
57;56 Restaurants en cafés;3.5;27.8;16.76;14.09;1656;100;78.9;10.8;4.6;2.6;3.1
58;J Informatie en communicatie;14.0;65.6;37.87;32.05;1731;100;79.3;8.4;6.3;2.8;3.1
59;58 Uitgeverijen;1.9;62.8;38.74;32.51;1620;100;77.2;9.0;8.1;3.3;2.4
60;"59 Film- en tv-productie; geluidsopname";0.6;54.2;31.24;26.43;1734;100;79.6;9.2;5.4;3.1;2.7
61;60 Radio- en televisieomroepen;0.4;70.6;43.24;36.2;1632;100;76.6;9.0;7.6;3.3;3.4
62;61 Telecommunicatie;2.3;66.3;39.32;32.56;1686;100;77.3;8.2;8.4;3.4;2.7
63;62 IT-dienstverlening;8.2;67.2;37.87;32.28;1774;100;80.3;8.4;5.5;2.5;3.4
64;63 Diensten op het gebied van informatie;0.7;61.4;34.9;29.85;1760;100;83.0;6.8;4.8;2.3;3.1
65;K Financiële dienstverlening;19.3;80.3;48.09;40.79;1670;100;75.5;6.3;11.0;3.1;4.1
66;64 Bankwezen;10.7;87.5;53.23;44.89;1643;100;75.4;5.8;11.6;3.1;4.1
67;65 Verzekeraars en pensioenfondsen;5.2;76.6;46.34;39.3;1653;100;73.8;7.3;11.4;3.4;4.0
68;66 Overige financiële dienstverlening;3.4;67.6;38.44;33.04;1758;100;78.6;6.4;8.5;2.6;3.9
69;L Verhuur en handel van onroerend goed;3.5;57.4;34.63;29.17;1658;100;78.7;7.8;6.4;3.1;4.0
70;68 Verhuur en handel van onroerend goed;3.5;57.4;34.63;29.17;1658;100;78.7;7.8;6.4;3.1;4.0
71;M Specialistische zakelijke diensten;28.9;65.6;37.68;32.13;1740;100;80.8;6.9;6.1;2.7;3.5
72;69 Juridische diensten en administratie;6.6;61.3;35.82;30.34;1712;100;80.8;7.4;5.5;2.7;3.5
73;70 Holdings en managementadviesbureaus;11.4;78.5;44.82;38.26;1750;100;82.3;5.5;6.1;2.6;3.6
74;71 Architecten-, ingenieursbureaus e.d.;5.8;59.7;33.79;28.89;1767;100;79.1;8.1;6.3;2.8;3.7
75;72 Research;2.0;65.8;38.69;32.58;1700;100;79.7;8.0;7.3;2.7;2.2
76;73 Reclamewezen en marktonderzoek;1.9;51.1;29.14;25.2;1753;100;79.1;8.5;5.9;2.5;3.9
77;74 Design, fotografie, vertaalbureaus;1.0;53.9;31.17;26.69;1730;100;79.7;7.9;6.0;2.6;3.9
78;75 Veterinaire dienstverlening;0.2;38.7;23.61;20.16;1638;100;78.2;9.6;7.1;3.2;1.9
79;N Verhuur en overige zakelijke diensten;21.2;36.5;20.38;17.94;1788;100;78.8;11.2;4.1;2.8;3.1
80;77 Verhuur van roerende goederen;1.1;50.9;27.15;24.3;1876;100;77.8;8.7;6.6;3.0;4.0
81;78 Uitzendbureaus en arbeidsbemiddeling;14.1;35.5;19.82;17.58;1792;100;79.6;11.8;3.1;2.4;3.1
82;79 Reisbureaus, reisorganisatie en -info;0.7;40.4;23.75;19.8;1702;100;78.2;9.6;6.6;3.6;2.1
83;80 Beveiligings- en opsporingsdiensten;1.2;41.3;21.34;19.11;1937;100;76.3;11.1;5.5;3.7;3.4
84;81 Schoonmaakbedrijven, hoveniers e.d.;3.0;32.8;19.12;16.26;1715;100;76.9;10.6;5.8;3.8;3.0
85;82 Overige zakelijke dienstverlening;1.1;43.0;23.67;20.88;1818;100;77.4;9.7;5.8;3.4;3.8
86;O Openbaar bestuur en overheidsdiensten;27.8;61.8;38.95;32.22;1585;100;69.8;6.6;9.5;9.8;4.3
87;84 Openbaar bestuur en overheidsdiensten;27.8;61.8;38.95;32.22;1585;100;69.8;6.6;9.5;9.8;4.3
88;P Onderwijs;21.8;56.2;36.58;29.54;1536;100;73.6;7.7;8.8;5.6;4.4
89;85 Onderwijs;21.8;56.2;36.58;29.54;1536;100;73.6;7.7;8.8;5.6;4.4
90;Q Gezondheids- en welzijnszorg;36.6;44.1;29.38;23.97;1500;100;76.4;9.0;6.9;4.9;2.9
91;86 Gezondheidszorg;18.3;51.8;33.14;27.51;1563;100;76.6;8.4;7.4;4.6;3.1
92;87 Verpleging en zorg met overnachting;10.5;39.1;26.73;21.64;1464;100;76.0;9.6;6.3;5.2;2.8
93;88 Welzijnszorg zonder overnachting;7.9;37.4;25.96;20.75;1442;100;76.3;9.6;6.3;5.3;2.6
94;R Cultuur, sport en recreatie;3.4;44.5;26.97;22.65;1648;100;78.6;9.4;6.1;3.3;2.6
95;90 Kunst;0.8;46.1;27.73;23.25;1664;100;79.0;9.5;5.8;3.2;2.4
96;91 Bibliotheken, musea en natuurbehoud;0.7;45.7;29.05;24.36;1575;100;77.3;9.9;6.5;3.5;2.7
97;92 Loterijen en kansspelen;0.4;57.9;34.21;28.77;1692;100;76.3;9.3;7.3;3.5;3.6
98;93 Sport en recreatie;1.5;40.4;24.26;20.4;1664;100;79.6;9.0;5.7;3.3;2.4
99;S Overige dienstverlening;4.5;41.8;26.01;21.77;1607;100;77.8;9.3;7.2;3.5;2.2
100;94 Ideële, belangen-, hobbyverenigingen;3.1;50.1;31.3;26.08;1602;100;77.4;8.9;7.8;3.6;2.3
101;95 Reparatie van consumentenartikelen;0.2;37.0;21.35;18.25;1734;100;79.5;9.6;5.4;2.8;2.6
102;96 Overige persoonlijke dienstverlening;1.2;29.6;18.55;15.59;1598;100;78.6;10.3;5.9;3.4;1.8
