ID;Mineralen;Perioden;TotaalAanvoer_1;Veevoeders_2;Levensmiddelen_3;AnOrganischeVerbindingen_4;GrensoverschrijdendeRivieren_5;AanvoerViaLucht_6;Luchtstikstofbinding_7;TotaalAfvoer_8;MengvoedersEnMest_9;LevensmiddelenInclReststoffen_10;AnOrganischeVerbindingen_11;AfvoerRivierwaterEnLozingenNaarZee_12;AfvoerViaLucht_13;TotaalAccumulatie_14;LandbouwgrondEnGrondwater_15;OverigeGrondenEnGrondwater_16;ZoetOppervlaktewaterEnWaterbodem_17;GeredeProducten_18;TotaalAanvoer_19;TotaalLandbouwgronden_20;DierlijkeMest_21;Kunstmest_22;AndereOrganischeMeststoffen_23;DepositieNeerslag_24;OverigeAanvoer_25;TotaalOverigeGronden_26;Zuiveringsslib_27;Baggerspecie_28;OverigAfval_29;DepositieNeerslag_30;OverigeDiffuseAanvoer_31;TotaalAfvoer_32;TotaalLandbouwgronden_33;AfvoerMetGewassen_34;EmissieNaarWater_35;UitEnAfspoeling_36;OverigeGrondenUitEnAfspoeling_37;TotaalAccumulatie_38;Landbouwgronden_39;OverigeGronden_40;TotaalAanvoer_41;GrensoverschrijdendeRivieren_42;Industrie_43;Huishoudens_44;Landbouw_45;Landbouwgronden_46;OverigeGronden_47;DepositieNeerslag_48;TotaalAfvoer_49;NaarZee_50;Baggerspecie_51;Accumulatie_52
10;Stikstof (N);2004;;;;;;;;;;;;;;;;;;;822;729;343;288;12;57;29;93;1;3;22;45;22;458;452;393;4;55;6;364;277;87;359.0;260.0;5.0;19.0;4.0;55.0;6.0;10.0;265.0;262.0;3.0;94.0
11;Stikstof (N);2005;3991.0;385.0;484.0;413.0;252.0;39.0;2418.0;3339.0;77.0;523.0;2215.0;239.0;285.0;652.0;290.0;88.0;101.0;173.0;812;719;355;268;11;56;29;93;1;3;22;45;22;434;429;380;4;45;5;378;290;88;337.0;252.0;4.0;18.0;3.0;45.0;5.0;10.0;236.0;233.0;3.0;101.0
12;Stikstof (N);2006;;;;;;;;;;;;;;;;;;;810;711;343;276;7;58;27;99;0;3;22;48;26;445;441;394;4;43;4;365;270;95;347.0;267.0;4.0;15.0;3.0;43.0;4.0;11.0;243.0;240.0;3.0;104.0
13;Stikstof (N);2007;;;;;;;;;;;;;;;;;;;772;676;336;248;7;57;28;96;0;3;22;47;24;482;473;391;4;78;9;290;203;87;399.0;281.0;4.0;14.0;3.0;78.0;9.0;10.0;297.0;294.0;3.0;102.0
14;Stikstof (N);2008;;;;;;;;;;;;;;;;;;;763;668;346;230;7;57;28;95;0;3;22;47;23;458;451;397;4;50;7;305;217;88;335.0;248.0;4.0;13.0;3.0;50.0;7.0;10.0;249.0;246.0;3.0;86.0
15;Stikstof (N);2009;;;;;;;;;;;;;;;;;;;720;636;333;218;8;48;29;84;0;3;22;37;22;425;421;385;3;33;4;295;215;80;283.0;220.0;4.0;12.0;3.0;33.0;4.0;7.0;226.0;223.0;3.0;57.0
16;Stikstof (N);2010;4442.0;420.0;801.0;562.0;249.0;34.0;2376.0;3871.0;128.0;806.0;2396.0;281.0;260.0;571.0;191.0;82.0;50.0;248.0;717;629;333;212;7;48;29;88;0;3;23;37;25;444;438;385;3;50;6;273;191;82;332.0;249.0;4.0;13.0;3.0;50.0;6.0;7.0;282.0;279.0;3.0;50.0
17;Stikstof (N);2011;;;;;;;;;;;;;;;;;;;713;616;323;205;7;52;29;97;0;3;24;45;25;438;432;379;3;50;6;275;184;91;308.0;225.0;4.0;12.0;3.0;50.0;6.0;8.0;232.0;229.0;3.0;76.0
18;Stikstof (N);2012;;;;;;;;;;;;;;;;;;;684;592;308;202;8;45;29;92;0;3;23;41;25;420;414;361;3;50;6;264;178;86;344.0;263.0;3.0;12.0;3.0;50.0;6.0;7.0;253.0;250.0;3.0;91.0
19;Stikstof (N);2013;;;;;;;;;;;;;;;;;;;693;605;325;202;8;40;30;88;0;3;22;38;25;446;440;387;3;50;6;247;165;82;;;;;;;;;;;;
20;Fosfor (P);1986;538.0;80.0;9.0;402.0;47.0;;;379.0;;32.0;308.0;46.0;;159.0;87.0;17.0;30.0;25.0;175;157;113;36;5;2;1;18;2;6;7;1;3;71;70;65;1;4;1;104;87;17;78.0;46.0;15.0;11.0;1.0;4.0;1.0;0.0;48.0;42.0;6.0;30.0
21;Fosfor (P);1990;576.0;72.0;46.0;438.0;20.0;;;460.0;5.0;66.0;364.0;25.0;;116.0;71.0;17.0;17.0;12.0;157;140;99;33;6;1;1;17;3;5;6;1;2;70;69;65;1;3;1;87;71;17;45.0;20.0;16.0;4.0;1.0;3.0;1.0;0.0;28.0;23.0;5.0;17.0
22;Fosfor (P);1995;595.0;84.0;70.0;419.0;22.0;;;489.0;16.0;88.0;352.0;33.0;;106.0;59.0;16.0;-1.0;31.0;138;121;89;27;4;0;1;17;4;3;5;0;5;62;62;57;1;4;1;76;59;16;34.0;22.0;4.0;3.0;1.0;4.0;1.0;0.0;35.0;32.0;3.0;-1.0
23;Fosfor (P);1997;;;;;;;;;;;;;;;;;;;132;115;83;28;3;0;1;17;4;3;5;0;5;67;67;62;1;4;1;65;48;16;27.0;15.0;4.0;2.0;1.0;4.0;1.0;0.0;19.0;16.0;3.0;8.0
24;Fosfor (P);1998;;;;;;;;;;;;;;;;;;;132;113;78;31;3;0;1;19;3;3;5;0;8;61;61;56;1;4;1;71;52;18;34.0;22.0;4.0;2.0;1.0;4.0;1.0;0.0;21.0;18.0;3.0;13.0
25;Fosfor (P);1999;;;;;;;;;;;;;;;;;;;132;116;84;28;3;0;1;16;2;3;5;0;6;64;64;59;1;4;1;68;52;15;34.0;23.0;4.0;2.0;1.0;4.0;1.0;0.0;21.0;18.0;3.0;13.0
26;Fosfor (P);2000;513.0;72.0;75.0;349.0;17.0;;;420.0;19.0;80.0;303.0;18.0;;93.0;43.0;16.0;6.0;28.0;125;108;76;27;4;0;1;17;1;3;5;0;8;66;65;60;1;5;1;59;43;16;27.0;17.0;2.0;2.0;1.0;5.0;1.0;0.0;21.0;18.0;3.0;6.0
27;Fosfor (P);2001;;;;;;;;;;;;;;;;;;;116;100;73;23;3;0;1;16;1;2;5;0;8;63;62;57;1;5;1;53;38;15;21.0;12.0;1.0;2.0;1.0;5.0;1.0;0.0;15.0;13.0;2.0;6.0
28;Fosfor (P);2002;;;;;;;;;;;;;;;;;;;110;92;67;21;3;0;1;18;1;2;5;0;10;67;67;61;1;5;1;43;25;17;36.0;26.0;1.0;2.0;1.0;5.0;1.0;0.0;30.0;28.0;2.0;6.0
29;Fosfor (P);2003;;;;;;;;;;;;;;;;;;;112;95;67;23;4;0;1;17;0;2;5;0;10;53;52;49;1;2;0;59;43;17;24.0;17.0;1.0;2.0;1.0;3.0;0.0;0.0;13.0;11.0;2.0;11.0
30;Fosfor (P);2004;;;;;;;;;;;;;;;;;;;104;87;64;18;4;0;1;17;0;2;5;0;10;60;59;55;1;3;1;44;28;17;23.0;16.0;1.0;2.0;1.0;4.0;1.0;0.0;18.0;16.0;2.0;5.0
31;Fosfor (P);2005;473.0;62.0;74.0;327.0;10.0;;;393.0;19.0;81.0;283.0;10.0;;80.0;34.0;17.0;5.0;24.0;110;93;67;21;4;0;1;17;0;2;5;0;10;59;59;55;1;3;1;51;34;17;17.0;10.0;1.0;2.0;1.0;3.0;1.0;0.0;12.0;10.0;2.0;5.0
32;Fosfor (P);2006;;;;;;;;;;;;;;;;;;;108;90;66;21;3;0;0;18;0;2;5;0;11;57;57;53;1;3;1;51;33;18;17.0;10.0;1.0;2.0;1.0;3.0;1.0;0.0;12.0;10.0;2.0;5.0
33;Fosfor (P);2007;;;;;;;;;;;;;;;;;;;96;80;61;16;2;0;1;16;0;2;5;0;9;62;61;56;1;5;1;34;19;15;20.0;11.0;1.0;2.0;1.0;5.0;1.0;0.0;16.0;14.0;2.0;4.0
34;Fosfor (P);2008;;;;;;;;;;;;;;;;;;;96;77;62;12;2;0;1;19;0;2;5;0;12;63;62;58;0;4;1;33;15;18;20.0;13.0;1.0;2.0;0.0;4.0;1.0;0.0;15.0;13.0;2.0;5.0
35;Fosfor (P);2009;;;;;;;;;;;;;;;;;;;84;66;59;4;2;0;1;18;0;2;5;0;11;58;57;54;1;3;0;26;9;18;15.0;9.0;1.0;2.0;1.0;3.0;0.0;0.0;17.0;15.0;2.0;-2.0
36;Fosfor (P);2010;462.0;68.0;109.0;274.0;11.0;;;319.0;30.0;110.0;167.0;12.0;;143.0;20.0;20.0;5.0;98.0;99;78;62;13;2;0;1;21;0;2;6;0;13;59;58;54;1;4;1;40;20;20;18.0;11.0;1.0;2.0;0.0;4.0;1.0;0.0;13.0;11.0;2.0;5.0
37;Fosfor (P);2011;;;;;;;;;;;;;;;;;;;89;69;58;7;3;0;1;20;0;2;6;0;12;59;58;54;1;4;1;30;11;19;14.0;7.0;1.0;1.0;0.0;4.0;1.0;0.0;9.0;7.0;2.0;5.0
38;Fosfor (P);2012;;;;;;;;;;;;;;;;;;;82;62;53;5;3;0;1;20;0;2;6;0;12;59;58;54;1;4;1;23;4;19;16.0;9.0;1.0;1.0;0.0;4.0;1.0;0.0;11.0;9.0;2.0;5.0
39;Fosfor (P);2013;;;;;;;;;;;;;;;;;;;81;64;55;5;3;0;1;17;0;2;3;0;12;59;58;54;1;4;1;22;6;16;;;;;;;;;;;;
