ID;TypeGefailleerde;Perioden;UitgesprokenFaillissementen_1
140;Totaal rechtsvormen Nederland/buitenland;1989 april;287
141;Totaal rechtsvormen Nederland/buitenland;1989 mei;302
142;Totaal rechtsvormen Nederland/buitenland;1989 juni;328
143;Totaal rechtsvormen Nederland/buitenland;1989 2e kwartaal;917
144;Totaal rechtsvormen Nederland/buitenland;1989 juli;261
145;Totaal rechtsvormen Nederland/buitenland;1989 augustus;289
146;Totaal rechtsvormen Nederland/buitenland;1989 september;322
147;Totaal rechtsvormen Nederland/buitenland;1989 3e kwartaal;872
148;Totaal rechtsvormen Nederland/buitenland;1989 oktober;305
149;Totaal rechtsvormen Nederland/buitenland;1989 november;354
150;Totaal rechtsvormen Nederland/buitenland;1989 december;236
151;Totaal rechtsvormen Nederland/buitenland;1989 4e kwartaal;895
152;Totaal rechtsvormen Nederland/buitenland;1989;3679
153;Totaal rechtsvormen Nederland/buitenland;1990 januari;342
154;Totaal rechtsvormen Nederland/buitenland;1990 februari;266
155;Totaal rechtsvormen Nederland/buitenland;1990 maart;327
156;Totaal rechtsvormen Nederland/buitenland;1990 1e kwartaal;935
157;Totaal rechtsvormen Nederland/buitenland;1990 april;270
158;Totaal rechtsvormen Nederland/buitenland;1990 mei;318
159;Totaal rechtsvormen Nederland/buitenland;1990 juni;284
160;Totaal rechtsvormen Nederland/buitenland;1990 2e kwartaal;872
161;Totaal rechtsvormen Nederland/buitenland;1990 juli;276
162;Totaal rechtsvormen Nederland/buitenland;1990 augustus;270
163;Totaal rechtsvormen Nederland/buitenland;1990 september;321
164;Totaal rechtsvormen Nederland/buitenland;1990 3e kwartaal;867
165;Totaal rechtsvormen Nederland/buitenland;1990 oktober;331
166;Totaal rechtsvormen Nederland/buitenland;1990 november;303
167;Totaal rechtsvormen Nederland/buitenland;1990 december;211
168;Totaal rechtsvormen Nederland/buitenland;1990 4e kwartaal;845
169;Totaal rechtsvormen Nederland/buitenland;1990;3519
170;Totaal rechtsvormen Nederland/buitenland;1991 januari;324
171;Totaal rechtsvormen Nederland/buitenland;1991 februari;319
172;Totaal rechtsvormen Nederland/buitenland;1991 maart;337
173;Totaal rechtsvormen Nederland/buitenland;1991 1e kwartaal;980
174;Totaal rechtsvormen Nederland/buitenland;1991 april;290
175;Totaal rechtsvormen Nederland/buitenland;1991 mei;343
176;Totaal rechtsvormen Nederland/buitenland;1991 juni;315
177;Totaal rechtsvormen Nederland/buitenland;1991 2e kwartaal;948
178;Totaal rechtsvormen Nederland/buitenland;1991 juli;336
179;Totaal rechtsvormen Nederland/buitenland;1991 augustus;287
180;Totaal rechtsvormen Nederland/buitenland;1991 september;302
181;Totaal rechtsvormen Nederland/buitenland;1991 3e kwartaal;925
182;Totaal rechtsvormen Nederland/buitenland;1991 oktober;453
183;Totaal rechtsvormen Nederland/buitenland;1991 november;419
184;Totaal rechtsvormen Nederland/buitenland;1991 december;350
185;Totaal rechtsvormen Nederland/buitenland;1991 4e kwartaal;1222
186;Totaal rechtsvormen Nederland/buitenland;1991;4075
187;Totaal rechtsvormen Nederland/buitenland;1992 januari;358
188;Totaal rechtsvormen Nederland/buitenland;1992 februari;351
189;Totaal rechtsvormen Nederland/buitenland;1992 maart;414
190;Totaal rechtsvormen Nederland/buitenland;1992 1e kwartaal;1123
191;Totaal rechtsvormen Nederland/buitenland;1992 april;441
192;Totaal rechtsvormen Nederland/buitenland;1992 mei;378
193;Totaal rechtsvormen Nederland/buitenland;1992 juni;374
194;Totaal rechtsvormen Nederland/buitenland;1992 2e kwartaal;1193
195;Totaal rechtsvormen Nederland/buitenland;1992 juli;421
196;Totaal rechtsvormen Nederland/buitenland;1992 augustus;315
197;Totaal rechtsvormen Nederland/buitenland;1992 september;514
198;Totaal rechtsvormen Nederland/buitenland;1992 3e kwartaal;1250
199;Totaal rechtsvormen Nederland/buitenland;1992 oktober;506
200;Totaal rechtsvormen Nederland/buitenland;1992 november;464
201;Totaal rechtsvormen Nederland/buitenland;1992 december;509
202;Totaal rechtsvormen Nederland/buitenland;1992 4e kwartaal;1479
203;Totaal rechtsvormen Nederland/buitenland;1992;5045
204;Totaal rechtsvormen Nederland/buitenland;1993 januari;454
205;Totaal rechtsvormen Nederland/buitenland;1993 februari;461
206;Totaal rechtsvormen Nederland/buitenland;1993 maart;639
207;Totaal rechtsvormen Nederland/buitenland;1993 1e kwartaal;1554
208;Totaal rechtsvormen Nederland/buitenland;1993 april;507
209;Totaal rechtsvormen Nederland/buitenland;1993 mei;496
210;Totaal rechtsvormen Nederland/buitenland;1993 juni;557
211;Totaal rechtsvormen Nederland/buitenland;1993 2e kwartaal;1560
212;Totaal rechtsvormen Nederland/buitenland;1993 juli;569
213;Totaal rechtsvormen Nederland/buitenland;1993 augustus;508
214;Totaal rechtsvormen Nederland/buitenland;1993 september;586
215;Totaal rechtsvormen Nederland/buitenland;1993 3e kwartaal;1663
216;Totaal rechtsvormen Nederland/buitenland;1993 oktober;504
217;Totaal rechtsvormen Nederland/buitenland;1993 november;596
218;Totaal rechtsvormen Nederland/buitenland;1993 december;551
219;Totaal rechtsvormen Nederland/buitenland;1993 4e kwartaal;1651
220;Totaal rechtsvormen Nederland/buitenland;1993;6428
221;Totaal rechtsvormen Nederland/buitenland;1994 januari;535
222;Totaal rechtsvormen Nederland/buitenland;1994 februari;534
223;Totaal rechtsvormen Nederland/buitenland;1994 maart;686
224;Totaal rechtsvormen Nederland/buitenland;1994 1e kwartaal;1755
225;Totaal rechtsvormen Nederland/buitenland;1994 april;497
226;Totaal rechtsvormen Nederland/buitenland;1994 mei;432
227;Totaal rechtsvormen Nederland/buitenland;1994 juni;621
228;Totaal rechtsvormen Nederland/buitenland;1994 2e kwartaal;1550
229;Totaal rechtsvormen Nederland/buitenland;1994 juli;463
230;Totaal rechtsvormen Nederland/buitenland;1994 augustus;602
231;Totaal rechtsvormen Nederland/buitenland;1994 september;548
232;Totaal rechtsvormen Nederland/buitenland;1994 3e kwartaal;1613
233;Totaal rechtsvormen Nederland/buitenland;1994 oktober;473
234;Totaal rechtsvormen Nederland/buitenland;1994 november;622
235;Totaal rechtsvormen Nederland/buitenland;1994 december;451
236;Totaal rechtsvormen Nederland/buitenland;1994 4e kwartaal;1546
237;Totaal rechtsvormen Nederland/buitenland;1994;6464
238;Totaal rechtsvormen Nederland/buitenland;1995 januari;514
239;Totaal rechtsvormen Nederland/buitenland;1995 februari;453
240;Totaal rechtsvormen Nederland/buitenland;1995 maart;565
241;Totaal rechtsvormen Nederland/buitenland;1995 1e kwartaal;1532
242;Totaal rechtsvormen Nederland/buitenland;1995 april;478
243;Totaal rechtsvormen Nederland/buitenland;1995 mei;443
244;Totaal rechtsvormen Nederland/buitenland;1995 juni;455
245;Totaal rechtsvormen Nederland/buitenland;1995 2e kwartaal;1376
246;Totaal rechtsvormen Nederland/buitenland;1995 juli;476
247;Totaal rechtsvormen Nederland/buitenland;1995 augustus;506
248;Totaal rechtsvormen Nederland/buitenland;1995 september;510
249;Totaal rechtsvormen Nederland/buitenland;1995 3e kwartaal;1492
250;Totaal rechtsvormen Nederland/buitenland;1995 oktober;528
251;Totaal rechtsvormen Nederland/buitenland;1995 november;515
252;Totaal rechtsvormen Nederland/buitenland;1995 december;404
253;Totaal rechtsvormen Nederland/buitenland;1995 4e kwartaal;1447
254;Totaal rechtsvormen Nederland/buitenland;1995;5847
255;Totaal rechtsvormen Nederland/buitenland;1996 januari;494
256;Totaal rechtsvormen Nederland/buitenland;1996 februari;440
257;Totaal rechtsvormen Nederland/buitenland;1996 maart;477
258;Totaal rechtsvormen Nederland/buitenland;1996 1e kwartaal;1411
259;Totaal rechtsvormen Nederland/buitenland;1996 april;437
260;Totaal rechtsvormen Nederland/buitenland;1996 mei;482
261;Totaal rechtsvormen Nederland/buitenland;1996 juni;454
262;Totaal rechtsvormen Nederland/buitenland;1996 2e kwartaal;1373
263;Totaal rechtsvormen Nederland/buitenland;1996 juli;450
264;Totaal rechtsvormen Nederland/buitenland;1996 augustus;438
265;Totaal rechtsvormen Nederland/buitenland;1996 september;454
266;Totaal rechtsvormen Nederland/buitenland;1996 3e kwartaal;1342
267;Totaal rechtsvormen Nederland/buitenland;1996 oktober;550
268;Totaal rechtsvormen Nederland/buitenland;1996 november;455
269;Totaal rechtsvormen Nederland/buitenland;1996 december;446
270;Totaal rechtsvormen Nederland/buitenland;1996 4e kwartaal;1451
271;Totaal rechtsvormen Nederland/buitenland;1996;5577
272;Totaal rechtsvormen Nederland/buitenland;1997 januari;536
273;Totaal rechtsvormen Nederland/buitenland;1997 februari;477
274;Totaal rechtsvormen Nederland/buitenland;1997 maart;437
275;Totaal rechtsvormen Nederland/buitenland;1997 1e kwartaal;1450
276;Totaal rechtsvormen Nederland/buitenland;1997 april;470
277;Totaal rechtsvormen Nederland/buitenland;1997 mei;481
278;Totaal rechtsvormen Nederland/buitenland;1997 juni;418
279;Totaal rechtsvormen Nederland/buitenland;1997 2e kwartaal;1369
280;Totaal rechtsvormen Nederland/buitenland;1997 juli;492
281;Totaal rechtsvormen Nederland/buitenland;1997 augustus;364
282;Totaal rechtsvormen Nederland/buitenland;1997 september;475
283;Totaal rechtsvormen Nederland/buitenland;1997 3e kwartaal;1331
284;Totaal rechtsvormen Nederland/buitenland;1997 oktober;497
285;Totaal rechtsvormen Nederland/buitenland;1997 november;471
286;Totaal rechtsvormen Nederland/buitenland;1997 december;429
287;Totaal rechtsvormen Nederland/buitenland;1997 4e kwartaal;1397
288;Totaal rechtsvormen Nederland/buitenland;1997;5547
289;Totaal rechtsvormen Nederland/buitenland;1998 januari;415
290;Totaal rechtsvormen Nederland/buitenland;1998 februari;423
291;Totaal rechtsvormen Nederland/buitenland;1998 maart;538
292;Totaal rechtsvormen Nederland/buitenland;1998 1e kwartaal;1376
293;Totaal rechtsvormen Nederland/buitenland;1998 april;502
294;Totaal rechtsvormen Nederland/buitenland;1998 mei;356
295;Totaal rechtsvormen Nederland/buitenland;1998 juni;439
296;Totaal rechtsvormen Nederland/buitenland;1998 2e kwartaal;1297
297;Totaal rechtsvormen Nederland/buitenland;1998 juli;444
298;Totaal rechtsvormen Nederland/buitenland;1998 augustus;326
299;Totaal rechtsvormen Nederland/buitenland;1998 september;540
300;Totaal rechtsvormen Nederland/buitenland;1998 3e kwartaal;1310
301;Totaal rechtsvormen Nederland/buitenland;1998 oktober;364
302;Totaal rechtsvormen Nederland/buitenland;1998 november;378
303;Totaal rechtsvormen Nederland/buitenland;1998 december;306
304;Totaal rechtsvormen Nederland/buitenland;1998 4e kwartaal;1048
305;Totaal rechtsvormen Nederland/buitenland;1998;5031
306;Totaal rechtsvormen Nederland/buitenland;1999 januari;285
307;Totaal rechtsvormen Nederland/buitenland;1999 februari;327
308;Totaal rechtsvormen Nederland/buitenland;1999 maart;390
309;Totaal rechtsvormen Nederland/buitenland;1999 1e kwartaal;1002
310;Totaal rechtsvormen Nederland/buitenland;1999 april;342
311;Totaal rechtsvormen Nederland/buitenland;1999 mei;263
312;Totaal rechtsvormen Nederland/buitenland;1999 juni;364
313;Totaal rechtsvormen Nederland/buitenland;1999 2e kwartaal;969
314;Totaal rechtsvormen Nederland/buitenland;1999 juli;281
315;Totaal rechtsvormen Nederland/buitenland;1999 augustus;273
316;Totaal rechtsvormen Nederland/buitenland;1999 september;346
317;Totaal rechtsvormen Nederland/buitenland;1999 3e kwartaal;900
318;Totaal rechtsvormen Nederland/buitenland;1999 oktober;308
319;Totaal rechtsvormen Nederland/buitenland;1999 november;332
320;Totaal rechtsvormen Nederland/buitenland;1999 december;329
321;Totaal rechtsvormen Nederland/buitenland;1999 4e kwartaal;969
322;Totaal rechtsvormen Nederland/buitenland;1999;3840
323;Totaal rechtsvormen Nederland/buitenland;2000 januari;310
324;Totaal rechtsvormen Nederland/buitenland;2000 februari;345
325;Totaal rechtsvormen Nederland/buitenland;2000 maart;365
326;Totaal rechtsvormen Nederland/buitenland;2000 1e kwartaal;1020
327;Totaal rechtsvormen Nederland/buitenland;2000 april;306
328;Totaal rechtsvormen Nederland/buitenland;2000 mei;379
329;Totaal rechtsvormen Nederland/buitenland;2000 juni;336
330;Totaal rechtsvormen Nederland/buitenland;2000 2e kwartaal;1021
331;Totaal rechtsvormen Nederland/buitenland;2000 juli;356
332;Totaal rechtsvormen Nederland/buitenland;2000 augustus;452
333;Totaal rechtsvormen Nederland/buitenland;2000 september;354
334;Totaal rechtsvormen Nederland/buitenland;2000 3e kwartaal;1162
335;Totaal rechtsvormen Nederland/buitenland;2000 oktober;440
336;Totaal rechtsvormen Nederland/buitenland;2000 november;495
337;Totaal rechtsvormen Nederland/buitenland;2000 december;360
338;Totaal rechtsvormen Nederland/buitenland;2000 4e kwartaal;1295
339;Totaal rechtsvormen Nederland/buitenland;2000;4498
340;Totaal rechtsvormen Nederland/buitenland;2001 januari;447
341;Totaal rechtsvormen Nederland/buitenland;2001 februari;451
342;Totaal rechtsvormen Nederland/buitenland;2001 maart;453
343;Totaal rechtsvormen Nederland/buitenland;2001 1e kwartaal;1351
344;Totaal rechtsvormen Nederland/buitenland;2001 april;427
345;Totaal rechtsvormen Nederland/buitenland;2001 mei;544
346;Totaal rechtsvormen Nederland/buitenland;2001 juni;440
347;Totaal rechtsvormen Nederland/buitenland;2001 2e kwartaal;1411
348;Totaal rechtsvormen Nederland/buitenland;2001 juli;540
349;Totaal rechtsvormen Nederland/buitenland;2001 augustus;520
350;Totaal rechtsvormen Nederland/buitenland;2001 september;462
351;Totaal rechtsvormen Nederland/buitenland;2001 3e kwartaal;1522
352;Totaal rechtsvormen Nederland/buitenland;2001 oktober;589
353;Totaal rechtsvormen Nederland/buitenland;2001 november;530
354;Totaal rechtsvormen Nederland/buitenland;2001 december;431
355;Totaal rechtsvormen Nederland/buitenland;2001 4e kwartaal;1550
356;Totaal rechtsvormen Nederland/buitenland;2001;5834
357;Totaal rechtsvormen Nederland/buitenland;2002 januari;602
358;Totaal rechtsvormen Nederland/buitenland;2002 februari;520
359;Totaal rechtsvormen Nederland/buitenland;2002 maart;506
360;Totaal rechtsvormen Nederland/buitenland;2002 1e kwartaal;1628
361;Totaal rechtsvormen Nederland/buitenland;2002 april;486
362;Totaal rechtsvormen Nederland/buitenland;2002 mei;532
363;Totaal rechtsvormen Nederland/buitenland;2002 juni;535
364;Totaal rechtsvormen Nederland/buitenland;2002 2e kwartaal;1553
365;Totaal rechtsvormen Nederland/buitenland;2002 juli;672
366;Totaal rechtsvormen Nederland/buitenland;2002 augustus;493
367;Totaal rechtsvormen Nederland/buitenland;2002 september;575
368;Totaal rechtsvormen Nederland/buitenland;2002 3e kwartaal;1740
369;Totaal rechtsvormen Nederland/buitenland;2002 oktober;703
370;Totaal rechtsvormen Nederland/buitenland;2002 november;586
371;Totaal rechtsvormen Nederland/buitenland;2002 december;561
372;Totaal rechtsvormen Nederland/buitenland;2002 4e kwartaal;1850
373;Totaal rechtsvormen Nederland/buitenland;2002;6771
374;Totaal rechtsvormen Nederland/buitenland;2003 januari;657
375;Totaal rechtsvormen Nederland/buitenland;2003 februari;639
376;Totaal rechtsvormen Nederland/buitenland;2003 maart;620
377;Totaal rechtsvormen Nederland/buitenland;2003 1e kwartaal;1916
378;Totaal rechtsvormen Nederland/buitenland;2003 april;794
379;Totaal rechtsvormen Nederland/buitenland;2003 mei;757
380;Totaal rechtsvormen Nederland/buitenland;2003 juni;737
381;Totaal rechtsvormen Nederland/buitenland;2003 2e kwartaal;2288
382;Totaal rechtsvormen Nederland/buitenland;2003 juli;757
383;Totaal rechtsvormen Nederland/buitenland;2003 augustus;596
384;Totaal rechtsvormen Nederland/buitenland;2003 september;869
385;Totaal rechtsvormen Nederland/buitenland;2003 3e kwartaal;2222
386;Totaal rechtsvormen Nederland/buitenland;2003 oktober;805
387;Totaal rechtsvormen Nederland/buitenland;2003 november;786
388;Totaal rechtsvormen Nederland/buitenland;2003 december;731
389;Totaal rechtsvormen Nederland/buitenland;2003 4e kwartaal;2322
390;Totaal rechtsvormen Nederland/buitenland;2003;8748
391;Totaal rechtsvormen Nederland/buitenland;2004 januari;732
392;Totaal rechtsvormen Nederland/buitenland;2004 februari;768
393;Totaal rechtsvormen Nederland/buitenland;2004 maart;902
394;Totaal rechtsvormen Nederland/buitenland;2004 1e kwartaal;2402
395;Totaal rechtsvormen Nederland/buitenland;2004 april;739
396;Totaal rechtsvormen Nederland/buitenland;2004 mei;744
397;Totaal rechtsvormen Nederland/buitenland;2004 juni;848
398;Totaal rechtsvormen Nederland/buitenland;2004 2e kwartaal;2331
399;Totaal rechtsvormen Nederland/buitenland;2004 juli;745
400;Totaal rechtsvormen Nederland/buitenland;2004 augustus;752
401;Totaal rechtsvormen Nederland/buitenland;2004 september;833
402;Totaal rechtsvormen Nederland/buitenland;2004 3e kwartaal;2330
403;Totaal rechtsvormen Nederland/buitenland;2004 oktober;703
404;Totaal rechtsvormen Nederland/buitenland;2004 november;824
405;Totaal rechtsvormen Nederland/buitenland;2004 december;759
406;Totaal rechtsvormen Nederland/buitenland;2004 4e kwartaal;2286
407;Totaal rechtsvormen Nederland/buitenland;2004;9349
408;Totaal rechtsvormen Nederland/buitenland;2005 januari;797
409;Totaal rechtsvormen Nederland/buitenland;2005 februari;840
410;Totaal rechtsvormen Nederland/buitenland;2005 maart;988
411;Totaal rechtsvormen Nederland/buitenland;2005 1e kwartaal;2625
412;Totaal rechtsvormen Nederland/buitenland;2005 april;819
413;Totaal rechtsvormen Nederland/buitenland;2005 mei;831
414;Totaal rechtsvormen Nederland/buitenland;2005 juni;904
415;Totaal rechtsvormen Nederland/buitenland;2005 2e kwartaal;2554
416;Totaal rechtsvormen Nederland/buitenland;2005 juli;814
417;Totaal rechtsvormen Nederland/buitenland;2005 augustus;798
418;Totaal rechtsvormen Nederland/buitenland;2005 september;828
419;Totaal rechtsvormen Nederland/buitenland;2005 3e kwartaal;2440
420;Totaal rechtsvormen Nederland/buitenland;2005 oktober;789
421;Totaal rechtsvormen Nederland/buitenland;2005 november;930
422;Totaal rechtsvormen Nederland/buitenland;2005 december;744
423;Totaal rechtsvormen Nederland/buitenland;2005 4e kwartaal;2463
424;Totaal rechtsvormen Nederland/buitenland;2005;10082
425;Totaal rechtsvormen Nederland/buitenland;2006 januari;832
426;Totaal rechtsvormen Nederland/buitenland;2006 februari;826
427;Totaal rechtsvormen Nederland/buitenland;2006 maart;907
428;Totaal rechtsvormen Nederland/buitenland;2006 1e kwartaal;2565
429;Totaal rechtsvormen Nederland/buitenland;2006 april;776
430;Totaal rechtsvormen Nederland/buitenland;2006 mei;835
431;Totaal rechtsvormen Nederland/buitenland;2006 juni;715
432;Totaal rechtsvormen Nederland/buitenland;2006 2e kwartaal;2326
