ID;InstitutionalSectors;Periods;Total_1;Dwellings_2;BuildingsOtherThanDwellings_3;OtherStructures_4;CostsOfOwnershipTransferOfLand_5;Total_6;PassengerCars_7;OtherRoadTransportEquipment_8;TrainsAndTrams_9;Ships_10;Aircraft_11;Computers_12;TelecommunicationEquipment_13;MachineryAndInstallations_14;OtherTangibleFixedAssets_15;CultivatedBiologicalResources_16;ResearchAndDevelopment_17;ComputerSoftwareAndDatabases_18;OtherIntellectualPropertyProducts_19;Total_20;ExportsOfUsedFixedAssets_21;DomesticSalesUsedFixedAssets_22;GrossFixedCapitalFormation_23;Total_24;Dwellings_25;BuildingsOtherThanDwellings_26;OtherStructures_27;CostsOfOwnershipTransferOfLand_28;Total_29;PassengerCars_30;OtherRoadTransportEquipment_31;TrainsAndTrams_32;Ships_33;Aircraft_34;Computers_35;TelecommunicationEquipment_36;MachineryAndInstallations_37;OtherTangibleFixedAssets_38;CultivatedBiologicalResources_39;ResearchAndDevelopment_40;ComputerSoftwareAndDatabases_41;OtherIntellectualPropertyProducts_42;Total_43;ExportsOfUsedFixedAssets_44;DomesticSalesUsedFixedAssets_45;GrossFixedCapitalFormation_46;Total_47;Dwellings_48;BuildingsOtherThanDwellings_49;OtherStructures_50;CostsOfOwnershipTransferOfLand_51;Total_52;PassengerCars_53;OtherRoadTransportEquipment_54;TrainsAndTrams_55;Ships_56;Aircraft_57;Computers_58;TelecommunicationEquipment_59;MachineryAndInstallations_60;OtherTangibleFixedAssets_61;CultivatedBiologicalResources_62;ResearchAndDevelopment_63;ComputerSoftwareAndDatabases_64;OtherIntellectualPropertyProducts_65;Total_66;ExportsOfUsedFixedAssets_67;DomesticSalesUsedFixedAssets_68;GrossFixedCapitalFormation_69;Total_70;Dwellings_71;BuildingsOtherThanDwellings_72;OtherStructures_73;CostsOfOwnershipTransferOfLand_74;Total_75;PassengerCars_76;OtherRoadTransportEquipment_77;TrainsAndTrams_78;Ships_79;Aircraft_80;Computers_81;TelecommunicationEquipment_82;MachineryAndInstallations_83;OtherTangibleFixedAssets_84;CultivatedBiologicalResources_85;ResearchAndDevelopment_86;ComputerSoftwareAndDatabases_87;OtherIntellectualPropertyProducts_88;Total_89;ExportsOfUsedFixedAssets_90;DomesticSalesUsedFixedAssets_91;GrossFixedCapitalFormation_92
17;All sectors;1986;50538;11624;7098;4699;513;4778;2235;1210;79;647;607;1482;366;10093;2603;238;4768;1932;344;508;;;50030;75440;25329;14117;8646;1116;6321;3036;1550;141.0;966;755;67;307;13444;4284;227.0;8401;2099;502.0;702;;;74823;6.4;5.0;10.3;-0.4;1.2;6.3;27.2;12.9;-32.2;-22.1;-15.1;14.9;5.2;5.0;9.7;45.3;6.7;20.4;-24.1;-1.7;;;6.5;67.0;45.9;50.3;54.3;46.0;75.6;73.6;78.0;55.9;67.0;80.4;2201.8;119.2;75.1;60.8;104.8;56.8;92.0;68.5;72.3;;;66.9
18;All sectors;1987;52066;11756;7852;4833;630;4476;2121;1346;67;502;440;1595;378;10032;2611;229;5086;2277;311;660;;;51406;77049;25290;15378;8775;1359;5777;2820;1676;118.0;730;532;85;304;13114;4172;213.0;8961;2487;445.0;889;;;76233;2.1;-0.2;8.9;1.5;21.8;-8.6;-7.1;8.1;-16.5;-24.4;-29.5;26.3;-1.1;-2.5;-2.6;-6.3;6.7;18.5;-11.3;26.6;;;1.9;67.6;46.5;51.1;55.1;46.4;77.5;75.2;80.3;56.8;68.8;82.7;1876.0;124.5;76.5;62.6;107.6;56.8;91.6;69.9;74.3;;;67.4
19;All sectors;1988;55556;13367;8942;5153;752;4342;1975;1350;91;510;416;1849;393;9811;2726;364;5051;2450;356;589;;;54967;81083;28106;17038;9267;1599;5440;2497;1664;155.0;731;496;106;316;12691;4279;323.0;8835;2720;499.0;776;;;80400;5.2;11.1;10.8;5.6;17.6;-5.8;-11.5;-0.7;31.3;0.2;-6.8;24.6;4.0;-3.2;2.6;52.0;-1.4;9.4;12.2;-12.7;;;5.5;68.5;47.6;52.5;55.6;47.0;79.8;79.1;81.2;58.7;69.7;83.9;1745.7;124.5;77.3;63.7;112.6;57.2;90.1;71.3;75.9;;;68.4
20;All sectors;1989;59649;13577;9761;5332;682;5492;2272;1365;165;508;1182;1944;424;10474;3003;397;5192;2969;402;712;;;58937;86101;28318;18368;9281;1426;6669;2768;1650;281.0;698;1363;119;341;13280;4603;332.0;9076;3403;553.0;909;;;85281;6.2;0.8;7.8;0.2;-10.8;22.6;10.8;-0.8;81.3;-4.5;174.8;12.8;7.9;4.6;7.6;2.7;2.7;25.1;10.7;17.1;;;6.1;69.3;47.9;53.1;57.4;47.8;82.4;82.1;82.7;58.7;72.7;86.7;1626.9;124.5;78.9;65.2;119.5;57.2;87.3;72.7;78.3;;;69.1
21;All sectors;1990;62538;13638;10529;5692;786;5853;2484;1660;264;601;844;2131;428;10500;3223;368;5309;3566;515;917;;;61621;88956;27711;19321;9584;1602;7061;2977;1974;433.0;800;1040;144;350;13074;4776;344.0;9158;4151;694.0;1168;;;87849;3.3;-2.1;5.2;3.3;12.3;5.9;7.6;19.6;53.9;14.6;-23.7;20.7;2.8;-1.6;3.8;3.5;0.9;22.0;25.6;28.5;;;3.0;70.3;49.2;54.5;59.4;49.1;82.9;83.4;84.1;61.0;75.1;81.1;1477.2;122.2;80.3;67.5;107.0;58.0;85.9;74.2;78.5;;;70.1
22;All sectors;1991;64174;13370;11280;5984;762;6354;2666;1814;259;564;1051;2175;438;10625;3148;398;5246;3856;538;767;;;63407;89690;26612;20161;9692;1512;7430;3037;2121;408.0;728;1288;163;358;13026;4545;392.0;8860;4486;708.0;944;;;88836;0.8;-4.0;4.3;1.1;-5.6;5.2;2.0;7.5;-5.7;-9.0;23.8;13.2;2.1;-0.4;-4.8;13.9;-3.3;8.1;1.9;-19.2;;;1.1;71.6;50.2;55.9;61.7;50.4;85.5;87.8;85.5;63.4;77.5;81.6;1331.5;122.5;81.6;69.3;101.6;59.2;86.0;76.0;81.3;;;71.4
23;All sectors;1992;66162;14816;10943;6797;802;6019;2800;1652;275;627;665;2140;421;10614;3097;315;5438;4278;482;944;;;65218;90852;28455;18917;10724;1550;6877;3080;1869;435.0;802;836;188;344;12825;4376;303.0;8829;5135;624.0;1132;;;89786;1.3;6.9;-6.2;10.6;2.5;-7.4;1.4;-11.9;6.6;10.1;-35.1;15.2;-3.9;-1.5;-3.7;-22.6;-0.3;14.5;-11.9;19.9;;;1.1;72.8;52.1;57.8;63.4;51.7;87.5;90.9;88.4;63.2;78.2;79.6;1137.5;122.5;82.8;70.8;103.9;61.6;83.3;77.3;83.4;;;72.6
24;All sectors;1993;66176;15449;10038;6924;812;5593;2574;1430;495;379;715;2250;409;11229;3134;309;5577;4042;410;936;;;65240;89716;28874;16931;10575;1540;6311;2781;1593;785.0;487;892;232;334;13450;4345;319.0;8828;4862;525.0;1114;;;88668;-1.2;1.5;-10.5;-1.4;-0.6;-8.2;-9.7;-14.8;80.4;-39.2;6.8;23.6;-2.9;4.9;-0.7;5.4;0.0;-5.3;-15.8;-1.6;;;-1.2;73.8;53.5;59.3;65.5;52.7;88.6;92.6;89.8;63.1;77.8;80.1;968.0;122.5;83.5;72.1;96.7;63.2;83.1;78.1;84.0;;;73.6
25;All sectors;1994;67862;16770;10028;6861;814;5762;2609;1216;262;366;1309;2463;415;11085;3152;367;5814;3944;387;971;;;66891;91314;30618;16602;10297;1502;6522;2843;1357;414.0;461;1636;289;339;13206;4281;390.0;9008;4800;556.0;1157;;;90221;1.8;6.0;-1.9;-2.6;-2.5;3.3;2.2;-14.8;-47.3;-5.3;83.4;24.2;1.5;-1.8;-1.5;22.0;2.0;-1.3;5.9;3.8;;;1.8;74.3;54.8;60.4;66.6;54.2;88.4;91.8;89.6;63.3;79.3;80.0;853.0;122.5;83.9;73.6;94.2;64.5;82.2;69.6;83.9;;;74.1
26;All sectors;1995;70867;17262;10365;7151;946;6624;3171;1386;297;632;1138;2422;432;11594;3291;392;6029;3902;457;731;337.0;394.0;70136;94464;30734;16688;10506;1726;7469;3457;1532;466.0;782;1422;340;353;13712;4396;434.0;9140;4776;635.0;870;416.0;447.0;93704;3.4;0.4;0.5;2.0;14.9;14.5;21.6;12.9;12.6;69.4;-13.1;17.8;4.1;3.8;2.7;11.4;1.5;-0.5;14.2;-24.8;;;3.9;75.0;56.2;62.1;68.1;54.8;88.7;91.7;90.5;63.8;80.8;80.0;711.9;122.5;84.6;74.9;90.2;66.0;81.7;72.0;84.0;81.0;88.2;74.8
27;All sectors;1996;76127;18775;10333;7795;1219;6758;3563;1489;261;761;684;2881;502;12332;3727;363;6251;4586;605;904;489.0;415.0;75223;100439;32113;16086;11248;2116;7573;3835;1642;398.0;951;861;515;411;14534;4879;468.0;9217;5617;817.0;1073;606.0;466.0;99464;6.3;4.5;-3.6;7.1;22.6;1.4;10.9;7.2;-14.5;21.7;-39.5;51.4;16.7;6.0;11.0;7.7;0.8;17.6;28.7;23.4;45.7;4.3;6.1;75.8;58.5;64.2;69.3;57.6;89.2;92.9;90.7;65.5;80.0;79.4;559.5;122.0;84.8;76.4;77.6;67.8;81.6;74.0;84.2;80.7;89.0;75.6
28;All sectors;1997;82310;20460;11024;7575;1176;6650;3948;1489;184;475;554;3110;541;14037;4504;776;6811;4988;658;928;588.0;340.0;81382;107338;33977;16783;10729;1972;7514;4277;1675;279.0;605;689;618;462;16378;5787;943.0;9889;6141;864.0;1090;714.0;384.0;106359;6.9;5.8;4.3;-4.6;-6.8;-0.8;11.5;2.0;-29.9;-36.4;-20.0;20.0;12.4;12.7;18.6;101.7;7.3;9.3;5.8;1.5;17.8;-17.6;6.9;76.7;60.2;65.7;70.6;59.6;88.5;92.3;88.9;65.9;78.5;80.5;503.2;117.0;85.7;77.8;82.3;68.9;81.2;76.1;85.2;82.4;88.5;76.5
29;All sectors;1998;88678;21452;12111;8054;1246;7871;4476;1888;177;740;590;3330;681;14011;5103;306;6937;6862;714;1221;763.0;458.0;87457;114652;34400;17954;11180;1915;8799;4802;2157;260.0;871;723;861;584;16264;6409;373.0;9788;8497;913.0;1426;922.0;513.0;113316;6.8;1.2;7.0;4.2;-2.9;17.1;12.3;28.7;-7.1;44.0;5.1;39.3;26.2;-0.7;10.7;-60.4;-1.0;38.4;5.6;30.8;29.3;33.5;6.5;77.3;62.4;67.5;72.0;65.1;89.5;93.2;87.5;68.2;84.9;81.6;386.7;116.7;86.1;79.6;82.0;70.9;80.8;78.2;85.6;82.7;89.3;77.2
30;All sectors;1999;98490;23180;13747;8872;1421;8411;5149;2043;66;841;312;3813;749;16149;5462;417;7778;7874;617;1240;570.0;670.0;97250;125421;35322;19760;12033;2073;9388;5520;2343;95.0;977;376;1206;647;18742;6787;523.0;10688;9489;767.0;1414;654.0;750.0;124120;9.4;2.7;10.1;7.6;8.3;6.7;14.9;8.6;-63.3;12.2;-48.0;40.1;10.9;15.2;5.9;40.2;9.2;11.7;-16.0;-0.8;-29.1;46.3;9.5;78.5;65.6;69.6;73.7;68.5;89.6;93.3;87.2;69.2;86.1;82.9;316.1;115.8;86.2;80.5;79.7;72.8;83.0;80.4;87.7;87.2;89.3;78.4
31;All sectors;2000;104061;25103;15507;10287;1603;8735;5280;1800;173;556;926;3832;713;14942;5631;328;8214;8579;587;1353;587.0;766.0;102708;127909;35818;21190;13419;2114;9513;5487;2025;243.0;646;1104;1386;612;16998;6839;384.0;10770;10087;715.0;1511;668.0;832.0;126506;2.0;1.4;7.2;11.5;2.0;1.3;-0.6;-13.6;154.5;-33.9;193.3;14.9;-5.3;-9.3;0.8;-26.6;0.8;6.3;-6.8;6.9;2.1;10.9;1.9;81.4;70.1;73.2;76.7;75.8;91.8;96.2;88.9;71.3;86.1;83.9;276.4;116.4;87.9;82.3;85.5;76.3;85.0;82.1;89.5;87.9;92.0;81.2
32;All sectors;2001;108980;27677;16674;11052;1474;8727;5478;2036;200;436;577;3918;610;14350;5763;343;8749;8916;727;1954;969.0;985.0;107026;129372;36846;21515;13731;1775;9433;5609;2285;268.0;539;688;1679;525;16183;6793;393.0;10941;10231;850.0;2128;1065.0;1054.0;127290;1.1;2.9;1.5;2.3;-16.0;-0.8;2.2;12.8;10.4;-16.5;-37.7;21.1;-14.3;-4.8;-0.7;2.4;1.6;1.4;18.9;40.9;59.5;26.6;0.6;84.2;75.1;77.5;80.5;83.0;92.5;97.7;89.1;74.7;80.9;83.9;233.4;116.2;88.7;84.8;87.2;80.0;87.2;85.5;91.8;91.0;93.5;84.1
33;All sectors;2002;107678;27807;17386;11181;1326;7995;5143;1767;270;456;359;3559;526;13597;5578;319;8756;8795;853;2108;895.0;1213.0;105570;123808;34824;21443;13373;1557;8528;5225;1973;343.0;517;423;1772;450;14995;6386;371.0;10562;9870;966.0;2285;982.0;1288.0;121545;-4.3;-5.5;-0.3;-2.6;-12.3;-9.6;-6.8;-13.7;28.0;-4.1;-38.5;5.5;-14.3;-7.3;-6.0;-5.5;-3.5;-3.5;13.6;7.4;-7.7;22.2;-4.5;87.0;79.8;81.1;83.6;85.1;93.7;98.4;89.5;78.7;88.2;84.8;200.9;116.9;90.7;87.3;85.9;82.9;89.1;88.3;92.2;91.1;94.2;86.9
34;All sectors;2003;108233;27880;17268;11143;1136;9319;5214;1860;531;567;1147;3706;563;12732;5499;272;9008;8923;784;2470;1060.0;1410.0;105763;122320;33434;20827;12929;1294;9874;5273;2059;648.0;620;1375;2090;486;14094;6243;293.0;10573;9920;879.0;2671;1165.0;1490.0;119645;-1.2;-4.0;-2.9;-3.3;-16.9;15.8;0.9;4.4;88.9;20.0;224.8;18.0;8.0;-6.0;-2.2;-21.0;0.1;0.5;-9.0;16.9;18.5;15.7;-1.6;88.5;83.4;82.9;86.2;87.8;94.4;98.9;90.3;82.0;91.5;83.4;177.3;115.9;90.3;88.1;92.7;85.2;90.0;89.2;92.5;91.0;94.6;88.4
35;All sectors;2004;109939;30086;16540;10410;1401;9126;5756;1996;483;467;424;3643;548;12337;5444;320;9471;9734;879;2473;933.0;1540.0;107466;122477;34973;19597;11973;1561;9576;5769;2196;554.0;519;506;2213;489;13543;6060;348.0;10937;10736;978.0;2641;1002.0;1617.0;119834;0.1;4.6;-5.9;-7.4;20.6;-3.0;9.4;6.6;-14.5;-16.2;-63.2;5.9;0.7;-3.9;-2.9;18.8;3.4;8.2;11.4;-1.1;-14.0;8.5;0.2;89.8;86.0;84.4;86.9;89.8;95.3;99.8;90.9;87.2;89.9;83.8;164.6;112.0;91.1;89.8;91.9;86.6;90.7;89.8;93.6;93.1;95.3;89.7
