ID;EigenaarBewoner;KenmerkenVanHuishoudens;Perioden;ParticuliereHuishoudens_1;GemiddeldeHypotheekschuldEigenWoning_2;GemiddeldeWaardeEigenWoning_3;GemiddeldBrutoInkomen_4;GemiddeldBesteedbaarInkomen_5;HypotheekschuldWoningwaarde_6;HypotheekschuldBrutoInkomen_7;HypotheekschuldBesteedbaarInkomen_8;GeenSchuld_9;k_0Tot07_10;k_07Tot08_11;k_08Tot09_12;k_09Tot10_13;k_1OfHoger_14;GeenSchuld_15;k_0Tot2_16;k_2Tot4_17;k_4OfHoger_18;GeenSchuld_19;k_0Tot35_20;k_35Tot7_21;k_7OfHoger_22
70;Totaal;Type: Eenoudergezin;2022;223.1;162.8;430.9;92.4;56.8;0.4;1.73;2.77;29.6;169.0;12.6;5.1;2.1;4.7;29.6;100.7;71.8;21.0;29.6;113.8;65.4;14.4
71;Totaal;Type: Eenoudergezin;2023;224.8;168.5;432.6;100.0;61.9;0.41;1.63;2.58;28.5;169.6;12.3;5.8;2.8;5.9;28.5;110.6;66.1;19.7;28.5;124.9;57.7;13.8
72;Totaal;Type: Paar, totaal;2006;2785.4;137.2;283.1;;;0.46;;;310.3;1574.6;169.6;164.5;181.3;385.1;;;;;;;;
73;Totaal;Type: Paar, totaal;2007;2823.0;146.3;301.2;;;0.47;;;314.0;1578.1;180.5;188.5;211.9;350.0;;;;;;;;
74;Totaal;Type: Paar, totaal;2008;2868.5;155.1;314.4;;;0.48;;;322.4;1568.3;191.3;204.2;229.2;353.1;;;;;;;;
75;Totaal;Type: Paar, totaal;2009;2944.0;159.8;313.0;;;0.51;;;391.1;1480.3;190.8;199.2;220.3;462.2;;;;;;;;
76;Totaal;Type: Paar, totaal;2010;3020.1;164.5;293.0;;;0.57;;;402.5;1364.7;186.9;189.4;202.6;674.0;;;;;;;;
77;Totaal;Type: Paar, totaal;2011;3026.2;168.3;296.3;89.3;52.2;0.58;1.81;3.06;391.0;1355.4;193.0;198.1;213.2;675.5;391.0;1267.7;1068.6;298.8;391.0;1313.3;1081.0;240.9
78;Totaal;Type: Paar, totaal;2012;3035.6;172.8;282.7;90.7;52.6;0.64;1.84;3.15;372.6;1262.5;187.5;190.0;203.8;819.2;372.6;1269.2;1088.4;305.4;372.6;1297.2;1118.1;247.7
79;Totaal;Type: Paar, totaal;2013;3045.4;173.5;254.2;92.0;53.1;0.72;1.84;3.15;371.9;1112.9;170.8;171.5;177.6;1040.7;371.9;1279.6;1096.3;297.6;371.9;1307.9;1129.5;236.1
80;Totaal;Type: Paar, totaal;2014;3052.3;171.2;253.0;96.5;56.7;0.72;1.78;3.02;396.9;1088.3;171.8;174.1;184.3;1036.8;396.9;1311.8;1080.3;263.3;396.9;1358.8;1102.6;194.0
81;Totaal;Type: Paar, totaal;2015;3063.5;168.4;259.0;93.9;55.7;0.7;1.77;2.96;429.2;1102.0;179.0;186.0;202.5;964.9;429.2;1295.3;1081.3;257.7;429.2;1374.5;1076.3;183.5
82;Totaal;Type: Paar, totaal;2016;3077.4;168.8;269.3;97.1;58.3;0.68;1.73;2.86;425.7;1150.9;192.8;207.9;248.9;851.2;425.7;1350.9;1070.8;230.0;425.7;1462.0;1034.8;154.9
83;Totaal;Type: Paar, totaal;2017;3096.1;169.9;287.6;102.1;60.7;0.65;1.69;2.8;432.4;1228.1;222.1;253.6;316.4;643.5;432.4;1408.8;1052.6;202.3;432.4;1512.0;1013.5;138.3
84;Totaal;Type: Paar, totaal;2018;3118.5;172.3;311.3;104.4;62.1;0.61;1.66;2.76;441.5;1338.8;268.5;318.9;308.4;442.5;441.5;1454.5;1031.6;190.9;441.5;1556.9;987.5;132.5
85;Totaal;Type: Paar, totaal;2019;3135.5;175.4;338.7;112.3;67.6;0.56;1.6;2.64;442.0;1504.6;324.8;331.8;246.6;285.7;442.0;1540.1;978.6;174.7;442.0;1653.2;920.3;119.9
86;Totaal;Type: Paar, totaal;2020;3150.6;176.1;361.6;113.1;68.2;0.53;1.55;2.55;456.3;1650.8;342.4;299.6;197.7;203.8;456.3;1581.1;942.7;170.5;456.3;1717.4;861.5;115.4
87;Totaal;Type: Paar, totaal;2021;3164.7;179.4;398.7;117.1;71.1;0.48;1.53;2.48;462.6;1877.5;326.9;237.6;130.1;130.0;462.6;1605.0;931.6;165.4;462.6;1763.1;828.3;110.6
88;Totaal;Type: Paar, totaal;2022;3188.8;183.8;483.9;125.1;75.1;0.4;1.45;2.39;473.2;2278.1;216.8;106.9;43.9;69.7;473.2;1695.8;870.5;149.3;473.2;1829.3;785.1;101.1
89;Totaal;Type: Paar, totaal;2023;3191.0;189.2;491.8;135.0;81.0;0.4;1.38;2.26;468.7;2255.3;206.1;112.0;60.4;88.6;468.7;1783.4;801.2;137.7;468.7;1919.7;706.4;96.2
90;Totaal;Type: Paar, zonder kind;2006;1271.4;113.9;282.5;;;0.35;;;223.7;693.1;55.1;57.5;73.7;168.3;;;;;;;;
91;Totaal;Type: Paar, zonder kind;2007;1302.6;119.7;299.9;;;0.35;;;230.4;710.7;58.4;65.8;86.7;150.7;;;;;;;;
92;Totaal;Type: Paar, zonder kind;2008;1332.8;124.8;312.2;;;0.35;;;239.9;721.1;61.3;69.3;91.5;149.7;;;;;;;;
93;Totaal;Type: Paar, zonder kind;2009;1378.3;126.4;309.9;;;0.35;;;281.0;701.4;60.3;63.7;77.7;194.3;;;;;;;;
94;Totaal;Type: Paar, zonder kind;2010;1407.6;128.7;290.3;;;0.39;;;289.4;672.7;60.9;59.2;63.5;261.9;;;;;;;;
95;Totaal;Type: Paar, zonder kind;2011;1415.4;130.2;293.3;76.3;46.4;0.39;1.53;2.43;282.3;689.9;64.0;61.7;66.2;251.4;282.3;582.6;430.0;120.6;282.3;624.4;416.7;92.1
96;Totaal;Type: Paar, zonder kind;2012;1422.3;132.0;280.1;77.3;46.9;0.42;1.55;2.48;277.9;667.6;66.2;61.6;63.7;285.5;277.9;588.1;433.7;122.7;277.9;626.3;425.6;92.6
97;Totaal;Type: Paar, zonder kind;2013;1432.9;130.9;251.9;78.0;47.1;0.47;1.53;2.46;281.4;620.7;67.4;60.8;58.5;344.1;281.4;598.6;432.0;120.9;281.4;638.8;424.8;87.8
98;Totaal;Type: Paar, zonder kind;2014;1445.0;128.0;251.1;81.7;50.2;0.47;1.47;2.34;299.1;617.5;69.5;63.8;62.6;332.5;299.1;615.2;419.6;111.2;299.1;664.8;407.1;74.0
99;Totaal;Type: Paar, zonder kind;2015;1459.6;124.8;257.0;78.7;48.7;0.45;1.44;2.27;323.4;624.9;72.6;68.6;70.0;300.0;323.4;609.1;415.3;111.8;323.4;670.9;393.3;71.9
100;Totaal;Type: Paar, zonder kind;2016;1477.2;124.6;266.4;80.8;50.4;0.43;1.42;2.22;324.4;654.1;77.4;76.5;88.5;256.4;324.4;635.7;412.2;105.0;324.4;708.4;380.1;64.3
101;Totaal;Type: Paar, zonder kind;2017;1496.2;124.8;283.0;85.1;52.5;0.41;1.39;2.18;331.2;691.8;86.0;90.5;112.2;184.6;331.2;661.6;406.8;96.6;331.2;731.9;374.1;59.0
102;Totaal;Type: Paar, zonder kind;2018;1518.9;125.8;304.1;85.5;53.0;0.39;1.37;2.16;339.8;741.9;97.9;108.6;102.4;128.3;339.8;680.1;404.8;94.2;339.8;750.4;371.3;57.4
103;Totaal;Type: Paar, zonder kind;2019;1534.7;127.8;329.1;91.6;57.5;0.36;1.32;2.07;343.2;806.2;109.7;108.2;79.2;88.1;343.2;711.7;391.0;88.7;343.2;788.2;350.5;52.8
104;Totaal;Type: Paar, zonder kind;2020;1549.0;128.2;349.7;91.0;57.3;0.34;1.29;2.0;353.4;855.8;109.1;95.5;66.9;68.4;353.4;720.6;387.5;87.6;353.4;805.7;338.9;51.1
105;Totaal;Type: Paar, zonder kind;2021;1567.9;131.5;384.4;93.9;59.5;0.31;1.28;1.97;358.1;930.7;102.4;80.1;48.6;47.9;358.1;727.3;394.5;88.0;358.1;821.8;337.6;50.4
106;Totaal;Type: Paar, zonder kind;2022;1591.3;136.2;465.9;99.6;62.6;0.26;1.24;1.92;365.0;1058.1;76.6;44.0;18.7;28.9;365.0;756.3;387.1;82.8;365.0;844.2;333.9;48.1
107;Totaal;Type: Paar, zonder kind;2023;1593.9;140.8;471.4;107.9;67.7;0.26;1.19;1.83;363.9;1047.7;70.3;44.1;27.6;40.3;363.9;786.6;368.6;74.8;363.9;875.6;309.0;45.4
108;Totaal;Type: Paar, met kind(eren);2006;1514.0;156.8;283.6;;;0.54;;;86.6;881.5;114.5;106.9;107.6;216.8;;;;;;;;
109;Totaal;Type: Paar, met kind(eren);2007;1520.3;169.0;302.3;;;0.56;;;83.7;867.4;122.1;122.7;125.1;199.3;;;;;;;;
110;Totaal;Type: Paar, met kind(eren);2008;1535.7;181.3;316.3;;;0.58;;;82.5;847.2;129.9;134.9;137.8;203.5;;;;;;;;
111;Totaal;Type: Paar, met kind(eren);2009;1565.7;189.2;315.7;;;0.62;;;110.2;778.9;130.5;135.5;142.6;267.9;;;;;;;;
112;Totaal;Type: Paar, met kind(eren);2010;1612.5;195.7;295.4;;;0.7;;;113.1;692.0;126.0;130.2;139.1;412.1;;;;;;;;
113;Totaal;Type: Paar, met kind(eren);2011;1610.9;201.8;298.9;100.6;57.3;0.72;2.03;3.53;108.8;665.5;129.1;136.3;147.0;424.1;108.8;685.2;638.6;178.3;108.8;689.0;664.3;148.9
114;Totaal;Type: Paar, met kind(eren);2012;1613.3;208.8;285.1;102.5;57.6;0.8;2.07;3.66;94.8;594.9;121.3;128.4;140.1;533.8;94.8;681.1;654.7;182.7;94.8;670.9;692.5;155.1
115;Totaal;Type: Paar, met kind(eren);2013;1612.6;211.3;256.2;104.4;58.5;0.91;2.08;3.67;90.5;492.2;103.5;110.6;119.1;696.6;90.5;681.0;664.3;176.8;90.5;669.1;704.7;148.3
116;Totaal;Type: Paar, met kind(eren);2014;1607.3;210.1;254.6;109.8;62.5;0.92;2.02;3.54;97.8;470.8;102.3;110.3;121.7;704.3;97.8;696.6;660.7;152.2;97.8;693.9;695.5;120.0
117;Totaal;Type: Paar, met kind(eren);2015;1603.9;208.0;260.8;107.7;62.0;0.9;2.02;3.48;105.7;477.1;106.4;117.4;132.4;664.9;105.7;686.2;666.0;146.0;105.7;703.6;683.0;111.5
118;Totaal;Type: Paar, met kind(eren);2016;1600.2;209.6;272.0;112.1;65.5;0.87;1.97;3.33;101.4;496.8;115.4;131.4;160.4;594.9;101.4;715.2;658.6;125.0;101.4;753.6;654.6;90.6
119;Totaal;Type: Paar, met kind(eren);2017;1599.9;212.1;291.9;117.9;68.4;0.82;1.91;3.26;101.1;536.3;136.1;163.1;204.2;458.9;101.1;747.2;645.8;105.7;101.1;780.0;639.5;79.3
120;Totaal;Type: Paar, met kind(eren);2018;1599.6;216.4;318.1;122.3;70.8;0.76;1.87;3.2;101.7;596.8;170.6;210.2;206.0;314.2;101.7;774.4;626.8;96.7;101.7;806.5;616.2;75.1
121;Totaal;Type: Paar, met kind(eren);2019;1600.8;220.9;347.9;132.2;77.3;0.7;1.79;3.06;98.9;698.4;215.1;223.6;167.3;197.6;98.9;828.4;587.5;86.0;98.9;865.0;569.8;67.2
122;Totaal;Type: Paar, met kind(eren);2020;1601.6;222.5;373.1;134.3;78.7;0.66;1.74;2.94;102.9;795.0;233.3;204.1;130.8;135.4;102.9;860.5;555.2;82.9;102.9;911.7;522.6;64.4
123;Totaal;Type: Paar, met kind(eren);2021;1596.8;226.5;412.8;139.9;82.5;0.6;1.7;2.85;104.6;946.7;224.6;157.4;81.5;82.1;104.6;877.8;537.1;77.4;104.6;941.3;490.8;60.1
124;Totaal;Type: Paar, met kind(eren);2022;1597.5;231.2;501.9;150.5;87.6;0.49;1.6;2.72;108.3;1220.1;140.2;63.0;25.2;40.8;108.3;939.5;483.3;66.4;108.3;985.0;451.2;53.0
125;Totaal;Type: Paar, met kind(eren);2023;1597.1;237.6;512.2;162.0;94.3;0.49;1.52;2.57;104.8;1207.6;135.8;67.9;32.8;48.3;104.8;996.8;432.6;63.0;104.8;1044.1;397.4;50.8
126;Totaal;Type: Meerpersoonshuishouden, overig;2006;120.4;154.0;328.5;;;0.51;;;17.3;58.5;7.4;7.5;8.7;21.0;;;;;;;;
127;Totaal;Type: Meerpersoonshuishouden, overig;2007;123.5;164.5;347.6;;;0.52;;;17.0;59.5;8.1;8.9;10.7;19.2;;;;;;;;
128;Totaal;Type: Meerpersoonshuishouden, overig;2008;127.2;175.6;370.6;;;0.54;;;16.7;60.8;8.6;9.8;11.7;19.6;;;;;;;;
