ID;OutputPrices;SIC2008;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3;WeightFactor_4
173;Total sales;06 Extraction of crude petroleum and gas;2013 May;;;;11985
174;Total sales;06 Extraction of crude petroleum and gas;2013 June;;;;11985
175;Total sales;06 Extraction of crude petroleum and gas;2013 July;;;;11985
176;Total sales;06 Extraction of crude petroleum and gas;2013 August;;;;11985
177;Total sales;06 Extraction of crude petroleum and gas;2013 September;;;;11985
178;Total sales;06 Extraction of crude petroleum and gas;2013 October;;;;11985
179;Total sales;06 Extraction of crude petroleum and gas;2013 November;;;;11985
180;Total sales;06 Extraction of crude petroleum and gas;2013 December;;;;11985
181;Total sales;06 Extraction of crude petroleum and gas;2013;130.1;;-2.9;11985
182;Total sales;06 Extraction of crude petroleum and gas;2014 January;;;;11985
183;Total sales;06 Extraction of crude petroleum and gas;2014 February;;;;11985
184;Total sales;06 Extraction of crude petroleum and gas;2014 March;;;;11985
185;Total sales;06 Extraction of crude petroleum and gas;2014 April;;;;11985
186;Total sales;06 Extraction of crude petroleum and gas;2014 May;;;;11985
187;Total sales;06 Extraction of crude petroleum and gas;2014 June;;;;11985
188;Total sales;06 Extraction of crude petroleum and gas;2014 July;;;;11985
189;Total sales;06 Extraction of crude petroleum and gas;2014 August;;;;11985
190;Total sales;06 Extraction of crude petroleum and gas;2014 September;;;;11985
191;Total sales;06 Extraction of crude petroleum and gas;2014 October;;;;11985
192;Total sales;06 Extraction of crude petroleum and gas;2014 November;;;;11985
193;Total sales;06 Extraction of crude petroleum and gas;2014 December;;;;11985
194;Total sales;06 Extraction of crude petroleum and gas;2014;113.5;;-12.8;11985
195;Total sales;06 Extraction of crude petroleum and gas;2015 January;;;;11985
196;Total sales;06 Extraction of crude petroleum and gas;2015 February;;;;11985
197;Total sales;06 Extraction of crude petroleum and gas;2015 March;;;;11985
198;Total sales;06 Extraction of crude petroleum and gas;2015 April;;;;11985
199;Total sales;06 Extraction of crude petroleum and gas;2015 May;;;;11985
200;Total sales;06 Extraction of crude petroleum and gas;2015 June;;;;11985
201;Total sales;06 Extraction of crude petroleum and gas;2015 July;;;;11985
202;Total sales;06 Extraction of crude petroleum and gas;2015 August;;;;11985
203;Total sales;06 Extraction of crude petroleum and gas;2015 September;;;;11985
204;Total sales;06 Extraction of crude petroleum and gas;2015 October;;;;11985
205;Total sales;06 Extraction of crude petroleum and gas;2015 November;;;;11985
206;Total sales;06 Extraction of crude petroleum and gas;2015 December;;;;11985
207;Total sales;06 Extraction of crude petroleum and gas;2015;100.0;;-11.9;11985
208;Total sales;06 Extraction of crude petroleum and gas;2016 January;;;;11985
209;Total sales;06 Extraction of crude petroleum and gas;2016 February;;;;11985
210;Total sales;06 Extraction of crude petroleum and gas;2016 March;;;;11985
211;Total sales;06 Extraction of crude petroleum and gas;2016 April;;;;11985
212;Total sales;06 Extraction of crude petroleum and gas;2016 May;;;;11985
213;Total sales;06 Extraction of crude petroleum and gas;2016 June;;;;11985
214;Total sales;06 Extraction of crude petroleum and gas;2016 July;;;;11985
215;Total sales;06 Extraction of crude petroleum and gas;2016 August;;;;11985
216;Total sales;06 Extraction of crude petroleum and gas;2016 September;;;;11985
217;Total sales;06 Extraction of crude petroleum and gas;2016 October;;;;11985
218;Total sales;06 Extraction of crude petroleum and gas;2016 November;;;;11985
219;Total sales;06 Extraction of crude petroleum and gas;2016 December;;;;11985
220;Total sales;06 Extraction of crude petroleum and gas;2016;74.8;;-25.2;11985
221;Total sales;06 Extraction of crude petroleum and gas;2017 January;;;;11985
222;Total sales;06 Extraction of crude petroleum and gas;2017 February;;;;11985
223;Total sales;06 Extraction of crude petroleum and gas;2017 March;;;;11985
224;Total sales;06 Extraction of crude petroleum and gas;2017 April;;;;11985
225;Total sales;06 Extraction of crude petroleum and gas;2017 May;;;;11985
226;Total sales;06 Extraction of crude petroleum and gas;2017 June;;;;11985
227;Total sales;06 Extraction of crude petroleum and gas;2017 July;;;;11985
228;Total sales;06 Extraction of crude petroleum and gas;2017 August;;;;11985
229;Total sales;06 Extraction of crude petroleum and gas;2017 September;;;;11985
230;Total sales;06 Extraction of crude petroleum and gas;2017 October;;;;11985
231;Total sales;06 Extraction of crude petroleum and gas;2017 November;;;;11985
232;Total sales;06 Extraction of crude petroleum and gas;2017 December;;;;11985
233;Total sales;06 Extraction of crude petroleum and gas;2017;82.9;;10.9;11985
234;Total sales;06 Extraction of crude petroleum and gas;2018 January;;;;11985
235;Total sales;06 Extraction of crude petroleum and gas;2018 February;;;;11985
236;Total sales;06 Extraction of crude petroleum and gas;2018 March;;;;11985
237;Total sales;06 Extraction of crude petroleum and gas;2018 April;;;;11985
238;Total sales;06 Extraction of crude petroleum and gas;2018 May;;;;11985
239;Total sales;06 Extraction of crude petroleum and gas;2018 June;;;;11985
240;Total sales;06 Extraction of crude petroleum and gas;2018 July;;;;11985
241;Total sales;06 Extraction of crude petroleum and gas;2018 August;;;;11985
242;Total sales;06 Extraction of crude petroleum and gas;2018 September;;;;11985
243;Total sales;06 Extraction of crude petroleum and gas;2018 October;;;;11985
244;Total sales;06 Extraction of crude petroleum and gas;2018 November;;;;11985
245;Total sales;06 Extraction of crude petroleum and gas;2018 December;;;;11985
246;Total sales;06 Extraction of crude petroleum and gas;2018;101.3;;22.1;11985
247;Total sales;06 Extraction of crude petroleum and gas;2019 January;;;;11985
248;Total sales;06 Extraction of crude petroleum and gas;2019 February;;;;11985
249;Total sales;06 Extraction of crude petroleum and gas;2019 March;;;;11985
250;Total sales;06 Extraction of crude petroleum and gas;2019 April;;;;11985
251;Total sales;06 Extraction of crude petroleum and gas;2019 May;;;;11985
252;Total sales;06 Extraction of crude petroleum and gas;2019 June;;;;11985
253;Total sales;06 Extraction of crude petroleum and gas;2019 July;;;;11985
254;Total sales;06 Extraction of crude petroleum and gas;2019 August;;;;11985
255;Total sales;06 Extraction of crude petroleum and gas;2019 September;;;;11985
256;Total sales;06 Extraction of crude petroleum and gas;2019 October;;;;11985
257;Total sales;06 Extraction of crude petroleum and gas;2019 November;;;;11985
258;Total sales;06 Extraction of crude petroleum and gas;2019 December;;;;11985
259;Total sales;06 Extraction of crude petroleum and gas;2019;;;;11985
260;Total sales;06 Extraction of crude petroleum and gas;2020 January;;;;11985
261;Total sales;06 Extraction of crude petroleum and gas;2020 February;;;;11985
262;Total sales;06 Extraction of crude petroleum and gas;2020 March;;;;11985
263;Total sales;06 Extraction of crude petroleum and gas;2020 April;;;;11985
264;Total sales;06 Extraction of crude petroleum and gas;2020 May;;;;11985
265;Total sales;06 Extraction of crude petroleum and gas;2020 June;;;;11985
266;Total sales;06 Extraction of crude petroleum and gas;2020 July;;;;11985
267;Total sales;06 Extraction of crude petroleum and gas;2020 August;;;;11985
268;Total sales;06 Extraction of crude petroleum and gas;2020 September;;;;11985
269;Total sales;06 Extraction of crude petroleum and gas;2020 October;;;;11985
270;Total sales;06 Extraction of crude petroleum and gas;2020 November;;;;11985
271;Total sales;06 Extraction of crude petroleum and gas;2020 December;;;;11985
272;Total sales;06 Extraction of crude petroleum and gas;2020;56.5;;;11985
273;Total sales;06 Extraction of crude petroleum and gas;2021 January;;;;11985
274;Total sales;06 Extraction of crude petroleum and gas;2021 February;;;;11985
275;Total sales;06 Extraction of crude petroleum and gas;2021 March;;;;11985
276;Total sales;06 Extraction of crude petroleum and gas;2021 April;;;;11985
277;Total sales;06 Extraction of crude petroleum and gas;2021 May;;;;11985
278;Total sales;06 Extraction of crude petroleum and gas;2021 June;;;;11985
279;Total sales;06 Extraction of crude petroleum and gas;2021 July;;;;11985
280;Total sales;06 Extraction of crude petroleum and gas;2021 August;;;;11985
281;Total sales;06 Extraction of crude petroleum and gas;2021 September;;;;11985
282;Total sales;06 Extraction of crude petroleum and gas;2021 October;;;;11985
283;Total sales;06 Extraction of crude petroleum and gas;2021 November;;;;11985
284;Total sales;06 Extraction of crude petroleum and gas;2021 December;;;;11985
285;Total sales;06 Extraction of crude petroleum and gas;2021;134.3;;137.7;11985
286;Total sales;06 Extraction of crude petroleum and gas;2022 January;;;;11985
287;Total sales;06 Extraction of crude petroleum and gas;2022 February;;;;11985
288;Total sales;06 Extraction of crude petroleum and gas;2022 March;;;;11985
289;Total sales;06 Extraction of crude petroleum and gas;2022 April;;;;11985
290;Total sales;06 Extraction of crude petroleum and gas;2022 May;;;;11985
291;Total sales;06 Extraction of crude petroleum and gas;2022 June;;;;11985
292;Total sales;06 Extraction of crude petroleum and gas;2022 July;;;;11985
293;Total sales;06 Extraction of crude petroleum and gas;2022 August;;;;11985
294;Total sales;06 Extraction of crude petroleum and gas;2022 September;;;;11985
295;Total sales;06 Extraction of crude petroleum and gas;2022 October;;;;11985
296;Total sales;06 Extraction of crude petroleum and gas;2022 November;;;;11985
297;Total sales;06 Extraction of crude petroleum and gas;2022 December;;;;11985
298;Total sales;06 Extraction of crude petroleum and gas;2022;;;;11985
299;Total sales;06 Extraction of crude petroleum and gas;2023 January;;;;11985
300;Total sales;06 Extraction of crude petroleum and gas;2023 February;;;;11985
301;Total sales;06 Extraction of crude petroleum and gas;2023 March;;;;11985
302;Total sales;06 Extraction of crude petroleum and gas;2023 April;;;;11985
303;Total sales;06 Extraction of crude petroleum and gas;2023 May;;;;11985
304;Total sales;06 Extraction of crude petroleum and gas;2023 June;;;;11985
305;Total sales;06 Extraction of crude petroleum and gas;2023 July;;;;11985
306;Total sales;06 Extraction of crude petroleum and gas;2023 August;;;;11985
307;Total sales;06 Extraction of crude petroleum and gas;2023 September;;;;11985
308;Total sales;06 Extraction of crude petroleum and gas;2023 October;;;;11985
309;Total sales;06 Extraction of crude petroleum and gas;2023 November;;;;11985
310;Total sales;06 Extraction of crude petroleum and gas;2023 December;;;;11985
311;Total sales;06 Extraction of crude petroleum and gas;2023;299.8;;;11985
312;Total sales;08 Mining and quarrying (no oil and gas);2012 January;100.7;;;596
313;Total sales;08 Mining and quarrying (no oil and gas);2012 February;100.5;-0.1;;596
314;Total sales;08 Mining and quarrying (no oil and gas);2012 March;100.3;-0.2;;596
315;Total sales;08 Mining and quarrying (no oil and gas);2012 April;101.1;0.8;;596
316;Total sales;08 Mining and quarrying (no oil and gas);2012 May;101.3;0.2;;596
317;Total sales;08 Mining and quarrying (no oil and gas);2012 June;102.3;0.9;;596
318;Total sales;08 Mining and quarrying (no oil and gas);2012 July;101.4;-0.9;;596
319;Total sales;08 Mining and quarrying (no oil and gas);2012 August;102.0;0.6;;596
320;Total sales;08 Mining and quarrying (no oil and gas);2012 September;101.7;-0.4;;596
321;Total sales;08 Mining and quarrying (no oil and gas);2012 October;102.2;0.5;;596
322;Total sales;08 Mining and quarrying (no oil and gas);2012 November;102.4;0.2;;596
323;Total sales;08 Mining and quarrying (no oil and gas);2012 December;102.2;-0.2;;596
324;Total sales;08 Mining and quarrying (no oil and gas);2012;101.5;;;596
325;Total sales;08 Mining and quarrying (no oil and gas);2013 January;101.6;-0.6;1.0;596
326;Total sales;08 Mining and quarrying (no oil and gas);2013 February;101.6;0.0;1.1;596
327;Total sales;08 Mining and quarrying (no oil and gas);2013 March;101.9;0.3;1.6;596
328;Total sales;08 Mining and quarrying (no oil and gas);2013 April;102.2;0.3;1.0;596
329;Total sales;08 Mining and quarrying (no oil and gas);2013 May;102.1;-0.1;0.8;596
330;Total sales;08 Mining and quarrying (no oil and gas);2013 June;101.6;-0.4;-0.6;596
331;Total sales;08 Mining and quarrying (no oil and gas);2013 July;99.0;-2.6;-2.3;596
332;Total sales;08 Mining and quarrying (no oil and gas);2013 August;99.5;0.5;-2.5;596
333;Total sales;08 Mining and quarrying (no oil and gas);2013 September;99.0;-0.6;-2.7;596
334;Total sales;08 Mining and quarrying (no oil and gas);2013 October;100.4;1.5;-1.8;596
335;Total sales;08 Mining and quarrying (no oil and gas);2013 November;99.8;-0.6;-2.5;596
336;Total sales;08 Mining and quarrying (no oil and gas);2013 December;100.0;0.2;-2.1;596
337;Total sales;08 Mining and quarrying (no oil and gas);2013;100.7;;-0.8;596
338;Total sales;08 Mining and quarrying (no oil and gas);2014 January;100.6;0.6;-1.0;596
339;Total sales;08 Mining and quarrying (no oil and gas);2014 February;99.5;-1.1;-2.1;596
340;Total sales;08 Mining and quarrying (no oil and gas);2014 March;100.0;0.5;-1.9;596
341;Total sales;08 Mining and quarrying (no oil and gas);2014 April;100.5;0.5;-1.6;596
342;Total sales;08 Mining and quarrying (no oil and gas);2014 May;100.7;0.3;-1.3;596
343;Total sales;08 Mining and quarrying (no oil and gas);2014 June;100.8;0.0;-0.9;596
344;Total sales;08 Mining and quarrying (no oil and gas);2014 July;98.6;-2.1;-0.4;596
345;Total sales;08 Mining and quarrying (no oil and gas);2014 August;98.2;-0.4;-1.3;596
346;Total sales;08 Mining and quarrying (no oil and gas);2014 September;98.0;-0.2;-0.9;596
347;Total sales;08 Mining and quarrying (no oil and gas);2014 October;96.4;-1.7;-4.0;596
348;Total sales;08 Mining and quarrying (no oil and gas);2014 November;96.0;-0.4;-3.8;596
349;Total sales;08 Mining and quarrying (no oil and gas);2014 December;97.7;1.7;-2.4;596
350;Total sales;08 Mining and quarrying (no oil and gas);2014;98.9;;-1.8;596
351;Total sales;08 Mining and quarrying (no oil and gas);2015 January;98.4;0.7;-2.2;596
352;Total sales;08 Mining and quarrying (no oil and gas);2015 February;98.8;0.5;-0.7;596
353;Total sales;08 Mining and quarrying (no oil and gas);2015 March;99.1;0.2;-0.9;596
354;Total sales;08 Mining and quarrying (no oil and gas);2015 April;99.4;0.4;-1.0;596
355;Total sales;08 Mining and quarrying (no oil and gas);2015 May;100.7;1.2;-0.1;596
356;Total sales;08 Mining and quarrying (no oil and gas);2015 June;100.4;-0.2;-0.3;596
357;Total sales;08 Mining and quarrying (no oil and gas);2015 July;101.7;1.2;3.1;596
358;Total sales;08 Mining and quarrying (no oil and gas);2015 August;101.8;0.1;3.7;596
359;Total sales;08 Mining and quarrying (no oil and gas);2015 September;101.1;-0.7;3.1;596
360;Total sales;08 Mining and quarrying (no oil and gas);2015 October;100.0;-1.0;3.7;596
361;Total sales;08 Mining and quarrying (no oil and gas);2015 November;99.6;-0.4;3.7;596
362;Total sales;08 Mining and quarrying (no oil and gas);2015 December;99.0;-0.6;1.3;596
363;Total sales;08 Mining and quarrying (no oil and gas);2015;100.0;;1.1;596
364;Total sales;08 Mining and quarrying (no oil and gas);2016 January;98.7;-0.3;0.3;596
365;Total sales;08 Mining and quarrying (no oil and gas);2016 February;98.7;0.0;-0.1;596
366;Total sales;08 Mining and quarrying (no oil and gas);2016 March;98.8;0.1;-0.3;596
367;Total sales;08 Mining and quarrying (no oil and gas);2016 April;99.3;0.6;-0.1;596
368;Total sales;08 Mining and quarrying (no oil and gas);2016 May;98.9;-0.4;-1.8;596
