ID;BestemmingVoorInvoer;Perioden;InvoerVanGoederenEnDiensten_1;InvoerVanGoederen_2;InvoerVanDiensten_3;InvoerVanGoederenEnDiensten_4;InvoerVanGoederen_5;InvoerVanDiensten_6;InvoerVanGoederenEnDiensten_7;InvoerVanGoederen_8;InvoerVanDiensten_9;InvoerVanGoederenEnDiensten_10;InvoerVanGoederen_11;InvoerVanDiensten_12
20;01 Landbouw;2019;2770;2278;492;2810.0;2352.0;456.0;3.0;3.9;-1.4;98.6;96.8;107.9
21;01 Landbouw;2020;2636;2101;535;2759.0;2277.0;477.0;-1.8;-3.2;4.7;95.5;92.3;112.1
22;01 Landbouw;2021;3094;2517;577;2839.0;2330.0;502.0;2.9;2.3;5.2;109.0;108.0;114.9
23;01 Landbouw;2022;4515;3889;626;2793.0;2273.0;512.0;-1.6;-2.5;1.9;161.7;171.1;122.3
24;02 Bosbouw;2015;33;18;15;33.0;18.0;15.0;;;;100.0;100.0;100.0
25;02 Bosbouw;2016;37;23;14;35.0;21.0;14.0;6.1;16.7;-6.7;105.7;109.5;100.0
26;02 Bosbouw;2017;39;25;14;33.0;20.0;13.0;-5.4;-4.3;-7.1;117.8;124.5;107.7
27;02 Bosbouw;2018;47;30;17;37.0;22.0;15.0;10.3;8.0;14.3;128.8;138.3;114.4
28;02 Bosbouw;2019;50;32;18;33.0;19.0;14.0;-10.6;-13.3;-5.9;153.3;170.2;128.7
29;02 Bosbouw;2020;54;42;12;32.0;22.0;9.0;-2.0;15.6;-33.3;168.9;193.2;128.7
30;02 Bosbouw;2021;67;52;15;34.0;22.0;12.0;5.6;0.0;25.0;198.6;239.2;128.7
31;02 Bosbouw;2022;80;62;18;31.0;20.0;11.0;-9.0;-9.6;-6.7;260.4;315.5;165.5
32;03 Visserij;2015;72;55;17;72.0;55.0;17.0;;;;100.0;100.0;100.0
33;03 Visserij;2016;80;60;20;80.0;61.0;19.0;11.1;10.9;11.8;100.0;98.4;105.3
34;03 Visserij;2017;79;60;19;77.0;59.0;18.0;-3.8;-3.3;-5.0;102.6;101.8;105.3
35;03 Visserij;2018;89;67;22;86.0;65.0;21.0;11.4;10.0;15.8;103.8;103.3;105.3
36;03 Visserij;2019;74;55;19;73.0;55.0;18.0;-14.6;-14.9;-13.6;101.0;99.7;105.3
37;03 Visserij;2020;72;53;19;72.0;55.0;17.0;-1.4;0.0;-5.3;99.6;96.0;111.1
38;03 Visserij;2021;78;59;19;67.0;50.0;17.0;-6.9;-9.4;0.0;116.0;118.1;111.1
39;03 Visserij;2022;81;65;16;59.0;45.0;14.0;-12.8;-10.2;-21.1;138.2;144.8;118.5
40;B-E Nijverheid (geen bouw) en energie;2015;126269;100223;26046;126269.0;100223.0;26046.0;;;;100.0;100.0;100.0
41;B-E Nijverheid (geen bouw) en energie;2016;121541;95763;25778;128080.0;102454.0;25626.0;1.4;2.2;-1.6;94.9;93.5;100.6
42;B-E Nijverheid (geen bouw) en energie;2017;133282;107258;26024;131676.0;106127.0;25605.0;2.8;3.6;-0.1;101.2;101.1;101.6
43;B-E Nijverheid (geen bouw) en energie;2018;142229;116773;25456;134646.0;110062.0;24651.0;2.3;3.7;-3.7;105.6;106.1;103.3
44;B-E Nijverheid (geen bouw) en energie;2019;132413;113328;19085;127484.0;109414.0;17989.0;-5.3;-0.6;-27.0;103.9;103.6;106.1
45;B-E Nijverheid (geen bouw) en energie;2020;116740;98428;18312;122106.0;105128.0;16909.0;-4.2;-3.9;-6.0;95.6;93.6;108.3
46;B-E Nijverheid (geen bouw) en energie;2021;139040;122747;16293;119197.0;104783.0;14639.0;-2.4;-0.3;-13.4;116.6;117.1;111.3
47;B-E Nijverheid (geen bouw) en energie;2022;186211;168814;17397;118858.0;104208.0;14889.0;-0.3;-0.5;1.7;156.7;162.0;116.8
48;B Delfstoffenwinning;2015;1604;141;1463;1604.0;141.0;1463.0;;;;100.0;100.0;100.0
49;B Delfstoffenwinning;2016;1396;132;1264;1402.0;142.0;1260.0;-12.6;0.7;-13.9;99.6;93.0;100.3
50;B Delfstoffenwinning;2017;940;119;821;942.0;128.0;816.0;-32.8;-9.8;-35.2;99.8;93.0;100.6
51;B Delfstoffenwinning;2018;965;131;834;941.0;137.0;807.0;-0.1;6.7;-1.1;102.5;95.9;103.3
52;B Delfstoffenwinning;2019;691;122;569;666.0;126.0;544.0;-29.2;-7.6;-32.6;103.7;96.7;104.6
53;B Delfstoffenwinning;2020;727;124;603;696.0;128.0;572.0;4.5;1.6;5.1;104.5;96.7;105.4
54;B Delfstoffenwinning;2021;790;158;632;701.0;134.0;571.0;0.7;4.8;-0.2;112.7;117.5;110.7
55;B Delfstoffenwinning;2022;889;225;664;692.0;130.0;566.0;-1.3;-3.2;-0.8;128.5;172.8;117.2
56;06 Winning van aardolie en aardgas;2015;341;22;319;341.0;22.0;319.0;;;;100.0;100.0;100.0
57;06 Winning van aardolie en aardgas;2016;306;19;287;307.0;21.0;286.0;-10.0;-4.5;-10.3;99.7;90.5;100.3
58;06 Winning van aardolie en aardgas;2017;308;21;287;309.0;23.0;286.0;0.7;10.5;0.0;99.7;90.5;100.3
59;06 Winning van aardolie en aardgas;2018;313;22;291;305.0;24.0;281.0;-1.3;4.8;-1.7;102.6;90.5;103.6
60;06 Winning van aardolie en aardgas;2019;256;17;239;250.0;22.0;229.0;-17.9;-9.1;-18.6;102.2;76.9;104.4
61;06 Winning van aardolie en aardgas;2020;204;23;181;192.0;25.0;169.0;-23.4;11.8;-25.9;106.4;93.1;106.8
62;06 Winning van aardolie en aardgas;2021;368;34;334;320.0;25.0;297.0;66.7;0.0;75.1;115.2;137.6;112.5
63;06 Winning van aardolie en aardgas;2022;348;47;301;274.0;23.0;253.0;-14.1;-8.8;-14.7;126.8;208.6;118.8
64;08 Delfstoffenwinning (geen olie en gas);2015;122;72;50;122.0;72.0;50.0;;;;100.0;100.0;100.0
65;08 Delfstoffenwinning (geen olie en gas);2016;128;73;55;133.0;79.0;54.0;9.0;9.7;8.0;96.2;92.4;101.9
66;08 Delfstoffenwinning (geen olie en gas);2017;138;75;63;142.0;80.0;62.0;7.0;1.4;14.5;96.9;93.7;101.9
67;08 Delfstoffenwinning (geen olie en gas);2018;152;87;65;152.0;89.0;63.0;6.5;10.7;1.6;100.2;98.2;103.4
68;08 Delfstoffenwinning (geen olie en gas);2019;137;88;49;135.0;88.0;47.0;-11.2;-1.1;-24.6;101.7;100.5;103.4
69;08 Delfstoffenwinning (geen olie en gas);2020;140;85;55;140.0;87.0;53.0;3.6;-1.1;12.2;100.3;98.1;103.4
70;08 Delfstoffenwinning (geen olie en gas);2021;164;112;52;148.0;100.0;48.0;5.7;15.3;-9.1;111.1;112.2;107.6
71;08 Delfstoffenwinning (geen olie en gas);2022;207;157;50;135.0;90.0;46.0;-8.5;-9.8;-5.8;153.4;174.3;109.8
72;09 Dienstverlening delfstoffenwinning;2015;1141;47;1094;1141.0;47.0;1094.0;;;;100.0;100.0;100.0
73;09 Dienstverlening delfstoffenwinning;2016;962;40;922;962.0;42.0;920.0;-15.7;-10.6;-15.9;100.0;95.2;100.2
74;09 Dienstverlening delfstoffenwinning;2017;494;23;471;493.0;25.0;468.0;-48.8;-40.0;-49.1;100.2;91.3;100.6
75;09 Dienstverlening delfstoffenwinning;2018;500;22;478;487.0;24.0;463.0;-1.2;-4.3;-1.1;102.7;91.3;103.2
76;09 Dienstverlening delfstoffenwinning;2019;298;17;281;283.0;16.0;267.0;-41.8;-31.8;-42.3;105.1;103.4;105.1
77;09 Dienstverlening delfstoffenwinning;2020;383;16;367;365.0;17.0;348.0;28.9;5.9;30.2;104.9;91.9;105.4
78;09 Dienstverlening delfstoffenwinning;2021;258;12;246;233.0;10.0;223.0;-36.3;-43.8;-36.0;110.9;122.6;110.3
79;09 Dienstverlening delfstoffenwinning;2022;334;21;313;283.0;17.0;266.0;21.7;75.0;19.1;117.9;122.6;117.9
80;C Industrie;2015;119864;95988;23876;119864.0;95988.0;23876.0;;;;100.0;100.0;100.0
81;C Industrie;2016;116194;92415;23779;122093.0;98460.0;23633.0;1.9;2.6;-1.0;95.2;93.9;100.6
82;C Industrie;2017;127672;103229;24443;126168.0;102166.0;24031.0;3.3;3.8;1.7;101.2;101.0;101.7
83;C Industrie;2018;136458;112595;23863;129154.0;106110.0;23083.0;2.4;3.9;-3.9;105.7;106.1;103.4
84;C Industrie;2019;127089;109328;17761;122044.0;105231.0;16719.0;-5.5;-0.8;-27.6;104.1;103.9;106.2
85;C Industrie;2020;112115;95278;16837;116668.0;101052.0;15536.0;-4.4;-4.0;-7.1;96.1;94.3;108.4
86;C Industrie;2021;132213;117460;14753;113870.0;100795.0;13279.0;-2.4;-0.3;-14.5;116.1;116.5;111.1
87;C Industrie;2022;173627;157857;15770;113731.0;100446.0;13499.0;-0.1;-0.3;1.7;152.7;157.2;116.8
88;10-12 Voedings-, genotmiddelenindustrie;2015;20486;18536;1950;20486.0;18536.0;1950.0;;;;100.0;100.0;100.0
89;10-12 Voedings-, genotmiddelenindustrie;2016;21816;19717;2099;22108.0;20023.0;2085.0;7.9;8.0;6.9;98.7;98.5;100.7
90;10-12 Voedings-, genotmiddelenindustrie;2017;22367;20176;2191;22385.0;20224.0;2159.0;1.3;1.0;3.6;99.9;99.8;101.5
91;10-12 Voedings-, genotmiddelenindustrie;2018;22540;20369;2171;23300.0;21173.0;2128.0;4.1;4.7;-1.5;96.7;96.2;102.0
92;10-12 Voedings-, genotmiddelenindustrie;2019;22973;20751;2222;23418.0;21292.0;2128.0;0.5;0.6;0.0;98.1;97.5;104.4
93;10-12 Voedings-, genotmiddelenindustrie;2020;22983;20734;2249;23262.0;21155.0;2109.0;-0.7;-0.6;-0.9;98.8;98.0;106.6
94;10-12 Voedings-, genotmiddelenindustrie;2021;25473;23021;2452;22953.0;20693.0;2247.0;-1.3;-2.2;6.5;111.0;111.2;109.1
95;10-12 Voedings-, genotmiddelenindustrie;2022;31856;29205;2651;22853.0;20493.0;2349.0;-0.4;-1.0;4.6;139.4;142.5;112.8
96;10 Voedingsmiddelenindustrie;2015;18673;17067;1606;18673.0;17067.0;1606.0;;;;100.0;100.0;100.0
97;10 Voedingsmiddelenindustrie;2016;20015;18258;1757;20277.0;18529.0;1748.0;8.6;8.6;8.8;98.7;98.5;100.5
98;10 Voedingsmiddelenindustrie;2017;20513;18684;1829;20507.0;18691.0;1815.0;1.1;0.9;3.8;100.0;100.0;100.8
99;10 Voedingsmiddelenindustrie;2018;20722;18909;1813;21457.0;19664.0;1793.0;4.6;5.2;-1.2;96.6;96.2;101.1
100;10 Voedingsmiddelenindustrie;2019;21179;19316;1863;21635.0;19835.0;1800.0;0.8;0.9;0.4;97.9;97.4;103.5
101;10 Voedingsmiddelenindustrie;2020;21260;19336;1924;21519.0;19699.0;1819.0;-0.5;-0.7;1.1;98.8;98.2;105.8
102;10 Voedingsmiddelenindustrie;2021;23612;21520;2092;21204.0;19254.0;1937.0;-1.5;-2.3;6.5;111.4;111.8;108.0
103;10 Voedingsmiddelenindustrie;2022;29508;27265;2243;21016.0;19004.0;2002.0;-0.9;-1.3;3.3;140.4;143.5;112.0
104;11 Drankenindustrie;2015;1173;948;225;1173.0;948.0;225.0;;;;100.0;100.0;100.0
105;11 Drankenindustrie;2016;1156;929;227;1171.0;948.0;223.0;-0.2;0.0;-0.9;98.7;98.0;101.8
106;11 Drankenindustrie;2017;1232;975;257;1216.0;971.0;244.0;3.8;2.5;9.3;101.4;100.4;105.5
107;11 Drankenindustrie;2018;1209;966;243;1167.0;939.0;228.0;-4.0;-3.4;-6.2;103.6;102.9;106.4
108;11 Drankenindustrie;2019;1208;959;249;1141.0;912.0;228.0;-2.2;-2.8;0.0;105.9;105.1;109.0
109;11 Drankenindustrie;2020;1143;944;199;1096.0;917.0;180.0;-4.0;0.5;-21.3;104.3;102.9;110.7
110;11 Drankenindustrie;2021;1205;996;209;1081.0;899.0;183.0;-1.3;-2.0;2.0;111.4;110.8;113.9
111;11 Drankenindustrie;2022;1534;1291;243;1170.0;958.0;212.0;8.2;6.6;15.8;131.1;134.7;114.4
112;12 Tabaksindustrie;2015;640;521;119;640.0;521.0;119.0;;;;100.0;100.0;100.0
113;12 Tabaksindustrie;2016;645;530;115;660.0;546.0;114.0;3.1;4.8;-4.2;97.7;97.1;100.9
114;12 Tabaksindustrie;2017;622;517;105;662.0;561.0;101.0;0.3;2.8;-11.3;94.0;92.1;103.8
115;12 Tabaksindustrie;2018;609;494;115;677.0;570.0;107.0;2.3;1.5;5.7;90.0;86.6;107.6
116;12 Tabaksindustrie;2019;586;476;110;642.0;542.0;100.0;-5.1;-4.9;-6.1;91.2;87.8;109.6
117;12 Tabaksindustrie;2020;580;454;126;651.0;537.0;112.0;1.4;-1.1;11.8;89.1;84.6;112.3
118;12 Tabaksindustrie;2021;656;505;151;675.0;540.0;128.0;3.6;0.7;14.3;97.2;93.5;117.7
119;12 Tabaksindustrie;2022;814;649;165;674.0;530.0;136.0;-0.2;-2.0;6.0;120.8;122.5;121.4
120;13-15 Textiel-, kleding-, lederindustrie;2015;1007;894;113;1007.0;894.0;113.0;;;;100.0;100.0;100.0
121;13-15 Textiel-, kleding-, lederindustrie;2016;1104;961;143;1134.0;992.0;142.0;12.6;11.0;25.7;97.4;96.9;100.7
122;13-15 Textiel-, kleding-, lederindustrie;2017;1134;977;157;1137.0;983.0;154.0;0.3;-0.9;8.4;99.7;99.4;102.0
123;13-15 Textiel-, kleding-, lederindustrie;2018;1269;1112;157;1261.0;1108.0;153.0;10.9;12.8;-0.6;100.6;100.3;102.7
124;13-15 Textiel-, kleding-, lederindustrie;2019;1300;1139;161;1297.0;1146.0;151.0;2.8;3.4;-1.3;100.2;99.4;106.6
125;13-15 Textiel-, kleding-, lederindustrie;2020;1185;1026;159;1214.0;1069.0;145.0;-6.4;-6.8;-3.7;97.6;96.0;109.4
126;13-15 Textiel-, kleding-, lederindustrie;2021;1469;1310;159;1405.0;1264.0;144.0;15.7;18.2;-0.6;104.6;103.7;110.1
127;13-15 Textiel-, kleding-, lederindustrie;2022;1683;1508;175;1353.0;1199.0;156.0;-3.7;-5.1;8.2;124.4;125.8;112.0
128;16-18 Hout-, papier-, grafische industr.;2015;3984;3361;623;3984.0;3361.0;623.0;;;;100.0;100.0;100.0
129;16-18 Hout-, papier-, grafische industr.;2016;4281;3661;620;4296.0;3680.0;616.0;7.8;9.5;-1.1;99.7;99.5;100.6
130;16-18 Hout-, papier-, grafische industr.;2017;4564;3874;690;4526.0;3851.0;675.0;5.3;4.6;9.5;100.8;100.6;102.3
131;16-18 Hout-, papier-, grafische industr.;2018;4702;3987;715;4483.0;3792.0;690.0;-0.9;-1.5;2.3;104.9;105.1;103.6
132;16-18 Hout-, papier-, grafische industr.;2019;4611;3977;634;4403.0;3807.0;594.0;-1.8;0.4;-14.0;104.7;104.5;106.8
133;16-18 Hout-, papier-, grafische industr.;2020;4277;3614;663;4217.0;3605.0;609.0;-4.2;-5.3;2.5;101.4;100.2;108.9
134;16-18 Hout-, papier-, grafische industr.;2021;5405;4661;744;4665.0;3989.0;674.0;10.6;10.6;10.7;115.9;116.9;110.4
135;16-18 Hout-, papier-, grafische industr.;2022;6842;6041;801;4652.0;3990.0;658.0;-0.3;0.0;-2.4;147.1;151.4;121.8
136;16 Houtindustrie;2015;816;768;48;816.0;768.0;48.0;;;;100.0;100.0;100.0
137;16 Houtindustrie;2016;945;895;50;942.0;890.0;52.0;15.4;15.9;8.3;100.3;100.6;96.2
138;16 Houtindustrie;2017;1015;961;54;997.0;940.0;57.0;5.8;5.6;10.0;101.8;102.3;94.4
139;16 Houtindustrie;2018;1151;1097;54;1081.0;1022.0;59.0;8.5;8.7;3.7;106.4;107.4;91.0
140;16 Houtindustrie;2019;1265;1212;53;1187.0;1128.0;57.0;9.7;10.4;-3.7;106.6;107.4;92.8
141;16 Houtindustrie;2020;1304;1247;57;1245.0;1183.0;60.0;4.9;4.9;5.7;104.8;105.4;94.4
142;16 Houtindustrie;2021;1754;1678;76;1318.0;1241.0;77.0;5.9;4.9;28.1;133.1;135.2;98.3
143;16 Houtindustrie;2022;2088;2010;78;1290.0;1211.0;80.0;-2.2;-2.4;3.9;161.9;166.0;97.1
144;17 Papierindustrie;2015;2149;1791;358;2149.0;1791.0;358.0;;;;100.0;100.0;100.0
145;17 Papierindustrie;2016;2276;1920;356;2303.0;1951.0;352.0;7.2;8.9;-1.7;98.8;98.4;101.1
146;17 Papierindustrie;2017;2547;2126;421;2553.0;2143.0;409.0;10.9;9.8;16.3;99.8;99.2;102.8
147;17 Papierindustrie;2018;2636;2161;475;2555.0;2097.0;456.0;0.1;-2.2;11.4;103.2;103.1;104.2
148;17 Papierindustrie;2019;2494;2080;414;2429.0;2041.0;386.0;-4.9;-2.6;-15.4;102.7;101.9;107.3
149;17 Papierindustrie;2020;2230;1779;451;2260.0;1846.0;410.0;-6.9;-9.6;6.3;98.7;96.4;110.0
150;17 Papierindustrie;2021;2910;2392;518;2708.0;2241.0;466.0;19.8;21.4;13.5;107.4;106.7;111.2
151;17 Papierindustrie;2022;3901;3328;573;2781.0;2326.0;455.0;2.7;3.8;-2.3;140.3;143.1;126.0
152;18 Grafische industrie;2015;1019;802;217;1019.0;802.0;217.0;;;;100.0;100.0;100.0
153;18 Grafische industrie;2016;1060;846;214;1051.0;839.0;212.0;3.1;4.6;-2.3;100.9;100.8;100.9
154;18 Grafische industrie;2017;1002;787;215;979.0;771.0;208.0;-6.9;-8.2;-1.9;102.4;102.1;103.3
155;18 Grafische industrie;2018;915;729;186;851.0;676.0;175.0;-13.1;-12.3;-15.8;107.6;107.9;106.2
156;18 Grafische industrie;2019;852;685;167;789.0;638.0;152.0;-7.2;-5.6;-13.4;107.9;107.4;110.2
157;18 Grafische industrie;2020;743;588;155;711.0;572.0;140.0;-9.9;-10.4;-7.8;104.4;102.9;110.9
158;18 Grafische industrie;2021;741;591;150;650.0;515.0;134.0;-8.6;-9.9;-3.9;114.0;114.7;111.6
159;18 Grafische industrie;2022;853;703;150;601.0;474.0;126.0;-7.6;-8.0;-6.0;141.9;148.3;118.7
160;19 Aardolie-industrie;2015;19555;19281;274;19555.0;19281.0;274.0;;;;100.0;100.0;100.0
161;19 Aardolie-industrie;2016;15818;15552;266;19348.0;19083.0;265.0;-1.1;-1.0;-3.3;81.8;81.5;100.4
162;19 Aardolie-industrie;2017;19100;18820;280;18891.0;18607.0;279.0;-2.4;-2.5;5.3;101.1;101.1;100.4
163;19 Aardolie-industrie;2018;24522;24228;294;19788.0;19489.0;294.0;4.7;4.7;5.4;123.9;124.3;100.0
164;19 Aardolie-industrie;2019;24232;23928;304;20438.0;20134.0;298.0;3.3;3.3;1.4;118.6;118.8;102.1
165;19 Aardolie-industrie;2020;16255;15942;313;19633.0;19331.0;298.0;-3.9;-4.0;0.0;82.8;82.5;105.1
166;19 Aardolie-industrie;2021;26625;26244;381;20417.0;20050.0;351.0;4.0;3.7;17.9;130.4;130.9;108.5
167;19 Aardolie-industrie;2022;42984;42580;404;20208.0;19839.0;354.0;-1.0;-1.1;0.8;212.7;214.6;114.1
168;20-21 Chemie en farmaceutische industrie;2015;15181;13023;2158;15181.0;13023.0;2158.0;;;;100.0;100.0;100.0
169;20-21 Chemie en farmaceutische industrie;2016;14289;11674;2615;15473.0;12886.0;2587.0;1.9;-1.1;19.9;92.3;90.6;101.1
170;20-21 Chemie en farmaceutische industrie;2017;17689;14661;3028;17255.0;14300.0;2948.0;11.5;11.0;14.0;102.5;102.5;102.7
171;20-21 Chemie en farmaceutische industrie;2018;19754;16161;3593;18217.0;14788.0;3421.0;5.6;3.4;16.1;108.4;109.3;105.0
172;20-21 Chemie en farmaceutische industrie;2019;19139;15560;3579;18609.0;15278.0;3316.0;2.2;3.3;-3.1;102.8;101.8;107.9
173;20-21 Chemie en farmaceutische industrie;2020;17090;13444;3646;18209.0;14850.0;3338.0;-2.2;-2.8;0.7;93.9;90.5;109.2
174;20-21 Chemie en farmaceutische industrie;2021;24412;20476;3936;20605.0;17145.0;3494.0;13.2;15.5;4.7;118.5;119.4;112.6
175;20-21 Chemie en farmaceutische industrie;2022;32961;28682;4279;20387.0;16962.0;3460.0;-1.1;-1.1;-1.0;161.7;169.1;123.7
176;20 Chemische industrie;2015;13797;11969;1828;13797.0;11969.0;1828.0;;;;100.0;100.0;100.0
177;20 Chemische industrie;2016;12814;10534;2280;13971.0;11719.0;2252.0;1.3;-2.1;23.2;91.7;89.9;101.2
178;20 Chemische industrie;2017;16281;13607;2674;15845.0;13240.0;2600.0;13.4;13.0;15.4;102.8;102.8;102.9
179;20 Chemische industrie;2018;18309;15062;3247;16761.0;13675.0;3080.0;5.8;3.3;18.5;109.2;110.1;105.4
180;20 Chemische industrie;2019;17479;14239;3240;16910.0;13915.0;2983.0;0.9;1.8;-3.1;103.4;102.3;108.6
181;20 Chemische industrie;2020;15212;11963;3249;16342.0;13373.0;2954.0;-3.4;-3.9;-1.0;93.1;89.5;110.0
182;20 Chemische industrie;2021;22040;18572;3468;18454.0;15448.0;3054.0;12.9;15.5;3.4;119.4;120.2;113.6
183;20 Chemische industrie;2022;29979;26250;3729;18037.0;15119.0;2963.0;-2.3;-2.1;-3.0;166.2;173.6;125.9
184;21 Farmaceutische industrie;2015;1384;1054;330;1384.0;1054.0;330.0;;;;100.0;100.0;100.0
185;21 Farmaceutische industrie;2016;1475;1140;335;1502.0;1167.0;335.0;8.5;10.7;1.5;98.2;97.7;100.0
186;21 Farmaceutische industrie;2017;1408;1054;354;1428.0;1079.0;348.0;-4.9;-7.5;3.9;98.6;97.7;101.7
187;21 Farmaceutische industrie;2018;1445;1099;346;1473.0;1133.0;340.0;3.2;5.0;-2.3;98.1;97.0;101.7
188;21 Farmaceutische industrie;2019;1660;1321;339;1740.0;1413.0;331.0;18.1;24.7;-2.6;95.4;93.5;102.3
189;21 Farmaceutische industrie;2020;1878;1481;397;1924.0;1540.0;386.0;10.5;9.0;16.5;97.6;96.2;102.8
190;21 Farmaceutische industrie;2021;2372;1904;468;2214.0;1771.0;445.0;15.1;15.0;15.4;107.1;107.5;105.1
191;21 Farmaceutische industrie;2022;2982;2432;550;2438.0;1934.0;506.0;10.1;9.2;13.7;122.3;125.7;108.6
192;22-23 Kunststof- en bouwmateriaalindustr;2015;3293;2954;339;3293.0;2954.0;339.0;;;;100.0;100.0;100.0
193;22-23 Kunststof- en bouwmateriaalindustr;2016;3524;3150;374;3613.0;3238.0;375.0;9.7;9.6;10.6;97.5;97.3;99.7
194;22-23 Kunststof- en bouwmateriaalindustr;2017;4012;3603;409;3956.0;3544.0;412.0;9.5;9.5;9.9;101.4;101.7;99.2
195;22-23 Kunststof- en bouwmateriaalindustr;2018;4313;3884;429;4162.0;3729.0;432.0;5.2;5.2;4.9;103.6;104.1;99.2
196;22-23 Kunststof- en bouwmateriaalindustr;2019;4418;3993;425;4324.0;3903.0;419.0;3.9;4.7;-3.0;102.2;102.3;101.4
197;22-23 Kunststof- en bouwmateriaalindustr;2020;4281;3843;438;4388.0;3969.0;418.0;1.5;1.7;-0.2;97.6;96.8;104.7
198;22-23 Kunststof- en bouwmateriaalindustr;2021;5212;4749;463;4553.0;4123.0;429.0;3.8;3.9;2.5;114.5;115.2;108.0
199;22-23 Kunststof- en bouwmateriaalindustr;2022;6089;5609;480;4328.0;3892.0;436.0;-5.0;-5.6;1.7;140.7;144.1;110.1
200;22 Rubber- en kunststofproductindustrie;2015;2163;1957;206;2163.0;1957.0;206.0;;;;100.0;100.0;100.0
201;22 Rubber- en kunststofproductindustrie;2016;2363;2130;233;2438.0;2206.0;232.0;12.7;12.7;12.6;96.9;96.6;100.4
202;22 Rubber- en kunststofproductindustrie;2017;2750;2501;249;2730.0;2480.0;250.0;12.0;12.4;7.7;100.7;100.8;99.6
203;22 Rubber- en kunststofproductindustrie;2018;2819;2561;258;2773.0;2513.0;260.0;1.6;1.3;4.0;101.7;101.9;99.2
204;22 Rubber- en kunststofproductindustrie;2019;2836;2573;263;2857.0;2598.0;260.0;3.1;3.4;0.0;99.3;99.1;101.2
205;22 Rubber- en kunststofproductindustrie;2020;2735;2461;274;2933.0;2669.0;264.0;2.6;2.8;1.5;93.3;92.2;103.8
206;22 Rubber- en kunststofproductindustrie;2021;3453;3163;290;2998.0;2730.0;269.0;2.2;2.3;1.8;115.2;115.9;107.9
207;22 Rubber- en kunststofproductindustrie;2022;3785;3488;297;2716.0;2449.0;269.0;-9.4;-10.3;0.0;139.4;142.4;110.5
208;23 Bouwmaterialenindustrie;2015;1130;997;133;1130.0;997.0;133.0;;;;100.0;100.0;100.0
