ID;Overheidssectoren;Perioden;Vacatures_1;OntstaneVacatures_2;VervuldeVacatures_3;Vacatures_4;OntstaneVacatures_5;VervuldeVacatures_6
33;Totaal sectoren;1999 3e kwartaal;;;;13.1;19.8;21.8
34;Totaal sectoren;1999 4e kwartaal;;;;15.6;15.3;12.9
35;Totaal sectoren;1999 jaarcijfer;;;;13.6;69.7;66.2
36;Totaal sectoren;2000 1e kwartaal;;;;14.8;16.1;16.9
37;Totaal sectoren;2000 2e kwartaal;;;;16.6;18.1;16.3
38;Totaal sectoren;2000 3e kwartaal;;;;14.0;21.5;24.1
39;Totaal sectoren;2000 4e kwartaal;;;;15.4;17.2;15.8
40;Totaal sectoren;2000 jaarcijfer;;;;15.2;72.8;73.1
41;Totaal sectoren;2001 1e kwartaal;;;;15.0;17.6;17.9
42;Totaal sectoren;2001 2e kwartaal;;;;16.4;20.4;19.0
43;Totaal sectoren;2001 3e kwartaal;;;;14.7;20.4;22.1
44;Totaal sectoren;2001 4e kwartaal;;;;16.0;17.2;15.8
45;Totaal sectoren;2001 jaarcijfer;;;;15.5;75.5;74.8
46;Totaal sectoren;2002 1e kwartaal;;;;15.1;17.0;18.0
47;Totaal sectoren;2002 2e kwartaal;;;;15.9;18.0;17.0
48;Totaal sectoren;2002 3e kwartaal;;;;11.8;18.9;23.0
49;Totaal sectoren;2002 4e kwartaal;;;;12.9;12.9;11.7
50;Totaal sectoren;2002 jaarcijfer;;;;14.3;66.7;69.6
51;Totaal sectoren;2003 1e kwartaal;;;;10.4;11.4;13.8
52;Totaal sectoren;2003 2e kwartaal;;;;11.1;13.0;12.2
53;Totaal sectoren;2003 3e kwartaal;;;;8.8;13.4;15.7
54;Totaal sectoren;2003 4e kwartaal;;;;8.7;9.6;9.7
55;Totaal sectoren;2003 jaarcijfer;;;;10.3;47.3;51.5
56;Totaal sectoren;2004 1e kwartaal;;;;9.2;9.3;8.8
57;Totaal sectoren;2004 2e kwartaal;;;;12.1;13.4;10.3
58;Totaal sectoren;2004 3e kwartaal;;;;8.5;10.3;13.8
59;Totaal sectoren;2004 4e kwartaal;;;;10.0;10.3;8.8
60;Totaal sectoren;2004 jaarcijfer;;;;9.8;43.3;41.7
61;Totaal sectoren;2005 1e kwartaal;;;;9.0;10.2;11.0
62;Totaal sectoren;2005 2e kwartaal;;;;12.4;14.7;11.3
63;Totaal sectoren;2005 3e kwartaal;;;;10.4;13.8;15.8
64;Totaal sectoren;2005 4e kwartaal;;;;11.8;12.6;11.2
65;Totaal sectoren;2005 jaarcijfer;;;;10.7;51.4;49.3
66;Totaal sectoren;2006 1e kwartaal;;;;12.1;12.8;12.5
67;Totaal sectoren;2006 2e kwartaal;;;;12.9;14.2;13.5
68;Totaal sectoren;2006 3e kwartaal;;;;12.3;14.5;14.9
69;Totaal sectoren;2006 4e kwartaal;13.0;15.1;13.2;13.8;15.3;13.8
70;Totaal sectoren;2006 jaarcijfer;;;;12.5;56.9;54.8
71;Totaal sectoren;2007 1e kwartaal;14.0;16.5;15.5;;;
72;Totaal sectoren;2007 2e kwartaal;15.5;17.9;16.3;;;
73;Totaal sectoren;2007 3e kwartaal;14.2;18.4;19.7;;;
74;Totaal sectoren;2007 4e kwartaal;13.9;13.9;14.1;;;
75;Totaal sectoren;2007 jaarcijfer;14.3;66.6;65.6;;;
76;Totaal sectoren;2008 1e kwartaal;15.9;16.7;14.7;;;
77;Totaal sectoren;2008 2e kwartaal;18.0;19.3;17.1;;;
78;Totaal sectoren;2008 3e kwartaal;22.1;18.1;21.6;;;
79;Totaal sectoren;2008 4e kwartaal;21.8;14.2;14.4;;;
80;Totaal sectoren;2008 jaarcijfer;18.4;68.3;67.7;;;
81;Totaal sectoren;2009 1e kwartaal;19.7;13.7;15.7;;;
82;Totaal sectoren;2009 2e kwartaal;19.9;16.2;16.0;;;
83;Totaal sectoren;2009 3e kwartaal;17.6;15.2;17.4;;;
84;Totaal sectoren;2009 4e kwartaal;17.5;12.6;12.7;;;
85;Totaal sectoren;2009 jaarcijfer;19.2;57.7;61.8;;;
86;Rijksoverheid;1992 4e kwartaal;;;;1.6;1.0;1.1
87;Rijksoverheid;1993 1e kwartaal;;;;1.9;1.8;1.6
88;Rijksoverheid;1993 2e kwartaal;;;;1.8;1.3;1.4
89;Rijksoverheid;1993 3e kwartaal;;;;1.7;1.3;1.4
90;Rijksoverheid;1993 4e kwartaal;;;;1.7;1.4;1.3
91;Rijksoverheid;1993 jaarcijfer;;;;1.8;5.8;5.7
92;Rijksoverheid;1994 1e kwartaal;;;;1.6;1.3;1.4
93;Rijksoverheid;1994 2e kwartaal;;;;1.4;1.0;1.2
94;Rijksoverheid;1994 3e kwartaal;;;;1.1;1.0;1.3
95;Rijksoverheid;1994 4e kwartaal;;;;1.0;0.7;0.8
96;Rijksoverheid;1994 jaarcijfer;;;;1.4;4.0;4.7
97;Rijksoverheid;1995 1e kwartaal;;;;1.0;0.9;0.8
98;Rijksoverheid;1995 2e kwartaal;;;;1.3;1.2;1.0
99;Rijksoverheid;1995 3e kwartaal;;;;1.2;1.1;1.1
100;Rijksoverheid;1995 4e kwartaal;;;;0.9;0.7;1.1
101;Rijksoverheid;1995 jaarcijfer;;;;1.1;3.9;4.0
102;Rijksoverheid;1996 1e kwartaal;;;;1.5;1.8;1.1
103;Rijksoverheid;1996 2e kwartaal;;;;1.8;1.7;1.5
104;Rijksoverheid;1996 3e kwartaal;;;;1.6;1.4;1.5
105;Rijksoverheid;1996 4e kwartaal;;;;1.6;1.7;1.6
106;Rijksoverheid;1996 jaarcijfer;;;;1.5;6.5;5.8
107;Rijksoverheid;1997 1e kwartaal;;;;1.8;2.2;1.9
108;Rijksoverheid;1997 2e kwartaal;;;;2.5;2.8;2.1
109;Rijksoverheid;1997 3e kwartaal;;;;2.4;1.9;2.0
110;Rijksoverheid;1997 4e kwartaal;;;;1.9;1.3;1.8
111;Rijksoverheid;1997 jaarcijfer;;;;2.1;8.1;7.8
112;Rijksoverheid;1998 1e kwartaal;;;;2.1;2.0;1.8
113;Rijksoverheid;1998 2e kwartaal;;;;2.2;2.0;1.9
114;Rijksoverheid;1998 3e kwartaal;;;;2.3;1.8;1.7
115;Rijksoverheid;1998 4e kwartaal;;;;2.2;1.4;1.4
116;Rijksoverheid;1998 jaarcijfer;;;;2.2;7.3;6.9
117;Rijksoverheid;1999 1e kwartaal;;;;2.1;1.8;2.0
118;Rijksoverheid;1999 2e kwartaal;;;;2.6;2.4;1.8
119;Rijksoverheid;1999 3e kwartaal;;;;2.2;1.7;2.1
120;Rijksoverheid;1999 4e kwartaal;;;;2.1;1.4;1.5
121;Rijksoverheid;1999 jaarcijfer;;;;2.3;7.3;7.3
122;Rijksoverheid;2000 1e kwartaal;;;;2.3;1.8;1.8
123;Rijksoverheid;2000 2e kwartaal;;;;2.4;1.7;1.6
124;Rijksoverheid;2000 3e kwartaal;;;;2.4;1.8;1.8
125;Rijksoverheid;2000 4e kwartaal;;;;2.4;1.8;1.7
126;Rijksoverheid;2000 jaarcijfer;;;;2.3;7.2;7.0
127;Rijksoverheid;2001 1e kwartaal;;;;2.4;1.8;1.8
128;Rijksoverheid;2001 2e kwartaal;;;;2.6;2.4;2.2
129;Rijksoverheid;2001 3e kwartaal;;;;2.3;1.6;1.9
130;Rijksoverheid;2001 4e kwartaal;;;;3.0;2.5;1.8
131;Rijksoverheid;2001 jaarcijfer;;;;2.5;8.3;7.7
132;Rijksoverheid;2002 1e kwartaal;;;;3.1;2.3;2.3
133;Rijksoverheid;2002 2e kwartaal;;;;2.4;1.3;1.9
134;Rijksoverheid;2002 3e kwartaal;;;;1.6;1.2;2.0
135;Rijksoverheid;2002 4e kwartaal;;;;1.5;0.9;1.0
136;Rijksoverheid;2002 jaarcijfer;;;;2.3;5.7;7.2
137;Rijksoverheid;2003 1e kwartaal;;;;1.4;1.0;1.0
138;Rijksoverheid;2003 2e kwartaal;;;;1.3;0.8;0.9
139;Rijksoverheid;2003 3e kwartaal;;;;0.9;0.5;0.9
140;Rijksoverheid;2003 4e kwartaal;;;;0.9;0.6;0.5
141;Rijksoverheid;2003 jaarcijfer;;;;1.2;2.8;3.4
142;Rijksoverheid;2004 1e kwartaal;;;;0.7;0.3;0.6
143;Rijksoverheid;2004 2e kwartaal;;;;1.4;1.4;0.7
144;Rijksoverheid;2004 3e kwartaal;;;;0.6;0.4;1.1
145;Rijksoverheid;2004 4e kwartaal;;;;1.3;1.3;0.6
146;Rijksoverheid;2004 jaarcijfer;;;;1.0;3.4;2.8
147;Rijksoverheid;2005 1e kwartaal;;;;1.1;1.0;1.2
148;Rijksoverheid;2005 2e kwartaal;;;;1.6;1.4;0.9
149;Rijksoverheid;2005 3e kwartaal;;;;1.1;1.0;1.4
150;Rijksoverheid;2005 4e kwartaal;;;;1.6;1.3;0.9
151;Rijksoverheid;2005 jaarcijfer;;;;1.3;4.7;4.4
152;Rijksoverheid;2006 1e kwartaal;;;;1.3;1.1;1.4
153;Rijksoverheid;2006 2e kwartaal;;;;1.3;0.9;0.9
154;Rijksoverheid;2006 3e kwartaal;;;;1.6;1.2;1.0
155;Rijksoverheid;2006 4e kwartaal;2.2;2.0;1.6;2.3;2.4;1.7
156;Rijksoverheid;2006 jaarcijfer;;;;1.5;5.6;4.9
157;Rijksoverheid;2007 1e kwartaal;1.8;1.6;2.0;;;
158;Rijksoverheid;2007 2e kwartaal;1.8;1.5;1.6;;;
159;Rijksoverheid;2007 3e kwartaal;1.4;1.2;1.6;;;
160;Rijksoverheid;2007 4e kwartaal;1.1;1.0;1.2;;;
161;Rijksoverheid;2007 jaarcijfer;1.7;5.3;6.4;;;
162;Rijksoverheid;2008 1e kwartaal;1.6;1.8;1.3;;;
163;Rijksoverheid;2008 2e kwartaal;1.4;1.2;1.3;;;
164;Rijksoverheid;2008 3e kwartaal;1.5;1.3;1.2;;;
165;Rijksoverheid;2008 4e kwartaal;0.8;0.6;1.3;;;
166;Rijksoverheid;2008 jaarcijfer;1.4;4.9;5.1;;;
167;Rijksoverheid;2009 1e kwartaal;1.1;1.1;0.9;;;
168;Rijksoverheid;2009 2e kwartaal;1.1;1.1;1.1;;;
169;Rijksoverheid;2009 3e kwartaal;1.1;0.7;0.7;;;
170;Rijksoverheid;2009 4e kwartaal;1.2;0.9;0.8;;;
171;Rijksoverheid;2009 jaarcijfer;1.1;3.9;3.4;;;
172;Provinciale overheid;1992 4e kwartaal;;;;0.5;0.3;0.3
173;Provinciale overheid;1993 1e kwartaal;;;;0.6;0.5;0.5
174;Provinciale overheid;1993 2e kwartaal;;;;0.6;0.2;0.3
175;Provinciale overheid;1993 3e kwartaal;;;;0.6;0.2;0.2
176;Provinciale overheid;1993 4e kwartaal;;;;0.5;0.2;0.2
177;Provinciale overheid;1993 jaarcijfer;;;;0.6;1.1;1.2
178;Provinciale overheid;1994 1e kwartaal;;;;0.5;0.2;0.3
179;Provinciale overheid;1994 2e kwartaal;;;;0.6;0.4;0.2
180;Provinciale overheid;1994 3e kwartaal;;;;0.4;0.1;0.4
181;Provinciale overheid;1994 4e kwartaal;;;;0.4;0.2;0.2
182;Provinciale overheid;1994 jaarcijfer;;;;0.5;0.9;1.1
183;Provinciale overheid;1995 1e kwartaal;;;;0.5;0.2;0.2
184;Provinciale overheid;1995 2e kwartaal;;;;0.4;0.3;0.3
185;Provinciale overheid;1995 3e kwartaal;;;;0.3;0.1;0.2
186;Provinciale overheid;1995 4e kwartaal;;;;0.3;0.2;0.3
187;Provinciale overheid;1995 jaarcijfer;;;;0.4;0.8;1.0
188;Provinciale overheid;1996 1e kwartaal;;;;0.3;0.3;0.2
189;Provinciale overheid;1996 2e kwartaal;;;;0.3;0.2;0.2
190;Provinciale overheid;1996 3e kwartaal;;;;0.3;0.2;0.1
191;Provinciale overheid;1996 4e kwartaal;;;;0.3;0.2;0.2
192;Provinciale overheid;1996 jaarcijfer;;;;0.3;0.8;0.7
193;Provinciale overheid;1997 1e kwartaal;;;;0.3;0.1;0.2
194;Provinciale overheid;1997 2e kwartaal;;;;0.6;0.4;0.1
195;Provinciale overheid;1997 3e kwartaal;;;;0.5;0.2;0.3
196;Provinciale overheid;1997 4e kwartaal;;;;0.4;0.2;0.3
197;Provinciale overheid;1997 jaarcijfer;;;;0.4;0.9;0.8
198;Provinciale overheid;1998 1e kwartaal;;;;0.4;0.4;0.4
199;Provinciale overheid;1998 2e kwartaal;;;;0.5;0.4;0.3
200;Provinciale overheid;1998 3e kwartaal;;;;0.4;0.1;0.2
201;Provinciale overheid;1998 4e kwartaal;;;;0.5;0.2;0.2
202;Provinciale overheid;1998 jaarcijfer;;;;0.5;1.1;1.0
203;Provinciale overheid;1999 1e kwartaal;;;;0.5;0.4;0.3
204;Provinciale overheid;1999 2e kwartaal;;;;0.5;0.2;0.3
205;Provinciale overheid;1999 3e kwartaal;;;;0.5;0.3;0.3
206;Provinciale overheid;1999 4e kwartaal;;;;0.5;0.3;0.3
207;Provinciale overheid;1999 jaarcijfer;;;;0.5;1.2;1.2
208;Provinciale overheid;2000 1e kwartaal;;;;0.4;0.3;0.4
209;Provinciale overheid;2000 2e kwartaal;;;;0.5;0.4;0.3
210;Provinciale overheid;2000 3e kwartaal;;;;0.4;0.2;0.3
211;Provinciale overheid;2000 4e kwartaal;;;;0.6;0.4;0.3
212;Provinciale overheid;2000 jaarcijfer;;;;0.5;1.4;1.3
213;Provinciale overheid;2001 1e kwartaal;;;;0.5;0.3;0.4
214;Provinciale overheid;2001 2e kwartaal;;;;0.6;0.4;0.4
215;Provinciale overheid;2001 3e kwartaal;;;;0.7;0.4;0.3
216;Provinciale overheid;2001 4e kwartaal;;;;0.6;0.3;0.4
217;Provinciale overheid;2001 jaarcijfer;;;;0.6;1.5;1.4
218;Provinciale overheid;2002 1e kwartaal;;;;0.6;0.4;0.4
219;Provinciale overheid;2002 2e kwartaal;;;;0.7;0.5;0.4
220;Provinciale overheid;2002 3e kwartaal;;;;0.6;0.1;0.2
221;Provinciale overheid;2002 4e kwartaal;;;;0.9;0.5;0.2
222;Provinciale overheid;2002 jaarcijfer;;;;0.7;1.5;1.1
223;Provinciale overheid;2003 1e kwartaal;;;;0.3;0.1;0.7
224;Provinciale overheid;2003 2e kwartaal;;;;0.5;0.4;0.1
225;Provinciale overheid;2003 3e kwartaal;;;;0.6;0.2;0.1
226;Provinciale overheid;2003 4e kwartaal;;;;0.4;0.2;0.3
227;Provinciale overheid;2003 jaarcijfer;;;;0.5;0.8;1.3
228;Provinciale overheid;2004 1e kwartaal;;;;0.4;0.1;0.2
229;Provinciale overheid;2004 2e kwartaal;;;;0.5;0.1;0.1
230;Provinciale overheid;2004 3e kwartaal;;;;0.3;0.0;0.2
231;Provinciale overheid;2004 4e kwartaal;;;;0.6;0.3;0.0
232;Provinciale overheid;2004 jaarcijfer;;;;0.4;0.6;0.5
233;Provinciale overheid;2005 1e kwartaal;;;;0.4;0.2;0.4
234;Provinciale overheid;2005 2e kwartaal;;;;0.2;0.0;0.2
235;Provinciale overheid;2005 3e kwartaal;;;;0.3;0.2;0.1
236;Provinciale overheid;2005 4e kwartaal;;;;0.5;0.4;0.1
237;Provinciale overheid;2005 jaarcijfer;;;;0.4;0.8;0.8
238;Provinciale overheid;2006 1e kwartaal;;;;0.6;0.2;0.2
239;Provinciale overheid;2006 2e kwartaal;;;;0.6;0.2;0.2
240;Provinciale overheid;2006 3e kwartaal;;;;0.5;0.1;0.1
241;Provinciale overheid;2006 4e kwartaal;0.6;0.3;0.2;0.5;0.1;0.2
242;Provinciale overheid;2006 jaarcijfer;;;;0.5;0.6;0.6
243;Provinciale overheid;2007 1e kwartaal;0.5;0.2;0.2;;;
244;Provinciale overheid;2007 2e kwartaal;0.4;0.2;0.3;;;
245;Provinciale overheid;2007 3e kwartaal;0.5;0.2;0.2;;;
246;Provinciale overheid;2007 4e kwartaal;0.5;0.3;0.2;;;
247;Provinciale overheid;2007 jaarcijfer;0.5;0.9;1.0;;;
248;Provinciale overheid;2008 1e kwartaal;0.5;0.2;0.2;;;
249;Provinciale overheid;2008 2e kwartaal;0.7;0.4;0.2;;;
250;Provinciale overheid;2008 3e kwartaal;0.6;0.3;0.4;;;
251;Provinciale overheid;2008 4e kwartaal;0.5;0.2;0.3;;;
252;Provinciale overheid;2008 jaarcijfer;0.6;1.1;1.2;;;
253;Provinciale overheid;2009 1e kwartaal;0.5;0.3;0.3;;;
254;Provinciale overheid;2009 2e kwartaal;0.4;0.2;0.2;;;
255;Provinciale overheid;2009 3e kwartaal;0.4;0.2;0.2;;;
256;Provinciale overheid;2009 4e kwartaal;0.3;0.4;0.5;;;
257;Provinciale overheid;2009 jaarcijfer;0.4;1.0;1.2;;;
258;Gemeentelijke overheid;1992 4e kwartaal;;;;4.3;2.6;2.9
259;Gemeentelijke overheid;1993 1e kwartaal;;;;4.2;3.3;3.3
260;Gemeentelijke overheid;1993 2e kwartaal;;;;4.2;3.0;3.0
261;Gemeentelijke overheid;1993 3e kwartaal;;;;3.4;2.2;3.0
262;Gemeentelijke overheid;1993 4e kwartaal;;;;3.3;2.5;2.5
263;Gemeentelijke overheid;1993 jaarcijfer;;;;3.9;11.0;11.8
264;Gemeentelijke overheid;1994 1e kwartaal;;;;3.2;2.7;2.8
265;Gemeentelijke overheid;1994 2e kwartaal;;;;3.4;2.9;2.7
266;Gemeentelijke overheid;1994 3e kwartaal;;;;2.7;2.4;3.1
267;Gemeentelijke overheid;1994 4e kwartaal;;;;2.7;2.2;2.2
268;Gemeentelijke overheid;1994 jaarcijfer;;;;3.1;10.2;10.8
269;Gemeentelijke overheid;1995 1e kwartaal;;;;2.9;2.5;2.3
270;Gemeentelijke overheid;1995 2e kwartaal;;;;2.9;2.5;2.4
271;Gemeentelijke overheid;1995 3e kwartaal;;;;2.6;2.1;2.4
272;Gemeentelijke overheid;1995 4e kwartaal;;;;2.8;2.2;2.0
273;Gemeentelijke overheid;1995 jaarcijfer;;;;2.8;9.3;9.1
274;Gemeentelijke overheid;1996 1e kwartaal;;;;3.1;2.9;2.5
275;Gemeentelijke overheid;1996 2e kwartaal;;;;3.1;2.7;2.7
276;Gemeentelijke overheid;1996 3e kwartaal;;;;2.6;2.0;2.5
277;Gemeentelijke overheid;1996 4e kwartaal;;;;3.1;2.3;1.8
278;Gemeentelijke overheid;1996 jaarcijfer;;;;3.0;9.8;9.5
279;Gemeentelijke overheid;1997 1e kwartaal;;;;3.5;2.9;2.5
280;Gemeentelijke overheid;1997 2e kwartaal;;;;3.7;3.1;2.8
281;Gemeentelijke overheid;1997 3e kwartaal;;;;3.1;2.1;2.7
282;Gemeentelijke overheid;1997 4e kwartaal;;;;3.8;3.1;2.4
283;Gemeentelijke overheid;1997 jaarcijfer;;;;3.4;11.2;10.4
284;Gemeentelijke overheid;1998 1e kwartaal;;;;4.2;3.5;3.1
285;Gemeentelijke overheid;1998 2e kwartaal;;;;4.5;3.3;3.0
286;Gemeentelijke overheid;1998 3e kwartaal;;;;3.7;2.3;3.1
287;Gemeentelijke overheid;1998 4e kwartaal;;;;3.7;3.0;3.0
288;Gemeentelijke overheid;1998 jaarcijfer;;;;4.1;12.0;12.1
289;Gemeentelijke overheid;1999 1e kwartaal;;;;4.5;3.9;3.2
290;Gemeentelijke overheid;1999 2e kwartaal;;;;5.0;4.0;3.5
291;Gemeentelijke overheid;1999 3e kwartaal;;;;4.6;3.5;3.9
292;Gemeentelijke overheid;1999 4e kwartaal;;;;5.1;3.5;2.9
293;Gemeentelijke overheid;1999 jaarcijfer;;;;4.6;14.9;13.4
294;Gemeentelijke overheid;2000 1e kwartaal;;;;5.3;4.2;4.0
295;Gemeentelijke overheid;2000 2e kwartaal;;;;5.6;4.0;3.7
296;Gemeentelijke overheid;2000 3e kwartaal;;;;4.5;3.0;4.0
297;Gemeentelijke overheid;2000 4e kwartaal;;;;5.5;3.9;3.0
298;Gemeentelijke overheid;2000 jaarcijfer;;;;5.2;15.0;14.7
299;Gemeentelijke overheid;2001 1e kwartaal;;;;5.7;4.7;4.5
300;Gemeentelijke overheid;2001 2e kwartaal;;;;5.7;4.8;4.7
301;Gemeentelijke overheid;2001 3e kwartaal;;;;5.3;3.6;4.0
302;Gemeentelijke overheid;2001 4e kwartaal;;;;5.6;3.7;3.4
303;Gemeentelijke overheid;2001 jaarcijfer;;;;5.5;16.7;16.7
304;Gemeentelijke overheid;2002 1e kwartaal;;;;5.6;4.2;4.2
305;Gemeentelijke overheid;2002 2e kwartaal;;;;5.9;4.6;4.2
306;Gemeentelijke overheid;2002 3e kwartaal;;;;4.7;3.2;4.4
307;Gemeentelijke overheid;2002 4e kwartaal;;;;5.0;3.3;3.0
308;Gemeentelijke overheid;2002 jaarcijfer;;;;5.4;15.2;15.7
309;Gemeentelijke overheid;2003 1e kwartaal;;;;4.8;3.8;3.9
310;Gemeentelijke overheid;2003 2e kwartaal;;;;4.5;3.3;3.6
311;Gemeentelijke overheid;2003 3e kwartaal;;;;3.4;2.0;3.2
312;Gemeentelijke overheid;2003 4e kwartaal;;;;3.8;2.7;2.2
313;Gemeentelijke overheid;2003 jaarcijfer;;;;4.3;11.8;13.0
314;Gemeentelijke overheid;2004 1e kwartaal;;;;4.1;3.1;2.8
315;Gemeentelijke overheid;2004 2e kwartaal;;;;3.9;2.5;2.6
316;Gemeentelijke overheid;2004 3e kwartaal;;;;3.4;2.0;2.6
317;Gemeentelijke overheid;2004 4e kwartaal;;;;3.4;2.3;2.3
318;Gemeentelijke overheid;2004 jaarcijfer;;;;3.7;10.0;10.1
319;Gemeentelijke overheid;2005 1e kwartaal;;;;3.5;2.9;2.7
320;Gemeentelijke overheid;2005 2e kwartaal;;;;3.8;2.9;2.5
321;Gemeentelijke overheid;2005 3e kwartaal;;;;3.1;2.2;2.9
322;Gemeentelijke overheid;2005 4e kwartaal;;;;4.2;3.9;2.7
323;Gemeentelijke overheid;2005 jaarcijfer;;;;3.5;11.9;10.9
324;Gemeentelijke overheid;2006 1e kwartaal;;;;4.0;3.0;3.2
325;Gemeentelijke overheid;2006 2e kwartaal;;;;4.1;3.4;3.3
326;Gemeentelijke overheid;2006 3e kwartaal;;;;4.0;3.0;3.0
327;Gemeentelijke overheid;2006 4e kwartaal;3.6;3.1;2.3;4.4;3.2;2.8
328;Gemeentelijke overheid;2006 jaarcijfer;;;;4.1;12.6;12.4
329;Gemeentelijke overheid;2007 1e kwartaal;4.9;4.4;3.1;;;
330;Gemeentelijke overheid;2007 2e kwartaal;4.9;3.2;3.3;;;
331;Gemeentelijke overheid;2007 3e kwartaal;4.6;3.1;3.3;;;
332;Gemeentelijke overheid;2007 4e kwartaal;4.9;3.5;3.2;;;
333;Gemeentelijke overheid;2007 jaarcijfer;4.6;14.3;12.9;;;
334;Gemeentelijke overheid;2008 1e kwartaal;5.9;4.9;3.9;;;
335;Gemeentelijke overheid;2008 2e kwartaal;6.4;4.6;4.1;;;
336;Gemeentelijke overheid;2008 3e kwartaal;5.7;3.5;4.1;;;
337;Gemeentelijke overheid;2008 4e kwartaal;5.7;3.9;3.8;;;
338;Gemeentelijke overheid;2008 jaarcijfer;5.8;16.9;15.9;;;
339;Gemeentelijke overheid;2009 1e kwartaal;5.1;3.7;4.3;;;
340;Gemeentelijke overheid;2009 2e kwartaal;4.7;3.7;4.1;;;
341;Gemeentelijke overheid;2009 3e kwartaal;4.1;2.7;3.3;;;
342;Gemeentelijke overheid;2009 4e kwartaal;;;;;;
343;Gemeentelijke overheid;2009 jaarcijfer;;;;;;
344;Onderwijs;1992 4e kwartaal;;;;2.7;4.4;5.2
345;Onderwijs;1993 1e kwartaal;;;;2.5;4.9;5.1
346;Onderwijs;1993 2e kwartaal;;;;3.4;5.6;4.7
347;Onderwijs;1993 3e kwartaal;;;;2.4;9.2;10.2
348;Onderwijs;1993 4e kwartaal;;;;2.0;4.3;4.6
349;Onderwijs;1993 jaarcijfer;;;;2.7;24.0;24.6
350;Onderwijs;1994 1e kwartaal;;;;2.3;5.0;4.7
351;Onderwijs;1994 2e kwartaal;;;;3.0;4.8;4.1
352;Onderwijs;1994 3e kwartaal;;;;2.3;9.0;9.6
353;Onderwijs;1994 4e kwartaal;;;;2.2;5.0;5.1
354;Onderwijs;1994 jaarcijfer;;;;2.4;23.8;23.5
355;Onderwijs;1995 1e kwartaal;;;;2.1;5.2;5.3
356;Onderwijs;1995 2e kwartaal;;;;2.9;5.5;4.7
357;Onderwijs;1995 3e kwartaal;;;;2.3;9.9;10.5
358;Onderwijs;1995 4e kwartaal;;;;2.3;5.0;5.0
359;Onderwijs;1995 jaarcijfer;;;;2.4;25.6;25.5
360;Onderwijs;1996 1e kwartaal;;;;2.5;6.2;6.0
361;Onderwijs;1996 2e kwartaal;;;;2.5;5.2;5.2
362;Onderwijs;1996 3e kwartaal;;;;2.1;10.2;10.7
363;Onderwijs;1996 4e kwartaal;;;;2.5;5.9;5.5
364;Onderwijs;1996 jaarcijfer;;;;2.4;27.6;27.4
365;Onderwijs;1997 1e kwartaal;;;;2.6;6.9;6.8
366;Onderwijs;1997 2e kwartaal;;;;3.0;6.4;6.0
367;Onderwijs;1997 3e kwartaal;;;;2.6;11.5;11.9
368;Onderwijs;1997 4e kwartaal;;;;2.9;6.4;6.1
369;Onderwijs;1997 jaarcijfer;;;;2.7;31.2;30.7
370;Onderwijs;1998 1e kwartaal;;;;3.0;7.9;7.8
371;Onderwijs;1998 2e kwartaal;;;;4.5;8.4;6.9
372;Onderwijs;1998 3e kwartaal;;;;3.9;14.5;15.0
373;Onderwijs;1998 4e kwartaal;;;;4.4;7.9;7.5
