ID;Opleidingsniveau;DienstverbandWekelijkseArbeidsduur;Perioden;TotaalAantalBanen_1;Voltijdbanen_2;BrutoUurloonAlleBanen_3;BrutoMaandloonAlleBanen_4;BrutoJaarloonAlleBanen_5;BrutoJaarloonVoltijdbanen_6
21;Basisonderwijs;>= 35 uur  per week;2002;335.8;311.9;13.6;1950;26.4;27.5
22;Mavo;Totaal dienstverband;2002;631.1;234.1;12.66;1158;15.3;28.1
23;Mavo;Voltijdwerknemers;2002;234.1;234.1;14.21;2041;28.1;28.1
24;Mavo;Deeltijdwerknemers;2002;259.2;;11.34;716;9.8;
25;Mavo;Flexibelwerknemers;2002;137.9;;8.72;491;3.9;
26;Mavo;Totaal wekelijkse abeidsduur;2002;631.1;234.1;12.66;1158;15.3;28.1
27;Mavo;< 12 uur per week;2002;174.8;;9.27;228;3.0;
28;Mavo;12-<20 uur per week;2002;89.9;;10.96;636;7.8;
29;Mavo;20-<25 uur per week;2002;49.2;;12.19;1029;13.2;
30;Mavo;25-<30 uur per week;2002;16.1;;11.89;1247;15.8;
31;Mavo;30-<35 uur per week;2002;43.0;1.9;11.52;1389;17.7;30.0
32;Mavo;>= 35 uur  per week;2002;258.1;232.2;13.54;1951;26.2;28.1
33;Vbo;Totaal dienstverband;2002;903.9;534.1;13.52;1555;21.0;28.5
34;Vbo;Voltijdwerknemers;2002;534.1;534.1;14.26;2046;28.5;28.5
35;Vbo;Deeltijdwerknemers;2002;272.3;;11.36;857;11.7;
36;Vbo;Flexibelwerknemers;2002;97.4;;11.63;808;5.9;
37;Vbo;Totaal wekelijkse abeidsduur;2002;903.9;534.1;13.52;1555;21.0;28.5
38;Vbo;< 12 uur per week;2002;99.7;;11.67;303;3.9;
39;Vbo;12-<20 uur per week;2002;80.0;;11.29;675;8.1;
40;Vbo;20-<25 uur per week;2002;88.4;;11.44;942;12.4;
41;Vbo;25-<30 uur per week;2002;24.5;;13.12;1390;14.2;
42;Vbo;30-<35 uur per week;2002;52.3;5.9;12.27;1494;18.9;38.7
43;Vbo;>= 35 uur  per week;2002;558.9;528.2;14.01;2013;27.7;28.4
44;Havo/Vwo;Totaal dienstverband;2002;480.5;218.1;15.11;1554;20.0;30.8
45;Havo/Vwo;Voltijdwerknemers;2002;218.1;218.1;16.14;2336;30.8;30.8
46;Havo/Vwo;Deeltijdwerknemers;2002;179.7;;14.07;1025;14.2;
47;Havo/Vwo;Flexibelwerknemers;2002;82.7;;11.08;638;4.1;
48;Havo/Vwo;Totaal wekelijkse abeidsduur;2002;480.5;218.1;15.11;1554;20.0;30.8
49;Havo/Vwo;< 12 uur per week;2002;93.7;;12.16;286;3.9;
50;Havo/Vwo;12-<20 uur per week;2002;56.6;;12.8;765;9.6;
51;Havo/Vwo;20-<25 uur per week;2002;41.6;;13.76;1150;14.8;
52;Havo/Vwo;25-<30 uur per week;2002;11.5;;14.1;1474;17.7;
53;Havo/Vwo;30-<35 uur per week;2002;41.2;1.3;14.59;1778;23.2;30.1
54;Havo/Vwo;>= 35 uur  per week;2002;236.0;216.8;15.77;2282;29.4;30.8
55;Mbo;Totaal dienstverband;2002;2528.7;1500.8;16.21;1910;25.6;32.5
56;Mbo;Voltijdwerknemers;2002;1500.8;1500.8;16.89;2415;32.5;32.5
57;Mbo;Deeltijdwerknemers;2002;912.2;;14.65;1199;16.3;
58;Mbo;Flexibelwerknemers;2002;115.8;;12.82;967;7.8;
59;Mbo;Totaal wekelijkse abeidsduur;2002;2528.7;1500.8;16.21;1910;25.6;32.5
60;Mbo;< 12 uur per week;2002;179.6;;16.23;435;6.6;
61;Mbo;12-<20 uur per week;2002;251.6;;14.21;864;11.6;
62;Mbo;20-<25 uur per week;2002;237.9;;14.53;1227;16.3;
63;Mbo;25-<30 uur per week;2002;88.5;;14.73;1538;20.4;
64;Mbo;30-<35 uur per week;2002;221.8;17.1;15.08;1825;24.1;38.5
65;Mbo;>= 35 uur  per week;2002;1549.4;1483.8;16.69;2390;32.0;32.5
66;Hbo;Totaal dienstverband;2002;1211.4;708.6;21.38;2554;34.4;43.8
67;Hbo;Voltijdwerknemers;2002;708.6;708.6;22.51;3230;43.8;43.8
68;Hbo;Deeltijdwerknemers;2002;468.0;;18.84;1637;22.2;
69;Hbo;Flexibelwerknemers;2002;34.7;;16.68;1124;7.7;
70;Hbo;Totaal wekelijkse abeidsduur;2002;1211.4;708.6;21.38;2554;34.4;43.8
71;Hbo;< 12 uur per week;2002;74.8;;17.48;435;6.3;
72;Hbo;12-<20 uur per week;2002;104.1;;18.93;1179;15.7;
73;Hbo;20-<25 uur per week;2002;111.1;;18.61;1572;21.1;
74;Hbo;25-<30 uur per week;2002;56.3;;18.97;1985;26.7;
75;Hbo;30-<35 uur per week;2002;128.6;2.4;18.88;2279;30.4;44.5
76;Hbo;>= 35 uur  per week;2002;736.5;706.2;22.35;3203;43.3;43.8
77;Wo;Totaal dienstverband;2002;581.0;374.3;27.85;3505;47.0;56.1
78;Wo;Voltijdwerknemers;2002;374.3;374.3;28.85;4161;56.1;56.1
79;Wo;Deeltijdwerknemers;2002;200.2;;25.23;2357;31.3;
80;Wo;Flexibelwerknemers;2002;6.5;;16.28;1067;7.7;
81;Wo;Totaal wekelijkse abeidsduur;2002;581.0;374.3;27.85;3505;47.0;56.1
82;Wo;< 12 uur per week;2002;25.0;;28.28;715;9.9;
83;Wo;12-<20 uur per week;2002;34.2;;23.91;1384;19.1;
84;Wo;20-<25 uur per week;2002;35.1;;26.92;2313;30.1;
85;Wo;25-<30 uur per week;2002;25.4;;25.79;2715;36.3;
86;Wo;30-<35 uur per week;2002;65.6;0.1;25.44;3062;41.0;
87;Wo;>= 35 uur  per week;2002;395.8;374.2;28.47;4094;55.0;56.1
