ID;BronTechniek;Energietoepassing;Perioden;EindverbruikInTerajoule_1;InTotaalEindverbruikEnergie_2;VermedenPrimaireEnergieInTerajoule_3;InTotaalBinnenlandsEnergieverbruik_4;VermedenEmissieCO2InKton_5;InVanTotaleCO2Emissie_6
38;Totaal energiebronnen;Elektriciteit;2004;18819.0;0.83;42343.0;1.28;3159.0;1.75
39;Totaal energiebronnen;Elektriciteit;2005;26810.0;1.2;61267.0;1.86;4503.0;2.56
40;Totaal energiebronnen;Elektriciteit;2006;28318.0;1.31;64674.0;2.01;4684.0;2.72
41;Totaal energiebronnen;Elektriciteit;2007;26351.0;1.18;57504.0;1.72;4317.0;2.51
42;Totaal energiebronnen;Elektriciteit;2008;33165.0;1.46;73736.0;2.22;5447.0;3.1
43;Totaal energiebronnen;Elektriciteit;2009;38721.0;1.8;84753.0;2.62;6359.0;3.75
44;Totaal energiebronnen;Elektriciteit;2010;42197.0;1.83;91294.0;2.62;6883.0;3.79
45;Totaal energiebronnen;Elektriciteit;2011;43228.0;2.01;92337.0;2.86;6957.0;4.15
46;Totaal energiebronnen;Elektriciteit;2012;45114.0;2.06;99062.0;3.04;7648.0;4.62
47;Totaal energiebronnen;Elektriciteit;2013;43191.0;1.98;92904.0;2.86;7158.0;4.3
48;Totaal energiebronnen;Warmte;1990;17967.0;0.99;9215.0;0.34;523.0;0.33
49;Totaal energiebronnen;Warmte;1991;18485.0;0.95;9746.0;0.34;554.0;0.34
50;Totaal energiebronnen;Warmte;1992;19021.0;0.99;10197.0;0.36;579.0;0.36
51;Totaal energiebronnen;Warmte;1993;18439.0;0.93;10017.0;0.35;569.0;0.34
52;Totaal energiebronnen;Warmte;1994;18395.0;0.94;9905.0;0.35;560.0;0.34
53;Totaal energiebronnen;Warmte;1995;18914.0;0.93;10264.0;0.35;581.0;0.34
54;Totaal energiebronnen;Warmte;1996;17625.0;0.8;10086.0;0.33;571.0;0.32
55;Totaal energiebronnen;Warmte;1997;19652.0;0.93;12490.0;0.42;707.0;0.41
56;Totaal energiebronnen;Warmte;1998;19894.0;0.94;12969.0;0.43;735.0;0.42
57;Totaal energiebronnen;Warmte;1999;18827.0;0.91;12714.0;0.43;720.0;0.43
58;Totaal energiebronnen;Warmte;2000;19032.0;0.89;13026.0;0.43;737.0;0.43
59;Totaal energiebronnen;Warmte;2001;19143.0;0.88;13125.0;0.42;744.0;0.42
60;Totaal energiebronnen;Warmte;2002;20242.0;0.94;14472.0;0.46;826.0;0.47
61;Totaal energiebronnen;Warmte;2003;20694.0;0.94;15034.0;0.46;851.0;0.47
62;Totaal energiebronnen;Warmte;2004;23068.0;1.02;17292.0;0.52;984.0;0.54
63;Totaal energiebronnen;Warmte;2005;24692.0;1.11;18729.0;0.57;1070.0;0.61
64;Totaal energiebronnen;Warmte;2006;27176.0;1.26;20825.0;0.65;1179.0;0.68
65;Totaal energiebronnen;Warmte;2007;29117.0;1.31;22228.0;0.67;1272.0;0.74
66;Totaal energiebronnen;Warmte;2008;31174.0;1.37;23442.0;0.71;1326.0;0.75
67;Totaal energiebronnen;Warmte;2009;33740.0;1.57;25695.0;0.79;1458.0;0.86
68;Totaal energiebronnen;Warmte;2010;34624.0;1.5;26394.0;0.76;1511.0;0.83
69;Totaal energiebronnen;Warmte;2011;36684.0;1.7;28833.0;0.89;1624.0;0.97
70;Totaal energiebronnen;Warmte;2012;39332.0;1.8;31207.0;0.96;1717.0;1.04
71;Totaal energiebronnen;Warmte;2013;42677.0;1.95;34720.0;1.07;1878.0;1.13
72;Totaal energiebronnen;Vervoer;1990;0.0;0.0;0.0;0.0;0.0;0.0
73;Totaal energiebronnen;Vervoer;1991;0.0;0.0;0.0;0.0;0.0;0.0
74;Totaal energiebronnen;Vervoer;1992;0.0;0.0;0.0;0.0;0.0;0.0
75;Totaal energiebronnen;Vervoer;1993;0.0;0.0;0.0;0.0;0.0;0.0
76;Totaal energiebronnen;Vervoer;1994;0.0;0.0;0.0;0.0;0.0;0.0
77;Totaal energiebronnen;Vervoer;1995;0.0;0.0;0.0;0.0;0.0;0.0
78;Totaal energiebronnen;Vervoer;1996;0.0;0.0;0.0;0.0;0.0;0.0
79;Totaal energiebronnen;Vervoer;1997;0.0;0.0;0.0;0.0;0.0;0.0
80;Totaal energiebronnen;Vervoer;1998;0.0;0.0;0.0;0.0;0.0;0.0
81;Totaal energiebronnen;Vervoer;1999;0.0;0.0;0.0;0.0;0.0;0.0
82;Totaal energiebronnen;Vervoer;2000;0.0;0.0;0.0;0.0;0.0;0.0
83;Totaal energiebronnen;Vervoer;2001;0.0;0.0;0.0;0.0;0.0;0.0
84;Totaal energiebronnen;Vervoer;2002;0.0;0.0;0.0;0.0;0.0;0.0
85;Totaal energiebronnen;Vervoer;2003;134.0;0.01;134.0;0.0;;
86;Totaal energiebronnen;Vervoer;2004;134.0;0.01;134.0;0.0;;
87;Totaal energiebronnen;Vervoer;2005;101.0;0.0;101.0;0.0;;
88;Totaal energiebronnen;Vervoer;2006;1766.0;0.08;1766.0;0.05;;
89;Totaal energiebronnen;Vervoer;2007;13031.0;0.58;13031.0;0.39;;
90;Totaal energiebronnen;Vervoer;2008;12048.0;0.53;12048.0;0.36;;
91;Totaal energiebronnen;Vervoer;2009;15606.0;0.73;15606.0;0.48;;
92;Totaal energiebronnen;Vervoer;2010;9577.0;0.42;9577.0;0.28;;
93;Totaal energiebronnen;Vervoer;2011;13438.0;0.62;13438.0;0.42;;
94;Totaal energiebronnen;Vervoer;2012;13353.0;0.61;13353.0;0.41;;
95;Totaal energiebronnen;Vervoer;2013;12924.0;0.59;12924.0;0.4;;
96;Waterkracht;Totaal energietoepassingen;1990;306.0;0.02;775.0;0.03;55.0;0.03
97;Waterkracht;Totaal energietoepassingen;1991;340.0;0.02;861.0;0.03;60.0;0.04
98;Waterkracht;Totaal energietoepassingen;1992;371.0;0.02;941.0;0.03;64.0;0.04
99;Waterkracht;Totaal energietoepassingen;1993;361.0;0.02;923.0;0.03;63.0;0.04
100;Waterkracht;Totaal energietoepassingen;1994;361.0;0.02;920.0;0.03;64.0;0.04
101;Waterkracht;Totaal energietoepassingen;1995;353.0;0.02;895.0;0.03;64.0;0.04
102;Waterkracht;Totaal energietoepassingen;1996;344.0;0.02;852.0;0.03;60.0;0.03
103;Waterkracht;Totaal energietoepassingen;1997;342.0;0.02;810.0;0.03;58.0;0.03
104;Waterkracht;Totaal energietoepassingen;1998;349.0;0.02;824.0;0.03;59.0;0.03
105;Waterkracht;Totaal energietoepassingen;1999;347.0;0.02;820.0;0.03;57.0;0.03
106;Waterkracht;Totaal energietoepassingen;2000;362.0;0.02;865.0;0.03;62.0;0.04
107;Waterkracht;Totaal energietoepassingen;2001;367.0;0.02;890.0;0.03;63.0;0.04
108;Waterkracht;Totaal energietoepassingen;2002;369.0;0.02;898.0;0.03;64.0;0.04
109;Waterkracht;Totaal energietoepassingen;2003;361.0;0.02;872.0;0.03;61.0;0.03
110;Waterkracht;Totaal energietoepassingen;2004;360.0;0.02;859.0;0.03;60.0;0.03
111;Waterkracht;Totaal energietoepassingen;2005;361.0;0.02;857.0;0.03;59.0;0.03
112;Waterkracht;Totaal energietoepassingen;2006;361.0;0.02;840.0;0.03;59.0;0.03
113;Waterkracht;Totaal energietoepassingen;2007;358.0;0.02;825.0;0.02;57.0;0.03
114;Waterkracht;Totaal energietoepassingen;2008;360.0;0.02;846.0;0.03;58.0;0.03
115;Waterkracht;Totaal energietoepassingen;2009;360.0;0.02;829.0;0.03;57.0;0.03
116;Waterkracht;Totaal energietoepassingen;2010;364.0;0.02;820.0;0.02;55.0;0.03
117;Waterkracht;Totaal energietoepassingen;2011;358.0;0.02;790.0;0.02;53.0;0.03
118;Waterkracht;Totaal energietoepassingen;2012;361.0;0.02;825.0;0.03;59.0;0.04
119;Waterkracht;Totaal energietoepassingen;2013;362.0;0.02;817.0;0.03;60.0;0.04
120;Waterkracht;Elektriciteit;1990;306.0;0.02;775.0;0.03;55.0;0.03
121;Waterkracht;Elektriciteit;1991;340.0;0.02;861.0;0.03;60.0;0.04
122;Waterkracht;Elektriciteit;1992;371.0;0.02;941.0;0.03;64.0;0.04
123;Waterkracht;Elektriciteit;1993;361.0;0.02;923.0;0.03;63.0;0.04
124;Waterkracht;Elektriciteit;1994;361.0;0.02;920.0;0.03;64.0;0.04
125;Waterkracht;Elektriciteit;1995;353.0;0.02;895.0;0.03;64.0;0.04
126;Waterkracht;Elektriciteit;1996;344.0;0.02;852.0;0.03;60.0;0.03
127;Waterkracht;Elektriciteit;1997;342.0;0.02;810.0;0.03;58.0;0.03
128;Waterkracht;Elektriciteit;1998;349.0;0.02;824.0;0.03;59.0;0.03
129;Waterkracht;Elektriciteit;1999;347.0;0.02;820.0;0.03;57.0;0.03
130;Waterkracht;Elektriciteit;2000;362.0;0.02;865.0;0.03;62.0;0.04
131;Waterkracht;Elektriciteit;2001;367.0;0.02;890.0;0.03;63.0;0.04
132;Waterkracht;Elektriciteit;2002;369.0;0.02;898.0;0.03;64.0;0.04
133;Waterkracht;Elektriciteit;2003;361.0;0.02;872.0;0.03;61.0;0.03
134;Waterkracht;Elektriciteit;2004;360.0;0.02;859.0;0.03;60.0;0.03
135;Waterkracht;Elektriciteit;2005;361.0;0.02;857.0;0.03;59.0;0.03
136;Waterkracht;Elektriciteit;2006;361.0;0.02;840.0;0.03;59.0;0.03
137;Waterkracht;Elektriciteit;2007;358.0;0.02;825.0;0.02;57.0;0.03
138;Waterkracht;Elektriciteit;2008;360.0;0.02;846.0;0.03;58.0;0.03
139;Waterkracht;Elektriciteit;2009;360.0;0.02;829.0;0.03;57.0;0.03
140;Waterkracht;Elektriciteit;2010;364.0;0.02;820.0;0.02;55.0;0.03
141;Waterkracht;Elektriciteit;2011;358.0;0.02;790.0;0.02;53.0;0.03
142;Waterkracht;Elektriciteit;2012;361.0;0.02;825.0;0.03;59.0;0.04
143;Waterkracht;Elektriciteit;2013;362.0;0.02;817.0;0.03;60.0;0.04
144;Waterkracht;Warmte;1990;;;;;;
145;Waterkracht;Warmte;1991;;;;;;
146;Waterkracht;Warmte;1992;;;;;;
147;Waterkracht;Warmte;1993;;;;;;
148;Waterkracht;Warmte;1994;;;;;;
149;Waterkracht;Warmte;1995;;;;;;
150;Waterkracht;Warmte;1996;;;;;;
151;Waterkracht;Warmte;1997;;;;;;
152;Waterkracht;Warmte;1998;;;;;;
153;Waterkracht;Warmte;1999;;;;;;
154;Waterkracht;Warmte;2000;;;;;;
155;Waterkracht;Warmte;2001;;;;;;
156;Waterkracht;Warmte;2002;;;;;;
157;Waterkracht;Warmte;2003;;;;;;
158;Waterkracht;Warmte;2004;;;;;;
159;Waterkracht;Warmte;2005;;;;;;
160;Waterkracht;Warmte;2006;;;;;;
161;Waterkracht;Warmte;2007;;;;;;
162;Waterkracht;Warmte;2008;;;;;;
163;Waterkracht;Warmte;2009;;;;;;
164;Waterkracht;Warmte;2010;;;;;;
165;Waterkracht;Warmte;2011;;;;;;
166;Waterkracht;Warmte;2012;;;;;;
167;Waterkracht;Warmte;2013;;;;;;
168;Waterkracht;Vervoer;1990;;;;;;
169;Waterkracht;Vervoer;1991;;;;;;
170;Waterkracht;Vervoer;1992;;;;;;
171;Waterkracht;Vervoer;1993;;;;;;
172;Waterkracht;Vervoer;1994;;;;;;
173;Waterkracht;Vervoer;1995;;;;;;
174;Waterkracht;Vervoer;1996;;;;;;
175;Waterkracht;Vervoer;1997;;;;;;
176;Waterkracht;Vervoer;1998;;;;;;
177;Waterkracht;Vervoer;1999;;;;;;
178;Waterkracht;Vervoer;2000;;;;;;
179;Waterkracht;Vervoer;2001;;;;;;
180;Waterkracht;Vervoer;2002;;;;;;
181;Waterkracht;Vervoer;2003;;;;;;
182;Waterkracht;Vervoer;2004;;;;;;
183;Waterkracht;Vervoer;2005;;;;;;
184;Waterkracht;Vervoer;2006;;;;;;
185;Waterkracht;Vervoer;2007;;;;;;
186;Waterkracht;Vervoer;2008;;;;;;
187;Waterkracht;Vervoer;2009;;;;;;
188;Waterkracht;Vervoer;2010;;;;;;
189;Waterkracht;Vervoer;2011;;;;;;
190;Waterkracht;Vervoer;2012;;;;;;
191;Waterkracht;Vervoer;2013;;;;;;
192;Totaal windenergie;Totaal energietoepassingen;1990;202.0;0.01;510.0;0.02;36.0;0.02
193;Totaal windenergie;Totaal energietoepassingen;1991;317.0;0.02;802.0;0.03;56.0;0.03
194;Totaal windenergie;Totaal energietoepassingen;1992;492.0;0.03;1249.0;0.04;85.0;0.05
195;Totaal windenergie;Totaal energietoepassingen;1993;624.0;0.03;1595.0;0.06;109.0;0.07
196;Totaal windenergie;Totaal energietoepassingen;1994;794.0;0.04;2025.0;0.07;142.0;0.08
197;Totaal windenergie;Totaal energietoepassingen;1995;1132.0;0.06;2865.0;0.1;204.0;0.12
198;Totaal windenergie;Totaal energietoepassingen;1996;1568.0;0.07;3880.0;0.13;272.0;0.15
199;Totaal windenergie;Totaal energietoepassingen;1997;1761.0;0.08;4164.0;0.14;301.0;0.18
200;Totaal windenergie;Totaal energietoepassingen;1998;2056.0;0.1;4849.0;0.16;345.0;0.2
201;Totaal windenergie;Totaal energietoepassingen;1999;2312.0;0.11;5465.0;0.18;379.0;0.23
202;Totaal windenergie;Totaal energietoepassingen;2000;2680.0;0.13;6411.0;0.21;457.0;0.27
203;Totaal windenergie;Totaal energietoepassingen;2001;2959.0;0.14;7183.0;0.23;509.0;0.29
204;Totaal windenergie;Totaal energietoepassingen;2002;3671.0;0.17;8931.0;0.28;632.0;0.36
205;Totaal windenergie;Totaal energietoepassingen;2003;4890.0;0.22;11812.0;0.37;832.0;0.46
206;Totaal windenergie;Totaal energietoepassingen;2004;6345.0;0.28;15143.0;0.46;1054.0;0.58
207;Totaal windenergie;Totaal energietoepassingen;2005;7320.0;0.33;17387.0;0.53;1198.0;0.68
208;Totaal windenergie;Totaal energietoepassingen;2006;9145.0;0.42;21268.0;0.66;1487.0;0.86
209;Totaal windenergie;Totaal energietoepassingen;2007;11396.0;0.51;26259.0;0.79;1809.0;1.05
210;Totaal windenergie;Totaal energietoepassingen;2008;14131.0;0.62;33170.0;1.0;2285.0;1.3
211;Totaal windenergie;Totaal energietoepassingen;2009;16131.0;0.75;37168.0;1.15;2539.0;1.5
212;Totaal windenergie;Totaal energietoepassingen;2010;16210.0;0.7;36508.0;1.05;2457.0;1.35
213;Totaal windenergie;Totaal energietoepassingen;2011;17010.0;0.79;37633.0;1.16;2540.0;1.52
214;Totaal windenergie;Totaal energietoepassingen;2012;17780.0;0.81;40539.0;1.24;2886.0;1.74
215;Totaal windenergie;Totaal energietoepassingen;2013;19324.0;0.88;43355.0;1.34;3195.0;1.92
216;Totaal windenergie;Elektriciteit;1990;202.0;0.01;510.0;0.02;36.0;0.02
217;Totaal windenergie;Elektriciteit;1991;317.0;0.02;802.0;0.03;56.0;0.03
218;Totaal windenergie;Elektriciteit;1992;492.0;0.03;1249.0;0.04;85.0;0.05
219;Totaal windenergie;Elektriciteit;1993;624.0;0.03;1595.0;0.06;109.0;0.07
220;Totaal windenergie;Elektriciteit;1994;794.0;0.04;2025.0;0.07;142.0;0.08
221;Totaal windenergie;Elektriciteit;1995;1132.0;0.06;2865.0;0.1;204.0;0.12
222;Totaal windenergie;Elektriciteit;1996;1568.0;0.07;3880.0;0.13;272.0;0.15
223;Totaal windenergie;Elektriciteit;1997;1761.0;0.08;4164.0;0.14;301.0;0.18
224;Totaal windenergie;Elektriciteit;1998;2056.0;0.1;4849.0;0.16;345.0;0.2
225;Totaal windenergie;Elektriciteit;1999;2312.0;0.11;5465.0;0.18;379.0;0.23
226;Totaal windenergie;Elektriciteit;2000;2680.0;0.13;6411.0;0.21;457.0;0.27
227;Totaal windenergie;Elektriciteit;2001;2959.0;0.14;7183.0;0.23;509.0;0.29
228;Totaal windenergie;Elektriciteit;2002;3671.0;0.17;8931.0;0.28;632.0;0.36
229;Totaal windenergie;Elektriciteit;2003;4890.0;0.22;11812.0;0.37;832.0;0.46
230;Totaal windenergie;Elektriciteit;2004;6345.0;0.28;15143.0;0.46;1054.0;0.58
231;Totaal windenergie;Elektriciteit;2005;7320.0;0.33;17387.0;0.53;1198.0;0.68
232;Totaal windenergie;Elektriciteit;2006;9145.0;0.42;21268.0;0.66;1487.0;0.86
233;Totaal windenergie;Elektriciteit;2007;11396.0;0.51;26259.0;0.79;1809.0;1.05
234;Totaal windenergie;Elektriciteit;2008;14131.0;0.62;33170.0;1.0;2285.0;1.3
235;Totaal windenergie;Elektriciteit;2009;16131.0;0.75;37168.0;1.15;2539.0;1.5
236;Totaal windenergie;Elektriciteit;2010;16210.0;0.7;36508.0;1.05;2457.0;1.35
237;Totaal windenergie;Elektriciteit;2011;17010.0;0.79;37633.0;1.16;2540.0;1.52
238;Totaal windenergie;Elektriciteit;2012;17780.0;0.81;40539.0;1.24;2886.0;1.74
239;Totaal windenergie;Elektriciteit;2013;19324.0;0.88;43355.0;1.34;3195.0;1.92
240;Totaal windenergie;Warmte;1990;;;;;;
241;Totaal windenergie;Warmte;1991;;;;;;
242;Totaal windenergie;Warmte;1992;;;;;;
243;Totaal windenergie;Warmte;1993;;;;;;
244;Totaal windenergie;Warmte;1994;;;;;;
245;Totaal windenergie;Warmte;1995;;;;;;
246;Totaal windenergie;Warmte;1996;;;;;;
247;Totaal windenergie;Warmte;1997;;;;;;
248;Totaal windenergie;Warmte;1998;;;;;;
249;Totaal windenergie;Warmte;1999;;;;;;
250;Totaal windenergie;Warmte;2000;;;;;;
251;Totaal windenergie;Warmte;2001;;;;;;
252;Totaal windenergie;Warmte;2002;;;;;;
253;Totaal windenergie;Warmte;2003;;;;;;
254;Totaal windenergie;Warmte;2004;;;;;;
255;Totaal windenergie;Warmte;2005;;;;;;
256;Totaal windenergie;Warmte;2006;;;;;;
257;Totaal windenergie;Warmte;2007;;;;;;
258;Totaal windenergie;Warmte;2008;;;;;;
259;Totaal windenergie;Warmte;2009;;;;;;
260;Totaal windenergie;Warmte;2010;;;;;;
261;Totaal windenergie;Warmte;2011;;;;;;
262;Totaal windenergie;Warmte;2012;;;;;;
263;Totaal windenergie;Warmte;2013;;;;;;
264;Totaal windenergie;Vervoer;1990;;;;;;
265;Totaal windenergie;Vervoer;1991;;;;;;
266;Totaal windenergie;Vervoer;1992;;;;;;
267;Totaal windenergie;Vervoer;1993;;;;;;
268;Totaal windenergie;Vervoer;1994;;;;;;
269;Totaal windenergie;Vervoer;1995;;;;;;
270;Totaal windenergie;Vervoer;1996;;;;;;
271;Totaal windenergie;Vervoer;1997;;;;;;
272;Totaal windenergie;Vervoer;1998;;;;;;
273;Totaal windenergie;Vervoer;1999;;;;;;
274;Totaal windenergie;Vervoer;2000;;;;;;
275;Totaal windenergie;Vervoer;2001;;;;;;
276;Totaal windenergie;Vervoer;2002;;;;;;
277;Totaal windenergie;Vervoer;2003;;;;;;
278;Totaal windenergie;Vervoer;2004;;;;;;
279;Totaal windenergie;Vervoer;2005;;;;;;
280;Totaal windenergie;Vervoer;2006;;;;;;
281;Totaal windenergie;Vervoer;2007;;;;;;
282;Totaal windenergie;Vervoer;2008;;;;;;
283;Totaal windenergie;Vervoer;2009;;;;;;
284;Totaal windenergie;Vervoer;2010;;;;;;
285;Totaal windenergie;Vervoer;2011;;;;;;
286;Totaal windenergie;Vervoer;2012;;;;;;
287;Totaal windenergie;Vervoer;2013;;;;;;
288;Windenergie op land;Totaal energietoepassingen;1990;202.0;0.01;510.0;0.02;36.0;0.02
289;Windenergie op land;Totaal energietoepassingen;1991;317.0;0.02;802.0;0.03;56.0;0.03
290;Windenergie op land;Totaal energietoepassingen;1992;492.0;0.03;1249.0;0.04;85.0;0.05
291;Windenergie op land;Totaal energietoepassingen;1993;624.0;0.03;1595.0;0.06;109.0;0.07
292;Windenergie op land;Totaal energietoepassingen;1994;794.0;0.04;2025.0;0.07;142.0;0.08
293;Windenergie op land;Totaal energietoepassingen;1995;1132.0;0.06;2865.0;0.1;204.0;0.12
294;Windenergie op land;Totaal energietoepassingen;1996;1568.0;0.07;3880.0;0.13;272.0;0.15
295;Windenergie op land;Totaal energietoepassingen;1997;1761.0;0.08;4164.0;0.14;301.0;0.18
296;Windenergie op land;Totaal energietoepassingen;1998;2056.0;0.1;4849.0;0.16;345.0;0.2
297;Windenergie op land;Totaal energietoepassingen;1999;2312.0;0.11;5465.0;0.18;379.0;0.23
298;Windenergie op land;Totaal energietoepassingen;2000;2680.0;0.13;6411.0;0.21;457.0;0.27
299;Windenergie op land;Totaal energietoepassingen;2001;2959.0;0.14;7183.0;0.23;509.0;0.29
300;Windenergie op land;Totaal energietoepassingen;2002;3671.0;0.17;8931.0;0.28;632.0;0.36
301;Windenergie op land;Totaal energietoepassingen;2003;4890.0;0.22;11812.0;0.37;832.0;0.46
302;Windenergie op land;Totaal energietoepassingen;2004;6345.0;0.28;15143.0;0.46;1054.0;0.58
303;Windenergie op land;Totaal energietoepassingen;2005;7320.0;0.33;17387.0;0.53;1198.0;0.68
304;Windenergie op land;Totaal energietoepassingen;2006;8917.0;0.41;20737.0;0.64;1450.0;0.84
305;Windenergie op land;Totaal energietoepassingen;2007;10304.0;0.46;23742.0;0.71;1636.0;0.95
306;Windenergie op land;Totaal energietoepassingen;2008;12154.0;0.53;28530.0;0.86;1966.0;1.12
307;Windenergie op land;Totaal energietoepassingen;2009;13543.0;0.63;31206.0;0.96;2131.0;1.26
308;Windenergie op land;Totaal energietoepassingen;2010;13455.0;0.58;30303.0;0.87;2039.0;1.12
309;Windenergie op land;Totaal energietoepassingen;2011;14336.0;0.67;31718.0;0.98;2141.0;1.28
310;Windenergie op land;Totaal energietoepassingen;2012;14963.0;0.68;34292.0;1.05;2442.0;1.48
311;Windenergie op land;Totaal energietoepassingen;2013;16676.0;0.76;37219.0;1.15;2743.0;1.65
312;Windenergie op land;Elektriciteit;1990;202.0;0.01;510.0;0.02;36.0;0.02
313;Windenergie op land;Elektriciteit;1991;317.0;0.02;802.0;0.03;56.0;0.03
314;Windenergie op land;Elektriciteit;1992;492.0;0.03;1249.0;0.04;85.0;0.05
315;Windenergie op land;Elektriciteit;1993;624.0;0.03;1595.0;0.06;109.0;0.07
316;Windenergie op land;Elektriciteit;1994;794.0;0.04;2025.0;0.07;142.0;0.08
317;Windenergie op land;Elektriciteit;1995;1132.0;0.06;2865.0;0.1;204.0;0.12
318;Windenergie op land;Elektriciteit;1996;1568.0;0.07;3880.0;0.13;272.0;0.15
319;Windenergie op land;Elektriciteit;1997;1761.0;0.08;4164.0;0.14;301.0;0.18
320;Windenergie op land;Elektriciteit;1998;2056.0;0.1;4849.0;0.16;345.0;0.2
321;Windenergie op land;Elektriciteit;1999;2312.0;0.11;5465.0;0.18;379.0;0.23
322;Windenergie op land;Elektriciteit;2000;2680.0;0.13;6411.0;0.21;457.0;0.27
323;Windenergie op land;Elektriciteit;2001;2959.0;0.14;7183.0;0.23;509.0;0.29
324;Windenergie op land;Elektriciteit;2002;3671.0;0.17;8931.0;0.28;632.0;0.36
325;Windenergie op land;Elektriciteit;2003;4890.0;0.22;11812.0;0.37;832.0;0.46
326;Windenergie op land;Elektriciteit;2004;6345.0;0.28;15143.0;0.46;1054.0;0.58
327;Windenergie op land;Elektriciteit;2005;7320.0;0.33;17387.0;0.53;1198.0;0.68
328;Windenergie op land;Elektriciteit;2006;8917.0;0.41;20737.0;0.64;1450.0;0.84
329;Windenergie op land;Elektriciteit;2007;10304.0;0.46;23742.0;0.71;1636.0;0.95
