ID;Kenmerken;Marges;Perioden;ScoreGeluk_1;Ongelukkig_2;NietGelukkigNietOngelukkig_3;Gelukkig_4;ScoreTevredenheidMetHetLeven_5;Ontevreden_6;NietTevredenNietOntevreden_7;Tevreden_8;ScoreTevredenheidMetSociaalLeven_9;Ontevreden_10;NietTevredenNietOntevreden_11;Tevreden_12;ScoreTevredenhHoeveelheidVrijeTijd_13;Ontevreden_14;NietTevredenNietOntevreden_15;Tevreden_16;AandeelMetVertrouwen_17
45;Contact familie: dagelijks;Ondergrens 95%-interval;2014;7.8;1.2;7.7;87.8;7.6;2.2;9.7;84.3;7.7;2.6;9.4;84.2;7.3;6.1;15.7;73.4;50.1
46;Contact familie: dagelijks;Ondergrens 95%-interval;2015;7.7;1.5;8.4;86.7;7.6;2.9;10.3;82.9;7.8;2.9;9.0;84.5;7.3;6.4;14.7;74.2;51.8
47;Contact familie: dagelijks;Ondergrens 95%-interval;2016;7.8;1.9;6.6;88.2;7.6;2.1;9.3;85.1;7.8;2.0;9.6;84.8;7.3;6.2;16.3;72.9;53.3
48;Contact familie: dagelijks;Ondergrens 95%-interval;2017;7.8;1.5;8.5;86.6;7.6;2.2;9.8;84.4;7.7;2.7;9.5;84.0;7.2;7.6;16.1;71.4;55.8
49;Contact familie: dagelijks;Ondergrens 95%-interval;2018;7.7;1.9;6.4;88.6;7.7;1.5;8.7;86.6;7.8;2.8;9.2;84.5;7.2;7.1;15.4;72.9;58.4
50;Contact familie: dagelijks;Ondergrens 95%-interval;2019;7.8;1.7;5.8;89.4;7.7;1.1;7.8;88.0;7.8;2.1;9.2;85.2;7.3;6.3;15.2;73.9;56.5
51;Contact familie: dagelijks;Ondergrens 95%-interval;2020;7.7;1.6;7.7;87.3;7.7;1.5;9.2;85.8;7.7;3.1;11.0;82.0;7.4;5.8;13.9;75.8;58.2
52;Contact familie: dagelijks;Ondergrens 95%-interval;2021;7.7;2.7;7.4;86.2;7.6;2.7;9.4;83.9;7.5;5.3;12.9;77.1;7.4;5.9;15.4;73.8;62.6
53;Contact familie: dagelijks;Ondergrens 95%-interval;2022;7.7;1.7;8.2;87.1;7.6;2.1;9.7;84.9;7.6;3.2;12.3;80.8;7.3;5.3;16.1;74.2;62.7
54;Contact familie: dagelijks;Ondergrens 95%-interval;2023;7.7;1.5;8.6;86.6;7.6;2.2;9.9;84.3;7.6;3.5;10.5;82.3;7.3;5.9;17.2;72.3;62.4
55;Contact familie: dagelijks;Bovengrens 95%-interval;2013;7.9;2.9;10.5;90.5;7.7;4.3;13.6;86.5;8.0;3.8;12.5;88.0;7.5;9.5;19.4;76.4;57.3
56;Contact familie: dagelijks;Bovengrens 95%-interval;2014;7.9;2.5;10.4;90.7;7.7;3.8;12.7;87.6;7.9;4.3;12.3;87.5;7.5;8.5;19.2;77.3;54.7
57;Contact familie: dagelijks;Bovengrens 95%-interval;2015;7.8;2.9;11.0;89.6;7.7;4.7;13.2;86.1;7.9;4.6;11.7;87.6;7.5;8.8;18.0;78.0;56.3
58;Contact familie: dagelijks;Bovengrens 95%-interval;2016;7.9;3.4;9.1;90.9;7.8;3.6;12.0;88.1;7.9;3.5;12.4;87.9;7.4;8.5;19.7;76.7;57.7
59;Contact familie: dagelijks;Bovengrens 95%-interval;2017;7.9;2.8;11.2;89.6;7.8;3.7;12.7;87.5;7.9;4.5;12.3;87.2;7.4;10.2;19.5;75.4;60.3
60;Contact familie: dagelijks;Bovengrens 95%-interval;2018;7.9;3.3;8.7;91.3;7.8;2.7;11.3;89.4;7.9;4.4;11.8;87.5;7.4;9.5;18.6;76.6;62.6
61;Contact familie: dagelijks;Bovengrens 95%-interval;2019;7.9;3.2;8.1;92.0;7.9;2.2;10.3;90.8;7.9;3.6;11.9;88.2;7.5;8.6;18.5;77.7;60.8
62;Contact familie: dagelijks;Bovengrens 95%-interval;2020;7.8;3.0;10.4;90.2;7.8;2.8;12.0;88.9;7.8;4.9;14.0;85.3;7.6;8.0;17.1;79.6;62.5
63;Contact familie: dagelijks;Bovengrens 95%-interval;2021;7.8;4.5;10.1;89.4;7.7;4.7;12.3;87.3;7.6;7.7;16.3;80.9;7.5;8.3;19.0;77.9;67.1
64;Contact familie: dagelijks;Bovengrens 95%-interval;2022;7.8;2.9;10.6;89.8;7.7;3.5;12.3;87.8;7.7;4.8;15.1;83.9;7.5;7.4;19.3;77.8;66.6
65;Contact familie: dagelijks;Bovengrens 95%-interval;2023;7.8;2.8;11.2;89.5;7.7;3.7;12.6;87.4;7.7;5.2;13.3;85.5;7.4;8.1;20.7;76.1;66.5
66;Contact familie: wekelijks;Waarde;2013;7.7;1.8;9.4;88.8;7.6;2.8;12.3;85.0;7.7;3.3;11.7;84.9;7.5;6.6;16.2;77.2;60.6
67;Contact familie: wekelijks;Waarde;2014;7.7;1.9;9.2;88.9;7.6;2.7;11.6;85.7;7.7;3.7;11.6;84.7;7.4;7.5;16.3;76.2;61.2
68;Contact familie: wekelijks;Waarde;2015;7.7;2.6;8.9;88.5;7.6;3.2;11.0;85.8;7.6;3.8;12.1;84.1;7.3;7.1;18.3;74.5;62.1
69;Contact familie: wekelijks;Waarde;2016;7.7;2.1;9.1;88.8;7.6;2.4;11.2;86.4;7.7;3.6;13.0;83.4;7.3;7.1;18.5;74.4;63.4
70;Contact familie: wekelijks;Waarde;2017;7.8;2.6;8.3;89.1;7.7;2.7;10.1;87.3;7.7;3.5;12.5;83.9;7.4;7.3;17.1;75.6;65.9
71;Contact familie: wekelijks;Waarde;2018;7.7;2.1;9.5;88.5;7.6;1.8;11.7;86.5;7.6;4.2;14.1;81.7;7.3;8.0;17.7;74.3;63.7
72;Contact familie: wekelijks;Waarde;2019;7.8;2.1;7.5;90.4;7.7;2.0;9.3;88.6;7.6;3.3;12.6;84.1;7.3;7.5;18.6;73.8;66.9
73;Contact familie: wekelijks;Waarde;2020;7.7;2.4;9.7;87.9;7.6;2.4;12.4;85.2;7.5;5.7;13.6;80.7;7.4;6.7;17.4;75.9;66.0
74;Contact familie: wekelijks;Waarde;2021;7.7;2.4;9.8;87.8;7.6;2.5;12.8;84.7;7.4;6.3;16.6;77.1;7.5;6.1;16.0;77.8;68.9
75;Contact familie: wekelijks;Waarde;2022;7.6;2.5;10.8;86.8;7.5;2.6;13.5;83.9;7.4;4.3;16.4;79.3;7.4;6.5;18.5;75.0;69.1
76;Contact familie: wekelijks;Waarde;2023;7.7;1.3;10.2;88.5;7.6;1.9;11.9;86.1;7.5;3.4;14.6;82.0;7.3;6.7;19.6;73.7;70.6
77;Contact familie: wekelijks;Ondergrens 95%-interval;2013;7.7;1.4;8.4;87.6;7.5;2.3;11.2;83.7;7.6;2.8;10.7;83.7;7.4;5.8;15.0;75.7;59.0
78;Contact familie: wekelijks;Ondergrens 95%-interval;2014;7.7;1.5;8.2;87.8;7.6;2.2;10.6;84.5;7.6;3.1;10.6;83.5;7.3;6.7;15.1;74.8;59.6
79;Contact familie: wekelijks;Ondergrens 95%-interval;2015;7.7;2.1;8.0;87.3;7.5;2.7;10.0;84.6;7.6;3.2;11.1;82.9;7.3;6.3;17.1;73.1;60.4
80;Contact familie: wekelijks;Ondergrens 95%-interval;2016;7.7;1.6;8.2;87.7;7.6;1.9;10.2;85.2;7.6;3.0;11.9;82.1;7.3;6.3;17.2;72.9;61.7
81;Contact familie: wekelijks;Ondergrens 95%-interval;2017;7.7;2.0;7.4;88.0;7.6;2.2;9.1;86.1;7.6;2.9;11.4;82.7;7.3;6.5;15.8;74.1;64.3
82;Contact familie: wekelijks;Ondergrens 95%-interval;2018;7.6;1.6;8.5;87.3;7.6;1.3;10.6;85.3;7.5;3.5;12.9;80.3;7.3;7.1;16.4;72.8;62.1
83;Contact familie: wekelijks;Ondergrens 95%-interval;2019;7.7;1.6;6.6;89.3;7.6;1.6;8.3;87.4;7.6;2.7;11.5;82.7;7.3;6.6;17.3;72.3;65.2
84;Contact familie: wekelijks;Ondergrens 95%-interval;2020;7.6;1.9;8.7;86.6;7.6;1.9;11.2;83.8;7.5;4.9;12.5;79.2;7.4;5.9;16.1;74.3;64.3
85;Contact familie: wekelijks;Ondergrens 95%-interval;2021;7.6;1.9;8.7;86.5;7.5;1.9;11.6;83.3;7.3;5.4;15.3;75.5;7.4;5.3;14.7;76.2;67.2
86;Contact familie: wekelijks;Ondergrens 95%-interval;2022;7.6;2.0;9.8;85.6;7.5;2.1;12.4;82.7;7.4;3.7;15.2;77.9;7.3;5.7;17.2;73.5;67.6
87;Contact familie: wekelijks;Ondergrens 95%-interval;2023;7.6;1.0;9.2;87.3;7.5;1.5;10.9;84.9;7.5;2.8;13.4;80.7;7.3;5.9;18.2;72.2;69.1
88;Contact familie: wekelijks;Bovengrens 95%-interval;2013;7.8;2.3;10.5;89.8;7.6;3.4;13.4;86.1;7.7;4.0;12.9;86.1;7.5;7.5;17.5;78.5;62.3
89;Contact familie: wekelijks;Bovengrens 95%-interval;2014;7.8;2.5;10.2;89.9;7.6;3.3;12.7;86.8;7.7;4.4;12.7;85.9;7.4;8.4;17.5;77.5;62.8
90;Contact familie: wekelijks;Bovengrens 95%-interval;2015;7.8;3.2;9.9;89.5;7.6;3.9;12.1;86.9;7.7;4.5;13.2;85.3;7.4;8.0;19.6;75.9;63.7
91;Contact familie: wekelijks;Bovengrens 95%-interval;2016;7.8;2.7;10.2;89.8;7.7;3.0;12.4;87.5;7.7;4.3;14.2;84.7;7.4;8.1;19.8;75.8;65.0
92;Contact familie: wekelijks;Bovengrens 95%-interval;2017;7.8;3.2;9.3;90.2;7.7;3.3;11.1;88.4;7.7;4.2;13.7;85.2;7.4;8.3;18.4;77.0;67.5
93;Contact familie: wekelijks;Bovengrens 95%-interval;2018;7.7;2.6;10.6;89.6;7.7;2.3;12.9;87.7;7.6;5.0;15.3;83.0;7.4;9.0;19.1;75.8;65.4
94;Contact familie: wekelijks;Bovengrens 95%-interval;2019;7.8;2.7;8.5;91.4;7.7;2.6;10.4;89.8;7.7;4.1;13.8;85.4;7.4;8.5;20.0;75.4;68.5
95;Contact familie: wekelijks;Bovengrens 95%-interval;2020;7.7;3.0;10.9;89.0;7.7;3.0;13.7;86.5;7.6;6.6;14.9;82.1;7.5;7.7;18.7;77.3;67.6
96;Contact familie: wekelijks;Bovengrens 95%-interval;2021;7.7;3.1;11.0;89.0;7.6;3.2;14.1;86.0;7.4;7.3;18.1;78.6;7.6;7.1;17.5;79.3;70.7
97;Contact familie: wekelijks;Bovengrens 95%-interval;2022;7.6;3.0;11.8;87.9;7.5;3.2;14.7;85.1;7.5;5.0;17.7;80.6;7.4;7.4;19.8;76.4;70.6
98;Contact familie: wekelijks;Bovengrens 95%-interval;2023;7.7;1.8;11.3;89.5;7.6;2.5;13.1;87.3;7.6;4.1;15.8;83.3;7.4;7.6;21.0;75.2;72.1
99;Contact familie: maandelijks;Waarde;2013;7.5;3.6;11.2;85.2;7.4;4.1;14.7;81.2;7.4;5.2;18.0;76.7;7.4;7.4;18.5;74.1;58.2
100;Contact familie: maandelijks;Waarde;2014;7.6;3.8;10.1;86.1;7.4;4.8;13.6;81.6;7.4;5.7;16.9;77.4;7.4;6.9;17.8;75.2;59.4
101;Contact familie: maandelijks;Waarde;2015;7.6;3.1;10.8;86.1;7.4;5.0;14.3;80.7;7.3;6.2;16.3;77.5;7.3;7.9;18.1;74.0;65.7
102;Contact familie: maandelijks;Waarde;2016;7.6;2.6;9.7;87.7;7.5;3.2;13.2;83.6;7.3;5.6;16.0;78.4;7.3;8.3;17.9;73.9;62.2
103;Contact familie: maandelijks;Waarde;2017;7.6;2.1;11.4;86.4;7.5;4.6;11.5;83.9;7.4;5.6;13.9;80.5;7.3;8.8;19.1;72.0;64.6
104;Contact familie: maandelijks;Waarde;2018;7.4;4.7;11.7;83.6;7.3;5.3;13.5;81.1;7.3;7.0;17.1;76.0;7.2;8.6;19.2;72.2;63.0
105;Contact familie: maandelijks;Waarde;2019;7.5;3.7;11.5;84.9;7.5;3.3;12.4;84.3;7.3;6.2;17.9;75.9;7.3;6.2;20.4;73.4;61.1
106;Contact familie: maandelijks;Waarde;2020;7.5;3.1;13.1;83.8;7.4;3.1;13.9;83.0;7.3;5.8;17.8;76.4;7.4;6.7;16.1;77.2;64.3
107;Contact familie: maandelijks;Waarde;2021;7.4;4.5;12.1;83.4;7.3;4.4;15.2;80.4;7.0;10.5;18.7;70.8;7.1;11.5;17.2;71.3;64.9
108;Contact familie: maandelijks;Waarde;2022;7.4;3.1;14.8;82.2;7.4;3.6;17.4;79.0;7.2;6.7;21.7;71.6;7.2;8.8;22.2;69.0;66.4
109;Contact familie: maandelijks;Waarde;2023;7.4;4.0;14.0;82.1;7.3;4.5;17.0;78.5;7.1;7.6;21.1;71.3;7.3;8.7;17.5;73.8;65.4
110;Contact familie: maandelijks;Ondergrens 95%-interval;2013;7.4;2.4;9.1;82.3;7.3;2.8;12.2;78.1;7.3;3.8;15.4;73.5;7.2;5.7;15.8;70.7;54.5
111;Contact familie: maandelijks;Ondergrens 95%-interval;2014;7.5;2.6;8.0;83.4;7.3;3.4;11.2;78.5;7.3;4.1;14.3;74.1;7.3;5.2;15.2;71.9;55.8
112;Contact familie: maandelijks;Ondergrens 95%-interval;2015;7.5;2.1;8.7;83.5;7.3;3.7;11.9;77.7;7.2;4.6;13.9;74.4;7.2;6.1;15.6;70.8;62.3
113;Contact familie: maandelijks;Ondergrens 95%-interval;2016;7.5;1.7;7.7;85.0;7.4;2.1;10.8;80.6;7.2;4.1;13.5;75.2;7.1;6.4;15.2;70.5;58.6
114;Contact familie: maandelijks;Ondergrens 95%-interval;2017;7.5;1.3;9.4;83.8;7.4;3.2;9.5;81.1;7.3;4.1;11.7;77.6;7.1;7.0;16.5;68.8;61.2
115;Contact familie: maandelijks;Ondergrens 95%-interval;2018;7.3;3.3;9.5;80.7;7.2;3.8;11.2;78.1;7.1;5.3;14.6;72.7;7.1;6.8;16.6;68.8;59.5
116;Contact familie: maandelijks;Ondergrens 95%-interval;2019;7.4;2.3;9.2;81.8;7.4;2.2;10.0;81.2;7.2;4.6;15.2;72.6;7.2;4.6;17.6;70.0;57.5
117;Contact familie: maandelijks;Ondergrens 95%-interval;2020;7.4;2.0;10.8;80.8;7.3;2.0;11.4;79.9;7.2;4.2;15.2;73.1;7.3;5.0;13.6;74.0;60.8
118;Contact familie: maandelijks;Ondergrens 95%-interval;2021;7.2;3.0;9.6;80.0;7.2;2.9;12.5;76.8;6.8;8.2;15.7;66.9;7.0;9.0;14.4;67.4;61.0
119;Contact familie: maandelijks;Ondergrens 95%-interval;2022;7.3;2.0;12.3;79.1;7.2;2.4;14.7;75.8;7.1;5.0;18.8;68.1;7.1;6.8;19.2;65.4;62.9
120;Contact familie: maandelijks;Ondergrens 95%-interval;2023;7.3;2.7;11.6;79.1;7.2;3.2;14.4;75.4;7.0;5.9;18.3;68.0;7.2;6.8;14.9;70.5;61.9
121;Contact familie: maandelijks;Bovengrens 95%-interval;2013;7.6;5.4;13.8;87.7;7.5;5.9;17.6;83.9;7.5;7.1;21.0;79.7;7.5;9.6;21.6;77.1;61.8
122;Contact familie: maandelijks;Bovengrens 95%-interval;2014;7.7;5.5;12.5;88.5;7.5;6.7;16.4;84.3;7.5;7.8;19.9;80.4;7.6;9.1;20.9;78.3;63.0
123;Contact familie: maandelijks;Bovengrens 95%-interval;2015;7.7;4.6;13.2;88.4;7.5;6.9;17.0;83.4;7.4;8.2;19.1;80.3;7.4;10.0;21.0;77.0;69.1
124;Contact familie: maandelijks;Bovengrens 95%-interval;2016;7.7;4.0;12.2;90.0;7.6;4.8;15.9;86.2;7.4;7.7;18.9;81.3;7.4;10.6;20.8;77.0;65.8
125;Contact familie: maandelijks;Bovengrens 95%-interval;2017;7.7;3.4;13.9;88.7;7.6;6.4;14.0;86.4;7.6;7.5;16.5;83.1;7.4;11.1;22.0;75.0;68.0
126;Contact familie: maandelijks;Bovengrens 95%-interval;2018;7.6;6.7;14.2;86.2;7.4;7.4;16.2;83.9;7.4;9.2;19.9;78.9;7.3;10.9;22.2;75.2;66.6
127;Contact familie: maandelijks;Bovengrens 95%-interval;2019;7.6;5.7;14.2;87.5;7.6;5.1;15.2;86.9;7.4;8.3;20.9;79.0;7.5;8.3;23.6;76.6;64.8
128;Contact familie: maandelijks;Bovengrens 95%-interval;2020;7.6;4.7;15.9;86.4;7.5;4.8;16.8;85.7;7.4;7.8;20.9;79.4;7.5;8.8;19.0;80.1;67.8
129;Contact familie: maandelijks;Bovengrens 95%-interval;2021;7.5;6.8;15.1;86.3;7.4;6.6;18.5;83.5;7.2;13.4;22.1;74.4;7.3;14.5;20.5;74.8;68.9
130;Contact familie: maandelijks;Bovengrens 95%-interval;2022;7.5;4.8;17.6;84.9;7.5;5.3;20.4;81.9;7.3;8.9;24.9;74.8;7.3;11.3;25.5;72.4;69.9
131;Contact familie: maandelijks;Bovengrens 95%-interval;2023;7.5;5.7;16.7;84.7;7.4;6.4;19.9;81.4;7.2;9.8;24.2;74.5;7.5;11.0;20.5;76.9;68.8
132;Contact familie: minder 1 x per maand;Waarde;2013;7.2;6.9;17.1;76.0;7.0;6.3;23.5;70.2;7.0;10.1;21.3;68.6;7.4;8.9;17.6;73.5;57.2
133;Contact familie: minder 1 x per maand;Waarde;2014;7.2;6.4;15.1;78.6;7.2;6.8;18.8;74.4;7.1;9.6;18.1;72.4;7.0;11.5;26.2;62.3;52.3
134;Contact familie: minder 1 x per maand;Waarde;2015;7.3;5.8;12.0;82.2;7.2;7.8;15.3;76.8;7.1;6.6;22.6;70.8;7.1;12.9;18.2;68.9;59.9
135;Contact familie: minder 1 x per maand;Waarde;2016;7.3;4.0;15.4;80.5;7.0;6.7;19.6;73.7;7.0;8.7;22.1;69.2;7.1;10.9;18.0;71.2;55.3
136;Contact familie: minder 1 x per maand;Waarde;2017;7.2;7.9;13.2;78.9;7.1;8.8;15.6;75.6;7.1;8.1;18.6;73.3;7.1;11.2;20.7;68.1;54.6
137;Contact familie: minder 1 x per maand;Waarde;2018;7.4;4.7;15.2;80.1;7.3;4.6;18.0;77.4;7.0;10.7;20.4;68.9;7.1;12.1;19.7;68.2;52.8
138;Contact familie: minder 1 x per maand;Waarde;2019;7.3;4.1;18.1;77.7;7.1;7.2;20.3;72.5;6.9;8.4;24.2;67.4;7.1;9.8;18.7;71.5;55.6
139;Contact familie: minder 1 x per maand;Waarde;2020;7.1;7.4;18.0;74.7;7.1;8.0;18.7;73.3;6.8;12.6;22.9;64.5;7.2;10.8;16.8;72.5;60.4
140;Contact familie: minder 1 x per maand;Waarde;2021;7.3;2.8;16.3;80.9;7.3;2.4;21.0;76.6;6.8;13.8;22.2;64.0;7.2;10.7;14.4;74.8;65.1
141;Contact familie: minder 1 x per maand;Waarde;2022;7.1;8.2;17.3;74.5;7.0;8.7;19.6;71.7;6.6;14.4;25.5;60.1;6.8;15.7;18.9;65.4;65.0
142;Contact familie: minder 1 x per maand;Waarde;2023;7.2;6.1;19.2;74.7;7.1;6.0;22.2;71.8;6.9;10.4;23.9;65.7;7.4;6.3;18.3;75.4;55.7
