ID;Geslacht;LeeftijdOp31December;Marges;Perioden;LevensverwachtingLV_1;LVInAlsGoedErvarenGezondheid_2;LVZonderMatigeEnErnstigeBeperking_3;LVZonderErnstigeBeperkingen_4;LVZonderLichteMatigeErnstigeBep_5;LVZonderChronischeZiektes_6;LVZonderChrZiekExclHogeBloeddruk_7;LVZonderPsychischeKlachtenMHI5_8;LVZonderGALIBeperkingen_9;LVZonderErnstigeGALIBeperkingen_10
142;Totaal mannen en vrouwen;1 jaar;Standaardfout;1994;;;;;;;;;;
143;Totaal mannen en vrouwen;1 jaar;Standaardfout;1995;;;;;;;;;;
144;Totaal mannen en vrouwen;1 jaar;Standaardfout;1996;;;;;;;;;;
145;Totaal mannen en vrouwen;1 jaar;Standaardfout;1997;;;;;;;;;;
146;Totaal mannen en vrouwen;1 jaar;Standaardfout;1998;;;;;;;;;;
147;Totaal mannen en vrouwen;1 jaar;Standaardfout;1999;;;;;;;;;;
148;Totaal mannen en vrouwen;1 jaar;Standaardfout;2000;;;;;;;;;;
149;Totaal mannen en vrouwen;1 jaar;Standaardfout;2001;;;;;;;;;;
150;Totaal mannen en vrouwen;1 jaar;Standaardfout;2002;;;;;;;;;;
151;Totaal mannen en vrouwen;1 jaar;Standaardfout;2003;;;;;;;;;;
152;Totaal mannen en vrouwen;1 jaar;Standaardfout;2004;;;;;;;;;;
153;Totaal mannen en vrouwen;1 jaar;Standaardfout;2005;;;;;;;;;;
154;Totaal mannen en vrouwen;1 jaar;Standaardfout;2006;;;;;;;;;;
155;Totaal mannen en vrouwen;1 jaar;Standaardfout;2007;;;;;;;;;;
156;Totaal mannen en vrouwen;1 jaar;Standaardfout;2008;;;;;;;;;;
157;Totaal mannen en vrouwen;1 jaar;Standaardfout;2009;;;;;;;;;;
158;Totaal mannen en vrouwen;1 jaar;Standaardfout;2010;;;;;;;;;;
159;Totaal mannen en vrouwen;1 jaar;Standaardfout;2011;;;;;;;;;;
160;Totaal mannen en vrouwen;1 jaar;Standaardfout;2012;;;;;;;;;;
161;Totaal mannen en vrouwen;1 jaar;Standaardfout;2013;;;;;;;;;;
162;Totaal mannen en vrouwen;1 jaar;Standaardfout;2014;;;;;;;;;;
163;Totaal mannen en vrouwen;1 jaar;Standaardfout;2015;;;;;;;;;;
164;Totaal mannen en vrouwen;1 jaar;Standaardfout;2016;;;;;;;;;;
165;Totaal mannen en vrouwen;1 jaar;Standaardfout;2017;;;;;;;;;;
166;Totaal mannen en vrouwen;1 jaar;Standaardfout;2018;;0.3;;;;0.4;0.4;0.3;0.3;0.2
167;Totaal mannen en vrouwen;1 jaar;Standaardfout;2019;;0.3;;;;0.4;0.4;0.3;0.3;0.2
168;Totaal mannen en vrouwen;1 jaar;Standaardfout;2020;;0.3;;;;0.4;0.4;0.3;0.4;0.2
169;Totaal mannen en vrouwen;1 jaar;Standaardfout;2021;;0.3;;;;0.4;0.4;0.3;0.4;0.2
170;Totaal mannen en vrouwen;1 jaar;Standaardfout;2022;;0.3;;;;0.4;0.4;0.3;0.3;0.2
171;Totaal mannen en vrouwen;1 jaar;Standaardfout;2023;;0.3;;;;0.4;0.4;0.3;0.3;0.2
172;Totaal mannen en vrouwen;5 jaar;Waarde;1981;;;;;;;;;;
173;Totaal mannen en vrouwen;5 jaar;Waarde;1982;;;;;;;;;;
174;Totaal mannen en vrouwen;5 jaar;Waarde;1983;;;;;;;;;;
175;Totaal mannen en vrouwen;5 jaar;Waarde;1984;;;;;;;;;;
176;Totaal mannen en vrouwen;5 jaar;Waarde;1985;;;;;;;;;;
177;Totaal mannen en vrouwen;5 jaar;Waarde;1986;;;;;;;;;;
178;Totaal mannen en vrouwen;5 jaar;Waarde;1987;;;;;;;;;;
179;Totaal mannen en vrouwen;5 jaar;Waarde;1988;;;;;;;;;;
180;Totaal mannen en vrouwen;5 jaar;Waarde;1989;;;;;;;;;;
181;Totaal mannen en vrouwen;5 jaar;Waarde;1990;;;;;;;;;;
182;Totaal mannen en vrouwen;5 jaar;Waarde;1991;;;;;;;;;;
183;Totaal mannen en vrouwen;5 jaar;Waarde;1992;;;;;;;;;;
184;Totaal mannen en vrouwen;5 jaar;Waarde;1993;;;;;;;;;;
185;Totaal mannen en vrouwen;5 jaar;Waarde;1994;;;;;;;;;;
186;Totaal mannen en vrouwen;5 jaar;Waarde;1995;;;;;;;;;;
187;Totaal mannen en vrouwen;5 jaar;Waarde;1996;;;;;;;;;;
188;Totaal mannen en vrouwen;5 jaar;Waarde;1997;;;;;;;;;;
189;Totaal mannen en vrouwen;5 jaar;Waarde;1998;;;;;;;;;;
190;Totaal mannen en vrouwen;5 jaar;Waarde;1999;;;;;;;;;;
191;Totaal mannen en vrouwen;5 jaar;Waarde;2000;;;;;;;;;;
192;Totaal mannen en vrouwen;5 jaar;Waarde;2001;;;;;;;;;;
193;Totaal mannen en vrouwen;5 jaar;Waarde;2002;;;;;;;;;;
194;Totaal mannen en vrouwen;5 jaar;Waarde;2003;;;;;;;;;;
195;Totaal mannen en vrouwen;5 jaar;Waarde;2004;;;;;;;;;;
196;Totaal mannen en vrouwen;5 jaar;Waarde;2005;;;;;;;;;;
197;Totaal mannen en vrouwen;5 jaar;Waarde;2006;;;;;;;;;;
198;Totaal mannen en vrouwen;5 jaar;Waarde;2007;;;;;;;;;;
199;Totaal mannen en vrouwen;5 jaar;Waarde;2008;;;;;;;;;;
200;Totaal mannen en vrouwen;5 jaar;Waarde;2009;;;;;;;;;;
201;Totaal mannen en vrouwen;5 jaar;Waarde;2010;;;;;;;;;;
202;Totaal mannen en vrouwen;5 jaar;Waarde;2011;;;;;;;;;;
203;Totaal mannen en vrouwen;5 jaar;Waarde;2012;;;;;;;;;;
204;Totaal mannen en vrouwen;5 jaar;Waarde;2013;;;;;;;;;;
205;Totaal mannen en vrouwen;5 jaar;Waarde;2014;;;;;;;;;;
206;Totaal mannen en vrouwen;5 jaar;Waarde;2015;;;;;;;;;;
207;Totaal mannen en vrouwen;5 jaar;Waarde;2016;;;;;;;;;;
208;Totaal mannen en vrouwen;5 jaar;Waarde;2017;;;;;;;;;;
209;Totaal mannen en vrouwen;5 jaar;Waarde;2018;77.6;59.4;67.7;71.3;52.1;39.7;42.8;68.9;53.9;72.6
210;Totaal mannen en vrouwen;5 jaar;Waarde;2019;77.89;60.0;67.9;71.6;51.9;39.7;42.6;69.4;54.1;73.2
211;Totaal mannen en vrouwen;5 jaar;Waarde;2020;77.23;62.0;68.1;71.5;51.1;39.5;42.4;68.4;54.5;73.3
212;Totaal mannen en vrouwen;5 jaar;Waarde;2021;77.15;61.1;68.7;71.9;50.0;39.8;42.7;66.2;54.5;73.6
213;Totaal mannen en vrouwen;5 jaar;Waarde;2022;77.42;58.6;67.3;71.1;49.7;39.7;42.6;67.4;53.6;72.6
214;Totaal mannen en vrouwen;5 jaar;Waarde;2023;77.66;59.2;67.4;71.2;49.4;39.1;41.9;67.6;53.3;73.0
215;Totaal mannen en vrouwen;5 jaar;Standaardfout;1981;;;;;;;;;;
216;Totaal mannen en vrouwen;5 jaar;Standaardfout;1982;;;;;;;;;;
217;Totaal mannen en vrouwen;5 jaar;Standaardfout;1983;;;;;;;;;;
218;Totaal mannen en vrouwen;5 jaar;Standaardfout;1984;;;;;;;;;;
219;Totaal mannen en vrouwen;5 jaar;Standaardfout;1985;;;;;;;;;;
220;Totaal mannen en vrouwen;5 jaar;Standaardfout;1986;;;;;;;;;;
221;Totaal mannen en vrouwen;5 jaar;Standaardfout;1987;;;;;;;;;;
222;Totaal mannen en vrouwen;5 jaar;Standaardfout;1988;;;;;;;;;;
223;Totaal mannen en vrouwen;5 jaar;Standaardfout;1989;;;;;;;;;;
224;Totaal mannen en vrouwen;5 jaar;Standaardfout;1990;;;;;;;;;;
225;Totaal mannen en vrouwen;5 jaar;Standaardfout;1991;;;;;;;;;;
226;Totaal mannen en vrouwen;5 jaar;Standaardfout;1992;;;;;;;;;;
227;Totaal mannen en vrouwen;5 jaar;Standaardfout;1993;;;;;;;;;;
228;Totaal mannen en vrouwen;5 jaar;Standaardfout;1994;;;;;;;;;;
229;Totaal mannen en vrouwen;5 jaar;Standaardfout;1995;;;;;;;;;;
230;Totaal mannen en vrouwen;5 jaar;Standaardfout;1996;;;;;;;;;;
231;Totaal mannen en vrouwen;5 jaar;Standaardfout;1997;;;;;;;;;;
232;Totaal mannen en vrouwen;5 jaar;Standaardfout;1998;;;;;;;;;;
233;Totaal mannen en vrouwen;5 jaar;Standaardfout;1999;;;;;;;;;;
234;Totaal mannen en vrouwen;5 jaar;Standaardfout;2000;;;;;;;;;;
235;Totaal mannen en vrouwen;5 jaar;Standaardfout;2001;;;;;;;;;;
236;Totaal mannen en vrouwen;5 jaar;Standaardfout;2002;;;;;;;;;;
237;Totaal mannen en vrouwen;5 jaar;Standaardfout;2003;;;;;;;;;;
238;Totaal mannen en vrouwen;5 jaar;Standaardfout;2004;;;;;;;;;;
239;Totaal mannen en vrouwen;5 jaar;Standaardfout;2005;;;;;;;;;;
240;Totaal mannen en vrouwen;5 jaar;Standaardfout;2006;;;;;;;;;;
241;Totaal mannen en vrouwen;5 jaar;Standaardfout;2007;;;;;;;;;;
242;Totaal mannen en vrouwen;5 jaar;Standaardfout;2008;;;;;;;;;;
243;Totaal mannen en vrouwen;5 jaar;Standaardfout;2009;;;;;;;;;;
244;Totaal mannen en vrouwen;5 jaar;Standaardfout;2010;;;;;;;;;;
245;Totaal mannen en vrouwen;5 jaar;Standaardfout;2011;;;;;;;;;;
246;Totaal mannen en vrouwen;5 jaar;Standaardfout;2012;;;;;;;;;;
247;Totaal mannen en vrouwen;5 jaar;Standaardfout;2013;;;;;;;;;;
248;Totaal mannen en vrouwen;5 jaar;Standaardfout;2014;;;;;;;;;;
249;Totaal mannen en vrouwen;5 jaar;Standaardfout;2015;;;;;;;;;;
250;Totaal mannen en vrouwen;5 jaar;Standaardfout;2016;;;;;;;;;;
251;Totaal mannen en vrouwen;5 jaar;Standaardfout;2017;;;;;;;;;;
252;Totaal mannen en vrouwen;5 jaar;Standaardfout;2018;;0.3;;;;0.4;0.4;0.3;0.3;0.2
253;Totaal mannen en vrouwen;5 jaar;Standaardfout;2019;;0.3;;;;0.4;0.4;0.3;0.3;0.2
254;Totaal mannen en vrouwen;5 jaar;Standaardfout;2020;;0.3;;;;0.4;0.4;0.3;0.4;0.2
255;Totaal mannen en vrouwen;5 jaar;Standaardfout;2021;;0.3;;;;0.4;0.4;0.3;0.4;0.2
256;Totaal mannen en vrouwen;5 jaar;Standaardfout;2022;;0.3;;;;0.4;0.4;0.3;0.3;0.2
257;Totaal mannen en vrouwen;5 jaar;Standaardfout;2023;;0.3;;;;0.4;0.4;0.3;0.3;0.2
258;Totaal mannen en vrouwen;10 jaar;Waarde;1981;;;;;;;;;;
259;Totaal mannen en vrouwen;10 jaar;Waarde;1982;;;;;;;;;;
260;Totaal mannen en vrouwen;10 jaar;Waarde;1983;;;;;;;;;;
261;Totaal mannen en vrouwen;10 jaar;Waarde;1984;;;;;;;;;;
262;Totaal mannen en vrouwen;10 jaar;Waarde;1985;;;;;;;;;;
263;Totaal mannen en vrouwen;10 jaar;Waarde;1986;;;;;;;;;;
264;Totaal mannen en vrouwen;10 jaar;Waarde;1987;;;;;;;;;;
265;Totaal mannen en vrouwen;10 jaar;Waarde;1988;;;;;;;;;;
266;Totaal mannen en vrouwen;10 jaar;Waarde;1989;;;;;;;;;;
267;Totaal mannen en vrouwen;10 jaar;Waarde;1990;;;;;;;;;;
268;Totaal mannen en vrouwen;10 jaar;Waarde;1991;;;;;;;;;;
269;Totaal mannen en vrouwen;10 jaar;Waarde;1992;;;;;;;;;;
270;Totaal mannen en vrouwen;10 jaar;Waarde;1993;;;;;;;;;;
271;Totaal mannen en vrouwen;10 jaar;Waarde;1994;;;;;;;;;;
272;Totaal mannen en vrouwen;10 jaar;Waarde;1995;;;;;;;;;;
273;Totaal mannen en vrouwen;10 jaar;Waarde;1996;;;;;;;;;;
274;Totaal mannen en vrouwen;10 jaar;Waarde;1997;;;;;;;;;;
275;Totaal mannen en vrouwen;10 jaar;Waarde;1998;;;;;;;;;;
276;Totaal mannen en vrouwen;10 jaar;Waarde;1999;;;;;;;;;;
277;Totaal mannen en vrouwen;10 jaar;Waarde;2000;;;;;;;;;;
278;Totaal mannen en vrouwen;10 jaar;Waarde;2001;;;;;;;;;;
279;Totaal mannen en vrouwen;10 jaar;Waarde;2002;;;;;;;;;;
280;Totaal mannen en vrouwen;10 jaar;Waarde;2003;;;;;;;;;;
281;Totaal mannen en vrouwen;10 jaar;Waarde;2004;;;;;;;;;;
282;Totaal mannen en vrouwen;10 jaar;Waarde;2005;;;;;;;;;;
283;Totaal mannen en vrouwen;10 jaar;Waarde;2006;;;;;;;;;;
284;Totaal mannen en vrouwen;10 jaar;Waarde;2007;;;;;;;;;;
285;Totaal mannen en vrouwen;10 jaar;Waarde;2008;;;;;;;;;;
286;Totaal mannen en vrouwen;10 jaar;Waarde;2009;;;;;;;;;;
287;Totaal mannen en vrouwen;10 jaar;Waarde;2010;;;;;;;;;;
288;Totaal mannen en vrouwen;10 jaar;Waarde;2011;;;;;;;;;;
289;Totaal mannen en vrouwen;10 jaar;Waarde;2012;;;;;;;;;;
290;Totaal mannen en vrouwen;10 jaar;Waarde;2013;;;;;;;;;;
291;Totaal mannen en vrouwen;10 jaar;Waarde;2014;;;;;;;;;;
292;Totaal mannen en vrouwen;10 jaar;Waarde;2015;;;;;;;;;;
293;Totaal mannen en vrouwen;10 jaar;Waarde;2016;;;;;;;;;;
294;Totaal mannen en vrouwen;10 jaar;Waarde;2017;;;;;;;;;;
295;Totaal mannen en vrouwen;10 jaar;Waarde;2018;72.63;54.7;62.8;66.4;47.1;35.2;38.3;64.1;49.5;67.7
296;Totaal mannen en vrouwen;10 jaar;Waarde;2019;72.91;55.2;62.9;66.6;46.9;35.1;38.1;64.6;49.5;68.3
297;Totaal mannen en vrouwen;10 jaar;Waarde;2020;72.25;57.3;63.2;66.5;46.1;34.9;37.9;63.7;49.9;68.4
298;Totaal mannen en vrouwen;10 jaar;Waarde;2021;72.18;56.2;63.7;66.9;45.0;35.3;38.1;61.5;49.9;68.7
299;Totaal mannen en vrouwen;10 jaar;Waarde;2022;72.45;53.8;62.3;66.1;44.7;35.2;38.0;62.7;49.0;67.7
300;Totaal mannen en vrouwen;10 jaar;Waarde;2023;72.69;54.3;62.4;66.3;44.4;34.6;37.5;63.0;48.7;68.0
301;Totaal mannen en vrouwen;10 jaar;Standaardfout;1981;;;;;;;;;;
302;Totaal mannen en vrouwen;10 jaar;Standaardfout;1982;;;;;;;;;;
303;Totaal mannen en vrouwen;10 jaar;Standaardfout;1983;;;;;;;;;;
304;Totaal mannen en vrouwen;10 jaar;Standaardfout;1984;;;;;;;;;;
305;Totaal mannen en vrouwen;10 jaar;Standaardfout;1985;;;;;;;;;;
