ID;Region;Periods;AllCountries_1;Netherlands_2;TotalForeignCountries_3;EuropeExcludingTheNetherlands_4;Germany_5;Belgium_6;UnitedKingdom_7;France_8;Switzerland_9;Italy_10;Spain_11;Denmark_12;Sweden_13;OtherCountriesEuroZone_14;OtherEuropeanCountries_15;America_16;Asia_17;AustraliaAndOceania_18;Africa_19;AllCountries_20;Netherlands_21;TotalForeignCountries_22;EuropeExcludingTheNetherlands_23;Germany_24;Belgium_25;UnitedKingdom_26;France_27;Switzerland_28;Italy_29;Spain_30;Denmark_31;Sweden_32;OtherCountriesEuroZone_33;OtherEuropeanCountries_34;America_35;Asia_36;AustraliaAndOceania_37;Africa_38
10;The Netherlands;1998 September;787.7;643.5;144.2;141.5;105.0;17.7;7.5;2.1;;4.0;1.1;;;;3.2;;;1.7;;3890.8;3064.4;826.4;816.4;639.9;88.8;33.2;6.9;;19.9;4.0;;;;18.4;;;4.6;
11;The Netherlands;1998 3rd Quarter;3686.6;2888.3;798.3;786.8;540.6;81.8;42.6;29.2;7.0;36.2;10.8;10.2;;;28.5;3.1;2.4;4.6;1.4;25349.6;20336.1;5013.5;4970.3;3911.7;437.8;218.8;84.5;32.8;96.3;31.1;34.7;;;122.7;12.1;13.5;12.2;5.5
12;The Netherlands;1998 October;702.1;552.4;149.7;149.0;125.3;14.8;4.9;;;;;;;;1.2;;;;;3356.4;2507.5;848.9;845.4;744.9;61.3;21.7;;;;;;;;5.2;;;;
13;The Netherlands;1998 November;425.3;335.9;89.4;89.2;57.7;25.5;3.3;;;;;;;;;;;;;1691.7;1303.8;387.9;387.1;255.9;102.5;15.0;;;;;;;;;;;;
14;The Netherlands;1998 December;339.7;290.7;49.0;48.9;35.2;11.1;;;;;;;;;;;;;;1617.3;1397.3;220.0;218.8;146.5;51.1;;;;;;;;;;;;;
15;The Netherlands;1998 4th Quarter;1467.1;1179.0;288.1;287.1;218.1;51.4;8.9;1.7;;1.4;;1.5;;;2.8;;;;;6665.4;5208.6;1456.8;1451.3;1147.2;214.9;41.9;10.8;;4.6;;5.8;;;18.1;;;;
16;The Netherlands;1998 Total;9194.9;7315.7;1879.2;1859.0;1387.0;218.9;81.1;43.7;10.1;40.6;12.7;16.8;;;48.2;7.1;3.3;7.8;2.0;49178.7;38904.5;10274.1;10187.6;8191.5;1007.7;391.8;135.1;48.3;107.5;38.9;58.4;;;208.4;37.5;18.4;22.7;8.0
17;The Netherlands;1999 January;306.0;238.6;67.5;67.2;54.2;9.5;;;;;;;;;1.2;;;;;1398.3;1066.6;331.7;329.1;267.6;40.4;;;;;;;;;7.2;;;;
18;The Netherlands;1999 February;393.0;339.8;53.1;52.9;41.4;8.9;1.3;;;;;;;;;;;;;1661.2;1411.1;250.1;248.0;198.0;35.4;6.3;;;;;;;;;;;;
19;The Netherlands;1999 March;408.8;340.8;68.1;67.8;49.0;14.2;2.1;;;;;;;;1.3;;;;;1637.4;1335.0;302.4;299.9;225.6;47.5;9.7;;;;;;;;10.1;;;;
20;The Netherlands;1999 1st Quarter;1107.8;919.2;188.6;187.8;144.6;32.6;4.2;1.9;;;;;;;3.1;;;;;4696.9;3812.7;884.3;876.9;691.2;123.3;20.6;12.2;;;;;;;22.0;;;;
21;The Netherlands;1999 April;885.4;597.5;287.8;286.4;220.7;37.0;14.0;7.4;1.1;1.6;;1.7;;;2.7;;;;;3581.7;2268.0;1313.7;1306.4;1036.7;152.6;61.2;25.1;4.7;4.6;;5.0;;;15.7;;;;
22;The Netherlands;1999 May;1535.1;1264.8;270.3;267.4;217.1;25.5;10.1;6.3;;1.3;1.3;1.0;;;4.1;1.0;;1.4;;6839.9;5754.7;1085.2;1071.0;878.1;100.7;37.5;20.2;;3.8;4.5;3.9;;;19.3;6.5;;4.1;
23;The Netherlands;1999 June;1066.8;824.8;242.0;238.4;191.8;13.4;14.1;4.6;1.3;3.7;1.2;2.5;;;5.8;1.2;;1.8;;5098.7;3759.4;1339.3;1319.4;1129.2;54.7;61.3;21.7;6.9;9.3;5.6;9.4;;;21.4;9.7;;6.0;
24;The Netherlands;1999 2nd Quarter;3487.2;2687.1;800.1;792.2;629.6;75.8;38.2;18.3;3.1;6.7;2.8;5.2;;;12.6;2.8;;3.7;;15520.3;11782.1;3738.2;3696.9;3043.9;308.0;160.1;67.1;14.6;17.6;11.0;18.2;;;56.4;19.5;;12.2;
25;The Netherlands;1999 July;1553.8;1111.3;442.5;436.3;322.0;35.3;14.6;11.2;5.0;17.3;5.2;9.7;;;16.1;1.5;1.6;2.7;;10292.6;7471.8;2820.9;2785.2;2335.6;178.5;76.7;32.3;22.6;33.0;17.9;33.7;;;55.0;9.8;12.0;11.0;
26;The Netherlands;1999 August;1675.9;1298.2;377.7;368.4;227.9;29.7;26.9;19.3;4.1;35.1;10.6;3.2;;;11.5;3.1;2.1;3.6;;11957.3;9840.0;2117.3;2066.0;1492.9;163.2;159.5;50.6;15.7;87.9;35.7;8.9;;;51.6;21.8;18.8;7.6;
27;The Netherlands;1999 September;945.9;754.7;191.1;187.3;138.9;23.5;10.1;3.0;;4.1;2.1;;;;4.5;1.2;;1.7;;4309.3;3325.2;984.0;967.0;769.3;95.6;48.5;9.5;;9.8;8.6;;;;21.4;4.8;;4.8;
28;The Netherlands;1999 3rd Quarter;4175.6;3164.3;1011.3;991.9;688.8;88.5;51.7;33.5;9.7;56.5;17.8;13.4;;;32.1;5.8;4.4;7.9;1.2;26559.2;20637.1;5922.2;5818.2;4597.8;437.4;284.7;92.4;40.8;130.6;62.2;44.2;;;128.1;36.4;36.4;23.4;7.8
29;The Netherlands;1999 October;772.6;599.2;173.4;171.9;153.1;9.7;4.0;;;;;;;;2.2;;;;;3764.4;2753.4;1011.0;1001.6;904.2;38.6;21.9;;;;;;;;23.3;;;;
30;The Netherlands;1999 November;481.3;384.4;97.0;96.5;63.6;29.1;1.7;;;;;;;;;;;;;1816.4;1411.7;404.7;400.9;265.0;113.0;9.2;;;;;;;;;;;;
31;The Netherlands;1999 December;372.4;318.4;54.0;52.1;38.3;9.9;1.0;;;;;;;;1.4;1.2;;;;1620.9;1365.8;255.2;241.0;173.5;38.8;7.0;;;;;;;;13.5;4.3;;;
32;The Netherlands;1999 4th Quarter;1626.4;1302.0;324.3;320.5;255.0;48.7;6.7;1.8;1.0;1.3;;1.2;;;4.4;1.7;;1.0;;7201.7;5530.9;1670.8;1643.5;1342.7;190.5;38.1;11.1;6.0;5.7;;5.0;;;42.2;9.2;;6.1;
33;The Netherlands;1999 Total;10396.9;8072.6;2324.4;2292.4;1717.9;245.6;100.7;55.4;14.3;64.7;21.2;20.4;;;52.2;10.7;5.8;12.8;2.6;53978.2;41762.7;12215.5;12035.5;9675.8;1059.1;503.4;182.7;64.2;155.2;76.3;70.2;;;248.7;68.3;49.0;42.4;20.3
34;The Netherlands;2000 January;357.6;286.1;71.5;71.3;58.6;9.5;1.2;;;;;;;;1.2;;;;;1547.6;1221.3;326.3;324.3;268.2;38.3;6.4;;;;;;;;6.7;;;;
35;The Netherlands;2000 February;334.1;287.3;46.8;46.7;32.4;8.9;3.7;;;;;;;;;;;;;1335.0;1132.2;202.8;202.0;138.4;29.4;19.2;;;;;;;;;;;;
36;The Netherlands;2000 March;494.8;422.0;72.8;72.5;54.4;12.1;2.9;1.4;;;;;;;;;;;;2048.3;1705.7;342.6;339.9;253.6;50.7;16.1;9.6;;;;;;;;;;;
37;The Netherlands;2000 1st Quarter;1186.4;995.4;191.0;190.4;145.3;30.4;7.9;2.6;;;;;;;2.3;;;;;4930.9;4059.2;871.7;866.2;660.3;118.4;41.7;19.7;;;;;;;18.5;;;;
38;The Netherlands;2000 April;962.3;669.7;292.6;290.6;211.2;39.4;15.9;8.1;1.4;7.2;;2.3;;;4.4;;;;;4031.1;2646.8;1384.4;1376.4;1056.9;168.1;71.0;25.0;4.6;18.0;;7.4;;;21.7;;;;
39;The Netherlands;2000 May;1077.9;889.1;188.8;185.9;140.5;19.6;12.3;6.3;1.6;1.0;;1.1;;;3.1;1.1;;1.1;;4565.3;3743.7;821.7;806.4;636.0;74.3;48.0;20.4;5.3;2.4;;3.4;;;15.0;4.8;;4.7;
40;The Netherlands;2000 June;1470.5;1141.6;328.9;324.3;253.1;25.3;14.7;6.6;1.7;2.9;2.7;4.0;;;13.3;2.3;;1.7;;6606.8;5146.2;1460.6;1442.5;1181.7;95.1;61.9;16.3;6.4;7.1;7.8;12.0;;;54.2;10.1;;5.0;
41;The Netherlands;2000 2nd Quarter;3510.6;2700.4;810.3;800.9;604.8;84.4;43.0;21.0;4.7;11.1;3.8;7.4;;;20.8;4.3;1.2;3.4;;15203.3;11536.6;3666.6;3625.3;2874.7;337.5;180.9;61.7;16.3;27.5;13.1;22.7;;;90.9;18.9;8.7;11.5;
42;The Netherlands;2000 July;1365.5;1009.1;356.5;350.0;231.2;33.9;12.2;15.1;4.8;16.2;10.3;9.0;;;17.3;3.1;1.2;1.9;;9082.5;6854.0;2228.5;2200.3;1733.8;173.4;57.4;42.0;20.5;45.4;32.3;30.1;;;65.4;13.1;7.5;5.8;
43;The Netherlands;2000 August;1648.2;1247.5;400.7;393.8;203.6;37.3;28.9;27.8;4.7;57.2;19.4;2.6;;;12.2;1.9;2.3;2.2;;11494.3;9367.4;2126.9;2095.3;1411.3;194.9;145.6;80.5;17.4;118.8;63.5;8.3;;;55.0;7.1;14.8;5.8;
44;The Netherlands;2000 September;979.6;787.0;192.6;187.7;138.9;23.5;11.7;4.2;;2.4;1.2;;;;4.4;1.9;;2.4;;4679.1;3614.3;1064.7;1050.2;816.6;113.7;57.9;12.7;;6.2;4.3;;;;33.6;5.8;;6.3;
45;The Netherlands;2000 3rd Quarter;3993.4;3043.6;949.8;931.5;573.7;94.7;52.8;47.1;10.3;75.8;30.9;12.4;;;33.9;6.9;3.8;6.5;1.2;25255.8;19835.6;5420.1;5345.8;3961.8;482.0;260.9;135.1;41.0;170.5;100.0;40.7;;;154.0;26.0;24.1;17.9;6.3
46;The Netherlands;2000 October;806.4;624.6;181.8;179.7;149.6;17.8;5.1;3.3;;;;;;;1.8;;;1.0;;3786.9;2785.6;1001.4;993.9;870.0;65.3;25.8;13.6;;;;;;;10.9;;;3.1;
47;The Netherlands;2000 November;444.6;362.0;82.6;82.3;50.8;24.2;2.5;;;;;;;;3.0;;;;;1812.9;1460.1;352.8;351.5;222.7;99.6;11.8;;;;;;;;7.9;;;;
48;The Netherlands;2000 December;396.1;346.9;49.2;48.9;35.1;9.5;1.6;;;;;;;;1.2;;;;;1859.3;1605.9;253.4;250.8;167.0;38.5;14.8;;;;;;;;19.5;;;;
49;The Netherlands;2000 4th Quarter;1647.0;1333.5;313.5;311.0;235.5;51.5;9.2;4.7;;1.4;;1.3;;;6.0;;;1.1;;7459.1;5851.6;1607.5;1596.2;1259.7;203.4;52.3;25.8;;3.7;;5.5;;;38.4;;;3.8;
50;The Netherlands;2000 Total;10337.5;8072.8;2264.7;2233.8;1559.3;260.9;112.8;75.4;16.0;88.7;36.0;21.6;;;63.0;12.2;5.7;11.1;1.9;52849.1;41283.1;11566.0;11433.5;8756.4;1141.3;535.8;242.2;63.4;203.4;117.9;71.3;;;301.7;52.2;36.6;33.8;9.9
51;The Netherlands;2001 January;363.6;290.6;72.9;72.7;60.4;8.6;1.3;;;;;;;;;;;;;1472.8;1169.8;303.0;300.9;245.5;30.3;8.1;;;;;;;;;;;;
52;The Netherlands;2001 February;363.6;303.6;60.0;59.9;43.3;8.5;4.6;1.3;;;;;;;1.7;;;;;1538.1;1263.6;274.5;273.6;200.1;32.1;23.3;6.2;;;;;;;8.5;;;;
53;The Netherlands;2001 March;502.5;437.8;64.7;64.2;49.7;10.7;1.4;;;;;;;;;;;;;2066.7;1773.2;293.5;291.1;221.9;41.8;10.5;;;;;;;;;;;;
54;The Netherlands;2001 1st Quarter;1229.7;1032.0;197.6;196.8;153.4;27.8;7.3;2.5;;;;1.2;;;3.3;;;;;5077.6;4206.6;870.9;865.7;667.5;104.2;41.9;14.1;;;;6.2;;;26.1;;;;
55;The Netherlands;2001 April;843.3;588.0;255.3;253.8;194.6;30.4;14.4;6.2;;1.8;;1.8;;;3.3;;;;;3594.7;2335.6;1259.1;1252.8;987.9;134.8;67.9;23.4;;3.7;;6.9;;;23.7;;;;
56;The Netherlands;2001 May;1221.9;1047.8;174.1;171.7;131.7;18.8;10.6;4.4;;;;;;;3.6;1.1;;;;5038.3;4287.4;750.9;742.2;577.5;76.6;47.8;11.9;;;;;;;19.7;4.6;;;
57;The Netherlands;2001 June;1274.7;1023.9;250.8;245.9;197.5;16.5;11.4;5.0;;2.2;2.2;4.1;;;6.2;1.9;;2.1;;6217.3;4914.9;1302.3;1279.6;1043.5;88.1;53.9;17.7;;8.2;11.7;17.9;;;35.4;10.2;;8.9;
58;The Netherlands;2001 2nd Quarter;3339.9;2659.7;680.3;671.4;523.8;65.7;36.5;15.6;2.2;4.9;3.0;6.5;;;13.2;3.8;1.4;3.3;;14850.3;11537.9;3312.4;3274.6;2608.9;299.6;169.6;53.0;8.9;14.5;14.7;26.7;;;78.7;18.0;6.0;11.7;
59;The Netherlands;2001 July;1380.6;1043.3;337.4;329.9;227.1;24.4;15.6;13.0;4.7;14.7;6.3;10.0;;;14.1;3.1;1.3;2.6;;8945.6;6968.8;1976.8;1951.3;1533.2;143.1;76.6;32.9;17.5;39.9;19.3;35.9;;;52.9;10.5;6.1;6.7;
60;The Netherlands;2001 August;1713.6;1320.5;393.2;386.4;217.9;37.0;27.7;19.2;2.4;46.8;22.3;1.7;;;11.7;1.8;2.8;1.5;;11718.6;9680.7;2037.9;2006.6;1377.4;193.5;139.6;51.7;10.8;111.5;56.8;4.9;;;60.4;6.3;17.4;4.6;
61;The Netherlands;2001 September;842.7;680.4;162.4;159.1;120.4;14.3;9.6;2.5;;2.7;5.3;;;;3.4;;;1.5;;3953.0;3091.0;862.0;850.0;675.7;56.8;47.8;6.7;;11.0;24.7;;;;22.7;;;3.9;
62;The Netherlands;2001 3rd Quarter;3937.0;3044.1;892.9;875.5;565.4;75.6;52.8;34.7;7.6;64.1;33.9;12.3;;;29.1;5.8;4.8;5.5;1.3;24617.1;19740.5;4876.6;4807.9;3586.3;393.4;263.9;91.4;30.5;162.4;100.8;43.2;;;136.1;21.6;26.1;15.2;5.9
63;The Netherlands;2001 October;796.1;619.4;176.7;175.4;149.8;15.7;4.8;1.4;;;;;;;1.9;;;;;3827.3;2815.0;1012.3;1007.1;884.2;64.7;21.6;6.7;;;;;;;22.6;;;;
64;The Netherlands;2001 November;476.5;407.2;69.3;69.0;40.3;22.8;1.5;1.5;;;;;;;1.5;;;;;1831.5;1555.7;275.7;273.7;167.5;71.5;6.8;6.7;;;;;;;17.1;;;;
65;The Netherlands;2001 December;360.7;322.7;38.1;37.8;25.9;7.6;1.5;;;1.2;;;;;;;;;;1707.8;1508.8;199.0;197.2;131.7;35.7;9.0;;;3.5;;;;;;;;;
66;The Netherlands;2001 4th Quarter;1633.3;1349.3;284.1;282.2;216.0;46.0;7.8;3.4;;2.3;;1.1;;;4.2;;;;;7366.5;5879.5;1487.0;1478.0;1183.4;172.0;37.4;16.2;;6.8;;3.9;;;52.3;;;;
67;The Netherlands;2001 Total;10139.9;8085.1;2054.9;2026.0;1458.6;215.2;104.5;56.2;10.9;72.2;37.6;21.0;;;49.8;10.5;6.7;9.8;1.8;51911.5;41364.6;10546.9;10426.2;8046.1;969.0;512.8;174.6;45.1;186.7;118.6;80.1;;;293.3;45.4;36.4;29.7;9.2
68;The Netherlands;2002 January;338.4;274.9;63.5;63.1;51.8;7.4;1.5;;;;;;;;;;;;;1504.3;1196.0;308.3;306.1;249.4;30.8;8.9;;;;;;;;;;;;
69;The Netherlands;2002 February;400.5;342.2;58.4;58.2;36.5;15.7;3.0;1.6;;;;;;;;;;;;1811.6;1555.7;255.9;252.7;158.3;62.6;14.6;6.7;;;;;;;;;;;
70;The Netherlands;2002 March;475.2;380.5;94.6;94.2;75.9;9.8;4.9;;;;;;;;;;;;;2120.4;1640.4;480.0;477.9;389.4;37.1;24.3;;;;;;;;;;;;
71;The Netherlands;2002 1st Quarter;1214.1;997.6;216.5;215.6;164.2;32.9;9.5;3.2;;;;;;1.3;2.1;;;;;5436.4;4392.2;1044.2;1036.7;797.1;130.5;47.7;15.8;;;;;;12.7;18.9;;;;
72;The Netherlands;2002 April;892.0;647.4;244.6;243.7;166.3;42.6;13.1;9.9;2.0;3.4;;1.1;;1.6;3.0;;;;;3642.7;2528.2;1114.5;1109.6;777.3;166.0;59.9;33.7;7.6;11.1;;4.0;;6.1;40.0;;;;
73;The Netherlands;2002 May;1448.5;1198.5;250.0;247.7;201.1;21.8;10.2;5.8;;1.9;;;;1.8;2.5;1.4;;;;6535.0;5469.4;1065.6;1055.2;880.6;81.6;40.5;15.9;;6.6;;;;8.5;12.5;6.7;;;
74;The Netherlands;2002 June;1052.8;833.8;219.0;217.0;166.2;15.2;12.2;7.6;1.9;3.5;1.5;2.7;1.5;1.6;3.0;1.1;;;;5359.8;4098.2;1261.6;1250.4;1004.4;91.1;62.0;31.0;7.0;13.5;7.6;10.5;5.0;5.0;13.3;5.0;;;
75;The Netherlands;2002 2nd Quarter;3393.3;2679.8;713.5;708.4;533.7;79.6;35.6;23.4;4.8;8.8;2.3;4.8;2.1;4.9;8.5;3.0;;1.2;;15537.5;12095.7;3441.8;3415.2;2662.3;338.7;162.4;80.6;18.0;31.2;12.0;17.6;7.0;19.6;65.8;14.2;;3.9;
76;The Netherlands;2002 July;1323.8;1021.4;302.4;299.2;195.1;30.0;22.5;12.9;3.3;6.0;2.6;7.9;4.2;2.8;11.9;1.3;1.3;;;8867.7;7106.2;1761.6;1743.6;1291.7;177.5;102.5;36.6;14.4;16.8;8.9;27.1;11.7;15.4;41.1;6.1;7.7;;
77;The Netherlands;2002 August;1720.2;1267.6;452.6;446.8;263.2;40.7;24.8;16.0;10.1;48.6;26.7;3.0;;4.3;8.5;1.6;2.5;1.6;;12403.7;9685.5;2718.2;2692.0;1997.8;213.5;140.2;44.2;30.1;120.2;73.4;7.9;;17.3;45.3;6.7;14.7;3.6;
78;The Netherlands;2002 September;942.2;754.4;187.8;184.5;143.0;20.3;7.6;3.0;1.0;2.8;1.3;;;1.8;2.9;;;1.3;;4207.7;3271.3;936.4;923.0;754.5;70.4;33.8;9.1;2.6;6.2;6.7;;;14.2;22.6;;;3.3;
79;The Netherlands;2002 3rd Quarter;3986.1;3043.4;942.8;930.4;601.3;90.9;54.8;32.0;14.4;57.3;30.6;11.5;5.4;8.9;23.3;3.7;4.6;3.2;;25479.1;20062.9;5416.2;5358.7;4044.0;461.3;276.6;89.9;47.1;143.2;89.0;36.5;15.3;46.9;109.0;16.8;27.2;7.8;
80;The Netherlands;2002 October;780.7;602.9;177.7;176.3;148.7;17.1;4.8;2.2;;;;;;;;;;;;3894.3;2870.3;1024.0;1019.9;883.1;80.7;23.8;9.7;;;;;;;;;;;
81;The Netherlands;2002 November;477.3;403.3;74.0;73.7;37.1;31.9;1.8;1.1;;;;;;;;;;;;1862.3;1543.9;318.4;316.9;167.5;117.6;10.0;4.7;;;;;;;;;;;
82;The Netherlands;2002 December;365.0;327.0;38.0;37.6;22.6;11.1;;;;;;;;;;;;;;1647.3;1445.7;201.7;199.0;125.2;45.5;;;;;;;;;;;;;
83;The Netherlands;2002 4th Quarter;1622.9;1333.2;289.7;287.6;208.3;60.1;7.6;3.9;;1.8;;;;1.5;2.2;;;;;7403.9;5859.9;1544.0;1535.7;1175.8;243.7;40.3;18.5;;4.7;;;;13.0;28.4;;;;
84;The Netherlands;2002 Total;10216.4;8053.9;2162.5;2142.0;1507.5;263.6;107.6;62.4;20.6;68.6;33.9;17.5;7.8;16.6;36.0;8.2;6.1;5.1;1.1;53856.9;42410.7;11446.2;11346.4;8679.3;1174.3;527.0;204.7;74.0;184.0;105.8;59.4;23.6;92.2;222.1;39.7;36.0;14.6;9.5
85;The Netherlands;2003 January;329.7;266.5;63.3;63.0;48.8;8.9;;;;;;;;;1.7;;;;;1484.8;1153.6;331.3;328.1;240.0;37.0;;;;;;;;;23.0;;;;
86;The Netherlands;2003 February;379.5;324.5;55.0;54.6;38.9;10.9;1.6;1.9;;;;;;;;;;;;1536.1;1307.6;228.5;226.1;149.4;39.2;9.7;9.0;;;;;;;;;;;
87;The Netherlands;2003 March;481.8;390.8;91.1;90.7;64.1;20.8;1.4;2.2;;;;;;;;;;;;1913.5;1530.8;382.7;380.8;263.5;79.6;10.7;7.7;;;;;;;;;;;
88;The Netherlands;2003 1st Quarter;1191.0;981.7;209.4;208.3;151.8;40.7;3.9;5.1;;;;;;1.7;3.1;;;;;4934.4;3992.0;942.5;935.1;652.8;155.8;27.0;25.5;;;;;;17.1;46.8;;;;
89;The Netherlands;2003 April;998.4;713.4;285.1;284.2;202.2;45.9;11.3;8.8;1.2;4.3;;1.9;1.8;4.0;2.4;;;;;4078.7;2756.0;1322.7;1317.6;987.9;188.7;50.7;26.6;3.9;11.4;;6.3;4.0;19.7;17.0;;;;
90;The Netherlands;2003 May;1194.3;1001.7;192.7;190.9;138.8;23.2;12.3;7.2;;1.7;;1.0;;1.3;3.7;1.0;;;;4920.2;4114.1;806.1;797.5;585.6;81.3;66.7;22.4;;3.9;;2.6;;5.4;23.3;6.0;;;
91;The Netherlands;2003 June;1503.6;1180.6;323.1;321.0;258.8;30.2;7.1;7.0;1.0;4.1;1.7;3.2;2.3;2.0;3.7;;;;;7261.5;5735.1;1526.4;1517.1;1246.4;137.9;30.6;27.7;4.0;17.2;7.4;11.2;10.1;8.8;15.8;;;;
92;The Netherlands;2003 2nd Quarter;3696.4;2895.6;800.8;796.1;599.7;99.3;30.7;23.0;2.9;10.2;2.7;6.1;4.5;7.3;9.8;2.4;;1.5;;16260.4;12605.2;3655.3;3632.2;2819.9;407.9;148.0;76.8;10.4;32.5;11.5;20.1;15.0;33.9;56.1;14.2;;4.2;
93;The Netherlands;2003 July;1413.6;1126.8;286.8;279.8;157.7;32.7;21.2;18.0;6.4;9.8;3.8;9.9;6.1;4.9;9.3;2.7;1.0;3.0;;9238.6;7771.1;1467.5;1433.7;893.4;164.9;108.7;61.6;28.6;35.9;14.6;37.7;22.2;27.2;38.7;11.9;6.4;13.6;
94;The Netherlands;2003 August;1807.0;1315.9;491.1;486.9;304.5;54.8;21.1;22.6;2.8;36.9;25.4;4.3;1.9;5.4;7.1;1.1;1.8;1.2;;12138.1;9265.7;2872.4;2848.4;2122.9;247.3;126.8;65.4;13.5;107.7;81.6;21.7;7.1;21.3;33.2;5.3;14.9;3.0;
95;The Netherlands;2003 September;930.6;741.5;189.1;186.5;145.7;17.2;7.9;3.7;1.2;3.1;2.7;;;1.2;2.7;;;1.3;;4362.6;3150.2;1212.4;1201.8;1012.8;74.6;38.3;13.3;5.9;12.1;12.8;;;6.4;21.2;;;4.0;
96;The Netherlands;2003 3rd Quarter;4151.2;3184.2;967.0;953.1;607.9;104.7;50.2;44.3;10.5;49.8;31.9;15.1;8.3;11.4;19.1;4.6;3.2;5.5;;25739.3;20187.1;5552.2;5483.9;4029.1;486.8;273.8;140.3;48.0;155.7;109.0;62.9;30.2;55.0;93.1;20.9;23.1;20.6;
97;The Netherlands;2003 October;784.1;616.0;168.1;165.8;129.3;26.1;4.3;2.0;;;;;;;1.6;;1.3;;;3617.9;2718.8;899.1;889.2;720.7;112.9;21.3;8.7;;;;;;;11.5;;5.3;;
98;The Netherlands;2003 November;420.9;355.8;65.0;64.8;34.6;27.1;;;;;;;;;;;;;;1654.4;1370.4;284.0;282.7;166.2;93.5;;;;;;;;;;;;;
99;The Netherlands;2003 December;388.8;349.0;39.8;39.6;19.9;16.4;1.5;;;;;;;;;;;;;1817.2;1607.1;210.1;208.3;117.8;60.5;10.6;;;;;;;;;;;;
100;The Netherlands;2003 4th Quarter;1593.8;1320.9;272.9;270.3;183.8;69.6;6.5;3.0;;1.1;;;;1.2;3.2;;1.3;;;7089.5;5696.2;1393.2;1380.3;1004.8;266.9;37.2;13.7;;4.1;;;;14.3;29.3;;5.5;;
101;The Netherlands;2003 Total;10632.4;8382.3;2250.1;2227.7;1543.2;314.3;91.4;75.3;14.4;62.0;35.2;22.2;13.0;21.6;35.2;7.9;5.4;7.9;1.2;54023.7;42480.5;11543.2;11431.5;8506.6;1317.4;486.1;256.3;65.0;197.1;123.9;87.4;46.0;120.3;225.3;44.1;34.2;28.0;5.4
