ID;Perioden;TotaalVakanties_1;VakantiesInNederland_2;VakantiesInHetBuitenland_3;TotaalEuropa_4;Winterperiode_5;Zomerperiode_6;TotaalBelgieLuxemburg_7;Winterperiode_8;Zomerperiode_9;TotaalFrankrijk_10;Winterperiode_11;Zomerperiode_12;TotaalSpanje_13;Winterperiode_14;Zomerperiode_15;TotaalPortugal_16;Winterperiode_17;Zomerperiode_18;TotaalOostenrijk_19;Winterperiode_20;Zomerperiode_21;TotaalZwitserland_22;Winterperiode_23;Zomerperiode_24;TotaalGrootBrittannie_25;Winterperiode_26;Zomerperiode_27;TotaalNoorwegenZwedenFinland_28;Winterperiode_29;Zomerperiode_30;TotaalDenemarken_31;Winterperiode_32;Zomerperiode_33;TotaalBondsrepubliekDuitsland_34;Winterperiode_35;Zomerperiode_36;TotaalItalie_37;Winterperiode_38;Zomerperiode_39;TotaalGriekenland_40;Winterperiode_41;Zomerperiode_42;TotaalVoormaligJoegoslavie_43;Winterperiode_44;Zomerperiode_45;TotaalHongarije_46;Winterperiode_47;Zomerperiode_48;TotaalTsjechieSlowakije_49;Winterperiode_50;Zomerperiode_51;TotaalTurkijeInclAziatischDeel_52;Winterperiode_53;Zomerperiode_54;TotaalOverigeLandenInEuropa_55;Winterperiode_56;Zomerperiode_57;TotaalBuitenEuropa_58;Winterperiode_59;Zomerperiode_60;TotaalVerenigdeStatenVanAmerika_61;Winterperiode_62;Zomerperiode_63;TotaalOverigeLandenBuitenEuropa_64;Winterperiode_65;Zomerperiode_66;TotaalUitgavenAanVakanties_67;UitgavenAanBinnenlandseVakanties_68;UitgavenAanBuitenlandseVakanties_69
16;1985;14.1;7.1;7.1;6917.0;1857.0;5060.0;711;175;536;1344;187;1157;925;246;679;86.0;7.0;79.0;1072;550;522;378;221;157;210;57;153;76;3;73;78;12;66;1072;270;802;367;53;314;242;37;205;248;16;232;23.0;3.0;20.0;3.0;3.0;0.0;11.0;0.0;11.0;71.0;17.0;54.0;173.0;90.0;83.0;32.0;24.0;8.0;141.0;66.0;75.0;4.3;1.0;3.3
17;1986;14.4;7.3;7.1;6930.0;1954.0;4976.0;703;224;479;1461;175;1286;936;247;689;65.0;14.0;51.0;1007;557;450;311;132;179;152;45;107;88;6;82;92;6;86;1125;357;768;368;61;307;268;54;214;268;36;232;28.0;9.0;19.0;5.0;5.0;0.0;26.0;8.0;18.0;27.0;18.0;9.0;207.0;117.0;90.0;36.0;18.0;18.0;171.0;99.0;72.0;4.4;1.1;3.3
18;1987;14.9;7.0;7.8;7623.0;2060.0;5563.0;684;172;512;1419;164;1255;972;264;708;124.0;12.0;112.0;1080;528;552;236;88;148;212;72;140;88;4;84;92;16;76;1532;520;1012;332;44;288;308;60;248;304;48;256;88.0;24.0;64.0;20.0;16.0;4.0;28.0;4.0;24.0;104.0;24.0;80.0;404.0;120.0;284.0;96.0;24.0;72.0;308.0;96.0;212.0;4.6;1.0;3.6
19;1988;15.4;6.6;8.8;8544.0;2280.0;6264.0;812;227;585;1586;185;1401;1106;302;804;158.0;26.0;132.0;1204;638;566;374;159;215;256;60;196;91;0;91;136;11;125;1337;385;952;408;76;332;366;83;283;374;57;317;117.0;11.0;106.0;34.0;15.0;19.0;72.0;15.0;57.0;113.0;30.0;83.0;357.0;186.0;171.0;113.0;53.0;60.0;244.0;133.0;111.0;5.1;0.9;4.1
20;1989;16.5;7.1;9.4;9108.0;2462.0;6646.0;971;303;668;1835;271;1564;946;249;697;235.0;65.0;170.0;1199;672;527;354;155;199;264;72;192;104;14;90;83;0;83;1532;380;1152;429;79;350;376;61;315;311;29;282;206.0;36.0;170.0;62.0;33.0;29.0;104.0;14.0;90.0;97.0;29.0;68.0;386.0;182.0;204.0;94.0;36.0;58.0;292.0;146.0;146.0;5.4;1.0;4.4
21;1990;16.4;7.5;8.9;8506.0;2438.0;6068.0;930;269;661;1991;301;1690;764;265;499;159.0;36.0;123.0;1120;645;475;376;158;218;241;63;178;91;20;71;95;4;91;1283;388;895;336;75;261;411;55;356;261;20;241;135.0;28.0;107.0;48.0;20.0;28.0;107.0;12.0;95.0;158.0;79.0;79.0;476.0;175.0;301.0;111.0;44.0;67.0;365.0;131.0;234.0;5.7;1.1;4.6
22;1991;16.8;7.4;9.4;8894.0;2516.0;6378.0;794;204;590;1970;263;1707;760;216;544;247.0;87.0;160.0;1215;671;544;389;185;204;358;96;262;139;16;123;127;15;112;1523;482;1041;397;81;316;378;46;332;15;3;12;189.0;12.0;177.0;189.0;72.0;117.0;50.0;8.0;42.0;154.0;59.0;95.0;463.0;185.0;278.0;139.0;54.0;85.0;324.0;131.0;193.0;6.0;1.1;4.9
23;1992;16.5;7.1;9.4;8652.0;2705.0;5947.0;840;225;615;2014;372;1642;752;229;523;136.0;39.0;97.0;1131;674;457;395;163;232;271;93;178;143;8;135;205;31;174;1271;423;848;337;77;260;395;89;306;8;0;8;89.0;35.0;54.0;267.0;104.0;163.0;217.0;74.0;143.0;181.0;69.0;112.0;729.0;374.0;355.0;194.0;72.0;122.0;535.0;302.0;233.0;6.5;1.1;5.3
24;1993;17.5;7.5;10.0;9340.0;2858.0;6482.0;968;343;625;2200;306;1894;895;319;576;122.0;65.0;57.0;1102;689;413;476;185;291;398;101;297;142;12;130;122;24;98;1163;411;752;378;73;305;443;72;371;20;4;16;150.0;24.0;126.0;297.0;134.0;163.0;179.0;16.0;163.0;285.0;80.0;205.0;682.0;250.0;432.0;211.0;62.0;149.0;471.0;188.0;283.0;6.9;1.2;5.7
25;1994;18.0;7.2;10.8;9853.0;2741.0;7111.0;918;198;721;2319;305;2014;1317;411;906;246.0;85.0;161.0;1123;727;396;337;150;186;483;137;346;186;35;152;155;19;136;1118;337;780;444;90;355;459;110;349;44;8;37;111.0;12.0;99.0;284.0;51.0;233.0;86.0;9.0;76.0;223.0;57.0;164.0;921.0;422.0;499.0;234.0;59.0;174.0;687.0;363.0;325.0;7.5;1.2;6.3
26;1995;17.9;7.8;10.1;9111.0;2766.0;6325.0;840;223;597;1958;383;1575;1146;432;714;217.0;81.0;136.0;1058;683;374;344;133;211;546;148;398;147;22;125;153;8;145;927;304;623;468;77;391;490;54;436;53;12;41;88.0;8.0;80.0;339.0;97.0;242.0;110.0;20.0;90.0;227.0;81.0;147.0;1041.0;461.0;580.0;230.0;69.0;160.0;811.0;392.0;420.0;7.5;1.3;6.2
27;1996;18.6;8.2;10.4;9321.0;2791.0;6529.0;907;219;688;1910;384;1526;1234;485;749;231.0;63.0;167.0;898;564;334;356;160;196;545;143;402;139;18;122;184;8;176;1144;425;719;456;47;409;367;35;332;36;7;28;122.0;8.0;114.0;306.0;78.0;229.0;198.0;67.0;131.0;288.0;80.0;207.0;1053.0;535.0;517.0;210.0;98.0;112.0;843.0;437.0;405.0;7.5;1.3;6.2
28;1997;18.1;7.6;10.5;9408.0;2834.0;6577.0;802;246;557;2018;419;1599;1401;504;896;243.0;67.0;176.0;844;519;325;314;144;170;544;143;401;206;18;188;151;20;132;1108;368;740;604;127;477;376;64;312;68;12;57;67.0;7.0;60.0;196.0;49.0;147.0;186.0;39.0;147.0;280.0;88.0;193.0;1092.0;559.0;533.0;198.0;80.0;118.0;894.0;479.0;415.0;7.9;1.3;6.6
29;1998;19.0;7.7;11.3;10054.0;3214.0;6839.0;912;264;647;2098;482;1617;1513;564;948;271.0;86.0;185.0;958;546;412;344;159;185;426;123;303;185;15;170;174;50;124;1110;410;700;597;156;441;508;77;432;111;23;88;119.0;21.0;98.0;209.0;74.0;135.0;225.0;64.0;162.0;294.0;100.0;192.0;1253.0;607.0;647.0;334.0;134.0;200.0;919.0;473.0;447.0;8.7;1.3;7.4
30;1999;19.3;7.6;11.7;10461.0;3271.0;7191.0;893;274;620;2270;466;1804;1582;579;1003;263.0;70.0;193.0;1050;674;376;383;152;231;344;91;253;204;35;169;168;30;138;1210;417;793;598;129;469;593;117;476;57;6;52;179.0;38.0;140.0;247.0;104.0;143.0;192.0;62.0;130.0;228.0;27.0;201.0;1243.0;594.0;648.0;220.0;94.0;126.0;1023.0;500.0;522.0;9.1;1.4;7.7
31;2000;19.0;7.5;11.5;10254.0;3058.0;7200.0;913;279;635;2226;417;1808;1416;549;867;287.0;85.0;203.0;898;562;336;322;143;180;347;114;233;207;37;171;130;7;123;1258;376;883;608;115;493;582;94;487;87;5;82;119.0;12.0;108.0;216.0;61.0;155.0;374.0;152.0;223.0;264.0;50.0;213.0;1251.0;653.0;599.0;250.0;114.0;136.0;1001.0;539.0;463.0;9.3;1.5;7.8
32;2001;19.8;8.1;11.8;10622.0;3221.0;7401.0;905;246;659;2169;452;1717;1610;577;1033;271.0;90.0;181.0;995;601;394;334;166;168;235;79;156;225;28;197;141;15;126;1232;403;829;649;113;536;570;91;479;90;7;83;104.0;17.0;87.0;298.0;111.0;187.0;522.0;185.0;337.0;272.0;40.0;232.0;1164.0;645.0;519.0;205.0;88.0;117.0;959.0;557.0;402.0;9.7;1.6;8.1
33;2002;22.4;9.2;13.2;11641.0;3831.0;7810.0;1203;353;850;2647;569;2078;1641;601;1040;236.0;90.0;146.0;1031;662;369;393;210;183;456;204;252;221;51;170;168;42;126;1507;544;963;764;171;593;561;80;481;98;14;84;87.0;19.0;68.0;319.0;119.0;200.0;612.0;162.0;450.0;266.0;82.0;184.0;1532.0;791.0;741.0;229.0;123.0;106.0;734.0;526.0;208.0;10.8;1.9;8.9
34;2003;22.0;9.0;13.0;11183.0;3623.0;7560.0;1201;339;862;2316;509;1807;1600;603;997;277.0;122.0;156.0;1080;674;405;355;196;159;394;174;220;224;48;176;165;30;135;1488;506;982;715;132;584;526;77;449;148;4;144;93.0;13.0;80.0;313.0;102.0;211.0;707.0;225.0;482.0;269.0;85.0;184.0;1824.0;871.0;953.0;236.0;116.0;120.0;900.0;540.0;360.0;10.8;1.8;9.0
35;2004;22.7;9.1;13.6;12226.0;4338.0;7889.0;1228;475;753;2283;656;1628;1477;594;883;262.0;118.0;144.0;1059;626;433;370;164;206;428;185;242;267;48;219;186;40;146;1664;623;1041;697;137;560;518;103;415;132;21;111;125.0;34.0;91.0;384.0;120.0;263.0;819.0;314.0;505.0;322.0;74.0;248.0;1384.0;834.0;551.0;273.0;123.0;150.0;1111.0;711.0;400.0;11.1;1.7;9.4
36;2005;22.2;8.5;13.8;12261.0;4146.0;8114.0;1173;397;776;2169;523;1646;1574;626;948;261.0;85.0;176.0;995;649;346;345;194;151;387;178;208;302;81;221;181;27;154;1610;598;1012;698;166;532;543;70;473;201;23;178;107.0;30.0;77.0;395.0;123.0;272.0;965.0;301.0;664.0;355.0;75.0;281.0;1534.0;847.0;687.0;287.0;124.0;163.0;1247.0;723.0;524.0;11.2;1.7;9.6
37;2006;22.4;8.8;13.5;11864.0;3736.0;8128.0;1039;326;712;2192;454;1738;1454;525;929;225.0;74.0;151.0;1122;655;468;335;150;185;364;137;228;279;74;205;174;36;138;1634;585;1049;824;149;675;642;104;538;146;9;137;116.0;28.0;87.0;337.0;123.0;214.0;634.0;218.0;417.0;348.0;90.0;258.0;1659.0;895.0;764.0;327.0;166.0;162.0;1332.0;729.0;603.0;11.5;1.7;9.7
38;2007;22.4;8.5;13.9;12229.0;3957.0;8273.0;1055;341;714;2094;475;1619;1513;569;944;250.0;76.0;174.0;1127;689;438;362;140;223;357;160;197;328;67;261;191;29;162;1738;675;1063;884;172;712;731;107;624;148;12;136;111.0;27.0;84.0;326.0;139.0;187.0;640.0;187.0;453.0;371.0;91.0;280.0;1664.0;939.0;725.0;309.0;148.0;161.0;1355.0;791.0;564.0;12.1;1.8;10.3
39;2008;23.6;8.5;15.1;13196.0;4067.0;9129.0;1056;361;694;2373;572;1800;1732;597;1135;301.0;107.0;193.0;1069;610;458;335;145;190;365;136;228;320;88;232;200;32;168;1878;629;1249;947;162;785;729;114;616;208;21;187;115.0;33.0;83.0;392.0;144.0;248.0;759.0;181.0;578.0;417.0;134.0;283.0;1899.0;987.0;912.0;376.0;147.0;229.0;1523.0;840.0;683.0;13.5;1.8;11.8
40;2009;23.3;8.7;14.6;12794.0;4610.0;8184.0;1018;391;627;2290;649;1641;1456;552;904;328.0;146.0;182.0;1181;669;512;323;186;137;427;170;257;362;111;251;180;64;116;2060;843;1217;919;194;726;625;106;519;197;33;164;100.0;27.0;72.0;301.0;119.0;181.0;670.0;228.0;442.0;358.0;121.0;237.0;1798.0;1033.0;765.0;400.0;184.0;216.0;1398.0;849.0;549.0;13.2;1.8;11.4
41;2010;23.3;8.5;14.8;12791.0;4196.0;8595.0;983;352;631;2322;585;1737;1498;599;899;305.0;116.0;188.0;1130;645;485;279;130;149;475;203;273;297;81;216;165;45;120;2101;680;1420;914;176;738;613;78;535;194;9;184;131.0;46.0;85.0;220.0;80.0;140.0;800.0;245.0;555.0;365.0;125.0;240.0;2016.0;1075.0;940.0;431.0;194.0;237.0;1585.0;881.0;703.0;13.2;1.8;11.4
42;2011;23.1;8.3;14.9;12948.0;4073.0;8876.0;966;311;655;2452;525;1927;1648;639;1009;305.0;98.0;208.0;1153;710;443;257;144;112;484;185;299;284;61;223;156;36;120;2074;647;1427;910;159;751;588;49;539;191;14;177;139.0;36.0;103.0;182.0;78.0;104.0;806.0;274.0;532.0;352.0;105.0;246.0;1910.0;1042.0;868.0;370.0;147.0;223.0;1540.0;895.0;646.0;13.4;1.8;11.6
43;2012;22.9;8.0;14.8;12920.0;4204.0;8717.0;887;281;606;2266;485;1781;1679;676;1003;415.0;148.0;267.0;1195;691;504;261;141;120;462;200;262;274;44;231;171;35;136;2082;762;1321;936;232;704;637;81;556;223;9;214;134.0;33.0;101.0;179.0;64.0;116.0;791.0;230.0;561.0;327.0;94.0;234.0;1923.0;958.0;966.0;463.0;162.0;301.0;1461.0;796.0;665.0;13.7;1.8;12.0
44;2013;22.8;8.3;14.4;12732.0;4225.0;8508.0;913;316;598;2239;556;1683;1629;608;1022;389.0;131.0;258.0;1136;674;462;222;96;126;522;207;314;273;65;208;156;58;98;1903;702;1201;1035;244;791;580;88;491;220;25;195;114.0;38.0;76.0;231.0;81.0;150.0;819.0;222.0;597.0;351.0;113.0;239.0;1715.0;1001.0;715.0;386.0;155.0;231.0;1330.0;846.0;484.0;13.5;1.8;11.7
45;2014;22.1;7.7;14.4;12637.0;3809.0;8828.0;729;219;510;2105;377;1728;1720;722;997;429.0;167.0;262.0;1085;604;481;239;108;131;518;185;334;278;79;198;148;21;127;2106;606;1499;981;222;759;719;77;642;241;18;224;109.0;39.0;70.0;161.0;60.0;101.0;761.0;207.0;555.0;307.0;98.0;209.0;1786.0;1004.0;781.0;378.0;129.0;248.0;1408.0;875.0;533.0;13.5;1.8;11.7
46;2015;22.3;7.9;14.4;12584.0;3754.0;8830.0;699;192;506;2189;412;1777;1854;706;1149;362.0;124.0;237.0;1091;574;518;255;158;98;520;171;349;314;69;245;111;8;104;1963;672;1291;958;214;744;691;92;599;231;13;219;103.0;22.0;81.0;149.0;40.0;109.0;689.0;156.0;533.0;404.0;132.0;272.0;1808.0;902.0;907.0;386.0;139.0;247.0;1423.0;763.0;660.0;14.0;1.9;12.1
47;2016;22.4;8.1;14.3;12679.0;4298.0;8380.0;730;252;478;2155;532;1623;2055;813;1242;464.0;173.0;291.0;1064;607;457;211;116;95;493;188;305;288;82;206;185;55;130;2075;743;1333;1069;220;849;507;66;441;243;21;222;104.0;35.0;69.0;187.0;75.0;112.0;483.0;190.0;293.0;366.0;130.0;235.0;1657.0;928.0;729.0;413.0;184.0;229.0;1243.0;744.0;499.0;13.6;1.9;11.7
