ID;Destination;Periods;ValueAtCurrentPrices_1;ValueAtPricesOf2021_2;VolumeChangesOnPreviousYear_3;PriceIndices_4
87;02 Forestry and logging;1995;2.0;2.0;;117.8
88;02 Forestry and logging;1996;2.0;2.0;0.0;117.8
89;02 Forestry and logging;1997;3.0;3.0;50.0;117.8
90;02 Forestry and logging;1998;5.0;4.0;66.7;117.8
91;02 Forestry and logging;1999;8.0;7.0;60.0;117.8
92;02 Forestry and logging;2000;7.0;6.0;-12.5;117.8
93;02 Forestry and logging;2001;17.0;14.0;142.9;117.8
94;02 Forestry and logging;2002;13.0;12.0;-17.6;109.4
95;02 Forestry and logging;2003;7.0;7.0;-38.5;95.7
96;02 Forestry and logging;2004;9.0;10.0;42.9;86.1
97;02 Forestry and logging;2005;10.0;12.0;11.1;86.1
98;02 Forestry and logging;2006;11.0;13.0;10.0;86.1
99;02 Forestry and logging;2007;9.0;10.0;-18.2;86.1
100;02 Forestry and logging;2008;11.0;13.0;22.2;86.1
101;02 Forestry and logging;2009;15.0;17.0;36.4;86.1
102;02 Forestry and logging;2010;11.0;13.0;-26.7;86.1
103;02 Forestry and logging;2011;9.0;10.0;-18.2;86.1
104;02 Forestry and logging;2012;11.0;12.0;11.1;94.7
105;02 Forestry and logging;2013;9.0;10.0;-18.2;94.7
106;02 Forestry and logging;2014;5.0;5.0;-44.4;94.7
107;02 Forestry and logging;2015;14.0;15.0;180.0;94.7
108;02 Forestry and logging;2016;17.0;18.0;21.4;94.7
109;02 Forestry and logging;2017;19.0;20.0;11.8;94.7
110;02 Forestry and logging;2018;18.0;19.0;-5.3;94.7
111;02 Forestry and logging;2019;17.0;18.0;-5.6;94.7
112;02 Forestry and logging;2020;19.0;20.0;11.8;94.7
113;02 Forestry and logging;2021;19.0;19.0;-5.3;100.0
114;02 Forestry and logging;2022;18.0;17.0;-10.5;105.9
115;02 Forestry and logging;2023;;;;
116;03 Fishing and aquaculture;1995;43.0;66.0;;64.8
117;03 Fishing and aquaculture;1996;43.0;65.0;-2.3;66.3
118;03 Fishing and aquaculture;1997;34.0;51.0;-20.9;66.3
119;03 Fishing and aquaculture;1998;61.0;87.0;70.6;69.7
120;03 Fishing and aquaculture;1999;70.0;96.0;9.8;72.9
121;03 Fishing and aquaculture;2000;108.0;145.0;51.4;74.2
122;03 Fishing and aquaculture;2001;58.0;77.0;-47.2;75.5
123;03 Fishing and aquaculture;2002;82.0;102.0;32.8;80.4
124;03 Fishing and aquaculture;2003;54.0;68.0;-32.9;79.0
125;03 Fishing and aquaculture;2004;36.0;46.0;-33.3;79.0
126;03 Fishing and aquaculture;2005;26.0;32.0;-30.6;82.1
127;03 Fishing and aquaculture;2006;42.0;51.0;61.5;82.1
128;03 Fishing and aquaculture;2007;47.0;55.0;7.1;85.8
129;03 Fishing and aquaculture;2008;38.0;44.0;-19.1;85.8
130;03 Fishing and aquaculture;2009;73.0;80.0;81.6;90.8
131;03 Fishing and aquaculture;2010;29.0;31.0;-61.6;94.0
132;03 Fishing and aquaculture;2011;32.0;33.0;6.9;97.0
133;03 Fishing and aquaculture;2012;80.0;81.0;146.9;98.3
134;03 Fishing and aquaculture;2013;73.0;75.0;-7.5;96.9
135;03 Fishing and aquaculture;2014;69.0;70.0;-6.8;98.4
136;03 Fishing and aquaculture;2015;61.0;62.0;-11.6;98.4
137;03 Fishing and aquaculture;2016;57.0;59.0;-4.9;96.7
138;03 Fishing and aquaculture;2017;58.0;61.0;3.5;95.0
139;03 Fishing and aquaculture;2018;59.0;63.0;3.4;93.5
140;03 Fishing and aquaculture;2019;41.0;42.0;-33.9;98.2
141;03 Fishing and aquaculture;2020;43.0;44.0;4.9;98.2
142;03 Fishing and aquaculture;2021;57.0;57.0;30.2;100.0
143;03 Fishing and aquaculture;2022;99.0;96.0;68.4;103.1
144;03 Fishing and aquaculture;2023;;;;
145;B-E Industry (no construction), energy;1995;14083.0;19417.0;;72.5
146;B-E Industry (no construction), energy;1996;14658.0;20205.0;4.1;72.5
147;B-E Industry (no construction), energy;1997;15387.0;20992.0;3.9;73.3
148;B-E Industry (no construction), energy;1998;15217.0;20768.0;-1.1;73.3
149;B-E Industry (no construction), energy;1999;15294.0;20812.0;0.2;73.5
150;B-E Industry (no construction), energy;2000;15674.0;20876.0;0.3;75.1
151;B-E Industry (no construction), energy;2001;15770.0;20599.0;-1.3;76.6
152;B-E Industry (no construction), energy;2002;15780.0;20225.0;-1.8;78.0
153;B-E Industry (no construction), energy;2003;15555.0;19875.0;-1.7;78.3
154;B-E Industry (no construction), energy;2004;15019.0;19070.0;-4.1;78.8
155;B-E Industry (no construction), energy;2005;15827.0;19934.0;4.5;79.4
156;B-E Industry (no construction), energy;2006;17445.0;21619.0;8.5;80.7
157;B-E Industry (no construction), energy;2007;18595.0;22633.0;4.7;82.2
158;B-E Industry (no construction), energy;2008;20271.0;24031.0;6.2;84.4
159;B-E Industry (no construction), energy;2009;19117.0;22441.0;-6.6;85.2
160;B-E Industry (no construction), energy;2010;19105.0;22147.0;-1.3;86.3
161;B-E Industry (no construction), energy;2011;22186.0;25482.0;15.1;87.1
162;B-E Industry (no construction), energy;2012;22243.0;25216.0;-1.0;88.2
163;B-E Industry (no construction), energy;2013;21430.0;24182.0;-4.1;88.6
164;B-E Industry (no construction), energy;2014;23698.0;26589.0;10.0;89.1
165;B-E Industry (no construction), energy;2015;23556.0;25943.0;-2.4;90.8
166;B-E Industry (no construction), energy;2016;24718.0;27148.0;4.6;91.0
167;B-E Industry (no construction), energy;2017;23545.0;25644.0;-5.5;91.8
168;B-E Industry (no construction), energy;2018;26125.0;27888.0;8.7;93.7
169;B-E Industry (no construction), energy;2019;27590.0;28835.0;3.4;95.7
170;B-E Industry (no construction), energy;2020;26218.0;27126.0;-5.9;96.7
171;B-E Industry (no construction), energy;2021;26403.0;26403.0;-2.7;100.0
172;B-E Industry (no construction), energy;2022;31211.0;29017.0;9.9;107.6
173;B-E Industry (no construction), energy;2023;33150.0;29422.0;1.4;112.7
174;B Mining and quarrying ;1995;1269.0;1756.0;;72.2
175;B Mining and quarrying ;1996;1381.0;1917.0;9.1;72.0
176;B Mining and quarrying ;1997;1885.0;2592.0;35.2;72.7
177;B Mining and quarrying ;1998;1586.0;2159.0;-16.7;73.5
178;B Mining and quarrying ;1999;1359.0;1848.0;-14.4;73.5
179;B Mining and quarrying ;2000;1323.0;1759.0;-4.9;75.2
180;B Mining and quarrying ;2001;1901.0;2452.0;39.5;77.5
181;B Mining and quarrying ;2002;1931.0;2421.0;-1.3;79.7
182;B Mining and quarrying ;2003;1889.0;2360.0;-2.5;80.0
183;B Mining and quarrying ;2004;1554.0;1958.0;-17.0;79.4
184;B Mining and quarrying ;2005;1948.0;2457.0;25.5;79.3
185;B Mining and quarrying ;2006;2263.0;2805.0;14.2;80.7
186;B Mining and quarrying ;2007;2033.0;2482.0;-11.5;81.9
187;B Mining and quarrying ;2008;2726.0;3216.0;29.6;84.8
188;B Mining and quarrying ;2009;2443.0;2886.0;-10.3;84.7
189;B Mining and quarrying ;2010;2347.0;2698.0;-6.5;87.0
190;B Mining and quarrying ;2011;3223.0;3626.0;34.4;88.9
191;B Mining and quarrying ;2012;2850.0;3146.0;-13.2;90.6
192;B Mining and quarrying ;2013;2575.0;2804.0;-10.9;91.8
193;B Mining and quarrying ;2014;3270.0;3518.0;25.4;93.0
194;B Mining and quarrying ;2015;2642.0;2845.0;-19.1;92.9
195;B Mining and quarrying ;2016;2273.0;2449.0;-13.9;92.8
196;B Mining and quarrying ;2017;1760.0;1906.0;-22.2;92.3
197;B Mining and quarrying ;2018;910.0;961.0;-49.6;94.7
198;B Mining and quarrying ;2019;2142.0;2230.0;132.2;96.0
199;B Mining and quarrying ;2020;561.0;582.0;-73.9;96.4
200;B Mining and quarrying ;2021;857.0;857.0;47.2;100.0
201;B Mining and quarrying ;2022;989.0;915.0;6.8;108.1
202;B Mining and quarrying ;2023;1017.0;905.0;-1.1;112.4
203;06 Extraction of crude petroleum and gas;1995;;;;
204;06 Extraction of crude petroleum and gas;1996;;;;
205;06 Extraction of crude petroleum and gas;1997;;;;
206;06 Extraction of crude petroleum and gas;1998;;;;
207;06 Extraction of crude petroleum and gas;1999;;;;
208;06 Extraction of crude petroleum and gas;2000;;;;
209;06 Extraction of crude petroleum and gas;2001;;;;
210;06 Extraction of crude petroleum and gas;2002;;;;
211;06 Extraction of crude petroleum and gas;2003;;;;
212;06 Extraction of crude petroleum and gas;2004;;;;
213;06 Extraction of crude petroleum and gas;2005;;;;
214;06 Extraction of crude petroleum and gas;2006;;;;
215;06 Extraction of crude petroleum and gas;2007;;;;
216;06 Extraction of crude petroleum and gas;2008;;;;
217;06 Extraction of crude petroleum and gas;2009;;;;
218;06 Extraction of crude petroleum and gas;2010;;;;
219;06 Extraction of crude petroleum and gas;2011;;;;
220;06 Extraction of crude petroleum and gas;2012;;;;
221;06 Extraction of crude petroleum and gas;2013;;;;
222;06 Extraction of crude petroleum and gas;2014;;;;
223;06 Extraction of crude petroleum and gas;2015;2584.0;2797.0;;92.4
224;06 Extraction of crude petroleum and gas;2016;2209.0;2392.0;-14.5;92.3
225;06 Extraction of crude petroleum and gas;2017;1668.0;1817.0;-24.0;91.8
226;06 Extraction of crude petroleum and gas;2018;823.0;870.0;-52.1;94.6
227;06 Extraction of crude petroleum and gas;2019;2091.0;2181.0;150.5;95.9
228;06 Extraction of crude petroleum and gas;2020;491.0;511.0;-76.6;96.1
229;06 Extraction of crude petroleum and gas;2021;739.0;739.0;44.6;100.0
230;06 Extraction of crude petroleum and gas;2022;905.0;834.0;12.9;108.5
231;06 Extraction of crude petroleum and gas;2023;;;;
232;08 Mining and quarrying (no oil and gas);1995;;;;
233;08 Mining and quarrying (no oil and gas);1996;;;;
234;08 Mining and quarrying (no oil and gas);1997;;;;
235;08 Mining and quarrying (no oil and gas);1998;;;;
236;08 Mining and quarrying (no oil and gas);1999;;;;
237;08 Mining and quarrying (no oil and gas);2000;;;;
238;08 Mining and quarrying (no oil and gas);2001;;;;
239;08 Mining and quarrying (no oil and gas);2002;;;;
240;08 Mining and quarrying (no oil and gas);2003;;;;
241;08 Mining and quarrying (no oil and gas);2004;;;;
242;08 Mining and quarrying (no oil and gas);2005;;;;
243;08 Mining and quarrying (no oil and gas);2006;;;;
244;08 Mining and quarrying (no oil and gas);2007;;;;
245;08 Mining and quarrying (no oil and gas);2008;;;;
246;08 Mining and quarrying (no oil and gas);2009;;;;
247;08 Mining and quarrying (no oil and gas);2010;;;;
248;08 Mining and quarrying (no oil and gas);2011;;;;
249;08 Mining and quarrying (no oil and gas);2012;;;;
250;08 Mining and quarrying (no oil and gas);2013;;;;
251;08 Mining and quarrying (no oil and gas);2014;;;;
252;08 Mining and quarrying (no oil and gas);2015;58.0;60.0;;96.9
253;08 Mining and quarrying (no oil and gas);2016;64.0;66.0;10.3;96.9
254;08 Mining and quarrying (no oil and gas);2017;92.0;94.0;42.2;98.0
255;08 Mining and quarrying (no oil and gas);2018;87.0;90.0;-4.3;96.9
256;08 Mining and quarrying (no oil and gas);2019;51.0;53.0;-41.4;96.9
257;08 Mining and quarrying (no oil and gas);2020;70.0;71.0;35.3;98.3
258;08 Mining and quarrying (no oil and gas);2021;118.0;118.0;65.7;100.0
259;08 Mining and quarrying (no oil and gas);2022;84.0;81.0;-31.4;103.7
260;08 Mining and quarrying (no oil and gas);2023;;;;
261;09 Mining support activities;1995;;;;
262;09 Mining support activities;1996;;;;
263;09 Mining support activities;1997;;;;
264;09 Mining support activities;1998;;;;
265;09 Mining support activities;1999;;;;
266;09 Mining support activities;2000;;;;
267;09 Mining support activities;2001;;;;
268;09 Mining support activities;2002;;;;
269;09 Mining support activities;2003;;;;
270;09 Mining support activities;2004;;;;
271;09 Mining support activities;2005;;;;
272;09 Mining support activities;2006;;;;
273;09 Mining support activities;2007;;;;
274;09 Mining support activities;2008;;;;
275;09 Mining support activities;2009;;;;
276;09 Mining support activities;2010;;;;
277;09 Mining support activities;2011;;;;
278;09 Mining support activities;2012;;;;
279;09 Mining support activities;2013;;;;
280;09 Mining support activities;2014;;;;
281;09 Mining support activities;2015;0.0;;;
282;09 Mining support activities;2016;0.0;;;
283;09 Mining support activities;2017;0.0;;;
284;09 Mining support activities;2018;0.0;;;
285;09 Mining support activities;2019;0.0;;;
286;09 Mining support activities;2020;0.0;;;
287;09 Mining support activities;2021;0.0;;;
288;09 Mining support activities;2022;0.0;;;
289;09 Mining support activities;2023;;;;
290;C Manufacturing;1995;9391.0;12764.0;;73.6
291;C Manufacturing;1996;9776.0;13342.0;4.5;73.3
292;C Manufacturing;1997;10163.0;13714.0;2.8;74.1
293;C Manufacturing;1998;11009.0;14883.0;8.5;74.0
294;C Manufacturing;1999;11304.0;15247.0;2.4;74.1
295;C Manufacturing;2000;11480.0;15145.0;-0.7;75.8
296;C Manufacturing;2001;11299.0;14668.0;-3.2;77.0
297;C Manufacturing;2002;11105.0;14169.0;-3.4;78.4
298;C Manufacturing;2003;10730.0;13665.0;-3.6;78.5
299;C Manufacturing;2004;10228.0;12908.0;-5.5;79.2
300;C Manufacturing;2005;10628.0;13257.0;2.7;80.2
301;C Manufacturing;2006;11494.0;14098.0;6.3;81.5
302;C Manufacturing;2007;12199.0;14705.0;4.3;83.0
303;C Manufacturing;2008;12846.0;15134.0;2.9;84.9
304;C Manufacturing;2009;11780.0;13663.0;-9.7;86.2
305;C Manufacturing;2010;10883.0;12502.0;-8.5;87.1
306;C Manufacturing;2011;12240.0;13987.0;11.9;87.5
307;C Manufacturing;2012;12676.0;14325.0;2.4;88.5
308;C Manufacturing;2013;12153.0;13693.0;-4.4;88.8
309;C Manufacturing;2014;12797.0;14341.0;4.7;89.2
310;C Manufacturing;2015;13613.0;15035.0;4.8;90.5
311;C Manufacturing;2016;15226.0;16729.0;11.3;91.0
312;C Manufacturing;2017;15476.0;16889.0;1.0;91.6
313;C Manufacturing;2018;17136.0;18329.0;8.5;93.5
314;C Manufacturing;2019;17512.0;18298.0;-0.2;95.7
315;C Manufacturing;2020;16242.0;16734.0;-8.5;97.1
316;C Manufacturing;2021;15683.0;15683.0;-6.3;100.0
317;C Manufacturing;2022;18232.0;17163.0;9.4;106.2
318;C Manufacturing;2023;19702.0;17687.0;3.1;111.4
319;10-12 Manufacture of food and beverages;1995;1375.0;1839.0;;74.8
320;10-12 Manufacture of food and beverages;1996;1561.0;2110.0;14.7;74.0
321;10-12 Manufacture of food and beverages;1997;1683.0;2257.0;7.0;74.6
322;10-12 Manufacture of food and beverages;1998;1574.0;2103.0;-6.8;74.9
323;10-12 Manufacture of food and beverages;1999;1729.0;2296.0;9.2;75.3
324;10-12 Manufacture of food and beverages;2000;1787.0;2316.0;0.9;77.2
325;10-12 Manufacture of food and beverages;2001;1791.0;2286.0;-1.3;78.3
326;10-12 Manufacture of food and beverages;2002;1914.0;2396.0;4.8;79.9
327;10-12 Manufacture of food and beverages;2003;1859.0;2341.0;-2.3;79.4
328;10-12 Manufacture of food and beverages;2004;1846.0;2278.0;-2.7;81.0
329;10-12 Manufacture of food and beverages;2005;2023.0;2451.0;7.6;82.5
330;10-12 Manufacture of food and beverages;2006;1762.0;2101.0;-14.3;83.9
331;10-12 Manufacture of food and beverages;2007;2009.0;2329.0;10.8;86.3
332;10-12 Manufacture of food and beverages;2008;2084.0;2359.0;1.3;88.4
333;10-12 Manufacture of food and beverages;2009;1893.0;2103.0;-10.8;90.0
334;10-12 Manufacture of food and beverages;2010;1857.0;2014.0;-4.2;92.2
335;10-12 Manufacture of food and beverages;2011;1754.0;1896.0;-5.9;92.5
336;10-12 Manufacture of food and beverages;2012;1966.0;2100.0;10.8;93.6
337;10-12 Manufacture of food and beverages;2013;2237.0;2383.0;13.5;93.9
338;10-12 Manufacture of food and beverages;2014;2487.0;2638.0;10.7;94.3
339;10-12 Manufacture of food and beverages;2015;2327.0;2426.0;-8.0;95.9
340;10-12 Manufacture of food and beverages;2016;2330.0;2424.0;-0.1;96.1
341;10-12 Manufacture of food and beverages;2017;2362.0;2451.0;1.1;96.4
342;10-12 Manufacture of food and beverages;2018;2728.0;2795.0;14.1;97.6
343;10-12 Manufacture of food and beverages;2019;2688.0;2685.0;-3.9;100.1
344;10-12 Manufacture of food and beverages;2020;2522.0;2564.0;-4.5;98.4
345;10-12 Manufacture of food and beverages;2021;2470.0;2470.0;-3.6;100.0
346;10-12 Manufacture of food and beverages;2022;2768.0;2603.0;5.4;106.3
347;10-12 Manufacture of food and beverages;2023;;;;
348;10 Manufacture of food products;1995;;;;
349;10 Manufacture of food products;1996;;;;
350;10 Manufacture of food products;1997;;;;
351;10 Manufacture of food products;1998;;;;
352;10 Manufacture of food products;1999;;;;
353;10 Manufacture of food products;2000;;;;
354;10 Manufacture of food products;2001;;;;
355;10 Manufacture of food products;2002;;;;
356;10 Manufacture of food products;2003;;;;
357;10 Manufacture of food products;2004;;;;
358;10 Manufacture of food products;2005;;;;
359;10 Manufacture of food products;2006;;;;
360;10 Manufacture of food products;2007;;;;
361;10 Manufacture of food products;2008;;;;
362;10 Manufacture of food products;2009;;;;
363;10 Manufacture of food products;2010;;;;
364;10 Manufacture of food products;2011;;;;
365;10 Manufacture of food products;2012;;;;
366;10 Manufacture of food products;2013;;;;
367;10 Manufacture of food products;2014;;;;
368;10 Manufacture of food products;2015;2102.0;2264.0;;92.8
369;10 Manufacture of food products;2016;2033.0;2185.0;-3.5;93.0
370;10 Manufacture of food products;2017;2108.0;2258.0;3.3;93.3
371;10 Manufacture of food products;2018;2368.0;2509.0;11.1;94.4
372;10 Manufacture of food products;2019;2302.0;2379.0;-5.2;96.8
373;10 Manufacture of food products;2020;2230.0;2268.0;-4.6;98.3
374;10 Manufacture of food products;2021;2192.0;2192.0;-3.4;100.0
375;10 Manufacture of food products;2022;2502.0;2354.0;7.4;106.3
376;10 Manufacture of food products;2023;;;;
377;11 Manufacture of beverages;1995;;;;
378;11 Manufacture of beverages;1996;;;;
379;11 Manufacture of beverages;1997;;;;
380;11 Manufacture of beverages;1998;;;;
381;11 Manufacture of beverages;1999;;;;
382;11 Manufacture of beverages;2000;;;;
383;11 Manufacture of beverages;2001;;;;
384;11 Manufacture of beverages;2002;;;;
385;11 Manufacture of beverages;2003;;;;
386;11 Manufacture of beverages;2004;;;;
387;11 Manufacture of beverages;2005;;;;
388;11 Manufacture of beverages;2006;;;;
389;11 Manufacture of beverages;2007;;;;
390;11 Manufacture of beverages;2008;;;;
391;11 Manufacture of beverages;2009;;;;
392;11 Manufacture of beverages;2010;;;;
393;11 Manufacture of beverages;2011;;;;
394;11 Manufacture of beverages;2012;;;;
395;11 Manufacture of beverages;2013;;;;
396;11 Manufacture of beverages;2014;;;;
397;11 Manufacture of beverages;2015;212.0;229.0;;92.4
398;11 Manufacture of beverages;2016;254.0;274.0;19.3;92.8
399;11 Manufacture of beverages;2017;222.0;240.0;-12.2;92.4
400;11 Manufacture of beverages;2018;321.0;342.0;42.3;93.8
401;11 Manufacture of beverages;2019;342.0;354.0;3.4;96.7
402;11 Manufacture of beverages;2020;245.0;248.0;-29.8;98.7
403;11 Manufacture of beverages;2021;226.0;226.0;-9.0;100.0
404;11 Manufacture of beverages;2022;224.0;210.0;-7.1;106.7
405;11 Manufacture of beverages;2023;;;;
406;12 Manufacture of tobacco products;1995;;;;
407;12 Manufacture of tobacco products;1996;;;;
408;12 Manufacture of tobacco products;1997;;;;
409;12 Manufacture of tobacco products;1998;;;;
410;12 Manufacture of tobacco products;1999;;;;
411;12 Manufacture of tobacco products;2000;;;;
412;12 Manufacture of tobacco products;2001;;;;
413;12 Manufacture of tobacco products;2002;;;;
414;12 Manufacture of tobacco products;2003;;;;
415;12 Manufacture of tobacco products;2004;;;;
416;12 Manufacture of tobacco products;2005;;;;
417;12 Manufacture of tobacco products;2006;;;;
418;12 Manufacture of tobacco products;2007;;;;
419;12 Manufacture of tobacco products;2008;;;;
420;12 Manufacture of tobacco products;2009;;;;
421;12 Manufacture of tobacco products;2010;;;;
422;12 Manufacture of tobacco products;2011;;;;
423;12 Manufacture of tobacco products;2012;;;;
424;12 Manufacture of tobacco products;2013;;;;
425;12 Manufacture of tobacco products;2014;;;;
426;12 Manufacture of tobacco products;2015;13.0;5.0;;257.3
427;12 Manufacture of tobacco products;2016;43.0;17.0;230.8;257.3
428;12 Manufacture of tobacco products;2017;32.0;12.0;-25.6;257.3
429;12 Manufacture of tobacco products;2018;39.0;14.0;12.5;278.7
430;12 Manufacture of tobacco products;2019;44.0;16.0;12.8;278.7
431;12 Manufacture of tobacco products;2020;47.0;47.0;197.7;100.0
432;12 Manufacture of tobacco products;2021;52.0;52.0;10.6;100.0
433;12 Manufacture of tobacco products;2022;42.0;39.0;-25.0;107.7
434;12 Manufacture of tobacco products;2023;;;;
435;13-15 Man. of textile-, leatherproducts;1995;127.0;132.0;;95.9
436;13-15 Man. of textile-, leatherproducts;1996;123.0;131.0;-0.8;93.6
437;13-15 Man. of textile-, leatherproducts;1997;124.0;131.0;0.0;94.4
438;13-15 Man. of textile-, leatherproducts;1998;149.0;163.0;24.2;91.3
439;13-15 Man. of textile-, leatherproducts;1999;165.0;185.0;13.4;89.1
440;13-15 Man. of textile-, leatherproducts;2000;148.0;166.0;-10.3;89.1
441;13-15 Man. of textile-, leatherproducts;2001;133.0;150.0;-9.5;88.5
442;13-15 Man. of textile-, leatherproducts;2002;118.0;134.0;-10.5;87.7
443;13-15 Man. of textile-, leatherproducts;2003;104.0;121.0;-10.2;86.1
444;13-15 Man. of textile-, leatherproducts;2004;115.0;134.0;10.6;86.1
445;13-15 Man. of textile-, leatherproducts;2005;114.0;130.0;-2.6;87.6
446;13-15 Man. of textile-, leatherproducts;2006;96.0;110.0;-15.8;87.6
