ID;AantalVertrekken;AantalPersonenPerVertrek;AantalSlaapruimten;Regio;Woningen_1
151;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Gelderland;50356
152;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Utrecht (provincie);27175
153;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Noord-Holland;144371
154;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Zuid-Holland;167436
155;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Zeeland;26082
156;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Noord-Brabant;49285
157;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Limburg;22093
158;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Gemeenten met meer dan 100000 inwoners;211818
159;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Gemeenten met 50001 - 100000 inwoners;48263
160;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Gemeenten met 20001 - 50000 inwoners;56079
161;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Gemeenten met 10001 - 20000 inwoners;83401
162;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Gemeenten met 5001 - 10000 inwoners;88858
163;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Gemeenten met 2001 - 5000 inwoners;95870
164;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Gemeenten met 1001 - 2000 inwoners;29033
165;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Gemeenten met 501 - 1000 inwoners;9589
166;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Gemeenten met 500 of minder inwoners;939
167;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Groningen, gem. 100001 en meer inw.;8577
168;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Groningen;8577
169;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Groningen, gem. 10001 - 20000 inw.;9390
170;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Groningen, gem. 5001 - 10000 inw.;9318
171;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Groningen, gem. 2001 - 5000 inw.;10993
172;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Groningen, gem. 1001 - 2000 inw.;1506
173;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Friesland, gem. 20001 - 50000 inw.;3377
174;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Leeuwarden;3377
175;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Friesland, gem. 10001 - 20000 inw.;23697
176;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Friesland, gem. 5001 - 10000 inw.;12821
177;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Friesland, gem. 2001 - 5000 inw.;3122
178;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Friesland, gem. 1001 - 2000 inw.;389
179;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Friesland, gem. 501 - 1000 inw.;334
180;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Drenthe, gem. 20001 - 50000 inw.;4664
181;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Emmen;4664
182;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Drenthe, gem. 10001 - 20000 inw.;5625
183;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Drenthe, gem. 5001 - 10000 inw.;6013
184;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Drenthe, gem. 2001 - 5000 inw.;6837
185;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Drenthe, gem. 1001 - 2000 inw.;312
186;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Overijssel, gem. 50001 - 100000 inw.;1676
187;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Enschede;1676
188;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Overijssel, gem. 20001 - 50000 inw.;8514
189;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Almelo;1504
190;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Deventer;2251
191;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Hengelo (O.);1171
192;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Lonneker;1087
193;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Zwolle;2501
194;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Overijssel, gem. 10001 - 20000 inw.;4829
195;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Overijssel, gem. 5001 - 10000 inw.;9327
196;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Overijssel, gem. 2001 - 5000 inw.;4415
197;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Overijssel, gem. 1001 - 2000 inw.;674
198;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Overijssel, gem. 501 - 1000 inw.;642
199;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Gelderland, gem. 50001 - 100000 inw.;12380
200;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Apeldoorn;3488
201;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Arnhem;5360
202;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Nijmegen;3532
203;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Gelderland, gem. 20001 - 50000 inw.;3547
204;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Ede;2072
205;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Rheden;1475
206;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Gelderland, gem. 10001 - 20000 inw.;11195
207;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Gelderland, gem. 5001 - 10000 inw.;11323
208;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Gelderland, gem. 2001 - 5000 inw.;8501
209;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Gelderland, gem. 1001 - 2000 inw.;3147
210;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Gelderland, gem. 501 - 1000 inw.;229
211;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Gelderland, gem. 500 en minder inw.;34
212;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Utrecht, gem. 100001 en meer inw.;12169
213;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Utrecht;12169
214;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Utrecht, gem. 20001 - 50000 inw.;2902
215;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Amersfoort;1726
216;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Zeist;1176
217;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Utrecht, gem. 10001 - 20000 inw.;2213
218;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Utrecht, gem. 5001 - 10000 inw.;1676
219;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Utrecht, gem. 2001 - 5000 inw.;5479
220;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Utrecht, gem. 1001 - 2000 inw.;1805
221;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Utrecht, gem. 501 - 1000 inw.;800
222;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Utrecht, gem. 500 en minder inw.;131
223;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Noord-Holland, gem. 100001 en meer inw.;96913
224;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Amsterdam;87964
225;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Haarlem;8949
226;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Noord-Holland, gem. 50001 - 100000 inw.;3271
227;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Hilversum;3271
228;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Noord-Holland, gem. 20001 - 50000 inw.;12440
229;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Alkmaar;1563
230;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Bussum;1103
231;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Haarlemmermeer;2241
232;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Helder (Den);2661
233;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Velsen;2187
234;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Zaandam;2685
235;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Noord-Holland, gem. 10001 - 20000 inw.;2636
236;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Noord-Holland, gem. 5001 - 10000 inw.;11127
237;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Noord-Holland, gem. 2001 - 5000 inw.;11660
238;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Noord-Holland, gem. 1001 - 2000 inw.;4799
239;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Noord-Holland, gem. 501 - 1000 inw.;1201
240;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Noord-Holland, gem. 500 en minder inw.;324
241;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Zuid-Holland, gem. 100001 en meer inw.;94159
242;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;'s-Gravenhage;44975
243;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Rotterdam;49184
244;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Zuid-Holland, gem. 50001 - 100000 inw.;20031
245;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Delft;4036
246;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Dordrecht;4445
247;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Leiden;7624
248;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Schiedam;3926
249;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Zuid-Holland, gem. 20001 - 50000 inw.;4448
250;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Gouda;2091
251;Totaal aantal woningen;Totaal aantal woningen;Woningen met 1 slaapruimte;Vlaardingen;2357
