ID;BedrijfstakkenBranches;Perioden;PrijsindexArbeid_1;JaarmutatiePrijsVanArbeid_2;LoonkostenPerGewerktUur2010100_3;JaarmutatieLoonkostenPerGewerktUur_4;Structuureffect_5
29;A-U Alle economische activiteiten;2009 januari - 2009 december;100.0;1.5;99.3;2.8;1.2
30;A-U Alle economische activiteiten;2009 april - 2010 maart;100.3;1.4;100.0;2.8;1.4
31;A-U Alle economische activiteiten;2009 juli - 2010 juni;100.5;0.8;100.4;2.0;1.2
32;A-U Alle economische activiteiten;2009 oktober - 2010 september;100.1;0.1;100.0;1.1;0.9
33;A-U Alle economische activiteiten;2010 januari - 2010 december;100.0;0.0;100.0;0.7;0.7
34;A-U Alle economische activiteiten;2010 april - 2011 maart;100.1;-0.2;100.1;0.2;0.3
35;A-U Alle economische activiteiten;2010 juli - 2011 juni;100.1;-0.5;100.1;-0.3;0.2
36;A-U Alle economische activiteiten;2010 oktober - 2011 september;100.4;0.3;100.5;0.5;0.2
37;A-U Alle economische activiteiten;2011 januari - 2011 december;101.6;1.6;101.8;1.8;0.2
38;A-U Alle economische activiteiten;2011 april - 2012 maart;101.6;1.5;101.9;1.8;0.3
39;A-U Alle economische activiteiten;2011 juli - 2012 juni;102.0;1.9;102.5;2.3;0.4
40;A-U Alle economische activiteiten;2011 oktober - 2012 september;102.9;2.5;103.6;3.1;0.5
41;A-U Alle economische activiteiten;2012 januari - 2012 december;103.9;2.2;104.8;2.9;0.7
42;A-U Alle economische activiteiten;2012 april - 2013 maart;105.4;3.8;106.6;4.6;0.7
43;A-U Alle economische activiteiten;2012 juli - 2013 juni;105.5;3.4;106.8;4.3;0.8
44;A-U Alle economische activiteiten;2012 oktober - 2013 september;105.5;2.5;107.1;3.4;0.8
45;A-U Alle economische activiteiten;2013 januari - 2013 december;105.3;1.4;107.1;2.2;0.8
46;A-U Alle economische activiteiten;2013 april - 2014 maart;105.2;-0.2;107.1;0.5;0.7
47;A-U Alle economische activiteiten;2013 juli - 2014 juni;105.4;0.0;107.5;0.6;0.6
48;A-U Alle economische activiteiten;2013 oktober - 2014 september;105.4;-0.1;107.5;0.3;0.5
49;A-U Alle economische activiteiten;2014 januari - 2014 december;106.1;0.7;108.2;1.1;0.3
50;A-U Alle economische activiteiten;2014 april - 2015 maart;106.1;0.9;108.2;1.0;0.2
51;A-U Alle economische activiteiten;2014 juli - 2015 juni;106.4;0.9;108.6;1.0;0.1
52;A-U Alle economische activiteiten;2014 oktober - 2015 september;106.9;1.4;109.0;1.4;0.0
53;A-U Alle economische activiteiten;2015 januari - 2015 december;106.2;0.1;108.2;-0.1;-0.1
54;A-U Alle economische activiteiten;2015 april - 2016 maart;106.8;0.6;108.7;0.4;-0.2
55;A-U Alle economische activiteiten;2015 juli - 2016 juni;106.4;-0.1;108.2;-0.3;-0.2
56;A-U Alle economische activiteiten;2015 oktober - 2016 september;106.4;-0.4;108.2;-0.7;-0.3
57;A-U Alle economische activiteiten;2016 januari - 2016 december ;107.1;0.9;108.8;0.5;-0.3
58;A-U Alle economische activiteiten;2016 april - 2017 maart;106.4;-0.3;108.0;-0.7;-0.3
59;A-U Alle economische activiteiten;2016 juli - 2017 juni;107.4;1.0;108.8;0.5;-0.4
60;A-U Alle economische activiteiten;2016 oktober - 2017 september;108.1;1.6;109.3;1.0;-0.5
61;A-U Alle economische activiteiten;2017 januari - 2017 december;109.1;1.9;110.2;1.3;-0.6
62;A Landbouw, bosbouw en visserij;2001;83.5;;79.8;;
63;A Landbouw, bosbouw en visserij;2002;87.9;5.3;84.4;5.9;0.5
64;A Landbouw, bosbouw en visserij;2003;91.0;3.5;87.8;4.0;0.6
65;A Landbouw, bosbouw en visserij;2004;89.6;-1.5;87.4;-0.5;1.0
66;A Landbouw, bosbouw en visserij;2005;91.9;2.5;88.0;0.7;-1.7
67;A Landbouw, bosbouw en visserij;2006;92.3;0.5;89.3;1.4;0.9
68;A Landbouw, bosbouw en visserij;2007;95.4;3.4;92.8;4.0;0.6
69;A Landbouw, bosbouw en visserij;2008;98.6;3.3;96.6;4.1;0.7
70;A Landbouw, bosbouw en visserij;2009;98.2;-0.5;96.3;-0.4;0.1
71;A Landbouw, bosbouw en visserij;2010;100.0;1.9;100.0;3.9;2.0
72;A Landbouw, bosbouw en visserij;2011;102.2;2.2;102.8;2.8;0.6
73;A Landbouw, bosbouw en visserij;2012;105.5;3.3;106.7;3.8;0.6
74;A Landbouw, bosbouw en visserij;2013;105.4;-0.1;107.5;0.8;0.9
75;A Landbouw, bosbouw en visserij;2014;105.5;0.1;108.7;1.1;1.0
76;A Landbouw, bosbouw en visserij;2015;106.8;1.2;110.5;1.7;0.4
77;A Landbouw, bosbouw en visserij;2016;106.3;-0.5;110.5;0.0;0.5
78;A Landbouw, bosbouw en visserij;2017;107.5;1.2;111.8;1.2;0.0
79;A Landbouw, bosbouw en visserij;2006 januari - 2006 december;92.3;0.5;89.3;1.4;0.9
80;A Landbouw, bosbouw en visserij;2006 april - 2007 maart;92.8;;89.9;;
81;A Landbouw, bosbouw en visserij;2006 juli - 2007 juni;93.1;;90.3;;
82;A Landbouw, bosbouw en visserij;2006 oktober - 2007 september;94.3;;91.6;;
83;A Landbouw, bosbouw en visserij;2007 januari - 2007 december;95.4;3.4;92.8;4.0;0.6
84;A Landbouw, bosbouw en visserij;2007 april - 2008 maart;95.9;3.3;93.4;3.9;0.6
85;A Landbouw, bosbouw en visserij;2007 juli - 2008 juni;96.7;3.9;94.4;4.5;0.6
86;A Landbouw, bosbouw en visserij;2007 oktober - 2008 september;98.6;4.5;96.5;5.4;0.8
87;A Landbouw, bosbouw en visserij;2008 januari - 2008 december;98.6;3.3;96.6;4.1;0.7
88;A Landbouw, bosbouw en visserij;2008 april - 2009 maart;99.0;3.2;97.1;4.0;0.7
89;A Landbouw, bosbouw en visserij;2008 juli - 2009 juni;99.2;2.5;97.3;3.1;0.6
90;A Landbouw, bosbouw en visserij;2008 oktober - 2009 september;99.3;0.6;97.4;0.9;0.3
91;A Landbouw, bosbouw en visserij;2009 januari - 2009 december;98.2;-0.5;96.3;-0.4;0.1
92;A Landbouw, bosbouw en visserij;2009 april - 2010 maart;100.6;1.6;99.2;2.1;0.6
93;A Landbouw, bosbouw en visserij;2009 juli - 2010 juni;100.8;1.6;99.9;2.7;1.1
94;A Landbouw, bosbouw en visserij;2009 oktober - 2010 september;99.0;-0.2;98.6;1.3;1.5
95;A Landbouw, bosbouw en visserij;2010 januari - 2010 december;100.0;1.9;100.0;3.9;2.0
96;A Landbouw, bosbouw en visserij;2010 april - 2011 maart;100.2;-0.4;100.3;1.1;1.5
97;A Landbouw, bosbouw en visserij;2010 juli - 2011 juni;100.3;-0.5;100.5;0.6;1.1
98;A Landbouw, bosbouw en visserij;2010 oktober - 2011 september;100.9;1.9;101.4;2.8;0.8
99;A Landbouw, bosbouw en visserij;2011 januari - 2011 december;102.2;2.2;102.8;2.8;0.6
100;A Landbouw, bosbouw en visserij;2011 april - 2012 maart;102.5;2.3;103.2;2.9;0.5
101;A Landbouw, bosbouw en visserij;2011 juli - 2012 juni;103.3;3.1;104.2;3.7;0.6
102;A Landbouw, bosbouw en visserij;2011 oktober - 2012 september;104.5;3.5;105.4;4.0;0.5
103;A Landbouw, bosbouw en visserij;2012 januari - 2012 december;105.5;3.3;106.7;3.8;0.6
104;A Landbouw, bosbouw en visserij;2012 april - 2013 maart;106.5;3.9;107.9;4.6;0.7
105;A Landbouw, bosbouw en visserij;2012 juli - 2013 juni;106.3;2.8;107.9;3.6;0.7
106;A Landbouw, bosbouw en visserij;2012 oktober - 2013 september;106.3;1.8;108.2;2.6;0.8
107;A Landbouw, bosbouw en visserij;2013 januari - 2013 december;105.4;-0.1;107.5;0.8;0.9
108;A Landbouw, bosbouw en visserij;2013 april - 2014 maart;105.2;-1.2;107.6;-0.3;1.0
109;A Landbouw, bosbouw en visserij;2013 juli - 2014 juni;105.2;-1.0;107.7;-0.2;0.8
110;A Landbouw, bosbouw en visserij;2013 oktober - 2014 september;104.7;-1.5;107.6;-0.5;1.0
111;A Landbouw, bosbouw en visserij;2014 januari - 2014 december;105.5;0.1;108.7;1.1;1.0
112;A Landbouw, bosbouw en visserij;2014 april - 2015 maart;105.7;0.5;109.1;1.4;0.9
113;A Landbouw, bosbouw en visserij;2014 juli - 2015 juni;106.5;1.3;110.1;2.3;1.0
114;A Landbouw, bosbouw en visserij;2014 oktober - 2015 september;107.3;2.5;111.0;3.2;0.7
115;A Landbouw, bosbouw en visserij;2015 januari - 2015 december;106.8;1.2;110.5;1.7;0.4
116;A Landbouw, bosbouw en visserij;2015 april - 2016 maart;107.1;1.3;111.0;1.7;0.4
117;A Landbouw, bosbouw en visserij;2015 juli - 2016 juni;106.2;-0.3;110.2;0.0;0.3
118;A Landbouw, bosbouw en visserij;2015 oktober - 2016 september;106.0;-1.2;110.1;-0.9;0.4
119;A Landbouw, bosbouw en visserij;2016 januari - 2016 december ;106.3;-0.5;110.5;0.0;0.5
120;A Landbouw, bosbouw en visserij;2016 april - 2017 maart;105.5;-1.5;109.8;-1.1;0.5
121;A Landbouw, bosbouw en visserij;2016 juli - 2017 juni;106.2;-0.1;110.5;0.3;0.4
122;A Landbouw, bosbouw en visserij;2016 oktober - 2017 september;106.7;0.7;111.0;0.9;0.2
123;A Landbouw, bosbouw en visserij;2017 januari - 2017 december;107.5;1.2;111.8;1.2;0.0
124;B-F Nijverheid en energie;2001;82.7;;76.7;;
125;B-F Nijverheid en energie;2002;86.0;4.0;80.6;5.0;1.0
126;B-F Nijverheid en energie;2003;88.5;2.9;83.7;3.8;0.9
127;B-F Nijverheid en energie;2004;89.9;1.6;85.8;2.5;0.9
128;B-F Nijverheid en energie;2005;90.9;1.2;87.7;2.3;1.1
129;B-F Nijverheid en energie;2006;93.0;2.2;90.2;2.8;0.6
130;B-F Nijverheid en energie;2007;95.4;2.6;93.1;3.2;0.5
131;B-F Nijverheid en energie;2008;99.8;4.6;97.6;4.9;0.3
132;B-F Nijverheid en energie;2009;103.1;3.3;101.7;4.2;0.8
133;B-F Nijverheid en energie;2010;100.0;-3.0;100.0;-1.6;1.4
134;B-F Nijverheid en energie;2011;101.7;1.7;102.2;2.2;0.5
135;B-F Nijverheid en energie;2012;104.7;3.0;106.1;3.8;0.8
136;B-F Nijverheid en energie;2013;104.9;0.2;107.6;1.4;1.2
137;B-F Nijverheid en energie;2014;106.5;1.5;110.0;2.3;0.7
138;B-F Nijverheid en energie;2015;106.1;-0.3;110.2;0.2;0.5
139;B-F Nijverheid en energie;2016;107.2;1.1;111.9;1.5;0.4
140;B-F Nijverheid en energie;2017;109.0;1.6;114.1;2.0;0.4
141;B-F Nijverheid en energie;2006 januari - 2006 december;93.0;2.2;90.2;2.8;0.6
142;B-F Nijverheid en energie;2006 april - 2007 maart;93.9;;91.2;;
143;B-F Nijverheid en energie;2006 juli - 2007 juni;94.5;;92.0;;
144;B-F Nijverheid en energie;2006 oktober - 2007 september;94.9;;92.5;;
145;B-F Nijverheid en energie;2007 januari - 2007 december;95.4;2.6;93.1;3.2;0.5
146;B-F Nijverheid en energie;2007 april - 2008 maart;97.0;3.3;94.7;3.8;0.5
147;B-F Nijverheid en energie;2007 juli - 2008 juni;98.4;4.1;96.2;4.5;0.4
148;B-F Nijverheid en energie;2007 oktober - 2008 september;99.0;4.4;96.8;4.7;0.3
149;B-F Nijverheid en energie;2008 januari - 2008 december;99.8;4.6;97.6;4.9;0.3
150;B-F Nijverheid en energie;2008 april - 2009 maart;100.7;3.8;98.6;4.1;0.3
151;B-F Nijverheid en energie;2008 juli - 2009 juni;102.0;3.6;100.1;4.1;0.5
152;B-F Nijverheid en energie;2008 oktober - 2009 september;102.7;3.7;101.0;4.3;0.6
153;B-F Nijverheid en energie;2009 januari - 2009 december;103.1;3.3;101.7;4.2;0.8
154;B-F Nijverheid en energie;2009 april - 2010 maart;103.1;2.4;102.0;3.5;1.1
155;B-F Nijverheid en energie;2009 juli - 2010 juni;102.5;0.5;101.9;1.7;1.2
156;B-F Nijverheid en energie;2009 oktober - 2010 september;100.9;-1.7;100.6;-0.5;1.3
157;B-F Nijverheid en energie;2010 januari - 2010 december;100.0;-3.0;100.0;-1.6;1.4
158;B-F Nijverheid en energie;2010 april - 2011 maart;100.1;-2.9;100.2;-1.8;1.2
159;B-F Nijverheid en energie;2010 juli - 2011 juni;100.0;-2.4;100.3;-1.5;0.9
160;B-F Nijverheid en energie;2010 oktober - 2011 september;100.3;-0.6;100.7;0.2;0.7
161;B-F Nijverheid en energie;2011 januari - 2011 december;101.7;1.7;102.2;2.2;0.5
162;B-F Nijverheid en energie;2011 april - 2012 maart;101.8;1.8;102.5;2.3;0.5
163;B-F Nijverheid en energie;2011 juli - 2012 juni;102.4;2.5;103.3;3.1;0.6
164;B-F Nijverheid en energie;2011 oktober - 2012 september;103.5;3.2;104.7;3.9;0.7
165;B-F Nijverheid en energie;2012 januari - 2012 december;104.7;3.0;106.1;3.8;0.8
166;B-F Nijverheid en energie;2012 april - 2013 maart;106.1;4.2;107.8;5.2;1.0
167;B-F Nijverheid en energie;2012 juli - 2013 juni;105.8;3.3;107.9;4.4;1.1
168;B-F Nijverheid en energie;2012 oktober - 2013 september;105.4;1.8;107.8;3.0;1.1
169;B-F Nijverheid en energie;2013 januari - 2013 december;104.9;0.2;107.6;1.4;1.2
170;B-F Nijverheid en energie;2013 april - 2014 maart;104.7;-1.3;107.6;-0.2;1.1
171;B-F Nijverheid en energie;2013 juli - 2014 juni;105.2;-0.6;108.3;0.4;1.0
172;B-F Nijverheid en energie;2013 oktober - 2014 september;105.4;-0.1;108.7;0.8;0.9
173;B-F Nijverheid en energie;2014 januari - 2014 december;106.5;1.5;110.0;2.3;0.7
174;B-F Nijverheid en energie;2014 april - 2015 maart;106.5;1.7;110.2;2.4;0.7
175;B-F Nijverheid en energie;2014 juli - 2015 juni;106.8;1.5;110.7;2.1;0.6
176;B-F Nijverheid en energie;2014 oktober - 2015 september;107.0;1.5;111.0;2.1;0.6
177;B-F Nijverheid en energie;2015 januari - 2015 december;106.1;-0.3;110.2;0.2;0.5
178;B-F Nijverheid en energie;2015 april - 2016 maart;106.9;0.4;111.2;0.9;0.5
179;B-F Nijverheid en energie;2015 juli - 2016 juni;106.7;-0.1;111.0;0.3;0.5
180;B-F Nijverheid en energie;2015 oktober - 2016 september;106.7;-0.3;111.2;0.2;0.5
181;B-F Nijverheid en energie;2016 januari - 2016 december ;107.2;1.1;111.9;1.5;0.4
182;B-F Nijverheid en energie;2016 april - 2017 maart;106.5;-0.4;111.2;0.0;0.5
183;B-F Nijverheid en energie;2016 juli - 2017 juni;107.2;0.5;112.1;0.9;0.4
184;B-F Nijverheid en energie;2016 oktober - 2017 september;107.9;1.1;112.8;1.5;0.4
185;B-F Nijverheid en energie;2017 januari - 2017 december;109.0;1.6;114.1;2.0;0.4
186;B-E Nijverheid (geen bouw) en energie;2001;82.9;;76.9;;
187;B-E Nijverheid (geen bouw) en energie;2002;86.2;4.0;80.9;5.1;1.1
188;B-E Nijverheid (geen bouw) en energie;2003;88.5;2.7;83.8;3.6;0.9
189;B-E Nijverheid (geen bouw) en energie;2004;89.7;1.4;85.7;2.3;0.9
190;B-E Nijverheid (geen bouw) en energie;2005;90.9;1.2;87.8;2.4;1.1
191;B-E Nijverheid (geen bouw) en energie;2006;92.8;2.1;90.1;2.7;0.6
192;B-E Nijverheid (geen bouw) en energie;2007;95.5;2.9;93.3;3.5;0.6
193;B-E Nijverheid (geen bouw) en energie;2008;100.3;5.0;98.2;5.3;0.3
194;B-E Nijverheid (geen bouw) en energie;2009;104.9;4.6;103.5;5.4;0.8
195;B-E Nijverheid (geen bouw) en energie;2010;100.0;-4.6;100.0;-3.4;1.3
196;B-E Nijverheid (geen bouw) en energie;2011;102.7;2.7;103.1;3.1;0.4
197;B-E Nijverheid (geen bouw) en energie;2012;105.6;2.8;106.8;3.6;0.7
198;B-E Nijverheid (geen bouw) en energie;2013;106.4;0.7;108.8;1.8;1.1
199;B-E Nijverheid (geen bouw) en energie;2014;109.0;2.5;112.1;3.1;0.6
200;B-E Nijverheid (geen bouw) en energie;2015;108.5;-0.5;112.2;0.1;0.5
201;B-E Nijverheid (geen bouw) en energie;2016;109.0;0.5;113.3;1.0;0.5
202;B-E Nijverheid (geen bouw) en energie;2017;111.1;1.9;116.1;2.4;0.5
203;B-E Nijverheid (geen bouw) en energie;2006 januari - 2006 december;92.8;2.1;90.1;2.7;0.6
204;B-E Nijverheid (geen bouw) en energie;2006 april - 2007 maart;93.7;;91.1;;
205;B-E Nijverheid (geen bouw) en energie;2006 juli - 2007 juni;94.3;;91.9;;
206;B-E Nijverheid (geen bouw) en energie;2006 oktober - 2007 september;94.7;;92.4;;
207;B-E Nijverheid (geen bouw) en energie;2007 januari - 2007 december;95.5;2.9;93.3;3.5;0.6
208;B-E Nijverheid (geen bouw) en energie;2007 april - 2008 maart;97.3;3.8;95.1;4.4;0.5
209;B-E Nijverheid (geen bouw) en energie;2007 juli - 2008 juni;98.7;4.6;96.6;5.1;0.4
210;B-E Nijverheid (geen bouw) en energie;2007 oktober - 2008 september;99.4;4.9;97.3;5.3;0.4
211;B-E Nijverheid (geen bouw) en energie;2008 januari - 2008 december;100.3;5.0;98.2;5.3;0.3
212;B-E Nijverheid (geen bouw) en energie;2008 april - 2009 maart;101.5;4.3;99.5;4.6;0.3
213;B-E Nijverheid (geen bouw) en energie;2008 juli - 2009 juni;102.8;4.2;101.0;4.6;0.4
214;B-E Nijverheid (geen bouw) en energie;2008 oktober - 2009 september;103.8;4.5;102.3;5.1;0.6
215;B-E Nijverheid (geen bouw) en energie;2009 januari - 2009 december;104.9;4.6;103.5;5.4;0.8
216;B-E Nijverheid (geen bouw) en energie;2009 april - 2010 maart;104.1;2.6;103.1;3.6;1.0
217;B-E Nijverheid (geen bouw) en energie;2009 juli - 2010 juni;103.2;0.4;102.6;1.5;1.2
218;B-E Nijverheid (geen bouw) en energie;2009 oktober - 2010 september;101.4;-2.4;101.1;-1.2;1.2
219;B-E Nijverheid (geen bouw) en energie;2010 januari - 2010 december;100.0;-4.6;100.0;-3.4;1.3
220;B-E Nijverheid (geen bouw) en energie;2010 april - 2011 maart;100.5;-3.5;100.6;-2.4;1.1
221;B-E Nijverheid (geen bouw) en energie;2010 juli - 2011 juni;100.5;-2.6;100.8;-1.7;0.9
222;B-E Nijverheid (geen bouw) en energie;2010 oktober - 2011 september;101.1;-0.3;101.4;0.4;0.7
223;B-E Nijverheid (geen bouw) en energie;2011 januari - 2011 december;102.7;2.7;103.1;3.1;0.4
224;B-E Nijverheid (geen bouw) en energie;2011 april - 2012 maart;102.7;2.2;103.3;2.7;0.4
225;B-E Nijverheid (geen bouw) en energie;2011 juli - 2012 juni;103.3;2.7;104.0;3.2;0.5
226;B-E Nijverheid (geen bouw) en energie;2011 oktober - 2012 september;104.5;3.4;105.5;4.0;0.6
227;B-E Nijverheid (geen bouw) en energie;2012 januari - 2012 december;105.6;2.8;106.8;3.6;0.7
228;B-E Nijverheid (geen bouw) en energie;2012 april - 2013 maart;107.0;4.2;108.6;5.1;0.9
229;B-E Nijverheid (geen bouw) en energie;2012 juli - 2013 juni;107.0;3.7;108.9;4.7;1.0
230;B-E Nijverheid (geen bouw) en energie;2012 oktober - 2013 september;106.7;2.1;108.9;3.2;1.1
231;B-E Nijverheid (geen bouw) en energie;2013 januari - 2013 december;106.4;0.7;108.8;1.8;1.1
232;B-E Nijverheid (geen bouw) en energie;2013 april - 2014 maart;106.6;-0.4;109.2;0.6;1.0
233;B-E Nijverheid (geen bouw) en energie;2013 juli - 2014 juni;107.3;0.2;110.1;1.1;0.9
234;B-E Nijverheid (geen bouw) en energie;2013 oktober - 2014 september;107.7;0.9;110.7;1.7;0.8
235;B-E Nijverheid (geen bouw) en energie;2014 januari - 2014 december;109.0;2.5;112.1;3.1;0.6
236;B-E Nijverheid (geen bouw) en energie;2014 april - 2015 maart;109.0;2.3;112.3;2.8;0.5
237;B-E Nijverheid (geen bouw) en energie;2014 juli - 2015 juni;109.3;1.9;112.8;2.4;0.5
238;B-E Nijverheid (geen bouw) en energie;2014 oktober - 2015 september;109.4;1.6;113.0;2.1;0.5
239;B-E Nijverheid (geen bouw) en energie;2015 januari - 2015 december;108.5;-0.5;112.2;0.1;0.5
240;B-E Nijverheid (geen bouw) en energie;2015 april - 2016 maart;109.1;0.1;113.0;0.6;0.5
241;B-E Nijverheid (geen bouw) en energie;2015 juli - 2016 juni;108.7;-0.6;112.7;-0.1;0.5
242;B-E Nijverheid (geen bouw) en energie;2015 oktober - 2016 september;108.7;-0.7;112.8;-0.2;0.5
243;B-E Nijverheid (geen bouw) en energie;2016 januari - 2016 december ;109.0;0.5;113.3;1.0;0.5
244;B-E Nijverheid (geen bouw) en energie;2016 april - 2017 maart;108.3;-0.7;112.7;-0.2;0.5
245;B-E Nijverheid (geen bouw) en energie;2016 juli - 2017 juni;109.2;0.4;113.8;0.9;0.5
246;B-E Nijverheid (geen bouw) en energie;2016 oktober - 2017 september;109.9;1.1;114.7;1.6;0.5
247;B-E Nijverheid (geen bouw) en energie;2017 januari - 2017 december;111.1;1.9;116.1;2.4;0.5
248;C Industrie;2001;83.1;;77.0;;
249;C Industrie;2002;86.4;4.0;80.9;5.0;1.0
250;C Industrie;2003;88.6;2.6;83.8;3.6;1.0
251;C Industrie;2004;89.8;1.3;85.6;2.3;0.9
252;C Industrie;2005;91.2;1.5;88.0;2.8;1.2
253;C Industrie;2006;93.0;2.0;90.4;2.7;0.7
254;C Industrie;2007;95.7;2.9;93.5;3.4;0.5
255;C Industrie;2008;100.7;5.2;98.6;5.4;0.2
256;C Industrie;2009;105.5;4.8;104.2;5.6;0.8
257;C Industrie;2010;100.0;-5.3;100.0;-4.0;1.3
258;C Industrie;2011;102.5;2.5;103.0;3.0;0.4
259;C Industrie;2012;105.4;2.8;106.6;3.5;0.7
260;C Industrie;2013;106.2;0.8;108.5;1.8;1.1
261;C Industrie;2014;109.1;2.7;112.0;3.2;0.5
262;C Industrie;2015;108.7;-0.4;112.1;0.1;0.5
263;C Industrie;2016;109.3;0.5;113.4;1.1;0.6
264;C Industrie;2017;111.8;2.3;116.8;3.0;0.7
265;C Industrie;2006 januari - 2006 december;93.0;2.0;90.4;2.7;0.7
266;C Industrie;2006 april - 2007 maart;94.0;;91.4;;
267;C Industrie;2006 juli - 2007 juni;94.6;;92.3;;
268;C Industrie;2006 oktober - 2007 september;95.0;;92.7;;
269;C Industrie;2007 januari - 2007 december;95.7;2.9;93.5;3.4;0.5
270;C Industrie;2007 april - 2008 maart;97.6;3.9;95.5;4.4;0.5
271;C Industrie;2007 juli - 2008 juni;99.2;4.8;97.1;5.3;0.4
272;C Industrie;2007 oktober - 2008 september;100.0;5.2;97.9;5.6;0.3
273;C Industrie;2008 januari - 2008 december;100.7;5.2;98.6;5.4;0.2
274;C Industrie;2008 april - 2009 maart;101.9;4.4;99.9;4.6;0.3
275;C Industrie;2008 juli - 2009 juni;103.3;4.1;101.5;4.5;0.4
276;C Industrie;2008 oktober - 2009 september;104.4;4.4;102.8;5.0;0.6
277;C Industrie;2009 januari - 2009 december;105.5;4.8;104.2;5.6;0.8
278;C Industrie;2009 april - 2010 maart;104.6;2.6;103.6;3.7;1.0
279;C Industrie;2009 juli - 2010 juni;103.5;0.2;102.9;1.4;1.2
280;C Industrie;2009 oktober - 2010 september;101.6;-2.7;101.2;-1.5;1.2
281;C Industrie;2010 januari - 2010 december;100.0;-5.3;100.0;-4.0;1.3
282;C Industrie;2010 april - 2011 maart;100.4;-4.0;100.6;-2.9;1.1
283;C Industrie;2010 juli - 2011 juni;100.5;-2.9;100.7;-2.1;0.8
284;C Industrie;2010 oktober - 2011 september;101.0;-0.6;101.3;0.1;0.7
285;C Industrie;2011 januari - 2011 december;102.5;2.5;103.0;3.0;0.4
286;C Industrie;2011 april - 2012 maart;102.5;2.1;103.1;2.5;0.4
287;C Industrie;2011 juli - 2012 juni;103.0;2.5;103.8;3.0;0.4
288;C Industrie;2011 oktober - 2012 september;104.3;3.3;105.2;3.8;0.5
289;C Industrie;2012 januari - 2012 december;105.4;2.8;106.6;3.5;0.7
290;C Industrie;2012 april - 2013 maart;106.9;4.3;108.4;5.2;0.9
291;C Industrie;2012 juli - 2013 juni;106.9;3.8;108.7;4.8;1.0
292;C Industrie;2012 oktober - 2013 september;106.6;2.2;108.6;3.3;1.0
293;C Industrie;2013 januari - 2013 december;106.2;0.8;108.5;1.8;1.1
294;C Industrie;2013 april - 2014 maart;106.5;-0.4;109.0;0.6;0.9
295;C Industrie;2013 juli - 2014 juni;107.3;0.3;109.9;1.1;0.8
296;C Industrie;2013 oktober - 2014 september;107.7;1.1;110.5;1.7;0.7
297;C Industrie;2014 januari - 2014 december;109.1;2.7;112.0;3.2;0.5
298;C Industrie;2014 april - 2015 maart;109.2;2.5;112.2;2.9;0.4
299;C Industrie;2014 juli - 2015 juni;109.5;2.1;112.7;2.6;0.5
