ID;Hoofdfuncties;Perioden;TotaalAankopen_1;TotaalAankoopVanGoederenEnDiensten_2;AankoopVanDuurzameMilitaireGoederen_3;GrondWegEnWaterbouwkundigeWerken_4;OverigeGoederenEnDienstenBijDerden_5;OverigeGoederenBijAndereOverheden_6;TotaalInvesteringen_7;TotaalNieuweInvesteringen_8;GrondWegEnWaterbouwkundigeWerken_9;NieuwbouwVanGebouwen_10;AankoopVervoermiddelen_11;AankoopMachinesEnInstallaties_12;AankoopComputerprogrammaS_13;OverigeNieuweInvesteringsgoederen_14;TotaalOverigeInvesteringen_15;AankoopGebruikteInvesteringsgoederen_16;AankoopVanKostbaarheden_17;AankoopGrond_18;TotaalRenteEnPacht_19;Rente_20;Pacht_21;TotaalOverdrachten_22;TotaalSubsidiesEnInkomensoverdrachten_23;TotaalInkomensoverdrachtenBedrijven_24;Subsidies_25;OverigeInkomensoverdrachten_26;TotaalInkomensoverdrachtenAanGezinnen_27;UitkeringenSocialeVoorzieningInGeld_28;SocialeOverdrachtenInNatura_29;OverigeInkomensoverdrachten_30;InstellingenZonderWinstoogmerkgezinnen_31;TotaalOverdrachtenCentraleOverheid_32;WetenschappelijkOnderwijs_33;PubliekrechtelijkeBedrijfsorganisaties_34;InstellingZonderWinstCentraleoverheid_35;TotaalInkomensoverdrachtLagereoverheid_36;Provincies_37;Waterschappen_38;GemeenschappelijkeRegelingen_39;Gemeenten_40;BijzonderOnderwijs_41;InstellingZonderWinstLagereOverheid_42;SocialeVerzekeringsinstellingen_43;InkomensoverdrachtenAanHetBuitenland_44;TotaalKapitaaloverdrachten_45;KapitaaloverdrachtenAanBedrijven_46;KapitaaloverdrachtenAanGezinnen_47;InstellingenZonderWinstVanGezinnen_48;TotaalOverdrachtenCentraleOverheid_49;WetenschappelijkOnderwijs_50;PubliekrechtelijkeBedrijfsorganisaties_51;InstellingZonderWinstCentraleoverheid_52;TotaalKapitaaloverdrachtLagereoverheid_53;Provincies_54;Waterschappen_55;GemeenschappelijkeRegelingen_56;Gemeenten_57;BijzonderOnderwijs_58;InstellingenZonderWinstLagereoverheid_59;SocialeVerzekeringsinstellingen_60;KapitaaloverdrachtenAanHetBuitenland_61;TotaalVerkopen_62;TotaalVerkoopVanGoederenEnDiensten_63;VerkoopDuurzameMilitaireGoederen_64;VerkoopGoederenEnDienstenAanDerden_65;VerkoopGoederenAanAndereOverheden_66;VerkoopVanInvesteringsgoederen_67;VerkoopVanGrond_68;TotaalRentePachtVermogensresultaten_69;Rente_70;Winstuitkeringen_71;Pacht_72;Concessies_73;TotaalOverdrachten_74;TotaalInkomensoverdrachten_75;InkomensoverdrachtenVanNietOverheden_76;InkomensoverdrachtenVanOverheden_77;TotaalKapitaaloverdrachten_78;KapitaaloverdrachtenVanNietOverheden_79;KapitaaloverdrachtenVanOverheden_80
10;Algemeen bestuur;2007;2411;1821;0;3;1819;0;583;535;1;41;10;164;93;226;48;48;0;7;10720;10720;0;29823;28156;776;771;5;44;44;0;0;128;3444;1985;0;1459;17623;1232;0;6;16377;0;8;0;6142;1667;82;0;0;-23;4;0;-28;890;86;0;2;802;0;0;0;718;1175;1021;0;891;129;32;123;1545;1296;190;37;22;386;385;325;60;1;1;0
11;Algemeen bestuur;2008*;2389;1832;0;3;1829;0;554;509;1;40;10;178;75;206;45;45;0;3;11261;11261;0;32277;30250;826;821;6;24;24;0;0;134;3635;2061;0;1574;19025;1326;0;7;17683;0;9;0;6606;2027;69;71;0;19;5;0;14;991;100;0;2;889;0;0;0;878;1158;1015;0;891;124;25;118;2018;1805;146;43;25;399;398;351;47;1;1;0
12;Landsverdediging;2003;3073;2618;848;0;1770;0;455;455;24;145;60;173;43;10;0;0;0;0;16;0;16;174;128;64;49;14;0;0;0;0;0;12;0;0;12;0;0;0;0;0;0;0;0;52;46;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;149;142;5;119;17;7;0;2;2;0;0;0;52;52;8;45;0;0;0
13;Landsverdediging;2004;3047;2545;858;0;1688;0;501;501;12;88;109;209;55;28;0;0;0;0;16;1;15;200;142;53;49;4;0;0;0;0;0;19;0;0;19;0;0;0;0;0;0;0;0;69;58;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;216;209;4;205;0;8;0;4;4;0;0;0;45;45;6;39;0;0;0
14;Landsverdediging;2005;3095;2417;631;0;1785;0;678;678;23;129;143;309;55;19;0;0;0;0;22;3;19;200;150;57;49;8;0;0;0;0;1;17;0;0;17;0;0;0;0;0;0;0;0;75;50;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;858;812;641;170;0;47;0;1;1;0;0;0;38;38;3;35;0;0;0
15;Landsverdediging;2006;3592;2759;776;0;1983;0;833;833;22;319;65;233;61;133;0;0;0;0;1;1;0;176;138;57;52;5;0;0;0;0;0;9;0;0;9;0;0;0;0;0;0;0;0;72;39;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;649;590;443;148;0;58;0;1;1;0;0;0;40;40;0;39;0;0;0
16;Landsverdediging;2007;3595;2919;710;0;2209;0;677;677;1;219;93;192;98;74;0;0;0;0;1;1;0;328;262;51;50;1;0;0;0;0;0;16;0;0;16;0;0;0;0;0;0;0;0;195;67;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;393;274;103;172;0;78;41;0;0;0;0;0;2;2;2;0;0;0;0
17;Landsverdediging;2008*;3515;3063;954;0;2110;0;452;452;0;150;13;166;63;60;0;0;0;0;1;1;0;209;175;28;26;2;0;0;0;0;0;20;0;0;20;0;0;0;0;0;0;0;0;127;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;307;289;137;152;0;15;3;0;0;0;0;0;11;11;11;0;0;0;0
18;Openbare orde en veiligheid;2003;1916;1406;0;0;1405;0;479;446;0;42;19;117;14;254;33;33;0;31;0;0;0;4271;4255;95;88;7;16;0;0;16;0;31;0;0;31;4095;0;0;61;60;101;3873;0;17;17;2;0;0;0;0;0;0;15;0;0;0;0;0;15;0;0;338;333;0;279;55;4;0;0;0;0;0;0;752;724;581;143;28;28;0
19;Openbare orde en veiligheid;2004;1945;1497;0;0;1497;0;425;400;0;25;22;148;17;188;25;25;0;23;0;0;0;4443;4430;108;96;12;16;0;0;16;0;28;0;0;28;4256;-1;0;69;42;112;4034;0;22;13;2;0;0;0;0;0;0;10;0;0;0;0;0;10;0;0;358;298;0;243;55;60;0;0;0;0;0;0;791;763;618;145;28;28;0
20;Openbare orde en veiligheid;2005;1918;1512;0;0;1512;0;380;352;0;16;15;97;11;213;28;28;0;26;0;0;0;4535;4523;104;99;5;16;0;0;16;0;40;0;0;40;4347;0;0;76;30;117;4124;0;15;12;0;0;0;0;0;0;0;12;0;0;0;0;0;12;0;0;354;333;0;280;53;21;0;0;0;0;0;0;830;791;648;143;39;39;0
21;Openbare orde en veiligheid;2006;2069;1618;17;0;1601;0;422;390;0;11;24;119;21;216;32;32;0;30;0;0;0;4856;4820;104;101;3;18;0;0;18;12;35;0;0;35;4637;35;0;92;30;120;4360;0;15;36;0;0;0;0;0;0;0;36;0;0;0;0;0;36;0;0;336;308;0;266;42;28;0;0;0;0;0;0;884;843;691;153;41;41;0
22;Openbare orde en veiligheid;2007;2327;1756;11;0;1745;0;541;508;0;19;38;167;21;264;33;33;0;31;0;0;0;5147;5133;121;117;4;25;0;0;25;14;37;0;0;37;4921;33;0;98;74;125;4592;0;15;14;0;0;0;0;0;0;0;14;0;0;0;0;0;14;0;0;340;327;0;293;34;13;0;2;0;2;0;0;814;758;758;0;55;55;0
23;Openbare orde en veiligheid;2008*;2440;1941;7;0;1934;0;473;444;0;19;53;133;19;219;29;29;0;27;0;0;0;5639;5624;122;119;4;25;0;0;25;14;32;0;0;32;5399;35;0;104;61;130;5070;0;32;15;0;0;0;0;0;0;0;15;0;0;0;0;0;15;0;0;351;333;0;298;35;18;0;0;0;0;0;0;793;741;741;0;52;52;0
24;Economische aangelegenheden;2003;5513;2561;0;816;1714;31;2856;2844;2588;9;9;66;6;167;12;12;0;95;-50;-50;0;10843;7691;1332;1209;123;-265;-265;0;0;2;895;2;0;893;5594;386;0;2378;2489;0;342;0;133;3153;339;0;2;1684;0;0;1684;1104;169;95;105;735;0;0;0;24;899;812;0;317;495;52;34;5084;137;2085;4;2859;503;348;133;215;155;151;4
25;Economische aangelegenheden;2004;4573;2168;0;755;1382;31;2317;2308;2122;9;8;43;7;120;9;9;0;88;-21;-21;0;10132;7103;1057;953;105;-273;-273;0;0;2;822;2;0;820;5383;402;0;2334;2292;0;355;0;111;3029;157;0;3;1723;0;0;1723;1117;317;79;142;579;0;0;0;29;763;719;0;305;415;39;5;5705;117;2509;7;3071;663;362;103;258;302;192;110
26;Economische aangelegenheden;2005;4028;2036;0;790;1216;30;1863;1852;1679;9;9;58;17;80;10;10;0;130;50;50;0;10416;7821;1186;1123;63;-249;-249;0;0;2;686;0;0;685;6115;665;0;2797;2280;0;373;0;83;2595;-324;0;3;1725;0;0;1725;1171;384;79;25;684;0;0;0;20;627;605;0;212;393;35;-13;7299;49;2826;1162;3262;480;354;150;204;126;71;56
27;Economische aangelegenheden;2006;4229;2214;0;870;1315;29;1979;1967;1768;2;1;36;21;139;12;12;0;36;0;0;0;10259;7791;1330;1211;119;140;-235;0;375;2;345;0;1;345;5895;624;0;2752;2153;0;367;0;78;2469;-612;0;4;2104;0;0;2104;954;282;192;19;461;0;0;0;18;732;682;0;267;415;53;-3;9800;63;3645;570;5522;723;572;375;196;151;111;41
28;Economische aangelegenheden;2007;4860;2589;0;1236;1327;27;2227;2215;1936;4;1;41;26;208;12;12;0;44;0;0;0;10828;7939;1547;1432;115;-252;-252;0;0;6;344;0;0;344;6205;756;0;3022;2042;0;385;-2;92;2889;-69;0;1;1974;0;0;1974;963;431;121;44;368;0;0;0;20;771;714;0;282;432;45;13;9495;42;3868;5;5580;320;233;80;153;87;65;22
29;Economische aangelegenheden;2008*;5620;2740;0;1129;1586;25;2836;2826;2590;5;0;43;16;172;11;11;0;43;0;0;0;10631;7918;1386;1291;95;-261;-261;0;0;14;359;0;0;359;6311;765;1;1196;3939;0;410;-1;110;2713;2;0;0;1799;0;0;1799;897;477;133;110;177;0;0;0;15;820;765;0;311;454;28;28;14282;37;4813;5;9427;554;270;112;159;284;83;201
30;Milieubescherming;2003;391;197;0;0;141;56;171;170;15;153;0;1;2;0;0;0;0;24;0;0;0;443;234;51;51;0;0;0;0;0;84;6;0;0;5;92;13;0;0;49;0;29;0;2;209;4;0;41;0;0;0;0;164;118;0;13;33;0;0;0;0;66;66;0;13;53;0;0;0;0;0;0;0;27;27;27;0;0;0;0
31;Milieubescherming;2004;292;197;0;0;137;60;80;80;14;65;0;0;1;0;0;0;0;15;0;0;0;583;278;55;55;0;0;0;0;0;92;-1;0;0;-1;128;12;0;0;76;0;40;0;3;306;91;0;25;0;0;0;0;190;134;0;10;46;0;0;0;0;105;105;0;48;56;0;0;0;0;0;0;0;13;13;13;0;0;0;0
32;Milieubescherming;2005;281;212;0;0;146;66;48;48;15;33;0;0;0;0;0;0;0;21;0;0;0;452;295;53;53;0;0;0;0;0;110;-2;0;0;-2;129;15;0;0;83;0;31;0;5;157;7;0;20;0;0;0;0;131;92;0;10;29;0;0;0;0;110;110;0;46;63;0;0;0;0;0;0;0;9;9;9;0;0;0;0
33;Milieubescherming;2006;311;256;0;0;212;44;33;33;2;15;0;0;0;16;0;0;0;22;0;0;0;544;346;81;67;14;0;0;0;0;135;-1;0;0;-1;126;70;0;3;33;0;20;0;6;198;12;0;16;0;0;0;0;171;82;0;8;72;0;9;0;0;97;97;0;55;43;0;0;0;0;0;0;0;5;5;5;0;0;0;0
34;Milieubescherming;2007;303;259;0;0;202;57;37;37;11;14;0;0;0;13;0;0;0;7;0;0;0;718;404;149;130;19;30;0;0;30;51;0;0;0;0;168;72;0;6;68;0;22;1;5;314;23;0;5;0;0;0;0;285;213;0;7;66;0;0;0;0;104;103;0;47;56;0;1;0;0;0;0;0;1;1;1;0;0;0;0
35;Milieubescherming;2008*;370;332;0;0;275;57;30;30;9;11;0;0;0;10;0;0;0;8;0;0;0;671;356;98;71;27;17;3;0;15;54;3;0;0;3;177;22;6;2;46;0;101;0;7;315;10;0;1;0;0;0;0;305;221;0;9;74;0;0;0;0;198;198;0;142;56;0;0;0;0;0;0;0;1;1;1;0;0;0;0
36;Huisvesting en gemeenschapsvoorzieningen;2003;374;344;0;0;344;1;19;17;0;0;0;1;0;16;2;2;0;11;0;0;0;813;234;2;2;0;125;41;0;85;1;6;0;0;6;100;0;0;87;4;0;9;0;0;579;58;1;0;0;0;0;0;520;84;0;108;329;0;0;0;0;68;56;0;56;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0
37;Huisvesting en gemeenschapsvoorzieningen;2004;212;179;0;0;179;0;27;25;0;0;0;0;14;11;2;2;0;7;0;0;0;935;216;1;1;0;153;35;0;118;1;13;0;0;13;48;-1;0;51;-5;0;3;0;0;719;9;1;0;1;0;0;1;709;138;0;121;449;0;0;0;0;164;118;0;81;37;46;0;0;0;0;0;0;0;0;0;0;0;0;0
38;Huisvesting en gemeenschapsvoorzieningen;2005;240;202;0;0;202;0;29;27;0;0;0;0;12;16;2;2;0;8;0;0;0;796;113;3;1;2;48;25;0;23;1;14;0;0;13;47;0;0;41;0;0;6;0;1;682;8;1;0;0;0;0;0;674;101;0;137;426;0;10;0;0;127;104;0;104;0;23;0;0;0;0;0;0;13;13;13;0;0;0;0
39;Huisvesting en gemeenschapsvoorzieningen;2006;276;230;0;0;230;0;43;40;0;0;0;0;18;23;2;2;0;4;0;0;0;752;88;1;1;0;28;21;0;7;1;12;0;0;12;46;0;0;41;0;0;5;0;0;664;45;0;0;0;0;0;0;619;83;0;145;390;0;1;0;0;193;141;0;141;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0
40;Huisvesting en gemeenschapsvoorzieningen;2007;270;221;0;0;221;0;41;39;0;0;0;0;15;23;2;2;0;8;0;0;0;594;77;1;1;0;15;15;0;0;1;13;0;0;13;46;0;0;41;1;0;4;0;1;518;7;0;0;0;0;0;0;511;77;0;141;292;0;1;0;0;210;126;0;126;0;84;0;0;0;0;0;0;0;0;0;0;0;0;0
41;Huisvesting en gemeenschapsvoorzieningen;2008*;287;244;0;0;244;0;36;34;0;0;0;0;18;16;2;2;0;8;0;0;0;913;58;1;1;0;0;0;0;0;1;13;0;0;13;42;0;0;36;4;0;1;0;1;855;3;0;0;0;0;0;0;853;98;0;158;595;0;2;0;0;159;140;0;140;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
42;Volksgezondheid;2003;166;143;0;0;139;4;22;22;0;0;0;15;3;3;0;0;0;0;0;0;0;7333;7333;32;32;0;28;28;0;0;39;209;0;0;209;203;0;0;4;199;0;0;6823;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;55;0;52;3;0;0;3;0;3;0;0;7;7;6;1;0;0;0
43;Volksgezondheid;2004;171;157;0;0;129;28;13;13;0;0;0;10;1;2;0;0;0;0;0;0;0;8897;8897;53;59;-6;0;0;0;0;31;201;0;0;201;180;0;0;7;173;0;0;8433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;71;0;65;6;0;0;0;0;0;0;0;7;7;7;0;0;0;0
44;Volksgezondheid;2005;277;263;0;0;256;7;15;14;0;0;0;10;1;3;0;0;0;0;0;0;0;8708;8684;63;66;-3;0;0;0;0;11;189;0;0;189;219;0;0;10;210;0;0;8196;6;23;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128;128;0;119;8;0;0;27;0;27;0;0;0;0;0;0;0;0;0
45;Volksgezondheid;2006;283;263;0;0;253;10;19;19;0;0;0;15;1;3;0;0;0;0;0;0;0;7370;7370;45;45;0;0;0;0;0;3;382;0;0;382;219;0;0;6;213;0;0;6713;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;84;0;73;11;0;0;1;0;1;0;0;7;7;7;0;0;0;0
46;Volksgezondheid;2007;270;249;0;0;241;8;21;20;0;0;0;17;1;3;0;0;0;0;0;0;0;7790;7790;687;688;-1;0;0;0;0;6;396;0;0;396;275;0;0;3;215;0;57;6416;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;93;0;83;9;1;0;2;0;2;0;0;0;0;0;0;0;0;0
47;Volksgezondheid;2008*;331;310;0;0;301;9;21;20;0;0;0;17;1;3;0;0;0;0;0;0;0;8394;8394;879;879;-1;0;0;0;0;8;462;0;0;462;261;0;0;3;204;0;53;6775;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;112;0;102;10;1;0;1;0;1;0;0;0;0;0;0;0;0;0
48;Recreatie, cultuur en religie;2003;96;66;0;0;66;0;20;18;0;0;0;1;0;16;2;2;0;11;0;0;0;1622;1482;207;197;10;0;0;0;0;937;0;0;0;0;339;16;0;5;5;0;313;0;0;139;6;4;66;0;0;0;0;62;1;1;7;39;0;15;0;2;526;223;0;223;0;0;303;4;4;0;0;0;0;0;0;0;0;0;0
49;Recreatie, cultuur en religie;2004;72;51;0;0;51;0;14;12;0;0;0;1;0;11;2;2;0;7;0;0;0;1607;1461;226;217;9;0;0;0;0;922;0;0;0;0;314;14;0;6;5;0;290;0;0;145;7;5;76;0;0;0;0;55;1;1;4;37;0;12;0;2;220;220;0;220;0;0;-1;4;4;0;0;0;0;0;0;0;0;0;0
50;Recreatie, cultuur en religie;2005;80;56;0;0;56;0;15;14;0;0;0;1;0;13;2;2;0;8;0;0;0;1650;1492;220;220;0;0;0;0;0;914;0;0;0;0;358;14;0;5;5;0;334;0;0;158;9;6;86;0;0;0;0;55;2;1;4;34;0;15;0;2;204;201;0;201;0;3;0;3;3;0;0;0;0;0;0;0;0;0;0
51;Recreatie, cultuur en religie;2006;122;97;0;0;97;0;15;13;0;0;0;0;0;13;2;2;0;9;0;0;0;1657;1514;242;242;0;0;0;0;0;882;1;0;0;1;390;17;0;7;23;0;344;0;0;143;6;4;62;0;0;0;0;42;1;1;4;26;0;11;0;27;196;196;0;196;0;0;0;21;1;20;0;0;0;0;0;0;0;0;0
52;Recreatie, cultuur en religie;2007;83;60;0;0;60;0;19;16;0;0;0;0;0;16;2;2;0;4;0;0;0;1638;1490;228;228;0;0;0;0;0;858;12;0;0;12;390;60;0;1;40;0;289;0;2;148;18;4;50;0;0;0;0;77;48;1;2;18;0;9;0;0;190;190;0;190;0;0;0;32;2;30;0;0;0;0;0;0;0;0;0
53;Recreatie, cultuur en religie;2008*;51;29;0;0;29;0;19;17;0;0;0;3;0;14;2;2;0;4;0;0;0;1831;1666;239;239;0;0;0;0;0;966;14;0;0;14;445;49;0;1;34;0;362;0;1;166;31;4;52;0;0;0;0;79;52;1;1;17;0;9;0;0;224;224;0;224;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
54;Onderwijs;2003;157;124;0;0;124;0;29;26;0;0;0;-1;0;26;4;4;0;3;0;0;0;20507;19462;0;0;0;1587;799;788;0;39;1186;841;0;345;16632;0;0;168;4213;12202;49;0;18;1044;0;518;0;119;119;0;0;407;0;0;0;0;407;0;0;0;421;419;0;419;0;2;0;90;90;0;0;0;18;18;18;0;0;0;0
55;Onderwijs;2004;117;92;0;0;92;0;22;19;0;0;0;1;0;18;3;3;0;3;0;0;0;21313;20149;0;0;0;1717;899;818;0;46;1173;863;0;309;17201;0;0;178;3762;13197;65;0;12;1164;0;624;0;125;125;0;0;416;0;0;0;0;416;0;0;0;458;458;0;458;0;0;0;91;91;0;0;0;1;1;1;0;0;0;0
56;Onderwijs;2005;164;136;0;0;136;0;26;23;0;0;0;3;0;21;3;3;0;3;0;0;0;21963;20635;0;0;0;1533;842;692;0;78;1302;893;0;409;17713;0;0;178;3638;13837;60;0;9;1329;0;781;0;130;130;0;0;418;0;0;0;0;418;0;0;0;222;220;0;220;0;2;0;95;95;0;0;0;2;2;2;0;0;0;0
57;Onderwijs;2006;174;140;0;0;140;0;31;28;0;0;0;7;0;21;3;3;0;3;0;0;0;23138;21861;0;0;0;1690;1027;664;0;90;1324;908;0;416;18746;0;0;157;3488;15065;36;0;10;1277;0;647;0;134;134;0;0;496;0;0;0;0;496;0;0;0;190;190;0;190;0;0;0;114;114;0;0;0;2;2;2;0;0;0;0
58;Onderwijs;2007;164;130;0;0;130;0;31;27;0;0;0;1;0;26;4;4;0;3;0;0;0;23818;22222;0;0;0;1429;786;643;0;0;1369;940;0;429;19415;0;0;162;3462;15782;9;0;9;1596;0;767;0;139;139;0;0;690;0;0;0;0;690;0;0;0;200;199;0;199;0;0;0;123;123;0;0;0;0;0;0;0;0;0;0
